,code,couponStatus,fnlColorVariantData,images,fnlProductData,discountPercent,price,wasPriceData,name,volumePricesFlag,url,productSizeData,PAGE_URL_COMPLETE
0,460611134003,Coupon Applicable,"{'brandName': 'SPYKAR', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5eff79e2aeb2693175832325/-286Wx359H-460611134-beige-MODEL.jpg', 'allPromotions': False, 'colorGroup': '460611134_beige', 'sizeFlag': False}","[{'altText': 'SPYKAR Beige Classic Slim Fit Shirt with Patch Pocket', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5eff79e2aeb2693175832350/spykar_beige_classic_slim_fit_shirt_with_patch_pocket.jpg'}, {'altText': 'SPYKAR Beige Classic Slim Fit Shirt with Patch Pocket', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5eff79e2aeb2693175832334/spykar_beige_classic_slim_fit_shirt_with_patch_pocket.jpg'}, {'altText': 'SPYKAR Beige Classic Slim Fit Shirt with Patch Pocket', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5eff79e2aeb2693175832325/spykar_beige_classic_slim_fit_shirt_with_patch_pocket.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",40% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,079.00', 'displayformattedValue': 'Rs. 1,079', 'value': 1079}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,799.00', 'displayformattedValue': 'Rs. 1,799', 'value': 1799}",Slim Fit Shirt with Patch Pocket,False,/spykar-slim-fit-shirt-with-patch-pocket/p/460611134_beige,,www.ajio.com/spykar-slim-fit-shirt-with-patch-pocket/p/460611134_beige
1,410245483001,Coupon Applicable,"{'brandName': 'SCOTCH & SODA', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h18/hb3/15592493907998/-286Wx359H-410245483-1-MODEL.jpg', 'allPromotions': False, 'colorGroup': '410245483_1', 'sizeFlag': False}","[{'altText': 'SCOTCH & SODA Off-White Classic Shirt with Patch Pocket', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h1f/h00/15592494563358/scotch_&_soda_off-white_classic_shirt_with_patch_pocket.jpg'}, {'altText': 'SCOTCH & SODA Off-White Classic Shirt with Patch Pocket', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h67/h59/15592500985886/scotch_&_soda_off-white_classic_shirt_with_patch_pocket.jpg'}, {'altText': 'SCOTCH & SODA Off-White Classic Shirt with Patch Pocket', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h18/hb3/15592493907998/scotch_&_soda_off-white_classic_shirt_with_patch_pocket.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",31% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 5,513.00', 'displayformattedValue': 'Rs. 5,513', 'value': 5513}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 7,990.00', 'displayformattedValue': 'Rs. 7,990', 'value': 7990}",Shirt with Patch Pocket,False,/scotch--soda-shirt-with-patch-pocket/p/410245483_1,"{'sizeVariants': ['S', 'M', 'L', 'XL']}",www.ajio.com/scotch--soda-shirt-with-patch-pocket/p/410245483_1
2,410232035006,Coupon Applicable,"{'brandName': 'SCOTCH & SODA', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h7e/hee/13607246626846/-286Wx359H-410232035-2-MODEL.jpg', 'allPromotions': False, 'colorGroup': '410232035_2', 'sizeFlag': False}","[{'altText': 'SCOTCH & SODA 2 Classic Incorrect Brick Mapping', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h92/h15/13607246692382/scotch_&_soda_2_classic_incorrect_brick_mapping.jpg'}, {'altText': 'SCOTCH & SODA 2 Classic Incorrect Brick Mapping', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h1f/h36/13607247478814/scotch_&_soda_2_classic_incorrect_brick_mapping.jpg'}, {'altText': 'SCOTCH & SODA 2 Classic Incorrect Brick Mapping', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h7e/hee/13607246626846/scotch_&_soda_2_classic_incorrect_brick_mapping.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 8,990.00', 'displayformattedValue': 'Rs. 8,990', 'value': 8990}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 8,990.00', 'displayformattedValue': 'Rs. 8,990', 'value': 8990}",Incorrect Brick Mapping,False,/scotch--soda-incorrect-brick-mapping/p/410232035_2,,www.ajio.com/scotch--soda-incorrect-brick-mapping/p/410232035_2
3,410231812010,Coupon Applicable,"{'brandName': 'SCOTCH & SODA', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/hc2/h74/13546171465758/-286Wx359H-410231812-19-MODEL.jpg', 'allPromotions': False, 'colorGroup': '410231812_19', 'sizeFlag': False}","[{'altText': 'SCOTCH & SODA Navy Blue Classic Printed Slim Fit Shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h16/h5f/13546171531294/scotch_&_soda_navy_blue_classic_printed_slim_fit_shirt.jpg'}, {'altText': 'SCOTCH & SODA Navy Blue Classic Printed Slim Fit Shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ha3/h7f/13546172317726/scotch_&_soda_navy_blue_classic_printed_slim_fit_shirt.jpg'}, {'altText': 'SCOTCH & SODA Navy Blue Classic Printed Slim Fit Shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hc2/h74/13546171465758/scotch_&_soda_navy_blue_classic_printed_slim_fit_shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",50% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 2,995.00', 'displayformattedValue': 'Rs. 2,995', 'value': 2995}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 5,990.00', 'displayformattedValue': 'Rs. 5,990', 'value': 5990}",Printed Slim Fit Shirt,False,/scotch--soda-printed-slim-fit-shirt/p/410231812_19,"{'sizeVariants': ['S', 'L', 'XL']}",www.ajio.com/scotch--soda-printed-slim-fit-shirt/p/410231812_19
4,410231812020,Coupon Applicable,"{'brandName': 'SCOTCH & SODA', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h36/h98/13545883697182/-286Wx359H-410231812-17-MODEL.jpg', 'allPromotions': False, 'colorGroup': '410231812_17', 'sizeFlag': False}","[{'altText': 'SCOTCH & SODA Navy Blue Classic Printed Slim Fit Shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h0d/ha4/13545883762718/scotch_&_soda_navy_blue_classic_printed_slim_fit_shirt.jpg'}, {'altText': 'SCOTCH & SODA Navy Blue Classic Printed Slim Fit Shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h30/h5c/13545884549150/scotch_&_soda_navy_blue_classic_printed_slim_fit_shirt.jpg'}, {'altText': 'SCOTCH & SODA Navy Blue Classic Printed Slim Fit Shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h36/h98/13545883697182/scotch_&_soda_navy_blue_classic_printed_slim_fit_shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",50% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 2,995.00', 'displayformattedValue': 'Rs. 2,995', 'value': 2995}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 5,990.00', 'displayformattedValue': 'Rs. 5,990', 'value': 5990}",Printed Slim Fit Shirt,False,/scotch--soda-printed-slim-fit-shirt/p/410231812_17,"{'sizeVariants': ['S', 'M', 'L', 'XL']}",www.ajio.com/scotch--soda-printed-slim-fit-shirt/p/410231812_17
5,410231812004,Coupon Applicable,"{'brandName': 'SCOTCH & SODA', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/hf5/ha1/13545881796638/-286Wx359H-410231812-20-MODEL.jpg', 'allPromotions': False, 'colorGroup': '410231812_20', 'sizeFlag': False}","[{'altText': 'SCOTCH & SODA White Classic Printed Slim Fit Shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h31/h8a/13545881862174/scotch_&_soda_white_classic_printed_slim_fit_shirt.jpg'}, {'altText': 'SCOTCH & SODA White Classic Printed Slim Fit Shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ha4/h69/13545882648606/scotch_&_soda_white_classic_printed_slim_fit_shirt.jpg'}, {'altText': 'SCOTCH & SODA White Classic Printed Slim Fit Shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hf5/ha1/13545881796638/scotch_&_soda_white_classic_printed_slim_fit_shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",50% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 2,995.00', 'displayformattedValue': 'Rs. 2,995', 'value': 2995}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 5,990.00', 'displayformattedValue': 'Rs. 5,990', 'value': 5990}",Printed Slim Fit Shirt,False,/scotch--soda-printed-slim-fit-shirt/p/410231812_20,"{'sizeVariants': ['S', 'M', 'XL']}",www.ajio.com/scotch--soda-printed-slim-fit-shirt/p/410231812_20
6,410231812015,Coupon Applicable,"{'brandName': 'SCOTCH & SODA', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h1b/h74/13552838246430/-286Wx359H-410231812-18-MODEL.jpg', 'allPromotions': False, 'colorGroup': '410231812_18', 'sizeFlag': False}","[{'altText': 'SCOTCH & SODA  Classic RBL image query', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h2c/hf0/13552838311966/scotch_&_soda__classic_rbl_image_query.jpg'}, {'altText': 'SCOTCH & SODA  Classic RBL image query', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h7e/he2/13552839098398/scotch_&_soda__classic_rbl_image_query.jpg'}, {'altText': 'SCOTCH & SODA  Classic RBL image query', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h1b/h74/13552838246430/scotch_&_soda__classic_rbl_image_query.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",30% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 4,193.00', 'displayformattedValue': 'Rs. 4,193', 'value': 4193}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 5,990.00', 'displayformattedValue': 'Rs. 5,990', 'value': 5990}",RBL image query,False,/scotch--soda-rbl-image-query/p/410231812_18,,www.ajio.com/scotch--soda-rbl-image-query/p/410231812_18
7,410171329020,Coupon Applicable,"{'brandName': 'SCOTCH & SODA', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h08/h8b/13336725782558/-286Wx359H-410171329-8-MODEL.jpg', 'allPromotions': False, 'colorGroup': '410171329_8', 'sizeFlag': False}","[{'altText': 'SCOTCH & SODA Dark Blue Classic Linen Shirt with Curved Hemline', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h3d/hac/13336725848094/scotch_&_soda_dark_blue_classic_linen_shirt_with_curved_hemline.jpg'}, {'altText': 'SCOTCH & SODA Dark Blue Classic Linen Shirt with Curved Hemline', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h5e/h69/13336726634526/scotch_&_soda_dark_blue_classic_linen_shirt_with_curved_hemline.jpg'}, {'altText': 'SCOTCH & SODA Dark Blue Classic Linen Shirt with Curved Hemline', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h08/h8b/13336725782558/scotch_&_soda_dark_blue_classic_linen_shirt_with_curved_hemline.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",50% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 4,995.00', 'displayformattedValue': 'Rs. 4,995', 'value': 4995}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 9,990.00', 'displayformattedValue': 'Rs. 9,990', 'value': 9990}",Linen Shirt with Curved Hemline,False,/scotch--soda-linen-shirt-with-curved-hemline/p/410171329_8,"{'sizeVariants': ['S', 'M', 'L', 'XL']}",www.ajio.com/scotch--soda-linen-shirt-with-curved-hemline/p/410171329_8
8,410171329015,Coupon Applicable,"{'brandName': 'SCOTCH & SODA', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/hb7/hc1/13093657706526/-286Wx359H-410171329-83-MODEL.jpg', 'allPromotions': False, 'colorGroup': '410171329_83', 'sizeFlag': False}","[{'altText': 'SCOTCH & SODA Dark Yellow Classic Cotton Shirt with Patch Pocket', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h5c/h65/13093657772062/scotch_&_soda_dark_yellow_classic_cotton_shirt_with_patch_pocket.jpg'}, {'altText': 'SCOTCH & SODA Dark Yellow Classic Cotton Shirt with Patch Pocket', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h95/hcd/13093658558494/scotch_&_soda_dark_yellow_classic_cotton_shirt_with_patch_pocket.jpg'}, {'altText': 'SCOTCH & SODA Dark Yellow Classic Cotton Shirt with Patch Pocket', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hb7/hc1/13093657706526/scotch_&_soda_dark_yellow_classic_cotton_shirt_with_patch_pocket.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",50% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 4,995.00', 'displayformattedValue': 'Rs. 4,995', 'value': 4995}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 9,990.00', 'displayformattedValue': 'Rs. 9,990', 'value': 9990}",Cotton Shirt with Patch Pocket,False,/scotch--soda-cotton-shirt-with-patch-pocket/p/410171329_83,"{'sizeVariants': ['M', 'L']}",www.ajio.com/scotch--soda-cotton-shirt-with-patch-pocket/p/410171329_83
9,410171329010,Coupon Applicable,"{'brandName': 'SCOTCH & SODA', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/hd9/h89/12869986353182/-286Wx359H-410171329-102-MODEL.jpg', 'allPromotions': False, 'colorGroup': '410171329_102', 'sizeFlag': False}","[{'altText': 'SCOTCH & SODA White Classic Cotton Shirt with Patch Pocket', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h0e/hd1/12869986418718/scotch_&_soda_white_classic_cotton_shirt_with_patch_pocket.jpg'}, {'altText': 'SCOTCH & SODA White Classic Cotton Shirt with Patch Pocket', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hbf/h81/12869987205150/scotch_&_soda_white_classic_cotton_shirt_with_patch_pocket.jpg'}, {'altText': 'SCOTCH & SODA White Classic Cotton Shirt with Patch Pocket', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hd9/h89/12869986353182/scotch_&_soda_white_classic_cotton_shirt_with_patch_pocket.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",40% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 5,994.00', 'displayformattedValue': 'Rs. 5,994', 'value': 5994}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 9,990.00', 'displayformattedValue': 'Rs. 9,990', 'value': 9990}",Cotton Shirt with Patch Pocket,False,/scotch--soda-cotton-shirt-with-patch-pocket/p/410171329_102,"{'sizeVariants': ['L', 'XL']}",www.ajio.com/scotch--soda-cotton-shirt-with-patch-pocket/p/410171329_102
