,code,couponStatus,fnlColorVariantData,images,fnlProductData,price,wasPriceData,name,volumePricesFlag,url,discountPercent,productSizeData,PAGE_URL_COMPLETE
0,410245520004,Coupon Applicable,"{'brandName': 'SCOTCH & SODA', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/20200723/r923/5f19aec07cdb8c220784520a/-286Wx359H-410245520-219-MODEL.jpg', 'allPromotions': False, 'colorGroup': '410245520_219', 'sizeFlag': False}","[{'altText': 'SCOTCH & SODA 219 Pleated Swatch image - Blake- classic pleated chino 219 3132', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200723/r923/5f19aec07cdb8c2207845226/scotch_&_soda_219_pleated_swatch_image_-_blake-_classic_pleated_chino_219_3132.jpg'}, {'altText': 'SCOTCH & SODA 219 Pleated Swatch image - Blake- classic pleated chino 219 3132', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200723/r923/5f19aec07cdb8c220784520f/scotch_&_soda_219_pleated_swatch_image_-_blake-_classic_pleated_chino_219_3132.jpg'}, {'altText': 'SCOTCH & SODA 219 Pleated Swatch image - Blake- classic pleated chino 219 3132', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200723/r923/5f19aec07cdb8c220784520a/scotch_&_soda_219_pleated_swatch_image_-_blake-_classic_pleated_chino_219_3132.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 10,990.00', 'displayformattedValue': 'Rs. 10,990', 'value': 10990}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 10,990.00', 'displayformattedValue': 'Rs. 10,990', 'value': 10990}",Swatch image - Blake- classic pleated chino 219 3132,False,/scotch--soda-swatch-image--blake-classic-pleated-chino-219-3132/p/410245520_219,,,www.ajio.com/scotch--soda-swatch-image--blake-classic-pleated-chino-219-3132/p/410245520_219
1,410245520008,Coupon Applicable,"{'brandName': 'SCOTCH & SODA', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h85/h29/16088282857502/-286Wx359H-410245520-217-MODEL.jpg', 'allPromotions': False, 'colorGroup': '410245520_217', 'sizeFlag': False}","[{'altText': 'SCOTCH & SODA Blue Pleated Blake Single-Pleat Trousers', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h31/h06/16088283578398/scotch_&_soda_blue_pleated_blake_single-pleat_trousers.jpg'}, {'altText': 'SCOTCH & SODA Blue Pleated Blake Single-Pleat Trousers', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/he1/h03/16088290590750/scotch_&_soda_blue_pleated_blake_single-pleat_trousers.jpg'}, {'altText': 'SCOTCH & SODA Blue Pleated Blake Single-Pleat Trousers', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h85/h29/16088282857502/scotch_&_soda_blue_pleated_blake_single-pleat_trousers.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 7,583.00', 'displayformattedValue': 'Rs. 7,583', 'value': 7583}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 10,990.00', 'displayformattedValue': 'Rs. 10,990', 'value': 10990}",Blake Single-Pleat Trousers,False,/scotch--soda-blake-single-pleat-trousers/p/410245520_217,31% off,"{'sizeVariants': ['29', '30', '32', '34']}",www.ajio.com/scotch--soda-blake-single-pleat-trousers/p/410245520_217
2,410245492005,Coupon Applicable,"{'brandName': 'SCOTCH & SODA', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/hfe/h6d/16088336859166/-286Wx359H-410245492-765-MODEL.jpg', 'allPromotions': False, 'colorGroup': '410245492_765', 'sizeFlag': False}","[{'altText': 'SCOTCH & SODA Light Blue Chinos Stuart Classic Chinos', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hd7/haa/16088337448990/scotch_&_soda_light_blue_chinos_stuart_classic_chinos.jpg'}, {'altText': 'SCOTCH & SODA Light Blue Chinos Stuart Classic Chinos', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hcd/h27/16088345378846/scotch_&_soda_light_blue_chinos_stuart_classic_chinos.jpg'}, {'altText': 'SCOTCH & SODA Light Blue Chinos Stuart Classic Chinos', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hfe/h6d/16088336859166/scotch_&_soda_light_blue_chinos_stuart_classic_chinos.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 7,990.00', 'displayformattedValue': 'Rs. 7,990', 'value': 7990}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 7,990.00', 'displayformattedValue': 'Rs. 7,990', 'value': 7990}",Stuart Classic Chinos,False,/scotch--soda-stuart-classic-chinos/p/410245492_765,,,www.ajio.com/scotch--soda-stuart-classic-chinos/p/410245492_765
3,410245492013,Coupon Applicable,"{'brandName': 'SCOTCH & SODA', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h2c/he4/16088283971614/-286Wx359H-410245492-446-MODEL.jpg', 'allPromotions': False, 'colorGroup': '410245492_446', 'sizeFlag': False}","[{'altText': 'SCOTCH & SODA Mustard Yellow Chinos Stuart Classic Chinos', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h3e/h20/16088284823582/scotch_&_soda_mustard_yellow_chinos_stuart_classic_chinos.jpg'}, {'altText': 'SCOTCH & SODA Mustard Yellow Chinos Stuart Classic Chinos', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hc6/h6d/16088292098078/scotch_&_soda_mustard_yellow_chinos_stuart_classic_chinos.jpg'}, {'altText': 'SCOTCH & SODA Mustard Yellow Chinos Stuart Classic Chinos', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h2c/he4/16088283971614/scotch_&_soda_mustard_yellow_chinos_stuart_classic_chinos.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 5,513.00', 'displayformattedValue': 'Rs. 5,513', 'value': 5513}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 7,990.00', 'displayformattedValue': 'Rs. 7,990', 'value': 7990}",Stuart Classic Chinos,False,/scotch--soda-stuart-classic-chinos/p/410245492_446,31% off,"{'sizeVariants': ['28', '29', '30', '32', '34', '36']}",www.ajio.com/scotch--soda-stuart-classic-chinos/p/410245492_446
4,410245488029,Coupon Applicable,"{'brandName': 'SCOTCH & SODA', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h15/h96/16131661135902/-286Wx359H-410245488-3499-MODEL.jpg', 'allPromotions': False, 'colorGroup': '410245488_3499', 'sizeFlag': False}","[{'altText': 'SCOTCH & SODA Brown Chinos Mott Flat-Front Skinny Fit Chinos', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h48/hd0/16131661594654/scotch_&_soda_brown_chinos_mott_flat-front_skinny_fit_chinos.jpg'}, {'altText': 'SCOTCH & SODA Brown Chinos Mott Flat-Front Skinny Fit Chinos', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h67/h26/16131667820574/scotch_&_soda_brown_chinos_mott_flat-front_skinny_fit_chinos.jpg'}, {'altText': 'SCOTCH & SODA Brown Chinos Mott Flat-Front Skinny Fit Chinos', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h15/h96/16131661135902/scotch_&_soda_brown_chinos_mott_flat-front_skinny_fit_chinos.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 6,203.00', 'displayformattedValue': 'Rs. 6,203', 'value': 6203}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 8,990.00', 'displayformattedValue': 'Rs. 8,990', 'value': 8990}",Mott Flat-Front Skinny Fit Chinos,False,/scotch--soda-mott-flat-front-skinny-fit-chinos/p/410245488_3499,31% off,"{'sizeVariants': ['28', '29', '30', '31', '32', '34', '36']}",www.ajio.com/scotch--soda-mott-flat-front-skinny-fit-chinos/p/410245488_3499
5,410245488008,Coupon Applicable,"{'brandName': 'SCOTCH & SODA', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h4f/h0b/16088202772510/-286Wx359H-410245488-3194-MODEL.jpg', 'allPromotions': False, 'colorGroup': '410245488_3194', 'sizeFlag': False}","[{'altText': 'SCOTCH & SODA Pink Chinos Mott Flat-Front Skinny Fit Chinos', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h1d/h2a/16088203296798/scotch_&_soda_pink_chinos_mott_flat-front_skinny_fit_chinos.jpg'}, {'altText': 'SCOTCH & SODA Pink Chinos Mott Flat-Front Skinny Fit Chinos', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h2a/h4b/16088209653790/scotch_&_soda_pink_chinos_mott_flat-front_skinny_fit_chinos.jpg'}, {'altText': 'SCOTCH & SODA Pink Chinos Mott Flat-Front Skinny Fit Chinos', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h4f/h0b/16088202772510/scotch_&_soda_pink_chinos_mott_flat-front_skinny_fit_chinos.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 8,990.00', 'displayformattedValue': 'Rs. 8,990', 'value': 8990}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 8,990.00', 'displayformattedValue': 'Rs. 8,990', 'value': 8990}",Mott Flat-Front Skinny Fit Chinos,False,/scotch--soda-mott-flat-front-skinny-fit-chinos/p/410245488_3194,,,www.ajio.com/scotch--soda-mott-flat-front-skinny-fit-chinos/p/410245488_3194
6,410245488024,Coupon Applicable,"{'brandName': 'SCOTCH & SODA', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h99/h9f/16088171249694/-286Wx359H-410245488-1214-MODEL.jpg', 'allPromotions': False, 'colorGroup': '410245488_1214', 'sizeFlag': False}","[{'altText': 'SCOTCH & SODA Black Chinos Mott Flat-Front Skinny Fit Chinos', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h6b/h13/16088171315230/scotch_&_soda_black_chinos_mott_flat-front_skinny_fit_chinos.jpg'}, {'altText': 'SCOTCH & SODA Black Chinos Mott Flat-Front Skinny Fit Chinos', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h64/h69/16088175247390/scotch_&_soda_black_chinos_mott_flat-front_skinny_fit_chinos.jpg'}, {'altText': 'SCOTCH & SODA Black Chinos Mott Flat-Front Skinny Fit Chinos', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h99/h9f/16088171249694/scotch_&_soda_black_chinos_mott_flat-front_skinny_fit_chinos.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 6,203.00', 'displayformattedValue': 'Rs. 6,203', 'value': 6203}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 8,990.00', 'displayformattedValue': 'Rs. 8,990', 'value': 8990}",Mott Flat-Front Skinny Fit Chinos,False,/scotch--soda-mott-flat-front-skinny-fit-chinos/p/410245488_1214,31% off,"{'sizeVariants': ['29', '30', '32', '34', '36']}",www.ajio.com/scotch--soda-mott-flat-front-skinny-fit-chinos/p/410245488_1214
7,410245488001,Coupon Applicable,"{'brandName': 'SCOTCH & SODA', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h20/hbd/15829598928926/-286Wx359H-410245488-82-MODEL.jpg', 'allPromotions': False, 'colorGroup': '410245488_82', 'sizeFlag': False}","[{'altText': 'SCOTCH & SODA Brick Brown Chinos Flat-Front Skinny Chinos', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ha1/hde/15829599453214/scotch_&_soda_brick_brown_chinos_flat-front_skinny_chinos.jpg'}, {'altText': 'SCOTCH & SODA Brick Brown Chinos Flat-Front Skinny Chinos', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h02/he3/15829605646366/scotch_&_soda_brick_brown_chinos_flat-front_skinny_chinos.jpg'}, {'altText': 'SCOTCH & SODA Brick Brown Chinos Flat-Front Skinny Chinos', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h20/hbd/15829598928926/scotch_&_soda_brick_brown_chinos_flat-front_skinny_chinos.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 6,203.00', 'displayformattedValue': 'Rs. 6,203', 'value': 6203}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 8,990.00', 'displayformattedValue': 'Rs. 8,990', 'value': 8990}",Flat-Front Skinny Chinos,False,/scotch--soda-flat-front-skinny-chinos/p/410245488_82,31% off,"{'sizeVariants': ['28', '29', '30', '31', '32', '34', '36']}",www.ajio.com/scotch--soda-flat-front-skinny-chinos/p/410245488_82
8,410245488018,Coupon Applicable,"{'brandName': 'SCOTCH & SODA', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h75/h9b/16088194056222/-286Wx359H-410245488-102-MODEL.jpg', 'allPromotions': False, 'colorGroup': '410245488_102', 'sizeFlag': False}","[{'altText': 'SCOTCH & SODA White Chinos Mott Flat-Front Skinny Fit Chinos', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h69/h51/16088194187294/scotch_&_soda_white_chinos_mott_flat-front_skinny_fit_chinos.jpg'}, {'altText': 'SCOTCH & SODA White Chinos Mott Flat-Front Skinny Fit Chinos', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h8d/h9d/16088196022302/scotch_&_soda_white_chinos_mott_flat-front_skinny_fit_chinos.jpg'}, {'altText': 'SCOTCH & SODA White Chinos Mott Flat-Front Skinny Fit Chinos', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h75/h9b/16088194056222/scotch_&_soda_white_chinos_mott_flat-front_skinny_fit_chinos.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 5,394.00', 'displayformattedValue': 'Rs. 5,394', 'value': 5394}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 8,990.00', 'displayformattedValue': 'Rs. 8,990', 'value': 8990}",Mott Flat-Front Skinny Fit Chinos,False,/scotch--soda-mott-flat-front-skinny-fit-chinos/p/410245488_102,40% off,"{'sizeVariants': ['28', '29', '30', '31', '32', '34', '36']}",www.ajio.com/scotch--soda-mott-flat-front-skinny-fit-chinos/p/410245488_102
9,410245448002,Coupon Applicable,"{'brandName': 'SCOTCH & SODA', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h71/h05/16131593076766/-286Wx359H-410245448-115-MODEL.jpg', 'allPromotions': False, 'colorGroup': '410245448_115', 'sizeFlag': False}","[{'altText': 'SCOTCH & SODA Olive Chinos Stuart Flat-Front Classic Chinos', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h75/h31/16131593502750/scotch_&_soda_olive_chinos_stuart_flat-front_classic_chinos.jpg'}, {'altText': 'SCOTCH & SODA Olive Chinos Stuart Flat-Front Classic Chinos', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h39/hb9/16131598680094/scotch_&_soda_olive_chinos_stuart_flat-front_classic_chinos.jpg'}, {'altText': 'SCOTCH & SODA Olive Chinos Stuart Flat-Front Classic Chinos', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h71/h05/16131593076766/scotch_&_soda_olive_chinos_stuart_flat-front_classic_chinos.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 4,714.00', 'displayformattedValue': 'Rs. 4,714', 'value': 4714}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 7,990.00', 'displayformattedValue': 'Rs. 7,990', 'value': 7990}",Stuart Flat-Front Classic Chinos,False,/scotch--soda-stuart-flat-front-classic-chinos/p/410245448_115,41% off,"{'sizeVariants': ['28', '30', '32', '34', '36']}",www.ajio.com/scotch--soda-stuart-flat-front-classic-chinos/p/410245448_115
