,code,couponStatus,fnlColorVariantData,images,fnlProductData,discountPercent,price,wasPriceData,name,volumePricesFlag,url,productSizeData,PAGE_URL_COMPLETE
0,461032822004,Coupon Applicable,"{'brandName': 'DILLINGER', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/20200725/P3RM/5f1b2b40f997ddfa5322466d/-286Wx359H-461032822-blue-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461032822_blue', 'sizeFlag': False}","[{'altText': 'DILLINGER Blue Crew Colourblock Crew-Neck T-shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200725/P3RM/5f1b2b40f997ddfa5322468f/dillinger_blue_crew_colourblock_crew-neck_t-shirt.jpg'}, {'altText': 'DILLINGER Blue Crew Colourblock Crew-Neck T-shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200725/P3RM/5f1b2b40f997ddfa53224676/dillinger_blue_crew_colourblock_crew-neck_t-shirt.jpg'}, {'altText': 'DILLINGER Blue Crew Colourblock Crew-Neck T-shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200725/P3RM/5f1b2b40f997ddfa5322466d/dillinger_blue_crew_colourblock_crew-neck_t-shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL'}",56% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 396.00', 'displayformattedValue': 'Rs. 396', 'value': 396}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 899.00', 'displayformattedValue': 'Rs. 899', 'value': 899}",Colourblock Crew-Neck T-shirt,False,/dillinger-colourblock-crew-neck-t-shirt/p/461032822_blue,"{'sizeVariants': ['S', 'M', 'L', 'XL']}",www.ajio.com/dillinger-colourblock-crew-neck-t-shirt/p/461032822_blue
1,410232056009,Coupon Applicable,"{'brandName': 'SCOTCH & SODA', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/hae/he3/13599539462174/-286Wx359H-410232056-217-MODEL.jpg', 'allPromotions': False, 'colorGroup': '410232056_217', 'sizeFlag': False}","[{'altText': 'SCOTCH & SODA Blue Polo Printed Polo T-shirt with Ribbed Hems', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hc9/h9e/13599539527710/scotch_&_soda_blue_polo_printed_polo_t-shirt_with_ribbed_hems.jpg'}, {'altText': 'SCOTCH & SODA Blue Polo Printed Polo T-shirt with Ribbed Hems', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hcd/h5c/13599540314142/scotch_&_soda_blue_polo_printed_polo_t-shirt_with_ribbed_hems.jpg'}, {'altText': 'SCOTCH & SODA Blue Polo Printed Polo T-shirt with Ribbed Hems', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hae/he3/13599539462174/scotch_&_soda_blue_polo_printed_polo_t-shirt_with_ribbed_hems.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",50% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 2,495.00', 'displayformattedValue': 'Rs. 2,495', 'value': 2495}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 4,990.00', 'displayformattedValue': 'Rs. 4,990', 'value': 4990}",Printed Polo T-shirt with Ribbed Hems,False,/scotch--soda-printed-polo-t-shirt-with-ribbed-hems/p/410232056_217,"{'sizeVariants': ['M', 'XL']}",www.ajio.com/scotch--soda-printed-polo-t-shirt-with-ribbed-hems/p/410232056_217
2,410232056002,Coupon Applicable,"{'brandName': 'SCOTCH & SODA', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h17/hd8/13599537299486/-286Wx359H-410232056-219-MODEL.jpg', 'allPromotions': False, 'colorGroup': '410232056_219', 'sizeFlag': False}","[{'altText': 'SCOTCH & SODA Black Polo Printed Polo T-shirt with Ribbed Hems', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hba/h9b/13599537365022/scotch_&_soda_black_polo_printed_polo_t-shirt_with_ribbed_hems.jpg'}, {'altText': 'SCOTCH & SODA Black Polo Printed Polo T-shirt with Ribbed Hems', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h8c/hc1/13599538151454/scotch_&_soda_black_polo_printed_polo_t-shirt_with_ribbed_hems.jpg'}, {'altText': 'SCOTCH & SODA Black Polo Printed Polo T-shirt with Ribbed Hems', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h17/hd8/13599537299486/scotch_&_soda_black_polo_printed_polo_t-shirt_with_ribbed_hems.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",45% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 2,745.00', 'displayformattedValue': 'Rs. 2,745', 'value': 2745}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 4,990.00', 'displayformattedValue': 'Rs. 4,990', 'value': 4990}",Printed Polo T-shirt with Ribbed Hems,False,/scotch--soda-printed-polo-t-shirt-with-ribbed-hems/p/410232056_219,,www.ajio.com/scotch--soda-printed-polo-t-shirt-with-ribbed-hems/p/410232056_219
3,410232056015,Coupon Applicable,"{'brandName': 'SCOTCH & SODA', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/hf5/h22/13599541362718/-286Wx359H-410232056-218-MODEL.jpg', 'allPromotions': False, 'colorGroup': '410232056_218', 'sizeFlag': False}","[{'altText': 'SCOTCH & SODA  Polo Incorrect brick mapping', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h2a/h44/13599541428254/scotch_&_soda__polo_incorrect_brick_mapping.jpg'}, {'altText': 'SCOTCH & SODA  Polo Incorrect brick mapping', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/he3/he6/13599542214686/scotch_&_soda__polo_incorrect_brick_mapping.jpg'}, {'altText': 'SCOTCH & SODA  Polo Incorrect brick mapping', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hf5/h22/13599541362718/scotch_&_soda__polo_incorrect_brick_mapping.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",30% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 3,493.00', 'displayformattedValue': 'Rs. 3,493', 'value': 3493}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 4,990.00', 'displayformattedValue': 'Rs. 4,990', 'value': 4990}",Incorrect brick mapping,False,/scotch--soda-incorrect-brick-mapping/p/410232056_218,,www.ajio.com/scotch--soda-incorrect-brick-mapping/p/410232056_218
4,410231830010,Coupon Applicable,"{'brandName': 'SCOTCH & SODA', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h61/hac/13545913712670/-286Wx359H-410231830-1-MODEL.jpg', 'allPromotions': False, 'colorGroup': '410231830_1', 'sizeFlag': False}","[{'altText': 'SCOTCH & SODA White Crew Textured Crew-Neck T-shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hb8/hbf/13545913778206/scotch_&_soda_white_crew_textured_crew-neck_t-shirt.jpg'}, {'altText': 'SCOTCH & SODA White Crew Textured Crew-Neck T-shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h8f/h9d/13545914564638/scotch_&_soda_white_crew_textured_crew-neck_t-shirt.jpg'}, {'altText': 'SCOTCH & SODA White Crew Textured Crew-Neck T-shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h61/hac/13545913712670/scotch_&_soda_white_crew_textured_crew-neck_t-shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",41% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 2,649.00', 'displayformattedValue': 'Rs. 2,649', 'value': 2649}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 4,490.00', 'displayformattedValue': 'Rs. 4,490', 'value': 4490}",Textured Crew-Neck T-shirt,False,/scotch--soda-textured-crew-neck-t-shirt/p/410231830_1,{'sizeVariants': ['XL']},www.ajio.com/scotch--soda-textured-crew-neck-t-shirt/p/410231830_1
5,410231830003,Coupon Applicable,"{'brandName': 'SCOTCH & SODA', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/20200723/nzB4/5f19b18e7cdb8c220784814b/-286Wx359H-410231830-5-MODEL.jpg', 'allPromotions': False, 'colorGroup': '410231830_5', 'sizeFlag': False}","[{'altText': 'SCOTCH & SODA White Crew Textured Crew-Neck T-shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200723/nzB4/5f19b18e7cdb8c2207848172/scotch_&_soda_white_crew_textured_crew-neck_t-shirt.jpg'}, {'altText': 'SCOTCH & SODA White Crew Textured Crew-Neck T-shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200723/nzB4/5f19b18e7cdb8c2207848152/scotch_&_soda_white_crew_textured_crew-neck_t-shirt.jpg'}, {'altText': 'SCOTCH & SODA White Crew Textured Crew-Neck T-shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200723/nzB4/5f19b18e7cdb8c220784814b/scotch_&_soda_white_crew_textured_crew-neck_t-shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",30% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 3,143.00', 'displayformattedValue': 'Rs. 3,143', 'value': 3143}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 4,490.00', 'displayformattedValue': 'Rs. 4,490', 'value': 4490}",Textured Crew-Neck T-shirt,False,/scotch--soda-textured-crew-neck-t-shirt/p/410231830_5,,www.ajio.com/scotch--soda-textured-crew-neck-t-shirt/p/410231830_5
6,410171413014,Coupon Applicable,"{'brandName': 'SCOTCH & SODA', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/hef/ha8/12768065028126/-286Wx359H-410171413-2762-MODEL.jpg', 'allPromotions': False, 'colorGroup': '410171413_2762', 'sizeFlag': False}","[{'altText': 'SCOTCH & SODA Red Polo Classic Polo T-shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h16/hd4/12768065093662/scotch_&_soda_red_polo_classic_polo_t-shirt.jpg'}, {'altText': 'SCOTCH & SODA Red Polo Classic Polo T-shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h88/h10/12768065880094/scotch_&_soda_red_polo_classic_polo_t-shirt.jpg'}, {'altText': 'SCOTCH & SODA Red Polo Classic Polo T-shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hef/ha8/12768065028126/scotch_&_soda_red_polo_classic_polo_t-shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",51% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 2,200.00', 'displayformattedValue': 'Rs. 2,200', 'value': 2200}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 4,490.00', 'displayformattedValue': 'Rs. 4,490', 'value': 4490}",Classic Polo T-shirt,False,/scotch--soda-classic-polo-t-shirt/p/410171413_2762,"{'sizeVariants': ['M', 'XL']}",www.ajio.com/scotch--soda-classic-polo-t-shirt/p/410171413_2762
7,410171413002,Coupon Applicable,"{'brandName': 'SCOTCH & SODA', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h00/h44/12768122961950/-286Wx359H-410171413-2781-MODEL.jpg', 'allPromotions': False, 'colorGroup': '410171413_2781', 'sizeFlag': False}","[{'altText': 'SCOTCH & SODA Light Green Polo Classic Polo T-shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hf2/h76/12768123027486/scotch_&_soda_light_green_polo_classic_polo_t-shirt.jpg'}, {'altText': 'SCOTCH & SODA Light Green Polo Classic Polo T-shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hb5/hb2/12768123813918/scotch_&_soda_light_green_polo_classic_polo_t-shirt.jpg'}, {'altText': 'SCOTCH & SODA Light Green Polo Classic Polo T-shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h00/h44/12768122961950/scotch_&_soda_light_green_polo_classic_polo_t-shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 4,490.00', 'displayformattedValue': 'Rs. 4,490', 'value': 4490}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 4,490.00', 'displayformattedValue': 'Rs. 4,490', 'value': 4490}",Classic Polo T-shirt,False,/scotch--soda-classic-polo-t-shirt/p/410171413_2781,,www.ajio.com/scotch--soda-classic-polo-t-shirt/p/410171413_2781
8,410171413032,Coupon Applicable,"{'brandName': 'SCOTCH & SODA', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/hc7/hd1/12768142360606/-286Wx359H-410171413-1150-MODEL.jpg', 'allPromotions': False, 'colorGroup': '410171413_1150', 'sizeFlag': False}","[{'altText': 'SCOTCH & SODA Olive Green Polo Classic Polo T-shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hfc/hf2/12768142426142/scotch_&_soda_olive_green_polo_classic_polo_t-shirt.jpg'}, {'altText': 'SCOTCH & SODA Olive Green Polo Classic Polo T-shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h4b/h6a/12768143212574/scotch_&_soda_olive_green_polo_classic_polo_t-shirt.jpg'}, {'altText': 'SCOTCH & SODA Olive Green Polo Classic Polo T-shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hc7/hd1/12768142360606/scotch_&_soda_olive_green_polo_classic_polo_t-shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",30% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 3,143.00', 'displayformattedValue': 'Rs. 3,143', 'value': 3143}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 4,490.00', 'displayformattedValue': 'Rs. 4,490', 'value': 4490}",Classic Polo T-shirt,False,/scotch--soda-classic-polo-t-shirt/p/410171413_1150,,www.ajio.com/scotch--soda-classic-polo-t-shirt/p/410171413_1150
9,410171413041,Coupon Applicable,"{'brandName': 'SCOTCH & SODA', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/hf4/h57/12885776138270/-286Wx359H-410171413-986-MODEL.jpg', 'allPromotions': False, 'colorGroup': '410171413_986', 'sizeFlag': False}","[{'altText': 'SCOTCH & SODA Brown Polo Classic Polo T-shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h4e/he4/12885776203806/scotch_&_soda_brown_polo_classic_polo_t-shirt.jpg'}, {'altText': 'SCOTCH & SODA Brown Polo Classic Polo T-shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/he8/h04/12885776990238/scotch_&_soda_brown_polo_classic_polo_t-shirt.jpg'}, {'altText': 'SCOTCH & SODA Brown Polo Classic Polo T-shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hf4/h57/12885776138270/scotch_&_soda_brown_polo_classic_polo_t-shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",50% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 2,245.00', 'displayformattedValue': 'Rs. 2,245', 'value': 2245}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 4,490.00', 'displayformattedValue': 'Rs. 4,490', 'value': 4490}",Classic Polo T-shirt,False,/scotch--soda-classic-polo-t-shirt/p/410171413_986,,www.ajio.com/scotch--soda-classic-polo-t-shirt/p/410171413_986
