,code,couponStatus,fnlColorVariantData,images,fnlProductData,discountPercent,price,wasPriceData,name,volumePricesFlag,url,productSizeData,PAGE_URL_COMPLETE
0,440970511002,Coupon Applicable,"{'brandName': 'FLYING MACHINE', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f15b269aeb269317589b643/-286Wx359H-440970511-maroon-MODEL.jpg', 'allPromotions': False, 'colorGroup': '440970511_maroon', 'sizeFlag': False}","[{'altText': 'FLYING MACHINE Maroon Classic Slim Fit Printed Shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f15b269aeb269317589b669/flying_machine_maroon_classic_slim_fit_printed_shirt.jpg'}, {'altText': 'FLYING MACHINE Maroon Classic Slim Fit Printed Shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f15b269aeb269317589b647/flying_machine_maroon_classic_slim_fit_printed_shirt.jpg'}, {'altText': 'FLYING MACHINE Maroon Classic Slim Fit Printed Shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f15b269aeb269317589b643/flying_machine_maroon_classic_slim_fit_printed_shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",30% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 979.00', 'displayformattedValue': 'Rs. 979', 'value': 979}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,399.00', 'displayformattedValue': 'Rs. 1,399', 'value': 1399}",Slim Fit Printed Shirt,False,/flying-machine-slim-fit-printed-shirt/p/440970511_maroon,,trends.ajio.com/flying-machine-slim-fit-printed-shirt/p/440970511_maroon
1,440970508004,Coupon Applicable,"{'brandName': 'FLYING MACHINE', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f15b7c5aeb269317589cb18/-286Wx359H-440970508-white-MODEL.jpg', 'allPromotions': False, 'colorGroup': '440970508_white', 'sizeFlag': False}","[{'altText': 'FLYING MACHINE White Classic Slim Fit Printed Shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f15b7c5aeb269317589cb1d/flying_machine_white_classic_slim_fit_printed_shirt.jpg'}, {'altText': 'FLYING MACHINE White Classic Slim Fit Printed Shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f15b7c5aeb269317589cb19/flying_machine_white_classic_slim_fit_printed_shirt.jpg'}, {'altText': 'FLYING MACHINE White Classic Slim Fit Printed Shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f15b7c5aeb269317589cb18/flying_machine_white_classic_slim_fit_printed_shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",30% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 909.00', 'displayformattedValue': 'Rs. 909', 'value': 909}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,299.00', 'displayformattedValue': 'Rs. 1,299', 'value': 1299}",Slim Fit Printed Shirt,False,/flying-machine-slim-fit-printed-shirt/p/440970508_white,,trends.ajio.com/flying-machine-slim-fit-printed-shirt/p/440970508_white
2,440970505005,Coupon Applicable,"{'brandName': 'FLYING MACHINE', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f15b2687cdb8c721b7fc1d7/-286Wx359H-440970505-navy-MODEL.jpg', 'allPromotions': False, 'colorGroup': '440970505_navy', 'sizeFlag': False}","[{'altText': 'FLYING MACHINE Blue Classic Slim Fit Printed Shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f15b2687cdb8c721b7fc1ef/flying_machine_blue_classic_slim_fit_printed_shirt.jpg'}, {'altText': 'FLYING MACHINE Blue Classic Slim Fit Printed Shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f15b2687cdb8c721b7fc1dd/flying_machine_blue_classic_slim_fit_printed_shirt.jpg'}, {'altText': 'FLYING MACHINE Blue Classic Slim Fit Printed Shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f15b2687cdb8c721b7fc1d7/flying_machine_blue_classic_slim_fit_printed_shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",30% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 979.00', 'displayformattedValue': 'Rs. 979', 'value': 979}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,399.00', 'displayformattedValue': 'Rs. 1,399', 'value': 1399}",Slim Fit Printed Shirt,False,/flying-machine-slim-fit-printed-shirt/p/440970505_navy,,trends.ajio.com/flying-machine-slim-fit-printed-shirt/p/440970505_navy
3,440970504005,Coupon Applicable,"{'brandName': 'FLYING MACHINE', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f15b4b9aeb269317589bf1c/-286Wx359H-440970504-navy-MODEL.jpg', 'allPromotions': False, 'colorGroup': '440970504_navy', 'sizeFlag': False}","[{'altText': 'FLYING MACHINE Navy Blue Classic Slim Fit Shirt with Patch Pocket', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f15b4b9aeb269317589bf25/flying_machine_navy_blue_classic_slim_fit_shirt_with_patch_pocket.jpg'}, {'altText': 'FLYING MACHINE Navy Blue Classic Slim Fit Shirt with Patch Pocket', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f15b4b9aeb269317589bf1d/flying_machine_navy_blue_classic_slim_fit_shirt_with_patch_pocket.jpg'}, {'altText': 'FLYING MACHINE Navy Blue Classic Slim Fit Shirt with Patch Pocket', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f15b4b9aeb269317589bf1c/flying_machine_navy_blue_classic_slim_fit_shirt_with_patch_pocket.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",35% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 844.00', 'displayformattedValue': 'Rs. 844', 'value': 844}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,299.00', 'displayformattedValue': 'Rs. 1,299', 'value': 1299}",Slim Fit Shirt with Patch Pocket,False,/flying-machine-slim-fit-shirt-with-patch-pocket/p/440970504_navy,,trends.ajio.com/flying-machine-slim-fit-shirt-with-patch-pocket/p/440970504_navy
4,440970502003,Coupon Applicable,"{'brandName': 'FLYING MACHINE', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f15b69e7cdb8c721b7fd7f9/-286Wx359H-440970502-olive-MODEL.jpg', 'allPromotions': False, 'colorGroup': '440970502_olive', 'sizeFlag': False}","[{'altText': 'FLYING MACHINE Green Classic Slim Fit Cotton Shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f15b69e7cdb8c721b7fd837/flying_machine_green_classic_slim_fit_cotton_shirt.jpg'}, {'altText': 'FLYING MACHINE Green Classic Slim Fit Cotton Shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f15b69e7cdb8c721b7fd804/flying_machine_green_classic_slim_fit_cotton_shirt.jpg'}, {'altText': 'FLYING MACHINE Green Classic Slim Fit Cotton Shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f15b69e7cdb8c721b7fd7f9/flying_machine_green_classic_slim_fit_cotton_shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",35% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 844.00', 'displayformattedValue': 'Rs. 844', 'value': 844}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,299.00', 'displayformattedValue': 'Rs. 1,299', 'value': 1299}",Slim Fit Cotton Shirt,False,/flying-machine-slim-fit-cotton-shirt/p/440970502_olive,,trends.ajio.com/flying-machine-slim-fit-cotton-shirt/p/440970502_olive
5,440970497001,Coupon Applicable,"{'brandName': 'FLYING MACHINE', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f15b8bbaeb269317589cf3b/-286Wx359H-440970497-navy-MODEL.jpg', 'allPromotions': False, 'colorGroup': '440970497_navy', 'sizeFlag': False}","[{'altText': 'FLYING MACHINE Blue Classic Slim Fit Striped Shirt with Patch Pocket', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f15b8bbaeb269317589cf72/flying_machine_blue_classic_slim_fit_striped_shirt_with_patch_pocket.jpg'}, {'altText': 'FLYING MACHINE Blue Classic Slim Fit Striped Shirt with Patch Pocket', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f15b8bbaeb269317589cf4a/flying_machine_blue_classic_slim_fit_striped_shirt_with_patch_pocket.jpg'}, {'altText': 'FLYING MACHINE Blue Classic Slim Fit Striped Shirt with Patch Pocket', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f15b8bbaeb269317589cf3b/flying_machine_blue_classic_slim_fit_striped_shirt_with_patch_pocket.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",35% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 974.00', 'displayformattedValue': 'Rs. 974', 'value': 974}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,499.00', 'displayformattedValue': 'Rs. 1,499', 'value': 1499}",Slim Fit Striped Shirt with Patch Pocket,False,/flying-machine-slim-fit-striped-shirt-with-patch-pocket/p/440970497_navy,,trends.ajio.com/flying-machine-slim-fit-striped-shirt-with-patch-pocket/p/440970497_navy
6,440970474004,Coupon Applicable,"{'brandName': 'FLYING MACHINE', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f11f0c5f997dd433b4f9b2a/-286Wx359H-440970474-blue-MODEL.jpg', 'allPromotions': False, 'colorGroup': '440970474_blue', 'sizeFlag': False}","[{'altText': 'FLYING MACHINE Blue Classic Printed Slim Fit Shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f11f0c5f997dd433b4f9b3c/flying_machine_blue_classic_printed_slim_fit_shirt.jpg'}, {'altText': 'FLYING MACHINE Blue Classic Printed Slim Fit Shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f11f0c5f997dd433b4f9b2e/flying_machine_blue_classic_printed_slim_fit_shirt.jpg'}, {'altText': 'FLYING MACHINE Blue Classic Printed Slim Fit Shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f11f0c5f997dd433b4f9b2a/flying_machine_blue_classic_printed_slim_fit_shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",30% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,119.00', 'displayformattedValue': 'Rs. 1,119', 'value': 1119}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,599.00', 'displayformattedValue': 'Rs. 1,599', 'value': 1599}",Printed Slim Fit Shirt,False,/flying-machine-printed-slim-fit-shirt/p/440970474_blue,,trends.ajio.com/flying-machine-printed-slim-fit-shirt/p/440970474_blue
7,440992127003,Coupon Applicable,"{'brandName': 'FIRST CLASS', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f15b4437cdb8c721b7fcbbf/-286Wx359H-440992127-skyblue-MODEL.jpg', 'allPromotions': False, 'colorGroup': '440992127_skyblue', 'sizeFlag': False}","[{'altText': 'FIRST CLASS Sky Blue Classic Shirt with Patch Pocket', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f15b4437cdb8c721b7fcbe2/first_class_sky_blue_classic_shirt_with_patch_pocket.jpg'}, {'altText': 'FIRST CLASS Sky Blue Classic Shirt with Patch Pocket', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f15b4437cdb8c721b7fcbc7/first_class_sky_blue_classic_shirt_with_patch_pocket.jpg'}, {'altText': 'FIRST CLASS Sky Blue Classic Shirt with Patch Pocket', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f15b4437cdb8c721b7fcbbf/first_class_sky_blue_classic_shirt_with_patch_pocket.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 599.00', 'displayformattedValue': 'Rs. 599', 'value': 599}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 599.00', 'displayformattedValue': 'Rs. 599', 'value': 599}",Shirt with Patch Pocket,False,/first-class-shirt-with-patch-pocket/p/440992127_skyblue,,trends.ajio.com/first-class-shirt-with-patch-pocket/p/440992127_skyblue
8,440970494005,Coupon Applicable,"{'brandName': 'FLYING MACHINE', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f15b8bbaeb269317589cf3a/-286Wx359H-440970494-redorange-MODEL.jpg', 'allPromotions': False, 'colorGroup': '440970494_redorange', 'sizeFlag': False}","[{'altText': 'FLYING MACHINE Multicoloured Classic Checked Slim Fit Shirt with Patch Pocket', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f15b8bbaeb269317589cf53/flying_machine_multicoloured_classic_checked_slim_fit_shirt_with_patch_pocket.jpg'}, {'altText': 'FLYING MACHINE Multicoloured Classic Checked Slim Fit Shirt with Patch Pocket', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f15b8bbaeb269317589cf3d/flying_machine_multicoloured_classic_checked_slim_fit_shirt_with_patch_pocket.jpg'}, {'altText': 'FLYING MACHINE Multicoloured Classic Checked Slim Fit Shirt with Patch Pocket', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f15b8bbaeb269317589cf3a/flying_machine_multicoloured_classic_checked_slim_fit_shirt_with_patch_pocket.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",30% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,049.00', 'displayformattedValue': 'Rs. 1,049', 'value': 1049}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,499.00', 'displayformattedValue': 'Rs. 1,499', 'value': 1499}",Checked Slim Fit Shirt with Patch Pocket,False,/flying-machine-checked-slim-fit-shirt-with-patch-pocket/p/440970494_redorange,,trends.ajio.com/flying-machine-checked-slim-fit-shirt-with-patch-pocket/p/440970494_redorange
9,440970485002,Coupon Applicable,"{'brandName': 'FLYING MACHINE', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f15b260aeb269317589b593/-286Wx359H-440970485-darknavy-MODEL.jpg', 'allPromotions': False, 'colorGroup': '440970485_darknavy', 'sizeFlag': False}","[{'altText': 'FLYING MACHINE Navy Blue Classic Slim Fit Shirt with Patch Pocket', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f15b260aeb269317589b598/flying_machine_navy_blue_classic_slim_fit_shirt_with_patch_pocket.jpg'}, {'altText': 'FLYING MACHINE Navy Blue Classic Slim Fit Shirt with Patch Pocket', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f15b260aeb269317589b594/flying_machine_navy_blue_classic_slim_fit_shirt_with_patch_pocket.jpg'}, {'altText': 'FLYING MACHINE Navy Blue Classic Slim Fit Shirt with Patch Pocket', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f15b260aeb269317589b593/flying_machine_navy_blue_classic_slim_fit_shirt_with_patch_pocket.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",30% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 909.00', 'displayformattedValue': 'Rs. 909', 'value': 909}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,299.00', 'displayformattedValue': 'Rs. 1,299', 'value': 1299}",Slim Fit Shirt with Patch Pocket,False,/flying-machine-slim-fit-shirt-with-patch-pocket/p/440970485_darknavy,,trends.ajio.com/flying-machine-slim-fit-shirt-with-patch-pocket/p/440970485_darknavy
