,code,couponStatus,fnlColorVariantData,images,fnlProductData,price,wasPriceData,name,volumePricesFlag,url,productSizeData,discountPercent,PAGE_URL_COMPLETE
0,440991357001,Coupon Applicable,"{'brandName': 'Rangriti', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5ef3609e7cdb8c721b719d66/-286Wx359H-440991357-white-MODEL.jpg', 'allPromotions': False, 'colorGroup': '440991357_white', 'sizeFlag': False}","[{'altText': 'Rangriti White A-line Printed A-line Tunic with Taselled Tie-Up', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5ef3609e7cdb8c721b719d7c/rangriti_white_a-line_printed_a-line_tunic_with_taselled_tie-up.jpg'}, {'altText': 'Rangriti White A-line Printed A-line Tunic with Taselled Tie-Up', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5ef3609e7cdb8c721b719d69/rangriti_white_a-line_printed_a-line_tunic_with_taselled_tie-up.jpg'}, {'altText': 'Rangriti White A-line Printed A-line Tunic with Taselled Tie-Up', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5ef3609e7cdb8c721b719d66/rangriti_white_a-line_printed_a-line_tunic_with_taselled_tie-up.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 799.00', 'displayformattedValue': 'Rs. 799', 'value': 799}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 799.00', 'displayformattedValue': 'Rs. 799', 'value': 799}",Printed A-line Tunic with Taselled Tie-Up,False,/rangriti-printed-a-line-tunic-with-taselled-tie-up/p/440991357_white,"{'sizeVariants': ['XS', 'S', 'M', 'L', 'XL']}",,trends.ajio.com/rangriti-printed-a-line-tunic-with-taselled-tie-up/p/440991357_white
1,440991357006,Coupon Applicable,"{'brandName': 'Rangriti', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/hf3/h91/16487203438622/-286Wx359H-440991357-pink-MODEL.jpg', 'allPromotions': False, 'colorGroup': '440991357_pink', 'sizeFlag': False}","[{'altText': 'Rangriti White A-line Printed A-line Tunic with Taselled Tie-Up', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hae/h07/16487203897374/rangriti_white_a-line_printed_a-line_tunic_with_taselled_tie-up.jpg'}, {'altText': 'Rangriti White A-line Printed A-line Tunic with Taselled Tie-Up', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h0e/h80/16487210123294/rangriti_white_a-line_printed_a-line_tunic_with_taselled_tie-up.jpg'}, {'altText': 'Rangriti White A-line Printed A-line Tunic with Taselled Tie-Up', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hf3/h91/16487203438622/rangriti_white_a-line_printed_a-line_tunic_with_taselled_tie-up.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 899.00', 'displayformattedValue': 'Rs. 899', 'value': 899}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 899.00', 'displayformattedValue': 'Rs. 899', 'value': 899}",Printed A-line Tunic with Taselled Tie-Up,False,/rangriti-printed-a-line-tunic-with-taselled-tie-up/p/440991357_pink,"{'sizeVariants': ['L', 'XL', 'XXL', '3XL', '4XL']}",,trends.ajio.com/rangriti-printed-a-line-tunic-with-taselled-tie-up/p/440991357_pink
2,441069622001,Coupon Applicable,"{'brandName': 'Biba', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h47/h04/16114735022110/-286Wx359H-441069622-beige-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441069622_beige', 'sizeFlag': False}","[{'altText': 'Biba Beige A-line A-line Kurti with Embroidered Yoke', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hdc/h0f/16114735480862/biba_beige_a-line_a-line_kurti_with_embroidered_yoke.jpg'}, {'altText': 'Biba Beige A-line A-line Kurti with Embroidered Yoke', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h92/h32/16114742951966/biba_beige_a-line_a-line_kurti_with_embroidered_yoke.jpg'}, {'altText': 'Biba Beige A-line A-line Kurti with Embroidered Yoke', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h47/h04/16114735022110/biba_beige_a-line_a-line_kurti_with_embroidered_yoke.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,599.00', 'displayformattedValue': 'Rs. 1,599', 'value': 1599}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,599.00', 'displayformattedValue': 'Rs. 1,599', 'value': 1599}",A-line Kurti with Embroidered Yoke,False,/biba-a-line-kurti-with-embroidered-yoke/p/441069622_beige,"{'sizeVariants': ['XS', 'S', 'M', 'L', 'XL']}",,trends.ajio.com/biba-a-line-kurti-with-embroidered-yoke/p/441069622_beige
3,441057468005,Coupon Applicable,"{'brandName': 'SIYAHI', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h52/ha4/15775304679454/-286Wx359H-441057468-red-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441057468_red', 'sizeFlag': False}","[{'altText': 'SIYAHI Red A-line Printed Panelled A-line Tunic with Asymmetric Hemline', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h91/h66/15775305105438/siyahi_red_a-line_printed_panelled_a-line_tunic_with_asymmetric_hemline.jpg'}, {'altText': 'SIYAHI Red A-line Printed Panelled A-line Tunic with Asymmetric Hemline', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h91/haf/15775311527966/siyahi_red_a-line_printed_panelled_a-line_tunic_with_asymmetric_hemline.jpg'}, {'altText': 'SIYAHI Red A-line Printed Panelled A-line Tunic with Asymmetric Hemline', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h52/ha4/15775304679454/siyahi_red_a-line_printed_panelled_a-line_tunic_with_asymmetric_hemline.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 799.00', 'displayformattedValue': 'Rs. 799', 'value': 799}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 799.00', 'displayformattedValue': 'Rs. 799', 'value': 799}",Printed Panelled A-line Tunic with Asymmetric Hemline,False,/siyahi-printed-panelled-a-line-tunic-with-asymmetric-hemline/p/441057468_red,"{'sizeVariants': ['XS', 'S', 'M', 'L', 'XL', 'XXL']}",,trends.ajio.com/siyahi-printed-panelled-a-line-tunic-with-asymmetric-hemline/p/441057468_red
4,460345942005,Coupon Applicable,"{'brandName': 'AJIO', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h89/h22/13650965889054/-286Wx359H-460345942-rose-MODEL.jpg', 'allPromotions': False, 'colorGroup': '460345942_rose', 'sizeFlag': False}","[{'altText': 'AJIO Rose Gold A-line Boat-Neck A-line Brocade Tunic', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hea/ha0/13650965954590/ajio_rose_gold_a-line_boat-neck_a-line_brocade_tunic.jpg'}, {'altText': 'AJIO Rose Gold A-line Boat-Neck A-line Brocade Tunic', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h14/h39/13650966741022/ajio_rose_gold_a-line_boat-neck_a-line_brocade_tunic.jpg'}, {'altText': 'AJIO Rose Gold A-line Boat-Neck A-line Brocade Tunic', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h89/h22/13650965889054/ajio_rose_gold_a-line_boat-neck_a-line_brocade_tunic.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 764.00', 'displayformattedValue': 'Rs. 764', 'value': 764}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,499.00', 'displayformattedValue': 'Rs. 1,499', 'value': 1499}",Boat-Neck A-line Brocade Tunic,False,/ajio-boat-neck-a-line-brocade-tunic/p/460345942_rose,"{'sizeVariants': ['L', 'XL']}",49% off,trends.ajio.com/ajio-boat-neck-a-line-brocade-tunic/p/460345942_rose
5,441054830005,Coupon Applicable,"{'brandName': 'FIRST CLASS', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h93/h63/15636143210526/-286Wx359H-441054830-navy-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441054830_navy', 'sizeFlag': False}","[{'altText': 'FIRST CLASS Navy Blue Button-Down Tunic with Schiffli Embroidery', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h88/h1b/15636143800350/first_class_navy_blue_button-down_tunic_with_schiffli_embroidery.jpg'}, {'altText': 'FIRST CLASS Navy Blue Button-Down Tunic with Schiffli Embroidery', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/had/h27/15636152942622/first_class_navy_blue_button-down_tunic_with_schiffli_embroidery.jpg'}, {'altText': 'FIRST CLASS Navy Blue Button-Down Tunic with Schiffli Embroidery', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h93/h63/15636143210526/first_class_navy_blue_button-down_tunic_with_schiffli_embroidery.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 799.00', 'displayformattedValue': 'Rs. 799', 'value': 799}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 799.00', 'displayformattedValue': 'Rs. 799', 'value': 799}",Button-Down Tunic with Schiffli Embroidery,False,/first-class-button-down-tunic-with-schiffli-embroidery/p/441054830_navy,"{'sizeVariants': ['XS', 'S', 'M', 'L', 'XL']}",,trends.ajio.com/first-class-button-down-tunic-with-schiffli-embroidery/p/441054830_navy
6,441033991001,Coupon Applicable,"{'brandName': 'FIRST CLASS', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h37/h13/15636052049950/-286Wx359H-441033991-blue-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441033991_blue', 'sizeFlag': False}","[{'altText': 'FIRST CLASS Blue Tunics Straight Tunic with Embroidered Yoke', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h40/hb8/15636052508702/first_class_blue_tunics_straight_tunic_with_embroidered_yoke.jpg'}, {'altText': 'FIRST CLASS Blue Tunics Straight Tunic with Embroidered Yoke', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h75/hb4/15636057817118/first_class_blue_tunics_straight_tunic_with_embroidered_yoke.jpg'}, {'altText': 'FIRST CLASS Blue Tunics Straight Tunic with Embroidered Yoke', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h37/h13/15636052049950/first_class_blue_tunics_straight_tunic_with_embroidered_yoke.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 699.00', 'displayformattedValue': 'Rs. 699', 'value': 699}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 699.00', 'displayformattedValue': 'Rs. 699', 'value': 699}",Straight Tunic with Embroidered Yoke,False,/first-class-straight-tunic-with-embroidered-yoke/p/441033991_blue,"{'sizeVariants': ['XS', 'L']}",,trends.ajio.com/first-class-straight-tunic-with-embroidered-yoke/p/441033991_blue
7,441037265011,Coupon Applicable,"{'brandName': ""AVAASA MIX N' MATCH"", 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h29/h0a/15397414961182/-286Wx359H-441037265-red-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441037265_red', 'sizeFlag': False}","[{'altText': ""AVAASA MIX N' MATCH Red Straight Embroidered Tunic with Raglan Sleeves"", 'format': 'product', 'imageType': 'PRIMARY', 'url': ""https://assets.ajio.com/medias/sys_master/root/h34/h50/15397415452702/avaasa_mix_n'_match_red_straight_embroidered_tunic_with_raglan_sleeves.jpg""}, {'altText': ""AVAASA MIX N' MATCH Red Straight Embroidered Tunic with Raglan Sleeves"", 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': ""https://assets.ajio.com/medias/sys_master/root/hcd/hdc/15397422891038/avaasa_mix_n'_match_red_straight_embroidered_tunic_with_raglan_sleeves.jpg""}, {'altText': ""AVAASA MIX N' MATCH Red Straight Embroidered Tunic with Raglan Sleeves"", 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': ""https://assets.ajio.com/medias/sys_master/root/h29/h0a/15397414961182/avaasa_mix_n'_match_red_straight_embroidered_tunic_with_raglan_sleeves.jpg""}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 699.00', 'displayformattedValue': 'Rs. 699', 'value': 699}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 699.00', 'displayformattedValue': 'Rs. 699', 'value': 699}",Embroidered Tunic with Raglan Sleeves,False,/avaasa-mix-n-match-embroidered-tunic-with-raglan-sleeves/p/441037265_red,"{'sizeVariants': ['XS', 'S', 'M', 'L', 'XL', 'XXL']}",,trends.ajio.com/avaasa-mix-n-match-embroidered-tunic-with-raglan-sleeves/p/441037265_red
8,441033933005,Coupon Applicable,"{'brandName': 'FUSION', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/hde/h95/15397948391454/-286Wx359H-441033933-lime-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441033933_lime', 'sizeFlag': False}","[{'altText': 'FUSION Yellow Tunics A-line Tunic with Tasselled Tie-Up', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h18/h12/15397948915742/fusion_yellow_tunics_a-line_tunic_with_tasselled_tie-up.jpg'}, {'altText': 'FUSION Yellow Tunics A-line Tunic with Tasselled Tie-Up', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hdf/hc8/15397955141662/fusion_yellow_tunics_a-line_tunic_with_tasselled_tie-up.jpg'}, {'altText': 'FUSION Yellow Tunics A-line Tunic with Tasselled Tie-Up', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hde/h95/15397948391454/fusion_yellow_tunics_a-line_tunic_with_tasselled_tie-up.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 699.00', 'displayformattedValue': 'Rs. 699', 'value': 699}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 999.00', 'displayformattedValue': 'Rs. 999', 'value': 999}",A-line Tunic with Tasselled Tie-Up,False,/fusion-a-line-tunic-with-tasselled-tie-up/p/441033933_lime,"{'sizeVariants': ['XS', 'S', 'L', 'XL']}",30% off,trends.ajio.com/fusion-a-line-tunic-with-tasselled-tie-up/p/441033933_lime
9,441035144005,Coupon Applicable,"{'brandName': 'FUSION', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h6c/h47/15342495006750/-286Wx359H-441035144-teal-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441035144_teal', 'sizeFlag': False}","[{'altText': 'FUSION Green A-line Sleeveless Tunic with Asymmetrical Hemline', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hec/he3/15342495596574/fusion_green_a-line_sleeveless_tunic_with_asymmetrical_hemline.jpg'}, {'altText': 'FUSION Green A-line Sleeveless Tunic with Asymmetrical Hemline', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hfb/h55/15342502215710/fusion_green_a-line_sleeveless_tunic_with_asymmetrical_hemline.jpg'}, {'altText': 'FUSION Green A-line Sleeveless Tunic with Asymmetrical Hemline', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h6c/h47/15342495006750/fusion_green_a-line_sleeveless_tunic_with_asymmetrical_hemline.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 629.00', 'displayformattedValue': 'Rs. 629', 'value': 629}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 899.00', 'displayformattedValue': 'Rs. 899', 'value': 899}",Sleeveless Tunic with Asymmetrical Hemline,False,/fusion-sleeveless-tunic-with-asymmetrical-hemline/p/441035144_teal,"{'sizeVariants': ['XS', 'S', 'M', 'L', 'XL']}",30% off,trends.ajio.com/fusion-sleeveless-tunic-with-asymmetrical-hemline/p/441035144_teal
