,code,couponStatus,fnlColorVariantData,images,fnlProductData,discountPercent,price,wasPriceData,name,volumePricesFlag,url,productSizeData,PAGE_URL_COMPLETE
0,441000455020,Coupon Applicable,"{'brandName': 'DNMX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h4b/h44/13541975064606/-286Wx359H-441000455-olive-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441000455_olive', 'sizeFlag': False}","[{'altText': 'DNMX Olive City Shorts Shorts with Elasticated Waist', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h8d/h8f/13541975130142/dnmx_olive_city_shorts_shorts_with_elasticated_waist.jpg'}, {'altText': 'DNMX Olive City Shorts Shorts with Elasticated Waist', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h2d/hf4/13541975916574/dnmx_olive_city_shorts_shorts_with_elasticated_waist.jpg'}, {'altText': 'DNMX Olive City Shorts Shorts with Elasticated Waist', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h4b/h44/13541975064606/dnmx_olive_city_shorts_shorts_with_elasticated_waist.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",50% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 350.00', 'displayformattedValue': 'Rs. 350', 'value': 350}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 699.00', 'displayformattedValue': 'Rs. 699', 'value': 699}",Shorts with Elasticated Waist,False,/dnmx-shorts-with-elasticated-waist/p/441000455_olive,"{'sizeVariants': ['S', 'M', 'L', 'XXL']}",trends.ajio.com/dnmx-shorts-with-elasticated-waist/p/441000455_olive
1,441000455012,Coupon Applicable,"{'brandName': 'DNMX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h64/h34/13544219672606/-286Wx359H-441000455-charcoal-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441000455_charcoal', 'sizeFlag': False}","[{'altText': 'DNMX Charcoal Black City Shorts Shorts with Elasticated Waist', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h2f/h13/13544219738142/dnmx_charcoal_black_city_shorts_shorts_with_elasticated_waist.jpg'}, {'altText': 'DNMX Charcoal Black City Shorts Shorts with Elasticated Waist', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h0e/hfd/13544220524574/dnmx_charcoal_black_city_shorts_shorts_with_elasticated_waist.jpg'}, {'altText': 'DNMX Charcoal Black City Shorts Shorts with Elasticated Waist', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h64/h34/13544219672606/dnmx_charcoal_black_city_shorts_shorts_with_elasticated_waist.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",50% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 350.00', 'displayformattedValue': 'Rs. 350', 'value': 350}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 699.00', 'displayformattedValue': 'Rs. 699', 'value': 699}",Shorts with Elasticated Waist,False,/dnmx-shorts-with-elasticated-waist/p/441000455_charcoal,"{'sizeVariants': ['S', 'M', 'L', 'XL', 'XXL']}",trends.ajio.com/dnmx-shorts-with-elasticated-waist/p/441000455_charcoal
2,441000455017,Coupon Applicable,"{'brandName': 'DNMX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h75/h8d/13541973164062/-286Wx359H-441000455-khaki-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441000455_khaki', 'sizeFlag': False}","[{'altText': 'DNMX Khaki City Shorts Shorts with Elasticated Waist', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/haa/he3/13541973229598/dnmx_khaki_city_shorts_shorts_with_elasticated_waist.jpg'}, {'altText': 'DNMX Khaki City Shorts Shorts with Elasticated Waist', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h24/h7e/13541974016030/dnmx_khaki_city_shorts_shorts_with_elasticated_waist.jpg'}, {'altText': 'DNMX Khaki City Shorts Shorts with Elasticated Waist', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h75/h8d/13541973164062/dnmx_khaki_city_shorts_shorts_with_elasticated_waist.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",50% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 350.00', 'displayformattedValue': 'Rs. 350', 'value': 350}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 699.00', 'displayformattedValue': 'Rs. 699', 'value': 699}",Shorts with Elasticated Waist,False,/dnmx-shorts-with-elasticated-waist/p/441000455_khaki,"{'sizeVariants': ['S', 'M', 'L', 'XL', 'XXL']}",trends.ajio.com/dnmx-shorts-with-elasticated-waist/p/441000455_khaki
3,441031717017,Coupon Applicable,"{'brandName': 'Teamspirit', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/hfa/h99/15322053247006/-286Wx359H-441031717-petrol-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441031717_petrol', 'sizeFlag': False}","[{'altText': 'Teamspirit Blue Shorts Core Drawstring Shorts with Side Pockets', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h03/h4e/15322053771294/teamspirit_blue_shorts_core_drawstring_shorts_with_side_pockets.jpg'}, {'altText': 'Teamspirit Blue Shorts Core Drawstring Shorts with Side Pockets', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h72/h89/15322057998366/teamspirit_blue_shorts_core_drawstring_shorts_with_side_pockets.jpg'}, {'altText': 'Teamspirit Blue Shorts Core Drawstring Shorts with Side Pockets', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hfa/h99/15322053247006/teamspirit_blue_shorts_core_drawstring_shorts_with_side_pockets.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",20% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 399.00', 'displayformattedValue': 'Rs. 399', 'value': 399}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 499.00', 'displayformattedValue': 'Rs. 499', 'value': 499}",Core Drawstring Shorts with Side Pockets,False,/teamspirit-core-drawstring-shorts-with-side-pockets/p/441031717_petrol,"{'sizeVariants': ['S', 'M', 'L', 'XL', 'XXL']}",trends.ajio.com/teamspirit-core-drawstring-shorts-with-side-pockets/p/441031717_petrol
4,441031717038,Coupon Applicable,"{'brandName': 'Teamspirit', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h11/h83/15292791717918/-286Wx359H-441031717-darkgrey-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441031717_darkgrey', 'sizeFlag': False}","[{'altText': 'Teamspirit Charcoal Grey Shorts Core Drawstring Shorts with Side Pockets', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hb8/ha9/15292792438814/teamspirit_charcoal_grey_shorts_core_drawstring_shorts_with_side_pockets.jpg'}, {'altText': 'Teamspirit Charcoal Grey Shorts Core Drawstring Shorts with Side Pockets', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/had/h9d/15292799451166/teamspirit_charcoal_grey_shorts_core_drawstring_shorts_with_side_pockets.jpg'}, {'altText': 'Teamspirit Charcoal Grey Shorts Core Drawstring Shorts with Side Pockets', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h11/h83/15292791717918/teamspirit_charcoal_grey_shorts_core_drawstring_shorts_with_side_pockets.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",20% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 399.00', 'displayformattedValue': 'Rs. 399', 'value': 399}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 499.00', 'displayformattedValue': 'Rs. 499', 'value': 499}",Core Drawstring Shorts with Side Pockets,False,/teamspirit-core-drawstring-shorts-with-side-pockets/p/441031717_darkgrey,"{'sizeVariants': ['S', 'M', 'L', 'XL', 'XXL']}",trends.ajio.com/teamspirit-core-drawstring-shorts-with-side-pockets/p/441031717_darkgrey
5,441033893006,Coupon Applicable,"{'brandName': 'DNMX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/hdf/hb1/15439000043550/-286Wx359H-441033893-mediumblue-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441033893_mediumblue', 'sizeFlag': False}","[{'altText': 'DNMX Blue City Shorts Mid-Rise Heavily Washed Denim Shorts with Elasticated Drawstring Waist', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hb3/hfb/15439000567838/dnmx_blue_city_shorts_mid-rise_heavily_washed_denim_shorts_with_elasticated_drawstring_waist.jpg'}, {'altText': 'DNMX Blue City Shorts Mid-Rise Heavily Washed Denim Shorts with Elasticated Drawstring Waist', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h5e/h9a/15439006990366/dnmx_blue_city_shorts_mid-rise_heavily_washed_denim_shorts_with_elasticated_drawstring_waist.jpg'}, {'altText': 'DNMX Blue City Shorts Mid-Rise Heavily Washed Denim Shorts with Elasticated Drawstring Waist', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hdf/hb1/15439000043550/dnmx_blue_city_shorts_mid-rise_heavily_washed_denim_shorts_with_elasticated_drawstring_waist.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",20% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 799.00', 'displayformattedValue': 'Rs. 799', 'value': 799}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 999.00', 'displayformattedValue': 'Rs. 999', 'value': 999}",Mid-Rise Heavily Washed Denim Shorts with Elasticated Drawstring Waist,False,/dnmx-mid-rise-heavily-washed-denim-shorts-with-elasticated-drawstring-waist/p/441033893_mediumblue,"{'sizeVariants': ['28', '30', '32', '34', '36', '38']}",trends.ajio.com/dnmx-mid-rise-heavily-washed-denim-shorts-with-elasticated-drawstring-waist/p/441033893_mediumblue
6,440672491030,Coupon Applicable,"{'brandName': 'PERFORMAX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h32/h14/14022830391326/-286Wx359H-440672491-teal-MODEL.jpg', 'allPromotions': False, 'colorGroup': '440672491_teal', 'sizeFlag': False}","[{'altText': 'PERFORMAX Teal City Shorts Core Mid-Rise Shorts with Elasticated Waist', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hf1/hfe/14022830850078/performax_teal_city_shorts_core_mid-rise_shorts_with_elasticated_waist.jpg'}, {'altText': 'PERFORMAX Teal City Shorts Core Mid-Rise Shorts with Elasticated Waist', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h05/hde/14022836879390/performax_teal_city_shorts_core_mid-rise_shorts_with_elasticated_waist.jpg'}, {'altText': 'PERFORMAX Teal City Shorts Core Mid-Rise Shorts with Elasticated Waist', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h32/h14/14022830391326/performax_teal_city_shorts_core_mid-rise_shorts_with_elasticated_waist.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",17% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 497.00', 'displayformattedValue': 'Rs. 497', 'value': 497}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 599.00', 'displayformattedValue': 'Rs. 599', 'value': 599}",Core Mid-Rise Shorts with Elasticated Waist,False,/performax-core-mid-rise-shorts-with-elasticated-waist/p/440672491_teal,"{'sizeVariants': ['S', 'M', 'L', 'XL', 'XXL']}",trends.ajio.com/performax-core-mid-rise-shorts-with-elasticated-waist/p/440672491_teal
7,440792699011,Coupon Applicable,"{'brandName': 'Teamspirit', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h29/h06/10481206951966/-286Wx359H-440792699-black-MODEL.jpg', 'allPromotions': False, 'colorGroup': '440792699_black', 'sizeFlag': False}","[{'altText': 'Teamspirit Black Bermudas Mid-Rise Printed Bermudas with Insert Pockets', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h17/h83/10481207017502/teamspirit_black_bermudas_mid-rise_printed_bermudas_with_insert_pockets.jpg'}, {'altText': 'Teamspirit Black Bermudas Mid-Rise Printed Bermudas with Insert Pockets', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h3c/hee/10481207803934/teamspirit_black_bermudas_mid-rise_printed_bermudas_with_insert_pockets.jpg'}, {'altText': 'Teamspirit Black Bermudas Mid-Rise Printed Bermudas with Insert Pockets', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h29/h06/10481206951966/teamspirit_black_bermudas_mid-rise_printed_bermudas_with_insert_pockets.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 499.00', 'displayformattedValue': 'Rs. 499', 'value': 499}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 499.00', 'displayformattedValue': 'Rs. 499', 'value': 499}",Mid-Rise Printed Bermudas with Insert Pockets,False,/teamspirit-mid-rise-printed-bermudas-with-insert-pockets/p/440792699_black,"{'sizeVariants': ['S', 'XL']}",trends.ajio.com/teamspirit-mid-rise-printed-bermudas-with-insert-pockets/p/440792699_black
8,441031717026,Coupon Applicable,"{'brandName': 'Teamspirit', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h1a/h8d/15507013304350/-286Wx359H-441031717-navy-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441031717_navy', 'sizeFlag': False}","[{'altText': 'Teamspirit Navy Blue Shorts Shorts with Side Pockets', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h95/h69/15507013795870/teamspirit_navy_blue_shorts_shorts_with_side_pockets.jpg'}, {'altText': 'Teamspirit Navy Blue Shorts Shorts with Side Pockets', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h13/ha8/15507019661342/teamspirit_navy_blue_shorts_shorts_with_side_pockets.jpg'}, {'altText': 'Teamspirit Navy Blue Shorts Shorts with Side Pockets', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h1a/h8d/15507013304350/teamspirit_navy_blue_shorts_shorts_with_side_pockets.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",20% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 399.00', 'displayformattedValue': 'Rs. 399', 'value': 399}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 499.00', 'displayformattedValue': 'Rs. 499', 'value': 499}",Shorts with Side Pockets,False,/teamspirit-shorts-with-side-pockets/p/441031717_navy,"{'sizeVariants': ['S', 'M', 'L', 'XL', 'XXL']}",trends.ajio.com/teamspirit-shorts-with-side-pockets/p/441031717_navy
9,441034845006,Coupon Applicable,"{'brandName': 'Teamspirit', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h8e/h70/15425459421214/-286Wx359H-441034845-grey-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441034845_grey', 'sizeFlag': False}","[{'altText': 'Teamspirit Grey City Shorts Camo Print Shorts with Drawstring Fastening', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h4e/h13/15425459847198/teamspirit_grey_city_shorts_camo_print_shorts_with_drawstring_fastening.jpg'}, {'altText': 'Teamspirit Grey City Shorts Camo Print Shorts with Drawstring Fastening', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hf1/h80/15425464762398/teamspirit_grey_city_shorts_camo_print_shorts_with_drawstring_fastening.jpg'}, {'altText': 'Teamspirit Grey City Shorts Camo Print Shorts with Drawstring Fastening', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h8e/h70/15425459421214/teamspirit_grey_city_shorts_camo_print_shorts_with_drawstring_fastening.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",45% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 384.00', 'displayformattedValue': 'Rs. 384', 'value': 384}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 699.00', 'displayformattedValue': 'Rs. 699', 'value': 699}",Camo Print Shorts with Drawstring Fastening,False,/teamspirit-camo-print-shorts-with-drawstring-fastening/p/441034845_grey,"{'sizeVariants': ['M', 'XL', 'XXL']}",trends.ajio.com/teamspirit-camo-print-shorts-with-drawstring-fastening/p/441034845_grey
