,code,couponStatus,fnlColorVariantData,images,fnlProductData,discountPercent,price,wasPriceData,name,volumePricesFlag,url,productSizeData,PAGE_URL_COMPLETE
0,441038456014,Coupon Applicable,"{'brandName': 'DNMX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h79/h51/14758448037918/-286Wx359H-441038456-navy-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441038456_navy', 'sizeFlag': False}","[{'altText': 'DNMX Navy Tanks & Camis Sleeveless Top with Lace Trim', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hc9/h59/14758448529438/dnmx_navy_tanks_&_camis_sleeveless_top_with_lace_trim.jpg'}, {'altText': 'DNMX Navy Tanks & Camis Sleeveless Top with Lace Trim', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h79/h70/14758456066078/dnmx_navy_tanks_&_camis_sleeveless_top_with_lace_trim.jpg'}, {'altText': 'DNMX Navy Tanks & Camis Sleeveless Top with Lace Trim', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h79/h51/14758448037918/dnmx_navy_tanks_&_camis_sleeveless_top_with_lace_trim.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",30% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 209.00', 'displayformattedValue': 'Rs. 209', 'value': 209}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 299.00', 'displayformattedValue': 'Rs. 299', 'value': 299}",Sleeveless Top with Lace Trim,False,/dnmx-sleeveless-top-with-lace-trim/p/441038456_navy,"{'sizeVariants': ['XS', 'S', 'M', 'L']}",trends.ajio.com/dnmx-sleeveless-top-with-lace-trim/p/441038456_navy
1,441038456018,Coupon Applicable,"{'brandName': 'DNMX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h6c/h52/14739722534942/-286Wx359H-441038456-wine-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441038456_wine', 'sizeFlag': False}","[{'altText': 'DNMX Wine Red Tanks & Camis Sleeveless Top with Lace Trim', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hcc/hbf/14739723124766/dnmx_wine_red_tanks_&_camis_sleeveless_top_with_lace_trim.jpg'}, {'altText': 'DNMX Wine Red Tanks & Camis Sleeveless Top with Lace Trim', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h5b/hac/14739729580062/dnmx_wine_red_tanks_&_camis_sleeveless_top_with_lace_trim.jpg'}, {'altText': 'DNMX Wine Red Tanks & Camis Sleeveless Top with Lace Trim', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h6c/h52/14739722534942/dnmx_wine_red_tanks_&_camis_sleeveless_top_with_lace_trim.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",30% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 209.00', 'displayformattedValue': 'Rs. 209', 'value': 209}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 299.00', 'displayformattedValue': 'Rs. 299', 'value': 299}",Sleeveless Top with Lace Trim,False,/dnmx-sleeveless-top-with-lace-trim/p/441038456_wine,"{'sizeVariants': ['XS', 'S', 'M', 'L', 'XL']}",trends.ajio.com/dnmx-sleeveless-top-with-lace-trim/p/441038456_wine
2,441038456007,Coupon Applicable,"{'brandName': 'DNMX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h7f/ha7/14739718111262/-286Wx359H-441038456-white-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441038456_white', 'sizeFlag': False}","[{'altText': 'DNMX White Tanks & Camis Sleeveless Top with Lace Trim', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hf4/h3e/14739718766622/dnmx_white_tanks_&_camis_sleeveless_top_with_lace_trim.jpg'}, {'altText': 'DNMX White Tanks & Camis Sleeveless Top with Lace Trim', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h8d/ha3/14739726303262/dnmx_white_tanks_&_camis_sleeveless_top_with_lace_trim.jpg'}, {'altText': 'DNMX White Tanks & Camis Sleeveless Top with Lace Trim', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h7f/ha7/14739718111262/dnmx_white_tanks_&_camis_sleeveless_top_with_lace_trim.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",30% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 209.00', 'displayformattedValue': 'Rs. 209', 'value': 209}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 299.00', 'displayformattedValue': 'Rs. 299', 'value': 299}",Sleeveless Top with Lace Trim,False,/dnmx-sleeveless-top-with-lace-trim/p/441038456_white,"{'sizeVariants': ['XS', 'S', 'M', 'L']}",trends.ajio.com/dnmx-sleeveless-top-with-lace-trim/p/441038456_white
3,441038456003,Coupon Applicable,"{'brandName': 'DNMX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/hd0/h16/14739710443550/-286Wx359H-441038456-black-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441038456_black', 'sizeFlag': False}","[{'altText': 'DNMX Black Tanks & Camis Sleeveless Top with Lace Trim', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ha8/hb4/14739710902302/dnmx_black_tanks_&_camis_sleeveless_top_with_lace_trim.jpg'}, {'altText': 'DNMX Black Tanks & Camis Sleeveless Top with Lace Trim', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h24/hbd/14739715522590/dnmx_black_tanks_&_camis_sleeveless_top_with_lace_trim.jpg'}, {'altText': 'DNMX Black Tanks & Camis Sleeveless Top with Lace Trim', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hd0/h16/14739710443550/dnmx_black_tanks_&_camis_sleeveless_top_with_lace_trim.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",30% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 209.00', 'displayformattedValue': 'Rs. 209', 'value': 209}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 299.00', 'displayformattedValue': 'Rs. 299', 'value': 299}",Sleeveless Top with Lace Trim,False,/dnmx-sleeveless-top-with-lace-trim/p/441038456_black,"{'sizeVariants': ['XS', 'S', 'M', 'L', 'XL']}",trends.ajio.com/dnmx-sleeveless-top-with-lace-trim/p/441038456_black
4,441017649010,Coupon Applicable,"{'brandName': 'DNMX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/hb2/haf/14499053961246/-286Wx359H-441017649-pink-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441017649_pink', 'sizeFlag': False}","[{'altText': 'DNMX Pink Knitted Tops & Tunics Striped V-Neck Top with Sleeve Tie-Up', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h89/h76/14499054518302/dnmx_pink_knitted_tops_&_tunics_striped_v-neck_top_with_sleeve_tie-up.jpg'}, {'altText': 'DNMX Pink Knitted Tops & Tunics Striped V-Neck Top with Sleeve Tie-Up', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ha8/hfb/14499059531806/dnmx_pink_knitted_tops_&_tunics_striped_v-neck_top_with_sleeve_tie-up.jpg'}, {'altText': 'DNMX Pink Knitted Tops & Tunics Striped V-Neck Top with Sleeve Tie-Up', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hb2/haf/14499053961246/dnmx_pink_knitted_tops_&_tunics_striped_v-neck_top_with_sleeve_tie-up.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",50% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 400.00', 'displayformattedValue': 'Rs. 400', 'value': 400}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 799.00', 'displayformattedValue': 'Rs. 799', 'value': 799}",Striped V-Neck Top with Sleeve Tie-Up,False,/dnmx-striped-v-neck-top-with-sleeve-tie-up/p/441017649_pink,"{'sizeVariants': ['L', 'XL']}",trends.ajio.com/dnmx-striped-v-neck-top-with-sleeve-tie-up/p/441017649_pink
5,441021639005,Coupon Applicable,"{'brandName': 'Teamspirit', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h56/hb1/15024892543006/-286Wx359H-441021639-ltpink-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441021639_ltpink', 'sizeFlag': False}","[{'altText': 'Teamspirit Mukticoloured Regular Striped Crew-Neck T-shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h51/hee/15024892936222/teamspirit_mukticoloured_regular_striped_crew-neck_t-shirt.jpg'}, {'altText': 'Teamspirit Mukticoloured Regular Striped Crew-Neck T-shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h54/h1b/15024898244638/teamspirit_mukticoloured_regular_striped_crew-neck_t-shirt.jpg'}, {'altText': 'Teamspirit Mukticoloured Regular Striped Crew-Neck T-shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h56/hb1/15024892543006/teamspirit_mukticoloured_regular_striped_crew-neck_t-shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",50% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 350.00', 'displayformattedValue': 'Rs. 350', 'value': 350}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 699.00', 'displayformattedValue': 'Rs. 699', 'value': 699}",Striped Crew-Neck T-shirt,False,/teamspirit-striped-crew-neck-t-shirt/p/441021639_ltpink,"{'sizeVariants': ['S', 'M', 'XL']}",trends.ajio.com/teamspirit-striped-crew-neck-t-shirt/p/441021639_ltpink
6,441017016001,Coupon Applicable,"{'brandName': 'DNMX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h7b/h65/15397477318686/-286Wx359H-441017016-rust-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441017016_rust', 'sizeFlag': False}","[{'altText': 'DNMX Red Regular Lace Panelled Top with Notched Neckline', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h59/hfb/15397477974046/dnmx_red_regular_lace_panelled_top_with_notched_neckline.jpg'}, {'altText': 'DNMX Red Regular Lace Panelled Top with Notched Neckline', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h4d/hf8/15397485445150/dnmx_red_regular_lace_panelled_top_with_notched_neckline.jpg'}, {'altText': 'DNMX Red Regular Lace Panelled Top with Notched Neckline', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h7b/h65/15397477318686/dnmx_red_regular_lace_panelled_top_with_notched_neckline.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",30% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 349.00', 'displayformattedValue': 'Rs. 349', 'value': 349}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 499.00', 'displayformattedValue': 'Rs. 499', 'value': 499}",Lace Panelled Top with Notched Neckline,False,/dnmx-lace-panelled-top-with-notched-neckline/p/441017016_rust,"{'sizeVariants': ['XS', 'L']}",trends.ajio.com/dnmx-lace-panelled-top-with-notched-neckline/p/441017016_rust
7,441050917002,Coupon Applicable,"{'brandName': 'Teamspirit', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h2a/h64/15425070563358/-286Wx359H-441050917-ltpink-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441050917_ltpink', 'sizeFlag': False}","[{'altText': 'Teamspirit Pink Regular Typographic Print Round-Neck Top', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h27/h56/15425071185950/teamspirit_pink_regular_typographic_print_round-neck_top.jpg'}, {'altText': 'Teamspirit Pink Regular Typographic Print Round-Neck Top', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hfe/h99/15425079771166/teamspirit_pink_regular_typographic_print_round-neck_top.jpg'}, {'altText': 'Teamspirit Pink Regular Typographic Print Round-Neck Top', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h2a/h64/15425070563358/teamspirit_pink_regular_typographic_print_round-neck_top.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",30% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 279.00', 'displayformattedValue': 'Rs. 279', 'value': 279}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 399.00', 'displayformattedValue': 'Rs. 399', 'value': 399}",Typographic Print Round-Neck Top,False,/teamspirit-typographic-print-round-neck-top/p/441050917_ltpink,"{'sizeVariants': ['XS', 'S', 'M']}",trends.ajio.com/teamspirit-typographic-print-round-neck-top/p/441050917_ltpink
8,441033696009,Coupon Applicable,"{'brandName': 'RIO', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h4f/h35/15233966637086/-286Wx359H-441033696-black-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441033696_black', 'sizeFlag': False}","[{'altText': 'RIO Back Regular Ribbed Top with Short Button Placket', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hdb/h9b/15233967226910/rio_back_regular_ribbed_top_with_short_button_placket.jpg'}, {'altText': 'RIO Back Regular Ribbed Top with Short Button Placket', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/he8/h97/15233975418910/rio_back_regular_ribbed_top_with_short_button_placket.jpg'}, {'altText': 'RIO Back Regular Ribbed Top with Short Button Placket', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h4f/h35/15233966637086/rio_back_regular_ribbed_top_with_short_button_placket.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 499.00', 'displayformattedValue': 'Rs. 499', 'value': 499}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 499.00', 'displayformattedValue': 'Rs. 499', 'value': 499}",Ribbed Top with Short Button Placket,False,/rio-ribbed-top-with-short-button-placket/p/441033696_black,"{'sizeVariants': ['XS', 'S', 'M', 'L', 'XL']}",trends.ajio.com/rio-ribbed-top-with-short-button-placket/p/441033696_black
9,441007339017,Coupon Applicable,"{'brandName': 'FIG', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h32/h94/13750550626334/-286Wx359H-441007339-mustard-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441007339_mustard', 'sizeFlag': False}","[{'altText': 'FIG Mustard Regular Round-Neck Top with Lace Overlay', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hbd/haa/13750552625182/fig_mustard_regular_round-neck_top_with_lace_overlay.jpg'}, {'altText': 'FIG Mustard Regular Round-Neck Top with Lace Overlay', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h0a/h3d/13750572711966/fig_mustard_regular_round-neck_top_with_lace_overlay.jpg'}, {'altText': 'FIG Mustard Regular Round-Neck Top with Lace Overlay', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h32/h94/13750550626334/fig_mustard_regular_round-neck_top_with_lace_overlay.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",30% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 279.00', 'displayformattedValue': 'Rs. 279', 'value': 279}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 399.00', 'displayformattedValue': 'Rs. 399', 'value': 399}",Round-Neck Top with Lace Overlay,False,/fig-round-neck-top-with-lace-overlay/p/441007339_mustard,"{'sizeVariants': ['XS', 'S', 'L', 'XL', 'XXL']}",trends.ajio.com/fig-round-neck-top-with-lace-overlay/p/441007339_mustard
