,id,name,price,colour,colourWayId,brandName,hasVariantColours,hasMultiplePrices,groupId,productCode,productType,url,imageUrl,videoUrl,isSellingFast,PAGE_URL_COMPLETE
0,14852992,The Couture Club stripe side seam detail oversized joggers in red,"{'current': {'value': 72.0, 'text': '$72.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16649121,The Couture Club,False,False,,1674233,Product,the-couture-club/the-couture-club-stripe-side-seam-detail-oversized-joggers-in-red/prd/14852992?colourwayid=16649121,images.asos-media.com/products/the-couture-club-stripe-side-seam-detail-oversized-joggers-in-red/14852992-1-red,,False,www.asos.com/usthe-couture-club/the-couture-club-stripe-side-seam-detail-oversized-joggers-in-red/prd/14852992?colourwayid=16649121
1,20044250,Public Desire Curve relaxed sweatpants coord,"{'current': {'value': 40.0, 'text': '$40.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60003928,Public Desire Curve,False,False,,1688991,Product,public-desire-curve/public-desire-curve-relaxed-sweatpants-coord/prd/20044250?colourwayid=60003928,images.asos-media.com/products/public-desire-curve-relaxed-sweatpants-coord/20044250-1-dustyblue,video.asos-media.com/products/public-desire-curve-relaxed-sweatpants-coord/20044250-catwalk-AVS,False,www.asos.com/uspublic-desire-curve/public-desire-curve-relaxed-sweatpants-coord/prd/20044250?colourwayid=60003928
2,14049254,ASOS 4505 Maternity icon legging with bum sculpt seam detail and pocket,"{'current': {'value': 29.0, 'text': '$29.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16587606,ASOS 4505,False,False,,1613908,Product,asos-4505/asos-4505-maternity-icon-legging-with-bum-sculpt-seam-detail-and-pocket/prd/14049254?colourwayid=16587606,images.asos-media.com/products/asos-4505-maternity-icon-legging-with-bum-sculpt-seam-detail-and-pocket/14049254-1-black,,False,www.asos.com/usasos-4505/asos-4505-maternity-icon-legging-with-bum-sculpt-seam-detail-and-pocket/prd/14049254?colourwayid=16587606
3,20854578,Missguided petite oversized sweatpants in gray,"{'current': {'value': 38.0, 'text': '$38.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60094700,Missguided Petite,False,False,,1754996,Product,missguided-petite/missguided-petite-oversized-sweatpants-in-gray/prd/20854578?colourwayid=60094700,images.asos-media.com/products/missguided-petite-oversized-sweatpants-in-gray/20854578-1-grey,,False,www.asos.com/usmissguided-petite/missguided-petite-oversized-sweatpants-in-gray/prd/20854578?colourwayid=60094700
4,20600340,ASOS DESIGN tracksuit oversized zip through hoody / oversized sweatpants,"{'current': {'value': 64.0, 'text': '$64.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60067415,ASOS DESIGN,False,False,,1734400,Product,asos-design/asos-design-tracksuit-oversized-zip-through-hoody-oversized-sweatpants/prd/20600340?colourwayid=60067415,images.asos-media.com/products/asos-design-tracksuit-oversized-zip-through-hoody-oversized-sweatpants/20600340-1-paleblue,,False,www.asos.com/usasos-design/asos-design-tracksuit-oversized-zip-through-hoody-oversized-sweatpants/prd/20600340?colourwayid=60067415
5,14757971,Public Desire Curve relaxed sweatpants with emotions slogan two-piece,"{'current': {'value': 40.0, 'text': '$40.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16641658,Public Desire Curve,False,False,,1666971,Product,public-desire-curve/public-desire-curve-relaxed-sweatpants-with-emotions-slogan-two-piece/prd/14757971?colourwayid=16641658,images.asos-media.com/products/public-desire-curve-relaxed-sweatpants-with-emotions-slogan-two-piece/14757971-1-sage,video.asos-media.com/products/public-desire-curve-relaxed-sweatpants-with-emotions-slogan-two-piece/14757971-catwalk-AVS,True,www.asos.com/uspublic-desire-curve/public-desire-curve-relaxed-sweatpants-with-emotions-slogan-two-piece/prd/14757971?colourwayid=16641658
6,14796499,One Above Another high waist flare jeans in USA flag,"{'current': {'value': 64.0, 'text': '$64.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16644656,One Above Another,False,False,,1669873,Product,one-above-another/one-above-another-high-waist-flare-jeans-in-usa-flag/prd/14796499?colourwayid=16644656,images.asos-media.com/products/one-above-another-high-waist-flare-jeans-in-usa-flag/14796499-1-multiflag,,False,www.asos.com/usone-above-another/one-above-another-high-waist-flare-jeans-in-usa-flag/prd/14796499?colourwayid=16644656
7,14809629,The Ragged Priest relaxed sweatpants in color block,"{'current': {'value': 69.6, 'text': '$69.60'}, 'previous': {'value': 87.0, 'text': '$87.00'}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': True, 'isOutletPrice': False, 'currency': 'USD'}",,16645731,The Ragged Priest,False,False,,1670930,Product,the-ragged-priest/the-ragged-priest-relaxed-sweatpants-in-color-block/prd/14809629?colourwayid=16645731,images.asos-media.com/products/the-ragged-priest-relaxed-sweatpants-in-color-block/14809629-1-purpleblack,video.asos-media.com/products/the-ragged-priest-relaxed-sweatpants-in-color-block/14809629-catwalk-AVS,False,www.asos.com/usthe-ragged-priest/the-ragged-priest-relaxed-sweatpants-in-color-block/prd/14809629?colourwayid=16645731
8,14809634,The Ragged Priest mom jeans in wave print denim,"{'current': {'value': 69.6, 'text': '$69.60'}, 'previous': {'value': 87.0, 'text': '$87.00'}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': True, 'isOutletPrice': False, 'currency': 'USD'}",,16645733,The Ragged Priest,False,False,,1670933,Product,the-ragged-priest/the-ragged-priest-mom-jeans-in-wave-print-denim/prd/14809634?colourwayid=16645733,images.asos-media.com/products/the-ragged-priest-mom-jeans-in-wave-print-denim/14809634-1-midwashbluewave,video.asos-media.com/products/the-ragged-priest-mom-jeans-in-wave-print-denim/14809634-catwalk-AVS,False,www.asos.com/usthe-ragged-priest/the-ragged-priest-mom-jeans-in-wave-print-denim/prd/14809634?colourwayid=16645733
9,20275441,Stradivarius culotte with belt in black,"{'current': {'value': 20.8, 'text': '$20.80'}, 'previous': {'value': 26.0, 'text': '$26.00'}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': True, 'isOutletPrice': False, 'currency': 'USD'}",,60039346,Stradivarius,False,False,,1707976,Product,stradivarius/stradivarius-culotte-with-belt-in-black/prd/20275441?colourwayid=60039346,images.asos-media.com/products/stradivarius-culotte-with-belt-in-black/20275441-1-black,video.asos-media.com/products/stradivarius-culotte-with-belt-in-black/20275441-catwalk-AVS,False,www.asos.com/usstradivarius/stradivarius-culotte-with-belt-in-black/prd/20275441?colourwayid=60039346
