,id,name,price,colour,colourWayId,brandName,hasVariantColours,hasMultiplePrices,groupId,productCode,productType,url,imageUrl,videoUrl,isSellingFast,PAGE_URL_COMPLETE
0,20897333,Stradivarius sleeveless shirt dress in blue floral print,"{'current': {'value': 26.0, 'text': '$26.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60098101,Stradivarius,False,False,,1758383,Product,stradivarius/stradivarius-sleeveless-shirt-dress-in-blue-floral-print/prd/20897333?colourwayid=60098101,images.asos-media.com/products/stradivarius-sleeveless-shirt-dress-in-blue-floral-print/20897333-1-floral,,False,www.asos.com/usstradivarius/stradivarius-sleeveless-shirt-dress-in-blue-floral-print/prd/20897333?colourwayid=60098101
1,20199108,New Look Tall puff sleeve mini denim dress in cream,"{'current': {'value': 31.2, 'text': '$31.20'}, 'previous': {'value': 39.0, 'text': '$39.00'}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': True, 'isOutletPrice': False, 'currency': 'USD'}",,60016859,New Look Tall,False,False,,1701697,Product,new-look-tall/new-look-tall-puff-sleeve-mini-denim-dress-in-cream/prd/20199108?colourwayid=60016859,images.asos-media.com/products/new-look-tall-puff-sleeve-mini-denim-dress-in-cream/20199108-1-cream,,False,www.asos.com/usnew-look-tall/new-look-tall-puff-sleeve-mini-denim-dress-in-cream/prd/20199108?colourwayid=60016859
2,14941207,Virgos Lounge embellished midi dress with flutter sleeve and ruffle skirt in ivory,"{'current': {'value': 222.0, 'text': '$222.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16658751,Virgos Lounge,False,False,,1681718,Product,virgos-lounge/virgos-lounge-embellished-midi-dress-with-flutter-sleeve-and-ruffle-skirt-in-ivory/prd/14941207?colourwayid=16658751,images.asos-media.com/products/virgos-lounge-embellished-midi-dress-with-flutter-sleeve-and-ruffle-skirt-in-ivory/14941207-1-ivory,video.asos-media.com/products/virgos-lounge-embellished-midi-dress-with-flutter-sleeve-and-ruffle-skirt-in-ivory/14941207-catwalk-AVS,False,www.asos.com/usvirgos-lounge/virgos-lounge-embellished-midi-dress-with-flutter-sleeve-and-ruffle-skirt-in-ivory/prd/14941207?colourwayid=16658751
3,14551402,ASOS EDITION Gayle blouson sleeve embroidered applique wedding dress,"{'current': {'value': 285.0, 'text': '$285.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16625066,ASOS EDITION,False,False,,1650611,Product,asos-edition/asos-edition-gayle-blouson-sleeve-embroidered-applique-wedding-dress/prd/14551402?colourwayid=16625066,images.asos-media.com/products/asos-edition-gayle-blouson-sleeve-embroidered-applique-wedding-dress/14551402-1-ivory,video.asos-media.com/products/asos-edition-gayle-blouson-sleeve-embroidered-applique-wedding-dress/14551402-catwalk-AVS,False,www.asos.com/usasos-edition/asos-edition-gayle-blouson-sleeve-embroidered-applique-wedding-dress/prd/14551402?colourwayid=16625066
4,14580975,Lost Ink midaxi dress with frill sleeve detail and floral embroidery,"{'current': {'value': 82.4, 'text': '$82.40'}, 'previous': {'value': 103.0, 'text': '$103.00'}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': True, 'isOutletPrice': False, 'currency': 'USD'}",,16627620,Lost Ink,False,False,,1653133,Product,lost-ink/lost-ink-midaxi-dress-with-frill-sleeve-detail-and-floral-embroidery/prd/14580975?colourwayid=16627620,images.asos-media.com/products/lost-ink-midaxi-dress-with-frill-sleeve-detail-and-floral-embroidery/14580975-1-white,,False,www.asos.com/uslost-ink/lost-ink-midaxi-dress-with-frill-sleeve-detail-and-floral-embroidery/prd/14580975?colourwayid=16627620
5,14725627,Laced In Love bow back mini dress in lilac,"{'current': {'value': 60.0, 'text': '$60.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16639349,Laced In Love,False,False,,1664591,Product,laced-in-love/laced-in-love-bow-back-mini-dress-in-lilac/prd/14725627?colourwayid=16639349,images.asos-media.com/products/laced-in-love-bow-back-mini-dress-in-lilac/14725627-1-lilac,video.asos-media.com/products/laced-in-love-bow-back-mini-dress-in-lilac/14725627-catwalk-AVS,False,www.asos.com/uslaced-in-love/laced-in-love-bow-back-mini-dress-in-lilac/prd/14725627?colourwayid=16639349
6,14725631,Laced In Love halter double skirt mini dress in pink,"{'current': {'value': 60.0, 'text': '$60.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16639343,Laced In Love,False,False,,1664603,Product,laced-in-love/laced-in-love-halter-double-skirt-mini-dress-in-pink/prd/14725631?colourwayid=16639343,images.asos-media.com/products/laced-in-love-halter-double-skirt-mini-dress-in-pink/14725631-1-hotpink,video.asos-media.com/products/laced-in-love-halter-double-skirt-mini-dress-in-pink/14725631-catwalk-AVS,False,www.asos.com/uslaced-in-love/laced-in-love-halter-double-skirt-mini-dress-in-pink/prd/14725631?colourwayid=16639343
7,14725632,Laced In Love plunge midaxi dress with thigh split in blue,"{'current': {'value': 64.0, 'text': '$64.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16639298,Laced In Love,False,False,,1664588,Product,laced-in-love/laced-in-love-plunge-midaxi-dress-with-thigh-split-in-blue/prd/14725632?colourwayid=16639298,images.asos-media.com/products/laced-in-love-plunge-midaxi-dress-with-thigh-split-in-blue/14725632-1-blue,video.asos-media.com/products/laced-in-love-plunge-midaxi-dress-with-thigh-split-in-blue/14725632-catwalk-AVS,False,www.asos.com/uslaced-in-love/laced-in-love-plunge-midaxi-dress-with-thigh-split-in-blue/prd/14725632?colourwayid=16639298
8,14725643,Laced in Love bandeau pencil mini dress with origami detail in pink,"{'current': {'value': 60.0, 'text': '$60.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16639337,Laced In Love,False,False,,1664595,Product,laced-in-love/laced-in-love-bandeau-pencil-mini-dress-with-origami-detail-in-pink/prd/14725643?colourwayid=16639337,images.asos-media.com/products/laced-in-love-bandeau-pencil-mini-dress-with-origami-detail-in-pink/14725643-1-hotpink,video.asos-media.com/products/laced-in-love-bandeau-pencil-mini-dress-with-origami-detail-in-pink/14725643-catwalk-AVS,False,www.asos.com/uslaced-in-love/laced-in-love-bandeau-pencil-mini-dress-with-origami-detail-in-pink/prd/14725643?colourwayid=16639337
9,14728089,In The Style x Stephsa drape detail shirt dress in white,"{'current': {'value': 56.0, 'text': '$56.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16639457,In The Style,False,False,,1664770,Product,in-the-style/in-the-style-x-stephsa-drape-detail-shirt-dress-in-white/prd/14728089?colourwayid=16639457,images.asos-media.com/products/in-the-style-x-stephsa-drape-detail-shirt-dress-in-white/14728089-1-white,video.asos-media.com/products/in-the-style-x-stephsa-drape-detail-shirt-dress-in-white/14728089-catwalk-AVS,False,www.asos.com/usin-the-style/in-the-style-x-stephsa-drape-detail-shirt-dress-in-white/prd/14728089?colourwayid=16639457
