,id,name,price,colour,colourWayId,brandName,hasVariantColours,hasMultiplePrices,groupId,productCode,productType,url,imageUrl,videoUrl,isSellingFast,PAGE_URL_COMPLETE
0,20064952,ASOS DESIGN regular revere abstract leaf print in black,"{'current': {'value': 40.0, 'text': '$40.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60005665,ASOS DESIGN,False,False,,1690785,Product,asos-design/asos-design-regular-revere-abstract-leaf-print-in-black/prd/20064952?colourwayid=60005665,images.asos-media.com/products/asos-design-regular-revere-abstract-leaf-print-in-black/20064952-1-black,video.asos-media.com/products/asos-design-regular-revere-abstract-leaf-print-in-black/20064952-catwalk-AVS,True,www.asos.com/usasos-design/asos-design-regular-revere-abstract-leaf-print-in-black/prd/20064952?colourwayid=60005665
1,8250740,ASOS DESIGN stretch skinny fit shirt in white with grandad collar,"{'current': {'value': 32.0, 'text': '$32.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,15153088,ASOS DESIGN,False,False,,1093667,Product,asos-design/asos-design-stretch-skinny-fit-shirt-in-white-with-grandad-collar/prd/8250740?colourwayid=15153088,images.asos-media.com/products/asos-design-stretch-skinny-fit-shirt-in-white-with-grandad-collar/8250740-1-white,video.asos-media.com/products/asos-design-stretch-skinny-fit-shirt-in-white-with-grandad-collar/8250740-catwalk-AVS,True,www.asos.com/usasos-design/asos-design-stretch-skinny-fit-shirt-in-white-with-grandad-collar/prd/8250740?colourwayid=15153088
2,14860972,ASOS DESIGN regular fit shirt in pink floral print,"{'current': {'value': 40.0, 'text': '$40.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16649708,ASOS DESIGN,False,False,,1674664,Product,asos-design/asos-design-regular-fit-shirt-in-pink-floral-print/prd/14860972?colourwayid=16649708,images.asos-media.com/products/asos-design-regular-fit-shirt-in-pink-floral-print/14860972-1-pink,video.asos-media.com/products/asos-design-regular-fit-shirt-in-pink-floral-print/14860972-catwalk-AVS,True,www.asos.com/usasos-design/asos-design-regular-fit-shirt-in-pink-floral-print/prd/14860972?colourwayid=16649708
3,8601497,ASOS DESIGN stretch skinny fit shirt in white with grandad collar,"{'current': {'value': 29.0, 'text': '$29.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,15201231,ASOS DESIGN,False,False,,1145046,Product,asos-design/asos-design-stretch-skinny-fit-shirt-in-white-with-grandad-collar/prd/8601497?colourwayid=15201231,images.asos-media.com/products/asos-design-stretch-skinny-fit-shirt-in-white-with-grandad-collar/8601497-1-white,video.asos-media.com/products/asos-design-stretch-skinny-fit-shirt-in-white-with-grandad-collar/8601497-catwalk-AVS,True,www.asos.com/usasos-design/asos-design-stretch-skinny-fit-shirt-in-white-with-grandad-collar/prd/8601497?colourwayid=15201231
4,20389241,ASOS DESIGN Two-piece revere collar regular fit shirt in monochrome japanese print,"{'current': {'value': 40.0, 'text': '$40.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60049661,ASOS DESIGN,False,False,,1717531,Product,asos-design/asos-design-two-piece-revere-collar-regular-fit-shirt-in-monochrome-japanese-print/prd/20389241?colourwayid=60049661,images.asos-media.com/products/asos-design-two-piece-revere-collar-regular-fit-shirt-in-monochrome-japanese-print/20389241-1-black,video.asos-media.com/products/asos-design-two-piece-revere-collar-regular-fit-shirt-in-monochrome-japanese-print/20389241-catwalk-AVS,True,www.asos.com/usasos-design/asos-design-two-piece-revere-collar-regular-fit-shirt-in-monochrome-japanese-print/prd/20389241?colourwayid=60049661
5,8768553,ASOS DESIGN stretch skinny fit shirt in black with grandad collar,"{'current': {'value': 32.0, 'text': '$32.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,15221693,ASOS DESIGN,False,False,,1167815,Product,asos-design/asos-design-stretch-skinny-fit-shirt-in-black-with-grandad-collar/prd/8768553?colourwayid=15221693,images.asos-media.com/products/asos-design-stretch-skinny-fit-shirt-in-black-with-grandad-collar/8768553-1-black,video.asos-media.com/products/asos-design-stretch-skinny-fit-shirt-in-black-with-grandad-collar/8768553-catwalk-AVS,True,www.asos.com/usasos-design/asos-design-stretch-skinny-fit-shirt-in-black-with-grandad-collar/prd/8768553?colourwayid=15221693
6,14712759,ASOS DESIGN regular revere sheer shirt in rainbow stripe print,"{'current': {'value': 40.0, 'text': '$40.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16638338,ASOS DESIGN,False,False,,1663672,Product,asos-design/asos-design-regular-revere-sheer-shirt-in-rainbow-stripe-print/prd/14712759?colourwayid=16638338,images.asos-media.com/products/asos-design-regular-revere-sheer-shirt-in-rainbow-stripe-print/14712759-1-multi,,False,www.asos.com/usasos-design/asos-design-regular-revere-sheer-shirt-in-rainbow-stripe-print/prd/14712759?colourwayid=16638338
7,20075837,Pull&Bear short sleeve shirt with paint print in blue,"{'current': {'value': 38.0, 'text': '$38.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60006572,Pull&Bear,False,False,,1691626,Product,pullbear/pullbear-short-sleeve-shirt-with-paint-print-in-blue/prd/20075837?colourwayid=60006572,images.asos-media.com/products/pullbear-short-sleeve-shirt-with-paint-print-in-blue/20075837-1-mustard,,False,www.asos.com/uspullbear/pullbear-short-sleeve-shirt-with-paint-print-in-blue/prd/20075837?colourwayid=60006572
8,20298243,Fred Perry short sleeve revere collar shirt with back detail in navy,"{'current': {'value': 110.0, 'text': '$110.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60041521,Fred Perry,False,False,,1710004,Product,fred-perry/fred-perry-short-sleeve-revere-collar-shirt-with-back-detail-in-navy/prd/20298243?colourwayid=60041521,images.asos-media.com/products/fred-perry-short-sleeve-revere-collar-shirt-with-back-detail-in-navy/20298243-1-navy,,False,www.asos.com/usfred-perry/fred-perry-short-sleeve-revere-collar-shirt-with-back-detail-in-navy/prd/20298243?colourwayid=60041521
9,20407075,ASOS DESIGN relaxed fit viscose shirt with low revere collar in purple,"{'current': {'value': 35.0, 'text': '$35.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60051178,ASOS DESIGN,False,False,,1719167,Product,asos-design/asos-design-relaxed-fit-viscose-shirt-with-low-revere-collar-in-purple/prd/20407075?colourwayid=60051178,images.asos-media.com/products/asos-design-relaxed-fit-viscose-shirt-with-low-revere-collar-in-purple/20407075-1-purple,,False,www.asos.com/usasos-design/asos-design-relaxed-fit-viscose-shirt-with-low-revere-collar-in-purple/prd/20407075?colourwayid=60051178
10,20916466,COLLUSION long sleeve splice check shirt,"{'current': {'value': 35.0, 'text': '$35.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60099353,Collusion,False,False,,1759632,Product,collusion/collusion-long-sleeve-splice-check-shirt/prd/20916466?colourwayid=60099353,images.asos-media.com/products/collusion-long-sleeve-splice-check-shirt/20916466-1-check,,False,www.asos.com/uscollusion/collusion-long-sleeve-splice-check-shirt/prd/20916466?colourwayid=60099353
11,21022520,ASOS DESIGN overhead viscose shirt in khaki,"{'current': {'value': 35.0, 'text': '$35.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60134726,ASOS DESIGN,False,False,,1768236,Product,asos-design/asos-design-overhead-viscose-shirt-in-khaki/prd/21022520?colourwayid=60134726,images.asos-media.com/products/asos-design-overhead-viscose-shirt-in-khaki/21022520-1-khaki,,False,www.asos.com/usasos-design/asos-design-overhead-viscose-shirt-in-khaki/prd/21022520?colourwayid=60134726
12,14421560,ASOS DESIGN stretch skinny fit shirt in blue with grandad collar & short sleeves,"{'current': {'value': 17.4, 'text': '$17.40'}, 'previous': {'value': 29.0, 'text': '$29.00'}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': True, 'isOutletPrice': False, 'currency': 'USD'}",,16615160,ASOS DESIGN,False,False,,1640720,Product,asos-design/asos-design-stretch-skinny-fit-shirt-in-blue-with-grandad-collar-short-sleeves/prd/14421560?colourwayid=16615160,images.asos-media.com/products/asos-design-stretch-skinny-fit-shirt-in-blue-with-grandad-collar-short-sleeves/14421560-1-blue,video.asos-media.com/products/asos-design-stretch-skinny-fit-shirt-in-blue-with-grandad-collar-short-sleeves/14421560-catwalk-AVS,True,www.asos.com/usasos-design/asos-design-stretch-skinny-fit-shirt-in-blue-with-grandad-collar-short-sleeves/prd/14421560?colourwayid=16615160
13,14897477,ASOS DESIGN regular geo print shirt in Burgundy,"{'current': {'value': 40.0, 'text': '$40.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16652942,ASOS DESIGN,False,False,,1678002,Product,asos-design/asos-design-regular-geo-print-shirt-in-burgundy/prd/14897477?colourwayid=16652942,images.asos-media.com/products/asos-design-regular-geo-print-shirt-in-burgundy/14897477-1-red,,True,www.asos.com/usasos-design/asos-design-regular-geo-print-shirt-in-burgundy/prd/14897477?colourwayid=16652942
14,14827328,ASOS DESIGN regular fit satin shirt with deep revere and sage green,"{'current': {'value': 35.0, 'text': '$35.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16647220,ASOS DESIGN,False,False,,1672333,Product,asos-design/asos-design-regular-fit-satin-shirt-with-deep-revere-and-sage-green/prd/14827328?colourwayid=16647220,images.asos-media.com/products/asos-design-regular-fit-satin-shirt-with-deep-revere-and-sage-green/14827328-1-sagegreen,video.asos-media.com/products/asos-design-regular-fit-satin-shirt-with-deep-revere-and-sage-green/14827328-catwalk-AVS,True,www.asos.com/usasos-design/asos-design-regular-fit-satin-shirt-with-deep-revere-and-sage-green/prd/14827328?colourwayid=16647220
15,20135194,ASOS DESIGN regular fit geo-tribal festival shirt in mixed pattern,"{'current': {'value': 40.0, 'text': '$40.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60011438,ASOS DESIGN,False,False,,1696401,Product,asos-design/asos-design-regular-fit-geo-tribal-festival-shirt-in-mixed-pattern/prd/20135194?colourwayid=60011438,images.asos-media.com/products/asos-design-regular-fit-geo-tribal-festival-shirt-in-mixed-pattern/20135194-1-blue,,True,www.asos.com/usasos-design/asos-design-regular-fit-geo-tribal-festival-shirt-in-mixed-pattern/prd/20135194?colourwayid=60011438
16,11719267,ASOS DESIGN stretch slim denim shirt in mid wash,"{'current': {'value': 25.6, 'text': '$25.60'}, 'previous': {'value': 32.0, 'text': '$32.00'}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': True, 'isOutletPrice': False, 'currency': 'USD'}",,16355255,ASOS DESIGN,False,False,,1431516,Product,asos-design/asos-design-stretch-slim-denim-shirt-in-mid-wash/prd/11719267?colourwayid=16355255,images.asos-media.com/products/asos-design-stretch-slim-denim-shirt-in-mid-wash/11719267-1-blue,video.asos-media.com/products/asos-design-stretch-slim-denim-shirt-in-mid-wash/11719267-catwalk-AVS,True,www.asos.com/usasos-design/asos-design-stretch-slim-denim-shirt-in-mid-wash/prd/11719267?colourwayid=16355255
17,20790680,ASOS DESIGN relaxed fit viscose shirt with low revere collar in camel,"{'current': {'value': 32.0, 'text': '$32.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60088119,ASOS DESIGN,False,False,,1749535,Product,asos-design/asos-design-relaxed-fit-viscose-shirt-with-low-revere-collar-in-camel/prd/20790680?colourwayid=60088119,images.asos-media.com/products/asos-design-relaxed-fit-viscose-shirt-with-low-revere-collar-in-camel/20790680-1-camel,,True,www.asos.com/usasos-design/asos-design-relaxed-fit-viscose-shirt-with-low-revere-collar-in-camel/prd/20790680?colourwayid=60088119
18,21022795,ASOS DESIGN oversized cut and sew color block shirt,"{'current': {'value': 45.0, 'text': '$45.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60134764,ASOS DESIGN,False,False,,1768242,Product,asos-design/asos-design-oversized-cut-and-sew-color-block-shirt/prd/21022795?colourwayid=60134764,images.asos-media.com/products/asos-design-oversized-cut-and-sew-color-block-shirt/21022795-1-multi,,False,www.asos.com/usasos-design/asos-design-oversized-cut-and-sew-color-block-shirt/prd/21022795?colourwayid=60134764
19,20935734,COLLUSION pastel splice shirt,"{'current': {'value': 35.0, 'text': '$35.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60152490,Collusion,False,False,,1761142,Product,collusion/collusion-pastel-splice-shirt/prd/20935734?colourwayid=60152490,images.asos-media.com/products/collusion-pastel-splice-shirt/20935734-1-multi,,False,www.asos.com/uscollusion/collusion-pastel-splice-shirt/prd/20935734?colourwayid=60152490
20,14802422,Selected Homme organic cotton grandad collar bib front shirt in off-white,"{'current': {'value': 55.0, 'text': '$55.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16645153,Selected Homme,False,False,,1670390,Product,selected-homme/selected-homme-organic-cotton-grandad-collar-bib-front-shirt-in-off-white/prd/14802422?colourwayid=16645153,images.asos-media.com/products/selected-homme-organic-cotton-grandad-collar-bib-front-shirt-in-off-white/14802422-1-bonewhite,video.asos-media.com/products/selected-homme-organic-cotton-grandad-collar-bib-front-shirt-in-off-white/14802422-catwalk-AVS,False,www.asos.com/usselected-homme/selected-homme-organic-cotton-grandad-collar-bib-front-shirt-in-off-white/prd/14802422?colourwayid=16645153
