,id,name,price,colour,colourWayId,brandName,hasVariantColours,hasMultiplePrices,groupId,productCode,productType,url,imageUrl,videoUrl,isSellingFast,PAGE_URL_COMPLETE
0,20715836,ASOS DESIGN ultimate organic cotton crew neck t-shirt in white,"{'current': {'value': 9.5, 'text': '$9.50'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60082042,ASOS DESIGN,False,False,,1743729,Product,asos-design/asos-design-ultimate-organic-cotton-crew-neck-t-shirt-in-white/prd/20715836?colourwayid=60082042,images.asos-media.com/products/asos-design-ultimate-organic-cotton-crew-neck-t-shirt-in-white/20715836-1-white,video.asos-media.com/products/asos-design-ultimate-organic-cotton-crew-neck-t-shirt-in-white/20715836-catwalk-AVS,True,www.asos.com/usasos-design/asos-design-ultimate-organic-cotton-crew-neck-t-shirt-in-white/prd/20715836?colourwayid=60082042
1,14963858,ASOS DESIGN knot front top with kimono sleeve,"{'current': {'value': 48.0, 'text': '$48.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16660821,ASOS DESIGN,False,False,,1682918,Product,asos-design/asos-design-knot-front-top-with-kimono-sleeve/prd/14963858?colourwayid=16660821,images.asos-media.com/products/asos-design-knot-front-top-with-kimono-sleeve/14963858-1-black,video.asos-media.com/products/asos-design-knot-front-top-with-kimono-sleeve/14963858-catwalk-AVS,True,www.asos.com/usasos-design/asos-design-knot-front-top-with-kimono-sleeve/prd/14963858?colourwayid=16660821
2,14529331,COLLUSION oversized shirt in white,"{'current': {'value': 32.0, 'text': '$32.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16623366,Collusion,False,False,,1648397,Product,collusion/collusion-oversized-shirt-in-white/prd/14529331?colourwayid=16623366,images.asos-media.com/products/collusion-oversized-shirt-in-white/14529331-1-white,video.asos-media.com/products/collusion-oversized-shirt-in-white/14529331-catwalk-AVS,True,www.asos.com/uscollusion/collusion-oversized-shirt-in-white/prd/14529331?colourwayid=16623366
3,12451556,ASOS DESIGN slim fit t-shirt in rib in black,"{'current': {'value': 16.0, 'text': '$16.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16413354,ASOS DESIGN,False,False,,1487481,Product,asos-design/asos-design-slim-fit-t-shirt-in-rib-in-black/prd/12451556?colourwayid=16413354,images.asos-media.com/products/asos-design-slim-fit-t-shirt-in-rib-in-black/12451556-1-black,,True,www.asos.com/usasos-design/asos-design-slim-fit-t-shirt-in-rib-in-black/prd/12451556?colourwayid=16413354
4,21159494,Bershka strappy cami in pink,"{'current': {'value': 10.5, 'text': '$10.50'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60144564,Bershka,False,False,,1777283,Product,bershka/bershka-strappy-cami-in-pink/prd/21159494?colourwayid=60144564,images.asos-media.com/products/bershka-strappy-cami-in-pink/21159494-1-pink,,True,www.asos.com/usbershka/bershka-strappy-cami-in-pink/prd/21159494?colourwayid=60144564
5,20641899,ASOS DESIGN ultimate organic cotton t-shirt with crew neck 3 pack SAVE,"{'current': {'value': 26.0, 'text': '$26.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60075381,ASOS DESIGN,False,False,,1737645,Product,asos-design/asos-design-ultimate-organic-cotton-t-shirt-with-crew-neck-3-pack-save/prd/20641899?colourwayid=60075381,images.asos-media.com/products/asos-design-ultimate-organic-cotton-t-shirt-with-crew-neck-3-pack-save/20641899-1-blackwhitegrey,,True,www.asos.com/usasos-design/asos-design-ultimate-organic-cotton-t-shirt-with-crew-neck-3-pack-save/prd/20641899?colourwayid=60075381
6,20631640,ASOS DESIGN oversized t-shirt with exposed seams in washed gray,"{'current': {'value': 23.0, 'text': '$23.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60073764,ASOS DESIGN,False,False,,1736778,Product,asos-design/asos-design-oversized-t-shirt-with-exposed-seams-in-washed-gray/prd/20631640?colourwayid=60073764,images.asos-media.com/products/asos-design-oversized-t-shirt-with-exposed-seams-in-washed-gray/20631640-1-grey,,True,www.asos.com/usasos-design/asos-design-oversized-t-shirt-with-exposed-seams-in-washed-gray/prd/20631640?colourwayid=60073764
7,14252251,ASOS DESIGN super oversized tank with open back in white,"{'current': {'value': 16.0, 'text': '$16.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16602977,ASOS DESIGN,False,False,,1628778,Product,asos-design/asos-design-super-oversized-tank-with-open-back-in-white/prd/14252251?colourwayid=16602977,images.asos-media.com/products/asos-design-super-oversized-tank-with-open-back-in-white/14252251-1-white,,True,www.asos.com/usasos-design/asos-design-super-oversized-tank-with-open-back-in-white/prd/14252251?colourwayid=16602977
8,14942300,Stradivarius body in white,"{'current': {'value': 20.0, 'text': '$20.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16658816,Stradivarius,False,False,,1681817,Product,stradivarius/stradivarius-body-in-white/prd/14942300?colourwayid=16658816,images.asos-media.com/products/stradivarius-body-in-white/14942300-1-white,video.asos-media.com/products/stradivarius-body-in-white/14942300-catwalk-AVS,True,www.asos.com/usstradivarius/stradivarius-body-in-white/prd/14942300?colourwayid=16658816
9,20758535,COLLUSION Unisex t-shirt in white,"{'current': {'value': 8.0, 'text': '$8.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60085619,Collusion,False,False,,1747104,Product,collusion/collusion-unisex-t-shirt-in-white/prd/20758535?colourwayid=60085619,images.asos-media.com/products/collusion-unisex-t-shirt-in-white/20758535-1-white,,True,www.asos.com/uscollusion/collusion-unisex-t-shirt-in-white/prd/20758535?colourwayid=60085619
