,sku,id,lineId,imageSmallUrl,originalImage,productName,brandName,price,discountPrice,discountPercent,links,mainColor,masterCategoryName,subCategoryName,exclusiveToKoovs,isSkuOutOfStock,isProductOutOfStock,hasLooksAvailable,isTrending,merchantDetails,url_given,PAGE_URL_COMPLETE
0,1936572,137285,154213,https://product.koovs.com/154213_70820308d59a4dd9870e15450b1436f7_image1_super_zoom.jpg,https://product.koovs.com/width/height/154213_70820308d59a4dd9870e15450b1436f7_image1_super_zoom.jpg,Tiger Print Regular Shorts,KOOVS,999,500,50,"[{'href': '/koovs-aop-shorts-137285-154213.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Shorts'],['Men Shorts'],False,False,False,False,False,,/koovs-aop-shorts-137285-154213.html,www.koovs.com/koovs-aop-shorts-137285-154213.html
1,1917099,133251,149525,https://product.koovs.com/149525_4d0b570777bd427fac032ccfe063484f_image1_super_zoom.jpg,https://product.koovs.com/width/height/149525_4d0b570777bd427fac032ccfe063484f_image1_super_zoom.jpg,Cut & Sew Panel Shorts,CHELSEA KING,1499,299,80,"[{'href': '/chelsea-king-cut--sew-panel-shorts-133251-149525.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Shorts'],['Men Shorts'],False,False,False,False,False,,/chelsea-king-cut--sew-panel-shorts-133251-149525.html,www.koovs.com/chelsea-king-cut--sew-panel-shorts-133251-149525.html
2,1917084,133248,149522,https://product.koovs.com/149522_b7e06e905cb74f02a19b8413f495e02a_image1_super_zoom.jpg,https://product.koovs.com/width/height/149522_b7e06e905cb74f02a19b8413f495e02a_image1_super_zoom.jpg,Frayed Hem Washed Denim Shorts,CHELSEA KING,1699,339,80,"[{'href': '/chelsea-king-frade-hem-washed-blue-denim-shorts-133248-149522.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['Shorts'],['Men Shorts'],False,False,False,False,False,,/chelsea-king-frade-hem-washed-blue-denim-shorts-133248-149522.html,www.koovs.com/chelsea-king-frade-hem-washed-blue-denim-shorts-133248-149522.html
3,1844688,118233,132365,https://product.koovs.com/118233_1f0e42d42584c97a0d1c7132ec2d38ff.jpg,https://product.koovs.com/width/height/118233_1f0e42d42584c97a0d1c7132ec2d38ff.jpg,Grid Check Shorts,KOOVS,1099,495,55,"[{'href': '/koovs-grid-check-short-118233-132365.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Shorts'],['Men Shorts'],False,False,False,False,False,,/koovs-grid-check-short-118233-132365.html,www.koovs.com/koovs-grid-check-short-118233-132365.html
4,1808398,110839,123949,https://product.koovs.com/110839_3c36dd50f90a7c52249b942d7bc0fe06.jpg,https://product.koovs.com/width/height/110839_3c36dd50f90a7c52249b942d7bc0fe06.jpg,3-Stripe Shorts,Adidas,1499,1499,0,"[{'href': '/adidas-ess-lin-chlsea2-16-110839-123949.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Shorts'],['Men Shorts'],False,False,False,False,False,,/adidas-ess-lin-chlsea2-16-110839-123949.html,www.koovs.com/adidas-ess-lin-chlsea2-16-110839-123949.html
5,1900971,130051,145728,https://product.koovs.com/130051_4b0ac23c3ef4f145fb7ea546c5e15a86.jpg,https://product.koovs.com/width/height/130051_4b0ac23c3ef4f145fb7ea546c5e15a86.jpg,Work In Progress Print Shorts,Fighting Fame,599,300,50,"[{'href': '/fighting-fame-work-in-progress-shorts-130051-145728.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['Shorts'],['Men Shorts'],False,False,False,False,False,,/fighting-fame-work-in-progress-shorts-130051-145728.html,www.koovs.com/fighting-fame-work-in-progress-shorts-130051-145728.html
6,1904168,130683,146481,https://product.koovs.com/130683_143590732bd3751618aaea704b62da0e.jpg,https://product.koovs.com/width/height/130683_143590732bd3751618aaea704b62da0e.jpg,Oriental Floral Print Panelled Shorts,Shivan & Narresh X KOOVS,1499,675,55,"[{'href': '/shivan--narresh-x-koovs-satin-all-over-print-shorts-130683-146481.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Shorts'],['Men Shorts'],True,False,False,False,False,Koovs Exclusive,/shivan--narresh-x-koovs-satin-all-over-print-shorts-130683-146481.html,www.koovs.com/shivan--narresh-x-koovs-satin-all-over-print-shorts-130683-146481.html
7,1895422,128871,144378,https://product.koovs.com/128871_fc51a0ba4a08ebe2cb5783862bc836a4.jpg,https://product.koovs.com/width/height/128871_fc51a0ba4a08ebe2cb5783862bc836a4.jpg,Belted Washed Slim Shorts,Alcott,1799,810,55,"[{'href': '/alcott-shorts-230-128871-144378.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['Shorts'],['Men Shorts'],True,False,False,False,False,INTERNATIONAL BRAND,/alcott-shorts-230-128871-144378.html,www.koovs.com/alcott-shorts-230-128871-144378.html
9,1895548,128885,144407,https://product.koovs.com/128885_2db7ff89e4dfc99bb4f8c18c741ad375.jpg,https://product.koovs.com/width/height/128885_2db7ff89e4dfc99bb4f8c18c741ad375.jpg,Palm Tree Print Slim Shorts,Alcott,2999,1350,55,"[{'href': '/alcott-pants-273-128885-144407.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Shorts'],['Men Shorts'],True,False,False,False,False,INTERNATIONAL BRAND,/alcott-pants-273-128885-144407.html,www.koovs.com/alcott-pants-273-128885-144407.html
10,1895413,128869,144376,https://product.koovs.com/128869_44e6b92bdc02304d95a4e91bf8174ed7.jpg,https://product.koovs.com/width/height/128869_44e6b92bdc02304d95a4e91bf8174ed7.jpg,Basic Slim Fit Shorts,Alcott,1499,675,55,"[{'href': '/alcott-shorts-400-128869-144376.html', 'rel': 'self', 'method': 'GET'}]",['Red'],['Shorts'],['Men Shorts'],True,False,False,False,False,INTERNATIONAL BRAND,/alcott-shorts-400-128869-144376.html,www.koovs.com/alcott-shorts-400-128869-144376.html
11,1861331,121699,136330,https://product.koovs.com/121699_9a4dea8223133fe02ec6125e92054a57.jpg,https://product.koovs.com/width/height/121699_9a4dea8223133fe02ec6125e92054a57.jpg,Windowpane Check Print Shorts,Garcon,899,450,50,"[{'href': '/garcon-check-print-shorts-121699-136330.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['Shorts'],['Men Shorts'],True,False,False,False,False,Koovs Exclusive,/garcon-check-print-shorts-121699-136330.html,www.koovs.com/garcon-check-print-shorts-121699-136330.html
12,1886525,127040,142314,https://product.koovs.com/142314_b5f918f71d56464eb00a3319cb5bf8b4_image1_super_zoom.jpg,https://product.koovs.com/width/height/142314_b5f918f71d56464eb00a3319cb5bf8b4_image1_super_zoom.jpg,Pineapple Print Drawcord Shorts,Brave Soul,1499,675,55,"[{'href': '/all-over-print-shorts-109-127040-142314.html', 'rel': 'self', 'method': 'GET'}]",['White'],['Shorts'],['Men Shorts'],True,False,False,False,False,INTERNATIONAL BRAND,/all-over-print-shorts-109-127040-142314.html,www.koovs.com/all-over-print-shorts-109-127040-142314.html
13,1878465,125337,140357,https://product.koovs.com/125337_c5a4582889cd6b900490c18bc371cc39.jpg,https://product.koovs.com/width/height/125337_c5a4582889cd6b900490c18bc371cc39.jpg,Graphic Rubber Print Logo Shorts,Puma,1499,750,50,"[{'href': '/puma-ka-woven-shorts-9-125337-140357.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['Shorts'],['Men Shorts'],False,False,False,False,False,,/puma-ka-woven-shorts-9-125337-140357.html,www.koovs.com/puma-ka-woven-shorts-9-125337-140357.html
14,1878476,125339,140359,https://product.koovs.com/125339_8b5c25007a5fe8b42a8cb33f9c6744d4.jpg,https://product.koovs.com/width/height/125339_8b5c25007a5fe8b42a8cb33f9c6744d4.jpg,Placement Print Mesh Detail Shorts,Puma,2299,1150,50,"[{'href': '/puma-modern-sports-shorts-9-125339-140359.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Shorts'],['Men Shorts'],False,False,False,False,False,,/puma-modern-sports-shorts-9-125339-140359.html,www.koovs.com/puma-modern-sports-shorts-9-125339-140359.html
15,1844683,118232,132364,https://product.koovs.com/118232_b90e17b42e4844e31ea1b1cc710e888a.jpg,https://product.koovs.com/width/height/118232_b90e17b42e4844e31ea1b1cc710e888a.jpg,Windowpane Check Side Tape Shorts,KOOVS,1199,540,55,"[{'href': '/koovs-windowpane-casual-shorts-118232-132364.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['Shorts'],['Men Shorts'],False,False,False,False,False,,/koovs-windowpane-casual-shorts-118232-132364.html,www.koovs.com/koovs-windowpane-casual-shorts-118232-132364.html
16,1841438,117572,131659,https://product.koovs.com/117572_06e57f4229a75067d6bc7f2c7c491450.jpg,https://product.koovs.com/width/height/117572_06e57f4229a75067d6bc7f2c7c491450.jpg,KOOVS Light Wash Denim Shorts,K Denim,1299,649,50,"[{'href': '/k-denim-denim-jogging-shorts-170-117572-131659.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['Shorts'],['Men Shorts'],False,False,False,False,False,,/k-denim-denim-jogging-shorts-170-117572-131659.html,www.koovs.com/k-denim-denim-jogging-shorts-170-117572-131659.html
