,sku,id,lineId,imageSmallUrl,originalImage,productName,brandName,price,discountPrice,discountPercent,links,mainColor,masterCategoryName,subCategoryName,exclusiveToKoovs,isSkuOutOfStock,isProductOutOfStock,hasLooksAvailable,isTrending,merchantDetails,url_given,PAGE_URL_COMPLETE
0,1936210,137220,154143,https://product.koovs.com/154143_f82f9be93d66477e928a02854cb60c73_image1_super_zoom.jpg,https://product.koovs.com/width/height/154143_f82f9be93d66477e928a02854cb60c73_image1_super_zoom.jpg,Horizontal Stripe Tie-Dye T-Shirt,KOOVS,899,539,40,"[{'href': '/koovs-indigo-stripe-tie-dye-tee-137220-154143.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['T-Shirts & Polo Shirts'],['T-shirts'],False,False,False,False,False,,/koovs-indigo-stripe-tie-dye-tee-137220-154143.html,www.koovs.com/koovs-indigo-stripe-tie-dye-tee-137220-154143.html
1,1936255,137229,154152,https://product.koovs.com/154152_b19bec5ff57a4eeda7c6938bccf62d70_image1_super_zoom.jpg,https://product.koovs.com/width/height/154152_b19bec5ff57a4eeda7c6938bccf62d70_image1_super_zoom.jpg,Funnel Neck Muscle Fit T-Shirt,KOOVS,799,479,40,"[{'href': '/koovs-fushia-taped-muscle-high-collar-te-137229-154152.html', 'rel': 'self', 'method': 'GET'}]",['Pink'],['T-Shirts & Polo Shirts'],['T-shirts'],False,False,False,False,False,,/koovs-fushia-taped-muscle-high-collar-te-137229-154152.html,www.koovs.com/koovs-fushia-taped-muscle-high-collar-te-137229-154152.html
2,1936230,137224,154147,https://product.koovs.com/154147_687d9e457643472d94db217c74794768_image1_super_zoom.jpg,https://product.koovs.com/width/height/154147_687d9e457643472d94db217c74794768_image1_super_zoom.jpg,Scoop Neck Vertical Stripe T-Shirt,KOOVS,799,159,80,"[{'href': '/koovs-scoop-neck-tee-137224-154147.html', 'rel': 'self', 'method': 'GET'}]",['Green'],['T-Shirts & Polo Shirts'],['T-shirts'],False,False,False,False,False,,/koovs-scoop-neck-tee-137224-154147.html,www.koovs.com/koovs-scoop-neck-tee-137224-154147.html
3,1935138,137101,153944,https://product.koovs.com/153944_8b2cab207d304ca4a1651c9e700cc66f_image1_super_zoom.jpg,https://product.koovs.com/width/height/153944_8b2cab207d304ca4a1651c9e700cc66f_image1_super_zoom.jpg,Muscle Fit Long Sleeve T-Shirt,KOOVS,599,359,40,"[{'href': '/koovs-basic-muscle-fit-ls-tee-137101-153944.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['T-Shirts & Polo Shirts'],['T-shirts'],False,False,False,False,False,,/koovs-basic-muscle-fit-ls-tee-137101-153944.html,www.koovs.com/koovs-basic-muscle-fit-ls-tee-137101-153944.html
5,1936120,137202,154125,https://product.koovs.com/154125_4d0c0e40f6e4467d8e0419dc09ca99b5_image1_super_zoom.jpg,https://product.koovs.com/width/height/154125_4d0c0e40f6e4467d8e0419dc09ca99b5_image1_super_zoom.jpg,Lit Tie-Dye Print Oversized T-Shirt,KOOVS,999,599,40,"[{'href': '/koovs-lit-oversized-tie-dye-tee-137202-154125.html', 'rel': 'self', 'method': 'GET'}]",['Red'],['T-Shirts & Polo Shirts'],['T-shirts'],False,False,False,False,False,,/koovs-lit-oversized-tie-dye-tee-137202-154125.html,www.koovs.com/koovs-lit-oversized-tie-dye-tee-137202-154125.html
6,1934842,137085,153884,https://product.koovs.com/153884_7b6057582267433fbd1ee5f445e2b82a_image1_super_zoom.jpg,https://product.koovs.com/width/height/153884_7b6057582267433fbd1ee5f445e2b82a_image1_super_zoom.jpg,Cap Sleeve Crew Neck T-Shirt,KOOVS,399,180,55,"[{'href': '/koovs-basic-cap-sleeve-tshirt-137085-153884.html', 'rel': 'self', 'method': 'GET'}]",['Pink'],['T-Shirts & Polo Shirts'],['T-shirts'],False,False,False,False,False,,/koovs-basic-cap-sleeve-tshirt-137085-153884.html,www.koovs.com/koovs-basic-cap-sleeve-tshirt-137085-153884.html
7,1937939,137563,154530,https://product.koovs.com/154530_c434eaca64ae4786b67f6f2f23e382b2_image1_super_zoom.jpg,https://product.koovs.com/width/height/154530_c434eaca64ae4786b67f6f2f23e382b2_image1_super_zoom.jpg,Good Vibes Placement Print T-Shirt,KOOVS,999,199,80,"[{'href': '/koovs-half-sleeve-tshirt-with-print-137563-154530.html', 'rel': 'self', 'method': 'GET'}]",['White'],['T-Shirts & Polo Shirts'],['T-shirts'],False,False,False,False,False,,/koovs-half-sleeve-tshirt-with-print-137563-154530.html,www.koovs.com/koovs-half-sleeve-tshirt-with-print-137563-154530.html
8,1936201,137218,154141,https://product.koovs.com/154141_b9e25cc9a3654a7fba2a92fb104d9486_image1_super_zoom.jpg,https://product.koovs.com/width/height/154141_b9e25cc9a3654a7fba2a92fb104d9486_image1_super_zoom.jpg,Abstract Tile Print Polo Shirt,KOOVS,999,199,80,"[{'href': '/koovs-lime-abstract-tile-polo-137218-154141.html', 'rel': 'self', 'method': 'GET'}]",['Green'],['T-Shirts & Polo Shirts'],['Polo Shirts'],False,False,False,False,False,,/koovs-lime-abstract-tile-polo-137218-154141.html,www.koovs.com/koovs-lime-abstract-tile-polo-137218-154141.html
9,1936109,137200,154123,https://product.koovs.com/154123_195e4afe7e9a47a99475028894ef4222_image1_super_zoom.jpg,https://product.koovs.com/width/height/154123_195e4afe7e9a47a99475028894ef4222_image1_super_zoom.jpg,Comic Print Polo Shirt,KOOVS,999,500,50,"[{'href': '/koovs-comic-print-polo-137200-154123.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['T-Shirts & Polo Shirts'],['Polo Shirts'],False,False,False,False,False,,/koovs-comic-print-polo-137200-154123.html,www.koovs.com/koovs-comic-print-polo-137200-154123.html
10,1913888,132614,148786,https://product.koovs.com/148786_ee068a6b15e04464923aaf3f2679f624_image1_super_zoom.jpg,https://product.koovs.com/width/height/148786_ee068a6b15e04464923aaf3f2679f624_image1_super_zoom.jpg,Slogan Placement Print T-Shirt,KOOVS,799,400,50,"[{'href': '/koovs-rythym-unites-us-print-tee-132614-148786.html', 'rel': 'self', 'method': 'GET'}]",['White'],['T-Shirts & Polo Shirts'],['T-shirts'],False,False,False,False,False,,/koovs-rythym-unites-us-print-tee-132614-148786.html,www.koovs.com/koovs-rythym-unites-us-print-tee-132614-148786.html
