,sku,id,lineId,imageSmallUrl,originalImage,productName,brandName,price,discountPrice,discountPercent,revertPriceText,links,mainColor,masterCategoryName,subCategoryName,exclusiveToKoovs,isSkuOutOfStock,isProductOutOfStock,hasLooksAvailable,isTrending,merchantDetails,url_given,PAGE_URL_COMPLETE
0,129667,40447,41901,https://product.koovs.com/41901_17f67d26678a44b5a451082a59f5c921_image1_super_zoom.jpg,https://product.koovs.com/width/height/41901_17f67d26678a44b5a451082a59f5c921_image1_super_zoom.jpg,Polka Dot Belted Trousers,KOOVS,1695,849,50,Price After Sale,"[{'href': '/koovs-woven-soft-belted-trouser-a-40447-41901.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Trousers & Leggings'],['Trousers'],False,False,False,False,False,,/koovs-woven-soft-belted-trouser-a-40447-41901.html,www.koovs.com/koovs-woven-soft-belted-trouser-a-40447-41901.html
1,1901695,130203,145906,https://product.koovs.com/130203_083c5b040358426f78bf23a6ef18d890.jpg,https://product.koovs.com/width/height/130203_083c5b040358426f78bf23a6ef18d890.jpg,Untamed Print Skinny Joggers,Disrupt,1499,1499,0,Price After Sale,"[{'href': '/untamed-joggers-130203-145906.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['Trousers & Leggings'],['Joggers'],False,False,False,False,False,,/untamed-joggers-130203-145906.html,www.koovs.com/untamed-joggers-130203-145906.html
2,129469,40440,41850,https://product.koovs.com/40440_35e2418de7fb051aa47e2037cd2ad209.jpg,https://product.koovs.com/width/height/40440_35e2418de7fb051aa47e2037cd2ad209.jpg,Side Ruched Leggings,KOOVS,495,248,50,Price After Sale,"[{'href': '/koovs-side-rouche-leggings-40440-41850.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Trousers & Leggings'],['Leggings'],False,False,False,False,False,,/koovs-side-rouche-leggings-40440-41850.html,www.koovs.com/koovs-side-rouche-leggings-40440-41850.html
3,1930208,136082,152771,https://product.koovs.com/152771_ec7a72c9611a4131b0c5e4a8d4c2f7f9_image1_super_zoom.jpg,https://product.koovs.com/width/height/152771_ec7a72c9611a4131b0c5e4a8d4c2f7f9_image1_super_zoom.jpg,Satin Wide Leg Trousers,KOOVS,1699,849,50,Price After Sale,"[{'href': '/koovs-wide-leg-flared-trouser-136082-152771.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Trousers & Leggings'],['Palazzo Pants'],False,False,False,False,False,,/koovs-wide-leg-flared-trouser-136082-152771.html,www.koovs.com/koovs-wide-leg-flared-trouser-136082-152771.html
4,1892833,128314,143750,https://product.koovs.com/128314_4d508b88023d7313dc9d6c5cdf46224c.jpg,https://product.koovs.com/width/height/128314_4d508b88023d7313dc9d6c5cdf46224c.jpg,Chain Print Palazzo Pants,KOOVS,1699,1699,0,Price After Sale,"[{'href': '/koovs-plisse-midi-skirt-482-128314-143750.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Trousers & Leggings'],['Palazzo Pants'],False,False,False,False,False,,/koovs-plisse-midi-skirt-482-128314-143750.html,www.koovs.com/koovs-plisse-midi-skirt-482-128314-143750.html
5,129047,40369,41750,https://product.koovs.com/40369_ae56c0bacac9888ca51777d9eb95bdc8.jpg,https://product.koovs.com/width/height/40369_ae56c0bacac9888ca51777d9eb95bdc8.jpg,Hexagon Sequined Beaded Legging,KOOVS,2395,1198,50,Price After Sale,"[{'href': '/koovs-hexagon-bead-legging-40369-41750.html', 'rel': 'self', 'method': 'GET'}]",['White'],['Trousers & Leggings'],['Leggings'],False,False,False,False,False,,/koovs-hexagon-bead-legging-40369-41750.html,www.koovs.com/koovs-hexagon-bead-legging-40369-41750.html
6,1873094,124185,139093,https://product.koovs.com/124185_7258f1f8edc17829f3e704e5f864c8fc.jpg,https://product.koovs.com/width/height/124185_7258f1f8edc17829f3e704e5f864c8fc.jpg,Elasticated Waist Pleated Cropped Trousers,LC Waikiki,3499,3499,0,Price After Sale,"[{'href': '/dull-pink-wide-leg-pants-124185-139093.html', 'rel': 'self', 'method': 'GET'}]",['Pink'],['Trousers & Leggings'],['Trousers'],False,False,False,False,False,,/dull-pink-wide-leg-pants-124185-139093.html,www.koovs.com/dull-pink-wide-leg-pants-124185-139093.html
7,1873112,124189,139097,https://product.koovs.com/124189_66438b1f79f42d51184d92f4dcab99c4.jpg,https://product.koovs.com/width/height/124189_66438b1f79f42d51184d92f4dcab99c4.jpg,Side Zipper Cropped Treggings,LC Waikiki,2999,2999,0,Price After Sale,"[{'href': '/coral-trouser-124189-139097.html', 'rel': 'self', 'method': 'GET'}]",['Pink'],['Trousers & Leggings'],['Trousers'],False,False,False,False,False,,/coral-trouser-124189-139097.html,www.koovs.com/coral-trouser-124189-139097.html
8,1873071,124180,139088,https://product.koovs.com/124180_a8e336a43746e5c685a9a764fc3f918e.jpg,https://product.koovs.com/width/height/124180_a8e336a43746e5c685a9a764fc3f918e.jpg,Tassel Pocket Drawcord Trousers,LC Waikiki,3999,3999,0,Price After Sale,"[{'href': '/dark-khaki-trouser-124180-139088.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Trousers & Leggings'],['Trousers'],False,False,False,False,False,,/dark-khaki-trouser-124180-139088.html,www.koovs.com/dark-khaki-trouser-124180-139088.html
10,1871886,123994,138858,https://product.koovs.com/123994_1bbd79334c73f80a9d6e1d44afa50e70.jpg,https://product.koovs.com/width/height/123994_1bbd79334c73f80a9d6e1d44afa50e70.jpg,Classic Cropped Skinny Trousers,LC Waikiki,1999,1999,0,Price After Sale,"[{'href': '/dark-beige-trouser-123994-138858.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Trousers & Leggings'],['Trousers'],False,False,False,False,False,,/dark-beige-trouser-123994-138858.html,www.koovs.com/dark-beige-trouser-123994-138858.html
11,1871873,123993,138855,https://product.koovs.com/123993_8dee002385dedfbf1b9bb4224fe7d0be.jpg,https://product.koovs.com/width/height/123993_8dee002385dedfbf1b9bb4224fe7d0be.jpg,Side Button Cropped Skinny Trousers,LC Waikiki,2299,2299,0,Price After Sale,"[{'href': '/light-pink-trouser-123993-138855.html', 'rel': 'self', 'method': 'GET'}]",['Pink'],['Trousers & Leggings'],['Trousers'],False,False,False,False,False,,/light-pink-trouser-123993-138855.html,www.koovs.com/light-pink-trouser-123993-138855.html
12,1871860,123991,138853,https://product.koovs.com/123991_8a7e6490a1fa22d4cd6f932afc2bf8a0.jpg,https://product.koovs.com/width/height/123991_8a7e6490a1fa22d4cd6f932afc2bf8a0.jpg,Zippered Hem Cropped Skinny Trousers,LC Waikiki,2299,2299,0,Price After Sale,"[{'href': '/light-blue-trouser-123991-138853.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['Trousers & Leggings'],['Trousers'],False,False,False,False,False,,/light-blue-trouser-123991-138853.html,www.koovs.com/light-blue-trouser-123991-138853.html
13,1918741,133628,149924,https://product.koovs.com/149924_35d787f1e49041598cdfc40d1cac6176_image1_super_zoom.jpg,https://product.koovs.com/width/height/149924_35d787f1e49041598cdfc40d1cac6176_image1_super_zoom.jpg,Faux Leather Paperbag Cropped Trousers,Missguided,3499,1219,65,Price After Sale,"[{'href': '/faux-leather-paperbag-waist-belted-trousers-133628-149924.html', 'rel': 'self', 'method': 'GET'}]",['Maroon'],['Trousers & Leggings'],['Trousers'],True,False,False,False,False,INTERNATIONAL BRAND,/faux-leather-paperbag-waist-belted-trousers-133628-149924.html,www.koovs.com/faux-leather-paperbag-waist-belted-trousers-133628-149924.html
14,1873104,124187,139095,https://product.koovs.com/124187_9ebe062803dd12a850917f72f244626c.jpg,https://product.koovs.com/width/height/124187_9ebe062803dd12a850917f72f244626c.jpg,Houndstooth Check Drawcord Cropped Trousers,LC Waikiki,2799,2799,0,Price After Sale,"[{'href': '/black-checked-trouser-124187-139095.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Trousers & Leggings'],['Cropped Trousers'],False,False,False,False,False,,/black-checked-trouser-124187-139095.html,www.koovs.com/black-checked-trouser-124187-139095.html
15,1873132,124191,139101,https://product.koovs.com/124191_9cb7058a159476c940618f4aaac831f0.jpg,https://product.koovs.com/width/height/124191_9cb7058a159476c940618f4aaac831f0.jpg,Textured Front Tie-Up Cropped Trousers,LC Waikiki,2999,2999,0,Price After Sale,"[{'href': '/pink-trouser-124191-139101.html', 'rel': 'self', 'method': 'GET'}]",['Pink'],['Trousers & Leggings'],['Trousers'],False,False,False,False,False,,/pink-trouser-124191-139101.html,www.koovs.com/pink-trouser-124191-139101.html
18,1873147,124194,139104,https://product.koovs.com/124194_b03ca3dc3dc3cc089f64a05a5f77e732.jpg,https://product.koovs.com/width/height/124194_b03ca3dc3dc3cc089f64a05a5f77e732.jpg,Basic Elasticated Waist Cropped Trousers,LC Waikiki,3499,3499,0,Price After Sale,"[{'href': '/navy-trouser-333-124194-139104.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['Trousers & Leggings'],['Trousers'],False,False,False,False,False,,/navy-trouser-333-124194-139104.html,www.koovs.com/navy-trouser-333-124194-139104.html
