,sku,id,lineId,imageSmallUrl,originalImage,productName,brandName,price,discountPrice,discountPercent,revertPriceText,links,mainColor,masterCategoryName,subCategoryName,exclusiveToKoovs,isSkuOutOfStock,isProductOutOfStock,hasLooksAvailable,isTrending,merchantDetails,url_given,PAGE_URL_COMPLETE
0,1935171,137103,153950,https://product.koovs.com/153950_b9e9c0beba8340dc94aaca82ddd0b2d2_image1_super_zoom.jpg,https://product.koovs.com/width/height/153950_b9e9c0beba8340dc94aaca82ddd0b2d2_image1_super_zoom.jpg,Muscle Fit Crew Neck T-Shirt,KOOVS,399,129,68,Price After Sale,"[{'href': '/koovs-muscle-crew-neck-tshirt-137103-153950.html', 'rel': 'self', 'method': 'GET'}]",['White'],['T-Shirts & Polo Shirts'],['T-shirts'],False,False,False,False,False,,/koovs-muscle-crew-neck-tshirt-137103-153950.html,www.koovs.com/koovs-muscle-crew-neck-tshirt-137103-153950.html
1,1917350,133307,149581,https://product.koovs.com/149581_65437e081716429abe550756751e30e9_image1_super_zoom.jpg,https://product.koovs.com/width/height/149581_65437e081716429abe550756751e30e9_image1_super_zoom.jpg,Kaleidoscope Tipped Crew Neck T-Shirt,CHELSEA KING,1299,259,80,Price After Sale,"[{'href': '/chelsea-king-tipping-kaleidoscope-crew-neck-tee-133307-149581.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['T-Shirts & Polo Shirts'],['T-shirts'],False,False,False,False,False,,/chelsea-king-tipping-kaleidoscope-crew-neck-tee-133307-149581.html,www.koovs.com/chelsea-king-tipping-kaleidoscope-crew-neck-tee-133307-149581.html
2,1934925,137091,153901,https://product.koovs.com/153901_f16f96e1e2614392b9b9509cd79edfb0_image1_super_zoom.jpg,https://product.koovs.com/width/height/153901_f16f96e1e2614392b9b9509cd79edfb0_image1_super_zoom.jpg,Scoop Neck Short Sleeve T-Shirt,KOOVS,399,399,0,Price After Sale,"[{'href': '/koovs-basic-slim-fit-scoop-neck-tshirt-137091-153901.html', 'rel': 'self', 'method': 'GET'}]",['Orange'],['T-Shirts & Polo Shirts'],['T-shirts'],False,False,False,False,True,,/koovs-basic-slim-fit-scoop-neck-tshirt-137091-153901.html,www.koovs.com/koovs-basic-slim-fit-scoop-neck-tshirt-137091-153901.html
3,1917386,133316,149590,https://product.koovs.com/149590_b0d00f43e1414ad29a963987cb63a3fe_image1_super_zoom.jpg,https://product.koovs.com/width/height/149590_b0d00f43e1414ad29a963987cb63a3fe_image1_super_zoom.jpg,Trend E-Up Layered Hem T-Shirt,CHELSEA KING,1499,299,80,Price After Sale,"[{'href': '/chelsea-king-trend-e-up-long-line-tee-133316-149590.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['T-Shirts & Polo Shirts'],['T-shirts'],False,False,False,False,False,,/chelsea-king-trend-e-up-long-line-tee-133316-149590.html,www.koovs.com/chelsea-king-trend-e-up-long-line-tee-133316-149590.html
4,1917369,133312,149586,https://product.koovs.com/149586_e95c6d136db348e09c7c9df3c0a252b7_image1_super_zoom.jpg,https://product.koovs.com/width/height/149586_e95c6d136db348e09c7c9df3c0a252b7_image1_super_zoom.jpg,Funnel Neck Zipper Polo Shirt,CHELSEA KING,1499,149,90,Price After Sale,"[{'href': '/chelsea-king-funnel-neck-zip-polo-407-133312-149586.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['T-Shirts & Polo Shirts'],['Polo Shirts'],False,False,False,False,True,,/chelsea-king-funnel-neck-zip-polo-407-133312-149586.html,www.koovs.com/chelsea-king-funnel-neck-zip-polo-407-133312-149586.html
5,1917253,133283,149557,https://product.koovs.com/149557_7b7662d885314a98a3e990ba63694760_image1_super_zoom.jpg,https://product.koovs.com/width/height/149557_7b7662d885314a98a3e990ba63694760_image1_super_zoom.jpg,Shoulder Tape Pique Polo Shirt,CHELSEA KING,1499,299,80,Price After Sale,"[{'href': '/chelsea-king-taped-pique-polo-133283-149557.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['T-Shirts & Polo Shirts'],['Polo Shirts'],False,False,False,False,False,,/chelsea-king-taped-pique-polo-133283-149557.html,www.koovs.com/chelsea-king-taped-pique-polo-133283-149557.html
6,1835379,116346,130268,https://product.koovs.com/116346_1c6f6547dcd76fd2984073f9c4cc2720.jpg,https://product.koovs.com/width/height/116346_1c6f6547dcd76fd2984073f9c4cc2720.jpg,Muscle Fit T-Shirt,KOOVS,399,199,50,Price After Sale,"[{'href': '/koovs-muscle-fit-crew-neck-tee-413-116346-130268.html', 'rel': 'self', 'method': 'GET'}]",['Red'],['T-Shirts & Polo Shirts'],['T-shirts'],False,False,False,False,False,,/koovs-muscle-fit-crew-neck-tee-413-116346-130268.html,www.koovs.com/koovs-muscle-fit-crew-neck-tee-413-116346-130268.html
7,1934788,137083,153874,https://product.koovs.com/153874_f0affb9b87234f10ba76240ad79bd9f5_image1_super_zoom.jpg,https://product.koovs.com/width/height/153874_f0affb9b87234f10ba76240ad79bd9f5_image1_super_zoom.jpg,Oversized Crew Neck T-Shirt,KOOVS,499,249,50,Price After Sale,"[{'href': '/koovs-oversized-crew-neck-tee-137083-153874.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['T-Shirts & Polo Shirts'],['T-shirts'],False,False,False,False,False,,/koovs-oversized-crew-neck-tee-137083-153874.html,www.koovs.com/koovs-oversized-crew-neck-tee-137083-153874.html
8,1917377,133314,149588,https://product.koovs.com/149588_6cba0aa8b9fa426681b74a10bd5e8f8e_image1_super_zoom.jpg,https://product.koovs.com/width/height/149588_6cba0aa8b9fa426681b74a10bd5e8f8e_image1_super_zoom.jpg,Text Print Layered Hem T-Shirt,CHELSEA KING,1499,300,80,Price After Sale,"[{'href': '/chelsea-king-slogan-print-crew-neck-tee-133314-149588.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['T-Shirts & Polo Shirts'],['T-shirts'],False,False,False,False,False,,/chelsea-king-slogan-print-crew-neck-tee-133314-149588.html,www.koovs.com/chelsea-king-slogan-print-crew-neck-tee-133314-149588.html
9,1917365,133311,149585,https://product.koovs.com/149585_0bfdde05d0e24d87992b8e7eb81701d6_image1_super_zoom.jpg,https://product.koovs.com/width/height/149585_0bfdde05d0e24d87992b8e7eb81701d6_image1_super_zoom.jpg,Funnel Neck Zipper Polo Shirt,CHELSEA KING,1499,149,90,Price After Sale,"[{'href': '/chelsea-king-funnel-neck-zip-polo-133311-149585.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['T-Shirts & Polo Shirts'],['Polo Shirts'],False,False,False,False,True,,/chelsea-king-funnel-neck-zip-polo-133311-149585.html,www.koovs.com/chelsea-king-funnel-neck-zip-polo-133311-149585.html
10,1917325,133301,149575,https://product.koovs.com/149575_adc6a5f0fd81465b815bdc6930b23495_image1_super_zoom.jpg,https://product.koovs.com/width/height/149575_adc6a5f0fd81465b815bdc6930b23495_image1_super_zoom.jpg,Abstract Print Zipper Polo Shirt,CHELSEA KING,1499,149,90,Price After Sale,"[{'href': '/chelsea-king-taped-abstrast-print-polo-133301-149575.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['T-Shirts & Polo Shirts'],['Polo Shirts'],False,False,False,False,False,,/chelsea-king-taped-abstrast-print-polo-133301-149575.html,www.koovs.com/chelsea-king-taped-abstrast-print-polo-133301-149575.html
11,1917341,133305,149579,https://product.koovs.com/149579_07a600f6db71462a96d12143a7e6fa91_image1_super_zoom.jpg,https://product.koovs.com/width/height/149579_07a600f6db71462a96d12143a7e6fa91_image1_super_zoom.jpg,Baseball Neck Polo Shirt,CHELSEA KING,1499,300,80,Price After Sale,"[{'href': '/chelsea-king-baseball-neck-polo-214-133305-149579.html', 'rel': 'self', 'method': 'GET'}]",['White'],['T-Shirts & Polo Shirts'],['Polo Shirts'],False,False,False,False,False,,/chelsea-king-baseball-neck-polo-214-133305-149579.html,www.koovs.com/chelsea-king-baseball-neck-polo-214-133305-149579.html
12,1838096,116898,130893,https://product.koovs.com/116898_8c508c6ad9fb64886a3191aee31b8870.jpg,https://product.koovs.com/width/height/116898_8c508c6ad9fb64886a3191aee31b8870.jpg,Floral Print Check T-Shirt,KOOVS,799,399,50,Price After Sale,"[{'href': '/koovs-high-neck-floral-check-tee-116898-130893.html', 'rel': 'self', 'method': 'GET'}]",['Pink'],['T-Shirts & Polo Shirts'],['T-shirts'],False,False,False,False,False,,/koovs-high-neck-floral-check-tee-116898-130893.html,www.koovs.com/koovs-high-neck-floral-check-tee-116898-130893.html
13,1917382,133315,149589,https://product.koovs.com/149589_1542b6dc3ec84b329ba29793f270541b_image1_super_zoom.jpg,https://product.koovs.com/width/height/149589_1542b6dc3ec84b329ba29793f270541b_image1_super_zoom.jpg,Slogan Print Layered Hem T-Shirt,CHELSEA KING,1499,299,80,Price After Sale,"[{'href': '/chelsea-king-slogan-print-crew-neck-tee-26-133315-149589.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['T-Shirts & Polo Shirts'],['T-shirts'],False,False,False,False,False,,/chelsea-king-slogan-print-crew-neck-tee-26-133315-149589.html,www.koovs.com/chelsea-king-slogan-print-crew-neck-tee-26-133315-149589.html
14,1917389,133317,149591,https://product.koovs.com/149591_1492287e7d774bd8be21a21f3a2b9336_image1_super_zoom.jpg,https://product.koovs.com/width/height/149591_1492287e7d774bd8be21a21f3a2b9336_image1_super_zoom.jpg,Camo Panel Slogan T-Shirt,CHELSEA KING,1499,300,80,Price After Sale,"[{'href': '/chelsea-king-camo-print-long-line-crew-neck-tee-133317-149591.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['T-Shirts & Polo Shirts'],['T-shirts'],False,False,False,False,False,,/chelsea-king-camo-print-long-line-crew-neck-tee-133317-149591.html,www.koovs.com/chelsea-king-camo-print-long-line-crew-neck-tee-133317-149591.html
15,1917357,133309,149583,https://product.koovs.com/149583_4ae94eab457a4af6b124459b6c63653a_image1_super_zoom.jpg,https://product.koovs.com/width/height/149583_4ae94eab457a4af6b124459b6c63653a_image1_super_zoom.jpg,Vertical Stripe Baseball Polo Shirt,CHELSEA KING,1499,299,80,Price After Sale,"[{'href': '/chelsea-king-vertical-stripe-baseball-polo-133309-149583.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['T-Shirts & Polo Shirts'],['Polo Shirts'],False,False,False,False,False,,/chelsea-king-vertical-stripe-baseball-polo-133309-149583.html,www.koovs.com/chelsea-king-vertical-stripe-baseball-polo-133309-149583.html
16,1917353,133308,149582,https://product.koovs.com/149582_60b59a25ca4a4dbeae94f4944d9fa66e_image1_super_zoom.jpg,https://product.koovs.com/width/height/149582_60b59a25ca4a4dbeae94f4944d9fa66e_image1_super_zoom.jpg,Distress Print Baseball Polo Shirt,CHELSEA KING,1499,219,85,Price After Sale,"[{'href': '/chelsea-king-distress-printed-baseball-polo-133308-149582.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['T-Shirts & Polo Shirts'],['Polo Shirts'],False,False,False,False,False,,/chelsea-king-distress-printed-baseball-polo-133308-149582.html,www.koovs.com/chelsea-king-distress-printed-baseball-polo-133308-149582.html
17,1936235,137225,154148,https://product.koovs.com/154148_d75ab29274ce4eb4a8759c5f904bbaa4_image1_super_zoom.jpg,https://product.koovs.com/width/height/154148_d75ab29274ce4eb4a8759c5f904bbaa4_image1_super_zoom.jpg,Sticker Print Crew Neck T-Shirt,KOOVS,999,449,55,Price After Sale,"[{'href': '/koovs-sticker-print-t-shirt-137225-154148.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['T-Shirts & Polo Shirts'],['T-shirts'],False,False,False,False,False,,/koovs-sticker-print-t-shirt-137225-154148.html,www.koovs.com/koovs-sticker-print-t-shirt-137225-154148.html
18,1917361,133310,149584,https://product.koovs.com/149584_501d78a9f6eb446bb2c196866894edd4_image1_super_zoom.jpg,https://product.koovs.com/width/height/149584_501d78a9f6eb446bb2c196866894edd4_image1_super_zoom.jpg,Vertical Stripe Baseball Polo Shirt,CHELSEA KING,1499,299,80,Price After Sale,"[{'href': '/chelsea-king-vertical-stripe-baseball-polo-322-133310-149584.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['T-Shirts & Polo Shirts'],['Polo Shirts'],False,False,False,False,False,,/chelsea-king-vertical-stripe-baseball-polo-322-133310-149584.html,www.koovs.com/chelsea-king-vertical-stripe-baseball-polo-322-133310-149584.html
