,sku,id,lineId,imageSmallUrl,originalImage,productName,brandName,price,discountPrice,discountPercent,revertPriceText,links,mainColor,masterCategoryName,subCategoryName,exclusiveToKoovs,isSkuOutOfStock,isProductOutOfStock,hasLooksAvailable,isTrending,merchantDetails,url_given,PAGE_URL_COMPLETE
0,343372,83710,92960,https://product.koovs.com/83710_7946032cd16243c3fc100bb271e38347.jpg,https://product.koovs.com/width/height/83710_7946032cd16243c3fc100bb271e38347.jpg,Lurex Plisse Wide Leg Trousers,KOOVS,1895,189,90,Price After Sale,"[{'href': '/koovs-lurex-plisse-wide-leg-trouser-83710-92960.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Trousers & Leggings'],['Trousers'],False,False,False,False,True,,/koovs-lurex-plisse-wide-leg-trouser-83710-92960.html,www.koovs.com/koovs-lurex-plisse-wide-leg-trouser-83710-92960.html
1,406482,96829,107986,https://product.koovs.com/96829_6b9fc2e8fd386c9b7531a2f1f23b6715.jpg,https://product.koovs.com/width/height/96829_6b9fc2e8fd386c9b7531a2f1f23b6715.jpg,Paper Bag Waist Wide Leg Trousers,KOOVS,1499,749,50,Price After Sale,"[{'href': '/koovs-paper-bag-wide-leg-trousers-96829-107986.html', 'rel': 'self', 'method': 'GET'}]",['Brown'],['Trousers & Leggings'],['Trousers'],False,False,False,False,False,,/koovs-paper-bag-wide-leg-trousers-96829-107986.html,www.koovs.com/koovs-paper-bag-wide-leg-trousers-96829-107986.html
2,1862053,121847,136496,https://product.koovs.com/121847_ac61400cc878c94d70d8b5fe2d7d4f94.jpg,https://product.koovs.com/width/height/121847_ac61400cc878c94d70d8b5fe2d7d4f94.jpg,Captain America Side Tape Joggers,Free Authority,1399,1399,0,Price After Sale,"[{'href': '/joggers-by-captain-america-121847-136496.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['Trousers & Leggings'],['Joggers'],False,False,False,False,False,,/joggers-by-captain-america-121847-136496.html,www.koovs.com/joggers-by-captain-america-121847-136496.html
3,1896906,129185,144756,https://product.koovs.com/129185_a54179febfa11c7671eba157e3de5cd0.jpg,https://product.koovs.com/width/height/129185_a54179febfa11c7671eba157e3de5cd0.jpg,Snoopy Print Skinny Joggers,Free Authority,1399,489,65,Price After Sale,"[{'href': '/candle-light-pe-peanuts-jogger-129185-144756.html', 'rel': 'self', 'method': 'GET'}]",['Pink'],['Trousers & Leggings'],['Joggers'],False,False,False,False,False,,/candle-light-pe-peanuts-jogger-129185-144756.html,www.koovs.com/candle-light-pe-peanuts-jogger-129185-144756.html
4,1919340,133764,150073,https://product.koovs.com/150073_7a112b1652064fe7bee715aebf3c62bf_image1_super_zoom.jpg,https://product.koovs.com/width/height/150073_7a112b1652064fe7bee715aebf3c62bf_image1_super_zoom.jpg,Belted Waist Cropped Trousers,Blue Saint,1599,1599,0,Price After Sale,"[{'href': '/kandic-e-133764-150073.html', 'rel': 'self', 'method': 'GET'}]",['Red'],['Trousers & Leggings'],['Trousers'],False,False,False,False,False,,/kandic-e-133764-150073.html,www.koovs.com/kandic-e-133764-150073.html
5,1906003,131103,146938,https://product.koovs.com/131103_dabc3c764958d52a1706d2141c5913be.jpg,https://product.koovs.com/width/height/131103_dabc3c764958d52a1706d2141c5913be.jpg,Oriental Floral Print Cropped Leggings,Shivan & Narresh X KOOVS,1999,399,80,Price After Sale,"[{'href': '/koovs-shivan-and-narresh-x-koovs-glitter-leggings-131103-146938.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Trousers & Leggings'],['Leggings'],True,False,False,False,False,Koovs Exclusive,/koovs-shivan-and-narresh-x-koovs-glitter-leggings-131103-146938.html,www.koovs.com/koovs-shivan-and-narresh-x-koovs-glitter-leggings-131103-146938.html
6,1897952,129393,144986,https://product.koovs.com/129393_ecf4c846164f4cad2371c5c33cdfccbe.jpg,https://product.koovs.com/width/height/129393_ecf4c846164f4cad2371c5c33cdfccbe.jpg,KOOVS Basic High-Waist Denim Joggers,K Denim,1499,1499,0,Price After Sale,"[{'href': '/k-denim-denim-jogger-129393-144986.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Trousers & Leggings'],['Joggers'],False,False,False,False,False,,/k-denim-denim-jogger-129393-144986.html,www.koovs.com/k-denim-denim-jogger-129393-144986.html
7,1823553,114097,127558,https://product.koovs.com/114097_1f573edf2008f788d3ffd63241d6476f.jpg,https://product.koovs.com/width/height/114097_1f573edf2008f788d3ffd63241d6476f.jpg,Bardot Striped Co-ord Set,Moguland,3499,3499,0,Price After Sale,"[{'href': '/moguland-apricot-bardot-stripe-co-ord-114097-127558.html', 'rel': 'self', 'method': 'GET'}]",['Pink'],['Trousers & Leggings'],['Trousers'],True,False,False,False,False,Koovs Exclusive,/moguland-apricot-bardot-stripe-co-ord-114097-127558.html,www.koovs.com/moguland-apricot-bardot-stripe-co-ord-114097-127558.html
8,1868976,123360,138168,https://product.koovs.com/123360_23c238067a5e192e174188aae8e0d6e1.jpg,https://product.koovs.com/width/height/123360_23c238067a5e192e174188aae8e0d6e1.jpg,Front Tie-Up Cropped Trousers,Street9,1599,1599,0,Price After Sale,"[{'href': '/velvet-satin-trouser-123360-138168.html', 'rel': 'self', 'method': 'GET'}]",['Yellow'],['Trousers & Leggings'],['Trousers'],False,False,False,False,False,,/velvet-satin-trouser-123360-138168.html,www.koovs.com/velvet-satin-trouser-123360-138168.html
9,1863692,122191,136879,https://product.koovs.com/122191_9fe541e0b132a5d5e259f4be18eea113.jpg,https://product.koovs.com/width/height/122191_9fe541e0b132a5d5e259f4be18eea113.jpg,Square Motif Lace Trousers,KOOVS,799,799,0,Price After Sale,"[{'href': '/koovs-small-floral-trousers-122191-136879.html', 'rel': 'self', 'method': 'GET'}]",['Yellow'],['Trousers & Leggings'],['Trousers'],False,False,False,False,False,,/koovs-small-floral-trousers-122191-136879.html,www.koovs.com/koovs-small-floral-trousers-122191-136879.html
