,sku,id,lineId,imageSmallUrl,originalImage,productName,brandName,price,discountPrice,discountPercent,links,mainColor,masterCategoryName,subCategoryName,exclusiveToKoovs,isSkuOutOfStock,isProductOutOfStock,hasLooksAvailable,isTrending,merchantDetails,url_given,PAGE_URL_COMPLETE
0,1920515,134000,150412,https://product.koovs.com/150412_894968353da1416f9f31e5d065aa5f88_image1_super_zoom.jpg,https://product.koovs.com/width/height/150412_894968353da1416f9f31e5d065aa5f88_image1_super_zoom.jpg,Classic NYC Contrast Panel Sweatshirt,KOOVS,1499,299,80,"[{'href': '/koovs-classic-nyc-sweatshirt-134000-150412.html', 'rel': 'self', 'method': 'GET'}]",['Yellow'],['Tops'],['Sweatshirts'],False,False,False,False,True,,/koovs-classic-nyc-sweatshirt-134000-150412.html,www.koovs.com/koovs-classic-nyc-sweatshirt-134000-150412.html
1,1920490,133995,150407,https://product.koovs.com/150407_d3c3e02510614cf086f21a066a463a79_image1_super_zoom.jpg,https://product.koovs.com/width/height/150407_d3c3e02510614cf086f21a066a463a79_image1_super_zoom.jpg,Checked Badge Applique Boxy Sweatshirt,KOOVS,1899,379,80,"[{'href': '/koovs-coral-check-top-with-embroidery-badges-133995-150407.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Tops'],['Sweatshirts'],False,False,False,False,True,,/koovs-coral-check-top-with-embroidery-badges-133995-150407.html,www.koovs.com/koovs-coral-check-top-with-embroidery-badges-133995-150407.html
2,1811512,111457,124689,https://product.koovs.com/111457_01318bde13aa5406287b224d267bc873.jpg,https://product.koovs.com/width/height/111457_01318bde13aa5406287b224d267bc873.jpg,Contrast Border Crop Top,KOOVS,799,159,80,"[{'href': '/color-block-crop-top-111457-124689.html', 'rel': 'self', 'method': 'GET'}]",['Green'],['Tops'],['Crop Tops'],False,False,False,False,False,,/color-block-crop-top-111457-124689.html,www.koovs.com/color-block-crop-top-111457-124689.html
3,1919135,133725,150032,https://product.koovs.com/150032_1737bfe9fc37454ba7143e28a0640b87_image1_super_zoom.jpg,https://product.koovs.com/width/height/150032_1737bfe9fc37454ba7143e28a0640b87_image1_super_zoom.jpg,Heart Breaker Patch Woven Check Shirt,KOOVS,1499,299,80,"[{'href': '/koovs-heart-breaker-back-print-shirt-133725-150032.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Tops'],['Shirts'],False,False,False,False,False,,/koovs-heart-breaker-back-print-shirt-133725-150032.html,www.koovs.com/koovs-heart-breaker-back-print-shirt-133725-150032.html
4,1920505,133998,150410,https://product.koovs.com/150410_4639ca983d5f44f1b603d57636574b95_image1_super_zoom.jpg,https://product.koovs.com/width/height/150410_4639ca983d5f44f1b603d57636574b95_image1_super_zoom.jpg,Badge Applique Boxy Fit Hoodie,KOOVS,1499,600,60,"[{'href': '/koovs-solid-sweatshirt-with-badges-133998-150410.html', 'rel': 'self', 'method': 'GET'}]",['Red'],['Tops'],['Sweatshirts'],False,False,False,False,False,,/koovs-solid-sweatshirt-with-badges-133998-150410.html,www.koovs.com/koovs-solid-sweatshirt-with-badges-133998-150410.html
5,355976,86235,95946,https://product.koovs.com/86235_933225221b016d0e54557602e0fed077.jpg,https://product.koovs.com/width/height/86235_933225221b016d0e54557602e0fed077.jpg,Ruffle Front Top,KOOVS,895,179,80,"[{'href': '/koovs-ruffle-front-top-144-86235-95946.html', 'rel': 'self', 'method': 'GET'}]",['Red'],['Tops'],['Blouses'],False,False,False,False,False,,/koovs-ruffle-front-top-144-86235-95946.html,www.koovs.com/koovs-ruffle-front-top-144-86235-95946.html
7,355656,86195,95882,https://product.koovs.com/86195_70904aa228fbdd4f1ac84c31df5064c9.jpg,https://product.koovs.com/width/height/86195_70904aa228fbdd4f1ac84c31df5064c9.jpg,Elasticated Off Shoulder Top,KOOVS,895,129,86,"[{'href': '/koovs-elastic-cold-shoulder-top-86195-95882.html', 'rel': 'self', 'method': 'GET'}]",['Yellow'],['Tops'],['Bandeau Tops'],False,False,False,False,True,,/koovs-elastic-cold-shoulder-top-86195-95882.html,www.koovs.com/koovs-elastic-cold-shoulder-top-86195-95882.html
9,1894408,128633,144126,https://product.koovs.com/128633_57102f4f0138588fc42b9a30f2302c78.jpg,https://product.koovs.com/width/height/128633_57102f4f0138588fc42b9a30f2302c78.jpg,Lace Shimmer Detail Blouse,Privy League,1799,359,80,"[{'href': '/lace-relaxed-fit-blouse-128633-144126.html', 'rel': 'self', 'method': 'GET'}]",['White'],['Tops'],['Blouses'],True,False,False,False,False,Koovs Exclusive,/lace-relaxed-fit-blouse-128633-144126.html,www.koovs.com/lace-relaxed-fit-blouse-128633-144126.html
10,1894333,128612,144101,https://product.koovs.com/128612_d104dea443ee35cad16564f576a116c2.jpg,https://product.koovs.com/width/height/128612_d104dea443ee35cad16564f576a116c2.jpg,Sequinned Embellished Sleeveless Blouse,Privy League,1499,299,80,"[{'href': '/blouse-with-gold-print-detail-128612-144101.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Tops'],['Blouses'],True,False,False,False,False,Koovs Exclusive,/blouse-with-gold-print-detail-128612-144101.html,www.koovs.com/blouse-with-gold-print-detail-128612-144101.html
11,1834446,116211,130088,https://product.koovs.com/116211_395c2008b5b5192007e8e89d6c782c1f.jpg,https://product.koovs.com/width/height/116211_395c2008b5b5192007e8e89d6c782c1f.jpg,Choker Neck Top,KOOVS,1999,399,80,"[{'href': '/silver-siren-top-116211-130088.html', 'rel': 'self', 'method': 'GET'}]",['Silver'],['Tops'],['Blouses'],False,False,False,False,False,,/silver-siren-top-116211-130088.html,www.koovs.com/silver-siren-top-116211-130088.html
