,sku,id,lineId,imageSmallUrl,originalImage,productName,brandName,price,discountPrice,discountPercent,links,mainColor,masterCategoryName,subCategoryName,exclusiveToKoovs,isSkuOutOfStock,isProductOutOfStock,hasLooksAvailable,isTrending,merchantDetails,url_given,PAGE_URL_COMPLETE
0,1881396,125965,141110,https://product.koovs.com/141110_77df9bab761d4948b5d017107d751846_image1_super_zoom.jpg,https://product.koovs.com/width/height/141110_77df9bab761d4948b5d017107d751846_image1_super_zoom.jpg,Shoulder Button Knitted Bodycon Dress,KOOVS,1599,319,80,"[{'href': '/koovs-ls-rib-roll-nk-dress-125965-141110.html', 'rel': 'self', 'method': 'GET'}]",['Yellow'],['Dresses'],['Body Con Dresses'],False,False,False,False,False,,/koovs-ls-rib-roll-nk-dress-125965-141110.html,www.koovs.com/koovs-ls-rib-roll-nk-dress-125965-141110.html
1,1877838,125198,140212,https://product.koovs.com/125198_91fda770e90a82a2a75458978e93a5da.jpg,https://product.koovs.com/width/height/125198_91fda770e90a82a2a75458978e93a5da.jpg,Asymmetric Cut-Out Skater Dress,KOOVS,999,199,80,"[{'href': '/koovs-asymmetric-cut-out-dress-388-125198-140212.html', 'rel': 'self', 'method': 'GET'}]",['Red'],['Dresses'],['Skater Dresses'],False,False,False,False,False,,/koovs-asymmetric-cut-out-dress-388-125198-140212.html,www.koovs.com/koovs-asymmetric-cut-out-dress-388-125198-140212.html
2,1909201,131673,147669,https://product.koovs.com/131673_59f0448301d33682da0b6eadb6721a9b.jpg,https://product.koovs.com/width/height/131673_59f0448301d33682da0b6eadb6721a9b.jpg,Ruffle Neck Shift Dress,KOOVS,1299,259,80,"[{'href': '/koovs-shirring-shoulder-shift-dress-131673-147669.html', 'rel': 'self', 'method': 'GET'}]",['Red'],['Dresses'],['Shirt Dresses'],False,False,False,False,False,,/koovs-shirring-shoulder-shift-dress-131673-147669.html,www.koovs.com/koovs-shirring-shoulder-shift-dress-131673-147669.html
3,1877833,125197,140211,https://product.koovs.com/125197_b97c7d229ced80bab1ce1dc7d7a0c713.jpg,https://product.koovs.com/width/height/125197_b97c7d229ced80bab1ce1dc7d7a0c713.jpg,Asymmetric Cut-Out Skater Dress,KOOVS,999,199,80,"[{'href': '/koovs-asymmetric-cut-out-dress-125197-140211.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Dresses'],['Skater Dresses'],False,False,False,False,False,,/koovs-asymmetric-cut-out-dress-125197-140211.html,www.koovs.com/koovs-asymmetric-cut-out-dress-125197-140211.html
4,239453,60416,66436,https://product.koovs.com/60416_cdbb1159eb422219d6723c196f84e325.jpg,https://product.koovs.com/width/height/60416_cdbb1159eb422219d6723c196f84e325.jpg,Pleated Side-Slit Maxi Dress,KOOVS,1495,299,80,"[{'href': '/koovs-pleat-detail-v-back-maxi-dress-60416-66436.html', 'rel': 'self', 'method': 'GET'}]",['Orange'],['Dresses'],['Maxi Dresses'],False,False,False,False,False,,/koovs-pleat-detail-v-back-maxi-dress-60416-66436.html,www.koovs.com/koovs-pleat-detail-v-back-maxi-dress-60416-66436.html
5,1877340,125060,140066,https://product.koovs.com/140066_b4fa1edf18aa4ba49bd6f89f0daadf22_image1_super_zoom.jpg,https://product.koovs.com/width/height/140066_b4fa1edf18aa4ba49bd6f89f0daadf22_image1_super_zoom.jpg,Knitted Off-Shoulder Bodycon Dress,KOOVS,1499,600,60,"[{'href': '/koovs-ls-rib-off-shoulder-dress-286-125060-140066.html', 'rel': 'self', 'method': 'GET'}]",['Purple'],['Dresses'],['Body Con Dresses'],False,False,False,False,False,,/koovs-ls-rib-off-shoulder-dress-286-125060-140066.html,www.koovs.com/koovs-ls-rib-off-shoulder-dress-286-125060-140066.html
6,1877151,125025,140028,https://product.koovs.com/140028_9c4a5b71ccff456ab78c8a4e851ccf39_image1_super_zoom.jpg,https://product.koovs.com/width/height/140028_9c4a5b71ccff456ab78c8a4e851ccf39_image1_super_zoom.jpg,Halter Neck Shimmer Bodycon Dress,KOOVS,1499,299,80,"[{'href': '/koovs-sless-lurex-dress-147-125025-140028.html', 'rel': 'self', 'method': 'GET'}]",['Grey'],['Dresses'],['Body Con Dresses'],False,False,False,False,False,,/koovs-sless-lurex-dress-147-125025-140028.html,www.koovs.com/koovs-sless-lurex-dress-147-125025-140028.html
7,1916427,133103,149377,https://product.koovs.com/149377_19df5eb27ae94aa2834ca00a378cd04c_image1_super_zoom.jpg,https://product.koovs.com/width/height/149377_19df5eb27ae94aa2834ca00a378cd04c_image1_super_zoom.jpg,Sequinned Cami Midi Dress,KOOVS,3999,799,80,"[{'href': '/koovs-one-shoulder-wide-leg-sequin-jumpsuit-133103-149377.html', 'rel': 'self', 'method': 'GET'}]",['Pink'],['Dresses'],['Midi Dresses'],False,False,False,False,False,,/koovs-one-shoulder-wide-leg-sequin-jumpsuit-133103-149377.html,www.koovs.com/koovs-one-shoulder-wide-leg-sequin-jumpsuit-133103-149377.html
8,1916377,133094,149367,https://product.koovs.com/149367_f20277f4aa9546d9aa696f3217367ef9_image1_super_zoom.jpg,https://product.koovs.com/width/height/149367_f20277f4aa9546d9aa696f3217367ef9_image1_super_zoom.jpg,One Shoulder Sequin Bodycon Dress,KOOVS,2499,499,80,"[{'href': '/koovs-one-shoulder-sequin-dress-133094-149367.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Dresses'],['Body Con Dresses'],False,False,False,False,False,,/koovs-one-shoulder-sequin-dress-133094-149367.html,www.koovs.com/koovs-one-shoulder-sequin-dress-133094-149367.html
9,1914491,132734,148925,https://product.koovs.com/132734_9e3c7f4eb0675849c6955be8e215a9e8.jpg,https://product.koovs.com/width/height/132734_9e3c7f4eb0675849c6955be8e215a9e8.jpg,Zebra Stripe Print Midi Dress,KOOVS,1699,249,85,"[{'href': '/koovs-zebra-print-midi-dress-132734-148925.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Dresses'],['Midi Dresses'],False,False,False,False,False,,/koovs-zebra-print-midi-dress-132734-148925.html,www.koovs.com/koovs-zebra-print-midi-dress-132734-148925.html
10,428534,101149,112859,https://product.koovs.com/101149_bc79d3fbacde5b622b0c02f36c0c9854.jpg,https://product.koovs.com/width/height/101149_bc79d3fbacde5b622b0c02f36c0c9854.jpg,Sequin One Shoulder Tunic Dress,KOOVS,1699,1699,0,"[{'href': '/koovs-color-block-sequin-shift-dress-101149-112859.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Dresses'],['Tunic Dresses'],False,False,False,False,False,,/koovs-color-block-sequin-shift-dress-101149-112859.html,www.koovs.com/koovs-color-block-sequin-shift-dress-101149-112859.html
11,1877345,125061,140067,https://product.koovs.com/140067_9374cfe218bd46e4addc405bd91af97e_image1_super_zoom.jpg,https://product.koovs.com/width/height/140067_9374cfe218bd46e4addc405bd91af97e_image1_super_zoom.jpg,Knitted Off-Shoulder Bodycon Dress,KOOVS,1499,600,60,"[{'href': '/koovs-ls-rib-off-shoulder-dress-326-125061-140067.html', 'rel': 'self', 'method': 'GET'}]",['Green'],['Dresses'],['Body Con Dresses'],False,False,False,False,False,,/koovs-ls-rib-off-shoulder-dress-326-125061-140067.html,www.koovs.com/koovs-ls-rib-off-shoulder-dress-326-125061-140067.html
12,352630,85654,95224,https://product.koovs.com/85654_f31c58642430485ad01bc7bf5241e1e8.jpg,https://product.koovs.com/width/height/85654_f31c58642430485ad01bc7bf5241e1e8.jpg,Sweat Dress With Front Tie Up,Evah London,1499,600,60,"[{'href': '/evah-london-sweat-dress-with-front-tie-up-85654-95224.html', 'rel': 'self', 'method': 'GET'}]",['Grey'],['Dresses'],['Shift Dresses'],False,False,False,False,False,,/evah-london-sweat-dress-with-front-tie-up-85654-95224.html,www.koovs.com/evah-london-sweat-dress-with-front-tie-up-85654-95224.html
13,1885896,126943,142182,https://product.koovs.com/126943_30e1405501e49ae241dddd1878f369c8.jpg,https://product.koovs.com/width/height/126943_30e1405501e49ae241dddd1878f369c8.jpg,Tie & Dye O-Ring Bodycon Dress,KOOVS,1199,480,60,"[{'href': '/koovs-tie-dye-ring-dress-126943-142182.html', 'rel': 'self', 'method': 'GET'}]",['Green'],['Dresses'],['Body Con Dresses'],False,False,False,False,False,,/koovs-tie-dye-ring-dress-126943-142182.html,www.koovs.com/koovs-tie-dye-ring-dress-126943-142182.html
14,1870064,123642,138465,https://product.koovs.com/123642_d003087cb015c033efaa43b286e96ed4.jpg,https://product.koovs.com/width/height/123642_d003087cb015c033efaa43b286e96ed4.jpg,One Shoulder Frill Dress,KOOVS,1499,600,60,"[{'href': '/koovs-one-shoulder-frill-dress-25-123642-138465.html', 'rel': 'self', 'method': 'GET'}]",['Pink'],['Dresses'],['Shift Dresses'],False,False,False,False,False,,/koovs-one-shoulder-frill-dress-25-123642-138465.html,www.koovs.com/koovs-one-shoulder-frill-dress-25-123642-138465.html
15,1840189,117347,131392,https://product.koovs.com/117347_9f485bb12a6fdcb70d8d492f95e26b23.jpg,https://product.koovs.com/width/height/117347_9f485bb12a6fdcb70d8d492f95e26b23.jpg,Basic Skater Off-Shoulder Dress,KOOVS,1599,640,60,"[{'href': '/rini-bardot-dress-427-117347-131392.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Dresses'],['Off-shoulder & Bandeau Dresses'],False,False,False,False,False,,/rini-bardot-dress-427-117347-131392.html,www.koovs.com/rini-bardot-dress-427-117347-131392.html
16,1913663,132554,148698,https://product.koovs.com/148698_4dbb66814c754c23becf0518c8cd6a2f_image1_super_zoom.jpg,https://product.koovs.com/width/height/148698_4dbb66814c754c23becf0518c8cd6a2f_image1_super_zoom.jpg,High Neck Frill Shift Dress,KOOVS,1299,650,50,"[{'href': '/koovs-high-neck-frill-sleeve-dress-132554-148698.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Dresses'],['Shift Dresses'],False,False,False,False,False,,/koovs-high-neck-frill-sleeve-dress-132554-148698.html,www.koovs.com/koovs-high-neck-frill-sleeve-dress-132554-148698.html
17,1896432,129088,144632,https://product.koovs.com/129088_f026bb4e8a33a7c19506536f10cfef33.jpg,https://product.koovs.com/width/height/129088_f026bb4e8a33a7c19506536f10cfef33.jpg,Scarf Print Choker Neck Maxi Dress,KOOVS,1699,680,60,"[{'href': '/koovs-scarf-print-halter-dress-129088-144632.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Dresses'],['Maxi Dresses'],False,False,False,False,False,,/koovs-scarf-print-halter-dress-129088-144632.html,www.koovs.com/koovs-scarf-print-halter-dress-129088-144632.html
18,1893282,128399,143845,https://product.koovs.com/128399_8d1b2744adb1be15b60b0188ec008a28.jpg,https://product.koovs.com/width/height/128399_8d1b2744adb1be15b60b0188ec008a28.jpg,Paisley Print Asymmetric Dress,Rena Love,1499,600,60,"[{'href': '/asymmteric-printed-dress-128399-143845.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Dresses'],['Asymmetric Dresses'],True,False,False,False,False,Koovs Exclusive,/asymmteric-printed-dress-128399-143845.html,www.koovs.com/asymmteric-printed-dress-128399-143845.html
19,1882946,126250,141433,https://product.koovs.com/141433_24b49ce6b03a498f98d39aa67b825f56_image1_super_zoom.jpg,https://product.koovs.com/width/height/141433_24b49ce6b03a498f98d39aa67b825f56_image1_super_zoom.jpg,One Shoulder Bodycon Dress,KOOVS,1299,520,60,"[{'href': '/koovs-cut-out-one-shoulder-dress-126250-141433.html', 'rel': 'self', 'method': 'GET'}]",['Pink'],['Dresses'],['Body Con Dresses'],False,False,False,False,False,,/koovs-cut-out-one-shoulder-dress-126250-141433.html,www.koovs.com/koovs-cut-out-one-shoulder-dress-126250-141433.html
20,1877350,125062,140068,https://product.koovs.com/140068_7c51c75ab480411baa069a89fdbb8bd3_image1_super_zoom.jpg,https://product.koovs.com/width/height/140068_7c51c75ab480411baa069a89fdbb8bd3_image1_super_zoom.jpg,Off-Shoulder Knitted Bodycon Dress,KOOVS,1499,299,80,"[{'href': '/koovs-ls-rib-off-shoulder-dress-381-125062-140068.html', 'rel': 'self', 'method': 'GET'}]",['Brown'],['Dresses'],['Body Con Dresses'],False,False,False,False,False,,/koovs-ls-rib-off-shoulder-dress-381-125062-140068.html,www.koovs.com/koovs-ls-rib-off-shoulder-dress-381-125062-140068.html
21,1877146,125024,140027,https://product.koovs.com/140027_f2f12e5fd9894ca39299ac24222cdc6c_image1_super_zoom.jpg,https://product.koovs.com/width/height/140027_f2f12e5fd9894ca39299ac24222cdc6c_image1_super_zoom.jpg,Halter Neck Shimmer Bodycon Dress,KOOVS,1499,600,60,"[{'href': '/koovs-sless-lurex-dress-125024-140027.html', 'rel': 'self', 'method': 'GET'}]",['Brown'],['Dresses'],['Body Con Dresses'],False,False,False,False,False,,/koovs-sless-lurex-dress-125024-140027.html,www.koovs.com/koovs-sless-lurex-dress-125024-140027.html
22,1875684,124761,139713,https://product.koovs.com/124761_6efb8af4b37a8e337959652b2146efde.jpg,https://product.koovs.com/width/height/124761_6efb8af4b37a8e337959652b2146efde.jpg,PU Leather Bandeau Dress,Lasula,2999,1200,60,"[{'href': '/zaramcdermott-charli-black-vinyl-bandeau-dress-124761-139713.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Dresses'],['Off-shoulder & Bandeau Dresses'],False,False,False,False,False,,/zaramcdermott-charli-black-vinyl-bandeau-dress-124761-139713.html,www.koovs.com/zaramcdermott-charli-black-vinyl-bandeau-dress-124761-139713.html
23,1811406,111437,124668,https://product.koovs.com/111437_96285d9e3080ed66a0616143535bf9a6.jpg,https://product.koovs.com/width/height/111437_96285d9e3080ed66a0616143535bf9a6.jpg,Ruffle Back Cutout Shift Dress,KOOVS,1599,640,60,"[{'href': '/ruffle-trim-midi-dress-150-111437-124668.html', 'rel': 'self', 'method': 'GET'}]",['Red'],['Dresses'],['Shift Dresses'],False,False,False,False,False,,/ruffle-trim-midi-dress-150-111437-124668.html,www.koovs.com/ruffle-trim-midi-dress-150-111437-124668.html
24,1798556,108922,121654,https://product.koovs.com/108922_3677f5525a80aebc8dfa8f7cc537af88.jpg,https://product.koovs.com/width/height/108922_3677f5525a80aebc8dfa8f7cc537af88.jpg,Floral Asymmetric Maxi Dress,KOOVS,1999,800,60,"[{'href': '/koovs-damsel-dress-108922-121654.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Dresses'],['Maxi Dresses'],False,False,False,False,False,,/koovs-damsel-dress-108922-121654.html,www.koovs.com/koovs-damsel-dress-108922-121654.html
25,427623,100974,112675,https://product.koovs.com/100974_c3830db4f16a412a776d15fa7b41128d.jpg,https://product.koovs.com/width/height/100974_c3830db4f16a412a776d15fa7b41128d.jpg,Flute Sleeve Lace Overlay Dress,KOOVS,2199,880,60,"[{'href': '/koovs-lace-overlay-fluted-sleeve-shift-dress-91-100974-112675.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Dresses'],['Shift Dresses'],False,False,False,False,False,,/koovs-lace-overlay-fluted-sleeve-shift-dress-91-100974-112675.html,www.koovs.com/koovs-lace-overlay-fluted-sleeve-shift-dress-91-100974-112675.html
26,1916387,133096,149369,https://product.koovs.com/149369_b3325ed625264449991684c165ba44d8_image1_super_zoom.jpg,https://product.koovs.com/width/height/149369_b3325ed625264449991684c165ba44d8_image1_super_zoom.jpg,Rainbow Sequin Backless Bodycon Dress,KOOVS,2499,499,80,"[{'href': '/koovs-open-back-rainbow-sequin-dress-133096-149369.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Dresses'],['Body Con Dresses'],False,False,False,False,False,,/koovs-open-back-rainbow-sequin-dress-133096-149369.html,www.koovs.com/koovs-open-back-rainbow-sequin-dress-133096-149369.html
