,landingPageUrl,loyaltyPointsEnabled,adId,isPLA,productId,product,productName,rating,ratingCount,isFastFashion,futureDiscountedPrice,futureDiscountStartDate,discount,brand,searchImage,effectiveDiscountPercentageAfterTax,effectiveDiscountAmountAfterTax,buyButtonWinnerSkuId,buyButtonWinnerSellerPartnerId,relatedStylesCount,relatedStylesType,productVideos,inventoryInfo,sizes,images,gender,primaryColour,discountLabel,discountDisplayLabel,additionalInfo,category,mrp,price,advanceOrderTag,colorVariantAvailable,productimagetag,listViews,discountType,tdBxGyText,catalogDate,season,year,isPersonalised,eorsPicksTag,personalizedCoupon,personalizedCouponValue,productMeta,systemAttributes,PAGE_URL_COMPLETE
0,Shirts/ColorPlus/ColorPlus-Men-Beige--Black-Slim-Fit-Checked-Casual-Shirt/1771333/buy,False,,False,1771333,ColorPlus Men Beige & Black Slim Fit Checked Casual Shirt,ColorPlus Men Beige & Black Slim Fit Checked Casual Shirt,0,0,False,0,,0,ColorPlus,http://assets.myntassets.com/assets/images/1771333/2017/5/31/11496210038051-ColorPlus-Men-Shirts-2291496210037858-1.jpg,0,0,12947372,4216,0,,[],"[{'skuId': 12947372, 'label': '39', 'inventory': 1, 'available': True}, {'skuId': 12947373, 'label': '40', 'inventory': 0, 'available': False}, {'skuId': 12947375, 'label': '42', 'inventory': 0, 'available': False}, {'skuId': 12947374, 'label': '44', 'inventory': 0, 'available': False}, {'skuId': 12947376, 'label': '46', 'inventory': 1, 'available': True}]","39,46","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/1771333/2017/5/31/11496210038051-ColorPlus-Men-Shirts-2291496210037858-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/1771333/2017/5/31/11496210038051-ColorPlus-Men-Shirts-2291496210037858-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/1771333/2017/5/31/11496210037987-ColorPlus-Men-Shirts-2291496210037858-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/1771333/2017/5/31/11496210038023-ColorPlus-Men-Shirts-2291496210037858-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/1771333/2017/5/31/11496210038001-ColorPlus-Men-Shirts-2291496210037858-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/1771333/2017/5/31/11496210038036-ColorPlus-Men-Shirts-2291496210037858-2.jpg'}]",Men,Beige,,,Men Slim Fit Casual Shirt,Shirts,2099,2099,,False,,0,,,1595462400000,Spring,2017,False,,,0,,[],www.myntra.com/Shirts/ColorPlus/ColorPlus-Men-Beige--Black-Slim-Fit-Checked-Casual-Shirt/1771333/buy
1,Shirts/ColorPlus/ColorPlus-Men-Maroon-Regular-Fit-Printed-Casual-Shirt/2432188/buy,False,,False,2432188,ColorPlus Men Maroon Regular Fit Printed Casual Shirt,ColorPlus Men Maroon Regular Fit Printed Casual Shirt,0,0,False,0,,0,ColorPlus,http://assets.myntassets.com/assets/images/2432188/2018/3/31/11522491245826-ColorPlus-Men-Shirts-9021522491245667-1.jpg,0,0,15461229,4216,0,,[],"[{'skuId': 15461232, 'label': '36', 'inventory': 0, 'available': False}, {'skuId': 15461230, 'label': '39', 'inventory': 0, 'available': False}, {'skuId': 15461229, 'label': '40', 'inventory': 0, 'available': False}, {'skuId': 15461228, 'label': '42', 'inventory': 1, 'available': True}, {'skuId': 15461231, 'label': '44', 'inventory': 0, 'available': False}, {'skuId': 15461233, 'label': '46', 'inventory': 0, 'available': False}]",42,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/2432188/2018/3/31/11522491245826-ColorPlus-Men-Shirts-9021522491245667-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/2432188/2018/3/31/11522491245826-ColorPlus-Men-Shirts-9021522491245667-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/2432188/2018/3/31/11522491245747-ColorPlus-Men-Shirts-9021522491245667-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/2432188/2018/3/31/11522491245787-ColorPlus-Men-Shirts-9021522491245667-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/2432188/2018/3/31/11522491245766-ColorPlus-Men-Shirts-9021522491245667-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/2432188/2018/3/31/11522491245806-ColorPlus-Men-Shirts-9021522491245667-2.jpg'}]",Men,Maroon,,,Men Regular Fit Casual Shirt,Shirts,2699,2699,,False,,0,,,1595462400000,Summer,2018,False,,,0,,[],www.myntra.com/Shirts/ColorPlus/ColorPlus-Men-Maroon-Regular-Fit-Printed-Casual-Shirt/2432188/buy
2,Shirts/John-Players/John-Players-Men-Blue-Trim-Fit-Geometric-Printed-Casual-Shirt/12016362/buy,False,,False,12016362,John Players Men Blue Trim Fit Geometric Printed Casual Shirt,John Players Men Blue Trim Fit Geometric Printed Casual Shirt,0,0,False,0,,560,John Players,http://assets.myntassets.com/assets/images/12016362/2020/7/16/318dd5c2-a9a5-4640-80c3-cb7e3f8017a61594889613443-John-Players-Men-Shirts-2071594889610605-1.jpg,0,0,41844102,4028,0,,[],"[{'skuId': 41844098, 'label': '39', 'inventory': 4, 'available': True}, {'skuId': 41844100, 'label': '40', 'inventory': 2, 'available': True}, {'skuId': 41844102, 'label': '42', 'inventory': 3, 'available': True}, {'skuId': 41844104, 'label': '44', 'inventory': 2, 'available': True}, {'skuId': 41844106, 'label': '46', 'inventory': 0, 'available': False}]","39,40,42,44","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12016362/2020/7/16/318dd5c2-a9a5-4640-80c3-cb7e3f8017a61594889613443-John-Players-Men-Shirts-2071594889610605-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12016362/2020/7/16/318dd5c2-a9a5-4640-80c3-cb7e3f8017a61594889613443-John-Players-Men-Shirts-2071594889610605-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/12016362/2020/7/16/6a1862b6-782c-49e7-9894-a3534a43c07a1594889613154-John-Players-Men-Shirts-2071594889610605-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12016362/2020/7/16/15db75e0-cd91-45c6-adea-3335f694bcfe1594889613226-John-Players-Men-Shirts-2071594889610605-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12016362/2020/7/16/7b2d6fd4-1702-46c3-8066-b23fc74e9b8d1594889613330-John-Players-Men-Shirts-2071594889610605-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12016362/2020/7/16/3ed648ff-fdbe-4522-be96-50a4a416facd1594889613382-John-Players-Men-Shirts-2071594889610605-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12016362/2020/7/16/b546005a-55c7-4273-82d8-0b27e1f26af51594889613280-John-Players-Men-Shirts-2071594889610605-4.jpg'}]",Men,Blue,Flat_Search_Percent,(40% OFF),Trim Fit Printed Printed Shirt,Shirts,1399,839,,False,,0,1,,1594857600000,Fall,2019,False,,,0,,[],www.myntra.com/Shirts/John-Players/John-Players-Men-Blue-Trim-Fit-Geometric-Printed-Casual-Shirt/12016362/buy
3,Shirts/Pepe-Jeans/Pepe-Jeans-Men-White-Regular-Fit-Solid-Casual-Shirt/11247856/buy,False,,False,11247856,Pepe Jeans Men White Regular Fit Solid Casual Shirt,Pepe Jeans Men White Regular Fit Solid Casual Shirt,0,0,False,0,,0,Pepe Jeans,http://assets.myntassets.com/assets/images/11247856/2020/7/20/55ae93e2-0193-4ad7-9a99-c7b87bac9c8a1595252299542-Pepe-Jeans-Men-Black-Regular-Fit-Solid-Casual-Shirt-21615952-1.jpg,0,0,38906918,6020,0,,[],"[{'skuId': 38906918, 'label': '34', 'inventory': 2, 'available': True}, {'skuId': 38906916, 'label': '36', 'inventory': 6, 'available': True}, {'skuId': 38906914, 'label': '38', 'inventory': 8, 'available': True}, {'skuId': 38906920, 'label': '40', 'inventory': 4, 'available': True}, {'skuId': 38906922, 'label': '42', 'inventory': 4, 'available': True}, {'skuId': 38906912, 'label': '44', 'inventory': 0, 'available': False}]","34,36,38,40,42","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11247856/2020/7/20/55ae93e2-0193-4ad7-9a99-c7b87bac9c8a1595252299542-Pepe-Jeans-Men-Black-Regular-Fit-Solid-Casual-Shirt-21615952-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11247856/2020/7/20/55ae93e2-0193-4ad7-9a99-c7b87bac9c8a1595252299542-Pepe-Jeans-Men-Black-Regular-Fit-Solid-Casual-Shirt-21615952-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11247856/2020/7/20/852207cc-3528-4015-9c68-6b09486817191595252299275-Pepe-Jeans-Men-Black-Regular-Fit-Solid-Casual-Shirt-21615952-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11247856/2020/7/20/da48a337-d13b-4f74-8b6f-050095ed8de11595252299421-Pepe-Jeans-Men-Black-Regular-Fit-Solid-Casual-Shirt-21615952-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11247856/2020/7/20/831f8954-1f65-433a-af65-85a95fb263c11595252299483-Pepe-Jeans-Men-Black-Regular-Fit-Solid-Casual-Shirt-21615952-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11247856/2020/7/20/14816cb4-36bd-4aaf-989c-ec4504c04a091595252299338-Pepe-Jeans-Men-Black-Regular-Fit-Solid-Casual-Shirt-21615952-4.jpg'}]",Men,White,,,Regular Fit Casual Shirt,Shirts,1999,1999,,False,,0,,,1594857600000,Summer,2019,False,,,0,,[],www.myntra.com/Shirts/Pepe-Jeans/Pepe-Jeans-Men-White-Regular-Fit-Solid-Casual-Shirt/11247856/buy
4,Shirts/Pepe-Jeans/Pepe-Jeans-Men-White-Regular-Fit-Printed-Casual-Shirt/11247588/buy,False,,False,11247588,Pepe Jeans Men White Regular Fit Printed Casual Shirt,Pepe Jeans Men White Regular Fit Printed Casual Shirt,0,0,False,0,,660,Pepe Jeans,http://assets.myntassets.com/assets/images/11247588/2020/7/20/18de2672-f2a2-412c-965d-f6f003f8f6e61595246117776-Pepe-Jeans-Men-Shirts-6681595246115645-1.jpg,0,0,38905310,6020,0,,[],"[{'skuId': 38905310, 'label': '34', 'inventory': 4, 'available': True}, {'skuId': 38905308, 'label': '36', 'inventory': 7, 'available': True}, {'skuId': 38905306, 'label': '38', 'inventory': 8, 'available': True}, {'skuId': 38905312, 'label': '40', 'inventory': 4, 'available': True}, {'skuId': 38905314, 'label': '42', 'inventory': 4, 'available': True}, {'skuId': 38905304, 'label': '44', 'inventory': 0, 'available': False}]","34,36,38,40,42","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11247588/2020/7/20/18de2672-f2a2-412c-965d-f6f003f8f6e61595246117776-Pepe-Jeans-Men-Shirts-6681595246115645-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11247588/2020/7/20/18de2672-f2a2-412c-965d-f6f003f8f6e61595246117776-Pepe-Jeans-Men-Shirts-6681595246115645-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11247588/2020/7/20/b0b64bd1-2899-4bea-bdbf-9ea127545dda1595246117524-Pepe-Jeans-Men-Shirts-6681595246115645-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11247588/2020/7/20/a1d145b4-7426-4b15-ab4c-d0a8d62144a61595246117652-Pepe-Jeans-Men-Shirts-6681595246115645-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11247588/2020/7/20/837a34bb-94c1-40ea-a416-ff8a70d026731595246117591-Pepe-Jeans-Men-Shirts-6681595246115645-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11247588/2020/7/20/59d8b3eb-2144-43e9-85bb-63d49b7a50331595246117721-Pepe-Jeans-Men-Shirts-6681595246115645-2.jpg'}]",Men,White,Flat_Search_Percent,(30% OFF),Regular Fit Casual Shirt,Shirts,2199,1539,,False,,0,1,,1594857600000,Summer,2019,False,,,0,,[],www.myntra.com/Shirts/Pepe-Jeans/Pepe-Jeans-Men-White-Regular-Fit-Printed-Casual-Shirt/11247588/buy
5,Shirts/Roadster/Roadster-Men-Olive-Green-Slim-Fit-Solid-Casual-Shirt/11326284/buy,False,,False,11326284,Roadster Men Olive Green Slim Fit Solid Casual Shirt,Roadster Men Olive Green Slim Fit Solid Casual Shirt,0,0,False,0,,520,Roadster,http://assets.myntassets.com/assets/images/11326284/2020/7/17/bfc933d7-e4c5-45f8-be6a-0f37202a31f21594977886031-Roadster-Men-Shirts-4661594977883975-1.jpg,0,0,39248416,4118,0,,[],"[{'skuId': 39248414, 'label': '38', 'inventory': 26, 'available': True}, {'skuId': 39248416, 'label': '40', 'inventory': 41, 'available': True}, {'skuId': 39248418, 'label': '42', 'inventory': 26, 'available': True}, {'skuId': 39248420, 'label': '44', 'inventory': 14, 'available': True}]","38,40,42,44","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11326284/2020/7/17/bfc933d7-e4c5-45f8-be6a-0f37202a31f21594977886031-Roadster-Men-Shirts-4661594977883975-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11326284/2020/7/17/bfc933d7-e4c5-45f8-be6a-0f37202a31f21594977886031-Roadster-Men-Shirts-4661594977883975-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/11326284/2020/7/17/1f98bd86-3442-4570-9f6d-afb2149455421594977885637-Roadster-Men-Shirts-4661594977883975-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11326284/2020/7/17/ef1d80c6-ed0f-4ea2-9bd3-182f4f137ef21594977885698-Roadster-Men-Shirts-4661594977883975-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11326284/2020/7/17/44bb13bb-eb71-4b4a-aac2-c34a2dfb47051594977885796-Roadster-Men-Shirts-4661594977883975-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11326284/2020/7/17/71fb4ae8-057a-4a2c-8b1b-2fa393fb25bb1594977885747-Roadster-Men-Shirts-4661594977883975-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11326284/2020/7/17/c513b98c-8a6b-4a39-96cf-57a2bf0cbb931594977885888-Roadster-Men-Shirts-4661594977883975-2.jpg'}]",Men,Olive,Flat_Search_Percent,(40% OFF),Solid Slim Fit Casual Shirt,Shirts,1299,779,,False,,0,1,,1594857600000,Spring,2020,False,,,0,,[],www.myntra.com/Shirts/Roadster/Roadster-Men-Olive-Green-Slim-Fit-Solid-Casual-Shirt/11326284/buy
6,Shirts/John-Players/John-Players-Men-Navy-Blue-Trim-Slim-Fit-Checked-Casual-Shirt/12016344/buy,False,,False,12016344,John Players Men Navy Blue Trim Slim Fit Checked Casual Shirt,John Players Men Navy Blue Trim Slim Fit Checked Casual Shirt,0,0,False,0,,720,John Players,http://assets.myntassets.com/assets/images/12016344/2020/7/16/e8d4e545-51f7-4aa7-bf02-4ea3625a92151594890876537-John-Players-Men-Shirts-641594890874460-1.jpg,0,0,41844024,4028,0,,[],"[{'skuId': 41844024, 'label': '39', 'inventory': 3, 'available': True}, {'skuId': 41844026, 'label': '40', 'inventory': 4, 'available': True}, {'skuId': 41844028, 'label': '42', 'inventory': 3, 'available': True}, {'skuId': 41844030, 'label': '44', 'inventory': 1, 'available': True}]","39,40,42,44","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12016344/2020/7/16/e8d4e545-51f7-4aa7-bf02-4ea3625a92151594890876537-John-Players-Men-Shirts-641594890874460-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12016344/2020/7/16/e8d4e545-51f7-4aa7-bf02-4ea3625a92151594890876537-John-Players-Men-Shirts-641594890874460-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/12016344/2020/7/16/e8f70931-ddd7-472e-9aae-8e66f463dad01594890876277-John-Players-Men-Shirts-641594890874460-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12016344/2020/7/16/b14698d8-f9c3-4f7b-8b98-a2f8f56be7f41594890876325-John-Players-Men-Shirts-641594890874460-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12016344/2020/7/16/82671b9e-1298-46cf-bfd1-15904e79da4a1594890876437-John-Players-Men-Shirts-641594890874460-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12016344/2020/7/16/34f8df9b-b7c5-4c7e-9b2b-1612ac20fcd61594890876485-John-Players-Men-Shirts-641594890874460-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12016344/2020/7/16/a9e8bf58-7990-4a74-89a7-42d823060bab1594890876375-John-Players-Men-Shirts-641594890874460-4.jpg'}]",Men,Navy Blue,Flat_Search_Percent,(40% OFF),Trim Slim Fit Checked Shirt,Shirts,1799,1079,,False,,0,1,,1594857600000,Fall,2019,False,,,0,,[],www.myntra.com/Shirts/John-Players/John-Players-Men-Navy-Blue-Trim-Slim-Fit-Checked-Casual-Shirt/12016344/buy
7,Shirts/Oxolloxo/Oxolloxo-Men-Orange-Regular-Fit-Floral-Printed-Casual-Shirt/12103292/buy,False,,False,12103292,Oxolloxo Men Orange Regular Fit Floral Printed Casual Shirt,Oxolloxo Men Orange Regular Fit Floral Printed Casual Shirt,0,0,False,0,,500,Oxolloxo,http://assets.myntassets.com/assets/images/productimage/2020/7/17/02665df6-63e2-4058-a28b-2af9df42b04f1594940924978-1.jpg,0,0,42140910,1124,0,,[],"[{'skuId': 42140910, 'label': '38', 'inventory': 16, 'available': True}, {'skuId': 42140912, 'label': '40', 'inventory': 2, 'available': True}, {'skuId': 42140914, 'label': '42', 'inventory': 13, 'available': True}, {'skuId': 42140916, 'label': '44', 'inventory': 15, 'available': True}, {'skuId': 42140918, 'label': '46', 'inventory': 4, 'available': True}]","38,40,42,44,46","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/02665df6-63e2-4058-a28b-2af9df42b04f1594940924978-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/02665df6-63e2-4058-a28b-2af9df42b04f1594940924978-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/3bbaf1f3-4594-4365-ba02-47cbd75457311594940925220-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/e768e0b8-8c21-4355-a699-ba1f7c19c4041594940925175-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/96b0dfad-cbc2-4e5c-8dbd-f03c13b57f2d1594940925083-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/b90daef5-46b9-41b0-9330-f44af365f6f61594940925029-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/830dd062-afd0-489b-8506-1ff6429f2bf21594940925129-4.jpg'}]",Men,Orange,Flat_Search_Percent,(40% OFF),Regular Fit Casual Shirt,Shirts,1249,749,,False,,0,1,,1594857600000,Summer,2020,False,,,0,,[],www.myntra.com/Shirts/Oxolloxo/Oxolloxo-Men-Orange-Regular-Fit-Floral-Printed-Casual-Shirt/12103292/buy
8,Shirts/Louis-Philippe-Sport/Louis-Philippe-Sport-Men-Blue-Super-Slim-Fit-Checked-Casual-Shirt/11267404/buy,False,,False,11267404,Louis Philippe Sport Men Blue Super Slim Fit Checked Casual Shirt,Louis Philippe Sport Men Blue Super Slim Fit Checked Casual Shirt,0,0,False,0,,875,Louis Philippe Sport,http://assets.myntassets.com/assets/images/11267404/2020/7/16/db8ece87-c715-441f-8c43-14fb9a37876f1594873558996-Louis-Philippe-Sport-Men-Shirts-2871594873556536-1.jpg,0,0,38993750,4118,0,,[],"[{'skuId': 38993752, 'label': '39', 'inventory': 5, 'available': True}, {'skuId': 38993754, 'label': '40', 'inventory': 3, 'available': True}, {'skuId': 38993750, 'label': '42', 'inventory': 7, 'available': True}]","39,40,42","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11267404/2020/7/16/db8ece87-c715-441f-8c43-14fb9a37876f1594873558996-Louis-Philippe-Sport-Men-Shirts-2871594873556536-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11267404/2020/7/16/db8ece87-c715-441f-8c43-14fb9a37876f1594873558996-Louis-Philippe-Sport-Men-Shirts-2871594873556536-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/11267404/2020/7/16/0e82424e-0800-4bdf-9bd0-c9986b984a341594873558696-Louis-Philippe-Sport-Men-Shirts-2871594873556536-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11267404/2020/7/16/0a3a69d3-549a-4db2-a649-a51a4a0e64eb1594873558759-Louis-Philippe-Sport-Men-Shirts-2871594873556536-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11267404/2020/7/16/6aec41f1-0752-4286-9a3e-29d5ddea5e051594873558889-Louis-Philippe-Sport-Men-Shirts-2871594873556536-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11267404/2020/7/16/d53fc421-68bf-4bc4-839e-c0b0ede277181594873558827-Louis-Philippe-Sport-Men-Shirts-2871594873556536-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11267404/2020/7/16/17a49a44-fb3a-4b23-911b-c141762480e41594873558942-Louis-Philippe-Sport-Men-Shirts-2871594873556536-2.jpg'}]",Men,Blue,Flat_Search_Percent,(35% OFF),Slim Fit Casual Shirt,Shirts,2499,1624,,False,,0,1,,1594857600000,Winter,2019,False,,,0,,[],www.myntra.com/Shirts/Louis-Philippe-Sport/Louis-Philippe-Sport-Men-Blue-Super-Slim-Fit-Checked-Casual-Shirt/11267404/buy
9,Shirts/Mast--Harbour/Mast--Harbour-Men-Peach-Coloured--White-Regular-Fit-Pineapple-Printed-Casual-Shirt/11952232/buy,False,,False,11952232,Mast & Harbour Men Peach-Coloured & White Regular Fit Pineapple Printed Casual Shirt,Mast & Harbour Men Peach-Coloured & White Regular Fit Pineapple Printed Casual Shirt,0,0,False,0,,0,Mast & Harbour,http://assets.myntassets.com/assets/images/11952232/2020/7/7/0a2d3bbc-fb82-4a4a-9015-44a56136d6801594119086782-Mast--Harbour-Men-Shirts-2031594119085104-1.jpg,0,0,41613130,4028,0,,[],"[{'skuId': 41613130, 'label': '38', 'inventory': 80, 'available': True}, {'skuId': 41613132, 'label': '40', 'inventory': 99, 'available': True}, {'skuId': 41613134, 'label': '42', 'inventory': 81, 'available': True}, {'skuId': 41613136, 'label': '44', 'inventory': 20, 'available': True}]","38,40,42,44","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11952232/2020/7/7/0a2d3bbc-fb82-4a4a-9015-44a56136d6801594119086782-Mast--Harbour-Men-Shirts-2031594119085104-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11952232/2020/7/7/0a2d3bbc-fb82-4a4a-9015-44a56136d6801594119086782-Mast--Harbour-Men-Shirts-2031594119085104-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/11952232/2020/7/7/60aef517-c5e0-4812-8fc3-e94ac3ad2bc91594119086511-Mast--Harbour-Men-Shirts-2031594119085104-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11952232/2020/7/7/c2559a6b-0618-4ac4-94f8-df239b00a52a1594119086574-Mast--Harbour-Men-Shirts-2031594119085104-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11952232/2020/7/7/3cfbb51e-5aeb-485c-afdd-b2ec7e1786141594119086679-Mast--Harbour-Men-Shirts-2031594119085104-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11952232/2020/7/7/a712bfa0-8bc1-4c4d-b936-1d0b428aa7b41594119086734-Mast--Harbour-Men-Shirts-2031594119085104-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11952232/2020/7/7/f0d19b75-4792-4bb4-bc10-b3ab99315ba11594119086624-Mast--Harbour-Men-Shirts-2031594119085104-4.jpg'}]",Men,Peach,,,Regular Fit Casual Shirt,Shirts,1599,1599,,False,,0,,,1594857600000,Spring,2020,False,,,0,,[],www.myntra.com/Shirts/Mast--Harbour/Mast--Harbour-Men-Peach-Coloured--White-Regular-Fit-Pineapple-Printed-Casual-Shirt/11952232/buy
