,landingPageUrl,loyaltyPointsEnabled,adId,isPLA,productId,product,productName,rating,ratingCount,isFastFashion,futureDiscountedPrice,futureDiscountStartDate,discount,brand,searchImage,effectiveDiscountPercentageAfterTax,effectiveDiscountAmountAfterTax,buyButtonWinnerSkuId,buyButtonWinnerSellerPartnerId,relatedStylesCount,relatedStylesType,productVideos,inventoryInfo,sizes,images,gender,primaryColour,discountLabel,discountDisplayLabel,additionalInfo,category,mrp,price,advanceOrderTag,colorVariantAvailable,productimagetag,listViews,discountType,tdBxGyText,catalogDate,season,year,isPersonalised,eorsPicksTag,personalizedCoupon,personalizedCouponValue,productMeta,systemAttributes,PAGE_URL_COMPLETE
0,Shorts/t-base/t-base-Men-Blue-Solid-Slim-Fit-Chino-Shorts/12140568/buy,False,,False,12140568,t-base Men Blue Solid Slim Fit Chino Shorts,t-base Men Blue Solid Slim Fit Chino Shorts,0,0,False,0,,0,t-base,http://assets.myntassets.com/assets/images/productimage/2020/7/24/9907d981-6c62-4e1d-b057-e5460e1c94981595543511665-1.jpg,0,0,42293874.0,4030.0,0,,[],"[{'skuId': 42293874, 'label': '30', 'inventory': 19, 'available': True}, {'skuId': 42293876, 'label': '32', 'inventory': 48, 'available': True}, {'skuId': 42293878, 'label': '34', 'inventory': 62, 'available': True}, {'skuId': 42293880, 'label': '36', 'inventory': 34, 'available': True}, {'skuId': 42293882, 'label': '38', 'inventory': 25, 'available': True}, {'skuId': 42293884, 'label': '40', 'inventory': 0, 'available': False}, {'skuId': 42293886, 'label': '42', 'inventory': 2, 'available': True}]","30,32,34,36,38,42","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/9907d981-6c62-4e1d-b057-e5460e1c94981595543511665-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/9907d981-6c62-4e1d-b057-e5460e1c94981595543511665-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/1444096a-7343-43e9-a4e1-3ac6a74b808a1595543511997-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/6f5c0a35-d79a-4d2f-8d86-a7826a8c18571595543511935-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/8355a8c4-7ab2-475c-a07a-d001be6f81091595543511810-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/284578a4-a8d8-4381-a30e-e3b6ce9603711595543511874-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/a32dd0d8-bbbc-4a94-9bb2-c06df1f9e2d31595543511741-2.jpg'}]",Men,Blue,,,Men Slim Fit Chino Shorts,Shorts,1499,1499,,False,,0,,,1595462400000,Fall,2020,False,,,0,,"[{'attribute': 'SA_XT_New', 'value': 'NEW'}]",www.myntra.com/Shorts/t-base/t-base-Men-Blue-Solid-Slim-Fit-Chino-Shorts/12140568/buy
1,Shorts/t-base/t-base-Men-Beige-Solid-Regular-Fit-Cargo-Shorts/12140554/buy,False,,False,12140554,t-base Men Beige Solid Regular Fit Cargo Shorts,t-base Men Beige Solid Regular Fit Cargo Shorts,0,0,False,0,,0,t-base,http://assets.myntassets.com/assets/images/productimage/2020/7/23/82acd1a5-1ff8-4eed-b85d-b3d271ceec531595482932834-1.jpg,0,0,42293772.0,4030.0,0,,[],"[{'skuId': 42293764, 'label': '30', 'inventory': 4, 'available': True}, {'skuId': 42293772, 'label': '32', 'inventory': 6, 'available': True}, {'skuId': 42293776, 'label': '34', 'inventory': 10, 'available': True}, {'skuId': 42293782, 'label': '36', 'inventory': 10, 'available': True}, {'skuId': 42293784, 'label': '38', 'inventory': 0, 'available': False}, {'skuId': 42293786, 'label': '40', 'inventory': 0, 'available': False}, {'skuId': 42293788, 'label': '42', 'inventory': 3, 'available': True}]","30,32,34,36,42","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/23/82acd1a5-1ff8-4eed-b85d-b3d271ceec531595482932834-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/23/82acd1a5-1ff8-4eed-b85d-b3d271ceec531595482932834-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/23/7f0ea8aa-4437-4fbd-887e-92ba1500c3361595482933101-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/23/4d8e5700-cd38-410c-9c87-9c5964deb98b1595482933055-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/23/0949bff1-8c06-448c-8370-8d2ab8431f7b1595482932947-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/23/e4c583eb-65cf-43d1-b6f1-5abbeb33d7ff1595482933000-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/23/75fab71c-48df-4805-bb4d-2332bb49749f1595482932891-2.jpg'}]",Men,Beige,,,Men Regular Fit Cargo Shorts,Shorts,1899,1899,,False,,0,,,1595462400000,Fall,2020,False,,,0,,"[{'attribute': 'SA_XT_New', 'value': 'NEW'}]",www.myntra.com/Shorts/t-base/t-base-Men-Beige-Solid-Regular-Fit-Cargo-Shorts/12140554/buy
2,Shorts/SG/SG-Men-Black-Solid-Regular-Fit-Sports-Shorts/12145016/buy,False,,False,12145016,SG Men Black Solid Regular Fit Sports Shorts,SG Men Black Solid Regular Fit Sports Shorts,0,0,False,0,,38,SG,http://assets.myntassets.com/assets/images/productimage/2020/7/25/0b004ebd-c158-4c3d-9541-24841c9674f11595627779291-1.jpg,0,0,42311678.0,4209.0,0,,[],"[{'skuId': 42311692, 'label': '28', 'inventory': 2, 'available': True}, {'skuId': 42311688, 'label': '30', 'inventory': 7, 'available': True}, {'skuId': 42311678, 'label': '32', 'inventory': 6, 'available': True}, {'skuId': 42311694, 'label': '34', 'inventory': 3, 'available': True}, {'skuId': 42311696, 'label': '36', 'inventory': 3, 'available': True}]","28,30,32,34,36","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/0b004ebd-c158-4c3d-9541-24841c9674f11595627779291-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/0b004ebd-c158-4c3d-9541-24841c9674f11595627779291-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/8bc3c259-6e7b-4781-9d24-a4c12e0bb6461595627779529-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/44fd9790-66d7-42db-b1db-3911a10055481595627779395-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/cc153134-c3d3-4632-ac55-e607fd616b2d1595627779343-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/25/5528e7d4-ee30-4055-abd3-b3676045240f1595627779463-4.jpg'}]",Men,Black,Flat_Search_Percent,(5% OFF),Men Regular Fit Sports Shorts,Shorts,749,711,,False,,0,1,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Shorts/SG/SG-Men-Black-Solid-Regular-Fit-Sports-Shorts/12145016/buy
3,Shorts/t-base/t-base-Men-Blue-Printed-Regular-Fit-Cargo-Shorts/12140570/buy,False,,False,12140570,t-base Men Blue Printed Regular Fit Cargo Shorts,t-base Men Blue Printed Regular Fit Cargo Shorts,0,0,False,0,,0,t-base,http://assets.myntassets.com/assets/images/productimage/2020/7/24/d329b6a8-6efa-4e01-90ef-cd0b7b9c39101595540270230-1.jpg,0,0,42293890.0,4030.0,0,,[],"[{'skuId': 42293888, 'label': '30', 'inventory': 5, 'available': True}, {'skuId': 42293890, 'label': '32', 'inventory': 14, 'available': True}, {'skuId': 42293892, 'label': '34', 'inventory': 29, 'available': True}, {'skuId': 42293894, 'label': '36', 'inventory': 4, 'available': True}, {'skuId': 42293896, 'label': '38', 'inventory': 5, 'available': True}, {'skuId': 42293898, 'label': '40', 'inventory': 2, 'available': True}, {'skuId': 42293900, 'label': '42', 'inventory': 3, 'available': True}]","30,32,34,36,38,40,42","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/d329b6a8-6efa-4e01-90ef-cd0b7b9c39101595540270230-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/d329b6a8-6efa-4e01-90ef-cd0b7b9c39101595540270230-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/51784fb8-97e1-46da-bd9a-fd51fd7f183c1595540270512-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/8ce921f1-b3f6-439a-a004-efbc029e8e641595540270444-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/aefa3b36-61b7-447f-874e-791b45a2f0851595540270340-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/601a4adb-bb30-4b77-bb08-e97cadd8f7fb1595540270391-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/712fd54e-aab9-46d2-b749-5a361b3b9e7c1595540270285-2.jpg'}]",Men,Blue,,,Men Regular Fit Cargo Shorts,Shorts,1999,1999,,False,,0,,,1595462400000,Fall,2020,False,,,0,,"[{'attribute': 'SA_XT_New', 'value': 'NEW'}]",www.myntra.com/Shorts/t-base/t-base-Men-Blue-Printed-Regular-Fit-Cargo-Shorts/12140570/buy
4,Shorts/t-base/t-base-Men-White-Solid-Slim-Fit-Chino-Shorts/12140558/buy,False,,False,12140558,t-base Men White Solid Slim Fit Chino Shorts,t-base Men White Solid Slim Fit Chino Shorts,0,0,False,0,,0,t-base,http://assets.myntassets.com/assets/images/productimage/2020/7/23/572849c4-5bf4-4ec1-a352-8dcb747f69e21595493845964-1.jpg,0,0,42293804.0,4030.0,0,,[],"[{'skuId': 42293804, 'label': '30', 'inventory': 16, 'available': True}, {'skuId': 42293806, 'label': '32', 'inventory': 39, 'available': True}, {'skuId': 42293810, 'label': '34', 'inventory': 57, 'available': True}, {'skuId': 42293812, 'label': '36', 'inventory': 29, 'available': True}, {'skuId': 42293814, 'label': '38', 'inventory': 13, 'available': True}, {'skuId': 42293818, 'label': '40', 'inventory': 1, 'available': True}, {'skuId': 42293824, 'label': '42', 'inventory': 1, 'available': True}]","30,32,34,36,38,40,42","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/23/572849c4-5bf4-4ec1-a352-8dcb747f69e21595493845964-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/23/572849c4-5bf4-4ec1-a352-8dcb747f69e21595493845964-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/23/77620888-6046-4ffb-8d2f-eac3561f06dd1595493846250-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/23/a1a17927-93bf-476d-8f8b-272988f2edc51595493846187-5.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/23/ed06d898-0fca-4904-b237-b42b4fb535cd1595493846039-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/23/afdce81b-38f7-4e81-99d3-5a7726c56a371595493846113-4.jpg'}]",Men,White,,,Men Slim Fit Chino Shorts,Shorts,1599,1599,,False,,0,,,1595462400000,Fall,2020,False,,,0,,"[{'attribute': 'SA_XT_New', 'value': 'NEW'}]",www.myntra.com/Shorts/t-base/t-base-Men-White-Solid-Slim-Fit-Chino-Shorts/12140558/buy
5,Shorts/t-base/t-base-Men-Grey-Solid-Slim-Fit-Chino-Shorts/12140560/buy,False,,False,12140560,t-base Men Grey Solid Slim Fit Chino Shorts,t-base Men Grey Solid Slim Fit Chino Shorts,0,0,False,0,,0,t-base,http://assets.myntassets.com/assets/images/productimage/2020/7/24/aacce346-3cb8-46ea-b8ac-77d911e5c5a01595544737031-1.jpg,0,0,42293808.0,4030.0,0,,[],"[{'skuId': 42293808, 'label': '30', 'inventory': 7, 'available': True}, {'skuId': 42293816, 'label': '32', 'inventory': 18, 'available': True}, {'skuId': 42293820, 'label': '34', 'inventory': 26, 'available': True}, {'skuId': 42293822, 'label': '36', 'inventory': 0, 'available': False}, {'skuId': 42293826, 'label': '38', 'inventory': 5, 'available': True}, {'skuId': 42293828, 'label': '40', 'inventory': 0, 'available': False}, {'skuId': 42293830, 'label': '42', 'inventory': 0, 'available': False}]","30,32,34,38","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/aacce346-3cb8-46ea-b8ac-77d911e5c5a01595544737031-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/aacce346-3cb8-46ea-b8ac-77d911e5c5a01595544737031-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/885f853f-5c3a-4ca7-9d60-d491a31af7bc1595544737395-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/ab588fdc-643f-4da1-a710-ea1365c29b461595544737335-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/ca9e8306-974b-4507-8b31-42b996cb1cc51595544737206-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/70bc82f3-4577-4087-b531-697cbf4b2e371595544737268-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/092a38e9-54a2-45e5-b1e3-ff0bb0c4d1561595544737119-2.jpg'}]",Men,Grey,,,Men Slim Fit Chino Shorts,Shorts,1299,1299,,False,,0,,,1595462400000,Fall,2020,False,,,0,,"[{'attribute': 'SA_XT_New', 'value': 'NEW'}]",www.myntra.com/Shorts/t-base/t-base-Men-Grey-Solid-Slim-Fit-Chino-Shorts/12140560/buy
6,Shorts/Blackberrys/Blackberrys-Men-Black-Solid-Slim-Fit-Cargo-Shorts/11192336/buy,False,,False,11192336,Blackberrys Men Black Solid Slim Fit Cargo Shorts,Blackberrys Men Black Solid Slim Fit Cargo Shorts,0,0,False,0,,1000,Blackberrys,http://assets.myntassets.com/assets/images/11192336/2020/7/23/759a12b9-9ac6-4796-8273-efc92e976ed01595488237215BlackberrysMenBlueSkinnyFitLow-RiseCleanLookStretchableJeans1.jpg,0,0,38677986.0,4214.0,0,,[],"[{'skuId': 41993088, 'label': '28', 'inventory': 0, 'available': False}, {'skuId': 38677984, 'label': '30', 'inventory': 0, 'available': False}, {'skuId': 38677986, 'label': '32', 'inventory': 1, 'available': True}, {'skuId': 38677988, 'label': '34', 'inventory': 0, 'available': False}, {'skuId': 38677990, 'label': '36', 'inventory': 0, 'available': False}, {'skuId': 38677992, 'label': '38', 'inventory': 0, 'available': False}]",32,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11192336/2020/7/23/759a12b9-9ac6-4796-8273-efc92e976ed01595488237215BlackberrysMenBlueSkinnyFitLow-RiseCleanLookStretchableJeans1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11192336/2020/7/23/759a12b9-9ac6-4796-8273-efc92e976ed01595488237215BlackberrysMenBlueSkinnyFitLow-RiseCleanLookStretchableJeans1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/11192336/2020/7/23/4fc1d4ae-09e2-40bc-adf2-6c173c5b57911595488237873BlackberrysMenBlueSkinnyFitLow-RiseCleanLookStretchableJeans6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11192336/2020/7/23/c5164298-5012-43f6-96de-59a2680529f31595488237755BlackberrysMenBlueSkinnyFitLow-RiseCleanLookStretchableJeans5.jpg'}, {'view': 'bottom', 'src': 'http://assets.myntassets.com/assets/images/11192336/2020/7/23/e68d5f4e-eda9-4a45-8e5e-b8e4f0f3c6881595488237993BlackberrysMenBlueSkinnyFitLow-RiseCleanLookStretchableJeans7.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11192336/2020/7/23/a197df58-a298-45cc-8e30-3e0d1832e9551595488237470BlackberrysMenBlueSkinnyFitLow-RiseCleanLookStretchableJeans3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11192336/2020/7/23/a87a06a2-1e2b-497a-92fc-40d3933e046c1595488237597BlackberrysMenBlueSkinnyFitLow-RiseCleanLookStretchableJeans4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11192336/2020/7/23/9cd87c2a-f663-4b69-8ef2-6f76aa6e60ba1595488237330BlackberrysMenBlueSkinnyFitLow-RiseCleanLookStretchableJeans2.jpg'}]",Men,Black,Flat_Search_Percent,(50% OFF),Men Slim Fit Cargo Shorts,Shorts,1999,999,,False,,0,1,,1595462400000,Spring,2019,False,,,0,,[],www.myntra.com/Shorts/Blackberrys/Blackberrys-Men-Black-Solid-Slim-Fit-Cargo-Shorts/11192336/buy
7,Shorts/t-base/t-base-Men-Blue-Solid-Slim-Fit-Chino-Shorts/12140542/buy,False,,False,12140542,t-base Men Blue Solid Slim Fit Chino Shorts,t-base Men Blue Solid Slim Fit Chino Shorts,0,0,False,0,,0,t-base,http://assets.myntassets.com/assets/images/productimage/2020/7/23/8bf7c0f4-77c3-4ab7-a03c-c4d524f53e7f1595483392529-1.jpg,0,0,42293682.0,4030.0,0,,[],"[{'skuId': 42293682, 'label': '30', 'inventory': 7, 'available': True}, {'skuId': 42293688, 'label': '32', 'inventory': 19, 'available': True}, {'skuId': 42293692, 'label': '34', 'inventory': 29, 'available': True}, {'skuId': 42293696, 'label': '36', 'inventory': 10, 'available': True}, {'skuId': 42293700, 'label': '38', 'inventory': 5, 'available': True}, {'skuId': 42293702, 'label': '40', 'inventory': 0, 'available': False}, {'skuId': 42293704, 'label': '42', 'inventory': 1, 'available': True}]","30,32,34,36,38,42","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/23/8bf7c0f4-77c3-4ab7-a03c-c4d524f53e7f1595483392529-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/23/8bf7c0f4-77c3-4ab7-a03c-c4d524f53e7f1595483392529-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/23/af7c2dee-41d8-4f5e-8935-937b0529496f1595483392795-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/23/f990e525-3ebc-4086-83bc-f3b53fc085171595483392737-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/23/4678762e-8595-4ac7-b433-2443915a13bf1595483392639-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/23/cb6a556b-e348-4df9-a732-fb48cbdfcf491595483392691-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/23/646acf23-f8ce-4d8d-9a69-20e5f902cfbf1595483392586-2.jpg'}]",Men,Blue,,,Men Slim Fit Chino Shorts,Shorts,1299,1299,,False,,0,,,1595462400000,Fall,2020,False,,,0,,"[{'attribute': 'SA_XT_New', 'value': 'NEW'}]",www.myntra.com/Shorts/t-base/t-base-Men-Blue-Solid-Slim-Fit-Chino-Shorts/12140542/buy
8,Shorts/t-base/t-base-Men-Green-Solid-Regular-Fit-Cargo-Shorts/12140582/buy,False,,False,12140582,t-base Men Green Solid Regular Fit Cargo Shorts,t-base Men Green Solid Regular Fit Cargo Shorts,0,0,False,0,,0,t-base,http://assets.myntassets.com/assets/images/productimage/2020/7/24/d1cbe0f9-3650-4b07-ae97-e8d047e003391595544778131-1.jpg,0,0,42293972.0,4030.0,0,,[],"[{'skuId': 42293972, 'label': '30', 'inventory': 5, 'available': True}, {'skuId': 42293974, 'label': '32', 'inventory': 0, 'available': False}, {'skuId': 42293976, 'label': '34', 'inventory': 0, 'available': False}, {'skuId': 42293978, 'label': '36', 'inventory': 1, 'available': True}, {'skuId': 42293980, 'label': '38', 'inventory': 0, 'available': False}, {'skuId': 42293982, 'label': '40', 'inventory': 0, 'available': False}, {'skuId': 42293984, 'label': '42', 'inventory': 0, 'available': False}]","30,36","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/d1cbe0f9-3650-4b07-ae97-e8d047e003391595544778131-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/d1cbe0f9-3650-4b07-ae97-e8d047e003391595544778131-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/56a03be7-2445-4c47-a772-65474ffc8d6f1595544778421-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/eeb0ff8e-71d5-45cb-ab60-68eb098319e61595544778349-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/2b96cc98-768c-43ee-b137-deda780738971595544778236-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/f13c30ad-f1df-4357-a80e-f9e3de8b863d1595544778189-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/24/ed2bec90-1bb7-4e63-9a11-2720bbc02efa1595544778285-4.jpg'}]",Men,Green,,,Men Regular Fit Cargo Shorts,Shorts,1699,1699,,False,,0,,,1595462400000,Fall,2020,False,,,0,,"[{'attribute': 'SA_XT_New', 'value': 'NEW'}]",www.myntra.com/Shorts/t-base/t-base-Men-Green-Solid-Regular-Fit-Cargo-Shorts/12140582/buy
9,Shorts/Blackberrys/Blackberrys-Men-Beige-Solid-Slim-Fit-Cargo-Shorts/11192332/buy,False,,False,11192332,Blackberrys Men Beige Solid Slim Fit Cargo Shorts,Blackberrys Men Beige Solid Slim Fit Cargo Shorts,0,0,False,0,,1000,Blackberrys,http://assets.myntassets.com/assets/images/11192332/2020/7/23/535f34df-7337-4a7f-be12-7c76373f38421595488269625BlackberrysMenBlueSkinnyFitLow-RiseCleanLookStretchableJeans1.jpg,0,0,38677964.0,4214.0,0,,[],"[{'skuId': 41993080, 'label': '28', 'inventory': 0, 'available': False}, {'skuId': 38677952, 'label': '30', 'inventory': 0, 'available': False}, {'skuId': 38677964, 'label': '32', 'inventory': 1, 'available': True}, {'skuId': 38677966, 'label': '34', 'inventory': 0, 'available': False}, {'skuId': 38677968, 'label': '36', 'inventory': 0, 'available': False}, {'skuId': 38677970, 'label': '38', 'inventory': 0, 'available': False}]",32,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11192332/2020/7/23/535f34df-7337-4a7f-be12-7c76373f38421595488269625BlackberrysMenBlueSkinnyFitLow-RiseCleanLookStretchableJeans1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11192332/2020/7/23/535f34df-7337-4a7f-be12-7c76373f38421595488269625BlackberrysMenBlueSkinnyFitLow-RiseCleanLookStretchableJeans1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/11192332/2020/7/23/f393429d-e988-446a-895b-a13d1498bd961595488270391BlackberrysMenBlueSkinnyFitLow-RiseCleanLookStretchableJeans6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11192332/2020/7/23/5a4b061f-bda1-4c21-84e6-52b74e18e5a81595488270264BlackberrysMenBlueSkinnyFitLow-RiseCleanLookStretchableJeans5.jpg'}, {'view': 'bottom', 'src': 'http://assets.myntassets.com/assets/images/11192332/2020/7/23/9f01eabd-1597-4e28-a009-2440cfed3cae1595488270502BlackberrysMenBlueSkinnyFitLow-RiseCleanLookStretchableJeans7.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11192332/2020/7/23/dc361243-14a0-4701-949a-1f78daf33cdf1595488269968BlackberrysMenBlueSkinnyFitLow-RiseCleanLookStretchableJeans3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11192332/2020/7/23/e4626779-0714-4915-b98d-13dc8a3d46241595488270121BlackberrysMenBlueSkinnyFitLow-RiseCleanLookStretchableJeans4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11192332/2020/7/23/43af49a2-a3b6-4f66-8daa-4ea74fab601c1595488269785BlackberrysMenBlueSkinnyFitLow-RiseCleanLookStretchableJeans2.jpg'}]",Men,Beige,Flat_Search_Percent,(50% OFF),Men Slim Fit Cargo Shorts,Shorts,1999,999,,False,,0,1,,1595462400000,Spring,2019,False,,,0,,[],www.myntra.com/Shorts/Blackberrys/Blackberrys-Men-Beige-Solid-Slim-Fit-Cargo-Shorts/11192332/buy
