,landingPageUrl,loyaltyPointsEnabled,adId,isPLA,productId,product,productName,rating,ratingCount,isFastFashion,futureDiscountedPrice,futureDiscountStartDate,discount,brand,searchImage,effectiveDiscountPercentageAfterTax,effectiveDiscountAmountAfterTax,buyButtonWinnerSkuId,buyButtonWinnerSellerPartnerId,relatedStylesCount,relatedStylesType,productVideos,inventoryInfo,sizes,images,gender,primaryColour,discountLabel,discountDisplayLabel,additionalInfo,category,mrp,price,advanceOrderTag,colorVariantAvailable,productimagetag,listViews,discountType,tdBxGyText,catalogDate,season,year,isPersonalised,eorsPicksTag,personalizedCoupon,personalizedCouponValue,productMeta,systemAttributes,PAGE_URL_COMPLETE
0,Tshirts/98-Degree-North/98-Degree-North-Men-Yellow-Solid-Polo-Collar-T-shirt/12110406/buy,False,,False,12110406,98 Degree North Men Yellow Solid Polo Collar T-shirt,98 Degree North Men Yellow Solid Polo Collar T-shirt,0,0,False,0,,1206,98 Degree North,http://assets.myntassets.com/assets/images/productimage/2020/7/18/d708247a-1242-4fc7-9f29-840eb631307a1595026042648-1.jpg,0,0,42170728,6063,0,,[],"[{'skuId': 42170726, 'label': 'S', 'inventory': 7, 'available': True}, {'skuId': 42170728, 'label': 'M', 'inventory': 25, 'available': True}, {'skuId': 42170730, 'label': 'L', 'inventory': 25, 'available': True}, {'skuId': 42170732, 'label': 'XL', 'inventory': 25, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/d708247a-1242-4fc7-9f29-840eb631307a1595026042648-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/d708247a-1242-4fc7-9f29-840eb631307a1595026042648-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/d55b5400-8afd-4db8-8945-69b92e11a1221595026042960-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/b11814dd-5122-478a-acb9-5538a340fa8e1595026042903-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/deec4e01-5494-4b8b-ad06-60b48c1dc0e71595026042776-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/8c97cd3f-af1c-4675-8668-3aacc74c1d001595026042850-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/7f16a3ac-ac73-468b-938f-206fdeb617861595026042719-2.jpg'}]",Men,Yellow,Flat_Search_Percent,(67% OFF),Solid Polo Collar T-shirt,Tshirts,1799,593,,False,,0,1,,1594857600000,Summer,2020,False,,,0,,[],www.myntra.com/Tshirts/98-Degree-North/98-Degree-North-Men-Yellow-Solid-Polo-Collar-T-shirt/12110406/buy
1,Tshirts/Roadster/Roadster-Men-Olive-Green-Fast--Furious-Printed-Round-Neck-T-shirt/11534252/buy,False,,False,11534252,Roadster Men Olive Green Fast & Furious Printed Round Neck T-shirt,Roadster Men Olive Green Fast & Furious Printed Round Neck T-shirt,0,0,False,0,,0,Roadster,http://assets.myntassets.com/assets/images/11534252/2020/7/17/0439f4be-2112-439f-a582-2523904eadc51594982516335-Roadster-Men-Tshirts-6031594982513691-1.jpg,0,0,40117532,4118,0,,[],"[{'skuId': 40117526, 'label': 'S', 'inventory': 33, 'available': True}, {'skuId': 40117528, 'label': 'M', 'inventory': 81, 'available': True}, {'skuId': 40117530, 'label': 'L', 'inventory': 73, 'available': True}, {'skuId': 40117532, 'label': 'XL', 'inventory': 47, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11534252/2020/7/17/0439f4be-2112-439f-a582-2523904eadc51594982516335-Roadster-Men-Tshirts-6031594982513691-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11534252/2020/7/17/0439f4be-2112-439f-a582-2523904eadc51594982516335-Roadster-Men-Tshirts-6031594982513691-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11534252/2020/7/17/5bceb2e0-a654-4c4b-b4d4-5d9d073bbf191594982516094-Roadster-Men-Tshirts-6031594982513691-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11534252/2020/7/17/84091021-1f03-4b67-a45e-1a21e09ddec41594982516210-Roadster-Men-Tshirts-6031594982513691-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11534252/2020/7/17/912faf56-be55-4ab4-99ff-f5b61af8a9271594982516266-Roadster-Men-Tshirts-6031594982513691-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11534252/2020/7/17/51f1012f-20fe-46cf-a470-1c8dd6383b4a1594982516154-Roadster-Men-Tshirts-6031594982513691-4.jpg'}]",Men,Olive,,,Printed Round Neck T-shirt,Tshirts,799,799,,False,,0,,,1594857600000,Spring,2020,False,,,0,,[],www.myntra.com/Tshirts/Roadster/Roadster-Men-Olive-Green-Fast--Furious-Printed-Round-Neck-T-shirt/11534252/buy
2,Tshirts/BEAT-LONDON-by-PEPE-JEANS/BEAT-LONDON-by-PEPE-JEANS-Men-Pink-Solid-Slim-Fit-Polo-Collar-T-shirt/11746392/buy,False,,False,11746392,BEAT LONDON by PEPE JEANS Men Pink Solid Slim Fit Polo Collar T-shirt,BEAT LONDON by PEPE JEANS Men Pink Solid Slim Fit Polo Collar T-shirt,0,0,False,0,,0,BEAT LONDON by PEPE JEANS,http://assets.myntassets.com/assets/images/11746392/2020/6/18/d5e787b5-a08b-49fc-90cd-303c5b9fd90a1592485999981-BEAT-LONDON-by-PEPE-JEANS-Men-Tshirts-51592485998354-1.jpg,0,0,40870188,4036,0,,[],"[{'skuId': 40870188, 'label': 'S', 'inventory': 1, 'available': True}, {'skuId': 40870190, 'label': 'M', 'inventory': 4, 'available': True}, {'skuId': 40870192, 'label': 'L', 'inventory': 3, 'available': True}, {'skuId': 40870194, 'label': 'XL', 'inventory': 1, 'available': True}, {'skuId': 40870196, 'label': 'XXL', 'inventory': 0, 'available': False}, {'skuId': 40870198, 'label': '3XL', 'inventory': 0, 'available': False}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11746392/2020/6/18/d5e787b5-a08b-49fc-90cd-303c5b9fd90a1592485999981-BEAT-LONDON-by-PEPE-JEANS-Men-Tshirts-51592485998354-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11746392/2020/6/18/d5e787b5-a08b-49fc-90cd-303c5b9fd90a1592485999981-BEAT-LONDON-by-PEPE-JEANS-Men-Tshirts-51592485998354-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11746392/2020/6/18/d6bc31de-2f47-4fd7-a455-9ccc238870c41592485999770-BEAT-LONDON-by-PEPE-JEANS-Men-Tshirts-51592485998354-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11746392/2020/6/18/dd48a0bd-aa44-4577-9e60-9a205d1dc40d1592485999876-BEAT-LONDON-by-PEPE-JEANS-Men-Tshirts-51592485998354-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11746392/2020/6/18/02bc4842-b40d-4786-bb0e-ce2124ba44761592485999831-BEAT-LONDON-by-PEPE-JEANS-Men-Tshirts-51592485998354-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11746392/2020/6/18/80f0af09-6812-4a47-9630-c6e36a8c1ddf1592485999940-BEAT-LONDON-by-PEPE-JEANS-Men-Tshirts-51592485998354-2.jpg'}]",Men,Pink,,,Solid Slim Polo Collar T-shirt,Tshirts,1049,1049,,False,,0,,,1594857600000,Summer,2019,False,,,0,,[],www.myntra.com/Tshirts/BEAT-LONDON-by-PEPE-JEANS/BEAT-LONDON-by-PEPE-JEANS-Men-Pink-Solid-Slim-Fit-Polo-Collar-T-shirt/11746392/buy
3,Tshirts/Austin-wood/Austin-wood-Men-Grey--Black-Colourblocked-Polo-Collar-T-shirt/12102902/buy,False,,False,12102902,Austin wood Men Grey & Black Colourblocked Polo Collar T-shirt,Austin wood Men Grey & Black Colourblocked Polo Collar T-shirt,0,0,False,0,,975,Austin wood,http://assets.myntassets.com/assets/images/productimage/2020/7/17/efa3ae98-5f60-4a36-89a8-5579f47415581594946610341-1.jpg,0,0,42139090,6984,0,,[],"[{'skuId': 42139082, 'label': 'S', 'inventory': 16, 'available': True}, {'skuId': 42139086, 'label': 'M', 'inventory': 39, 'available': True}, {'skuId': 42139088, 'label': 'L', 'inventory': 24, 'available': True}, {'skuId': 42139090, 'label': 'XL', 'inventory': 19, 'available': True}, {'skuId': 42139094, 'label': 'XXL', 'inventory': 36, 'available': True}, {'skuId': 42139098, 'label': '3XL', 'inventory': 30, 'available': True}]","S,M,L,XL,XXL,3XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/efa3ae98-5f60-4a36-89a8-5579f47415581594946610341-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/efa3ae98-5f60-4a36-89a8-5579f47415581594946610341-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/c1d46590-947d-45dc-a726-1b26724d8edf1594946610650-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/ae7ef241-2715-41e0-a27f-e7e1989fa5281594946610584-5.jpg'}, {'view': 'bottom', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/083e78b2-4204-477c-ab81-fb027f71258e1594946610706-7.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/34ddfb5d-39a9-47eb-8882-e68d35ad08001594946610460-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/8d03ace9-1118-4f4c-92df-13c84a0dd5e01594946610519-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/fc4b177a-a3f9-4776-813f-aea66fbcae871594946610403-2.jpg'}]",Men,Grey,Flat_Search_Percent,(65% OFF),Colourblocked Polo Collar T-shirt,Tshirts,1499,524,,False,,0,1,,1594857600000,Summer,2020,False,,,0,,[],www.myntra.com/Tshirts/Austin-wood/Austin-wood-Men-Grey--Black-Colourblocked-Polo-Collar-T-shirt/12102902/buy
4,Tshirts/98-Degree-North/98-Degree-North-Men-Yellow-Solid-Polo-Collar-T-shirt/12110364/buy,False,,False,12110364,98 Degree North Men Yellow Solid Polo Collar T-shirt,98 Degree North Men Yellow Solid Polo Collar T-shirt,0,0,False,0,,1273,98 Degree North,http://assets.myntassets.com/assets/images/productimage/2020/7/18/946c686f-30d3-499e-97f2-dc459bcb12461595027503176-1.jpg,0,0,42170574,6063,0,,[],"[{'skuId': 42170574, 'label': 'XXL', 'inventory': 9, 'available': True}, {'skuId': 42170580, 'label': '3XL', 'inventory': 6, 'available': True}, {'skuId': 42170584, 'label': '4XL', 'inventory': 5, 'available': True}]","XXL,3XL,4XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/946c686f-30d3-499e-97f2-dc459bcb12461595027503176-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/946c686f-30d3-499e-97f2-dc459bcb12461595027503176-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/c6071b70-c9ac-40b9-82ed-758bec9279a31595027503400-6.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/54073daf-2bfa-48e5-a486-075d0fa0fb291595027503292-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/2e2db730-e780-4a02-84f3-da665f29bb3f1595027503355-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/432b13a2-a718-4091-85e4-edf262b29e4d1595027503234-2.jpg'}]",Men,Yellow,Flat_Search_Percent,(67% OFF),Solid Polo Collar T-shirt,Tshirts,1899,626,,False,,0,1,,1594857600000,Summer,2020,False,,,0,,[],www.myntra.com/Tshirts/98-Degree-North/98-Degree-North-Men-Yellow-Solid-Polo-Collar-T-shirt/12110364/buy
5,Tshirts/98-Degree-North/98-Degree-North-Men-Navy-Blue-Printed-Polo-Collar-T-shirt/12110398/buy,False,,False,12110398,98 Degree North Men Navy Blue Printed Polo Collar T-shirt,98 Degree North Men Navy Blue Printed Polo Collar T-shirt,0,0,False,0,,1541,98 Degree North,http://assets.myntassets.com/assets/images/productimage/2020/7/18/a2b33d6f-d86d-4134-b96d-21ee7a97f4e01595025299131-1.jpg,0,0,42170700,6063,0,,[],"[{'skuId': 42170696, 'label': 'XXL', 'inventory': 2, 'available': True}, {'skuId': 42170698, 'label': '3XL', 'inventory': 5, 'available': True}, {'skuId': 42170700, 'label': '4XL', 'inventory': 1, 'available': True}]","XXL,3XL,4XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/a2b33d6f-d86d-4134-b96d-21ee7a97f4e01595025299131-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/a2b33d6f-d86d-4134-b96d-21ee7a97f4e01595025299131-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/44a5ab3e-30c6-4174-bf67-31d2185cfd7b1595025299390-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/62e14f1e-3626-407d-adb6-3e9691b628201595025299339-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/a3d894ae-d358-4ed1-adae-53d4e8b40efb1595025299237-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/b47925ab-b904-4ecd-beb5-dc567cb2d8d81595025299284-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/27faacfd-59a2-4ec4-be26-3054b9c6c3c11595025299190-2.jpg'}]",Men,Navy Blue,Flat_Search_Percent,(67% OFF),Printed Polo Collar T-shirt,Tshirts,2299,758,,False,,0,1,,1594857600000,Summer,2020,False,,,0,,[],www.myntra.com/Tshirts/98-Degree-North/98-Degree-North-Men-Navy-Blue-Printed-Polo-Collar-T-shirt/12110398/buy
6,Tshirts/Roadster/Roadster-Men-Black--Blue-Colourblocked-Polo-Collar-T-shirt/11533294/buy,False,,False,11533294,Roadster Men Black & Blue Colourblocked Polo Collar T-shirt,Roadster Men Black & Blue Colourblocked Polo Collar T-shirt,0,0,False,0,,0,Roadster,http://assets.myntassets.com/assets/images/11533294/2020/7/17/6ea80ecf-a8ab-4c70-a27b-e160bc9e17791594976221396-Roadster-Men-Tshirts-9231594976219844-1.jpg,0,0,40113702,4118,0,,[],"[{'skuId': 40113700, 'label': 'S', 'inventory': 46, 'available': True}, {'skuId': 40113702, 'label': 'M', 'inventory': 114, 'available': True}, {'skuId': 40113704, 'label': 'L', 'inventory': 100, 'available': True}, {'skuId': 40113706, 'label': 'XL', 'inventory': 55, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11533294/2020/7/17/6ea80ecf-a8ab-4c70-a27b-e160bc9e17791594976221396-Roadster-Men-Tshirts-9231594976219844-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11533294/2020/7/17/6ea80ecf-a8ab-4c70-a27b-e160bc9e17791594976221396-Roadster-Men-Tshirts-9231594976219844-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11533294/2020/7/17/a0a92db6-44ce-4826-ad55-285074b400d21594976221054-Roadster-Men-Tshirts-9231594976219844-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11533294/2020/7/17/e7f111ac-42de-4ea2-89ec-da15da3841871594976221227-Roadster-Men-Tshirts-9231594976219844-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11533294/2020/7/17/1aff35c4-1d7d-4f88-af8f-b6182d4e5b751594976221134-Roadster-Men-Tshirts-9231594976219844-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11533294/2020/7/17/ed078e4e-43d6-47fb-9707-7d7fa87406471594976221306-Roadster-Men-Tshirts-9231594976219844-2.jpg'}]",Men,Black,,,Colourblocked Polo Collar T-shirt,Tshirts,1199,1199,,False,,0,,,1594857600000,Spring,2020,False,,,0,,[],www.myntra.com/Tshirts/Roadster/Roadster-Men-Black--Blue-Colourblocked-Polo-Collar-T-shirt/11533294/buy
7,Tshirts/Austin-wood/Austin-wood-Men-Grey-Solid-Polo-Collar-T-shirt/12102886/buy,False,,False,12102886,Austin wood Men Grey Solid Polo Collar T-shirt,Austin wood Men Grey Solid Polo Collar T-shirt,0,0,False,0,,975,Austin wood,http://assets.myntassets.com/assets/images/productimage/2020/7/18/b3931958-d119-4060-8b90-30183ac33a5c1595021870823-1.jpg,0,0,42139002,6984,0,,[],"[{'skuId': 42138996, 'label': 'S', 'inventory': 28, 'available': True}, {'skuId': 42139000, 'label': 'M', 'inventory': 18, 'available': True}, {'skuId': 42139002, 'label': 'L', 'inventory': 17, 'available': True}, {'skuId': 42139004, 'label': 'XL', 'inventory': 6, 'available': True}, {'skuId': 42139006, 'label': 'XXL', 'inventory': 17, 'available': True}, {'skuId': 42139008, 'label': '3XL', 'inventory': 25, 'available': True}]","S,M,L,XL,XXL,3XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/b3931958-d119-4060-8b90-30183ac33a5c1595021870823-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/b3931958-d119-4060-8b90-30183ac33a5c1595021870823-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/3bab28f9-736f-4c3d-aaf0-56a6e20398f01595021871174-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/ea5ff9b8-0c5d-4a6f-bf15-c9923f1192121595021871101-5.jpg'}, {'view': 'bottom', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/34525a62-53f5-417e-9bf1-4685b136e6561595021871255-7.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/4fa74eaa-1efb-40eb-a709-acd47e0e57821595021870953-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/5b68b67e-ad07-4a28-93ce-93213bf019d81595021870889-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/5abb6f7f-5d34-423a-9e3f-65f6b01bbd6b1595021871021-4.jpg'}]",Men,Grey,Flat_Search_Percent,(65% OFF),Solid Polo Collar T-shirt,Tshirts,1499,524,,False,,0,1,,1594857600000,Summer,2020,False,,,0,,[],www.myntra.com/Tshirts/Austin-wood/Austin-wood-Men-Grey-Solid-Polo-Collar-T-shirt/12102886/buy
8,Tshirts/Roadster/Roadster-Men-Black-Solid-Round-Neck-T-shirt/12003920/buy,False,,False,12003920,Roadster Men Black Solid Round Neck T-shirt,Roadster Men Black Solid Round Neck T-shirt,0,0,False,0,,0,Roadster,http://assets.myntassets.com/assets/images/12003920/2020/7/16/b85b70c5-ef15-4885-856d-6a974cfbd4f61594867949647-Roadster-Men-Tshirts-6721594867948285-1.jpg,0,0,41794782,4118,0,,[],"[{'skuId': 41794780, 'label': 'S', 'inventory': 0, 'available': False}, {'skuId': 41794782, 'label': 'M', 'inventory': 1, 'available': True}, {'skuId': 41794784, 'label': 'L', 'inventory': 0, 'available': False}, {'skuId': 41794786, 'label': 'XL', 'inventory': 0, 'available': False}]",M,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12003920/2020/7/16/b85b70c5-ef15-4885-856d-6a974cfbd4f61594867949647-Roadster-Men-Tshirts-6721594867948285-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12003920/2020/7/16/b85b70c5-ef15-4885-856d-6a974cfbd4f61594867949647-Roadster-Men-Tshirts-6721594867948285-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12003920/2020/7/16/41d08e9c-58ab-48ab-b8c5-af65cb41f6101594867949441-Roadster-Men-Tshirts-6721594867948285-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12003920/2020/7/16/afb26bdb-4664-429c-a49a-9fe41289a7d51594867949545-Roadster-Men-Tshirts-6721594867948285-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12003920/2020/7/16/05e5ab77-4da8-4eb0-9574-cae1ee308f921594867949494-Roadster-Men-Tshirts-6721594867948285-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12003920/2020/7/16/877c5dc0-6877-462f-b62a-b0c90ffbaea61594867949596-Roadster-Men-Tshirts-6721594867948285-2.jpg'}]",Men,Black,,,Solid Round Neck T-shirt,Tshirts,599,599,,False,,0,,,1594857600000,Spring,2020,False,,,0,,[],www.myntra.com/Tshirts/Roadster/Roadster-Men-Black-Solid-Round-Neck-T-shirt/12003920/buy
9,Tshirts/DOOR74/DOOR74-Men-Camel-Brown-Printed-Round-Neck-T-shirt/12098356/buy,False,,False,12098356,DOOR74 Men Camel Brown Printed Round Neck T-shirt,DOOR74 Men Camel Brown Printed Round Neck T-shirt,0,0,False,0,,500,DOOR74,http://assets.myntassets.com/assets/images/productimage/2020/7/16/f7ccce4a-623b-4349-b2e8-45eaedfa0f281594881038263-1.jpg,0,0,42122622,4036,0,,[],"[{'skuId': 42122622, 'label': 'S', 'inventory': 30, 'available': True}, {'skuId': 42122624, 'label': 'M', 'inventory': 27, 'available': True}, {'skuId': 42122626, 'label': 'L', 'inventory': 24, 'available': True}, {'skuId': 42122628, 'label': 'XL', 'inventory': 27, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/16/f7ccce4a-623b-4349-b2e8-45eaedfa0f281594881038263-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/16/f7ccce4a-623b-4349-b2e8-45eaedfa0f281594881038263-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/16/f9717c7c-4f24-4d30-9922-df71cbf1d0d31594881038481-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/16/cbc46af8-3db7-40b8-9f8b-2e4deba5c6631594881038378-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/16/cdf26359-24fd-414f-9f95-e9cc3d94f4551594881038324-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/16/fd5eeff6-3190-43e3-9efe-758f853a1d3e1594881038431-4.jpg'}]",Men,Camel Brown,Flat_Search_Percent,(50% OFF),Printed Round Neck T-shirt,Tshirts,999,499,,False,,0,1,,1594857600000,Fall,2020,False,,,0,,[],www.myntra.com/Tshirts/DOOR74/DOOR74-Men-Camel-Brown-Printed-Round-Neck-T-shirt/12098356/buy
