,landingPageUrl,loyaltyPointsEnabled,adId,isPLA,productId,product,productName,rating,ratingCount,isFastFashion,futureDiscountedPrice,futureDiscountStartDate,discount,brand,searchImage,effectiveDiscountPercentageAfterTax,effectiveDiscountAmountAfterTax,buyButtonWinnerSkuId,buyButtonWinnerSellerPartnerId,relatedStylesCount,relatedStylesType,productVideos,inventoryInfo,sizes,images,gender,primaryColour,discountLabel,discountDisplayLabel,additionalInfo,category,mrp,price,advanceOrderTag,colorVariantAvailable,productimagetag,listViews,discountType,tdBxGyText,catalogDate,season,year,isPersonalised,eorsPicksTag,personalizedCoupon,personalizedCouponValue,productMeta,systemAttributes,PAGE_URL_COMPLETE
0,Dresses/Bhama-Couture/Bhama-Couture-Women-Reddish-Pink-Checked-Fit-and-Flare-Dress/11607382/buy,False,,False,11607382,Bhama Couture Women Reddish Pink Checked Fit and Flare Dress,Bhama Couture Women Reddish Pink Checked Fit and Flare Dress,0.0,0,False,0,,1000,Bhama Couture,http://assets.myntassets.com/assets/images/11607382/2020/7/23/9ffdc667-e6ca-4870-9339-04bcda95600f1595501192363-Bhama-Couture-Women-Pink-Dress-With-Lace-Detaling-4631595501-1.jpg,0,0,40337360,1708,0,,[],"[{'skuId': 40337360, 'label': 'S', 'inventory': 7, 'available': True}, {'skuId': 40337362, 'label': 'M', 'inventory': 4, 'available': True}, {'skuId': 40337364, 'label': 'L', 'inventory': 9, 'available': True}, {'skuId': 40337366, 'label': 'XL', 'inventory': 4, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11607382/2020/7/23/9ffdc667-e6ca-4870-9339-04bcda95600f1595501192363-Bhama-Couture-Women-Pink-Dress-With-Lace-Detaling-4631595501-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11607382/2020/7/23/9ffdc667-e6ca-4870-9339-04bcda95600f1595501192363-Bhama-Couture-Women-Pink-Dress-With-Lace-Detaling-4631595501-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11607382/2020/7/23/00587d62-bc8c-45c0-b435-31cc227e3d401595501192082-Bhama-Couture-Women-Pink-Dress-With-Lace-Detaling-4631595501-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11607382/2020/7/23/b1366cbb-6cc5-45e8-b6c7-30b90abf52a31595501192226-Bhama-Couture-Women-Pink-Dress-With-Lace-Detaling-4631595501-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11607382/2020/7/23/02a91fce-5a76-4f87-823f-08757c6e3dc91595501192156-Bhama-Couture-Women-Pink-Dress-With-Lace-Detaling-4631595501-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11607382/2020/7/23/c7696c84-86d3-4d23-a9ea-98861de7533c1595501192291-Bhama-Couture-Women-Pink-Dress-With-Lace-Detaling-4631595501-2.jpg'}]",Women,Pink,Flat_Search_Percent,(50% OFF),Checked Fit and Flare Dress,Dresses,1999,999,,False,,0,1,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Dresses/Bhama-Couture/Bhama-Couture-Women-Reddish-Pink-Checked-Fit-and-Flare-Dress/11607382/buy
1,Dresses/Anouk/Anouk-Women-Off-White--Black-Checked-Gathered-Fit-and-Flare-Dress-with-Pockets/12011020/buy,False,,False,12011020,Anouk Women Off-White & Black Checked Gathered Fit and Flare Dress with Pockets,Anouk Women Off-White & Black Checked Gathered Fit and Flare Dress with Pockets,0.0,0,False,0,,680,Anouk,http://assets.myntassets.com/assets/images/12011020/2020/7/23/5ab7b4c0-c12d-4430-a925-6f7031e8daa61595490924847-Anouk-Women-Dresses-3561595490921303-1.jpg,0,0,41823472,7138,0,,[],"[{'skuId': 41823466, 'label': 'XS', 'inventory': 6, 'available': True}, {'skuId': 41823468, 'label': 'S', 'inventory': 9, 'available': True}, {'skuId': 41823470, 'label': 'M', 'inventory': 17, 'available': True}, {'skuId': 41823472, 'label': 'L', 'inventory': 9, 'available': True}, {'skuId': 41823474, 'label': 'XL', 'inventory': 9, 'available': True}, {'skuId': 41823478, 'label': 'XXL', 'inventory': 6, 'available': True}]","XS,S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12011020/2020/7/23/5ab7b4c0-c12d-4430-a925-6f7031e8daa61595490924847-Anouk-Women-Dresses-3561595490921303-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12011020/2020/7/23/5ab7b4c0-c12d-4430-a925-6f7031e8daa61595490924847-Anouk-Women-Dresses-3561595490921303-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12011020/2020/7/23/b7f65e0f-0829-448f-9b6c-7488474f61f91595490924459-Anouk-Women-Dresses-3561595490921303-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12011020/2020/7/23/7f1aee97-8dd6-48a9-8de0-f4fe048baa891595490924669-Anouk-Women-Dresses-3561595490921303-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12011020/2020/7/23/ba08c9d6-3dc8-4c2b-b087-5acb9bd5517c1595490924757-Anouk-Women-Dresses-3561595490921303-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12011020/2020/7/23/ac73c541-951f-4d2e-9984-4a2d3d5172f21595490924572-Anouk-Women-Dresses-3561595490921303-4.jpg'}]",Women,Off White,Flat_Search_Percent,(40% OFF),Checked Fit and Flare Dress,Dresses,1699,1019,,False,,0,1,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Dresses/Anouk/Anouk-Women-Off-White--Black-Checked-Gathered-Fit-and-Flare-Dress-with-Pockets/12011020/buy
2,Dresses/Anouk/Anouk-Women-Mustard-Yellow-Embroidered-Waist-Tie-up-Fit-and-Flare-Dress/11970924/buy,False,,False,11970924,Anouk Women Mustard Yellow Embroidered Waist Tie-up Fit and Flare Dress,Anouk Women Mustard Yellow Embroidered Waist Tie-up Fit and Flare Dress,0.0,0,False,0,,600,Anouk,http://assets.myntassets.com/assets/images/11970924/2020/7/13/b4b92434-13e3-4040-a468-269f8b4c5a8a1594620824872-Anouk-Women-Dresses-4281594620823531-1.jpg,0,0,41677332,7138,0,,[],"[{'skuId': 41677328, 'label': 'S', 'inventory': 28, 'available': True}, {'skuId': 41677332, 'label': 'M', 'inventory': 30, 'available': True}, {'skuId': 41677334, 'label': 'L', 'inventory': 29, 'available': True}, {'skuId': 41677336, 'label': 'XL', 'inventory': 30, 'available': True}, {'skuId': 41677340, 'label': 'XXL', 'inventory': 30, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11970924/2020/7/13/b4b92434-13e3-4040-a468-269f8b4c5a8a1594620824872-Anouk-Women-Dresses-4281594620823531-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11970924/2020/7/13/b4b92434-13e3-4040-a468-269f8b4c5a8a1594620824872-Anouk-Women-Dresses-4281594620823531-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11970924/2020/7/13/9d3a0107-b908-438f-a6f1-effc4cb933281594620824672-Anouk-Women-Dresses-4281594620823531-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11970924/2020/7/13/70885581-91da-4394-a102-5edd53798a811594620824772-Anouk-Women-Dresses-4281594620823531-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11970924/2020/7/13/f8189c1b-ea8c-4cb1-b129-87e07fbba0b81594620824718-Anouk-Women-Dresses-4281594620823531-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11970924/2020/7/13/eba1a7b6-0ed7-45d8-ab16-cdf95da228721594620824826-Anouk-Women-Dresses-4281594620823531-2.jpg'}]",Women,Mustard,Flat_Search_Percent,(40% OFF),Embroidered Fit and Flare Dress,Dresses,1499,899,,False,,0,1,,1594857600000,Summer,2020,False,,,0,,[],www.myntra.com/Dresses/Anouk/Anouk-Women-Mustard-Yellow-Embroidered-Waist-Tie-up-Fit-and-Flare-Dress/11970924/buy
3,Dresses/INDYA/INDYA-Women-Yellow--Blue-Printed-Ethnic-Maxi-Dress/12120918/buy,False,,False,12120918,INDYA Women Yellow & Blue Printed Ethnic Maxi Dress,INDYA Women Yellow & Blue Printed Ethnic Maxi Dress,0.0,0,False,0,,1300,INDYA,http://assets.myntassets.com/assets/images/productimage/2020/7/21/5c286292-a55b-40d9-9340-d7016288c8971595285107684-1.jpg,0,0,42217382,959,0,,[],"[{'skuId': 42217382, 'label': 'XS', 'inventory': 65, 'available': True}, {'skuId': 42217372, 'label': 'S', 'inventory': 115, 'available': True}, {'skuId': 42217374, 'label': 'M', 'inventory': 96, 'available': True}, {'skuId': 42217376, 'label': 'L', 'inventory': 121, 'available': True}, {'skuId': 42217378, 'label': 'XL', 'inventory': 50, 'available': True}, {'skuId': 42217380, 'label': 'XXL', 'inventory': 52, 'available': True}]","XS,S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/21/5c286292-a55b-40d9-9340-d7016288c8971595285107684-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/21/5c286292-a55b-40d9-9340-d7016288c8971595285107684-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/21/7a5b7e63-8768-48cd-88a6-388039b056051595285107871-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/21/94bb1edb-2603-4d91-86b8-66d5f110ce991595285107783-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/21/3e077ffa-4c01-4268-b9a9-cce0399d26201595285107829-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/21/fad56bdf-d867-4fba-a6b2-edf67e54b85c1595285107733-2.jpg'}]",Women,Yellow,Flat_Search_Percent,(50% OFF),Printed Ethnic Maxi Dress,Dresses,2600,1300,,False,,0,1,,1594857600000,Summer,2020,False,,,0,,[],www.myntra.com/Dresses/INDYA/INDYA-Women-Yellow--Blue-Printed-Ethnic-Maxi-Dress/12120918/buy
4,Dresses/Anouk/Anouk-Women-Blue--White-Printed-Maxi-Dress-with-Gathers/12010990/buy,False,,False,12010990,Anouk Women Blue & White Printed Maxi Dress with Gathers,Anouk Women Blue & White Printed Maxi Dress with Gathers,0.0,0,False,0,,720,Anouk,http://assets.myntassets.com/assets/images/12010990/2020/7/13/9357c60c-7f3f-4151-80b6-92faef5975021594619078293-Anouk-Women-Dresses-4621594619077463-1.jpg,0,0,41823288,7138,0,,[],"[{'skuId': 41823286, 'label': 'XS', 'inventory': 14, 'available': True}, {'skuId': 41823288, 'label': 'S', 'inventory': 29, 'available': True}, {'skuId': 41823290, 'label': 'M', 'inventory': 37, 'available': True}, {'skuId': 41823292, 'label': 'L', 'inventory': 29, 'available': True}, {'skuId': 41823294, 'label': 'XL', 'inventory': 22, 'available': True}, {'skuId': 41823296, 'label': 'XXL', 'inventory': 14, 'available': True}]","XS,S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12010990/2020/7/13/9357c60c-7f3f-4151-80b6-92faef5975021594619078293-Anouk-Women-Dresses-4621594619077463-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12010990/2020/7/13/9357c60c-7f3f-4151-80b6-92faef5975021594619078293-Anouk-Women-Dresses-4621594619077463-1.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12010990/2020/7/13/91e71f68-8201-477d-907e-a60cccead3901594619078191-Anouk-Women-Dresses-4621594619077463-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12010990/2020/7/13/f712050c-10be-42e6-bf6c-3dc9e9242e0c1594619078235-Anouk-Women-Dresses-4621594619077463-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12010990/2020/7/13/0a512fff-2a75-48cc-a036-4bcace7e14881594619078140-Anouk-Women-Dresses-4621594619077463-4.jpg'}]",Women,Blue,Flat_Search_Percent,(40% OFF),Printed Gathered Maxi Dress,Dresses,1799,1079,,False,,0,1,,1594857600000,Summer,2020,False,,,0,,[],www.myntra.com/Dresses/Anouk/Anouk-Women-Blue--White-Printed-Maxi-Dress-with-Gathers/12010990/buy
5,Dresses/Anouk/Anouk-Women-Off-White--Maroon-Printed-Fit-and-Flare-Dress/11970910/buy,False,,False,11970910,Anouk Women Off-White & Maroon Printed Fit and Flare Dress,Anouk Women Off-White & Maroon Printed Fit and Flare Dress,0.0,0,False,0,,560,Anouk,http://assets.myntassets.com/assets/images/11970910/2020/7/13/1ef2388b-9327-4b13-81e6-943c2be4d9811594620778491-Anouk-Women-Dresses-6881594620776701-1.jpg,0,0,41677260,7138,0,,[],"[{'skuId': 41677258, 'label': 'S', 'inventory': 0, 'available': False}, {'skuId': 41677260, 'label': 'M', 'inventory': 3, 'available': True}, {'skuId': 41677262, 'label': 'L', 'inventory': 4, 'available': True}, {'skuId': 41677264, 'label': 'XL', 'inventory': 6, 'available': True}, {'skuId': 41677266, 'label': 'XXL', 'inventory': 2, 'available': True}]","M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11970910/2020/7/13/1ef2388b-9327-4b13-81e6-943c2be4d9811594620778491-Anouk-Women-Dresses-6881594620776701-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11970910/2020/7/13/1ef2388b-9327-4b13-81e6-943c2be4d9811594620778491-Anouk-Women-Dresses-6881594620776701-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11970910/2020/7/13/d11016fe-9673-4c93-abca-4a4f333aeec71594620778288-Anouk-Women-Dresses-6881594620776701-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11970910/2020/7/13/5d463d63-48c8-4c00-91fa-9ac52f7727011594620778398-Anouk-Women-Dresses-6881594620776701-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11970910/2020/7/13/0b15b5e5-4978-40aa-abe5-2a613399cf061594620778442-Anouk-Women-Dresses-6881594620776701-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11970910/2020/7/13/4ceda059-59b1-45b8-b369-db44b02bfe6a1594620778346-Anouk-Women-Dresses-6881594620776701-4.jpg'}]",Women,Off White,Flat_Search_Percent,(40% OFF),Printed Fit and Flare Dress,Dresses,1399,839,,False,,0,1,,1594857600000,Summer,2020,False,,,0,,[],www.myntra.com/Dresses/Anouk/Anouk-Women-Off-White--Maroon-Printed-Fit-and-Flare-Dress/11970910/buy
6,Jumpsuit/INDYA/INDYA-Women-Green-Solid-Basic-Jumpsuit-with-Attached-Dupatta/12120916/buy,False,,False,12120916,INDYA Women Green Solid Basic Jumpsuit with Attached Dupatta,INDYA Women Green Solid Basic Jumpsuit with Attached Dupatta,0.0,0,False,0,,1450,INDYA,http://assets.myntassets.com/assets/images/productimage/2020/7/21/ba4d4402-16db-44f5-883c-4e8a31578c1e1595285853694-1.jpg,0,0,42217340,959,0,,[],"[{'skuId': 42217368, 'label': 'XS', 'inventory': 12, 'available': True}, {'skuId': 42217340, 'label': 'S', 'inventory': 36, 'available': True}, {'skuId': 42217344, 'label': 'M', 'inventory': 30, 'available': True}, {'skuId': 42217350, 'label': 'L', 'inventory': 4, 'available': True}, {'skuId': 42217356, 'label': 'XL', 'inventory': 0, 'available': False}, {'skuId': 42217366, 'label': 'XXL', 'inventory': 0, 'available': False}]","XS,S,M,L","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/21/ba4d4402-16db-44f5-883c-4e8a31578c1e1595285853694-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/21/ba4d4402-16db-44f5-883c-4e8a31578c1e1595285853694-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/21/ea8a6789-c134-40e5-8e5e-ef1ee281dc951595285853982-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/21/352ff6b4-4923-44c0-805b-c2841791e6aa1595285853927-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/21/50bfa21f-1aaf-4f7c-9f39-cb3e221706291595285853813-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/21/9c920cf5-534e-4f5b-8f51-b66933d7a2c61595285853754-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/21/c7359112-774b-4f3b-bb14-3ff1d0500d681595285853870-4.jpg'}]",Women,Green,Flat_Search_Percent,(50% OFF),Basic Jumpsuit,Jumpsuit,2900,1450,,False,,0,1,,1594857600000,Summer,2020,False,,,0,,[],www.myntra.com/Jumpsuit/INDYA/INDYA-Women-Green-Solid-Basic-Jumpsuit-with-Attached-Dupatta/12120916/buy
7,Dresses/Yuris/Yuris-Women-Red-Solid-Maxi-Dress/12103160/buy,False,,False,12103160,Yuris Women Red Solid Maxi Dress,Yuris Women Red Solid Maxi Dress,0.0,0,False,0,,1500,Yuris,http://assets.myntassets.com/assets/images/productimage/2020/7/18/4c545cba-e16a-42a6-9102-3ef5463557471595021938293-1.jpg,0,0,42140374,5939,0,,[],"[{'skuId': 42140370, 'label': 'S', 'inventory': 0, 'available': False}, {'skuId': 42140372, 'label': 'M', 'inventory': 2, 'available': True}, {'skuId': 42140374, 'label': 'L', 'inventory': 5, 'available': True}, {'skuId': 42140376, 'label': 'XL', 'inventory': 5, 'available': True}, {'skuId': 42140378, 'label': 'XXL', 'inventory': 5, 'available': True}, {'skuId': 42140380, 'label': '3XL', 'inventory': 0, 'available': False}]","M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/4c545cba-e16a-42a6-9102-3ef5463557471595021938293-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/4c545cba-e16a-42a6-9102-3ef5463557471595021938293-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/6bb31ac0-e8ad-4e09-96a9-f6fc1c1c57241595021938515-5.jpg'}, {'view': 'bottom', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/6aaf3445-9e14-4f73-84c5-9dad75e604591595021938611-7.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/d8610a2a-5bd4-49b2-b3cd-42e287250cf31595021938412-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/0d415463-92a1-4dc8-a1c4-79bd0e4ab5011595021938464-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/ca8efabe-0034-4c97-88f3-752b456e7d9c1595021938352-2.jpg'}]",Women,Red,Flat_Search_Percent,(50% OFF),Solid Maxi Dress,Dresses,2999,1499,,False,,0,1,,1594857600000,Summer,2020,False,,,0,,[],www.myntra.com/Dresses/Yuris/Yuris-Women-Red-Solid-Maxi-Dress/12103160/buy
8,Jumpsuit/Juniper/Juniper-Women-Navy-Blue--Mustard-Printed-Top-with-Palazzos/11949332/buy,False,,False,11949332,Juniper Women Navy Blue & Mustard Printed Top with Palazzos,Juniper Women Navy Blue & Mustard Printed Top with Palazzos,0.0,0,False,0,,2010,Juniper,http://assets.myntassets.com/assets/images/productimage/2020/6/14/43a1f394-c77c-4af0-83c0-62f76e5a75d11592086845276-1.jpg,0,0,41601432,6938,0,,[],"[{'skuId': 41601432, 'label': 'S', 'inventory': 11, 'available': True}, {'skuId': 41601434, 'label': 'M', 'inventory': 44, 'available': True}, {'skuId': 41601436, 'label': 'L', 'inventory': 50, 'available': True}, {'skuId': 41601438, 'label': 'XL', 'inventory': 62, 'available': True}, {'skuId': 41601440, 'label': 'XXL', 'inventory': 21, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/6/14/43a1f394-c77c-4af0-83c0-62f76e5a75d11592086845276-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/6/14/43a1f394-c77c-4af0-83c0-62f76e5a75d11592086845276-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/6/14/907f1e3c-7205-434d-8a37-390f0325c9251592086845548-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/6/14/44fd8ea7-69cf-420b-9a7f-84070c144aa51592086845492-5.jpg'}, {'view': 'bottom', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/6/14/a0b259d3-a835-4fbe-8c68-05317b8a5c771592086845600-7.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/6/14/2b61078c-93ff-43be-84d3-f4924e34e6d31592086845388-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/6/14/1769e831-96dd-4a3f-b6ef-1ae4774a08601592086845439-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/6/14/afd7aa1f-e955-4241-9bdd-d3f62d9ce3671592086845330-2.jpg'}]",Women,Navy Blue,Flat_Search_Percent,(67% OFF),Printed Top with Palazzos,Jumpsuit,2999,989,,False,,0,1,,1594857600000,Summer,2020,False,,,0,,[],www.myntra.com/Jumpsuit/Juniper/Juniper-Women-Navy-Blue--Mustard-Printed-Top-with-Palazzos/11949332/buy
9,Dresses/Taavi/Taavi-Women-Blue-Indigo-Hand-Block-Print-A-Line-Dress-with-Tie-Up-Detail--Cuffed-Sleeves/11283088/buy,False,,False,11283088,Taavi Women Blue Indigo Hand Block Print A-Line Dress with Tie-Up Detail & Cuffed Sleeves,Taavi Women Blue Indigo Hand Block Print A-Line Dress with Tie-Up Detail & Cuffed Sleeves,0.0,0,False,0,,0,Taavi,http://assets.myntassets.com/assets/images/11283088/2020/6/11/361dbe76-06fa-4fb2-84a4-bdb6ba08012b1591899351273TshirtsRoadsterWomenTshirtsRoadsterWomenTshirtsRoadsterWomen1.jpg,0,0,39065284,4036,0,,[],"[{'skuId': 39065278, 'label': 'XS', 'inventory': 27, 'available': True}, {'skuId': 39065280, 'label': 'S', 'inventory': 63, 'available': True}, {'skuId': 39065282, 'label': 'M', 'inventory': 75, 'available': True}, {'skuId': 39065284, 'label': 'L', 'inventory': 62, 'available': True}, {'skuId': 39065286, 'label': 'XL', 'inventory': 25, 'available': True}]","XS,S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11283088/2020/6/11/361dbe76-06fa-4fb2-84a4-bdb6ba08012b1591899351273TshirtsRoadsterWomenTshirtsRoadsterWomenTshirtsRoadsterWomen1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11283088/2020/6/11/361dbe76-06fa-4fb2-84a4-bdb6ba08012b1591899351273TshirtsRoadsterWomenTshirtsRoadsterWomenTshirtsRoadsterWomen1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11283088/2020/6/11/0b43a5d7-598e-4153-8e9c-4f0c332c6dfb1591899351503TshirtsRoadsterWomenTshirtsRoadsterWomenTshirtsRoadsterWomen5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11283088/2020/6/11/92784604-23d6-4fdc-bc94-3d9e779005d91591899351405TshirtsRoadsterWomenTshirtsRoadsterWomenTshirtsRoadsterWomen3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11283088/2020/6/11/58925248-ad19-42a6-bf02-04fe9bd42f4d1591899351455TshirtsRoadsterWomenTshirtsRoadsterWomenTshirtsRoadsterWomen4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11283088/2020/6/11/0870ffc9-1cbb-43fe-8221-9f47e2d9d9321591899351345TshirtsRoadsterWomenTshirtsRoadsterWomenTshirtsRoadsterWomen2.jpg'}]",Women,Blue,Flat_Search_Percent,,Indigo Hand Block Print Dress,Dresses,3099,3099,,False,,0,1024,"Or Buy 2 @MRP, get 1 Free*",1594857600000,Spring,2020,False,,,0,,[],www.myntra.com/Dresses/Taavi/Taavi-Women-Blue-Indigo-Hand-Block-Print-A-Line-Dress-with-Tie-Up-Detail--Cuffed-Sleeves/11283088/buy
