,landingPageUrl,loyaltyPointsEnabled,adId,isPLA,productId,product,productName,rating,ratingCount,isFastFashion,futureDiscountedPrice,futureDiscountStartDate,discount,brand,searchImage,effectiveDiscountPercentageAfterTax,effectiveDiscountAmountAfterTax,buyButtonWinnerSkuId,buyButtonWinnerSellerPartnerId,relatedStylesCount,relatedStylesType,productVideos,inventoryInfo,sizes,images,gender,primaryColour,discountLabel,discountDisplayLabel,additionalInfo,category,mrp,price,advanceOrderTag,colorVariantAvailable,productimagetag,listViews,discountType,tdBxGyText,catalogDate,season,year,isPersonalised,eorsPicksTag,personalizedCoupon,personalizedCouponValue,productMeta,systemAttributes,PAGE_URL_COMPLETE
0,Tops/Sangria/Sangria-Women-White--Pink-Tribal-Printed-Top/11754236/buy,False,,False,11754236,Sangria Women White & Pink Tribal Printed Top,Sangria Women White & Pink Tribal Printed Top,0.0,0,False,0,,480,Sangria,http://assets.myntassets.com/assets/images/11754236/2020/7/17/2b7d7a90-0b95-4226-9ac1-c110300092151594962466758-Sangria-Women-Tops-1791594962465407-1.jpg,0,0,40901978,4036,0,,[],"[{'skuId': 40901978, 'label': 'XS', 'inventory': 38, 'available': True}, {'skuId': 40901980, 'label': 'S', 'inventory': 49, 'available': True}, {'skuId': 40901982, 'label': 'M', 'inventory': 50, 'available': True}, {'skuId': 40901984, 'label': 'L', 'inventory': 36, 'available': True}, {'skuId': 40901986, 'label': 'XL', 'inventory': 26, 'available': True}]","XS,S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11754236/2020/7/17/2b7d7a90-0b95-4226-9ac1-c110300092151594962466758-Sangria-Women-Tops-1791594962465407-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11754236/2020/7/17/2b7d7a90-0b95-4226-9ac1-c110300092151594962466758-Sangria-Women-Tops-1791594962465407-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11754236/2020/7/17/122ceda3-5433-4fb8-b387-87f6df8663821594962466548-Sangria-Women-Tops-1791594962465407-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11754236/2020/7/17/dd08c53c-907c-4bd6-b130-1bf4cea6f30e1594962466654-Sangria-Women-Tops-1791594962465407-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11754236/2020/7/17/edd6dc3e-0c94-4cba-a7df-59c8fbc708151594962466605-Sangria-Women-Tops-1791594962465407-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11754236/2020/7/17/f5dba11a-7b10-48ec-aae4-cca1c7b20eed1594962466703-Sangria-Women-Tops-1791594962465407-2.jpg'}]",Women,White,Flat_Search_Percent,( 40 % OFF),Tribal Printed Top,Tops,1199,719,,False,,0,1024,"Or Buy 1 @MRP, get 1 Free*",1594857600000,Spring,2020,False,,,0,,[],www.myntra.com/Tops/Sangria/Sangria-Women-White--Pink-Tribal-Printed-Top/11754236/buy
1,Tops/Sangria/Sangria-Women-Navy-Blue--Cream-Coloured-Striped-Top/11754404/buy,False,,False,11754404,Sangria Women Navy Blue & Cream-Coloured Striped Top,Sangria Women Navy Blue & Cream-Coloured Striped Top,0.0,0,False,0,,480,Sangria,http://assets.myntassets.com/assets/images/11754404/2020/7/16/e86cccc6-dc3e-4087-a7e4-ae56d6e448ef1594898152404-Sangria-Women-Tops-5261594898150357-1.jpg,0,0,40902820,4036,0,,[],"[{'skuId': 40902816, 'label': 'XS', 'inventory': 38, 'available': True}, {'skuId': 40902820, 'label': 'S', 'inventory': 47, 'available': True}, {'skuId': 40902822, 'label': 'M', 'inventory': 49, 'available': True}, {'skuId': 40902824, 'label': 'L', 'inventory': 34, 'available': True}, {'skuId': 40902826, 'label': 'XL', 'inventory': 24, 'available': True}]","XS,S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11754404/2020/7/16/e86cccc6-dc3e-4087-a7e4-ae56d6e448ef1594898152404-Sangria-Women-Tops-5261594898150357-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11754404/2020/7/16/e86cccc6-dc3e-4087-a7e4-ae56d6e448ef1594898152404-Sangria-Women-Tops-5261594898150357-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11754404/2020/7/22/f8cdce1f-218e-4ad0-bc4b-cceeefe5a8e91595394612253-Sangria-Women-Navy-Blue--Cream-Coloured-Striped-Top-99159539-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11754404/2020/7/16/97d424e8-879f-4398-ad89-cb6b24481a0c1594898152280-Sangria-Women-Tops-5261594898150357-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11754404/2020/7/16/9eea0a44-f31a-4a67-8514-29dca38561191594898152214-Sangria-Women-Tops-5261594898150357-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11754404/2020/7/17/f675b2c9-57d8-4152-bedb-32e2015304081594962346194-Sangria-Women-Tops-4421594962345781-2.jpg'}]",Women,Navy Blue,Flat_Search_Percent,( 40 % OFF),Striped Top,Tops,1199,719,,False,,0,1024,"Or Buy 1 @MRP, get 1 Free*",1594857600000,Spring,2020,False,,,0,,[],www.myntra.com/Tops/Sangria/Sangria-Women-Navy-Blue--Cream-Coloured-Striped-Top/11754404/buy
2,Tops/Sangria/Sangria-Women-Charcoal-Grey--Beige-Printed-Top/11174502/buy,False,,False,11174502,Sangria Women Charcoal Grey & Beige Printed Top,Sangria Women Charcoal Grey & Beige Printed Top,0.0,0,False,0,,600,Sangria,http://assets.myntassets.com/assets/images/11174502/2020/7/16/474c891a-1589-4f43-b5c8-1e6b9a19ad6d1594898100732-Sangria-Women-Tops-1591594898098745-1.jpg,0,0,38603502,4036,0,,[],"[{'skuId': 38603492, 'label': 'XS', 'inventory': 48, 'available': True}, {'skuId': 38603498, 'label': 'S', 'inventory': 73, 'available': True}, {'skuId': 38603500, 'label': 'M', 'inventory': 70, 'available': True}, {'skuId': 38603502, 'label': 'L', 'inventory': 53, 'available': True}, {'skuId': 38603504, 'label': 'XL', 'inventory': 36, 'available': True}]","XS,S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11174502/2020/7/16/474c891a-1589-4f43-b5c8-1e6b9a19ad6d1594898100732-Sangria-Women-Tops-1591594898098745-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11174502/2020/7/16/474c891a-1589-4f43-b5c8-1e6b9a19ad6d1594898100732-Sangria-Women-Tops-1591594898098745-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11174502/2020/7/22/6c1548a5-9843-4c3f-a2a1-468adecb0fd11595394559333-Sangria-Women-Charcoal-Grey--Beige-Printed-Top-2031595394558-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11174502/2020/7/16/5f88773a-02bf-468d-815a-efb043962f331594898100597-Sangria-Women-Tops-1591594898098745-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11174502/2020/7/16/566d5c61-4af0-4fd3-899b-f0fcf130a8041594898100545-Sangria-Women-Tops-1591594898098745-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11174502/2020/7/17/29e8125a-b381-4bc3-b8f9-132c70ad36a11594962271324-Sangria-Women-Tops-3841594962270893-2.jpg'}]",Women,Charcoal,Flat_Search_Percent,( 40 % OFF),Printed Top,Tops,1499,899,,False,,0,1024,"Or Buy 1 @MRP, get 1 Free*",1594857600000,Spring,2020,False,,,0,,[],www.myntra.com/Tops/Sangria/Sangria-Women-Charcoal-Grey--Beige-Printed-Top/11174502/buy
3,Tunics/Laabha/Laabha-Women-Pink-Silk-Sequin-Embellished-Tunic/12015904/buy,False,,False,12015904,Laabha Women Pink Silk Sequin Embellished Tunic,Laabha Women Pink Silk Sequin Embellished Tunic,0.0,0,False,0,,0,Laabha,http://assets.myntassets.com/assets/images/12015904/2020/7/9/d9f01ab3-6dea-4ebf-9930-a577eb5bf9c31594283331640-Laabha-Women-Pink-Silk-Sequin-Embellished-Tunic-171159428332-1.jpg,0,0,41841972,6376,0,,[],"[{'skuId': 41841972, 'label': 'S', 'inventory': 5, 'available': True}, {'skuId': 41841974, 'label': 'M', 'inventory': 17, 'available': True}, {'skuId': 41841976, 'label': 'L', 'inventory': 16, 'available': True}, {'skuId': 41841978, 'label': 'XL', 'inventory': 17, 'available': True}, {'skuId': 41841980, 'label': 'XXL', 'inventory': 11, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12015904/2020/7/9/d9f01ab3-6dea-4ebf-9930-a577eb5bf9c31594283331640-Laabha-Women-Pink-Silk-Sequin-Embellished-Tunic-171159428332-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12015904/2020/7/9/d9f01ab3-6dea-4ebf-9930-a577eb5bf9c31594283331640-Laabha-Women-Pink-Silk-Sequin-Embellished-Tunic-171159428332-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12015904/2020/7/9/4a673285-bf68-4b34-bd83-29dd89b7ca261594283331237-Laabha-Women-Pink-Silk-Sequin-Embellished-Tunic-171159428332-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12015904/2020/7/9/125454cd-a476-42a0-8d61-f3c37da756c01594283331436-Laabha-Women-Pink-Silk-Sequin-Embellished-Tunic-171159428332-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12015904/2020/7/9/85c71116-f84f-4184-8568-14486866b5cd1594283331332-Laabha-Women-Pink-Silk-Sequin-Embellished-Tunic-171159428332-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12015904/2020/7/9/32538ded-7d45-4091-97ae-6cf2e1ad748d1594283331547-Laabha-Women-Pink-Silk-Sequin-Embellished-Tunic-171159428332-2.jpg'}]",Women,Pink,,,Silk Sequin Embellished Tunic,Tunics,1199,1199,,False,,0,,,1594252800000,Summer,2020,False,,,0,,[],www.myntra.com/Tunics/Laabha/Laabha-Women-Pink-Silk-Sequin-Embellished-Tunic/12015904/buy
4,Tops/Globus/Globus-Women-Blue--Yellow-Printed-Top/12075210/buy,False,,False,12075210,Globus Women Blue & Yellow Printed Top,Globus Women Blue & Yellow Printed Top,0.0,0,False,0,,200,Globus,http://assets.myntassets.com/assets/images/productimage/2020/7/11/bddabee9-d306-46d6-b837-a7d0ac3c73521594425161733-1.jpg,0,0,42041722,4614,0,,[],"[{'skuId': 42041710, 'label': 'S', 'inventory': 39, 'available': True}, {'skuId': 42041718, 'label': 'M', 'inventory': 39, 'available': True}, {'skuId': 42041720, 'label': 'L', 'inventory': 26, 'available': True}, {'skuId': 42041722, 'label': 'XL', 'inventory': 13, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/11/bddabee9-d306-46d6-b837-a7d0ac3c73521594425161733-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/11/bddabee9-d306-46d6-b837-a7d0ac3c73521594425161733-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/11/0b821f52-3751-4364-b3af-83a8719f5dc41594425161964-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/11/732bd5c9-847e-438d-9ae1-4cc284235c6c1594425161843-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/11/194476c3-5189-4303-b147-097d62e406321594425161791-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/11/06183b4f-4a7f-4716-805c-50f7d68ca34b1594425161907-4.jpg'}]",Women,Blue,Flat_Search_Percent,(20% OFF),Women Printed Top,Tops,999,799,,False,,0,1,,1594252800000,Winter,2020,False,,,0,,"[{'attribute': 'SA_XT_New', 'value': 'NEW'}]",www.myntra.com/Tops/Globus/Globus-Women-Blue--Yellow-Printed-Top/12075210/buy
5,Tops/Globus/Globus-Women-Navy-Blue--White-Printed-Top/12075228/buy,False,,False,12075228,Globus Women Navy Blue & White Printed Top,Globus Women Navy Blue & White Printed Top,0.0,0,False,0,,260,Globus,http://assets.myntassets.com/assets/images/productimage/2020/7/11/63be7bb6-6158-447e-9cf9-1be89bd43cd21594420828246-1.jpg,0,0,42041790,4614,0,,[],"[{'skuId': 42041790, 'label': 'S', 'inventory': 33, 'available': True}, {'skuId': 42041800, 'label': 'M', 'inventory': 22, 'available': True}, {'skuId': 42041808, 'label': 'L', 'inventory': 21, 'available': True}, {'skuId': 42041812, 'label': 'XL', 'inventory': 12, 'available': True}, {'skuId': 42041814, 'label': 'XXL', 'inventory': 10, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/11/63be7bb6-6158-447e-9cf9-1be89bd43cd21594420828246-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/11/63be7bb6-6158-447e-9cf9-1be89bd43cd21594420828246-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/11/d5391329-867f-4e59-8f61-a3af50b86b3f1594420828539-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/11/57f3789b-f692-4a17-9e95-6cb0c36373ce1594420828414-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/11/31c246b1-fc85-41d0-8e99-8033e65b7f171594420828317-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/11/dc1d3fe4-a6f0-401f-bca1-fb5065d71d3f1594420828482-4.jpg'}]",Women,Navy Blue,Flat_Search_Percent,(20% OFF),Women Printed Top,Tops,1299,1039,,False,,0,1,,1594252800000,Winter,2020,False,,,0,,"[{'attribute': 'SA_XT_New', 'value': 'NEW'}]",www.myntra.com/Tops/Globus/Globus-Women-Navy-Blue--White-Printed-Top/12075228/buy
6,Kurtis/GOLDSTROMS/GOLDSTROMS-Women-Red--Golden-Printed-Kurti/12035868/buy,False,,False,12035868,GOLDSTROMS Women Red & Golden Printed Kurti,GOLDSTROMS Women Red & Golden Printed Kurti,0.0,0,False,0,,0,GOLDSTROMS,http://assets.myntassets.com/assets/images/productimage/2020/7/4/527e148d-8421-4b3b-828d-2237dba62ac01593813375107-1.jpg,0,0,41910020,4036,0,,[],"[{'skuId': 41910016, 'label': 'M', 'inventory': 3, 'available': True}, {'skuId': 41910018, 'label': 'L', 'inventory': 3, 'available': True}, {'skuId': 41910020, 'label': 'XL', 'inventory': 3, 'available': True}, {'skuId': 41910022, 'label': 'XXL', 'inventory': 3, 'available': True}, {'skuId': 41910024, 'label': '3XL', 'inventory': 3, 'available': True}]","M,L,XL,XXL,3XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/4/527e148d-8421-4b3b-828d-2237dba62ac01593813375107-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/4/527e148d-8421-4b3b-828d-2237dba62ac01593813375107-1.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/4/4a5ffa3b-e64d-4918-b39f-de02771d10ca1593813375186-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/4/9657df51-9a2b-4f45-903a-bb3102cb20661593813375149-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/4/34424436-1dae-44ec-b29b-af9c91189b4a1593813375224-4.jpg'}]",Women,Red,,,Women Printed Kurti,Kurtis,1799,1799,,False,,0,,,1594252800000,Spring,2020,False,,,0,,[],www.myntra.com/Kurtis/GOLDSTROMS/GOLDSTROMS-Women-Red--Golden-Printed-Kurti/12035868/buy
7,Tunics/Laabha/Laabha-Women-Brown-Silk-Sequin-Embellished-Tunic/12015890/buy,False,,False,12015890,Laabha Women Brown Silk Sequin Embellished Tunic,Laabha Women Brown Silk Sequin Embellished Tunic,0.0,0,False,0,,0,Laabha,http://assets.myntassets.com/assets/images/12015890/2020/7/9/410b219a-b224-4b48-a925-4f5bbe3e20141594283317919-Laabha-Women-Brown-Silk-Sequin-Embellished-Tunic-71315942833-1.jpg,0,0,41841904,6376,0,,[],"[{'skuId': 41841902, 'label': 'S', 'inventory': 1, 'available': True}, {'skuId': 41841904, 'label': 'M', 'inventory': 5, 'available': True}, {'skuId': 41841906, 'label': 'L', 'inventory': 6, 'available': True}, {'skuId': 41841908, 'label': 'XL', 'inventory': 6, 'available': True}, {'skuId': 41841910, 'label': 'XXL', 'inventory': 2, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12015890/2020/7/9/410b219a-b224-4b48-a925-4f5bbe3e20141594283317919-Laabha-Women-Brown-Silk-Sequin-Embellished-Tunic-71315942833-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12015890/2020/7/9/410b219a-b224-4b48-a925-4f5bbe3e20141594283317919-Laabha-Women-Brown-Silk-Sequin-Embellished-Tunic-71315942833-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12015890/2020/7/9/8a8d8d34-f8b9-463b-af5b-79d1d337d2271594283317595-Laabha-Women-Brown-Silk-Sequin-Embellished-Tunic-71315942833-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12015890/2020/7/9/c24a670f-0d43-40ee-8503-1bef048f903f1594283317756-Laabha-Women-Brown-Silk-Sequin-Embellished-Tunic-71315942833-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12015890/2020/7/9/ddc0d475-62e3-4967-8eb5-64e9758186b01594283317678-Laabha-Women-Brown-Silk-Sequin-Embellished-Tunic-71315942833-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12015890/2020/7/9/3817ac2b-9e1c-422e-83f7-36246d7050701594283317832-Laabha-Women-Brown-Silk-Sequin-Embellished-Tunic-71315942833-2.jpg'}]",Women,Brown,,,Silk Sequin Embellished Tunic,Tunics,1199,1199,,False,,0,,,1594252800000,Summer,2020,False,,,0,,[],www.myntra.com/Tunics/Laabha/Laabha-Women-Brown-Silk-Sequin-Embellished-Tunic/12015890/buy
8,Tunics/Sangria/Sangria-Women-Orange--Red-Checked-Tunic/11174446/buy,False,,False,11174446,Sangria Women Orange & Red Checked Tunic,Sangria Women Orange & Red Checked Tunic,0.0,0,False,0,,0,Sangria,http://assets.myntassets.com/assets/images/11174446/2020/7/14/0aaf7190-122e-4e2f-b551-5cdec8eda47f1594700678973-Sangria-Women-Tunics-2481594700676816-1.jpg,0,0,38603218,4036,0,,[],"[{'skuId': 38603212, 'label': 'XS', 'inventory': 0, 'available': False}, {'skuId': 38603218, 'label': 'S', 'inventory': 1, 'available': True}, {'skuId': 38603220, 'label': 'M', 'inventory': 0, 'available': False}, {'skuId': 38603222, 'label': 'L', 'inventory': 0, 'available': False}, {'skuId': 38603224, 'label': 'XL', 'inventory': 0, 'available': False}]",S,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11174446/2020/7/14/0aaf7190-122e-4e2f-b551-5cdec8eda47f1594700678973-Sangria-Women-Tunics-2481594700676816-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11174446/2020/7/14/0aaf7190-122e-4e2f-b551-5cdec8eda47f1594700678973-Sangria-Women-Tunics-2481594700676816-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11174446/2020/7/14/a0a5916b-eedc-4d48-92a8-90f1e1fd24ca1594700678433-Sangria-Women-Tunics-2481594700676816-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11174446/2020/7/14/a79a8feb-3d77-4f73-bd16-1daed91c8fed1594700678792-Sangria-Women-Tunics-2481594700676816-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11174446/2020/7/14/620a64e3-4267-46d7-9067-6f77c61f07f21594700678582-Sangria-Women-Tunics-2481594700676816-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11174446/2020/7/14/85985e14-74e9-48f8-9fb7-c42f7103606e1594700678909-Sangria-Women-Tunics-2481594700676816-2.jpg'}]",Women,Orange,,,Checked Tunic,Tunics,1999,1999,,False,,0,,,1594252800000,Spring,2020,False,,,0,,[],www.myntra.com/Tunics/Sangria/Sangria-Women-Orange--Red-Checked-Tunic/11174446/buy
9,Tunics/Laabha/Laabha-Women-Off-White--Charcoal-Grey-Printed-A-Line-Tunic/12015888/buy,False,,False,12015888,Laabha Women Off-White & Charcoal Grey Printed A-Line Tunic,Laabha Women Off-White & Charcoal Grey Printed A-Line Tunic,0.0,0,False,0,,0,Laabha,http://assets.myntassets.com/assets/images/12015888/2020/7/8/ae562f18-c480-4e02-be33-a83ee7345d0d1594196434184VividArtsyWomenTopwithCutoutdetailTunicsLaabhaWomen1.jpg,0,0,41841894,6376,0,,[],"[{'skuId': 41841892, 'label': 'S', 'inventory': 13, 'available': True}, {'skuId': 41841894, 'label': 'M', 'inventory': 16, 'available': True}, {'skuId': 41841896, 'label': 'L', 'inventory': 18, 'available': True}, {'skuId': 41841898, 'label': 'XL', 'inventory': 18, 'available': True}, {'skuId': 41841900, 'label': 'XXL', 'inventory': 20, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12015888/2020/7/8/ae562f18-c480-4e02-be33-a83ee7345d0d1594196434184VividArtsyWomenTopwithCutoutdetailTunicsLaabhaWomen1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12015888/2020/7/8/ae562f18-c480-4e02-be33-a83ee7345d0d1594196434184VividArtsyWomenTopwithCutoutdetailTunicsLaabhaWomen1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12015888/2020/7/8/508c8ce6-c7aa-40c3-b7fd-3bb58290e8661594196434796VividArtsyWomenTopwithCutoutdetailTunicsLaabhaWomen5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12015888/2020/7/8/8966e138-7741-4726-bd7c-7efbbb9572d21594196434555VividArtsyWomenTopwithCutoutdetailTunicsLaabhaWomen3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12015888/2020/7/8/1d651415-946f-4fae-acaa-4e037c1fc3ae1594196434684VividArtsyWomenTopwithCutoutdetailTunicsLaabhaWomen4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12015888/2020/7/8/853292fe-a86b-45d0-a457-45b4473e00cd1594196434353VividArtsyWomenTopwithCutoutdetailTunicsLaabhaWomen2.jpg'}]",Women,Off White,,,Printed A-Line Tunic,Tunics,1199,1199,,False,,0,,,1594252800000,Summer,2020,False,,,0,,[],www.myntra.com/Tunics/Laabha/Laabha-Women-Off-White--Charcoal-Grey-Printed-A-Line-Tunic/12015888/buy
