,landingPageUrl,loyaltyPointsEnabled,adId,isPLA,productId,product,productName,rating,ratingCount,isFastFashion,futureDiscountedPrice,futureDiscountStartDate,discount,brand,searchImage,effectiveDiscountPercentageAfterTax,effectiveDiscountAmountAfterTax,buyButtonWinnerSkuId,buyButtonWinnerSellerPartnerId,relatedStylesCount,relatedStylesType,productVideos,inventoryInfo,sizes,images,gender,primaryColour,discountLabel,discountDisplayLabel,additionalInfo,category,mrp,price,advanceOrderTag,colorVariantAvailable,productimagetag,listViews,discountType,tdBxGyText,catalogDate,season,year,isPersonalised,eorsPicksTag,personalizedCoupon,personalizedCouponValue,productMeta,systemAttributes,PAGE_URL_COMPLETE
0,Sarees/KALINI/KALINI-Pink--Teal-Green-Polycotton-Checked-Mysore-Silk-Saree/11647472/buy,False,,False,11647472,KALINI Pink & Teal Green Polycotton Checked Mysore Silk Saree,KALINI Pink & Teal Green Polycotton Checked Mysore Silk Saree,0,0,False,0,,700,KALINI,http://assets.myntassets.com/assets/images/11647472/2020/6/24/edba4bbb-d8e1-4597-a20e-87bd7ea176b91593002251178-Kalini-Saree-6771593002248465-1.jpg,0,0,40494612,8232,0,,[],"[{'skuId': 40494612, 'label': 'Onesize', 'inventory': 15, 'available': True}]",Onesize,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11647472/2020/6/24/edba4bbb-d8e1-4597-a20e-87bd7ea176b91593002251178-Kalini-Saree-6771593002248465-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11647472/2020/6/24/edba4bbb-d8e1-4597-a20e-87bd7ea176b91593002251178-Kalini-Saree-6771593002248465-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/11647472/2020/6/24/e4ddcf80-1355-4efa-9c7f-a9df61f014031593002250883-Kalini-Saree-6771593002248465-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11647472/2020/6/24/217cc280-93a9-48d4-8251-d55467c05f391593002250943-Kalini-Saree-6771593002248465-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11647472/2020/6/24/be129ac0-4127-49c6-936f-a23c0fa54eba1593002251056-Kalini-Saree-6771593002248465-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11647472/2020/6/24/701e5611-047e-445c-8bc6-c37abe55d74d1593002250999-Kalini-Saree-6771593002248465-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11647472/2020/6/24/1b66f1e5-edc3-4765-aa0d-c23fc48eb8bf1593002251117-Kalini-Saree-6771593002248465-2.jpg'}]",Women,Pink,Flat_Search_Percent,(50% OFF),Checked Mysore Silk Saree,Sarees,1399,699,,False,,0,1,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Sarees/KALINI/KALINI-Pink--Teal-Green-Polycotton-Checked-Mysore-Silk-Saree/11647472/buy
1,Sarees/KALINI/KALINI-Green-Polycotton-Solid-Mysore-Silk-Saree/11647428/buy,False,,False,11647428,KALINI Green Polycotton Solid Mysore Silk Saree,KALINI Green Polycotton Solid Mysore Silk Saree,0,0,False,0,,650,KALINI,http://assets.myntassets.com/assets/images/11647428/2020/6/23/4247562e-10cf-4ad5-a511-b124b950a8ac1592913143629KaliniSaree1.jpg,0,0,40494568,8232,0,,[],"[{'skuId': 40494568, 'label': 'Onesize', 'inventory': 15, 'available': True}]",Onesize,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11647428/2020/6/23/4247562e-10cf-4ad5-a511-b124b950a8ac1592913143629KaliniSaree1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11647428/2020/6/23/4247562e-10cf-4ad5-a511-b124b950a8ac1592913143629KaliniSaree1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11647428/2020/6/23/9fb1b282-b97d-437f-bf7d-d4b723fcbb0f1592913143888KaliniSaree5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11647428/2020/6/23/7582bcc7-9675-4f96-afee-7cdfb8b6ce0e1592913143780KaliniSaree3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11647428/2020/6/23/ed5a205e-6e39-4f59-a2bc-b7f2bed88b9e1592913143837KaliniSaree4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11647428/2020/6/23/e2d2cc54-9120-4702-a134-2c197fb0405d1592913143713KaliniSaree2.jpg'}]",Women,Green,Flat_Search_Percent,(50% OFF),Solid Mysore Silk Saree,Sarees,1299,649,,False,,0,1,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Sarees/KALINI/KALINI-Green-Polycotton-Solid-Mysore-Silk-Saree/11647428/buy
2,Sarees/KALINI/KALINI-Turquoise-Blue-Polycotton-Solid-Mysore-Silk-Saree/11647364/buy,False,,False,11647364,KALINI Turquoise Blue Polycotton Solid Mysore Silk Saree,KALINI Turquoise Blue Polycotton Solid Mysore Silk Saree,0,0,False,0,,900,KALINI,http://assets.myntassets.com/assets/images/11647364/2020/6/24/35baa610-be81-454c-a71e-8a0cc142b4cb1593001951336-Kalini-Saree-4451593001949321-1.jpg,0,0,40494504,8232,0,,[],"[{'skuId': 40494504, 'label': 'Onesize', 'inventory': 15, 'available': True}]",Onesize,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11647364/2020/6/24/35baa610-be81-454c-a71e-8a0cc142b4cb1593001951336-Kalini-Saree-4451593001949321-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11647364/2020/6/24/35baa610-be81-454c-a71e-8a0cc142b4cb1593001951336-Kalini-Saree-4451593001949321-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/11647364/2020/6/24/be9236b9-a5d3-47dd-8019-479bf05d1e631593001951041-Kalini-Saree-4451593001949321-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11647364/2020/6/24/3f777ce2-a951-4bf4-8467-2cc2ad5df1aa1593001951114-Kalini-Saree-4451593001949321-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11647364/2020/6/24/d39689c4-e4d2-40eb-b5c1-5d7321b1ec181593001951223-Kalini-Saree-4451593001949321-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11647364/2020/6/24/ec0e2202-a87c-4047-975c-3c1b3601c78b1593001951167-Kalini-Saree-4451593001949321-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11647364/2020/6/24/1c7ecf36-03b0-4e7b-af83-20b77eed21331593001951281-Kalini-Saree-4451593001949321-2.jpg'}]",Women,Turquoise Blue,Flat_Search_Percent,(50% OFF),Solid Mysore Silk Saree,Sarees,1799,899,,False,,0,1,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Sarees/KALINI/KALINI-Turquoise-Blue-Polycotton-Solid-Mysore-Silk-Saree/11647364/buy
3,Sarees/KALINI/KALINI-Teal-Blue--Red-Polycotton-Checked-Mysore-Silk-Saree/11647416/buy,False,,False,11647416,KALINI Teal Blue & Red Polycotton Checked Mysore Silk Saree,KALINI Teal Blue & Red Polycotton Checked Mysore Silk Saree,0,0,False,0,,700,KALINI,http://assets.myntassets.com/assets/images/11647416/2020/6/24/028fb413-23da-4925-b631-f9c5e58a46051593002140581-Kalini-Saree-1841593002137927-1.jpg,0,0,40494556,8232,0,,[],"[{'skuId': 40494556, 'label': 'Onesize', 'inventory': 15, 'available': True}]",Onesize,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11647416/2020/6/24/028fb413-23da-4925-b631-f9c5e58a46051593002140581-Kalini-Saree-1841593002137927-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11647416/2020/6/24/028fb413-23da-4925-b631-f9c5e58a46051593002140581-Kalini-Saree-1841593002137927-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/11647416/2020/6/24/5f8cc0f6-6bd6-4cc7-b68a-e7d11623d41c1593002140295-Kalini-Saree-1841593002137927-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11647416/2020/6/24/3bceeaff-cf6a-4729-8619-3040801017bd1593002140350-Kalini-Saree-1841593002137927-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11647416/2020/6/24/09c00121-129e-45a3-9f48-4d3e7700a17c1593002140459-Kalini-Saree-1841593002137927-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11647416/2020/6/24/8bc91fa6-00ab-4993-ab40-1b3a3a0ed07a1593002140404-Kalini-Saree-1841593002137927-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11647416/2020/6/24/6a3fa4e6-4e2b-47cc-8b61-48ecc7f56deb1593002140516-Kalini-Saree-1841593002137927-2.jpg'}]",Women,Teal,Flat_Search_Percent,(50% OFF),Checked Mysore Silk Saree,Sarees,1399,699,,False,,0,1,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Sarees/KALINI/KALINI-Teal-Blue--Red-Polycotton-Checked-Mysore-Silk-Saree/11647416/buy
4,Sarees/KALINI/KALINI-Yellow--Red-Polycotton-Woven-Design-Kota-Saree/11648818/buy,False,,False,11648818,KALINI Yellow & Red Polycotton Woven Design Kota Saree,KALINI Yellow & Red Polycotton Woven Design Kota Saree,0,0,False,0,,850,KALINI,http://assets.myntassets.com/assets/images/11648818/2020/6/24/cf5f1bbe-9ae6-41e2-9ae8-12b97282f1af1593003852657-Kalini-Saree-9831593003850001-1.jpg,0,0,40500240,8232,0,,[],"[{'skuId': 40500240, 'label': 'Onesize', 'inventory': 15, 'available': True}]",Onesize,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11648818/2020/6/24/cf5f1bbe-9ae6-41e2-9ae8-12b97282f1af1593003852657-Kalini-Saree-9831593003850001-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11648818/2020/6/24/cf5f1bbe-9ae6-41e2-9ae8-12b97282f1af1593003852657-Kalini-Saree-9831593003850001-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/11648818/2020/6/24/ad108dbb-9154-4c4f-97ad-2860535f50381593003852189-Kalini-Saree-9831593003850001-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11648818/2020/6/24/306426fd-61d6-4b96-8ec1-1cbde03f728c1593003852277-Kalini-Saree-9831593003850001-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11648818/2020/6/24/38ac6709-f695-4d30-b468-fce40a39f7271593003852488-Kalini-Saree-9831593003850001-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11648818/2020/6/24/e55eac7a-8a16-4c0e-9559-b8050669bd781593003852367-Kalini-Saree-9831593003850001-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11648818/2020/6/24/a970cd53-3446-4b78-b74c-6e69314844831593003852571-Kalini-Saree-9831593003850001-2.jpg'}]",Women,Yellow,Flat_Search_Percent,(50% OFF),Woven Design Kota Saree,Sarees,1699,849,,False,,0,1,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Sarees/KALINI/KALINI-Yellow--Red-Polycotton-Woven-Design-Kota-Saree/11648818/buy
5,Sarees/KALINI/KALINI-Pink-Polycotton-Solid-Kota-Saree/11648788/buy,False,,False,11648788,KALINI Pink Polycotton Solid Kota Saree,KALINI Pink Polycotton Solid Kota Saree,0,0,False,0,,850,KALINI,http://assets.myntassets.com/assets/images/11648788/2020/6/25/5f0e3a6e-52c5-46f3-a33a-dd1d3d829a1b1593067428468-Kalini-Saree-1731593067426370-1.jpg,0,0,40500210,8232,0,,[],"[{'skuId': 40500210, 'label': 'Onesize', 'inventory': 15, 'available': True}]",Onesize,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11648788/2020/6/25/5f0e3a6e-52c5-46f3-a33a-dd1d3d829a1b1593067428468-Kalini-Saree-1731593067426370-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11648788/2020/6/25/5f0e3a6e-52c5-46f3-a33a-dd1d3d829a1b1593067428468-Kalini-Saree-1731593067426370-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11648788/2020/6/25/37e92d9e-1b07-487e-9b7c-dd33048a8d071593067428255-Kalini-Saree-1731593067426370-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11648788/2020/6/25/65a41db3-867a-4b99-9e66-2b86dca75da11593067428367-Kalini-Saree-1731593067426370-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11648788/2020/6/25/b61ee234-769a-435e-99a2-036253af07721593067428315-Kalini-Saree-1731593067426370-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11648788/2020/6/25/791aec04-d81f-4a8b-8a9e-a3cf70af5eab1593067428416-Kalini-Saree-1731593067426370-2.jpg'}]",Women,Pink,Flat_Search_Percent,(50% OFF),Solid Kota Saree,Sarees,1699,849,,False,,0,1,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Sarees/KALINI/KALINI-Pink-Polycotton-Solid-Kota-Saree/11648788/buy
6,Sarees/KALINI/KALINI-Blue--Pink-Linen-Blend-Checked-Mysore-Silk-Saree/11647382/buy,False,,False,11647382,KALINI Blue & Pink Linen Blend Checked Mysore Silk Saree,KALINI Blue & Pink Linen Blend Checked Mysore Silk Saree,0,0,False,0,,900,KALINI,http://assets.myntassets.com/assets/images/11647382/2020/6/24/dcb085ae-92c2-4dc6-8fab-df4fc0cc613f1593002016825-Kalini-Saree-3881593002014823-1.jpg,0,0,40494522,8232,0,,[],"[{'skuId': 40494522, 'label': 'Onesize', 'inventory': 15, 'available': True}]",Onesize,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11647382/2020/6/24/dcb085ae-92c2-4dc6-8fab-df4fc0cc613f1593002016825-Kalini-Saree-3881593002014823-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11647382/2020/6/24/dcb085ae-92c2-4dc6-8fab-df4fc0cc613f1593002016825-Kalini-Saree-3881593002014823-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/11647382/2020/6/24/894879bd-d6bd-49f6-9b11-674fcc200b3a1593002016580-Kalini-Saree-3881593002014823-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11647382/2020/6/24/9c98f67f-83ac-4363-87c3-a7a64c4a9caa1593002016630-Kalini-Saree-3881593002014823-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11647382/2020/6/24/898539b5-bc9d-4aa3-8b79-faf736d5779b1593002016727-Kalini-Saree-3881593002014823-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11647382/2020/6/24/678bad98-3f39-4932-a3bd-08af98001d241593002016680-Kalini-Saree-3881593002014823-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11647382/2020/6/24/815a8191-2411-4b8c-8c93-2453bd5124471593002016779-Kalini-Saree-3881593002014823-2.jpg'}]",Women,Blue,Flat_Search_Percent,(50% OFF),Checked Mysore Silk Saree,Sarees,1799,899,,False,,0,1,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Sarees/KALINI/KALINI-Blue--Pink-Linen-Blend-Checked-Mysore-Silk-Saree/11647382/buy
7,Sarees/KALINI/KALINI-Orange--Gold-Toned-Silk-Blend-Embroidered-Saree/11647478/buy,False,,False,11647478,KALINI Orange & Gold-Toned Silk Blend Embroidered Saree,KALINI Orange & Gold-Toned Silk Blend Embroidered Saree,0,0,False,0,,1050,KALINI,http://assets.myntassets.com/assets/images/11647478/2020/6/24/b7a97f98-8aa0-4e4c-aeb7-2aab3ae60b591593002281362-Kalini-Saree-1011593002279164-1.jpg,0,0,40494618,8232,0,,[],"[{'skuId': 40494618, 'label': 'Onesize', 'inventory': 15, 'available': True}]",Onesize,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11647478/2020/6/24/b7a97f98-8aa0-4e4c-aeb7-2aab3ae60b591593002281362-Kalini-Saree-1011593002279164-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11647478/2020/6/24/b7a97f98-8aa0-4e4c-aeb7-2aab3ae60b591593002281362-Kalini-Saree-1011593002279164-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/11647478/2020/6/24/f29ff34a-d5ef-4067-b1f6-748047cac82a1593002281054-Kalini-Saree-1011593002279164-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11647478/2020/6/24/334585a0-ee01-4654-86d7-32a0bfe0ae041593002281111-Kalini-Saree-1011593002279164-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11647478/2020/6/24/b6803844-6fbd-42f2-b7ab-a5267fe82f5e1593002281245-Kalini-Saree-1011593002279164-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11647478/2020/6/24/74ecb4d4-e8e5-41af-8b38-33c4792a3f791593002281169-Kalini-Saree-1011593002279164-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11647478/2020/6/24/ef9f21ae-d78b-4e68-857f-1459b1681abd1593002281302-Kalini-Saree-1011593002279164-2.jpg'}]",Women,Orange,Flat_Search_Percent,(50% OFF),Embroidered Saree,Sarees,2099,1049,,False,,0,1,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Sarees/KALINI/KALINI-Orange--Gold-Toned-Silk-Blend-Embroidered-Saree/11647478/buy
8,Sarees/KALINI/KALINI-Blue-Polycotton-Solid-Kota-Saree/11648832/buy,False,,False,11648832,KALINI Blue Polycotton Solid Kota Saree,KALINI Blue Polycotton Solid Kota Saree,0,0,False,0,,850,KALINI,http://assets.myntassets.com/assets/images/11648832/2020/6/24/4e1d0886-0a91-4b88-9c8c-518abdb32c001593004288730-Kalini-Saree-8091593004286430-1.jpg,0,0,40500254,8232,0,,[],"[{'skuId': 40500254, 'label': 'Onesize', 'inventory': 15, 'available': True}]",Onesize,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11648832/2020/6/24/4e1d0886-0a91-4b88-9c8c-518abdb32c001593004288730-Kalini-Saree-8091593004286430-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11648832/2020/6/24/4e1d0886-0a91-4b88-9c8c-518abdb32c001593004288730-Kalini-Saree-8091593004286430-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/11648832/2020/6/24/cd7e5af9-962f-494c-b071-81c2402e469b1593004288323-Kalini-Saree-8091593004286430-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11648832/2020/6/24/c69ccbe8-0ce3-4ffa-9884-fbab0b89ac7c1593004288388-Kalini-Saree-8091593004286430-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11648832/2020/6/24/bf552d19-e139-43a3-bc0c-5934d42494dd1593004288570-Kalini-Saree-8091593004286430-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11648832/2020/6/24/846894ed-9b02-4b83-845f-4072094c30371593004288460-Kalini-Saree-8091593004286430-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11648832/2020/6/24/d5dc34f9-defa-4025-b13e-850f1228c8ab1593004288655-Kalini-Saree-8091593004286430-2.jpg'}]",Women,Blue,Flat_Search_Percent,(50% OFF),Solid Kota Saree,Sarees,1699,849,,False,,0,1,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Sarees/KALINI/KALINI-Blue-Polycotton-Solid-Kota-Saree/11648832/buy
9,Sarees/KALINI/KALINI-Mustard-Yellow--Orange-Polycotton-Woven-Design-Kota-Saree/11648742/buy,False,,False,11648742,KALINI Mustard Yellow & Orange Polycotton Woven Design Kota Saree,KALINI Mustard Yellow & Orange Polycotton Woven Design Kota Saree,0,0,False,0,,850,KALINI,http://assets.myntassets.com/assets/images/11648742/2020/6/24/b6e45629-9d86-40f4-9bd6-db80bc3fcad01593003818358-Kalini-Saree-8021593003815799-1.jpg,0,0,40500164,8232,0,,[],"[{'skuId': 40500164, 'label': 'Onesize', 'inventory': 15, 'available': True}]",Onesize,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11648742/2020/6/24/b6e45629-9d86-40f4-9bd6-db80bc3fcad01593003818358-Kalini-Saree-8021593003815799-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11648742/2020/6/24/b6e45629-9d86-40f4-9bd6-db80bc3fcad01593003818358-Kalini-Saree-8021593003815799-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/11648742/2020/6/24/02ae15ed-f440-44a3-9e4a-fadab60d7d9b1593003817808-Kalini-Saree-8021593003815799-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11648742/2020/6/24/75e51127-c5bf-469c-b78f-4593cfbe88141593003817916-Kalini-Saree-8021593003815799-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11648742/2020/6/24/5d32fadd-469d-4796-9f40-3a1baf11af2a1593003818147-Kalini-Saree-8021593003815799-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11648742/2020/6/24/de479a97-2b6e-4599-8e47-d515950216361593003818255-Kalini-Saree-8021593003815799-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11648742/2020/6/24/a4f4970e-9a4f-4d02-a660-2b23d8f3706c1593003818054-Kalini-Saree-8021593003815799-4.jpg'}]",Women,Mustard,Flat_Search_Percent,(50% OFF),Woven Design Kota Saree,Sarees,1699,849,,False,,0,1,,1595462400000,Summer,2020,False,,,0,,[],www.myntra.com/Sarees/KALINI/KALINI-Mustard-Yellow--Orange-Polycotton-Woven-Design-Kota-Saree/11648742/buy
