,landingPageUrl,loyaltyPointsEnabled,adId,isPLA,productId,product,productName,rating,ratingCount,isFastFashion,futureDiscountedPrice,futureDiscountStartDate,discount,brand,searchImage,effectiveDiscountPercentageAfterTax,effectiveDiscountAmountAfterTax,buyButtonWinnerSkuId,buyButtonWinnerSellerPartnerId,relatedStylesCount,relatedStylesType,productVideos,inventoryInfo,sizes,images,gender,primaryColour,discountLabel,discountDisplayLabel,additionalInfo,category,mrp,price,advanceOrderTag,colorVariantAvailable,productimagetag,listViews,discountType,tdBxGyText,catalogDate,season,year,isPersonalised,eorsPicksTag,personalizedCoupon,personalizedCouponValue,productMeta,systemAttributes,PAGE_URL_COMPLETE
0,Tops/Camey/Camey-Women-Multicoloured-Printed-A-Line-Top/12093380/buy,False,,False,12093380,Camey Women Multicoloured Printed A-Line Top,Camey Women Multicoloured Printed A-Line Top,0,0,False,0,,550,Camey,http://assets.myntassets.com/assets/images/productimage/2020/7/15/344aea6d-e203-4b54-8fde-5ddaf33e49281594767190138-1.jpg,0,0,42106474,1382,0,,[],"[{'skuId': 42106474, 'label': 'Onesize', 'inventory': 53, 'available': True}]",Onesize,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/15/344aea6d-e203-4b54-8fde-5ddaf33e49281594767190138-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/15/344aea6d-e203-4b54-8fde-5ddaf33e49281594767190138-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/15/414a33db-3205-45ed-8325-6ef1f867fc7d1594767190400-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/15/066ba5bc-d9b6-487e-832e-17d8aa7b6b291594767190347-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/15/749805b3-66fc-4dd6-a346-3ca3a26ec22c1594767190244-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/15/2f6f02b7-d4bf-45fd-8c63-d7fd21d60e361594767190192-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/15/d54733a5-0014-4a30-93db-ad792701701a1594767190295-4.jpg'}]",Women,Multi,Flat_Search_Percent,(50% OFF),Printed A-Line Top,Tops,1099,549,,False,,0,1,,1594857600000,Summer,2020,False,,,0,,[],www.myntra.com/Tops/Camey/Camey-Women-Multicoloured-Printed-A-Line-Top/12093380/buy
1,Tops/Ginger-by-Lifestyle/Ginger-by-Lifestyle-Women-Lime-Green--White-Disney-Print-Boxy-Top/12110878/buy,False,,False,12110878,Ginger by Lifestyle Women Lime Green & White Disney Print Boxy Top,Ginger by Lifestyle Women Lime Green & White Disney Print Boxy Top,0,0,False,0,,0,Ginger by Lifestyle,http://assets.myntassets.com/assets/images/productimage/2020/7/18/04320add-a397-4209-9217-0b8ad59f62841595028386230-1.jpg,0,0,42172806,4036,0,,[],"[{'skuId': 42172810, 'label': 'XS', 'inventory': 0, 'available': False}, {'skuId': 42172806, 'label': 'S', 'inventory': 8, 'available': True}, {'skuId': 42172804, 'label': 'M', 'inventory': 9, 'available': True}, {'skuId': 42172812, 'label': 'L', 'inventory': 0, 'available': False}, {'skuId': 42172808, 'label': 'XL', 'inventory': 0, 'available': False}]","S,M","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/04320add-a397-4209-9217-0b8ad59f62841595028386230-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/04320add-a397-4209-9217-0b8ad59f62841595028386230-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/19fc1b37-9120-4a9e-b1b5-90493d7161cd1595028386458-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/0835875c-cab6-4cfd-b340-fce0a9223ebe1595028386342-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/b66382da-703e-4649-a820-1c8dcf99c2781595028386399-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/e3f6d072-d965-4cfb-9af2-caabdaeed7bd1595028386288-2.jpg'}]",Women,Lime Green,,,Disney Print Boxy Top,Tops,599,599,,False,,0,,,1594857600000,Fall,2020,False,,,0,,[],www.myntra.com/Tops/Ginger-by-Lifestyle/Ginger-by-Lifestyle-Women-Lime-Green--White-Disney-Print-Boxy-Top/12110878/buy
2,Tshirts/Ginger-by-Lifestyle/Ginger-by-Lifestyle-Women-Grey-Melange-Printed-Round-Neck-T-shirt/12110860/buy,False,,False,12110860,Ginger by Lifestyle Women Grey Melange Printed Round Neck T-shirt,Ginger by Lifestyle Women Grey Melange Printed Round Neck T-shirt,0,0,False,0,,0,Ginger by Lifestyle,http://assets.myntassets.com/assets/images/productimage/2020/7/18/709175bb-f90c-4812-ae95-1b35c5d76b7e1595027033560-1.jpg,0,0,42172722,4036,0,,[],"[{'skuId': 42172722, 'label': 'XS', 'inventory': 15, 'available': True}, {'skuId': 42172716, 'label': 'S', 'inventory': 29, 'available': True}, {'skuId': 42172720, 'label': 'M', 'inventory': 31, 'available': True}, {'skuId': 42172718, 'label': 'L', 'inventory': 19, 'available': True}, {'skuId': 42172714, 'label': 'XL', 'inventory': 5, 'available': True}]","XS,S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/709175bb-f90c-4812-ae95-1b35c5d76b7e1595027033560-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/709175bb-f90c-4812-ae95-1b35c5d76b7e1595027033560-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/a38b0780-5d7b-449b-9932-a2472e0010d41595027033823-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/be0a1e25-aa5b-4d82-9fa4-745a7bea91191595027033692-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/ebff0e4c-1d87-4b03-af4e-afb8245cfaaf1595027033759-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/9581e051-a3a8-4c67-9d16-57f90e8a60de1595027033628-2.jpg'}]",Women,Grey Melange,,,Printed Round Neck T-shirt,Tshirts,699,699,,False,,0,,,1594857600000,Fall,2020,False,,,0,,[],www.myntra.com/Tshirts/Ginger-by-Lifestyle/Ginger-by-Lifestyle-Women-Grey-Melange-Printed-Round-Neck-T-shirt/12110860/buy
3,Tops/Anouk/Anouk-Women-Navy-Blue-Solid-Pleated-A-Line-Top-With-Embroidered-Detailing/11970928/buy,False,,False,11970928,Anouk Women Navy Blue Solid Pleated A-Line Top With Embroidered Detailing,Anouk Women Navy Blue Solid Pleated A-Line Top With Embroidered Detailing,0,0,False,0,,500,Anouk,http://assets.myntassets.com/assets/images/11970928/2020/7/15/98eb0b26-fa2b-41e3-8107-d94c1eadc7691594810838851-Anouk-Women-Tops-9481594810837471-1.jpg,0,0,41677348,7138,0,,[],"[{'skuId': 41677348, 'label': 'S', 'inventory': 30, 'available': True}, {'skuId': 41677350, 'label': 'M', 'inventory': 30, 'available': True}, {'skuId': 41677352, 'label': 'L', 'inventory': 30, 'available': True}, {'skuId': 41677354, 'label': 'XL', 'inventory': 30, 'available': True}, {'skuId': 41677356, 'label': 'XXL', 'inventory': 30, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11970928/2020/7/15/98eb0b26-fa2b-41e3-8107-d94c1eadc7691594810838851-Anouk-Women-Tops-9481594810837471-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11970928/2020/7/15/98eb0b26-fa2b-41e3-8107-d94c1eadc7691594810838851-Anouk-Women-Tops-9481594810837471-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11970928/2020/7/15/839f6afa-db58-4b73-8a8a-78c875d9259c1594810838657-Anouk-Women-Tops-9481594810837471-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11970928/2020/7/15/a819910a-a6a1-440a-85cb-f5680ba911b91594810838756-Anouk-Women-Tops-9481594810837471-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11970928/2020/7/15/66aab709-eb36-4472-8d4a-0eb31b7a2ba21594810838709-Anouk-Women-Tops-9481594810837471-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11970928/2020/7/15/f136b755-23fa-4322-9b07-1301cff565891594810838801-Anouk-Women-Tops-9481594810837471-2.jpg'}]",Women,Navy Blue,Flat_Search_Percent,(50% OFF),Solid Pleated A-Line Top,Tops,999,499,,False,,0,1,,1594857600000,Summer,2020,False,,,0,,[],www.myntra.com/Tops/Anouk/Anouk-Women-Navy-Blue-Solid-Pleated-A-Line-Top-With-Embroidered-Detailing/11970928/buy
4,Tops/Camey/Camey-Women-Cream-Coloured-Printed-Boxy-Top/12093354/buy,False,,False,12093354,Camey Women Cream-Coloured Printed Boxy Top,Camey Women Cream-Coloured Printed Boxy Top,0,0,False,0,,550,Camey,http://assets.myntassets.com/assets/images/productimage/2020/7/16/0a8c0ce2-454f-40c9-afcb-7c4368c288d81594849734511-1.jpg,0,0,42106448,1382,0,,[],"[{'skuId': 42106448, 'label': 'Onesize', 'inventory': 30, 'available': True}]",Onesize,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/16/0a8c0ce2-454f-40c9-afcb-7c4368c288d81594849734511-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/16/0a8c0ce2-454f-40c9-afcb-7c4368c288d81594849734511-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/16/9100283f-f16e-4c8a-a176-ac12fc30a6551594849734782-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/16/5486caf6-28cd-490b-986e-3c2a0828ce451594849734728-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/16/1b2ecd89-0526-4762-a945-dab9cabb48bd1594849734626-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/16/8c43ce72-c38a-4deb-82f4-30d430103e911594849734572-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/16/987bb653-6290-4223-837f-07c27c19e5351594849734678-4.jpg'}]",Women,Cream,Flat_Search_Percent,(50% OFF),Printed Boxy Top,Tops,1099,549,,False,,0,1,,1594857600000,Summer,2020,False,,,0,,[],www.myntra.com/Tops/Camey/Camey-Women-Cream-Coloured-Printed-Boxy-Top/12093354/buy
5,Tunics/Eavan/Eavan-Women-Green-Solid-Tunic/12099896/buy,False,,False,12099896,Eavan Women Green Solid Tunic,Eavan Women Green Solid Tunic,0,0,False,0,,140,Eavan,http://assets.myntassets.com/assets/images/productimage/2020/7/17/6ec07370-2d4c-426f-9cbd-ce26025823e01594937180028-1.jpg,0,0,42129282,1004,0,,[],"[{'skuId': 42129276, 'label': 'XS', 'inventory': 5, 'available': True}, {'skuId': 42129278, 'label': 'S', 'inventory': 4, 'available': True}, {'skuId': 42129280, 'label': 'M', 'inventory': 1, 'available': True}, {'skuId': 42129282, 'label': 'L', 'inventory': 4, 'available': True}, {'skuId': 42129284, 'label': 'XL', 'inventory': 4, 'available': True}]","XS,S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/6ec07370-2d4c-426f-9cbd-ce26025823e01594937180028-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/6ec07370-2d4c-426f-9cbd-ce26025823e01594937180028-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/6ddf6697-09e7-4ab5-bfcb-f4741877d2a91594937180249-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/04ec0896-5831-4c09-a3a0-4ea9cb1931f81594937180143-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/a3c94153-5c1f-45a3-b482-3a445e04b6021594937180193-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/7916f985-52c9-43d7-9b91-e519d49b90a11594937180083-2.jpg'}]",Women,Green,Flat_Search_Percent,(10% OFF),Solid Tunic,Tunics,1399,1259,,False,,0,1,,1594857600000,Spring,2020,False,,,0,,[],www.myntra.com/Tunics/Eavan/Eavan-Women-Green-Solid-Tunic/12099896/buy
6,Tshirts/Roadster/Roadster-Women-Charcoal-Grey--Maroon-Colourblocked-Round-Neck-T-shirt/11893886/buy,False,,False,11893886,Roadster Women Charcoal Grey & Maroon Colourblocked Round Neck T-shirt,Roadster Women Charcoal Grey & Maroon Colourblocked Round Neck T-shirt,0,0,False,0,,0,Roadster,http://assets.myntassets.com/assets/images/11893886/2020/7/16/a86e6488-2f64-409f-bc27-5ebd7c0d94b21594898995709HERENOWMenOliveGreenNavyBlueSlimFitColourblockedCasualShirtJ1.jpg,0,0,41403596,4118,0,,[],"[{'skuId': 41403590, 'label': 'S', 'inventory': 51, 'available': True}, {'skuId': 41403592, 'label': 'M', 'inventory': 44, 'available': True}, {'skuId': 41403594, 'label': 'L', 'inventory': 25, 'available': True}, {'skuId': 41403596, 'label': 'XL', 'inventory': 22, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11893886/2020/7/16/a86e6488-2f64-409f-bc27-5ebd7c0d94b21594898995709HERENOWMenOliveGreenNavyBlueSlimFitColourblockedCasualShirtJ1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11893886/2020/7/16/a86e6488-2f64-409f-bc27-5ebd7c0d94b21594898995709HERENOWMenOliveGreenNavyBlueSlimFitColourblockedCasualShirtJ1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11893886/2020/7/16/43d93c51-1747-40fd-802c-41d99eca15461594898995979HERENOWMenOliveGreenNavyBlueSlimFitColourblockedCasualShirtJ5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11893886/2020/7/16/44709338-c56a-4ede-8db0-f84d811a60f81594898995843HERENOWMenOliveGreenNavyBlueSlimFitColourblockedCasualShirtJ3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11893886/2020/7/16/1aa67147-03c6-4be7-9eb4-fa33874b63231594898995785HERENOWMenOliveGreenNavyBlueSlimFitColourblockedCasualShirtJ2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11893886/2020/7/16/347b5c4c-c06c-4a07-ad8b-12c0a0b41b221594898995917HERENOWMenOliveGreenNavyBlueSlimFitColourblockedCasualShirtJ4.jpg'}]",Women,Charcoal,,,Colourblocked Round Neck T-shirt,Tshirts,799,799,,False,,0,,,1594857600000,Spring,2020,False,,,0,,[],www.myntra.com/Tshirts/Roadster/Roadster-Women-Charcoal-Grey--Maroon-Colourblocked-Round-Neck-T-shirt/11893886/buy
7,Tshirts/Okane/Okane-Women-Black-Solid-Round-Neck-T-shirt/12096022/buy,False,,False,12096022,Okane Women Black Solid Round Neck T-shirt,Okane Women Black Solid Round Neck T-shirt,0,0,False,0,,0,Okane,http://assets.myntassets.com/assets/images/productimage/2020/7/16/05cc5109-021b-4240-b77c-14035dd221181594852057949-1.jpg,0,0,42114830,4215,0,,[],"[{'skuId': 42114826, 'label': 'S', 'inventory': 2, 'available': True}, {'skuId': 42114828, 'label': 'M', 'inventory': 2, 'available': True}, {'skuId': 42114830, 'label': 'L', 'inventory': 2, 'available': True}, {'skuId': 42114832, 'label': 'XL', 'inventory': 2, 'available': True}, {'skuId': 42114834, 'label': 'XXL', 'inventory': 1, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/16/05cc5109-021b-4240-b77c-14035dd221181594852057949-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/16/05cc5109-021b-4240-b77c-14035dd221181594852057949-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/16/fe9df924-ced1-45fe-b201-7d794a8cbef01594852058217-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/16/7ecd712a-47b2-4075-a3f7-65cf0f2682351594852058170-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/16/12499b90-0903-49b4-a7b7-0e355b6039791594852058066-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/16/c9b57b63-c296-475e-820d-78e1fe94457c1594852058013-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/16/2f27bf92-eb1e-4cb1-8916-fc099d74b5df1594852058118-4.jpg'}]",Women,Black,,,Solid Round Neck T-shirt,Tshirts,599,599,,False,,0,,,1594857600000,Summer,2020,False,,,0,,[],www.myntra.com/Tshirts/Okane/Okane-Women-Black-Solid-Round-Neck-T-shirt/12096022/buy
8,Tops/Oxolloxo/Oxolloxo-Women-Blue--Red-Floral-Printed-Top/12107832/buy,False,,False,12107832,Oxolloxo Women Blue & Red Floral Printed Top,Oxolloxo Women Blue & Red Floral Printed Top,0,0,False,0,,400,Oxolloxo,http://assets.myntassets.com/assets/images/productimage/2020/7/18/5a531266-3543-457c-8d85-46e80f444f931595024913121-1.jpg,0,0,42160060,1124,0,,[],"[{'skuId': 42160060, 'label': 'S', 'inventory': 14, 'available': True}, {'skuId': 42160062, 'label': 'M', 'inventory': 23, 'available': True}, {'skuId': 42160064, 'label': 'L', 'inventory': 22, 'available': True}, {'skuId': 42160066, 'label': 'XL', 'inventory': 17, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/5a531266-3543-457c-8d85-46e80f444f931595024913121-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/5a531266-3543-457c-8d85-46e80f444f931595024913121-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/90d8a09c-1557-4725-918e-03bd9b4570c51595024913398-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/8d14509c-c8b0-45c0-ad48-aa3584fd47071595024913321-5.jpg'}, {'view': 'bottom', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/92c63bb8-45ab-4077-a593-8fbff3370e541595024913466-7.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/30b3b41a-a112-4e32-80d9-0a09f0802c161595024913259-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/e71768bd-2679-440b-b62c-72e54c47f0551595024913196-2.jpg'}]",Women,Blue,Flat_Search_Percent,(40% OFF),Women Floral Printed Top,Tops,999,599,,False,,0,1,,1594857600000,Summer,2020,False,,,0,,[],www.myntra.com/Tops/Oxolloxo/Oxolloxo-Women-Blue--Red-Floral-Printed-Top/12107832/buy
9,Tops/Anouk/Anouk-Women-Peach-Coloured-Solid-Pleated-A-Line-Top-With-Embroidered-Detailing/11970922/buy,False,,False,11970922,Anouk Women Peach-Coloured Solid Pleated A-Line Top With Embroidered Detailing,Anouk Women Peach-Coloured Solid Pleated A-Line Top With Embroidered Detailing,0,0,False,0,,500,Anouk,http://assets.myntassets.com/assets/images/11970922/2020/7/15/5e7e8948-9060-409a-97a4-c02be130c1471594810730446-Anouk-Women-Tops-2281594810729084-1.jpg,0,0,41677318,7138,0,,[],"[{'skuId': 41677318, 'label': 'S', 'inventory': 30, 'available': True}, {'skuId': 41677320, 'label': 'M', 'inventory': 30, 'available': True}, {'skuId': 41677322, 'label': 'L', 'inventory': 30, 'available': True}, {'skuId': 41677324, 'label': 'XL', 'inventory': 30, 'available': True}, {'skuId': 41677326, 'label': 'XXL', 'inventory': 30, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11970922/2020/7/15/5e7e8948-9060-409a-97a4-c02be130c1471594810730446-Anouk-Women-Tops-2281594810729084-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11970922/2020/7/15/5e7e8948-9060-409a-97a4-c02be130c1471594810730446-Anouk-Women-Tops-2281594810729084-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11970922/2020/7/15/3c57ff4b-4371-4de7-ae60-a2c5f3ec835a1594810730246-Anouk-Women-Tops-2281594810729084-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11970922/2020/7/15/3f7f9b4b-830e-4767-8038-88be5106d5a31594810730345-Anouk-Women-Tops-2281594810729084-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11970922/2020/7/15/23f0c92a-6861-484d-841d-36219d96a7db1594810730302-Anouk-Women-Tops-2281594810729084-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11970922/2020/7/15/6f0d915a-ce14-45b9-8186-59096fe785021594810730395-Anouk-Women-Tops-2281594810729084-2.jpg'}]",Women,Peach,Flat_Search_Percent,(50% OFF),Solid Pleated A-Line Top,Tops,999,499,,False,,0,1,,1594857600000,Summer,2020,False,,,0,,[],www.myntra.com/Tops/Anouk/Anouk-Women-Peach-Coloured-Solid-Pleated-A-Line-Top-With-Embroidered-Detailing/11970922/buy
