,landingPageUrl,loyaltyPointsEnabled,adId,isPLA,productId,product,productName,rating,ratingCount,isFastFashion,futureDiscountedPrice,futureDiscountStartDate,discount,brand,searchImage,effectiveDiscountPercentageAfterTax,effectiveDiscountAmountAfterTax,buyButtonWinnerSkuId,buyButtonWinnerSellerPartnerId,relatedStylesCount,relatedStylesType,productVideos,inventoryInfo,sizes,images,gender,primaryColour,discountLabel,discountDisplayLabel,additionalInfo,category,mrp,price,advanceOrderTag,colorVariantAvailable,productimagetag,listViews,discountType,tdBxGyText,catalogDate,season,year,isPersonalised,eorsPicksTag,personalizedCoupon,personalizedCouponValue,productMeta,systemAttributes,PAGE_URL_COMPLETE
0,Shirts/LOCOMOTIVE/LOCOMOTIVE-Men-Black--Grey-Slim-Fit-Checked-Casual-Shirt/10341699/buy,False,,False,10341699,LOCOMOTIVE Men Black & Grey Slim Fit Checked Casual Shirt,LOCOMOTIVE Men Black & Grey Slim Fit Checked Casual Shirt,3.882716,486,True,0,,1072,LOCOMOTIVE,http://assets.myntassets.com/assets/images/productimage/2019/7/27/110eefa8-e43b-4c42-85f7-83592dc9c9701564175877424-1.jpg,0,0,35303005,4076,0,,[],"[{'skuId': 35302979, 'label': '39', 'inventory': 378, 'available': True}, {'skuId': 35303003, 'label': '40', 'inventory': 547, 'available': True}, {'skuId': 35303005, 'label': '42', 'inventory': 444, 'available': True}, {'skuId': 35303009, 'label': '44', 'inventory': 196, 'available': True}]","39,40,42,44","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/7/27/110eefa8-e43b-4c42-85f7-83592dc9c9701564175877424-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/7/27/110eefa8-e43b-4c42-85f7-83592dc9c9701564175877424-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/7/27/d5ab5fa8-acb0-480f-9c42-0563343315491564175877586-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/7/27/e30af43e-5219-494e-bdb1-60b1c983c8f11564175877519-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/7/27/3d839ef7-e8fd-46a8-b6e2-012beed08aba1564175877558-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/7/27/9400debb-952d-4745-8fe2-d3ce5e98f5f41564175877476-2.jpg'}]",Men,Black,Flat_Search_Percent,(65% OFF),Men Slim Fit Casual Shirt,Shirts,1649,577,,False,,0,1,,1564012800000,Winter,2019,False,,,0,,[],www.myntra.com/Shirts/LOCOMOTIVE/LOCOMOTIVE-Men-Black--Grey-Slim-Fit-Checked-Casual-Shirt/10341699/buy
1,Shirts/WROGN/WROGN-Men-Green-Slim-Fit-Solid-Casual-Shirt/1758578/buy,False,,False,1758578,WROGN Men Green Slim Fit Solid Casual Shirt,WROGN Men Green Slim Fit Solid Casual Shirt,4.252427,103,True,0,,0,WROGN,http://assets.myntassets.com/assets/images/1758578/2017/5/12/11494569522819-WROGN-Men-Shirts-8521494569522516-1.jpg,0,0,12898797,4214,0,,[],"[{'skuId': 12898797, 'label': '39', 'inventory': 349, 'available': True}, {'skuId': 12898798, 'label': '40', 'inventory': 454, 'available': True}, {'skuId': 12898799, 'label': '42', 'inventory': 242, 'available': True}, {'skuId': 12898800, 'label': '44', 'inventory': 72, 'available': True}, {'skuId': 37062294, 'label': '46', 'inventory': 54, 'available': True}]","39,40,42,44,46","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/1758578/2017/5/12/11494569522819-WROGN-Men-Shirts-8521494569522516-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/1758578/2017/5/12/11494569522819-WROGN-Men-Shirts-8521494569522516-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/1758578/2017/5/12/11494569522717-WROGN-Men-Shirts-8521494569522516-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/1758578/2017/5/12/11494569522769-WROGN-Men-Shirts-8521494569522516-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/1758578/2017/5/12/11494569522794-WROGN-Men-Shirts-8521494569522516-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/1758578/2017/5/12/11494569522745-WROGN-Men-Shirts-8521494569522516-4.jpg'}]",Men,Green,,,Men Slim Fit Casual Shirt,Shirts,2099,2099,,False,,0,,,1494460800000,Summer,2019,False,,,0,,[],www.myntra.com/Shirts/WROGN/WROGN-Men-Green-Slim-Fit-Solid-Casual-Shirt/1758578/buy
2,Shirts/Mast--Harbour/Mast--Harbour-Men-Dusty-Pink-Regular-Fit-Dyed-Casual-Shirt/1352824/buy,False,,False,1352824,Mast & Harbour Men Dusty Pink Regular Fit Dyed Casual Shirt,Mast & Harbour Men Dusty Pink Regular Fit Dyed Casual Shirt,3.94,100,True,0,,0,Mast & Harbour,http://assets.myntassets.com/assets/images/1352824/2018/2/27/11519729743718-Mast--Harbour-Men-Dusty-Pink-Regular-Fit-Solid-Casual-Shirt-4521519729743501-1.jpg,0,0,11411487,4028,0,,[],"[{'skuId': 11411487, 'label': '38', 'inventory': 399, 'available': True}, {'skuId': 11411490, 'label': '40', 'inventory': 540, 'available': True}, {'skuId': 11411493, 'label': '42', 'inventory': 348, 'available': True}, {'skuId': 11411496, 'label': '44', 'inventory': 119, 'available': True}]","38,40,42,44","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/1352824/2018/2/27/11519729743718-Mast--Harbour-Men-Dusty-Pink-Regular-Fit-Solid-Casual-Shirt-4521519729743501-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/1352824/2018/2/27/11519729743718-Mast--Harbour-Men-Dusty-Pink-Regular-Fit-Solid-Casual-Shirt-4521519729743501-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/1352824/2018/2/27/11519729743626-Mast--Harbour-Men-Dusty-Pink-Regular-Fit-Solid-Casual-Shirt-4521519729743501-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/1352824/2018/2/27/11519729743672-Mast--Harbour-Men-Dusty-Pink-Regular-Fit-Solid-Casual-Shirt-4521519729743501-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/1352824/2018/2/27/11519729743650-Mast--Harbour-Men-Dusty-Pink-Regular-Fit-Solid-Casual-Shirt-4521519729743501-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/1352824/2018/2/27/11519729743694-Mast--Harbour-Men-Dusty-Pink-Regular-Fit-Solid-Casual-Shirt-4521519729743501-2.jpg'}]",Men,Pink,,,Cotton Dyed Casual Shirt,Shirts,1499,1499,,True,,0,,,1479340800000,Summer,2019,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Shirts/Mast--Harbour/Mast--Harbour-Men-Dusty-Pink-Regular-Fit-Dyed-Casual-Shirt/1352824/buy
3,Shirts/Roadster/Roadster-Men-Blue-Regular-Fit-Printed-Casual-Shirt/1364628/buy,False,,False,1364628,Roadster Men Blue Regular Fit Printed Casual Shirt,Roadster Men Blue Regular Fit Printed Casual Shirt,3.9097025,2824,True,0,,240,Roadster,http://assets.myntassets.com/assets/images/1364628/2016/8/31/11472636737718-Roadster-Men-Blue-Regular-Fit-Printed-Casual-Shirt-6121472636737160-1.jpg,0,0,40259672,4118,0,,[],"[{'skuId': 11528877, 'label': '38', 'inventory': 1301, 'available': True}, {'skuId': 11528878, 'label': '40', 'inventory': 2090, 'available': True}, {'skuId': 11528879, 'label': '42', 'inventory': 1347, 'available': True}, {'skuId': 11528880, 'label': '44', 'inventory': 735, 'available': True}, {'skuId': 40259672, 'label': '46', 'inventory': 117, 'available': True}, {'skuId': 40259674, 'label': '48', 'inventory': 120, 'available': True}]","38,40,42,44,46,48","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/1364628/2016/8/31/11472636737718-Roadster-Men-Blue-Regular-Fit-Printed-Casual-Shirt-6121472636737160-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/1364628/2016/8/31/11472636737718-Roadster-Men-Blue-Regular-Fit-Printed-Casual-Shirt-6121472636737160-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/1364628/2016/8/31/11472636737616-Roadster-Men-Blue-Regular-Fit-Printed-Casual-Shirt-6121472636737160-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/1364628/2016/8/31/11472636737673-Roadster-Men-Blue-Regular-Fit-Printed-Casual-Shirt-6121472636737160-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/1364628/2016/8/31/11472636737697-Roadster-Men-Blue-Regular-Fit-Printed-Casual-Shirt-6121472636737160-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/1364628/2016/8/31/11472636737656-Roadster-Men-Blue-Regular-Fit-Printed-Casual-Shirt-6121472636737160-4.jpg'}]",Men,Blue,Flat_Search_Percent,(20% OFF),Printed Casual Shirt,Shirts,1199,959,,False,,0,1,,1472083200000,Summer,2019,False,,,0,,[],www.myntra.com/Shirts/Roadster/Roadster-Men-Blue-Regular-Fit-Printed-Casual-Shirt/1364628/buy
4,Shirts/HIGHLANDER/HIGHLANDER-Men-Navy--Brown-Slim-Fit-Checked-Casual-Shirt/1979305/buy,False,,False,1979305,HIGHLANDER Men Navy & Brown Slim Fit Checked Casual Shirt,HIGHLANDER Men Navy & Brown Slim Fit Checked Casual Shirt,4.005146,1166,True,0,,390,HIGHLANDER,http://assets.myntassets.com/assets/images/1979305/2018/4/3/11522753438599-HIGHLANDER-Men-Navy-Slim-Fit-Checked-Casual-Shirt-221522753438432-1.jpg,0,0,13717342,4214,0,,[],"[{'skuId': 13717299, 'label': '39', 'inventory': 264, 'available': True}, {'skuId': 13717300, 'label': '40', 'inventory': 123, 'available': True}, {'skuId': 13717317, 'label': '42', 'inventory': 66, 'available': True}, {'skuId': 13717342, 'label': '44', 'inventory': 289, 'available': True}]","39,40,42,44","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/1979305/2018/4/3/11522753438599-HIGHLANDER-Men-Navy-Slim-Fit-Checked-Casual-Shirt-221522753438432-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/1979305/2018/4/3/11522753438599-HIGHLANDER-Men-Navy-Slim-Fit-Checked-Casual-Shirt-221522753438432-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/1979305/2018/4/3/11522753438538-HIGHLANDER-Men-Navy-Slim-Fit-Checked-Casual-Shirt-221522753438432-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/1979305/2018/4/3/11522753438567-HIGHLANDER-Men-Navy-Slim-Fit-Checked-Casual-Shirt-221522753438432-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/1979305/2018/4/3/11522753438553-HIGHLANDER-Men-Navy-Slim-Fit-Checked-Casual-Shirt-221522753438432-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/1979305/2018/4/3/11522753438584-HIGHLANDER-Men-Navy-Slim-Fit-Checked-Casual-Shirt-221522753438432-2.jpg'}]",Men,Navy Blue,Flat_Search_Percent,(39% OFF),Men Slim Fit Casual Shirt,Shirts,999,609,,False,,0,1,,1498694400000,Summer,2019,False,,,0,,[],www.myntra.com/Shirts/HIGHLANDER/HIGHLANDER-Men-Navy--Brown-Slim-Fit-Checked-Casual-Shirt/1979305/buy
5,Shirts/Mast--Harbour/Mast--Harbour-Men-Red--Blue-Checked-Casual-Shirt/2042528/buy,False,,False,2042528,Mast & Harbour Men Red & Blue Checked Casual Shirt,Mast & Harbour Men Red & Blue Checked Casual Shirt,4.2708335,480,True,0,,0,Mast & Harbour,http://assets.myntassets.com/assets/images/2042528/2017/9/28/11506599316866-Mast--Harbour-Men-Red--Blue-Regular-Fit-Checked-Casual-Shirt-7991506599316924-1.jpg,0,0,13945548,4028,0,,[],"[{'skuId': 13945545, 'label': '38', 'inventory': 174, 'available': True}, {'skuId': 13945546, 'label': '40', 'inventory': 246, 'available': True}, {'skuId': 13945547, 'label': '42', 'inventory': 131, 'available': True}, {'skuId': 13945548, 'label': '44', 'inventory': 48, 'available': True}]","38,40,42,44","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/2042528/2017/9/28/11506599316866-Mast--Harbour-Men-Red--Blue-Regular-Fit-Checked-Casual-Shirt-7991506599316924-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/2042528/2017/9/28/11506599316866-Mast--Harbour-Men-Red--Blue-Regular-Fit-Checked-Casual-Shirt-7991506599316924-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/2042528/2017/9/28/11506599316667-Mast--Harbour-Men-Red--Blue-Regular-Fit-Checked-Casual-Shirt-7991506599316924-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/2042528/2017/9/28/11506599316823-Mast--Harbour-Men-Red--Blue-Regular-Fit-Checked-Casual-Shirt-7991506599316924-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/2042528/2017/9/28/11506599316846-Mast--Harbour-Men-Red--Blue-Regular-Fit-Checked-Casual-Shirt-7991506599316924-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/2042528/2017/9/28/11506599316798-Mast--Harbour-Men-Red--Blue-Regular-Fit-Checked-Casual-Shirt-7991506599316924-4.jpg'}]",Men,Red,,,Men Casual Shirt,Shirts,1899,1899,,False,,0,,,1506556800000,Summer,2019,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Shirts/Mast--Harbour/Mast--Harbour-Men-Red--Blue-Checked-Casual-Shirt/2042528/buy
6,Shirts/LOCOMOTIVE/LOCOMOTIVE-Men-Blue-Slim-Fit-Faded-Denim-Casual-Shirt/5509108/buy,False,,False,5509108,LOCOMOTIVE Men Blue Slim Fit Faded Denim Casual Shirt,LOCOMOTIVE Men Blue Slim Fit Faded Denim Casual Shirt,4.0,9,True,0,,1037,LOCOMOTIVE,http://assets.myntassets.com/assets/images/5509108/2018/10/12/590fd307-c1b7-44e9-899e-03889598355c1539332659663-LOCOMOTIVE-Men-Blue-Slim-Fit-Faded-Denim-Casual-Shirt-404153-1.jpg,0,0,26480238,4076,0,,[],"[{'skuId': 26480237, 'label': '39', 'inventory': 105, 'available': True}, {'skuId': 26480238, 'label': '40', 'inventory': 117, 'available': True}, {'skuId': 26480239, 'label': '42', 'inventory': 70, 'available': True}, {'skuId': 26480240, 'label': '44', 'inventory': 49, 'available': True}]","39,40,42,44","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/5509108/2018/10/12/590fd307-c1b7-44e9-899e-03889598355c1539332659663-LOCOMOTIVE-Men-Blue-Slim-Fit-Faded-Denim-Casual-Shirt-404153-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/5509108/2018/10/12/590fd307-c1b7-44e9-899e-03889598355c1539332659663-LOCOMOTIVE-Men-Blue-Slim-Fit-Faded-Denim-Casual-Shirt-404153-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/5509108/2018/10/12/579fe30d-68d3-4582-9897-e74bfd50e5161539332659594-LOCOMOTIVE-Men-Blue-Slim-Fit-Faded-Denim-Casual-Shirt-404153-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/5509108/2018/10/12/4ed3dd72-508a-47c3-ad80-0237714a358b1539332659625-LOCOMOTIVE-Men-Blue-Slim-Fit-Faded-Denim-Casual-Shirt-404153-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/5509108/2018/10/12/edf0d982-8e18-4c10-997b-d4a1c83bd6fc1539332659643-LOCOMOTIVE-Men-Blue-Slim-Fit-Faded-Denim-Casual-Shirt-404153-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/5509108/2018/10/12/b44fee2e-7127-4130-82e8-a43ebe68668f1539332659606-LOCOMOTIVE-Men-Blue-Slim-Fit-Faded-Denim-Casual-Shirt-404153-4.jpg'}]",Men,Blue,Flat_Search_Percent,(61% OFF),Men Slim Fit Casual Shirt,Shirts,1699,662,,False,,0,1,,1524096000000,Summer,2019,False,,,0,,[],www.myntra.com/Shirts/LOCOMOTIVE/LOCOMOTIVE-Men-Blue-Slim-Fit-Faded-Denim-Casual-Shirt/5509108/buy
7,Shirts/Roadster/Roadster-Men-Blue-Regular-Fit-Faded-Casual-Denim-Shirt/1353004/buy,False,,False,1353004,Roadster Men Blue Regular Fit Faded Casual Denim Shirt,Roadster Men Blue Regular Fit Faded Casual Denim Shirt,4.1587057,649,True,0,,0,Roadster,http://assets.myntassets.com/assets/images/1353004/2018/9/18/a8acac3a-077a-400f-a1c7-519215a5265e1537251707732-Roadster-Men-Blue-Denim-Washed-Casual-Shirt-5281537251705552-1.jpg,0,0,11413860,4118,0,,[],"[{'skuId': 11413860, 'label': '38', 'inventory': 280, 'available': True}, {'skuId': 11413863, 'label': '40', 'inventory': 502, 'available': True}, {'skuId': 11413866, 'label': '42', 'inventory': 283, 'available': True}, {'skuId': 11413869, 'label': '44', 'inventory': 190, 'available': True}, {'skuId': 40259664, 'label': '46', 'inventory': 7, 'available': True}, {'skuId': 40259666, 'label': '48', 'inventory': 12, 'available': True}]","38,40,42,44,46,48","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/1353004/2018/9/18/a8acac3a-077a-400f-a1c7-519215a5265e1537251707732-Roadster-Men-Blue-Denim-Washed-Casual-Shirt-5281537251705552-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/1353004/2018/9/18/a8acac3a-077a-400f-a1c7-519215a5265e1537251707732-Roadster-Men-Blue-Denim-Washed-Casual-Shirt-5281537251705552-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/1353004/2018/9/18/744050c0-c7c2-4c4c-930b-cca88ebb26261537251707546-Roadster-Men-Blue-Denim-Washed-Casual-Shirt-5281537251705552-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/1353004/2018/9/18/046494d5-ffc9-44aa-8be5-1888422e6cec1537251707652-Roadster-Men-Blue-Denim-Washed-Casual-Shirt-5281537251705552-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/1353004/2018/9/18/a244d74f-063b-4c7d-953e-5b7b3e4c28571537251707589-Roadster-Men-Blue-Denim-Washed-Casual-Shirt-5281537251705552-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/1353004/2018/9/18/7346f923-527a-4c29-9468-7f02e2f8332f1537251707694-Roadster-Men-Blue-Denim-Washed-Casual-Shirt-5281537251705552-2.jpg'}]",Men,Blue,,,Regular Fit Casual Denim Shirt,Shirts,1499,1499,,False,,0,,,1472688000000,Summer,2019,False,,,0,,[],www.myntra.com/Shirts/Roadster/Roadster-Men-Blue-Regular-Fit-Faded-Casual-Denim-Shirt/1353004/buy
8,Shirts/HM/HM-Men-Beige--Green-Checked-Shirt-Regular-Fit/11626748/buy,False,,False,11626748,H&M Men Beige & Green Checked Shirt Regular Fit,H&M Men Beige & Green Checked Shirt Regular Fit,4.293103,116,True,0,,750,H&M,http://assets.myntassets.com/assets/images/11626748/2020/6/19/b9e63c78-c6da-449e-b765-ecbafedaf8751592548582584HMMenBeigeGreenCheckedShirtRegularFit1.jpg,0,0,40413316,6771,0,,[],"[{'skuId': 40413316, 'label': '36', 'inventory': 171, 'available': True}, {'skuId': 40413324, 'label': '38', 'inventory': 207, 'available': True}, {'skuId': 40413326, 'label': '40', 'inventory': 86, 'available': True}, {'skuId': 40413330, 'label': '42', 'inventory': 96, 'available': True}, {'skuId': 40413332, 'label': '44', 'inventory': 76, 'available': True}]","36,38,40,42,44","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11626748/2020/6/19/b9e63c78-c6da-449e-b765-ecbafedaf8751592548582584HMMenBeigeGreenCheckedShirtRegularFit1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11626748/2020/6/19/b9e63c78-c6da-449e-b765-ecbafedaf8751592548582584HMMenBeigeGreenCheckedShirtRegularFit1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11626748/2020/6/19/870531df-f499-4766-a426-6b0368de04fd1592548582817HMMenBeigeGreenCheckedShirtRegularFit5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11626748/2020/6/19/42616e20-589d-43b9-a045-1dfdb80fba941592548582702HMMenBeigeGreenCheckedShirtRegularFit3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11626748/2020/6/19/0d416fc3-3be0-42da-8895-49a1778d65c91592548582642HMMenBeigeGreenCheckedShirtRegularFit2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11626748/2020/6/19/2653bacf-7a8d-4b5d-89ea-d7ba39bb1c9f1592548582751HMMenBeigeGreenCheckedShirtRegularFit4.jpg'}]",Men,Beige,Flat_Search_Percent,(50% OFF),Men Shirt Regular Fit,Shirts,1499,749,,False,,0,1,,1582761600000,Summer,2020,False,,,0,,[],www.myntra.com/Shirts/HM/HM-Men-Beige--Green-Checked-Shirt-Regular-Fit/11626748/buy
9,Shirts/HIGHLANDER/Highlander-White-Slim-Fit-Casual-Shirt/1272502/buy,False,23:pla_1595680198499,True,1272502,Highlander White Slim Fit Casual Shirt,Highlander White Slim Fit Casual Shirt,4.1538463,1326,True,0,,500,HIGHLANDER,http://assets.myntassets.com/assets/images/1272502/2018/2/5/11517823086440-Highlander-White-Slim-Fit-Casual-Shirt-161517823086304-1.jpg,0,0,10534982,4214,0,,[],"[{'skuId': 10534970, 'label': '39', 'inventory': 878, 'available': True}, {'skuId': 10534982, 'label': '40', 'inventory': 1344, 'available': True}, {'skuId': 10534973, 'label': '42', 'inventory': 946, 'available': True}, {'skuId': 10534976, 'label': '44', 'inventory': 1756, 'available': True}, {'skuId': 10534979, 'label': '46', 'inventory': 0, 'available': False}]","39,40,42,44","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/1272502/2018/2/5/11517823086440-Highlander-White-Slim-Fit-Casual-Shirt-161517823086304-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/1272502/2018/2/5/11517823086440-Highlander-White-Slim-Fit-Casual-Shirt-161517823086304-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/1272502/2018/2/5/11517823086369-Highlander-White-Slim-Fit-Casual-Shirt-161517823086304-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/1272502/2018/2/5/11517823086408-Highlander-White-Slim-Fit-Casual-Shirt-161517823086304-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/1272502/2018/2/5/11517823086391-Highlander-White-Slim-Fit-Casual-Shirt-161517823086304-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/1272502/2018/2/5/11517823086423-Highlander-White-Slim-Fit-Casual-Shirt-161517823086304-2.jpg'}]",Men,White,Flat_Search_Percent,(50% OFF),Slim Casual Shirt,Shirts,999,499,,True,,0,1,,1461196800000,Summer,2019,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Shirts/HIGHLANDER/Highlander-White-Slim-Fit-Casual-Shirt/1272502/buy
