,landingPageUrl,loyaltyPointsEnabled,adId,isPLA,productId,product,productName,rating,ratingCount,isFastFashion,futureDiscountedPrice,futureDiscountStartDate,discount,brand,searchImage,effectiveDiscountPercentageAfterTax,effectiveDiscountAmountAfterTax,buyButtonWinnerSkuId,buyButtonWinnerSellerPartnerId,relatedStylesCount,relatedStylesType,productVideos,inventoryInfo,sizes,images,gender,primaryColour,discountLabel,discountDisplayLabel,additionalInfo,category,mrp,price,advanceOrderTag,colorVariantAvailable,productimagetag,listViews,discountType,tdBxGyText,catalogDate,season,year,isPersonalised,eorsPicksTag,personalizedCoupon,personalizedCouponValue,productMeta,systemAttributes,PAGE_URL_COMPLETE
0,Trousers/HIGHLANDER/HIGHLANDER-Men-Grey-Tapered-Fit-Solid-Chinos/2290040/buy,False,,False,2290040,HIGHLANDER Men Grey Tapered Fit Solid Chinos,HIGHLANDER Men Grey Tapered Fit Solid Chinos,3.8477478,1110,True,0,,713,HIGHLANDER,http://assets.myntassets.com/assets/images/2290040/2018/2/7/11517998926396-HIGHLANDER-Men-Grey-Tapered-Fit-Solid-Chinos-5971517998926206-1.jpg,0,0,14880509,4214,0,,[],"[{'skuId': 14880509, 'label': '30', 'inventory': 592, 'available': True}, {'skuId': 14880510, 'label': '32', 'inventory': 971, 'available': True}, {'skuId': 14880511, 'label': '34', 'inventory': 654, 'available': True}, {'skuId': 14880512, 'label': '36', 'inventory': 238, 'available': True}]","30,32,34,36","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/2290040/2018/2/7/11517998926396-HIGHLANDER-Men-Grey-Tapered-Fit-Solid-Chinos-5971517998926206-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/2290040/2018/2/7/11517998926396-HIGHLANDER-Men-Grey-Tapered-Fit-Solid-Chinos-5971517998926206-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/2290040/2018/2/7/11517998926307-HIGHLANDER-Men-Grey-Tapered-Fit-Solid-Chinos-5971517998926206-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/2290040/2018/2/7/11517998926355-HIGHLANDER-Men-Grey-Tapered-Fit-Solid-Chinos-5971517998926206-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/2290040/2018/2/7/11517998926379-HIGHLANDER-Men-Grey-Tapered-Fit-Solid-Chinos-5971517998926206-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/2290040/2018/2/7/11517998926331-HIGHLANDER-Men-Grey-Tapered-Fit-Solid-Chinos-5971517998926206-4.jpg'}]",Men,Grey,Flat_Search_Percent,(46% OFF),Men Tapered Fit Chinos,Trousers,1549,836,,False,,0,1,,1511395200000,Summer,2019,False,,,0,,[],www.myntra.com/Trousers/HIGHLANDER/HIGHLANDER-Men-Grey-Tapered-Fit-Solid-Chinos/2290040/buy
1,Trousers/HIGHLANDER/HIGHLANDER-Men-Grey-Tapered-Fit-Solid-Cropped-Chinos/3881067/buy,False,,False,3881067,HIGHLANDER Men Grey Tapered Fit Solid Cropped Chinos,HIGHLANDER Men Grey Tapered Fit Solid Cropped Chinos,4.022942,741,True,0,,806,HIGHLANDER,http://assets.myntassets.com/assets/images/3881067/2019/8/22/49ab3004-c048-48d0-ba20-167118df26141566479254643-HIGHLANDER-Men-Grey-Tapered-Fit-Solid-Cropped-Chinos-8521566-1.jpg,0,0,21005856,4214,0,,[],"[{'skuId': 21005856, 'label': '30', 'inventory': 121, 'available': True}, {'skuId': 21005862, 'label': '32', 'inventory': 300, 'available': True}, {'skuId': 21005869, 'label': '34', 'inventory': 220, 'available': True}, {'skuId': 21005875, 'label': '36', 'inventory': 131, 'available': True}]","30,32,34,36","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/3881067/2019/8/22/49ab3004-c048-48d0-ba20-167118df26141566479254643-HIGHLANDER-Men-Grey-Tapered-Fit-Solid-Cropped-Chinos-8521566-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/3881067/2019/8/22/49ab3004-c048-48d0-ba20-167118df26141566479254643-HIGHLANDER-Men-Grey-Tapered-Fit-Solid-Cropped-Chinos-8521566-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/3881067/2019/8/22/707f323e-ec65-4df5-b815-2f5d15b260a91566479254540-HIGHLANDER-Men-Grey-Tapered-Fit-Solid-Cropped-Chinos-8521566-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/3881067/2019/8/22/8fe7bfe9-aa3e-4042-8d52-c80c8e4cfe881566479254590-HIGHLANDER-Men-Grey-Tapered-Fit-Solid-Cropped-Chinos-8521566-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/3881067/2019/8/22/c24f7a4e-406e-484e-9c6e-af4d857e5dc81566479254618-HIGHLANDER-Men-Grey-Tapered-Fit-Solid-Cropped-Chinos-8521566-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/3881067/2019/8/22/cf3154d7-8f3c-46c0-924f-f899debcea181566479254565-HIGHLANDER-Men-Grey-Tapered-Fit-Solid-Cropped-Chinos-8521566-4.jpg'}]",Men,Grey,Flat_Search_Percent,(52% OFF),Men Tapered Fit Chinos,Trousers,1549,743,,False,,0,1,,1521072000000,Summer,2019,False,,,0,,[],www.myntra.com/Trousers/HIGHLANDER/HIGHLANDER-Men-Grey-Tapered-Fit-Solid-Cropped-Chinos/3881067/buy
2,Trousers/HIGHLANDER/HIGHLANDER-Men-Olive-Green-Tapered-Fit-Solid-Chinos/3881074/buy,False,,False,3881074,HIGHLANDER Men Olive Green Tapered Fit Solid Chinos,HIGHLANDER Men Olive Green Tapered Fit Solid Chinos,4.0596747,553,True,0,,852,HIGHLANDER,http://assets.myntassets.com/assets/images/3881074/2019/8/22/988836a1-a96e-40b8-b1a0-d63c45e168ce1566479264535-HIGHLANDER-Men-Olive-Green-Tapered-Fit-Solid-Chinos-80015664-1.jpg,0,0,21005888,4214,0,,[],"[{'skuId': 21005882, 'label': '30', 'inventory': 30, 'available': True}, {'skuId': 21005888, 'label': '32', 'inventory': 90, 'available': True}, {'skuId': 21005906, 'label': '34', 'inventory': 43, 'available': True}, {'skuId': 21005919, 'label': '36', 'inventory': 44, 'available': True}]","30,32,34,36","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/3881074/2019/8/22/988836a1-a96e-40b8-b1a0-d63c45e168ce1566479264535-HIGHLANDER-Men-Olive-Green-Tapered-Fit-Solid-Chinos-80015664-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/3881074/2019/8/22/988836a1-a96e-40b8-b1a0-d63c45e168ce1566479264535-HIGHLANDER-Men-Olive-Green-Tapered-Fit-Solid-Chinos-80015664-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/3881074/2019/8/22/52b0280e-789b-49fa-8f4d-9bd171870f011566479264437-HIGHLANDER-Men-Olive-Green-Tapered-Fit-Solid-Chinos-80015664-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/3881074/2019/8/22/4c6c79f0-c35e-467c-a99e-7b9bb0be47a71566479264483-HIGHLANDER-Men-Olive-Green-Tapered-Fit-Solid-Chinos-80015664-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/3881074/2019/8/22/7786e57b-90fc-4e8d-a0de-cb2359ef7d7d1566479264459-HIGHLANDER-Men-Olive-Green-Tapered-Fit-Solid-Chinos-80015664-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/3881074/2019/8/22/7ef03131-289a-4f70-b9d6-7469270eb0a71566479264508-HIGHLANDER-Men-Olive-Green-Tapered-Fit-Solid-Chinos-80015664-2.jpg'}]",Men,Olive,Flat_Search_Percent,(55% OFF),Men Tapered Fit Chinos,Trousers,1549,697,,False,,0,1,,1521676800000,Summer,2019,False,,,0,,[],www.myntra.com/Trousers/HIGHLANDER/HIGHLANDER-Men-Olive-Green-Tapered-Fit-Solid-Chinos/3881074/buy
3,Trousers/Roadster/Roadster-Men-Green-Regular-Fit-Solid-Joggers/1923646/buy,False,,False,1923646,Roadster Men Green Regular Fit Solid Joggers,Roadster Men Green Regular Fit Solid Joggers,3.6607144,168,True,0,,475,Roadster,http://assets.myntassets.com/assets/images/1923646/2018/10/9/4047301c-1394-4f63-8110-4db695b893e71539082423667-Roadster-Men-Green-Regular-Fit-Solid-Joggers-187153908242205-1.jpg,0,0,13516339,4118,0,,[],"[{'skuId': 13516337, 'label': '28', 'inventory': 102, 'available': True}, {'skuId': 13516338, 'label': '30', 'inventory': 338, 'available': True}, {'skuId': 13516339, 'label': '32', 'inventory': 473, 'available': True}, {'skuId': 13516340, 'label': '34', 'inventory': 388, 'available': True}, {'skuId': 13516341, 'label': '36', 'inventory': 201, 'available': True}]","28,30,32,34,36","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/1923646/2018/10/9/4047301c-1394-4f63-8110-4db695b893e71539082423667-Roadster-Men-Green-Regular-Fit-Solid-Joggers-187153908242205-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/1923646/2018/10/9/4047301c-1394-4f63-8110-4db695b893e71539082423667-Roadster-Men-Green-Regular-Fit-Solid-Joggers-187153908242205-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/1923646/2018/10/9/73485234-1956-44ac-8e5a-cefa564084f21539082423605-Roadster-Men-Green-Regular-Fit-Solid-Joggers-187153908242205-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/1923646/2018/10/9/5aad459e-c57e-4aa8-86a1-6f94e856a4ba1539082423633-Roadster-Men-Green-Regular-Fit-Solid-Joggers-187153908242205-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/1923646/2018/10/9/d431522a-56b0-4df9-99ac-41d41cd700131539082423616-Roadster-Men-Green-Regular-Fit-Solid-Joggers-187153908242205-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/1923646/2018/10/9/0cc706a3-ad21-422c-811a-e67f93e2fec11539082423650-Roadster-Men-Green-Regular-Fit-Solid-Joggers-187153908242205-2.jpg'}]",Men,Green,Flat_Search_Percent,(25% OFF),Men Regular Fit Joggers,Trousers,1899,1424,,False,,0,1,,1503532800000,Summer,2019,False,,,0,,[],www.myntra.com/Trousers/Roadster/Roadster-Men-Green-Regular-Fit-Solid-Joggers/1923646/buy
4,Trousers/HM/HM-Men-Beige-Cotton-Chinos/12083910/buy,False,,False,12083910,H&M Men Beige Cotton Chinos,H&M Men Beige Cotton Chinos,4.0,1,True,0,,650,H&M,http://assets.myntassets.com/assets/images/12083910/2020/7/14/63068e4b-2896-4073-ae6f-c8aaef1698ae1594724508753Cottonchinos1.jpg,0,0,42073604,6771,0,,[],"[{'skuId': 42073594, 'label': '28', 'inventory': 13, 'available': True}, {'skuId': 42073604, 'label': '31', 'inventory': 13, 'available': True}, {'skuId': 42073600, 'label': '34', 'inventory': 3, 'available': True}, {'skuId': 42073614, 'label': '38', 'inventory': 54, 'available': True}, {'skuId': 42073590, 'label': '41', 'inventory': 15, 'available': True}, {'skuId': 42073610, 'label': '44', 'inventory': 0, 'available': False}]","28,31,34,38,41","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12083910/2020/7/14/63068e4b-2896-4073-ae6f-c8aaef1698ae1594724508753Cottonchinos1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12083910/2020/7/14/63068e4b-2896-4073-ae6f-c8aaef1698ae1594724508753Cottonchinos1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12083910/2020/7/14/5e781730-b2c5-47ea-a109-a1454dba0fa31594724513605Cottonchinos5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12083910/2020/7/14/0fbb5743-bfe4-49a3-9440-fd65f1aa79bd1594724511309Cottonchinos3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12083910/2020/7/14/7e85ac38-7290-443a-b817-66d4ab1ddc901594724512401Cottonchinos4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12083910/2020/7/14/9f541a20-2442-4247-ba84-596b1b1f68d91594724509994Cottonchinos2.jpg'}]",Men,Beige,Flat_Search_Percent,(50% OFF),Cotton Chinos,Trousers,1299,649,,False,,0,1,,1594252800000,Summer,2020,False,,,0,,[],www.myntra.com/Trousers/HM/HM-Men-Beige-Cotton-Chinos/12083910/buy
5,Trousers/HIGHLANDER/HIGHLANDER-Men-Olive-Green-Slim-Fit-Solid-Cargos/8098455/buy,False,,False,8098455,HIGHLANDER Men Olive Green Slim Fit Solid Cargos,HIGHLANDER Men Olive Green Slim Fit Solid Cargos,4.207127,449,True,0,,870,HIGHLANDER,http://assets.myntassets.com/assets/images/productimage/2018/12/5/ff6ebbdb-7c4f-4e70-9c1d-d734a2525f571544001241540-1.jpg,0,0,32624923,4214,0,,[],"[{'skuId': 32624923, 'label': '30', 'inventory': 75, 'available': True}, {'skuId': 32624926, 'label': '32', 'inventory': 123, 'available': True}, {'skuId': 32624927, 'label': '34', 'inventory': 58, 'available': True}, {'skuId': 32624928, 'label': '36', 'inventory': 22, 'available': True}]","30,32,34,36","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2018/12/5/ff6ebbdb-7c4f-4e70-9c1d-d734a2525f571544001241540-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2018/12/5/ff6ebbdb-7c4f-4e70-9c1d-d734a2525f571544001241540-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2018/12/5/2b1724ed-722f-4357-85c1-10c29453bfd01544001241648-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2018/12/5/47b2e4d1-c434-40e5-bff0-a6e028e3729c1544001241588-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2018/12/5/666d6c8b-c6ac-4a04-930f-76c6791d18e61544001241563-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2018/12/5/8ccb102a-1cbe-4faf-afb5-6fd358a2eb6c1544001241613-4.jpg'}]",Men,Olive,Flat_Search_Percent,(47% OFF),Men Slim Fit Cargos,Trousers,1849,979,,False,,0,1,,1544054400000,Summer,2019,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Trousers/HIGHLANDER/HIGHLANDER-Men-Olive-Green-Slim-Fit-Solid-Cargos/8098455/buy
6,Trousers/HIGHLANDER/HIGHLANDER-Men-Black-Slim-Fit-Solid-Cargos/8158623/buy,False,,False,8158623,HIGHLANDER Men Black Slim Fit Solid Cargos,HIGHLANDER Men Black Slim Fit Solid Cargos,4.121951,164,True,0,,1036,HIGHLANDER,http://assets.myntassets.com/assets/images/8158623/2018/12/10/652871ab-5fea-4a9b-9612-ec0b012b95871544435868678-HIGHLANDER-Black-4011544435865519-1.jpg,0,0,32674361,4214,0,,[],"[{'skuId': 32674357, 'label': '30', 'inventory': 72, 'available': True}, {'skuId': 32674361, 'label': '32', 'inventory': 171, 'available': True}, {'skuId': 32674372, 'label': '34', 'inventory': 87, 'available': True}, {'skuId': 32674374, 'label': '36', 'inventory': 34, 'available': True}]","30,32,34,36","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/8158623/2018/12/10/652871ab-5fea-4a9b-9612-ec0b012b95871544435868678-HIGHLANDER-Black-4011544435865519-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/8158623/2018/12/10/652871ab-5fea-4a9b-9612-ec0b012b95871544435868678-HIGHLANDER-Black-4011544435865519-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/8158623/2018/12/10/869f18bc-c4f7-4ff1-b652-7df42aa6e2d41544435868565-HIGHLANDER-Black-4011544435865519-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/8158623/2018/12/10/20750e7c-a4c5-4213-92a7-1676d63e60e01544435868624-HIGHLANDER-Black-4011544435865519-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/8158623/2018/12/10/ed07e95c-812f-4cb5-a366-5c1018229f531544435868594-HIGHLANDER-Black-4011544435865519-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/8158623/2018/12/10/a6e1a398-19b0-4124-92ae-dc903d1b34ed1544435868654-HIGHLANDER-Black-4011544435865519-2.jpg'}]",Men,Black,Flat_Search_Percent,(56% OFF),Men Slim Fit Cargos,Trousers,1849,813,,False,,0,1,,1544054400000,Summer,2019,False,,,0,,[],www.myntra.com/Trousers/HIGHLANDER/HIGHLANDER-Men-Black-Slim-Fit-Solid-Cargos/8158623/buy
7,Trousers/HIGHLANDER/HIGHLANDER-Men-Blue-Slim-Fit-Solid-Joggers/5125963/buy,False,,False,5125963,HIGHLANDER Men Blue Slim Fit Solid Joggers,HIGHLANDER Men Blue Slim Fit Solid Joggers,3.9582174,359,True,0,,874,HIGHLANDER,http://assets.myntassets.com/assets/images/5125963/2019/8/22/4cb48e4a-3ead-46ad-a93e-309f0f54c63f1566479360504-HIGHLANDER-Men-Blue-Slim-Fit-Solid-Joggers-8321566479358911-1.jpg,0,0,25074086,4214,0,,[],"[{'skuId': 25074086, 'label': '30', 'inventory': 119, 'available': True}, {'skuId': 25074087, 'label': '32', 'inventory': 109, 'available': True}, {'skuId': 25074088, 'label': '34', 'inventory': 116, 'available': True}, {'skuId': 25074089, 'label': '36', 'inventory': 59, 'available': True}]","30,32,34,36","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/5125963/2019/8/22/4cb48e4a-3ead-46ad-a93e-309f0f54c63f1566479360504-HIGHLANDER-Men-Blue-Slim-Fit-Solid-Joggers-8321566479358911-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/5125963/2019/8/22/4cb48e4a-3ead-46ad-a93e-309f0f54c63f1566479360504-HIGHLANDER-Men-Blue-Slim-Fit-Solid-Joggers-8321566479358911-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/5125963/2019/8/22/0c92bb93-5c8c-4c6a-aade-1d8dffdf6d2f1566479360399-HIGHLANDER-Men-Blue-Slim-Fit-Solid-Joggers-8321566479358911-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/5125963/2019/8/22/06413601-ef10-42da-988e-43abf03ec39f1566479360452-HIGHLANDER-Men-Blue-Slim-Fit-Solid-Joggers-8321566479358911-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/5125963/2019/8/22/c89fc809-d18c-4040-973a-43cdf961143c1566479360424-HIGHLANDER-Men-Blue-Slim-Fit-Solid-Joggers-8321566479358911-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/5125963/2019/8/22/0aca238f-7afc-4aa0-90a7-23c52305d4351566479360479-HIGHLANDER-Men-Blue-Slim-Fit-Solid-Joggers-8321566479358911-2.jpg'}]",Men,Blue,Flat_Search_Percent,(53% OFF),Men Slim Fit Joggers,Trousers,1649,775,,False,,0,1,,1523491200000,Summer,2019,False,,,0,,[],www.myntra.com/Trousers/HIGHLANDER/HIGHLANDER-Men-Blue-Slim-Fit-Solid-Joggers/5125963/buy
8,Trousers/HIGHLANDER/HIGHLANDER-Men-Khaki-Tapered-Fit-Solid-Chinos/2290043/buy,False,,False,2290043,HIGHLANDER Men Khaki Tapered Fit Solid Chinos,HIGHLANDER Men Khaki Tapered Fit Solid Chinos,3.966265,415,True,0,,806,HIGHLANDER,http://assets.myntassets.com/assets/images/2290043/2018/2/7/11517998932670-HIGHLANDER-Men-Khaki-Tapered-Fit-Solid-Chinos-8701517998932466-1.jpg,0,0,14880521,4214,0,,[],"[{'skuId': 14880521, 'label': '30', 'inventory': 108, 'available': True}, {'skuId': 14880522, 'label': '32', 'inventory': 211, 'available': True}, {'skuId': 14880523, 'label': '34', 'inventory': 85, 'available': True}, {'skuId': 14880524, 'label': '36', 'inventory': 119, 'available': True}]","30,32,34,36","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/2290043/2018/2/7/11517998932670-HIGHLANDER-Men-Khaki-Tapered-Fit-Solid-Chinos-8701517998932466-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/2290043/2018/2/7/11517998932670-HIGHLANDER-Men-Khaki-Tapered-Fit-Solid-Chinos-8701517998932466-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/2290043/2018/2/7/11517998932588-HIGHLANDER-Men-Khaki-Tapered-Fit-Solid-Chinos-8701517998932466-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/2290043/2018/2/7/11517998932628-HIGHLANDER-Men-Khaki-Tapered-Fit-Solid-Chinos-8701517998932466-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/2290043/2018/2/7/11517998932648-HIGHLANDER-Men-Khaki-Tapered-Fit-Solid-Chinos-8701517998932466-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/2290043/2018/2/7/11517998932607-HIGHLANDER-Men-Khaki-Tapered-Fit-Solid-Chinos-8701517998932466-4.jpg'}]",Men,Khaki,Flat_Search_Percent,(52% OFF),Men Tapered Fit Chinos,Trousers,1549,743,,False,,0,1,,1511395200000,Summer,2019,False,,,0,,[],www.myntra.com/Trousers/HIGHLANDER/HIGHLANDER-Men-Khaki-Tapered-Fit-Solid-Chinos/2290043/buy
9,Trousers/HIGHLANDER/HIGHLANDER-Men-Grey-Slim-Fit-Solid-Cargos/8209403/buy,False,,False,8209403,HIGHLANDER Men Grey Slim Fit Solid Cargos,HIGHLANDER Men Grey Slim Fit Solid Cargos,4.25,156,True,0,,1054,HIGHLANDER,http://assets.myntassets.com/assets/images/8209403/2019/8/22/691ae9ad-4342-4dd6-ae59-03601a27eafd1566479499415-HIGHLANDER-Men-Grey-Slim-Fit-Solid-Cargos-4361566479497959-1.jpg,0,0,32736478,4214,0,,[],"[{'skuId': 32736472, 'label': '30', 'inventory': 7, 'available': True}, {'skuId': 32736476, 'label': '32', 'inventory': 50, 'available': True}, {'skuId': 32736477, 'label': '34', 'inventory': 85, 'available': True}, {'skuId': 32736478, 'label': '36', 'inventory': 45, 'available': True}]","30,32,34,36","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/8209403/2019/8/22/691ae9ad-4342-4dd6-ae59-03601a27eafd1566479499415-HIGHLANDER-Men-Grey-Slim-Fit-Solid-Cargos-4361566479497959-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/8209403/2019/8/22/691ae9ad-4342-4dd6-ae59-03601a27eafd1566479499415-HIGHLANDER-Men-Grey-Slim-Fit-Solid-Cargos-4361566479497959-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/8209403/2019/8/22/aab5c3b8-82d7-4789-96e4-f5927ef3574d1566479499303-HIGHLANDER-Men-Grey-Slim-Fit-Solid-Cargos-4361566479497959-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/8209403/2019/8/22/4fa7253a-84ff-45e1-9aaa-f06063c7cb771566479499356-HIGHLANDER-Men-Grey-Slim-Fit-Solid-Cargos-4361566479497959-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/8209403/2019/8/22/ae358083-357b-41f7-8947-9be9674c8d4a1566479499382-HIGHLANDER-Men-Grey-Slim-Fit-Solid-Cargos-4361566479497959-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/8209403/2019/8/22/d739e04b-d260-4e98-ab6b-02aa21509c751566479499329-HIGHLANDER-Men-Grey-Slim-Fit-Solid-Cargos-4361566479497959-4.jpg'}]",Men,Grey,Flat_Search_Percent,(57% OFF),Men Slim Fit Cargos,Trousers,1849,795,,False,,0,1,,1544659200000,Summer,2019,False,,,0,,[],www.myntra.com/Trousers/HIGHLANDER/HIGHLANDER-Men-Grey-Slim-Fit-Solid-Cargos/8209403/buy
