,landingPageUrl,loyaltyPointsEnabled,adId,isPLA,productId,product,productName,rating,ratingCount,isFastFashion,futureDiscountedPrice,futureDiscountStartDate,discount,brand,searchImage,effectiveDiscountPercentageAfterTax,effectiveDiscountAmountAfterTax,buyButtonWinnerSkuId,buyButtonWinnerSellerPartnerId,relatedStylesCount,relatedStylesType,productVideos,inventoryInfo,sizes,images,gender,primaryColour,discountLabel,discountDisplayLabel,additionalInfo,category,mrp,price,advanceOrderTag,colorVariantAvailable,productimagetag,listViews,discountType,tdBxGyText,catalogDate,season,year,isPersonalised,eorsPicksTag,personalizedCoupon,personalizedCouponValue,productMeta,systemAttributes,PAGE_URL_COMPLETE
0,Tshirts/FIDO-DIDO/FIDO-DIDO-Men-Pink-Solid-Polo-Collar-Slim-Fit-T-shirt/2471500/buy,False,,False,2471500,FIDO DIDO Men Pink Solid Polo Collar Slim Fit T-shirt,FIDO DIDO Men Pink Solid Polo Collar Slim Fit T-shirt,4.1319833,1432,True,0,,812,FIDO DIDO,http://assets.myntassets.com/assets/images/2471500/2018/2/9/11518159758071-FIDO-DIDO-Men-Tshirts-9591518159757862-1.jpg,0,0,15617365,7004,0,,[],"[{'skuId': 15617365, 'label': 'S', 'inventory': 314, 'available': True}, {'skuId': 15617367, 'label': 'M', 'inventory': 598, 'available': True}, {'skuId': 15617369, 'label': 'L', 'inventory': 547, 'available': True}, {'skuId': 15617376, 'label': 'XL', 'inventory': 601, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/2471500/2018/2/9/11518159758071-FIDO-DIDO-Men-Tshirts-9591518159757862-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/2471500/2018/2/9/11518159758071-FIDO-DIDO-Men-Tshirts-9591518159757862-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/2471500/2018/2/9/11518159757971-FIDO-DIDO-Men-Tshirts-9591518159757862-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/2471500/2018/2/9/11518159758019-FIDO-DIDO-Men-Tshirts-9591518159757862-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/2471500/2018/2/9/11518159757994-FIDO-DIDO-Men-Tshirts-9591518159757862-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/2471500/2018/2/9/11518159758046-FIDO-DIDO-Men-Tshirts-9591518159757862-2.jpg'}]",Men,Pink,Flat_Search_Percent,(56% OFF),Solid Polo Collar T-shirt,Tshirts,1449,637,,False,,0,1,,1518048000000,Summer,2017,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Tshirts/FIDO-DIDO/FIDO-DIDO-Men-Pink-Solid-Polo-Collar-Slim-Fit-T-shirt/2471500/buy
1,Tshirts/Moda-Rapido/Moda-Rapido-Men-Maroon-Printed-Round-Neck-T-shirt/2378362/buy,False,,False,2378362,Moda Rapido Men Maroon Printed Round Neck T-shirt,Moda Rapido Men Maroon Printed Round Neck T-shirt,3.768116,2001,True,0,,130,Moda Rapido,http://assets.myntassets.com/assets/images/2378362/2018/6/9/270e0a7e-365b-4640-9433-b269c60bf3061528527188563-Moda-Rapido-Men-Maroon-Printed-Round-Neck-T-shirt-3811528527-1.jpg,0,0,15252610,4215,0,,[],"[{'skuId': 15252610, 'label': 'S', 'inventory': 169, 'available': True}, {'skuId': 15252611, 'label': 'M', 'inventory': 464, 'available': True}, {'skuId': 15252612, 'label': 'L', 'inventory': 409, 'available': True}, {'skuId': 15252613, 'label': 'XL', 'inventory': 191, 'available': True}, {'skuId': 22473345, 'label': 'XXL', 'inventory': 123, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/2378362/2018/6/9/270e0a7e-365b-4640-9433-b269c60bf3061528527188563-Moda-Rapido-Men-Maroon-Printed-Round-Neck-T-shirt-3811528527-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/2378362/2018/6/9/270e0a7e-365b-4640-9433-b269c60bf3061528527188563-Moda-Rapido-Men-Maroon-Printed-Round-Neck-T-shirt-3811528527-1.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/2378362/2018/6/9/33523035-65f5-4fcb-b7a5-4062e656d10b1528527188511-Moda-Rapido-Men-Maroon-Printed-Round-Neck-T-shirt-3811528527-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/2378362/2018/6/9/ed7b0cd1-8fa7-4f65-95b4-36518bfa94461528527188485-Moda-Rapido-Men-Maroon-Printed-Round-Neck-T-shirt-3811528527-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/2378362/2018/6/9/405568f1-c3c1-4713-9c38-6dd95ac962d31528527188543-Moda-Rapido-Men-Maroon-Printed-Round-Neck-T-shirt-3811528527-2.jpg'}]",Men,Maroon,Flat_Search_Percent,( 20 % OFF),Printed Round Neck T-shirt,Tshirts,649,519,,False,,0,1024,"Or Buy 2 @MRP, get 1 Free*",1518652800000,Summer,2019,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Tshirts/Moda-Rapido/Moda-Rapido-Men-Maroon-Printed-Round-Neck-T-shirt/2378362/buy
2,Tshirts/FIDO-DIDO/FIDO-DIDO-Men-Mustard-Printed-Polo-Collar-T-shirt/2476463/buy,False,,False,2476463,FIDO DIDO Men Mustard Printed Polo Collar T-shirt,FIDO DIDO Men Mustard Printed Polo Collar T-shirt,3.9275808,649,True,0,,676,FIDO DIDO,http://assets.myntassets.com/assets/images/2476463/2018/2/10/11518244710081-FIDO-DIDO-Men-Mustard-Printed-Polo-Collar-T-shirt-5511518244709858-1.jpg,0,0,15635848,7004,0,,[],"[{'skuId': 15635847, 'label': 'S', 'inventory': 164, 'available': True}, {'skuId': 15635850, 'label': 'M', 'inventory': 753, 'available': True}, {'skuId': 15635849, 'label': 'L', 'inventory': 677, 'available': True}, {'skuId': 15635848, 'label': 'XL', 'inventory': 621, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/2476463/2018/2/10/11518244710081-FIDO-DIDO-Men-Mustard-Printed-Polo-Collar-T-shirt-5511518244709858-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/2476463/2018/2/10/11518244710081-FIDO-DIDO-Men-Mustard-Printed-Polo-Collar-T-shirt-5511518244709858-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/2476463/2018/2/10/11518244709971-FIDO-DIDO-Men-Mustard-Printed-Polo-Collar-T-shirt-5511518244709858-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/2476463/2018/2/10/11518244710024-FIDO-DIDO-Men-Mustard-Printed-Polo-Collar-T-shirt-5511518244709858-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/2476463/2018/2/10/11518244709999-FIDO-DIDO-Men-Mustard-Printed-Polo-Collar-T-shirt-5511518244709858-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/2476463/2018/2/10/11518244710053-FIDO-DIDO-Men-Mustard-Printed-Polo-Collar-T-shirt-5511518244709858-2.jpg'}]",Men,Mustard,Flat_Search_Percent,(52% OFF),Printed Polo Collar T-shirt,Tshirts,1299,623,,False,,0,1,,1518048000000,Summer,2017,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Tshirts/FIDO-DIDO/FIDO-DIDO-Men-Mustard-Printed-Polo-Collar-T-shirt/2476463/buy
3,Tshirts/HERENOW/HERENOW-Men-Black-Printed-Round-Neck-T-shirt/4318138/buy,False,,False,4318138,HERE&NOW Men Black Printed Round Neck T-shirt,HERE&NOW Men Black Printed Round Neck T-shirt,4.260337,1306,True,0,,150,HERE&NOW,http://assets.myntassets.com/assets/images/4318138/2018/5/4/11525433792765-HERENOW-Men-Black-Printed-Round-Neck-T-shirt-2881525433792598-1.jpg,0,0,22262395,4027,0,,[],"[{'skuId': 22262395, 'label': 'S', 'inventory': 61, 'available': True}, {'skuId': 22262396, 'label': 'M', 'inventory': 73, 'available': True}, {'skuId': 22262397, 'label': 'L', 'inventory': 54, 'available': True}, {'skuId': 22262398, 'label': 'XL', 'inventory': 12, 'available': True}, {'skuId': 22262399, 'label': 'XXL', 'inventory': 1, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/4318138/2018/5/4/11525433792765-HERENOW-Men-Black-Printed-Round-Neck-T-shirt-2881525433792598-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/4318138/2018/5/4/11525433792765-HERENOW-Men-Black-Printed-Round-Neck-T-shirt-2881525433792598-1.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/4318138/2018/5/4/11525433792709-HERENOW-Men-Black-Printed-Round-Neck-T-shirt-2881525433792598-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/4318138/2018/5/4/11525433792691-HERENOW-Men-Black-Printed-Round-Neck-T-shirt-2881525433792598-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/4318138/2018/5/4/11525433792736-HERENOW-Men-Black-Printed-Round-Neck-T-shirt-2881525433792598-2.jpg'}]",Men,Black,Flat_Search_Percent,( 20 % OFF),Men Printed Round Neck T-shirt,Tshirts,749,599,,False,,0,1024,"Or Buy 2 @MRP, get 1 Free*",1525305600000,Summer,2019,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Tshirts/HERENOW/HERENOW-Men-Black-Printed-Round-Neck-T-shirt/4318138/buy
4,Tshirts/HRX-by-Hrithik-Roshan/HRX-by-Hrithik-Roshan-Men-Fluorescent-Green-Solid-Round-Neck-Running-T-shirt/7231694/buy,False,,False,7231694,HRX by Hrithik Roshan Men Fluorescent Green Solid Round Neck Running T-shirt,HRX by Hrithik Roshan Men Fluorescent Green Solid Round Neck Running T-shirt,4.101156,346,True,0,,210,HRX by Hrithik Roshan,http://assets.myntassets.com/assets/images/7231694/2019/2/8/6b595914-1c66-4d0a-a542-9a2134ae6f391549618643915-HRX-by-Hrithik-Roshan-Men-Fluorescent-Green-Solid-Round-Neck-1.jpg,0,0,31443032,4027,0,,[],"[{'skuId': 31443022, 'label': 'XS', 'inventory': 0, 'available': False}, {'skuId': 31443024, 'label': 'S', 'inventory': 186, 'available': True}, {'skuId': 31443026, 'label': 'M', 'inventory': 420, 'available': True}, {'skuId': 31443028, 'label': 'L', 'inventory': 355, 'available': True}, {'skuId': 31443030, 'label': 'XL', 'inventory': 217, 'available': True}, {'skuId': 31443032, 'label': 'XXL', 'inventory': 21, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/7231694/2019/2/8/6b595914-1c66-4d0a-a542-9a2134ae6f391549618643915-HRX-by-Hrithik-Roshan-Men-Fluorescent-Green-Solid-Round-Neck-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/7231694/2019/2/8/6b595914-1c66-4d0a-a542-9a2134ae6f391549618643915-HRX-by-Hrithik-Roshan-Men-Fluorescent-Green-Solid-Round-Neck-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/7231694/2019/2/8/0aaa9dc0-009d-48db-b358-e00bd21412711549618643744-HRX-by-Hrithik-Roshan-Men-Fluorescent-Green-Solid-Round-Neck-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/7231694/2019/2/8/ba57e375-ffb2-4df6-a206-affc7a8bd5c21549618643827-HRX-by-Hrithik-Roshan-Men-Fluorescent-Green-Solid-Round-Neck-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/7231694/2019/2/8/88c517cf-1d72-4c2e-a497-ce7f9e14ae791549618643782-HRX-by-Hrithik-Roshan-Men-Fluorescent-Green-Solid-Round-Neck-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/7231694/2019/2/8/532fe5f8-e016-4f3e-9e62-9cfa469f35371549618643872-HRX-by-Hrithik-Roshan-Men-Fluorescent-Green-Solid-Round-Neck-2.jpg'}]",Men,Fluorescent Green,Flat_Search_Percent,( 30 % OFF),Men Solid Round Neck T-shirt,Tshirts,699,489,,False,,0,1024,"Or Buy 2 @MRP, get 1 Free*",1549497600000,Fall,2018,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Tshirts/HRX-by-Hrithik-Roshan/HRX-by-Hrithik-Roshan-Men-Fluorescent-Green-Solid-Round-Neck-Running-T-shirt/7231694/buy
5,Tshirts/Friskers/Friskers-Men-Mustard-Yellow-Solid-Round-Neck-T-shirt/8907305/buy,False,,False,8907305,Friskers Men Mustard Yellow Solid Round Neck T-shirt,Friskers Men Mustard Yellow Solid Round Neck T-shirt,4.0459185,392,True,0,,0,Friskers,http://assets.myntassets.com/assets/images/productimage/2019/2/25/2085b1e0-8157-4fc0-b740-28aa2bdd31311551093371266-1.jpg,0,0,33563553,4440,0,,[],"[{'skuId': 33563553, 'label': 'S', 'inventory': 153, 'available': True}, {'skuId': 33563552, 'label': 'M', 'inventory': 318, 'available': True}, {'skuId': 33563550, 'label': 'L', 'inventory': 256, 'available': True}, {'skuId': 33563555, 'label': 'XL', 'inventory': 139, 'available': True}, {'skuId': 33563557, 'label': 'XXL', 'inventory': 70, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/2/25/2085b1e0-8157-4fc0-b740-28aa2bdd31311551093371266-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/2/25/2085b1e0-8157-4fc0-b740-28aa2bdd31311551093371266-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/2/25/216c395d-6b48-473e-9797-311d596294691551093371365-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/2/25/29bd0241-cbbd-4dcc-a4ed-59e7811ee7881551093371324-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/2/25/80bef83b-03a6-470c-b10c-c61433bb8c0d1551093371292-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/2/25/5e9a7346-932f-452e-80f1-a5c8e9d1b3f11551093371344-4.jpg'}]",Men,Mustard,,,Solid Round Neck T-shirt,Tshirts,999,999,,False,,0,,,1550707200000,Summer,2018,False,,,0,,[],www.myntra.com/Tshirts/Friskers/Friskers-Men-Mustard-Yellow-Solid-Round-Neck-T-shirt/8907305/buy
6,Tshirts/Roadster/Roadster-Men-Charcoal-Grey--Black-Printed-Round-Neck-T-shirt/11744680/buy,False,,False,11744680,Roadster Men Charcoal Grey & Black Printed Round Neck T-shirt,Roadster Men Charcoal Grey & Black Printed Round Neck T-shirt,4.338028,142,True,0,,200,Roadster,http://assets.myntassets.com/assets/images/11744680/2020/6/8/fd9c1a0e-a0ff-4a8f-be0e-0a6bdaf64fb31591591891271-Roadster-Men-Charcoal-Grey--Black-Printed-Round-Neck-T-shirt-1.jpg,0,0,40864410,4118,0,,[],"[{'skuId': 40864410, 'label': 'S', 'inventory': 6, 'available': True}, {'skuId': 40864414, 'label': 'M', 'inventory': 1, 'available': True}, {'skuId': 40864416, 'label': 'L', 'inventory': 0, 'available': False}, {'skuId': 40864418, 'label': 'XL', 'inventory': 1, 'available': True}]","S,M,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11744680/2020/6/8/fd9c1a0e-a0ff-4a8f-be0e-0a6bdaf64fb31591591891271-Roadster-Men-Charcoal-Grey--Black-Printed-Round-Neck-T-shirt-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11744680/2020/6/8/fd9c1a0e-a0ff-4a8f-be0e-0a6bdaf64fb31591591891271-Roadster-Men-Charcoal-Grey--Black-Printed-Round-Neck-T-shirt-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11744680/2020/6/8/5dd4a4a8-d70a-488e-9655-12a629ca62131591591890971-Roadster-Men-Charcoal-Grey--Black-Printed-Round-Neck-T-shirt-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11744680/2020/6/8/24e308ad-346e-4315-86e8-32139186035c1591591891139-Roadster-Men-Charcoal-Grey--Black-Printed-Round-Neck-T-shirt-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11744680/2020/6/8/3a817001-aebb-4f66-ac53-28f5787a8b7a1591591891200-Roadster-Men-Charcoal-Grey--Black-Printed-Round-Neck-T-shirt-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11744680/2020/6/8/f5de0819-1e58-46aa-949a-3cfa7496918a1591591891067-Roadster-Men-Charcoal-Grey--Black-Printed-Round-Neck-T-shirt-4.jpg'}]",Men,Charcoal,Flat_Search_Percent,( 20 % OFF),Printed Round Neck T-shirt,Tshirts,999,799,,False,,0,1024,"Or Buy 2 @MRP, get 1 Free*",1591833600000,Spring,2020,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Tshirts/Roadster/Roadster-Men-Charcoal-Grey--Black-Printed-Round-Neck-T-shirt/11744680/buy
7,Tshirts/Roadster/Roadster-Grey-Flock-Print-T-shirt-with-Suede-Shoulder-Patch/1301358/buy,False,,False,1301358,Roadster Grey Flock Print T-shirt with Suede Shoulder Patch,Roadster Grey Flock Print T-shirt with Suede Shoulder Patch,4.3874855,1742,True,0,,0,Roadster,http://assets.myntassets.com/assets/images/1301358/2016/11/21/11479716524889-Roadster-Charcoal-Grey-Flock-Print-Sweatshirt-1311479716524565-1.jpg,0,0,10856903,4118,0,,[],"[{'skuId': 10856903, 'label': 'S', 'inventory': 2, 'available': True}, {'skuId': 10856906, 'label': 'M', 'inventory': 29, 'available': True}, {'skuId': 10856909, 'label': 'L', 'inventory': 2, 'available': True}, {'skuId': 10856912, 'label': 'XL', 'inventory': 0, 'available': False}]","S,M,L","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/1301358/2016/11/21/11479716524889-Roadster-Charcoal-Grey-Flock-Print-Sweatshirt-1311479716524565-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/1301358/2016/11/21/11479716524889-Roadster-Charcoal-Grey-Flock-Print-Sweatshirt-1311479716524565-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/1301358/2016/11/21/11479716524783-Roadster-Charcoal-Grey-Flock-Print-Sweatshirt-1311479716524565-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/1301358/2016/11/21/11479716524841-Roadster-Charcoal-Grey-Flock-Print-Sweatshirt-1311479716524565-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/1301358/2016/11/21/11479716524812-Roadster-Charcoal-Grey-Flock-Print-Sweatshirt-1311479716524565-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/1301358/2016/11/21/11479716524866-Roadster-Charcoal-Grey-Flock-Print-Sweatshirt-1311479716524565-2.jpg'}]",Men,Grey,Flat_Search_Percent,,T-shirt with Shoulder Patch,Tshirts,799,799,,False,,0,1024,"Or Buy 2 @MRP, get 1 Free*",1473897600000,Summer,2019,False,,,0,,[],www.myntra.com/Tshirts/Roadster/Roadster-Grey-Flock-Print-T-shirt-with-Suede-Shoulder-Patch/1301358/buy
8,Tshirts/Austin-wood/Austin-wood-Men-Navy-Blue--Grey-Striped-Polo-Collar-T-shirt/11204714/buy,False,,False,11204714,Austin wood Men Navy Blue & Grey Striped Polo Collar T-shirt,Austin wood Men Navy Blue & Grey Striped Polo Collar T-shirt,4.072973,370,True,0,,975,Austin wood,http://assets.myntassets.com/assets/images/productimage/2019/12/19/11056a53-0f38-47d0-b1a5-15dd226f4c1a1576714070427-1.jpg,0,0,38730202,6984,0,,[],"[{'skuId': 38730196, 'label': 'S', 'inventory': 102, 'available': True}, {'skuId': 38730200, 'label': 'M', 'inventory': 121, 'available': True}, {'skuId': 38730202, 'label': 'L', 'inventory': 119, 'available': True}, {'skuId': 38730206, 'label': 'XL', 'inventory': 74, 'available': True}, {'skuId': 38730210, 'label': 'XXL', 'inventory': 123, 'available': True}, {'skuId': 38730214, 'label': '3XL', 'inventory': 56, 'available': True}]","S,M,L,XL,XXL,3XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/12/19/11056a53-0f38-47d0-b1a5-15dd226f4c1a1576714070427-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/12/19/11056a53-0f38-47d0-b1a5-15dd226f4c1a1576714070427-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/12/19/49905513-2fc4-46df-a093-11c9ac3a12031576714070634-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/12/19/411be58c-1bbf-405b-b396-4bb87422b0791576714070528-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/12/19/686ed25e-589f-42f8-bc47-a69c2bcd86e11576714070479-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/12/19/4e96d899-7e2e-40a5-adaa-5dddf908c9e41576714070579-4.jpg'}]",Men,Navy Blue,Flat_Search_Percent,(65% OFF),Striped Polo Collar T-shirt,Tshirts,1499,524,,False,,0,1,,1576713600000,Winter,2019,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Tshirts/Austin-wood/Austin-wood-Men-Navy-Blue--Grey-Striped-Polo-Collar-T-shirt/11204714/buy
9,Tshirts/Roadster/Roadster-Men-Navy-Blue-Striped-Round-Neck-T-shirt/1673725/buy,False,,False,1673725,Roadster Men Navy Blue Striped Round Neck T-shirt,Roadster Men Navy Blue Striped Round Neck T-shirt,4.133994,2321,True,0,,0,Roadster,http://assets.myntassets.com/assets/images/1673725/2018/2/16/11518766944851-Roadster-Men-Navy-Striped-Round-Neck-T-shirt-4281518766944542-1.jpg,0,0,12587599,4118,0,,[],"[{'skuId': 12587598, 'label': 'S', 'inventory': 872, 'available': True}, {'skuId': 12587599, 'label': 'M', 'inventory': 510, 'available': True}, {'skuId': 12587600, 'label': 'L', 'inventory': 258, 'available': True}, {'skuId': 12587601, 'label': 'XL', 'inventory': 147, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/1673725/2018/2/16/11518766944851-Roadster-Men-Navy-Striped-Round-Neck-T-shirt-4281518766944542-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/1673725/2018/2/16/11518766944851-Roadster-Men-Navy-Striped-Round-Neck-T-shirt-4281518766944542-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/1673725/2018/2/16/11518766944736-Roadster-Men-Navy-Striped-Round-Neck-T-shirt-4281518766944542-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/1673725/2018/2/16/11518766944794-Roadster-Men-Navy-Striped-Round-Neck-T-shirt-4281518766944542-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/1673725/2018/2/16/11518766944762-Roadster-Men-Navy-Striped-Round-Neck-T-shirt-4281518766944542-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/1673725/2018/2/16/11518766944815-Roadster-Men-Navy-Striped-Round-Neck-T-shirt-4281518766944542-2.jpg'}]",Men,Navy Blue,,,Striped Round Neck Navy Blue T-shirt,Tshirts,699,699,,False,,0,,,1487203200000,Summer,2019,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Tshirts/Roadster/Roadster-Men-Navy-Blue-Striped-Round-Neck-T-shirt/1673725/buy
