,landingPageUrl,loyaltyPointsEnabled,adId,isPLA,productId,product,productName,rating,ratingCount,isFastFashion,futureDiscountedPrice,futureDiscountStartDate,discount,brand,searchImage,effectiveDiscountPercentageAfterTax,effectiveDiscountAmountAfterTax,buyButtonWinnerSkuId,buyButtonWinnerSellerPartnerId,relatedStylesCount,relatedStylesType,productVideos,inventoryInfo,sizes,images,gender,primaryColour,discountLabel,discountDisplayLabel,additionalInfo,category,mrp,price,advanceOrderTag,colorVariantAvailable,productimagetag,listViews,discountType,tdBxGyText,catalogDate,season,year,isPersonalised,eorsPicksTag,personalizedCoupon,personalizedCouponValue,productMeta,systemAttributes,PAGE_URL_COMPLETE
0,Dresses/Vishudh/Vishudh-Women-Purple-Printed-Maxi-Dress/8831443/buy,False,,False,8831443,Vishudh Women Purple Printed Maxi Dress,Vishudh Women Purple Printed Maxi Dress,3.1892655,354,True,0,,1250,Vishudh,http://assets.myntassets.com/assets/images/productimage/2019/2/18/818d5abc-7760-4fb3-b609-e3b9863e07d61550506908300-1.jpg,0,0,33482057,4214,0,,[],"[{'skuId': 33482055, 'label': 'S', 'inventory': 399, 'available': True}, {'skuId': 33482056, 'label': 'M', 'inventory': 537, 'available': True}, {'skuId': 33482057, 'label': 'L', 'inventory': 464, 'available': True}, {'skuId': 33482058, 'label': 'XL', 'inventory': 416, 'available': True}, {'skuId': 33482059, 'label': 'XXL', 'inventory': 309, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/2/18/818d5abc-7760-4fb3-b609-e3b9863e07d61550506908300-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/2/18/818d5abc-7760-4fb3-b609-e3b9863e07d61550506908300-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/2/18/471f2997-4d88-498f-b65e-155179d479121550506908436-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/2/18/405e7de3-d8b9-42aa-99f3-1a7da093220f1550506908365-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/2/18/e8eadbc2-ff61-4582-a6e8-edb86ae5522b1550506908399-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/2/18/72bb07d5-3302-49c2-b331-88ff3dd8c7211550506908335-2.jpg'}]",Women,Purple,Flat_Search_Percent,(50% OFF),Women Printed Maxi Dress,Dresses,2499,1249,,False,,0,1,,1550102400000,Summer,2019,False,,,0,,[],www.myntra.com/Dresses/Vishudh/Vishudh-Women-Purple-Printed-Maxi-Dress/8831443/buy
1,Dresses/W/W-Women-Green--Peach-Coloured-Printed-Maxi-Dress/10207393/buy,False,,False,10207393,W Women Green & Peach-Coloured Printed Maxi Dress,W Women Green & Peach-Coloured Printed Maxi Dress,4.53125,32,True,0,,2000,W,http://assets.myntassets.com/assets/images/10207393/2019/11/18/f5f9c8cd-566a-4bd7-ae90-ebb2c84834721574081689951-W-Women-Dresses-8151574081687164-1.jpg,0,0,34971484,33,0,,[],"[{'skuId': 34971481, 'label': 'XS', 'inventory': 15, 'available': True}, {'skuId': 34971482, 'label': 'S', 'inventory': 155, 'available': True}, {'skuId': 34971483, 'label': 'M', 'inventory': 165, 'available': True}, {'skuId': 34971484, 'label': 'L', 'inventory': 36, 'available': True}, {'skuId': 34971485, 'label': 'XL', 'inventory': 30, 'available': True}, {'skuId': 34971486, 'label': 'XXL', 'inventory': 3, 'available': True}, {'skuId': 34971487, 'label': '3XL', 'inventory': 0, 'available': False}]","XS,S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/10207393/2019/11/18/f5f9c8cd-566a-4bd7-ae90-ebb2c84834721574081689951-W-Women-Dresses-8151574081687164-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/10207393/2019/11/18/f5f9c8cd-566a-4bd7-ae90-ebb2c84834721574081689951-W-Women-Dresses-8151574081687164-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/10207393/2019/11/18/ae4a15ac-71bf-4a3c-9ab2-e8b82427bfb51574081689668-W-Women-Dresses-8151574081687164-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/10207393/2019/11/18/f3c0cf41-014e-425d-95b5-8686ccb031ac1574081689723-W-Women-Dresses-8151574081687164-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/10207393/2019/11/18/071e0eaf-ea9e-4e27-9b9a-e2c4eedf12811574081689842-W-Women-Dresses-8151574081687164-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/10207393/2019/11/18/9cf02b3f-b08f-4456-b6dc-6bd696e900161574081689784-W-Women-Dresses-8151574081687164-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/10207393/2019/11/18/a8585e13-b84f-49a5-b593-9271dbf4eeb81574081689900-W-Women-Dresses-8151574081687164-2.jpg'}]",Women,Green,Flat_Search_Percent,(50% OFF),Women Printed Maxi Dress,Dresses,3999,1999,,False,,0,1,,1573689600000,Fall,2019,False,,,0,,[],www.myntra.com/Dresses/W/W-Women-Green--Peach-Coloured-Printed-Maxi-Dress/10207393/buy
2,Dresses/Varanga/Varanga-Women-Black-Quirky-Print-Empire-Dress/8529001/buy,False,,False,8529001,Varanga Women Black Quirky Print Empire Dress,Varanga Women Black Quirky Print Empire Dress,4.092262,336,True,0,,1155,Varanga,http://assets.myntassets.com/assets/images/8529001/2019/1/23/4e3a587b-efd1-418f-bb0d-2c7277abaf4a1548240295109-Varanga-Black-gold-printed-flared-Dress-8861548240292848-1.jpg,0,0,33121871,2242,0,,[],"[{'skuId': 33121871, 'label': 'S', 'inventory': 45, 'available': True}, {'skuId': 33121872, 'label': 'M', 'inventory': 25, 'available': True}, {'skuId': 33121873, 'label': 'L', 'inventory': 2, 'available': True}, {'skuId': 33121874, 'label': 'XL', 'inventory': 0, 'available': False}, {'skuId': 33121876, 'label': 'XXL', 'inventory': 40, 'available': True}]","S,M,L,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/8529001/2019/1/23/4e3a587b-efd1-418f-bb0d-2c7277abaf4a1548240295109-Varanga-Black-gold-printed-flared-Dress-8861548240292848-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/8529001/2019/1/23/4e3a587b-efd1-418f-bb0d-2c7277abaf4a1548240295109-Varanga-Black-gold-printed-flared-Dress-8861548240292848-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/8529001/2019/1/23/83141c6a-1a2a-47b2-ac51-3185d44e04051548240295023-Varanga-Black-gold-printed-flared-Dress-8861548240292848-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/8529001/2019/1/23/bb626ed1-9301-44a5-8d97-5e63dc9636921548240295037-Varanga-Black-gold-printed-flared-Dress-8861548240292848-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/8529001/2019/1/23/5450d258-828a-4d19-825a-adc3a48b0c151548240295076-Varanga-Black-gold-printed-flared-Dress-8861548240292848-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/8529001/2019/1/23/11879307-03e7-4158-bd1f-43ea258a508e1548240295092-Varanga-Black-gold-printed-flared-Dress-8861548240292848-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/8529001/2019/1/23/5f83e2db-cf30-41a8-af73-9004516ebb341548240295054-Varanga-Black-gold-printed-flared-Dress-8861548240292848-4.jpg'}]",Women,Black,Flat_Search_Percent,(55% OFF),Quirky Print Empire Dress,Dresses,2099,944,,False,,0,1,,1547683200000,Summer,2019,False,,,0,,[],www.myntra.com/Dresses/Varanga/Varanga-Women-Black-Quirky-Print-Empire-Dress/8529001/buy
3,Dresses/Vishudh/Vishudh-Women-Black-Printed-Maxi-Dress/8085085/buy,False,,False,8085085,Vishudh Women Black Printed Maxi Dress,Vishudh Women Black Printed Maxi Dress,4.157563,476,True,0,,1230,Vishudh,http://assets.myntassets.com/assets/images/productimage/2018/12/4/817ad75c-f13e-4c6a-89ca-88d9582ac5871543921329282-1.jpg,0,0,32605655,4214,0,,[],"[{'skuId': 32605655, 'label': 'S', 'inventory': 15, 'available': True}, {'skuId': 32605663, 'label': 'M', 'inventory': 11, 'available': True}, {'skuId': 32605664, 'label': 'L', 'inventory': 225, 'available': True}, {'skuId': 32605666, 'label': 'XL', 'inventory': 156, 'available': True}, {'skuId': 32605668, 'label': 'XXL', 'inventory': 67, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2018/12/4/817ad75c-f13e-4c6a-89ca-88d9582ac5871543921329282-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2018/12/4/817ad75c-f13e-4c6a-89ca-88d9582ac5871543921329282-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2018/12/4/60c1a18c-7bd9-4091-bd8b-14b425f5ab291543921329376-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2018/12/4/6e58a033-0a8c-4dd9-bc20-136bb9c04d5e1543921329324-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2018/12/4/ee94d319-f55b-4e21-8375-3c9c11b8fc0a1543921329304-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2018/12/4/829fa00d-5bb1-4ce6-a642-b6766576fd301543921329354-4.jpg'}]",Women,Black,Flat_Search_Percent,(60% OFF),Women Printed Maxi Dress,Dresses,2049,819,,False,,0,1,,1543449600000,Summer,2018,False,,,0,,[],www.myntra.com/Dresses/Vishudh/Vishudh-Women-Black-Printed-Maxi-Dress/8085085/buy
4,Dresses/Vishudh/Vishudh--Printed-Aline-Midi-Dress/8662577/buy,False,,False,8662577,Vishudh  Printed Aline Midi Dress,Vishudh  Printed Aline Midi Dress,4.0698924,186,True,0,,1700,Vishudh,http://assets.myntassets.com/assets/images/productimage/2019/1/29/b36dc5de-7d1d-4a72-8099-3dff3c2709d21548761602292-1.jpg,0,0,33278466,4214,0,,[],"[{'skuId': 33278466, 'label': 'S', 'inventory': 80, 'available': True}, {'skuId': 33278465, 'label': 'M', 'inventory': 195, 'available': True}, {'skuId': 33278468, 'label': 'L', 'inventory': 169, 'available': True}, {'skuId': 33278469, 'label': 'XL', 'inventory': 55, 'available': True}, {'skuId': 33278470, 'label': 'XXL', 'inventory': 48, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/1/29/b36dc5de-7d1d-4a72-8099-3dff3c2709d21548761602292-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/1/29/b36dc5de-7d1d-4a72-8099-3dff3c2709d21548761602292-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/1/29/90b7b419-471e-497d-a4b9-b49acc806c701548761602385-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/1/29/7988eaed-1297-4373-a5fd-cdaea0c0df8c1548761602336-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/1/29/7b82bf0a-9240-4a64-acd2-f9bd6504ab911548761602313-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/1/29/2eb0b77c-56a8-47e8-a47d-00f46dd8f8ca1548761602360-4.jpg'}]",Women,Navy Blue,Flat_Search_Percent,(68% OFF),Aline Midi Dress,Dresses,2499,799,,False,,0,1,,1548288000000,Summer,2019,False,,,0,,[],www.myntra.com/Dresses/Vishudh/Vishudh--Printed-Aline-Midi-Dress/8662577/buy
5,Dresses/W/W-Women-Maroon--Golden-Embroidered-A-Line-Dress/10207461/buy,False,,False,10207461,W Women Maroon & Golden Embroidered A-Line Dress,W Women Maroon & Golden Embroidered A-Line Dress,4.076923,39,True,0,,3500,W,http://assets.myntassets.com/assets/images/10207461/2019/11/18/a08e01c3-cfcc-4802-8d45-d128187b70be1574078516717-W-Women-Dresses-8581574078515263-1.jpg,0,0,34971612,33,0,,[],"[{'skuId': 34971612, 'label': 'XS', 'inventory': 31, 'available': True}, {'skuId': 34971613, 'label': 'S', 'inventory': 86, 'available': True}, {'skuId': 34971614, 'label': 'M', 'inventory': 122, 'available': True}, {'skuId': 34971615, 'label': 'L', 'inventory': 12, 'available': True}, {'skuId': 34971617, 'label': 'XL', 'inventory': 28, 'available': True}, {'skuId': 34971619, 'label': 'XXL', 'inventory': 35, 'available': True}, {'skuId': 34971621, 'label': '3XL', 'inventory': 13, 'available': True}]","XS,S,M,L,XL,XXL,3XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/10207461/2019/11/18/a08e01c3-cfcc-4802-8d45-d128187b70be1574078516717-W-Women-Dresses-8581574078515263-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/10207461/2019/11/18/a08e01c3-cfcc-4802-8d45-d128187b70be1574078516717-W-Women-Dresses-8581574078515263-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/10207461/2019/11/18/51638fcf-2396-43ee-a1ab-9cda703ba4821574078516348-W-Women-Dresses-8581574078515263-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/10207461/2019/11/18/02e087c3-f2e5-484f-9c1e-0b8f43db55151574078516402-W-Women-Dresses-8581574078515263-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/10207461/2019/11/18/dbe848ef-67ab-4f1c-af00-8034414269a91574078516551-W-Women-Dresses-8581574078515263-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/10207461/2019/11/18/d7bba07e-ad7d-4867-b9ab-051b2964b3cb1574078516638-W-Women-Dresses-8581574078515263-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/10207461/2019/11/18/ffbb8333-2af3-4475-aa99-1e203b8831af1574078516466-W-Women-Dresses-8581574078515263-4.jpg'}]",Women,Maroon,Flat_Search_Percent,(50% OFF),Women Embroidered A-Line Dress,Dresses,6999,3499,,False,,0,1,,1573689600000,Fall,2019,False,,,0,,[],www.myntra.com/Dresses/W/W-Women-Maroon--Golden-Embroidered-A-Line-Dress/10207461/buy
6,Dresses/Biba/Biba-Women-Blue-Striped-Tiered-A-Line-Dress/10452666/buy,False,,False,10452666,Biba Women Blue Striped Tiered A-Line Dress,Biba Women Blue Striped Tiered A-Line Dress,3.7857144,14,True,0,,1150,Biba,http://assets.myntassets.com/assets/images/10452666/2020/1/13/f997f857-c7ab-486d-9dfb-4ce9acbe0ac21578905371892-Biba-Women-Blue-Striped-Tiered-A-Line-Dress-381578905369996-1.jpg,0,0,35740760,8180,0,,[],"[{'skuId': 35740760, 'label': 'S', 'inventory': 50, 'available': True}, {'skuId': 35740764, 'label': 'M', 'inventory': 253, 'available': True}, {'skuId': 35740766, 'label': 'L', 'inventory': 301, 'available': True}, {'skuId': 35740768, 'label': 'XL', 'inventory': 28, 'available': True}, {'skuId': 35740770, 'label': 'XXL', 'inventory': 0, 'available': False}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/10452666/2020/1/13/f997f857-c7ab-486d-9dfb-4ce9acbe0ac21578905371892-Biba-Women-Blue-Striped-Tiered-A-Line-Dress-381578905369996-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/10452666/2020/1/13/f997f857-c7ab-486d-9dfb-4ce9acbe0ac21578905371892-Biba-Women-Blue-Striped-Tiered-A-Line-Dress-381578905369996-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/10452666/2020/1/13/4d40e515-0079-4b02-9724-dfc08bbe81db1578905371674-Biba-Women-Blue-Striped-Tiered-A-Line-Dress-381578905369996-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/10452666/2020/1/13/984b602f-8ae9-4a54-ac8d-13226569895f1578905371792-Biba-Women-Blue-Striped-Tiered-A-Line-Dress-381578905369996-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/10452666/2020/1/13/e3460c9e-4090-4608-b321-5780e3e2c9cd1578905371733-Biba-Women-Blue-Striped-Tiered-A-Line-Dress-381578905369996-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/10452666/2020/1/13/aa2216a8-a68f-46f0-a5b5-aa95f817f6fb1578905371841-Biba-Women-Blue-Striped-Tiered-A-Line-Dress-381578905369996-2.jpg'}]",Women,Blue,Flat_Search_Percent,(50% OFF),Women Tiered A-Line Dress,Dresses,2299,1149,,False,,0,1,,1566432000000,Fall,2019,False,,,0,,[],www.myntra.com/Dresses/Biba/Biba-Women-Blue-Striped-Tiered-A-Line-Dress/10452666/buy
7,Dresses/Anouk/Anouk-Women-Mustard-Printed-Fit-and-Flare-Dress/7745356/buy,False,,False,7745356,Anouk Women Mustard Printed Fit and Flare Dress,Anouk Women Mustard Printed Fit and Flare Dress,4.0235295,170,True,0,,630,Anouk,http://assets.myntassets.com/assets/images/7745356/2019/3/5/7ce0c41b-29b2-4d12-b220-6df779e729ee1551785559724-Anouk-Women-Dresses-7011551785557779-1.jpg,0,0,32291554,4216,0,,[],"[{'skuId': 32291533, 'label': 'XS', 'inventory': 22, 'available': True}, {'skuId': 32291544, 'label': 'S', 'inventory': 16, 'available': True}, {'skuId': 32291554, 'label': 'M', 'inventory': 23, 'available': True}, {'skuId': 32291564, 'label': 'L', 'inventory': 54, 'available': True}, {'skuId': 32291573, 'label': 'XL', 'inventory': 81, 'available': True}]","XS,S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/7745356/2019/3/5/7ce0c41b-29b2-4d12-b220-6df779e729ee1551785559724-Anouk-Women-Dresses-7011551785557779-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/7745356/2019/3/5/7ce0c41b-29b2-4d12-b220-6df779e729ee1551785559724-Anouk-Women-Dresses-7011551785557779-1.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/7745356/2019/3/5/42f66aa3-745c-4e50-bb7e-750f0ab5f0e61551785559693-Anouk-Women-Dresses-7011551785557779-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/7745356/2019/3/5/37011606-dfa5-43d8-820c-a21633bd36631551785559711-Anouk-Women-Dresses-7011551785557779-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/7745356/2019/3/5/57c1082a-7651-4899-afb3-e84d98306ac81551785559675-Anouk-Women-Dresses-7011551785557779-4.jpg'}]",Women,Mustard,Flat_Search_Percent,( 30 % OFF),Women Printed Fit and Flare Dress,Dresses,2099,1469,,False,,0,1024,"Or Buy 2 @MRP, get 1 Free*",1551312000000,Spring,2019,False,,,0,,[],www.myntra.com/Dresses/Anouk/Anouk-Women-Mustard-Printed-Fit-and-Flare-Dress/7745356/buy
8,Dresses/Vishudh/Vishudh-Women-Maroon-Printed-Maxi-Dress/8193975/buy,False,,False,8193975,Vishudh Women Maroon Printed Maxi Dress,Vishudh Women Maroon Printed Maxi Dress,4.010811,185,True,0,,1417,Vishudh,http://assets.myntassets.com/assets/images/8193975/2019/3/7/e751fbc7-7eb8-43ff-8c99-ea5ab5c254701551958687046-Vishudh-Women-Maroon-Printed-Maxi-Dress-3731551958685544-1.jpg,0,0,32720597,4214,0,,[],"[{'skuId': 32720584, 'label': 'S', 'inventory': 3, 'available': True}, {'skuId': 32720595, 'label': 'M', 'inventory': 112, 'available': True}, {'skuId': 32720597, 'label': 'L', 'inventory': 118, 'available': True}, {'skuId': 32720598, 'label': 'XL', 'inventory': 8, 'available': True}, {'skuId': 32720599, 'label': 'XXL', 'inventory': 0, 'available': False}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/8193975/2019/3/7/e751fbc7-7eb8-43ff-8c99-ea5ab5c254701551958687046-Vishudh-Women-Maroon-Printed-Maxi-Dress-3731551958685544-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/8193975/2019/3/7/e751fbc7-7eb8-43ff-8c99-ea5ab5c254701551958687046-Vishudh-Women-Maroon-Printed-Maxi-Dress-3731551958685544-1.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/8193975/2019/3/7/31d7ff70-c34e-4ad8-8a12-47a42034cd501551958687001-Vishudh-Women-Maroon-Printed-Maxi-Dress-3731551958685544-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/8193975/2019/3/7/825ad44e-57e3-4024-8d27-ace544420e7d1551958686975-Vishudh-Women-Maroon-Printed-Maxi-Dress-3731551958685544-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/8193975/2019/3/7/b02c6a08-6a39-4d77-9720-392cdfe0f2881551958687020-Vishudh-Women-Maroon-Printed-Maxi-Dress-3731551958685544-2.jpg'}]",Women,Maroon,Flat_Search_Percent,(63% OFF),Women Printed Maxi Dress,Dresses,2249,832,,False,,0,1,,1544659200000,Summer,2018,False,,,0,,[],www.myntra.com/Dresses/Vishudh/Vishudh-Women-Maroon-Printed-Maxi-Dress/8193975/buy
9,Dresses/Vishudh/Vishudh-Women-Green-Solid-Layered-Maxi-Dress-with-Front-Open-Jacket/7427271/buy,False,,False,7427271,Vishudh Women Green Solid Layered Maxi Dress with Front Open Jacket,Vishudh Women Green Solid Layered Maxi Dress with Front Open Jacket,4.325843,178,True,0,,2337,Vishudh,http://assets.myntassets.com/assets/images/7427271/2018/9/18/c9d13aeb-bdf8-4e81-8c85-ae6ebbcb1e8a1537255713136-Vishudh-Women-Dresses-411537255712888-1.jpg,0,0,31735700,4214,0,,[],"[{'skuId': 31735698, 'label': 'S', 'inventory': 150, 'available': True}, {'skuId': 31735700, 'label': 'M', 'inventory': 268, 'available': True}, {'skuId': 31735701, 'label': 'L', 'inventory': 173, 'available': True}, {'skuId': 31735702, 'label': 'XL', 'inventory': 153, 'available': True}, {'skuId': 31735704, 'label': 'XXL', 'inventory': 102, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/7427271/2018/9/18/c9d13aeb-bdf8-4e81-8c85-ae6ebbcb1e8a1537255713136-Vishudh-Women-Dresses-411537255712888-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/7427271/2018/9/18/c9d13aeb-bdf8-4e81-8c85-ae6ebbcb1e8a1537255713136-Vishudh-Women-Dresses-411537255712888-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/7427271/2018/9/18/b1e0a537-98c7-4ca9-9c3b-685c957bf94a1537255713000-Vishudh-Women-Dresses-411537255712888-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/7427271/2018/9/18/e513180b-6efc-4874-bd3d-df715df30d1d1537255713074-Vishudh-Women-Dresses-411537255712888-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/7427271/2018/9/18/49f188b0-6d61-4e18-9bbb-c128e952357c1537255713046-Vishudh-Women-Dresses-411537255712888-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/7427271/2018/9/18/2ba190a5-22b5-43ad-848d-bc5c72cf93a11537255713103-Vishudh-Women-Dresses-411537255712888-2.jpg'}]",Women,Green,Flat_Search_Percent,(55% OFF),Dress with Front Open Jacket,Dresses,4249,1912,,False,,0,1,,1536796800000,Winter,2018,False,,,0,,[],www.myntra.com/Dresses/Vishudh/Vishudh-Women-Green-Solid-Layered-Maxi-Dress-with-Front-Open-Jacket/7427271/buy
