,landingPageUrl,loyaltyPointsEnabled,adId,isPLA,productId,product,productName,rating,ratingCount,isFastFashion,futureDiscountedPrice,futureDiscountStartDate,discount,brand,searchImage,effectiveDiscountPercentageAfterTax,effectiveDiscountAmountAfterTax,buyButtonWinnerSkuId,buyButtonWinnerSellerPartnerId,relatedStylesCount,relatedStylesType,productVideos,inventoryInfo,sizes,images,gender,primaryColour,discountLabel,discountDisplayLabel,additionalInfo,category,mrp,price,advanceOrderTag,colorVariantAvailable,productimagetag,listViews,discountType,tdBxGyText,catalogDate,season,year,isPersonalised,eorsPicksTag,personalizedCoupon,personalizedCouponValue,productMeta,systemAttributes,PAGE_URL_COMPLETE
0,Shirts/Roadster/Roadster-Men-Olive-Green-Slim-Fit-Solid-Casual-Shirt/9951577/buy,False,,False,9951577,Roadster Men Olive Green Slim Fit Solid Casual Shirt,Roadster Men Olive Green Slim Fit Solid Casual Shirt,0,0,False,0,,0,Roadster,http://assets.myntassets.com/assets/images/9951577/2020/7/16/b2ac6f68-84a9-4718-a967-8179227fe8a11594874809493-Roadster-Men-Olive-Green-Slim-Fit-Solid-Casual-Shirt-4341594-1.jpg,0,0,34613153,4118,0,,[],"[{'skuId': 34613150, 'label': '38', 'inventory': 118, 'available': True}, {'skuId': 34613151, 'label': '40', 'inventory': 183, 'available': True}, {'skuId': 34613152, 'label': '42', 'inventory': 96, 'available': True}, {'skuId': 34613153, 'label': '44', 'inventory': 52, 'available': True}]","38,40,42,44","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/9951577/2020/7/16/b2ac6f68-84a9-4718-a967-8179227fe8a11594874809493-Roadster-Men-Olive-Green-Slim-Fit-Solid-Casual-Shirt-4341594-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/9951577/2020/7/16/b2ac6f68-84a9-4718-a967-8179227fe8a11594874809493-Roadster-Men-Olive-Green-Slim-Fit-Solid-Casual-Shirt-4341594-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/9951577/2020/7/16/4d22b06f-df15-4905-96fd-a6e652fe84f31594874809216-Roadster-Men-Olive-Green-Slim-Fit-Solid-Casual-Shirt-4341594-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/9951577/2020/7/16/27428b52-0589-4a0c-b266-637c8f2c67ee1594874809284-Roadster-Men-Olive-Green-Slim-Fit-Solid-Casual-Shirt-4341594-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/9951577/2020/7/16/60444c76-66f7-4c18-ae50-bb5bc9b71c221594874809392-Roadster-Men-Olive-Green-Slim-Fit-Solid-Casual-Shirt-4341594-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/9951577/2020/7/16/bad902d0-9d40-4006-9529-8cad7d9b67641594874809341-Roadster-Men-Olive-Green-Slim-Fit-Solid-Casual-Shirt-4341594-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/9951577/2020/7/16/be77e836-7361-440d-bcfc-cdfa55ddcaf81594874809442-Roadster-Men-Olive-Green-Slim-Fit-Solid-Casual-Shirt-4341594-2.jpg'}]",Men,Olive,,,Slim Fit Casual Shirt,Shirts,1299,1299,,False,,0,,,1594857600000,Fall,2019,False,,,0,,[],www.myntra.com/Shirts/Roadster/Roadster-Men-Olive-Green-Slim-Fit-Solid-Casual-Shirt/9951577/buy
1,Shirts/Pepe-Jeans/Pepe-Jeans-Men-White-Regular-Fit-Solid-Casual-Shirt/11247890/buy,False,,False,11247890,Pepe Jeans Men White Regular Fit Solid Casual Shirt,Pepe Jeans Men White Regular Fit Solid Casual Shirt,0,0,False,0,,750,Pepe Jeans,http://assets.myntassets.com/assets/images/11247890/2020/7/20/fa980d9d-796c-4c88-9c19-2e99d902ed501595246134991-Pepe-Jeans-Men-Shirts-2441595246133253-1.jpg,0,0,38907122,6020,0,,[],"[{'skuId': 38907126, 'label': '34', 'inventory': 4, 'available': True}, {'skuId': 38907122, 'label': '36', 'inventory': 6, 'available': True}, {'skuId': 38907120, 'label': '38', 'inventory': 8, 'available': True}, {'skuId': 38907130, 'label': '40', 'inventory': 3, 'available': True}, {'skuId': 38907134, 'label': '42', 'inventory': 0, 'available': False}, {'skuId': 38907116, 'label': '44', 'inventory': 0, 'available': False}]","34,36,38,40","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11247890/2020/7/20/fa980d9d-796c-4c88-9c19-2e99d902ed501595246134991-Pepe-Jeans-Men-Shirts-2441595246133253-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11247890/2020/7/20/fa980d9d-796c-4c88-9c19-2e99d902ed501595246134991-Pepe-Jeans-Men-Shirts-2441595246133253-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11247890/2020/7/20/8f5474d6-840d-4cfd-b9f5-532d4d8c96e91595246134728-Pepe-Jeans-Men-Shirts-2441595246133253-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11247890/2020/7/20/a56323a7-8e14-4e7f-a06f-edec80ba3b441595246134864-Pepe-Jeans-Men-Shirts-2441595246133253-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11247890/2020/7/20/1338b32b-f7a3-487b-b702-a9a076c6db171595246134796-Pepe-Jeans-Men-Shirts-2441595246133253-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11247890/2020/7/20/beb1f850-a4d8-449e-ba8c-8a6e7ed4f8901595246134918-Pepe-Jeans-Men-Shirts-2441595246133253-2.jpg'}]",Men,White,Flat_Search_Percent,(30% OFF),Regular Fit Casual Shirt,Shirts,2499,1749,,False,,0,1,,1594857600000,Summer,2019,False,,,0,,[],www.myntra.com/Shirts/Pepe-Jeans/Pepe-Jeans-Men-White-Regular-Fit-Solid-Casual-Shirt/11247890/buy
2,Shirts/Nautica/Nautica-Men-Blue--White-Regular-Fit-Printed-Casual-Shirt/10772538/buy,False,,False,10772538,Nautica Men Blue & White Regular Fit Printed Casual Shirt,Nautica Men Blue & White Regular Fit Printed Casual Shirt,0,0,False,0,,0,Nautica,http://assets.myntassets.com/assets/images/10772538/2020/6/16/41daa073-c178-49d0-aa95-852807a6d0ae1592302063625-Nautica-Men-Tshirts-631592302061456-1.jpg,0,0,36996180,4118,0,,[],"[{'skuId': 36996178, 'label': '38', 'inventory': 3, 'available': True}, {'skuId': 36996176, 'label': '40', 'inventory': 2, 'available': True}, {'skuId': 36996174, 'label': '42', 'inventory': 4, 'available': True}, {'skuId': 36996180, 'label': '44', 'inventory': 5, 'available': True}, {'skuId': 36996182, 'label': '46', 'inventory': 0, 'available': False}]","38,40,42,44","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/10772538/2020/6/16/41daa073-c178-49d0-aa95-852807a6d0ae1592302063625-Nautica-Men-Tshirts-631592302061456-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/10772538/2020/6/16/41daa073-c178-49d0-aa95-852807a6d0ae1592302063625-Nautica-Men-Tshirts-631592302061456-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/10772538/2020/6/16/dc7861e2-3460-463e-a33b-0d134640c2af1592302063350-Nautica-Men-Tshirts-631592302061456-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/10772538/2020/6/16/88ec5c7b-ce81-4f92-9ad6-47cc4d685ae11592302063471-Nautica-Men-Tshirts-631592302061456-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/10772538/2020/6/16/b01588be-e8eb-4297-9787-ef43de87a6941592302063420-Nautica-Men-Tshirts-631592302061456-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/10772538/2020/6/16/b9cafeff-071e-4db4-9a57-1dbe73ccd9381592302063550-Nautica-Men-Tshirts-631592302061456-2.jpg'}]",Men,Blue,,,Regular Fit Print Casual Shirt,Shirts,2999,2999,,False,,0,,,1594857600000,Fall,2019,False,,,0,,[],www.myntra.com/Shirts/Nautica/Nautica-Men-Blue--White-Regular-Fit-Printed-Casual-Shirt/10772538/buy
3,Shirts/John-Players/John-Players-Men-White--Navy-Blue-Trim-Fit-Checked-Casual-Shirt/12016248/buy,False,,False,12016248,John Players Men White & Navy Blue Trim Fit Checked Casual Shirt,John Players Men White & Navy Blue Trim Fit Checked Casual Shirt,0,0,False,0,,640,John Players,http://assets.myntassets.com/assets/images/12016248/2020/7/16/41b9d249-944d-4401-a131-484c13303c641594895498318-John-Players-Men-Shirts-3201594895496146-1.jpg,0,0,41843632,4028,0,,[],"[{'skuId': 41843632, 'label': '39', 'inventory': 2, 'available': True}, {'skuId': 41843634, 'label': '40', 'inventory': 3, 'available': True}, {'skuId': 41843636, 'label': '42', 'inventory': 3, 'available': True}, {'skuId': 41843638, 'label': '44', 'inventory': 1, 'available': True}]","39,40,42,44","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12016248/2020/7/16/41b9d249-944d-4401-a131-484c13303c641594895498318-John-Players-Men-Shirts-3201594895496146-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12016248/2020/7/16/41b9d249-944d-4401-a131-484c13303c641594895498318-John-Players-Men-Shirts-3201594895496146-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/12016248/2020/7/16/4a27afd3-bec1-417c-95f4-eef4d0f1c8541594895498030-John-Players-Men-Shirts-3201594895496146-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12016248/2020/7/16/4de3b7a8-2b80-4b8d-bcf3-3e32918891b21594895498080-John-Players-Men-Shirts-3201594895496146-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12016248/2020/7/16/92c48594-f128-433f-a572-c3125e4562791594895498184-John-Players-Men-Shirts-3201594895496146-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12016248/2020/7/16/0f52b3b1-17cc-44e2-ab17-6e02dafaa0331594895498133-John-Players-Men-Shirts-3201594895496146-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12016248/2020/7/16/4cc4bed6-907e-4d86-baae-120e7b7d047f1594895498244-John-Players-Men-Shirts-3201594895496146-2.jpg'}]",Men,White,Flat_Search_Percent,(40% OFF),Checked Trim Fit Casual Shirt,Shirts,1599,959,,False,,0,1,,1594857600000,Fall,2019,False,,,0,,[],www.myntra.com/Shirts/John-Players/John-Players-Men-White--Navy-Blue-Trim-Fit-Checked-Casual-Shirt/12016248/buy
4,Shirts/Fabindia/Fabindia-Men-Blue-Slim-Fit-Printed-Casual-Shirt/11721060/buy,False,,False,11721060,Fabindia Men Blue Slim Fit Printed Casual Shirt,Fabindia Men Blue Slim Fit Printed Casual Shirt,0,0,False,0,,0,Fabindia,http://assets.myntassets.com/assets/images/11721060/2020/7/17/23b2fe81-664f-4db0-bcd2-5d746117aa621594986393135-Fabindia-Men-Blue-Slim-Fit-Printed-Casual-Shirt-267159498638-1.jpg,0,0,40767984,4028,0,,[],"[{'skuId': 40767982, 'label': '36', 'inventory': 1, 'available': True}, {'skuId': 40767984, 'label': '38', 'inventory': 2, 'available': True}, {'skuId': 40767986, 'label': '40', 'inventory': 2, 'available': True}, {'skuId': 40767988, 'label': '42', 'inventory': 1, 'available': True}, {'skuId': 40767990, 'label': '44', 'inventory': 1, 'available': True}]","36,38,40,42,44","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11721060/2020/7/17/23b2fe81-664f-4db0-bcd2-5d746117aa621594986393135-Fabindia-Men-Blue-Slim-Fit-Printed-Casual-Shirt-267159498638-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11721060/2020/7/17/23b2fe81-664f-4db0-bcd2-5d746117aa621594986393135-Fabindia-Men-Blue-Slim-Fit-Printed-Casual-Shirt-267159498638-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11721060/2020/7/17/746f561c-3acb-4a6a-aa0d-c18d919c4c601594986390826-Fabindia-Men-Blue-Slim-Fit-Printed-Casual-Shirt-267159498638-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11721060/2020/7/17/9c45b24e-5c2f-4735-b7c5-6ac1192d8cfc1594986391939-Fabindia-Men-Blue-Slim-Fit-Printed-Casual-Shirt-267159498638-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11721060/2020/7/17/8dafc809-49d8-4407-9590-1948c1ac26aa1594986391397-Fabindia-Men-Blue-Slim-Fit-Printed-Casual-Shirt-267159498638-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11721060/2020/7/17/1b1260bc-64e1-42ad-866e-6748b8ed8dfd1594986392462-Fabindia-Men-Blue-Slim-Fit-Printed-Casual-Shirt-267159498638-2.jpg'}]",Men,Blue,,,Slim Fit Casual Shirt,Shirts,1190,1190,,False,,0,,,1594857600000,Spring,2020,False,,,0,,[],www.myntra.com/Shirts/Fabindia/Fabindia-Men-Blue-Slim-Fit-Printed-Casual-Shirt/11721060/buy
5,Shirts/Roadster/Roadster-Men-White--Olive-Green-Regular-Fit-Conversational-Printed-Casual-Shirt/11958034/buy,False,,False,11958034,Roadster Men White & Olive Green Regular Fit Conversational Printed Casual Shirt,Roadster Men White & Olive Green Regular Fit Conversational Printed Casual Shirt,0,0,False,0,,0,Roadster,http://assets.myntassets.com/assets/images/11958034/2020/7/15/da6c16d6-0917-4a69-bcd0-0581c96efa711594819847071JeansRoadsterMenJeansRoadsterMenJeansRoadsterMenShirtsRoadst1.jpg,0,0,41637146,4118,0,,[],"[{'skuId': 41637144, 'label': '38', 'inventory': 124, 'available': True}, {'skuId': 41637146, 'label': '40', 'inventory': 191, 'available': True}, {'skuId': 41637148, 'label': '42', 'inventory': 130, 'available': True}, {'skuId': 41637150, 'label': '44', 'inventory': 66, 'available': True}]","38,40,42,44","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11958034/2020/7/15/da6c16d6-0917-4a69-bcd0-0581c96efa711594819847071JeansRoadsterMenJeansRoadsterMenJeansRoadsterMenShirtsRoadst1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11958034/2020/7/15/da6c16d6-0917-4a69-bcd0-0581c96efa711594819847071JeansRoadsterMenJeansRoadsterMenJeansRoadsterMenShirtsRoadst1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/11958034/2020/7/15/25bc0bee-cbce-4a3b-8fb4-6fe3ec5a611e1594819847374JeansRoadsterMenJeansRoadsterMenJeansRoadsterMenShirtsRoadst6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11958034/2020/7/15/31da2003-44b2-4029-9565-252783f1cf5c1594819847311JeansRoadsterMenJeansRoadsterMenJeansRoadsterMenShirtsRoadst5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11958034/2020/7/15/2539d3f4-6329-4f06-8569-720d1412462a1594819847190JeansRoadsterMenJeansRoadsterMenJeansRoadsterMenShirtsRoadst3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11958034/2020/7/15/7fbeba9c-20f7-44b5-9aeb-e7338fb6e0571594819847251JeansRoadsterMenJeansRoadsterMenJeansRoadsterMenShirtsRoadst4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11958034/2020/7/15/adbaf992-5709-4f1c-a994-8900b3babd6b1594819847133JeansRoadsterMenJeansRoadsterMenJeansRoadsterMenShirtsRoadst2.jpg'}]",Men,White,,,Regular Printed Casual Shirt,Shirts,999,999,,False,,0,,,1594857600000,Spring,2020,False,,,0,,[],www.myntra.com/Shirts/Roadster/Roadster-Men-White--Olive-Green-Regular-Fit-Conversational-Printed-Casual-Shirt/11958034/buy
6,Shirts/Pepe-Jeans/Pepe-Jeans-Men-Navy-Blue-Regular-Fit-Solid-Faded-Denim-Casual-Shirt/11247738/buy,False,,False,11247738,Pepe Jeans Men Navy Blue Regular Fit Solid Faded Denim Casual Shirt,Pepe Jeans Men Navy Blue Regular Fit Solid Faded Denim Casual Shirt,0,0,False,0,,0,Pepe Jeans,http://assets.myntassets.com/assets/images/11247738/2020/7/20/bde43cc4-ec5c-4aee-a491-2537938429fb1595233549069-Pepe-Jeans-Men-Shirts-2681595233547242-1.jpg,0,0,38906212,6020,0,,[],"[{'skuId': 38906210, 'label': '34', 'inventory': 4, 'available': True}, {'skuId': 38906208, 'label': '36', 'inventory': 7, 'available': True}, {'skuId': 38906206, 'label': '38', 'inventory': 7, 'available': True}, {'skuId': 38906212, 'label': '40', 'inventory': 4, 'available': True}, {'skuId': 38906214, 'label': '42', 'inventory': 2, 'available': True}, {'skuId': 38906204, 'label': '44', 'inventory': 0, 'available': False}]","34,36,38,40,42","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11247738/2020/7/20/bde43cc4-ec5c-4aee-a491-2537938429fb1595233549069-Pepe-Jeans-Men-Shirts-2681595233547242-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11247738/2020/7/20/bde43cc4-ec5c-4aee-a491-2537938429fb1595233549069-Pepe-Jeans-Men-Shirts-2681595233547242-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11247738/2020/7/20/68b982c1-a255-4acf-9f98-98ed92b4d5e91595233548829-Pepe-Jeans-Men-Shirts-2681595233547242-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11247738/2020/7/20/6cd61cfe-5a8f-4961-b738-9fb6a46a5ff11595233548961-Pepe-Jeans-Men-Shirts-2681595233547242-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11247738/2020/7/20/6845b88e-f823-4c27-b327-32c0c366bfd41595233548900-Pepe-Jeans-Men-Shirts-2681595233547242-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11247738/2020/7/20/9c671b0f-d891-4f18-a938-c3d982d445881595233549012-Pepe-Jeans-Men-Shirts-2681595233547242-2.jpg'}]",Men,Navy Blue,,,Men Faded Denim Casual Shirt,Shirts,2299,2299,,False,,0,,,1594857600000,Summer,2019,False,,,0,,[],www.myntra.com/Shirts/Pepe-Jeans/Pepe-Jeans-Men-Navy-Blue-Regular-Fit-Solid-Faded-Denim-Casual-Shirt/11247738/buy
7,Shirts/Allen-Solly-Sport/Allen-Solly-Sport-Men-Blue-Super-Slim-Fit-Solid-Smart-Casual-Shirt/12013218/buy,False,,False,12013218,Allen Solly Sport Men Blue Super Slim Fit Solid Smart Casual Shirt,Allen Solly Sport Men Blue Super Slim Fit Solid Smart Casual Shirt,0,0,False,0,,0,Allen Solly Sport,http://assets.myntassets.com/assets/images/12013218/2020/7/10/fd427658-c858-4912-a946-ec9e63b260f31594382989273-Allen-Solly-Casual-Shirt-6801594382987357-1.jpg,0,0,41832542,4036,0,,[],"[{'skuId': 41832540, 'label': '38', 'inventory': 5, 'available': True}, {'skuId': 41832542, 'label': '39', 'inventory': 0, 'available': False}, {'skuId': 41832544, 'label': '40', 'inventory': 6, 'available': True}, {'skuId': 41832546, 'label': '42', 'inventory': 11, 'available': True}, {'skuId': 41832548, 'label': '44', 'inventory': 0, 'available': False}]","38,40,42","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12013218/2020/7/10/fd427658-c858-4912-a946-ec9e63b260f31594382989273-Allen-Solly-Casual-Shirt-6801594382987357-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12013218/2020/7/10/fd427658-c858-4912-a946-ec9e63b260f31594382989273-Allen-Solly-Casual-Shirt-6801594382987357-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/12013218/2020/7/10/4e7d65c2-9bf1-4264-a6e0-d1b7477665aa1594382988959-Allen-Solly-Casual-Shirt-6801594382987357-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12013218/2020/7/10/cf4edfc3-1051-449f-b1a0-aa62fbbbd85f1594382989013-Allen-Solly-Casual-Shirt-6801594382987357-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12013218/2020/7/10/cbce7ad2-676c-4144-970c-7aa0d16fe3751594382989150-Allen-Solly-Casual-Shirt-6801594382987357-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12013218/2020/7/10/dd607535-6da8-4750-98d4-74a7053b792d1594382989079-Allen-Solly-Casual-Shirt-6801594382987357-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12013218/2020/7/10/97729c21-32c0-4d6a-a782-a259794673f71594382989206-Allen-Solly-Casual-Shirt-6801594382987357-2.jpg'}]",Men,Blue,,,Super Slim Solid Casual Shirt,Shirts,1599,1599,,False,,0,,,1594857600000,Spring,2020,False,,,0,,[],www.myntra.com/Shirts/Allen-Solly-Sport/Allen-Solly-Sport-Men-Blue-Super-Slim-Fit-Solid-Smart-Casual-Shirt/12013218/buy
8,Shirts/John-Players/John-Players-Men-Green--Blue-Trim-Fit-Checked-Casual-Shirt/12016212/buy,False,,False,12016212,John Players Men Green & Blue Trim Fit Checked Casual Shirt,John Players Men Green & Blue Trim Fit Checked Casual Shirt,0,0,False,0,,520,John Players,http://assets.myntassets.com/assets/images/12016212/2020/7/16/4ef4f076-c04f-4ea6-89f8-e8c0b8da03e01594895467629-John-Players-Men-Shirts-4181594895465418-1.jpg,0,0,41843484,4028,0,,[],"[{'skuId': 41843484, 'label': '39', 'inventory': 3, 'available': True}, {'skuId': 41843488, 'label': '40', 'inventory': 4, 'available': True}, {'skuId': 41843490, 'label': '42', 'inventory': 3, 'available': True}, {'skuId': 41843494, 'label': '44', 'inventory': 1, 'available': True}, {'skuId': 41843498, 'label': '46', 'inventory': 0, 'available': False}]","39,40,42,44","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12016212/2020/7/16/4ef4f076-c04f-4ea6-89f8-e8c0b8da03e01594895467629-John-Players-Men-Shirts-4181594895465418-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12016212/2020/7/16/4ef4f076-c04f-4ea6-89f8-e8c0b8da03e01594895467629-John-Players-Men-Shirts-4181594895465418-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/12016212/2020/7/16/32bcc54f-c6f2-4ba2-b8c1-ec3577644ae11594895467364-John-Players-Men-Shirts-4181594895465418-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12016212/2020/7/16/796b1e32-05b2-4773-87ea-07a74229cd4f1594895467425-John-Players-Men-Shirts-4181594895465418-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12016212/2020/7/16/01b02bd9-5044-4182-a8aa-056d2afde52e1594895467527-John-Players-Men-Shirts-4181594895465418-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12016212/2020/7/16/7ccad58d-8409-4190-ae62-7df55029f5891594895467479-John-Players-Men-Shirts-4181594895465418-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12016212/2020/7/16/16410bf6-d6cf-4f4d-afea-28ce31693d6f1594895467583-John-Players-Men-Shirts-4181594895465418-2.jpg'}]",Men,Green,Flat_Search_Percent,(40% OFF),Checked Regular Casual Shirt,Shirts,1299,779,,False,,0,1,,1594857600000,Fall,2019,False,,,0,,[],www.myntra.com/Shirts/John-Players/John-Players-Men-Green--Blue-Trim-Fit-Checked-Casual-Shirt/12016212/buy
9,Shirts/Roadster/Roadster-Men-Coffee-Brown--Black-Regular-Fit-Checked-Casual-Shirt/11896066/buy,False,,False,11896066,Roadster Men Coffee Brown & Black Regular Fit Checked Casual Shirt,Roadster Men Coffee Brown & Black Regular Fit Checked Casual Shirt,0,0,False,0,,0,Roadster,http://assets.myntassets.com/assets/images/11896066/2020/7/15/da8fdab9-2cfb-4f43-91ee-4d593e2e73741594819848748JeansRoadsterMenJeansRoadsterMenJeansRoadsterMenShirtsRoadst1.jpg,0,0,41409898,4118,0,,[],"[{'skuId': 41409898, 'label': '38', 'inventory': 150, 'available': True}, {'skuId': 41409902, 'label': '40', 'inventory': 239, 'available': True}, {'skuId': 41409906, 'label': '42', 'inventory': 156, 'available': True}, {'skuId': 41409910, 'label': '44', 'inventory': 80, 'available': True}]","38,40,42,44","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11896066/2020/7/15/da8fdab9-2cfb-4f43-91ee-4d593e2e73741594819848748JeansRoadsterMenJeansRoadsterMenJeansRoadsterMenShirtsRoadst1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11896066/2020/7/15/da8fdab9-2cfb-4f43-91ee-4d593e2e73741594819848748JeansRoadsterMenJeansRoadsterMenJeansRoadsterMenShirtsRoadst1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/11896066/2020/7/15/5e3d2b0d-d7c5-4064-a612-71818d8c06a51594819849083JeansRoadsterMenJeansRoadsterMenJeansRoadsterMenShirtsRoadst6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11896066/2020/7/15/83a1dd16-3a99-4cd0-8b7c-62bb2db9a5181594819849016JeansRoadsterMenJeansRoadsterMenJeansRoadsterMenShirtsRoadst5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11896066/2020/7/15/e83e4746-6173-4338-898e-aeb3ef2e21521594819848896JeansRoadsterMenJeansRoadsterMenJeansRoadsterMenShirtsRoadst3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11896066/2020/7/15/fad8de81-a699-4385-b5ca-34762264ec6c1594819848947JeansRoadsterMenJeansRoadsterMenJeansRoadsterMenShirtsRoadst4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11896066/2020/7/15/72de570c-945e-43a6-aa19-aaf1df5dcebc1594819848807JeansRoadsterMenJeansRoadsterMenJeansRoadsterMenShirtsRoadst2.jpg'}]",Men,Coffee Brown,,,Checked Regular Casual Shirt,Shirts,899,899,,False,,0,,,1594857600000,Spring,2020,False,,,0,,[],www.myntra.com/Shirts/Roadster/Roadster-Men-Coffee-Brown--Black-Regular-Fit-Checked-Casual-Shirt/11896066/buy
