,landingPageUrl,loyaltyPointsEnabled,adId,isPLA,productId,product,productName,rating,ratingCount,isFastFashion,futureDiscountedPrice,futureDiscountStartDate,discount,brand,searchImage,effectiveDiscountPercentageAfterTax,effectiveDiscountAmountAfterTax,buyButtonWinnerSkuId,buyButtonWinnerSellerPartnerId,relatedStylesCount,relatedStylesType,productVideos,inventoryInfo,sizes,images,gender,primaryColour,discountLabel,discountDisplayLabel,additionalInfo,category,mrp,price,advanceOrderTag,colorVariantAvailable,productimagetag,listViews,discountType,tdBxGyText,catalogDate,season,year,isPersonalised,eorsPicksTag,personalizedCoupon,personalizedCouponValue,productMeta,systemAttributes,PAGE_URL_COMPLETE
0,Tshirts/WROGN/WROGN-Men-Blue-Printed-Round-Neck-T-shirt/12039968/buy,False,,False,12039968,WROGN Men Blue Printed Round Neck T-shirt,WROGN Men Blue Printed Round Neck T-shirt,0,0,False,0,,0,WROGN,http://assets.myntassets.com/assets/images/12039968/2020/7/14/4be59325-e2b0-4430-99a7-dccd1f637b3c1594711088847-WROGN-Men-Tshirts-9851594711087801-1.jpg,0,0,41926190,4214,0,,[],"[{'skuId': 41926186, 'label': 'S', 'inventory': 3, 'available': True}, {'skuId': 41926188, 'label': 'M', 'inventory': 5, 'available': True}, {'skuId': 41926190, 'label': 'L', 'inventory': 10, 'available': True}, {'skuId': 41926192, 'label': 'XL', 'inventory': 3, 'available': True}, {'skuId': 41926194, 'label': 'XXL', 'inventory': 0, 'available': False}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12039968/2020/7/14/4be59325-e2b0-4430-99a7-dccd1f637b3c1594711088847-WROGN-Men-Tshirts-9851594711087801-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12039968/2020/7/14/4be59325-e2b0-4430-99a7-dccd1f637b3c1594711088847-WROGN-Men-Tshirts-9851594711087801-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12039968/2020/7/14/37246973-3da2-4721-9c0e-37aa237052f11594711088634-WROGN-Men-Tshirts-9851594711087801-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12039968/2020/7/14/638cc50c-33ee-45cb-914f-2ad600e5e6e71594711088737-WROGN-Men-Tshirts-9851594711087801-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12039968/2020/7/14/5d3b7c35-9b7c-4d7e-b731-e235039c039c1594711088685-WROGN-Men-Tshirts-9851594711087801-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12039968/2020/7/14/c57e238c-84d3-4ca5-8961-df9cf27aff7e1594711088791-WROGN-Men-Tshirts-9851594711087801-2.jpg'}]",Men,Blue,,,Printed Round Neck T-shirt,Tshirts,1099,1099,,False,,0,,,1594857600000,Spring,2020,False,,,0,,[],www.myntra.com/Tshirts/WROGN/WROGN-Men-Blue-Printed-Round-Neck-T-shirt/12039968/buy
1,Tshirts/Pepe-Jeans/Pepe-Jeans-Men-Red-Striped-Round-Neck-T-shirt/11366924/buy,False,,False,11366924,Pepe Jeans Men Red Striped Round Neck T-shirt,Pepe Jeans Men Red Striped Round Neck T-shirt,0,0,False,0,,260,Pepe Jeans,http://assets.myntassets.com/assets/images/11366924/2020/7/20/a377a263-5fec-424e-bbe8-b9702ac319711595247791578-Pepe-Jeans-Men-Tshirts-3311595247790145-1.jpg,0,0,39418590,6020,0,,[],"[{'skuId': 39418590, 'label': 'S', 'inventory': 4, 'available': True}, {'skuId': 39418588, 'label': 'M', 'inventory': 8, 'available': True}, {'skuId': 39418586, 'label': 'L', 'inventory': 7, 'available': True}, {'skuId': 39418592, 'label': 'XL', 'inventory': 4, 'available': True}, {'skuId': 39418594, 'label': 'XXL', 'inventory': 3, 'available': True}, {'skuId': 39418584, 'label': '3XL', 'inventory': 0, 'available': False}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11366924/2020/7/20/a377a263-5fec-424e-bbe8-b9702ac319711595247791578-Pepe-Jeans-Men-Tshirts-3311595247790145-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11366924/2020/7/20/a377a263-5fec-424e-bbe8-b9702ac319711595247791578-Pepe-Jeans-Men-Tshirts-3311595247790145-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11366924/2020/7/20/0b6d3116-c572-4f28-8ccb-819b75fdd65d1595247791298-Pepe-Jeans-Men-Tshirts-3311595247790145-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11366924/2020/7/20/d476b7cd-5a15-4bc8-80bf-22cad7e8d0751595247791434-Pepe-Jeans-Men-Tshirts-3311595247790145-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11366924/2020/7/20/81ff5725-2631-49e3-a66a-ad87c510b6941595247791512-Pepe-Jeans-Men-Tshirts-3311595247790145-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11366924/2020/7/20/e0901568-0ff5-4778-acef-8b93caed682c1595247791365-Pepe-Jeans-Men-Tshirts-3311595247790145-4.jpg'}]",Men,Red,Flat_Search_Percent,(20% OFF),Striped Round Neck T-shirt,Tshirts,1299,1039,,False,,0,1,,1594857600000,Summer,2020,False,,,0,,[],www.myntra.com/Tshirts/Pepe-Jeans/Pepe-Jeans-Men-Red-Striped-Round-Neck-T-shirt/11366924/buy
2,Tshirts/DOOR74/DOOR74-Men-Blue-Printed-Round-Neck-T-shirt/12098368/buy,False,,False,12098368,DOOR74 Men Blue Printed Round Neck T-shirt,DOOR74 Men Blue Printed Round Neck T-shirt,0,0,False,0,,500,DOOR74,http://assets.myntassets.com/assets/images/productimage/2020/7/17/3d61671e-6798-42aa-8164-55b53ae166cf1594947311248-1.jpg,0,0,42122674,4036,0,,[],"[{'skuId': 42122670, 'label': 'S', 'inventory': 30, 'available': True}, {'skuId': 42122672, 'label': 'M', 'inventory': 27, 'available': True}, {'skuId': 42122674, 'label': 'L', 'inventory': 27, 'available': True}, {'skuId': 42122676, 'label': 'XL', 'inventory': 24, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/3d61671e-6798-42aa-8164-55b53ae166cf1594947311248-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/3d61671e-6798-42aa-8164-55b53ae166cf1594947311248-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/090345b5-3793-423b-8160-ebae22f9d7e01594947311506-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/3e7e479c-6101-42be-9333-f607697259a11594947311369-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/7aeb7612-5dd4-49d8-8fb8-d04338c487441594947311442-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/d2eaf906-cf87-41fa-977e-126a15a5c3cb1594947311313-2.jpg'}]",Men,Blue,Flat_Search_Percent,(50% OFF),Printed Round Neck T-shirt,Tshirts,999,499,,False,,0,1,,1594857600000,Fall,2020,False,,,0,,"[{'attribute': 'SA_XT_New', 'value': 'NEW'}]",www.myntra.com/Tshirts/DOOR74/DOOR74-Men-Blue-Printed-Round-Neck-T-shirt/12098368/buy
3,Tshirts/Fitkin/Fitkin-Men-Navy-Blue-Solid-Round-Neck-Training-T-shirt/11954036/buy,False,,False,11954036,Fitkin Men Navy Blue Solid Round Neck Training T-shirt,Fitkin Men Navy Blue Solid Round Neck Training T-shirt,0,0,False,0,,0,Fitkin,http://assets.myntassets.com/assets/images/11954036/2020/7/16/cfc6736e-e478-4951-9fbb-882ae99196e21594873595584-Fitkin-Men-Navy-Blue-Solid-Round-Neck-T-shirt-61015948735940-1.jpg,0,0,41621758,4036,0,,[],"[{'skuId': 41621758, 'label': 'M', 'inventory': 1, 'available': True}, {'skuId': 41621760, 'label': 'L', 'inventory': 6, 'available': True}, {'skuId': 41621762, 'label': 'XL', 'inventory': 1, 'available': True}]","M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11954036/2020/7/16/cfc6736e-e478-4951-9fbb-882ae99196e21594873595584-Fitkin-Men-Navy-Blue-Solid-Round-Neck-T-shirt-61015948735940-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11954036/2020/7/16/cfc6736e-e478-4951-9fbb-882ae99196e21594873595584-Fitkin-Men-Navy-Blue-Solid-Round-Neck-T-shirt-61015948735940-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11954036/2020/7/16/4101dece-fad0-4cc2-845c-d98e6df2beba1594873595366-Fitkin-Men-Navy-Blue-Solid-Round-Neck-T-shirt-61015948735940-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11954036/2020/7/16/efeac254-4bc0-47ce-9f79-84f2405ccf411594873595474-Fitkin-Men-Navy-Blue-Solid-Round-Neck-T-shirt-61015948735940-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11954036/2020/7/16/8d0483d8-90f1-4aa2-975f-1f767029ebd91594873595424-Fitkin-Men-Navy-Blue-Solid-Round-Neck-T-shirt-61015948735940-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11954036/2020/7/16/859d7e03-d209-485f-ad6b-d76cd99b4a751594873595530-Fitkin-Men-Navy-Blue-Solid-Round-Neck-T-shirt-61015948735940-2.jpg'}]",Men,Navy Blue,,,Round Neck Training T-shirt,Tshirts,1999,1999,,False,,0,,,1594857600000,Spring,2020,False,,,0,,[],www.myntra.com/Tshirts/Fitkin/Fitkin-Men-Navy-Blue-Solid-Round-Neck-Training-T-shirt/11954036/buy
4,Tshirts/98-Degree-North/98-Degree-North-Men-Navy-Blue--White-Printed-Polo-Collar-T-shirt/12110356/buy,False,,False,12110356,98 Degree North Men Navy Blue & White Printed Polo Collar T-shirt,98 Degree North Men Navy Blue & White Printed Polo Collar T-shirt,0,0,False,0,,1407,98 Degree North,http://assets.myntassets.com/assets/images/productimage/2020/7/18/94395c81-9b8d-4cee-b842-d7a6a9b093c01595028495522-1.jpg,0,0,42170554,6063,0,,[],"[{'skuId': 42170552, 'label': 'S', 'inventory': 5, 'available': True}, {'skuId': 42170554, 'label': 'M', 'inventory': 11, 'available': True}, {'skuId': 42170556, 'label': 'L', 'inventory': 15, 'available': True}, {'skuId': 42170558, 'label': 'XL', 'inventory': 15, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/94395c81-9b8d-4cee-b842-d7a6a9b093c01595028495522-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/94395c81-9b8d-4cee-b842-d7a6a9b093c01595028495522-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/a8456c6f-b2d7-40a3-9bf4-76161c5ee2741595028495773-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/d8fe70a6-f455-4140-9847-9bc5ce6b2f661595028495725-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/48b25e08-11d5-4bcc-afd0-ed01dad109a11595028495623-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/7e3d49cd-2713-4301-a54c-6f5cac0f9d581595028495669-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/648529be-65ee-4118-84b5-b617f919af671595028495571-2.jpg'}]",Men,Navy Blue,Flat_Search_Percent,(67% OFF),Printed Polo Collar T-shirt,Tshirts,2099,692,,False,,0,1,,1594857600000,Summer,2020,False,,,0,,[],www.myntra.com/Tshirts/98-Degree-North/98-Degree-North-Men-Navy-Blue--White-Printed-Polo-Collar-T-shirt/12110356/buy
5,Tshirts/98-Degree-North/98-Degree-North-Men-Yellow--Black-Striped-Polo-Collar-T-shirt/12110376/buy,False,,False,12110376,98 Degree North Men Yellow & Black Striped Polo Collar T-shirt,98 Degree North Men Yellow & Black Striped Polo Collar T-shirt,0,0,False,0,,1407,98 Degree North,http://assets.myntassets.com/assets/images/productimage/2020/7/18/56ba1571-e71b-457a-bec6-5354a8591af21595026912516-1.jpg,0,0,42170622,6063,0,,[],"[{'skuId': 42170620, 'label': 'XXL', 'inventory': 5, 'available': True}, {'skuId': 42170622, 'label': '3XL', 'inventory': 7, 'available': True}, {'skuId': 42170624, 'label': '4XL', 'inventory': 0, 'available': False}]","XXL,3XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/56ba1571-e71b-457a-bec6-5354a8591af21595026912516-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/56ba1571-e71b-457a-bec6-5354a8591af21595026912516-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/bc3926a1-7b25-4451-b109-8134e989dcf21595026912766-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/98334cf2-2fc4-42db-a9f0-626cf1857dc71595026912717-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/3bbf6303-8f05-4eb2-94cf-af4bcf9778e11595026912616-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/717961a0-9fee-4f5e-82c3-f1b4e71cd74f1595026912667-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/53be8725-c622-4b9f-98b6-dd5c0229bec71595026912566-2.jpg'}]",Men,Yellow,Flat_Search_Percent,(67% OFF),Striped Polo Collar T-shirt,Tshirts,2099,692,,False,,0,1,,1594857600000,Summer,2020,False,,,0,,[],www.myntra.com/Tshirts/98-Degree-North/98-Degree-North-Men-Yellow--Black-Striped-Polo-Collar-T-shirt/12110376/buy
6,Tshirts/98-Degree-North/98-Degree-North-Men-Rust-Orange-Solid-Polo-Collar-T-shirt/12110396/buy,False,,False,12110396,98 Degree North Men Rust Orange Solid Polo Collar T-shirt,98 Degree North Men Rust Orange Solid Polo Collar T-shirt,0,0,False,0,,1206,98 Degree North,http://assets.myntassets.com/assets/images/productimage/2020/7/18/d1a5cd86-66fc-4a8c-9547-25405ec2c1f91595029076807-1.jpg,0,0,42170690,6063,0,,[],"[{'skuId': 42170688, 'label': 'S', 'inventory': 5, 'available': True}, {'skuId': 42170690, 'label': 'M', 'inventory': 25, 'available': True}, {'skuId': 42170692, 'label': 'L', 'inventory': 24, 'available': True}, {'skuId': 42170694, 'label': 'XL', 'inventory': 20, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/d1a5cd86-66fc-4a8c-9547-25405ec2c1f91595029076807-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/d1a5cd86-66fc-4a8c-9547-25405ec2c1f91595029076807-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/d0263425-377a-4131-9a9b-bc2d9ed855a11595029077081-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/f0278539-fc1b-47ca-8000-13ae14c314b21595029077029-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/de0bebfd-8a23-4161-9385-7160c364c2a51595029076919-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/c52f932d-87ba-4c87-b5be-1a30bc84be1d1595029076867-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/4eba2a4e-dd1a-4d12-8c0b-8654b4175fc91595029076982-4.jpg'}]",Men,Rust,Flat_Search_Percent,(67% OFF),Solid Polo Collar T-shirt,Tshirts,1799,593,,False,,0,1,,1594857600000,Summer,2020,False,,,0,,[],www.myntra.com/Tshirts/98-Degree-North/98-Degree-North-Men-Rust-Orange-Solid-Polo-Collar-T-shirt/12110396/buy
7,Tshirts/WROGN/WROGN-Men-Burgundy--Black-Striped-Slim-Fit-Round-Neck-T-shirt/11364028/buy,False,,False,11364028,WROGN Men Burgundy & Black Striped Slim Fit Round Neck T-shirt,WROGN Men Burgundy & Black Striped Slim Fit Round Neck T-shirt,0,0,False,0,,0,WROGN,http://assets.myntassets.com/assets/images/11364028/2020/7/16/60c6da4a-66ba-4e79-9f19-d5e87d0347f31594898987317WROGNMenBlackSolidRoundNeckT-shirtTshirtsWROGNMen1.jpg,0,0,39405862,4214,0,,[],"[{'skuId': 39405862, 'label': 'S', 'inventory': 6, 'available': True}, {'skuId': 39405864, 'label': 'M', 'inventory': 17, 'available': True}, {'skuId': 39405866, 'label': 'L', 'inventory': 14, 'available': True}, {'skuId': 39405868, 'label': 'XL', 'inventory': 9, 'available': True}, {'skuId': 39405870, 'label': 'XXL', 'inventory': 3, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11364028/2020/7/16/60c6da4a-66ba-4e79-9f19-d5e87d0347f31594898987317WROGNMenBlackSolidRoundNeckT-shirtTshirtsWROGNMen1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11364028/2020/7/16/60c6da4a-66ba-4e79-9f19-d5e87d0347f31594898987317WROGNMenBlackSolidRoundNeckT-shirtTshirtsWROGNMen1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11364028/2020/7/16/ff4d3fbf-6b85-4f60-98ab-b6d7c7a87a631594898987612WROGNMenBlackSolidRoundNeckT-shirtTshirtsWROGNMen5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11364028/2020/7/16/c8378844-d839-4db9-948b-f59cd5b462c01594898987444WROGNMenBlackSolidRoundNeckT-shirtTshirtsWROGNMen3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11364028/2020/7/16/2a89e54d-41ba-4394-94ac-45b84ed699dc1594898987534WROGNMenBlackSolidRoundNeckT-shirtTshirtsWROGNMen4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11364028/2020/7/16/171a63e8-baf4-45bc-aaef-0e67b663197f1594898987380WROGNMenBlackSolidRoundNeckT-shirtTshirtsWROGNMen2.jpg'}]",Men,Burgundy,,,Slim Fit Round Neck T-shirt,Tshirts,1299,1299,,False,,0,,,1594857600000,Spring,2020,False,,,0,,[],www.myntra.com/Tshirts/WROGN/WROGN-Men-Burgundy--Black-Striped-Slim-Fit-Round-Neck-T-shirt/11364028/buy
8,Tshirts/DOOR74/DOOR74-Men-Navy-Blue-Printed-Round-Neck-T-shirt/12098360/buy,False,,False,12098360,DOOR74 Men Navy Blue Printed Round Neck T-shirt,DOOR74 Men Navy Blue Printed Round Neck T-shirt,0,0,False,0,,500,DOOR74,http://assets.myntassets.com/assets/images/productimage/2020/7/17/245aab81-8caa-4aa7-9b20-635f49d85a0e1594936616185-1.jpg,0,0,42122638,4036,0,,[],"[{'skuId': 42122638, 'label': 'S', 'inventory': 30, 'available': True}, {'skuId': 42122640, 'label': 'M', 'inventory': 24, 'available': True}, {'skuId': 42122642, 'label': 'L', 'inventory': 27, 'available': True}, {'skuId': 42122644, 'label': 'XL', 'inventory': 27, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/245aab81-8caa-4aa7-9b20-635f49d85a0e1594936616185-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/245aab81-8caa-4aa7-9b20-635f49d85a0e1594936616185-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/a2920da8-a825-4ea9-822d-65531bd877a21594936616419-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/9558e945-6be2-4ed8-9c55-474a2a9c6e791594936616306-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/d11a395e-892f-404b-a6ee-311ef4b41e401594936616363-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/de9b8df9-d8de-486c-b980-627916f408901594936616246-2.jpg'}]",Men,Navy Blue,Flat_Search_Percent,(50% OFF),Printed Round Neck T-shirt,Tshirts,999,499,,False,,0,1,,1594857600000,Fall,2020,False,,,0,,"[{'attribute': 'SA_XT_New', 'value': 'NEW'}]",www.myntra.com/Tshirts/DOOR74/DOOR74-Men-Navy-Blue-Printed-Round-Neck-T-shirt/12098360/buy
9,Tshirts/Jockey/Jockey-Men-Grey-Melange--Navy-Striped-Polo-Collar-T-shirt/11444076/buy,False,,False,11444076,Jockey Men Grey Melange & Navy Striped Polo Collar T-shirt,Jockey Men Grey Melange & Navy Striped Polo Collar T-shirt,0,0,False,0,,0,Jockey,http://assets.myntassets.com/assets/images/11444076/2020/7/17/272e3a87-1599-433f-9242-0f97c373ef8e1594969596665-Jockey-Men-Lounge-Tshirts-6531594969595506-1.jpg,0,0,39746238,4028,0,,[],"[{'skuId': 39746236, 'label': 'XL', 'inventory': 8, 'available': True}, {'skuId': 39746238, 'label': 'XXL', 'inventory': 3, 'available': True}]","XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11444076/2020/7/17/272e3a87-1599-433f-9242-0f97c373ef8e1594969596665-Jockey-Men-Lounge-Tshirts-6531594969595506-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11444076/2020/7/17/272e3a87-1599-433f-9242-0f97c373ef8e1594969596665-Jockey-Men-Lounge-Tshirts-6531594969595506-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11444076/2020/7/17/fa6988a8-bacb-4b1c-a698-04bd475ac1c21594969596431-Jockey-Men-Lounge-Tshirts-6531594969595506-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11444076/2020/7/17/5a1d7fc3-43aa-4296-af4b-ebf445c05a0f1594969596554-Jockey-Men-Lounge-Tshirts-6531594969595506-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11444076/2020/7/17/ebca0b02-73e1-4493-999c-ebaf3f75c9171594969596612-Jockey-Men-Lounge-Tshirts-6531594969595506-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11444076/2020/7/17/0eb31d4b-3f46-4c8f-b7d5-4b93aabb289b1594969596491-Jockey-Men-Lounge-Tshirts-6531594969595506-4.jpg'}]",Men,Grey Melange,,,Striped Polo Collar T-shirt,Tshirts,1009,1009,,False,,0,,,1594857600000,Spring,2020,False,,,0,,[],www.myntra.com/Tshirts/Jockey/Jockey-Men-Grey-Melange--Navy-Striped-Polo-Collar-T-shirt/11444076/buy
