,landingPageUrl,loyaltyPointsEnabled,adId,isPLA,productId,product,productName,rating,ratingCount,isFastFashion,futureDiscountedPrice,futureDiscountStartDate,discount,brand,searchImage,effectiveDiscountPercentageAfterTax,effectiveDiscountAmountAfterTax,buyButtonWinnerSkuId,buyButtonWinnerSellerPartnerId,relatedStylesCount,relatedStylesType,productVideos,inventoryInfo,sizes,images,gender,primaryColour,discountLabel,discountDisplayLabel,additionalInfo,category,mrp,price,advanceOrderTag,colorVariantAvailable,productimagetag,listViews,discountType,tdBxGyText,catalogDate,season,year,isPersonalised,eorsPicksTag,personalizedCoupon,personalizedCouponValue,productMeta,systemAttributes,PAGE_URL_COMPLETE
0,Jumpsuit/Juniper/Juniper-Women-Navy-Blue--Mustard-Printed-Top-with-Palazzos/11949332/buy,False,,False,11949332,Juniper Women Navy Blue & Mustard Printed Top with Palazzos,Juniper Women Navy Blue & Mustard Printed Top with Palazzos,0.0,0,False,0,,2010,Juniper,http://assets.myntassets.com/assets/images/productimage/2020/6/14/43a1f394-c77c-4af0-83c0-62f76e5a75d11592086845276-1.jpg,0,0,41601434,6938,0,,[],"[{'skuId': 41601432, 'label': 'S', 'inventory': 21, 'available': True}, {'skuId': 41601434, 'label': 'M', 'inventory': 53, 'available': True}, {'skuId': 41601436, 'label': 'L', 'inventory': 57, 'available': True}, {'skuId': 41601438, 'label': 'XL', 'inventory': 66, 'available': True}, {'skuId': 41601440, 'label': 'XXL', 'inventory': 25, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/6/14/43a1f394-c77c-4af0-83c0-62f76e5a75d11592086845276-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/6/14/43a1f394-c77c-4af0-83c0-62f76e5a75d11592086845276-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/6/14/907f1e3c-7205-434d-8a37-390f0325c9251592086845548-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/6/14/44fd8ea7-69cf-420b-9a7f-84070c144aa51592086845492-5.jpg'}, {'view': 'bottom', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/6/14/a0b259d3-a835-4fbe-8c68-05317b8a5c771592086845600-7.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/6/14/2b61078c-93ff-43be-84d3-f4924e34e6d31592086845388-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/6/14/1769e831-96dd-4a3f-b6ef-1ae4774a08601592086845439-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/6/14/afd7aa1f-e955-4241-9bdd-d3f62d9ce3671592086845330-2.jpg'}]",Women,Navy Blue,Flat_Search_Percent,(67% OFF),Printed Top with Palazzos,Jumpsuit,2999,989,,False,,0,1,,1594857600000,Summer,2020,False,,,0,,[],www.myntra.com/Jumpsuit/Juniper/Juniper-Women-Navy-Blue--Mustard-Printed-Top-with-Palazzos/11949332/buy
1,Dresses/ANAISA/ANAISA-Women-Pink-Printed-Ethnic-Layered-Maxi-Dress/11962586/buy,False,,False,11962586,ANAISA Women Pink Printed Ethnic Layered Maxi Dress,ANAISA Women Pink Printed Ethnic Layered Maxi Dress,0.0,0,False,0,,4125,ANAISA,http://assets.myntassets.com/assets/images/11962586/2020/6/24/de33cacd-bf27-4733-9ed3-02637e3681ec1593000929779ANAISAWomenPinkPrintedEthnicLayeredMaxiDress1.jpg,0,0,41651404,4150,0,,[],"[{'skuId': 41651404, 'label': 'S', 'inventory': 20, 'available': True}, {'skuId': 41651406, 'label': 'M', 'inventory': 20, 'available': True}, {'skuId': 41651408, 'label': 'L', 'inventory': 20, 'available': True}, {'skuId': 41651410, 'label': 'XL', 'inventory': 20, 'available': True}, {'skuId': 41651412, 'label': 'XXL', 'inventory': 0, 'available': False}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11962586/2020/6/24/de33cacd-bf27-4733-9ed3-02637e3681ec1593000929779ANAISAWomenPinkPrintedEthnicLayeredMaxiDress1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11962586/2020/6/24/de33cacd-bf27-4733-9ed3-02637e3681ec1593000929779ANAISAWomenPinkPrintedEthnicLayeredMaxiDress1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11962586/2020/6/24/d9bc6439-064d-4037-8d89-d0ff2d9d3a891593000930120ANAISAWomenPinkPrintedEthnicLayeredMaxiDress5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11962586/2020/6/24/44efbb9b-6919-44c7-b300-51c149efc4311593000929947ANAISAWomenPinkPrintedEthnicLayeredMaxiDress3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11962586/2020/6/24/6687070a-c688-4380-9d24-b69d800c98511593000930042ANAISAWomenPinkPrintedEthnicLayeredMaxiDress4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11962586/2020/6/24/4eb6e34d-0fb6-48df-87f3-8f00ebe780751593000929852ANAISAWomenPinkPrintedEthnicLayeredMaxiDress2.jpg'}]",Women,Pink,Flat_Search_Percent,(75% OFF),Printed Layered Maxi Dress,Dresses,5499,1374,,False,,0,1,,1594857600000,Summer,2020,False,,,0,,[],www.myntra.com/Dresses/ANAISA/ANAISA-Women-Pink-Printed-Ethnic-Layered-Maxi-Dress/11962586/buy
2,Dresses/Anouk/Anouk-Women-Mustard-Floral-Printed-Fit-and-Flare-Dress/12011004/buy,False,,False,12011004,Anouk Women Mustard Floral Printed Fit and Flare Dress,Anouk Women Mustard Floral Printed Fit and Flare Dress,0.0,0,False,0,,510,Anouk,http://assets.myntassets.com/assets/images/12011004/2020/7/13/c1b25963-5549-48e6-93a9-bf370d3317411594620852235-Anouk-Women-Dresses-7441594620850742-1.jpg,0,0,41823382,7138,0,,[],"[{'skuId': 41823370, 'label': 'XS', 'inventory': 7, 'available': True}, {'skuId': 41823374, 'label': 'S', 'inventory': 17, 'available': True}, {'skuId': 41823376, 'label': 'M', 'inventory': 18, 'available': True}, {'skuId': 41823382, 'label': 'L', 'inventory': 18, 'available': True}, {'skuId': 41823386, 'label': 'XL', 'inventory': 17, 'available': True}, {'skuId': 41823390, 'label': 'XXL', 'inventory': 7, 'available': True}]","XS,S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12011004/2020/7/13/c1b25963-5549-48e6-93a9-bf370d3317411594620852235-Anouk-Women-Dresses-7441594620850742-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12011004/2020/7/13/c1b25963-5549-48e6-93a9-bf370d3317411594620852235-Anouk-Women-Dresses-7441594620850742-1.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12011004/2020/7/13/3b001991-2ded-44ce-af3a-80eb672a7fde1594620852123-Anouk-Women-Dresses-7441594620850742-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12011004/2020/7/13/3a8b071e-2f6a-40e9-b766-947af46c15431594620852067-Anouk-Women-Dresses-7441594620850742-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12011004/2020/7/13/9b517a89-cb30-4caf-b31f-224dc51d40751594620852167-Anouk-Women-Dresses-7441594620850742-2.jpg'}]",Women,Mustard,Flat_Search_Percent,(30% OFF),Printed Fit and Flare Dress,Dresses,1699,1189,,False,,0,1,,1594252800000,Summer,2020,False,,,0,,[],www.myntra.com/Dresses/Anouk/Anouk-Women-Mustard-Floral-Printed-Fit-and-Flare-Dress/12011004/buy
3,Dresses/Anouk/Anouk-Women-Green-Solid-A-Line-Dress-with-Beige-Printed-Jacket/12011018/buy,False,,False,12011018,Anouk Women Green Solid A-Line Dress with Beige Printed Jacket,Anouk Women Green Solid A-Line Dress with Beige Printed Jacket,0.0,0,False,0,,750,Anouk,http://assets.myntassets.com/assets/images/12011018/2020/7/13/dba9f01d-b559-4d6c-938d-0a231fbae0a21594620859766-Anouk-Women-Dresses-9171594620857867-1.jpg,0,0,41823444,7138,0,,[],"[{'skuId': 41823444, 'label': 'XS', 'inventory': 20, 'available': True}, {'skuId': 41823446, 'label': 'S', 'inventory': 38, 'available': True}, {'skuId': 41823450, 'label': 'M', 'inventory': 32, 'available': True}, {'skuId': 41823454, 'label': 'L', 'inventory': 38, 'available': True}, {'skuId': 41823458, 'label': 'XL', 'inventory': 30, 'available': True}, {'skuId': 41823462, 'label': 'XXL', 'inventory': 11, 'available': True}]","XS,S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12011018/2020/7/13/dba9f01d-b559-4d6c-938d-0a231fbae0a21594620859766-Anouk-Women-Dresses-9171594620857867-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12011018/2020/7/13/dba9f01d-b559-4d6c-938d-0a231fbae0a21594620859766-Anouk-Women-Dresses-9171594620857867-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12011018/2020/7/13/d9e342df-046d-4ab4-b940-a1fcbfa6a7031594620859508-Anouk-Women-Dresses-9171594620857867-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12011018/2020/7/13/4c177aa9-59d1-47d0-bc81-963e04075a781594620859651-Anouk-Women-Dresses-9171594620857867-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12011018/2020/7/13/781eee78-eb68-41b6-93c9-083febbdd6511594620859707-Anouk-Women-Dresses-9171594620857867-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12011018/2020/7/13/d475bc76-ab7d-4e57-901b-e5dd38ec21df1594620859572-Anouk-Women-Dresses-9171594620857867-4.jpg'}]",Women,Green,Flat_Search_Percent,(30% OFF),Solid A-Line Dress,Dresses,2499,1749,,False,,0,1,,1594252800000,Summer,2020,False,,,0,,[],www.myntra.com/Dresses/Anouk/Anouk-Women-Green-Solid-A-Line-Dress-with-Beige-Printed-Jacket/12011018/buy
4,Dresses/Globus/Globus-Women-Beige-Embroidered-A-Line-Dress/12075286/buy,False,,False,12075286,Globus Women Beige Embroidered A-Line Dress,Globus Women Beige Embroidered A-Line Dress,0.0,0,False,0,,500,Globus,http://assets.myntassets.com/assets/images/12075286/2020/7/13/f810b4ea-3e69-4db4-bb42-21c7393373031594631899349Dress1.jpg,0,0,42042022,4614,0,,[],"[{'skuId': 42042020, 'label': 'S', 'inventory': 26, 'available': True}, {'skuId': 42042022, 'label': 'M', 'inventory': 25, 'available': True}, {'skuId': 42042024, 'label': 'L', 'inventory': 11, 'available': True}, {'skuId': 42042026, 'label': 'XL', 'inventory': 12, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12075286/2020/7/13/f810b4ea-3e69-4db4-bb42-21c7393373031594631899349Dress1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12075286/2020/7/13/f810b4ea-3e69-4db4-bb42-21c7393373031594631899349Dress1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12075286/2020/7/13/68449cbb-4bc0-4718-abeb-a0b15957fdc11594631899602Dress5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12075286/2020/7/13/42c6b00a-55f1-4842-b0da-4ec88be9bc4c1594631899479Dress3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12075286/2020/7/13/68a57513-07f3-4759-8222-6edf0bc38bc11594631899542Dress4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12075286/2020/7/13/65a0771d-2af3-44e9-a825-1c2b92d086661594631899418Dress2.jpg'}]",Women,Beige,Flat_Search_Percent,(20% OFF),Embroidered A-Line Dress,Dresses,2499,1999,,False,,0,1,,1594252800000,Winter,2020,False,,,0,,[],www.myntra.com/Dresses/Globus/Globus-Women-Beige-Embroidered-A-Line-Dress/12075286/buy
5,Dresses/HERENOW/HERENOW-Women-White--Black-Printed-A-Line-Dress/12056134/buy,False,,False,12056134,HERE&NOW Women White & Black Printed A-Line Dress,HERE&NOW Women White & Black Printed A-Line Dress,0.0,0,False,0,,0,HERE&NOW,http://assets.myntassets.com/assets/images/12056134/2020/7/13/dbaec258-7c9e-48bf-a97a-729ee4823bf61594623318133-HERENOW-Women-White-Printed-A-Line-Dress-5051594623317187-1.jpg,0,0,41976672,4027,0,,[],"[{'skuId': 41976654, 'label': 'XS', 'inventory': 1, 'available': True}, {'skuId': 41976664, 'label': 'S', 'inventory': 20, 'available': True}, {'skuId': 41976668, 'label': 'M', 'inventory': 22, 'available': True}, {'skuId': 41976670, 'label': 'L', 'inventory': 21, 'available': True}, {'skuId': 41976672, 'label': 'XL', 'inventory': 17, 'available': True}, {'skuId': 41976674, 'label': 'XXL', 'inventory': 17, 'available': True}]","XS,S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12056134/2020/7/13/dbaec258-7c9e-48bf-a97a-729ee4823bf61594623318133-HERENOW-Women-White-Printed-A-Line-Dress-5051594623317187-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12056134/2020/7/13/dbaec258-7c9e-48bf-a97a-729ee4823bf61594623318133-HERENOW-Women-White-Printed-A-Line-Dress-5051594623317187-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12056134/2020/7/13/36806886-c12f-480b-a5cd-3fd9b87db7ac1594623317942-HERENOW-Women-White-Printed-A-Line-Dress-5051594623317187-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12056134/2020/7/13/462c2347-42ab-4636-83fc-34f55e3b88661594623318051-HERENOW-Women-White-Printed-A-Line-Dress-5051594623317187-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12056134/2020/7/13/654ac21c-69b6-4665-a42c-6b6e91ea30841594623318091-HERENOW-Women-White-Printed-A-Line-Dress-5051594623317187-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12056134/2020/7/13/01b440f7-6752-47f8-a81a-8b6f2a1b6b421594623318005-HERENOW-Women-White-Printed-A-Line-Dress-5051594623317187-4.jpg'}]",Women,White,,,Printed A-Line Dress,Dresses,2199,2199,,False,,0,,,1594252800000,Fall,2020,False,,,0,,[],www.myntra.com/Dresses/HERENOW/HERENOW-Women-White--Black-Printed-A-Line-Dress/12056134/buy
6,Dresses/Sangria/Sangria-Women-Coffee-Brown--Cream-Coloured-Printed-Empire-Dress/11174402/buy,False,,False,11174402,Sangria Women Coffee Brown & Cream-Coloured Printed Empire Dress,Sangria Women Coffee Brown & Cream-Coloured Printed Empire Dress,0.0,0,False,0,,1250,Sangria,http://assets.myntassets.com/assets/images/11174402/2020/7/9/8b4fbd4b-473e-48bb-ab64-c5308766eaab1594287512909-Sangria-Women-Dresses-9901594287510584-1.jpg,0,0,38602988,4036,0,,[],"[{'skuId': 38602988, 'label': 'XS', 'inventory': 23, 'available': True}, {'skuId': 38602992, 'label': 'S', 'inventory': 27, 'available': True}, {'skuId': 38602996, 'label': 'M', 'inventory': 29, 'available': True}, {'skuId': 38603000, 'label': 'L', 'inventory': 21, 'available': True}, {'skuId': 38603004, 'label': 'XL', 'inventory': 13, 'available': True}]","XS,S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11174402/2020/7/9/8b4fbd4b-473e-48bb-ab64-c5308766eaab1594287512909-Sangria-Women-Dresses-9901594287510584-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11174402/2020/7/9/8b4fbd4b-473e-48bb-ab64-c5308766eaab1594287512909-Sangria-Women-Dresses-9901594287510584-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11174402/2020/7/9/670303c0-e355-4a11-9432-862b0fa9ee981594287512652-Sangria-Women-Dresses-9901594287510584-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11174402/2020/7/9/5797ec33-5885-49c4-b341-7ef5642636a21594287512775-Sangria-Women-Dresses-9901594287510584-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11174402/2020/7/9/f908ee05-559a-4ac6-8ea5-bd6695ff86511594287512722-Sangria-Women-Dresses-9901594287510584-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11174402/2020/7/9/f86490e1-6762-4692-9b1f-1749b85241ac1594287512852-Sangria-Women-Dresses-9901594287510584-2.jpg'}]",Women,Coffee Brown,Flat_Search_Percent,(50% OFF),Printed Empire Dress,Dresses,2499,1249,,False,,0,1,,1594252800000,Spring,2020,False,,,0,,[],www.myntra.com/Dresses/Sangria/Sangria-Women-Coffee-Brown--Cream-Coloured-Printed-Empire-Dress/11174402/buy
7,Dresses/Sangria/Sangria-Women-Grey--Off-White-Ethnic-Print-A-Line-Dress/11174168/buy,False,,False,11174168,Sangria Women Grey & Off-White Ethnic Print A-Line Dress,Sangria Women Grey & Off-White Ethnic Print A-Line Dress,0.0,0,False,0,,1200,Sangria,http://assets.myntassets.com/assets/images/11174168/2020/7/9/4387773c-9a59-44b7-9454-a23169df0e191594295449970-Sangria-Women-Dresses-651594295448719-1.jpg,0,0,38601814,4036,0,,[],"[{'skuId': 38601810, 'label': 'XS', 'inventory': 0, 'available': False}, {'skuId': 38601814, 'label': 'S', 'inventory': 1, 'available': True}, {'skuId': 38601816, 'label': 'M', 'inventory': 0, 'available': False}, {'skuId': 38601822, 'label': 'L', 'inventory': 0, 'available': False}, {'skuId': 38601828, 'label': 'XL', 'inventory': 0, 'available': False}]",S,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11174168/2020/7/9/4387773c-9a59-44b7-9454-a23169df0e191594295449970-Sangria-Women-Dresses-651594295448719-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11174168/2020/7/9/4387773c-9a59-44b7-9454-a23169df0e191594295449970-Sangria-Women-Dresses-651594295448719-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11174168/2020/7/9/3c65e3f8-3d25-4166-928d-cec3824977431594295449761-Sangria-Women-Dresses-651594295448719-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11174168/2020/7/9/15d53458-b958-41a7-9b2c-a9f9105bc50f1594295449868-Sangria-Women-Dresses-651594295448719-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11174168/2020/7/9/19e47445-9d9e-434c-b284-bcabd20509fa1594295449919-Sangria-Women-Dresses-651594295448719-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11174168/2020/7/9/7d473a31-6eb4-4835-b1b3-6b6719fb8aeb1594295449816-Sangria-Women-Dresses-651594295448719-4.jpg'}]",Women,Grey,Flat_Search_Percent,(40% OFF),Ethnic Print A-Line Dress,Dresses,2999,1799,,False,,0,1,,1594252800000,Spring,2020,False,,,0,,[],www.myntra.com/Dresses/Sangria/Sangria-Women-Grey--Off-White-Ethnic-Print-A-Line-Dress/11174168/buy
8,Dresses/Anouk/Anouk-Women-Black-and-Grey-Printed-Fit-and-Flare-Dress/12011002/buy,False,,False,12011002,Anouk Women Black and Grey Printed Fit and Flare Dress,Anouk Women Black and Grey Printed Fit and Flare Dress,0.0,0,False,0,,510,Anouk,http://assets.myntassets.com/assets/images/12011002/2020/7/13/1d0673fc-3e1d-4d82-b4a9-145ea3cc53dc1594620845531-Anouk-Women-Dresses-6851594620843881-1.jpg,0,0,41823368,7138,0,,[],"[{'skuId': 41823358, 'label': 'XS', 'inventory': 8, 'available': True}, {'skuId': 41823360, 'label': 'S', 'inventory': 15, 'available': True}, {'skuId': 41823362, 'label': 'M', 'inventory': 20, 'available': True}, {'skuId': 41823364, 'label': 'L', 'inventory': 15, 'available': True}, {'skuId': 41823366, 'label': 'XL', 'inventory': 10, 'available': True}, {'skuId': 41823368, 'label': 'XXL', 'inventory': 8, 'available': True}]","XS,S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12011002/2020/7/13/1d0673fc-3e1d-4d82-b4a9-145ea3cc53dc1594620845531-Anouk-Women-Dresses-6851594620843881-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12011002/2020/7/13/1d0673fc-3e1d-4d82-b4a9-145ea3cc53dc1594620845531-Anouk-Women-Dresses-6851594620843881-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12011002/2020/7/13/0643a828-3648-45ad-854f-45602ac749f61594620845297-Anouk-Women-Dresses-6851594620843881-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12011002/2020/7/13/c408a9c8-3916-4836-ba7f-6c743f8f279f1594620845427-Anouk-Women-Dresses-6851594620843881-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12011002/2020/7/13/50600813-bf83-4e2f-9f68-63e8c5d4a8e61594620845356-Anouk-Women-Dresses-6851594620843881-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12011002/2020/7/13/8413c656-9353-41f5-b035-7b224887930c1594620845480-Anouk-Women-Dresses-6851594620843881-2.jpg'}]",Women,Black,Flat_Search_Percent,(30% OFF),Printed Fit and Flare Dress,Dresses,1699,1189,,False,,0,1,,1594252800000,Summer,2020,False,,,0,,[],www.myntra.com/Dresses/Anouk/Anouk-Women-Black-and-Grey-Printed-Fit-and-Flare-Dress/12011002/buy
9,Dresses/Globus/Globus-Women-Pink--Blue-Printed-Maxi-Dress/12075254/buy,False,,False,12075254,Globus Women Pink & Blue Printed Maxi Dress,Globus Women Pink & Blue Printed Maxi Dress,0.0,0,False,0,,500,Globus,http://assets.myntassets.com/assets/images/12075254/2020/7/13/2c51f77a-fbbb-4f95-b3e5-9abf214ce9d51594632075207Dress1.jpg,0,0,42041870,4614,0,,[],"[{'skuId': 42041864, 'label': 'S', 'inventory': 39, 'available': True}, {'skuId': 42041870, 'label': 'M', 'inventory': 38, 'available': True}, {'skuId': 42041874, 'label': 'L', 'inventory': 26, 'available': True}, {'skuId': 42041880, 'label': 'XL', 'inventory': 13, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12075254/2020/7/13/2c51f77a-fbbb-4f95-b3e5-9abf214ce9d51594632075207Dress1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12075254/2020/7/13/2c51f77a-fbbb-4f95-b3e5-9abf214ce9d51594632075207Dress1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12075254/2020/7/13/4d83e236-e7d5-4e1b-8ecd-e67418afee841594632075583Dress5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12075254/2020/7/13/b7d2e04f-f333-4be2-b334-005163b2bf851594632075348Dress3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12075254/2020/7/13/dc57b20f-cf84-4bf7-a11c-acf4fae1eb3c1594632075493Dress4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12075254/2020/7/13/9e9daa25-a590-402c-b9f6-936852f47a921594632075281Dress2.jpg'}]",Women,Pink,Flat_Search_Percent,(20% OFF),Printed Maxi Dress,Dresses,2499,1999,,False,,0,1,,1594252800000,Winter,2020,False,,,0,,[],www.myntra.com/Dresses/Globus/Globus-Women-Pink--Blue-Printed-Maxi-Dress/12075254/buy
