,landingPageUrl,loyaltyPointsEnabled,adId,isPLA,productId,product,productName,rating,ratingCount,isFastFashion,futureDiscountedPrice,futureDiscountStartDate,discount,brand,searchImage,effectiveDiscountPercentageAfterTax,effectiveDiscountAmountAfterTax,buyButtonWinnerSkuId,buyButtonWinnerSellerPartnerId,relatedStylesCount,relatedStylesType,productVideos,inventoryInfo,sizes,images,gender,primaryColour,discountLabel,discountDisplayLabel,additionalInfo,category,mrp,price,advanceOrderTag,colorVariantAvailable,productimagetag,listViews,discountType,tdBxGyText,catalogDate,season,year,isPersonalised,eorsPicksTag,personalizedCoupon,personalizedCouponValue,productMeta,systemAttributes,PAGE_URL_COMPLETE
0,Tops/ROOTED/ROOTED-Women-Black-Floral-Printed-Top/12017072/buy,False,,False,12017072,ROOTED Women Black Floral Printed Top,ROOTED Women Black Floral Printed Top,0,0,False,0,,1250,ROOTED,http://assets.myntassets.com/assets/images/productimage/2020/7/1/c2b4ddaf-a79c-4bf0-aa99-93f3e4817b6e1593554304235-1.jpg,0,0,41846604,4081,0,,[],"[{'skuId': 41846604, 'label': 'XS', 'inventory': 1, 'available': True}, {'skuId': 41846612, 'label': 'S', 'inventory': 0, 'available': False}, {'skuId': 41846614, 'label': 'M', 'inventory': 2, 'available': True}, {'skuId': 41846616, 'label': 'L', 'inventory': 3, 'available': True}, {'skuId': 41846618, 'label': 'XL', 'inventory': 0, 'available': False}, {'skuId': 41846620, 'label': 'XXL', 'inventory': 5, 'available': True}, {'skuId': 41846622, 'label': '3XL', 'inventory': 2, 'available': True}]","XS,M,L,XXL,3XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/1/c2b4ddaf-a79c-4bf0-aa99-93f3e4817b6e1593554304235-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/1/c2b4ddaf-a79c-4bf0-aa99-93f3e4817b6e1593554304235-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/1/b6aeb8c1-011e-4fd5-b3cf-69d3439905b01593554304552-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/1/ca3ad82b-15cd-4994-ab70-6a5c9d1ed3c91593554304491-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/1/3da846a8-c7c0-4fa4-ae8c-e76429c72c581593554304365-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/1/a099d2f9-9c10-4799-bc94-6a95c61d68c01593554304426-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/1/0fb0e8c3-f9eb-48cc-a945-06ee0278ac1d1593554304304-2.jpg'}]",Women,Black,Flat_Search_Percent,(50% OFF),Women Floral Print Top,Tops,2499,1249,,False,,0,1,,1594857600000,Winter,2019,False,,,0,,[],www.myntra.com/Tops/ROOTED/ROOTED-Women-Black-Floral-Printed-Top/12017072/buy
1,Tops/Oxolloxo/Oxolloxo-Women-Off-White--Green-Printed-Bardot-Top/12107768/buy,False,,False,12107768,Oxolloxo Women Off-White & Green Printed Bardot Top,Oxolloxo Women Off-White & Green Printed Bardot Top,0,0,False,0,,653,Oxolloxo,http://assets.myntassets.com/assets/images/productimage/2020/7/17/e2a1503b-f896-4e4b-94ea-a363b77c12261594947296272-1.jpg,0,0,42159806,1124,0,,[],"[{'skuId': 42159806, 'label': 'S', 'inventory': 9, 'available': True}, {'skuId': 42159808, 'label': 'M', 'inventory': 10, 'available': True}, {'skuId': 42159810, 'label': 'L', 'inventory': 0, 'available': False}, {'skuId': 42159812, 'label': 'XL', 'inventory': 8, 'available': True}]","S,M,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/e2a1503b-f896-4e4b-94ea-a363b77c12261594947296272-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/e2a1503b-f896-4e4b-94ea-a363b77c12261594947296272-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/9d69eaec-0487-4ea5-88f2-efe9421e43441594947296583-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/728d0d90-ed09-4edf-b64f-18011cccc5001594947296524-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/4b2b3d54-b9d8-4fa7-a830-bca007ccfcf81594947296397-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/c81cb095-b98a-4fa9-9a55-14ba0a434fd21594947296337-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/6e5ae2e6-cc69-407f-a033-31afebdb21b61594947296463-4.jpg'}]",Women,Off White,Flat_Search_Percent,(45% OFF),Printed Bardot Top,Tops,1449,796,,False,,0,1,,1594857600000,Summer,2020,False,,,0,,[],www.myntra.com/Tops/Oxolloxo/Oxolloxo-Women-Off-White--Green-Printed-Bardot-Top/12107768/buy
2,Tshirts/Okane/Okane-Women-Navy-Blue-Solid-Round-Neck-T-shirt/12096026/buy,False,,False,12096026,Okane Women Navy Blue Solid Round Neck T-shirt,Okane Women Navy Blue Solid Round Neck T-shirt,0,0,False,0,,0,Okane,http://assets.myntassets.com/assets/images/productimage/2020/7/17/7f586ccb-5e3a-4eab-a3aa-a0edb3b935f11594946118753-1.jpg,0,0,42114848,4215,0,,[],"[{'skuId': 42114846, 'label': 'S', 'inventory': 1, 'available': True}, {'skuId': 42114848, 'label': 'M', 'inventory': 0, 'available': False}, {'skuId': 42114850, 'label': 'L', 'inventory': 1, 'available': True}, {'skuId': 42114852, 'label': 'XL', 'inventory': 1, 'available': True}, {'skuId': 42114854, 'label': 'XXL', 'inventory': 0, 'available': False}]","S,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/7f586ccb-5e3a-4eab-a3aa-a0edb3b935f11594946118753-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/7f586ccb-5e3a-4eab-a3aa-a0edb3b935f11594946118753-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/82be1ea3-9f6b-40ce-9f50-ded9b2b6f9ff1594946119080-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/87f6e96d-fb60-44e1-9316-55aec5f3efea1594946119001-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/85a73469-53f0-469a-9fbf-07d522393f991594946118880-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/489ad4d5-f152-491e-9c80-a4b9022391101594946118940-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/56230cbc-6bd8-418e-b95a-0b33394987aa1594946118820-2.jpg'}]",Women,Navy Blue,,,Solid Round Neck T-shirt,Tshirts,599,599,,False,,0,,,1594857600000,Summer,2020,False,,,0,,[],www.myntra.com/Tshirts/Okane/Okane-Women-Navy-Blue-Solid-Round-Neck-T-shirt/12096026/buy
3,Tops/Oxolloxo/Oxolloxo-Women-Peach-Coloured--White-Printed-A-Line-Top/12107738/buy,False,,False,12107738,Oxolloxo Women Peach-Coloured & White Printed A-Line Top,Oxolloxo Women Peach-Coloured & White Printed A-Line Top,0,0,False,0,,630,Oxolloxo,http://assets.myntassets.com/assets/images/productimage/2020/7/18/ff169a88-9300-40fa-963e-c209926ad02f1595027379576-1.jpg,0,0,42159688,1124,0,,[],"[{'skuId': 42159688, 'label': 'S', 'inventory': 14, 'available': True}, {'skuId': 42159690, 'label': 'M', 'inventory': 8, 'available': True}, {'skuId': 42159692, 'label': 'L', 'inventory': 15, 'available': True}, {'skuId': 42159694, 'label': 'XL', 'inventory': 5, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/ff169a88-9300-40fa-963e-c209926ad02f1595027379576-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/ff169a88-9300-40fa-963e-c209926ad02f1595027379576-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/4b23314b-cf86-4abe-8d26-05ecc54a03601595027379863-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/2e01ceae-0d34-45fb-ab76-a80d5d11dc8f1595027379800-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/0d50c4a7-0a0c-411a-8426-cd9ae5bf2a8e1595027379700-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/6e675bc9-8a4e-4cd2-bb6c-27d070a17cff1595027379747-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/22e11a67-a8e5-4a95-89b6-01c9138ee68c1595027379626-2.jpg'}]",Women,Peach,Flat_Search_Percent,(45% OFF),Printed A-Line Top,Tops,1399,769,,False,,0,1,,1594857600000,Summer,2020,False,,,0,,[],www.myntra.com/Tops/Oxolloxo/Oxolloxo-Women-Peach-Coloured--White-Printed-A-Line-Top/12107738/buy
4,Tops/Camey/Camey-Women-Peach-Coloured--Pink-Floral-Printed-Longline-Top/12093356/buy,False,,False,12093356,Camey Women Peach-Coloured & Pink Floral Printed Longline Top,Camey Women Peach-Coloured & Pink Floral Printed Longline Top,0,0,False,0,,550,Camey,http://assets.myntassets.com/assets/images/productimage/2020/7/17/2fa5d1f9-4940-4e27-a0d6-ccc526f75ee31594940355999-1.jpg,0,0,42106450,1382,0,,[],"[{'skuId': 42106450, 'label': 'Onesize', 'inventory': 44, 'available': True}]",Onesize,"[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/2fa5d1f9-4940-4e27-a0d6-ccc526f75ee31594940355999-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/2fa5d1f9-4940-4e27-a0d6-ccc526f75ee31594940355999-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/4e13487a-2340-4aa3-b8ee-1bb3ffeca6461594940356306-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/7512e486-bfef-4c94-aadd-bcad7e57d1521594940356245-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/e1401132-854c-4c32-af10-c0b15adb62751594940356126-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/49b53d98-0b2b-4f61-b62d-bea349350e931594940356186-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/1111801b-0b34-442b-a0ee-f7bc1c810ad71594940356062-2.jpg'}]",Women,Peach,Flat_Search_Percent,(50% OFF),Floral Printed Longline Top,Tops,1099,549,,False,,0,1,,1594857600000,Summer,2020,False,,,0,,[],www.myntra.com/Tops/Camey/Camey-Women-Peach-Coloured--Pink-Floral-Printed-Longline-Top/12093356/buy
5,Tops/Oxolloxo/Oxolloxo-Women-White-Embroidered-Schiffli-Boxy-Top/12107742/buy,False,,False,12107742,Oxolloxo Women White Embroidered Schiffli Boxy Top,Oxolloxo Women White Embroidered Schiffli Boxy Top,0,0,False,0,,630,Oxolloxo,http://assets.myntassets.com/assets/images/productimage/2020/7/18/d9cafb01-c3eb-4000-a5a3-3ea6e814304d1595022417383-1.jpg,0,0,42159710,1124,0,,[],"[{'skuId': 42159698, 'label': 'S', 'inventory': 8, 'available': True}, {'skuId': 42159702, 'label': 'M', 'inventory': 9, 'available': True}, {'skuId': 42159706, 'label': 'L', 'inventory': 18, 'available': True}, {'skuId': 42159710, 'label': 'XL', 'inventory': 2, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/d9cafb01-c3eb-4000-a5a3-3ea6e814304d1595022417383-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/d9cafb01-c3eb-4000-a5a3-3ea6e814304d1595022417383-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/f3221637-d074-4b3d-acf8-3ecc7464929a1595022417725-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/93a354f0-f7db-4a9f-9f9f-e4c22a2380381595022417652-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/3deabccd-1aa7-46ea-b012-0f960b6735631595022417515-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/570299f9-4ee1-4ac3-90f8-13636178d55b1595022417587-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/18/ec2f4c16-e7da-465d-9f51-5732002e3a241595022417450-2.jpg'}]",Women,White,Flat_Search_Percent,(45% OFF),Embroidered Schiffli Boxy Top,Tops,1399,769,,False,,0,1,,1594857600000,Summer,2020,False,,,0,,[],www.myntra.com/Tops/Oxolloxo/Oxolloxo-Women-White-Embroidered-Schiffli-Boxy-Top/12107742/buy
6,Tshirts/BUKKUM/BUKKUM-Women-Navy-Blue-Printed-Round-Neck-Longline-T-shirt/12094836/buy,False,,False,12094836,BUKKUM Women Navy Blue Printed Round Neck Longline T-shirt,BUKKUM Women Navy Blue Printed Round Neck Longline T-shirt,0,0,False,0,,990,BUKKUM,http://assets.myntassets.com/assets/images/productimage/2020/7/16/ef2ad1c1-7bfb-4cd0-a742-7ffb593366861594850424156-1.jpg,0,0,42110546,1344,0,,[],"[{'skuId': 42110542, 'label': 'S', 'inventory': 10, 'available': True}, {'skuId': 42110546, 'label': 'M', 'inventory': 53, 'available': True}, {'skuId': 42110550, 'label': 'L', 'inventory': 47, 'available': True}, {'skuId': 42110554, 'label': 'XL', 'inventory': 56, 'available': True}, {'skuId': 42110558, 'label': 'XXL', 'inventory': 32, 'available': True}, {'skuId': 42110562, 'label': '3XL', 'inventory': 47, 'available': True}]","S,M,L,XL,XXL,3XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/16/ef2ad1c1-7bfb-4cd0-a742-7ffb593366861594850424156-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/16/ef2ad1c1-7bfb-4cd0-a742-7ffb593366861594850424156-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/16/4ae31542-542d-4240-a4b1-9a9b09459e8a1594850424348-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/16/a1a2d0f5-1930-4265-8c70-6a0b5c3fc87e1594850424253-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/16/8a7b8b3d-4008-409e-bfd9-170c1ccf80191594850424300-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/16/144ba4e5-6f58-489b-879f-3ecf085ad78c1594850424206-2.jpg'}]",Women,Navy Blue,Flat_Search_Percent,(60% OFF),Round Neck Longline T-shirt,Tshirts,1649,659,,False,,0,1,,1594857600000,Summer,2020,False,,,0,,[],www.myntra.com/Tshirts/BUKKUM/BUKKUM-Women-Navy-Blue-Printed-Round-Neck-Longline-T-shirt/12094836/buy
7,Tops/One-of-a-Kind/One-of-a-Kind-Women-Peach-Coloured-Solid-Top/12086156/buy,False,,False,12086156,One of a Kind Women Peach-Coloured Solid Top,One of a Kind Women Peach-Coloured Solid Top,0,0,False,0,,715,One of a Kind,http://assets.myntassets.com/assets/images/productimage/2020/7/15/add7c4b8-de15-49c1-938d-4b7f91f12a571594763883966-1.jpg,0,0,42079576,3702,0,,[],"[{'skuId': 42079568, 'label': 'S', 'inventory': 6, 'available': True}, {'skuId': 42079570, 'label': 'M', 'inventory': 16, 'available': True}, {'skuId': 42079574, 'label': 'L', 'inventory': 21, 'available': True}, {'skuId': 42079576, 'label': 'XL', 'inventory': 14, 'available': True}, {'skuId': 42079580, 'label': 'XXL', 'inventory': 3, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/15/add7c4b8-de15-49c1-938d-4b7f91f12a571594763883966-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/15/add7c4b8-de15-49c1-938d-4b7f91f12a571594763883966-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/15/78c331d3-6057-4a46-ac96-4ddec76369dd1594763884382-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/15/bd794a8a-1c08-4260-8d7b-247891a39df11594763884317-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/15/105f1712-4058-4213-9bf7-9ad13fcb06d31594763884185-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/15/20f0488c-61b4-402a-969a-97532e5094cd1594763884254-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/15/19340750-644f-4132-87ee-722f5d9aab521594763884042-2.jpg'}]",Women,Peach,Flat_Search_Percent,(55% OFF),Solid Top,Tops,1299,584,,False,,0,1,,1594857600000,Summer,2020,False,,,0,,[],www.myntra.com/Tops/One-of-a-Kind/One-of-a-Kind-Women-Peach-Coloured-Solid-Top/12086156/buy
8,Tshirts/Okane/Okane-Women-Pink-Solid-Round-Neck-T-shirt/12096028/buy,False,,False,12096028,Okane Women Pink Solid Round Neck T-shirt,Okane Women Pink Solid Round Neck T-shirt,0,0,False,0,,0,Okane,http://assets.myntassets.com/assets/images/productimage/2020/7/17/92e29864-ac23-4cb7-8073-7fc50e962d7d1594944315918-1.jpg,0,0,42114862,4215,0,,[],"[{'skuId': 42114856, 'label': 'S', 'inventory': 12, 'available': True}, {'skuId': 42114858, 'label': 'M', 'inventory': 15, 'available': True}, {'skuId': 42114860, 'label': 'L', 'inventory': 22, 'available': True}, {'skuId': 42114862, 'label': 'XL', 'inventory': 6, 'available': True}, {'skuId': 42114864, 'label': 'XXL', 'inventory': 0, 'available': False}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/92e29864-ac23-4cb7-8073-7fc50e962d7d1594944315918-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/92e29864-ac23-4cb7-8073-7fc50e962d7d1594944315918-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/ca743344-925e-496b-88e2-5f3812a15db11594944316202-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/8e8db466-2793-433a-8db4-dae500d674361594944316146-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/6bc7068d-2041-4561-8b13-e9f742f9769b1594944316025-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/49cf6cec-46d1-47ee-88cc-7f30db39df531594944316082-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/17/3c1e3ed0-4917-4279-ac67-990cc3b3459c1594944315973-2.jpg'}]",Women,Pink,,,Solid Round Neck T-shirt,Tshirts,599,599,,False,,0,,,1594857600000,Summer,2020,False,,,0,,[],www.myntra.com/Tshirts/Okane/Okane-Women-Pink-Solid-Round-Neck-T-shirt/12096028/buy
9,Tops/ROOTED/ROOTED-Women-Mustard-Yellow-Printed-Shirt-Style-Top/12017046/buy,False,,False,12017046,ROOTED Women Mustard Yellow Printed Shirt Style Top,ROOTED Women Mustard Yellow Printed Shirt Style Top,0,0,False,0,,1000,ROOTED,http://assets.myntassets.com/assets/images/productimage/2020/7/1/644aeae4-b78d-4fd9-a8d5-ebe11a66f4aa1593554033352-1.jpg,0,0,41846472,4081,0,,[],"[{'skuId': 41846468, 'label': 'XS', 'inventory': 0, 'available': False}, {'skuId': 41846470, 'label': 'S', 'inventory': 3, 'available': True}, {'skuId': 41846472, 'label': 'M', 'inventory': 7, 'available': True}, {'skuId': 41846474, 'label': 'L', 'inventory': 2, 'available': True}, {'skuId': 41846476, 'label': 'XL', 'inventory': 1, 'available': True}, {'skuId': 41846478, 'label': 'XXL', 'inventory': 4, 'available': True}, {'skuId': 41846480, 'label': '3XL', 'inventory': 2, 'available': True}]","S,M,L,XL,XXL,3XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/1/644aeae4-b78d-4fd9-a8d5-ebe11a66f4aa1593554033352-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/1/644aeae4-b78d-4fd9-a8d5-ebe11a66f4aa1593554033352-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/1/0d605eca-81e3-4c97-99c2-9f9f25748a4c1593554033615-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/1/284e4238-971b-49ca-b155-b1bd576cc65b1593554033563-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/1/fca67ab9-dfb0-4fef-b1bc-f0271a52df5a1593554033463-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/1/2340abf9-41eb-4087-b8ae-96943f9236021593554033513-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/7/1/76989079-6f29-4bd6-8914-e2cd9c39c8db1593554033410-2.jpg'}]",Women,Mustard,Flat_Search_Percent,(50% OFF),Women Shirt Style Top,Tops,1999,999,,False,,0,1,,1594857600000,Winter,2019,False,,,0,,[],www.myntra.com/Tops/ROOTED/ROOTED-Women-Mustard-Yellow-Printed-Shirt-Style-Top/12017046/buy
