,landingPageUrl,loyaltyPointsEnabled,adId,isPLA,productId,product,productName,rating,ratingCount,isFastFashion,futureDiscountedPrice,futureDiscountStartDate,discount,brand,searchImage,effectiveDiscountPercentageAfterTax,effectiveDiscountAmountAfterTax,buyButtonWinnerSkuId,buyButtonWinnerSellerPartnerId,relatedStylesCount,relatedStylesType,productVideos,inventoryInfo,sizes,images,gender,primaryColour,discountLabel,discountDisplayLabel,additionalInfo,category,mrp,price,advanceOrderTag,colorVariantAvailable,productimagetag,listViews,discountType,tdBxGyText,catalogDate,season,year,isPersonalised,eorsPicksTag,personalizedCoupon,personalizedCouponValue,productMeta,systemAttributes,PAGE_URL_COMPLETE
0,Shirts/WROGN/WROGN-Men-Green-Slim-Fit-Solid-Casual-Shirt/1758578/buy,False,,False,1758578,WROGN Men Green Slim Fit Solid Casual Shirt,WROGN Men Green Slim Fit Solid Casual Shirt,4.21875,64,True,0,,420,WROGN,http://assets.myntassets.com/assets/images/1758578/2017/5/12/11494569522819-WROGN-Men-Shirts-8521494569522516-1.jpg,0,0,12898799,4214,0,,[],"[{'skuId': 12898797, 'label': '39', 'inventory': 435, 'available': True}, {'skuId': 12898798, 'label': '40', 'inventory': 533, 'available': True}, {'skuId': 12898799, 'label': '42', 'inventory': 322, 'available': True}, {'skuId': 12898800, 'label': '44', 'inventory': 94, 'available': True}, {'skuId': 37062294, 'label': '46', 'inventory': 86, 'available': True}]","39,40,42,44,46","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/1758578/2017/5/12/11494569522819-WROGN-Men-Shirts-8521494569522516-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/1758578/2017/5/12/11494569522819-WROGN-Men-Shirts-8521494569522516-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/1758578/2017/5/12/11494569522717-WROGN-Men-Shirts-8521494569522516-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/1758578/2017/5/12/11494569522769-WROGN-Men-Shirts-8521494569522516-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/1758578/2017/5/12/11494569522745-WROGN-Men-Shirts-8521494569522516-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/1758578/2017/5/12/11494569522794-WROGN-Men-Shirts-8521494569522516-2.jpg'}]",Men,Green,Flat_Search_Percent,( 20 % OFF),Men Slim Fit Casual Shirt,Shirts,2099,1679,,False,,0,1024,"Or Buy 2 @MRP, get 1 Free*",1494460800000,Summer,2019,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Shirts/WROGN/WROGN-Men-Green-Slim-Fit-Solid-Casual-Shirt/1758578/buy
1,Shirts/Roadster/Roadster-Men-Navy-Blue--Red-Regular-Fit-Checked-Casual-Shirt/11008596/buy,False,,False,11008596,Roadster Men Navy Blue & Red Regular Fit Checked Casual Shirt,Roadster Men Navy Blue & Red Regular Fit Checked Casual Shirt,4.233871,124,True,0,,390,Roadster,http://assets.myntassets.com/assets/images/11008596/2020/3/6/e819347e-c18c-47c9-81a1-77c49aaf20201583472368508-Roadster-Men-Navy-Blue--Red-Regular-Fit-Checked-Casual-Shirt-1.jpg,0,0,37960230,4118,0,,[],"[{'skuId': 37960230, 'label': '38', 'inventory': 112, 'available': True}, {'skuId': 37960234, 'label': '40', 'inventory': 110, 'available': True}, {'skuId': 37960236, 'label': '42', 'inventory': 29, 'available': True}, {'skuId': 37960238, 'label': '44', 'inventory': 7, 'available': True}]","38,40,42,44","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11008596/2020/3/6/e819347e-c18c-47c9-81a1-77c49aaf20201583472368508-Roadster-Men-Navy-Blue--Red-Regular-Fit-Checked-Casual-Shirt-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11008596/2020/3/6/e819347e-c18c-47c9-81a1-77c49aaf20201583472368508-Roadster-Men-Navy-Blue--Red-Regular-Fit-Checked-Casual-Shirt-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/11008596/2020/3/6/dfab7597-0ce0-4a8d-9ba0-b5d218d5e78a1583472368292-Roadster-Men-Navy-Blue--Red-Regular-Fit-Checked-Casual-Shirt-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11008596/2020/3/6/55ed67ed-9135-4cea-ae99-3d7771fe48421583472368338-Roadster-Men-Navy-Blue--Red-Regular-Fit-Checked-Casual-Shirt-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11008596/2020/3/6/565bb00d-6d50-42f8-82fc-4e2b0421841a1583472368425-Roadster-Men-Navy-Blue--Red-Regular-Fit-Checked-Casual-Shirt-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11008596/2020/3/6/b76fa807-94ce-497c-914b-e94349e9a5651583472368383-Roadster-Men-Navy-Blue--Red-Regular-Fit-Checked-Casual-Shirt-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11008596/2020/3/6/17173368-2119-48e5-abde-8612c997157d1583472368468-Roadster-Men-Navy-Blue--Red-Regular-Fit-Checked-Casual-Shirt-2.jpg'}]",Men,Navy Blue,Flat_Search_Percent,( 30 % OFF),Regular Fit Check Casual Shirt,Shirts,1299,909,,False,,0,1024,"Or Buy 2 @MRP, get 1 Free*",1578528000000,Winter,2019,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Shirts/Roadster/Roadster-Men-Navy-Blue--Red-Regular-Fit-Checked-Casual-Shirt/11008596/buy
2,Shirts/Roadster/Roadster-Men-Blue--Black-Regular-Fit-Checked-Casual-Shirt/2230204/buy,False,,False,2230204,Roadster Men Blue & Black Regular Fit Checked Casual Shirt,Roadster Men Blue & Black Regular Fit Checked Casual Shirt,4.2460938,512,True,0,,390,Roadster,http://assets.myntassets.com/assets/images/2230204/2017/12/12/11513080716555-Roadster-Men-Blue--Black-Regular-Fit-Checked-Casual-Shirt-5081513080716405-1.jpg,0,0,14649992,4118,0,,[],"[{'skuId': 14649989, 'label': '38', 'inventory': 0, 'available': False}, {'skuId': 14649990, 'label': '40', 'inventory': 81, 'available': True}, {'skuId': 14649991, 'label': '42', 'inventory': 54, 'available': True}, {'skuId': 14649992, 'label': '44', 'inventory': 76, 'available': True}]","40,42,44","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/2230204/2017/12/12/11513080716555-Roadster-Men-Blue--Black-Regular-Fit-Checked-Casual-Shirt-5081513080716405-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/2230204/2017/12/12/11513080716555-Roadster-Men-Blue--Black-Regular-Fit-Checked-Casual-Shirt-5081513080716405-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/2230204/2017/12/12/11513080716440-Roadster-Men-Blue--Black-Regular-Fit-Checked-Casual-Shirt-5081513080716405-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/2230204/2017/12/12/11513080716499-Roadster-Men-Blue--Black-Regular-Fit-Checked-Casual-Shirt-5081513080716405-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/2230204/2017/12/12/11513080716530-Roadster-Men-Blue--Black-Regular-Fit-Checked-Casual-Shirt-5081513080716405-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/2230204/2017/12/12/11513080716466-Roadster-Men-Blue--Black-Regular-Fit-Checked-Casual-Shirt-5081513080716405-4.jpg'}]",Men,Blue,Flat_Search_Percent,( 30 % OFF),Men Regular Check Casual Shirt,Shirts,1299,909,,False,,0,1024,"Or Buy 2 @MRP, get 1 Free*",1512604800000,Summer,2019,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Shirts/Roadster/Roadster-Men-Blue--Black-Regular-Fit-Checked-Casual-Shirt/2230204/buy
3,Shirts/Roadster/Roadster-Time-Travlr-Men-Navy--Grey-Regular-Fit-Checked-Casual-Shirt/2164410/buy,False,,False,2164410,Roadster Time Travlr Men Navy & Grey Regular Fit Checked Casual Shirt,Roadster Time Travlr Men Navy & Grey Regular Fit Checked Casual Shirt,4.132132,333,True,0,,520,Roadster,http://assets.myntassets.com/assets/images/2164410/2018/6/19/f6154681-bd6b-46d5-83ff-9b31d059f2e81529387774162-Roadster-Time-Travlr-Men-Navy--Grey-Regular-Fit-Checked-Casu-1.jpg,0,0,14404941,4118,0,,[],"[{'skuId': 14404939, 'label': '38', 'inventory': 152, 'available': True}, {'skuId': 14404940, 'label': '40', 'inventory': 170, 'available': True}, {'skuId': 14404941, 'label': '42', 'inventory': 95, 'available': True}, {'skuId': 14404942, 'label': '44', 'inventory': 96, 'available': True}]","38,40,42,44","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/2164410/2018/6/19/f6154681-bd6b-46d5-83ff-9b31d059f2e81529387774162-Roadster-Time-Travlr-Men-Navy--Grey-Regular-Fit-Checked-Casu-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/2164410/2018/6/19/f6154681-bd6b-46d5-83ff-9b31d059f2e81529387774162-Roadster-Time-Travlr-Men-Navy--Grey-Regular-Fit-Checked-Casu-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/2164410/2018/6/19/8fde11ba-98c6-45c2-bc79-0274694264171529387774059-Roadster-Time-Travlr-Men-Navy--Grey-Regular-Fit-Checked-Casu-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/2164410/2018/6/19/fcf147e5-0363-434a-b995-3f7043ab18d51529387774111-Roadster-Time-Travlr-Men-Navy--Grey-Regular-Fit-Checked-Casu-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/2164410/2018/6/19/015e68c7-653a-4a99-821e-cb230f963ad41529387774087-Roadster-Time-Travlr-Men-Navy--Grey-Regular-Fit-Checked-Casu-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/2164410/2018/6/19/614c5c2b-92e0-4d26-a9a0-1799ed64fe7a1529387774139-Roadster-Time-Travlr-Men-Navy--Grey-Regular-Fit-Checked-Casu-2.jpg'}]",Men,Navy Blue,Flat_Search_Percent,( 40 % OFF),Time Travlr Mandarin Casual Shirt,Shirts,1299,779,,False,,0,1024,"Or Buy 1 @MRP, get 1 Free*",1512604800000,Summer,2019,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Shirts/Roadster/Roadster-Time-Travlr-Men-Navy--Grey-Regular-Fit-Checked-Casual-Shirt/2164410/buy
4,Shirts/Roadster/Roadster-Men-Olive-Green-Regular-Fit-Solid-Casual-Shirt/8499827/buy,False,,False,8499827,Roadster Men Olive Green Regular Fit Solid Casual Shirt,Roadster Men Olive Green Regular Fit Solid Casual Shirt,4.1666665,102,True,0,,720,Roadster,http://assets.myntassets.com/assets/images/8499827/2019/4/9/dc3250dc-8c40-4e7f-b186-6a0850022dea1554793180119-Roadster-Men-Olive-Green-Regular-Fit-Solid-Casual-Shirt-6451-1.jpg,0,0,33082751,4118,0,,[],"[{'skuId': 33082749, 'label': '38', 'inventory': 61, 'available': True}, {'skuId': 33082751, 'label': '40', 'inventory': 110, 'available': True}, {'skuId': 33082753, 'label': '42', 'inventory': 53, 'available': True}, {'skuId': 33082755, 'label': '44', 'inventory': 19, 'available': True}]","38,40,42,44","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/8499827/2019/4/9/dc3250dc-8c40-4e7f-b186-6a0850022dea1554793180119-Roadster-Men-Olive-Green-Regular-Fit-Solid-Casual-Shirt-6451-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/8499827/2019/4/9/dc3250dc-8c40-4e7f-b186-6a0850022dea1554793180119-Roadster-Men-Olive-Green-Regular-Fit-Solid-Casual-Shirt-6451-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/8499827/2019/4/9/dd457836-34f1-484b-bf1d-a9f40d59c1f51554793180035-Roadster-Men-Olive-Green-Regular-Fit-Solid-Casual-Shirt-6451-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/8499827/2019/4/9/15b3cc2d-32c7-41ae-8388-078f291d63e71554793180078-Roadster-Men-Olive-Green-Regular-Fit-Solid-Casual-Shirt-6451-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/8499827/2019/4/9/9ce6e698-aa96-4243-b7ad-7449af536a941554793180097-Roadster-Men-Olive-Green-Regular-Fit-Solid-Casual-Shirt-6451-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/8499827/2019/4/9/4b7c6aa9-a353-4e8e-9606-69fcd616eee11554793180053-Roadster-Men-Olive-Green-Regular-Fit-Solid-Casual-Shirt-6451-4.jpg'}]",Men,Olive,Flat_Search_Percent,( 45 % OFF),Men Regular Fit Casual Shirt,Shirts,1599,879,,False,,0,1024,"Or Buy 1 @MRP, get 1 Free*",1553126400000,Spring,2019,False,,,0,,[],www.myntra.com/Shirts/Roadster/Roadster-Men-Olive-Green-Regular-Fit-Solid-Casual-Shirt/8499827/buy
5,Shirts/HIGHLANDER/HIGHLANDER-Men-Navy--Brown-Slim-Fit-Checked-Casual-Shirt/1979305/buy,False,,False,1979305,HIGHLANDER Men Navy & Brown Slim Fit Checked Casual Shirt,HIGHLANDER Men Navy & Brown Slim Fit Checked Casual Shirt,4.0197,1066,True,0,,390,HIGHLANDER,http://assets.myntassets.com/assets/images/1979305/2018/4/3/11522753438599-HIGHLANDER-Men-Navy-Slim-Fit-Checked-Casual-Shirt-221522753438432-1.jpg,0,0,13717317,4214,0,,[],"[{'skuId': 13717299, 'label': '39', 'inventory': 134, 'available': True}, {'skuId': 13717300, 'label': '40', 'inventory': 89, 'available': True}, {'skuId': 13717317, 'label': '42', 'inventory': 204, 'available': True}, {'skuId': 13717342, 'label': '44', 'inventory': 207, 'available': True}]","39,40,42,44","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/1979305/2018/4/3/11522753438599-HIGHLANDER-Men-Navy-Slim-Fit-Checked-Casual-Shirt-221522753438432-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/1979305/2018/4/3/11522753438599-HIGHLANDER-Men-Navy-Slim-Fit-Checked-Casual-Shirt-221522753438432-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/1979305/2018/4/3/11522753438538-HIGHLANDER-Men-Navy-Slim-Fit-Checked-Casual-Shirt-221522753438432-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/1979305/2018/4/3/11522753438567-HIGHLANDER-Men-Navy-Slim-Fit-Checked-Casual-Shirt-221522753438432-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/1979305/2018/4/3/11522753438553-HIGHLANDER-Men-Navy-Slim-Fit-Checked-Casual-Shirt-221522753438432-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/1979305/2018/4/3/11522753438584-HIGHLANDER-Men-Navy-Slim-Fit-Checked-Casual-Shirt-221522753438432-2.jpg'}]",Men,Navy Blue,Flat_Search_Percent,(39% OFF),Men Slim Fit Casual Shirt,Shirts,999,609,,False,,0,1,,1498694400000,Summer,2019,False,,,0,,[],www.myntra.com/Shirts/HIGHLANDER/HIGHLANDER-Men-Navy--Brown-Slim-Fit-Checked-Casual-Shirt/1979305/buy
6,Shirts/WROGN/WROGN-Men-Black-Slim-Fit-Checked-Casual-Shirt/1536592/buy,False,,False,1536592,WROGN Men Black Slim Fit Checked Casual Shirt,WROGN Men Black Slim Fit Checked Casual Shirt,4.2635136,296,True,0,,400,WROGN,http://assets.myntassets.com/assets/images/1536592/2018/10/17/e5ad6a20-5fec-4923-aabe-46db9a694e721539765741785-WROGN-Men-Black-Slim-Fit-Checked-Casual-Shirt-68315397657395-1.jpg,0,0,12119509,4214,0,,[],"[{'skuId': 12119509, 'label': '39', 'inventory': 306, 'available': True}, {'skuId': 12119511, 'label': '40', 'inventory': 471, 'available': True}, {'skuId': 12119513, 'label': '42', 'inventory': 215, 'available': True}, {'skuId': 12119515, 'label': '44', 'inventory': 72, 'available': True}, {'skuId': 39824660, 'label': '46', 'inventory': 9, 'available': True}]","39,40,42,44,46","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/1536592/2018/10/17/e5ad6a20-5fec-4923-aabe-46db9a694e721539765741785-WROGN-Men-Black-Slim-Fit-Checked-Casual-Shirt-68315397657395-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/1536592/2018/10/17/e5ad6a20-5fec-4923-aabe-46db9a694e721539765741785-WROGN-Men-Black-Slim-Fit-Checked-Casual-Shirt-68315397657395-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/1536592/2018/10/17/bb17c257-50ff-4bf8-a8e3-35565b997d101539765741651-WROGN-Men-Black-Slim-Fit-Checked-Casual-Shirt-68315397657395-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/1536592/2018/10/17/7496095f-0f72-4bf1-92f5-58c31ca07d131539765741676-WROGN-Men-Black-Slim-Fit-Checked-Casual-Shirt-68315397657395-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/1536592/2018/10/17/0b3e26b9-8674-4bdf-954f-dd6620b77db61539765741732-WROGN-Men-Black-Slim-Fit-Checked-Casual-Shirt-68315397657395-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/1536592/2018/10/17/9bf9cd6f-dc06-4235-b640-6d3d9a044f941539765741705-WROGN-Men-Black-Slim-Fit-Checked-Casual-Shirt-68315397657395-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/1536592/2018/10/17/c48e766a-5a7f-4148-85ae-c3349cb2004a1539765741758-WROGN-Men-Black-Slim-Fit-Checked-Casual-Shirt-68315397657395-2.jpg'}]",Men,Black,Flat_Search_Percent,( 20 % OFF),Cotton Slim Checked Casual Shirt,Shirts,1999,1599,,False,,0,1024,"Or Buy 2 @MRP, get 1 Free*",1481155200000,Summer,2018,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Shirts/WROGN/WROGN-Men-Black-Slim-Fit-Checked-Casual-Shirt/1536592/buy
7,Shirts/HIGHLANDER/HIGHLANDER-Men-Navy-Blue--White-Slim-Fit-Printed-Casual-Shirt/10792182/buy,False,,False,10792182,HIGHLANDER Men Navy Blue & White Slim Fit Printed Casual Shirt,HIGHLANDER Men Navy Blue & White Slim Fit Printed Casual Shirt,4.129032,186,True,0,,556,HIGHLANDER,http://assets.myntassets.com/assets/images/productimage/2019/10/10/f0e6794f-29af-473b-9376-fd53f3f76df11570703044382-1.jpg,0,0,37073958,4214,0,,[],"[{'skuId': 37073956, 'label': '39', 'inventory': 3, 'available': True}, {'skuId': 37073958, 'label': '40', 'inventory': 9, 'available': True}, {'skuId': 37073960, 'label': '42', 'inventory': 7, 'available': True}, {'skuId': 37073962, 'label': '44', 'inventory': 18, 'available': True}]","39,40,42,44","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/10/10/f0e6794f-29af-473b-9376-fd53f3f76df11570703044382-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/10/10/f0e6794f-29af-473b-9376-fd53f3f76df11570703044382-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/10/10/97091ea3-fc77-49c1-918b-50aac8531fef1570703044541-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/10/10/59e1e9ac-ed07-437a-89d9-fa3938c5c96d1570703044459-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/10/10/62e8474b-14d5-483a-9a0f-fb8f1eb576431570703044499-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/10/10/a172898a-0577-45d2-a82e-e196256790001570703044421-2.jpg'}]",Men,Navy Blue,Flat_Search_Percent,(53% OFF),Men Slim Fit Casual Shirt,Shirts,1049,493,,False,,0,1,,1570665600000,Summer,2019,False,,,0,,[],www.myntra.com/Shirts/HIGHLANDER/HIGHLANDER-Men-Navy-Blue--White-Slim-Fit-Printed-Casual-Shirt/10792182/buy
8,Shirts/Roadster/Roadster-Men-Navy-Blue-Regular-Fit-Checked-Casual-Shirt/2284524/buy,False,,False,2284524,Roadster Men Navy Blue Regular Fit Checked Casual Shirt,Roadster Men Navy Blue Regular Fit Checked Casual Shirt,4.2952127,376,True,0,,390,Roadster,http://assets.myntassets.com/assets/images/2284524/2018/2/15/11518679004972-Roadster-Men-Navy-Blue--Maroon-Regular-Fit-Checked-Casual-Shirt-5601518679004754-1.jpg,0,0,14858738,4118,0,,[],"[{'skuId': 14858738, 'label': '38', 'inventory': 411, 'available': True}, {'skuId': 14858739, 'label': '40', 'inventory': 470, 'available': True}, {'skuId': 14858740, 'label': '42', 'inventory': 219, 'available': True}, {'skuId': 14858741, 'label': '44', 'inventory': 121, 'available': True}]","38,40,42,44","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/2284524/2018/2/15/11518679004972-Roadster-Men-Navy-Blue--Maroon-Regular-Fit-Checked-Casual-Shirt-5601518679004754-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/2284524/2018/2/15/11518679004972-Roadster-Men-Navy-Blue--Maroon-Regular-Fit-Checked-Casual-Shirt-5601518679004754-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/2284524/2018/2/15/11518679004867-Roadster-Men-Navy-Blue--Maroon-Regular-Fit-Checked-Casual-Shirt-5601518679004754-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/2284524/2018/2/15/11518679004923-Roadster-Men-Navy-Blue--Maroon-Regular-Fit-Checked-Casual-Shirt-5601518679004754-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/2284524/2018/2/15/11518679004899-Roadster-Men-Navy-Blue--Maroon-Regular-Fit-Checked-Casual-Shirt-5601518679004754-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/2284524/2018/2/15/11518679004951-Roadster-Men-Navy-Blue--Maroon-Regular-Fit-Checked-Casual-Shirt-5601518679004754-2.jpg'}]",Men,Navy Blue,Flat_Search_Percent,(30% OFF),Men Regular Check Casual Shirt,Shirts,1299,909,,False,,0,1,,1518652800000,Summer,2019,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Shirts/Roadster/Roadster-Men-Navy-Blue-Regular-Fit-Checked-Casual-Shirt/2284524/buy
9,Shirts/Mast--Harbour/Mast--Harbour-Men-Red--Blue-Checked-Casual-Shirt/2042528/buy,False,,False,2042528,Mast & Harbour Men Red & Blue Checked Casual Shirt,Mast & Harbour Men Red & Blue Checked Casual Shirt,4.2797356,454,True,0,,760,Mast & Harbour,http://assets.myntassets.com/assets/images/2042528/2017/9/28/11506599316866-Mast--Harbour-Men-Red--Blue-Regular-Fit-Checked-Casual-Shirt-7991506599316924-1.jpg,0,0,13945545,4028,0,,[],"[{'skuId': 13945545, 'label': '38', 'inventory': 213, 'available': True}, {'skuId': 13945546, 'label': '40', 'inventory': 300, 'available': True}, {'skuId': 13945547, 'label': '42', 'inventory': 188, 'available': True}, {'skuId': 13945548, 'label': '44', 'inventory': 82, 'available': True}]","38,40,42,44","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/2042528/2017/9/28/11506599316866-Mast--Harbour-Men-Red--Blue-Regular-Fit-Checked-Casual-Shirt-7991506599316924-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/2042528/2017/9/28/11506599316866-Mast--Harbour-Men-Red--Blue-Regular-Fit-Checked-Casual-Shirt-7991506599316924-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/2042528/2017/9/28/11506599316667-Mast--Harbour-Men-Red--Blue-Regular-Fit-Checked-Casual-Shirt-7991506599316924-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/2042528/2017/9/28/11506599316823-Mast--Harbour-Men-Red--Blue-Regular-Fit-Checked-Casual-Shirt-7991506599316924-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/2042528/2017/9/28/11506599316846-Mast--Harbour-Men-Red--Blue-Regular-Fit-Checked-Casual-Shirt-7991506599316924-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/2042528/2017/9/28/11506599316798-Mast--Harbour-Men-Red--Blue-Regular-Fit-Checked-Casual-Shirt-7991506599316924-4.jpg'}]",Men,Red,Flat_Search_Percent,(40% OFF),Men Casual Shirt,Shirts,1899,1139,,False,,0,1,,1506556800000,Summer,2019,False,,,0,,[],www.myntra.com/Shirts/Mast--Harbour/Mast--Harbour-Men-Red--Blue-Checked-Casual-Shirt/2042528/buy
