,landingPageUrl,loyaltyPointsEnabled,adId,isPLA,productId,product,productName,rating,ratingCount,isFastFashion,futureDiscountedPrice,futureDiscountStartDate,discount,brand,searchImage,effectiveDiscountPercentageAfterTax,effectiveDiscountAmountAfterTax,buyButtonWinnerSkuId,buyButtonWinnerSellerPartnerId,relatedStylesCount,relatedStylesType,productVideos,inventoryInfo,sizes,images,gender,primaryColour,discountLabel,discountDisplayLabel,additionalInfo,category,mrp,price,advanceOrderTag,colorVariantAvailable,productimagetag,listViews,discountType,tdBxGyText,catalogDate,season,year,isPersonalised,eorsPicksTag,personalizedCoupon,personalizedCouponValue,productMeta,systemAttributes,PAGE_URL_COMPLETE
0,Tshirts/HRX-by-Hrithik-Roshan/HRX-by-Hrithik-Roshan-Men-Yellow-Printed-Round-Neck-T-Shirt/1700944/buy,False,,False,1700944,HRX by Hrithik Roshan Men Yellow Printed Round Neck T-Shirt,HRX by Hrithik Roshan Men Yellow Printed Round Neck T-Shirt,4.256132,4240,True,0,,140,HRX by Hrithik Roshan,http://assets.myntassets.com/assets/images/1700944/2019/6/8/972c9498-3a37-4d5d-976c-4493b4d5c0021559989322793-HRX-by-Hrithik-Roshan-Men-Yellow-Printed-Round-Neck-T-Shirt--1.jpg,0,0,12682514,4027,0,,[],"[{'skuId': 12682514, 'label': 'S', 'inventory': 311, 'available': True}, {'skuId': 12682516, 'label': 'M', 'inventory': 368, 'available': True}, {'skuId': 12682518, 'label': 'L', 'inventory': 101, 'available': True}, {'skuId': 12682520, 'label': 'XL', 'inventory': 70, 'available': True}, {'skuId': 12682521, 'label': 'XXL', 'inventory': 19, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/1700944/2019/6/8/972c9498-3a37-4d5d-976c-4493b4d5c0021559989322793-HRX-by-Hrithik-Roshan-Men-Yellow-Printed-Round-Neck-T-Shirt--1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/1700944/2019/6/8/972c9498-3a37-4d5d-976c-4493b4d5c0021559989322793-HRX-by-Hrithik-Roshan-Men-Yellow-Printed-Round-Neck-T-Shirt--1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/1700944/2019/6/8/6afd4244-8211-4d49-b708-1e92ff0d1bf11559989322708-HRX-by-Hrithik-Roshan-Men-Yellow-Printed-Round-Neck-T-Shirt--6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/1700944/2019/6/8/ec064f55-1640-4bdb-92f2-b1b22cb190391559989322722-HRX-by-Hrithik-Roshan-Men-Yellow-Printed-Round-Neck-T-Shirt--5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/1700944/2019/6/8/20153ade-f325-4613-a851-f79f8dc00c571559989322759-HRX-by-Hrithik-Roshan-Men-Yellow-Printed-Round-Neck-T-Shirt--3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/1700944/2019/6/8/67f8fc06-3131-4ae9-a869-2b485f0aca3c1559989322742-HRX-by-Hrithik-Roshan-Men-Yellow-Printed-Round-Neck-T-Shirt--4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/1700944/2019/6/8/c3d336e4-8c86-4434-94b2-c9b28b6dd6471559989322777-HRX-by-Hrithik-Roshan-Men-Yellow-Printed-Round-Neck-T-Shirt--2.jpg'}]",Men,Yellow,Flat_Search_Percent,( 20 % OFF),Printed Round Neck T-Shirt,Tshirts,699,559,,True,,0,1024,"Or Buy 2 @MRP, get 1 Free*",1488412800000,Summer,2019,False,,,0,,[],www.myntra.com/Tshirts/HRX-by-Hrithik-Roshan/HRX-by-Hrithik-Roshan-Men-Yellow-Printed-Round-Neck-T-Shirt/1700944/buy
1,Tshirts/FIDO-DIDO/FIDO-DIDO-Men-Pink-Solid-Polo-Collar-Slim-Fit-T-shirt/2471500/buy,False,,False,2471500,FIDO DIDO Men Pink Solid Polo Collar Slim Fit T-shirt,FIDO DIDO Men Pink Solid Polo Collar Slim Fit T-shirt,4.1289864,1411,True,0,,812,FIDO DIDO,http://assets.myntassets.com/assets/images/2471500/2018/2/9/11518159758071-FIDO-DIDO-Men-Tshirts-9591518159757862-1.jpg,0,0,15617365,7004,0,,[],"[{'skuId': 15617365, 'label': 'S', 'inventory': 328, 'available': True}, {'skuId': 15617367, 'label': 'M', 'inventory': 638, 'available': True}, {'skuId': 15617369, 'label': 'L', 'inventory': 578, 'available': True}, {'skuId': 15617376, 'label': 'XL', 'inventory': 632, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/2471500/2018/2/9/11518159758071-FIDO-DIDO-Men-Tshirts-9591518159757862-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/2471500/2018/2/9/11518159758071-FIDO-DIDO-Men-Tshirts-9591518159757862-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/2471500/2018/2/9/11518159757971-FIDO-DIDO-Men-Tshirts-9591518159757862-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/2471500/2018/2/9/11518159758019-FIDO-DIDO-Men-Tshirts-9591518159757862-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/2471500/2018/2/9/11518159757994-FIDO-DIDO-Men-Tshirts-9591518159757862-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/2471500/2018/2/9/11518159758046-FIDO-DIDO-Men-Tshirts-9591518159757862-2.jpg'}]",Men,Pink,Flat_Search_Percent,(56% OFF),Solid Polo Collar T-shirt,Tshirts,1449,637,,False,,0,1,,1518048000000,Summer,2017,False,,,0,,[],www.myntra.com/Tshirts/FIDO-DIDO/FIDO-DIDO-Men-Pink-Solid-Polo-Collar-Slim-Fit-T-shirt/2471500/buy
2,Tshirts/Moda-Rapido/Moda-Rapido-Men-Maroon-Printed-Round-Neck-T-shirt/2378362/buy,False,,False,2378362,Moda Rapido Men Maroon Printed Round Neck T-shirt,Moda Rapido Men Maroon Printed Round Neck T-shirt,3.772152,1975,True,0,,163,Moda Rapido,http://assets.myntassets.com/assets/images/2378362/2018/6/9/270e0a7e-365b-4640-9433-b269c60bf3061528527188563-Moda-Rapido-Men-Maroon-Printed-Round-Neck-T-shirt-3811528527-1.jpg,0,0,15252613,4215,0,,[],"[{'skuId': 15252610, 'label': 'S', 'inventory': 184, 'available': True}, {'skuId': 15252611, 'label': 'M', 'inventory': 491, 'available': True}, {'skuId': 15252612, 'label': 'L', 'inventory': 449, 'available': True}, {'skuId': 15252613, 'label': 'XL', 'inventory': 202, 'available': True}, {'skuId': 22473345, 'label': 'XXL', 'inventory': 188, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/2378362/2018/6/9/270e0a7e-365b-4640-9433-b269c60bf3061528527188563-Moda-Rapido-Men-Maroon-Printed-Round-Neck-T-shirt-3811528527-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/2378362/2018/6/9/270e0a7e-365b-4640-9433-b269c60bf3061528527188563-Moda-Rapido-Men-Maroon-Printed-Round-Neck-T-shirt-3811528527-1.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/2378362/2018/6/9/33523035-65f5-4fcb-b7a5-4062e656d10b1528527188511-Moda-Rapido-Men-Maroon-Printed-Round-Neck-T-shirt-3811528527-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/2378362/2018/6/9/ed7b0cd1-8fa7-4f65-95b4-36518bfa94461528527188485-Moda-Rapido-Men-Maroon-Printed-Round-Neck-T-shirt-3811528527-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/2378362/2018/6/9/405568f1-c3c1-4713-9c38-6dd95ac962d31528527188543-Moda-Rapido-Men-Maroon-Printed-Round-Neck-T-shirt-3811528527-2.jpg'}]",Men,Maroon,Flat_Search_Percent,(25% OFF),Printed Round Neck T-shirt,Tshirts,649,486,,False,,0,1,,1518652800000,Summer,2019,False,,,0,,[],www.myntra.com/Tshirts/Moda-Rapido/Moda-Rapido-Men-Maroon-Printed-Round-Neck-T-shirt/2378362/buy
3,Tshirts/Roadster/Roadster-Men-Navy-Blue--White-Striped-Round-Neck-T-shirt/1827327/buy,False,,False,1827327,Roadster Men Navy Blue & White Striped Round Neck T-shirt,Roadster Men Navy Blue & White Striped Round Neck T-shirt,4.233333,1020,True,0,,210,Roadster,http://assets.myntassets.com/assets/images/1827327/2019/1/30/ea697592-ae95-410b-8975-e86d6eb00be71548844597394-Roadster-Men-Navy-Blue--White-Striped-Round-Neck-T-shirt-563-1.jpg,0,0,13150437,4118,0,,[],"[{'skuId': 13150434, 'label': 'S', 'inventory': 1, 'available': True}, {'skuId': 13150435, 'label': 'M', 'inventory': 1, 'available': True}, {'skuId': 13150436, 'label': 'L', 'inventory': 396, 'available': True}, {'skuId': 13150437, 'label': 'XL', 'inventory': 168, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/1827327/2019/1/30/ea697592-ae95-410b-8975-e86d6eb00be71548844597394-Roadster-Men-Navy-Blue--White-Striped-Round-Neck-T-shirt-563-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/1827327/2019/1/30/ea697592-ae95-410b-8975-e86d6eb00be71548844597394-Roadster-Men-Navy-Blue--White-Striped-Round-Neck-T-shirt-563-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/1827327/2019/1/30/f0eea74d-9476-4a8d-ac32-04bf526271671548844597306-Roadster-Men-Navy-Blue--White-Striped-Round-Neck-T-shirt-563-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/1827327/2019/1/30/542dd577-4c42-4c8b-b74e-224f646106311548844597355-Roadster-Men-Navy-Blue--White-Striped-Round-Neck-T-shirt-563-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/1827327/2019/1/30/fd921115-6717-43c4-aa16-fb0e0acf97fb1548844597324-Roadster-Men-Navy-Blue--White-Striped-Round-Neck-T-shirt-563-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/1827327/2019/1/30/eaef794d-98c0-4800-a494-dde102a30e161548844597371-Roadster-Men-Navy-Blue--White-Striped-Round-Neck-T-shirt-563-2.jpg'}]",Men,Navy Blue,Flat_Search_Percent,( 30 % OFF),Striped Round Neck T-shirt,Tshirts,699,489,,False,,0,1024,"Or Buy 2 @MRP, get 1 Free*",1498694400000,Summer,2019,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Tshirts/Roadster/Roadster-Men-Navy-Blue--White-Striped-Round-Neck-T-shirt/1827327/buy
4,Tshirts/FIDO-DIDO/FIDO-DIDO-Men-Mustard-Printed-Polo-Collar-T-shirt/2476463/buy,False,,False,2476463,FIDO DIDO Men Mustard Printed Polo Collar T-shirt,FIDO DIDO Men Mustard Printed Polo Collar T-shirt,3.929134,635,True,0,,676,FIDO DIDO,http://assets.myntassets.com/assets/images/2476463/2018/2/10/11518244710081-FIDO-DIDO-Men-Mustard-Printed-Polo-Collar-T-shirt-5511518244709858-1.jpg,0,0,15635848,7004,0,,[],"[{'skuId': 15635847, 'label': 'S', 'inventory': 170, 'available': True}, {'skuId': 15635850, 'label': 'M', 'inventory': 773, 'available': True}, {'skuId': 15635849, 'label': 'L', 'inventory': 707, 'available': True}, {'skuId': 15635848, 'label': 'XL', 'inventory': 648, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/2476463/2018/2/10/11518244710081-FIDO-DIDO-Men-Mustard-Printed-Polo-Collar-T-shirt-5511518244709858-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/2476463/2018/2/10/11518244710081-FIDO-DIDO-Men-Mustard-Printed-Polo-Collar-T-shirt-5511518244709858-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/2476463/2018/2/10/11518244709971-FIDO-DIDO-Men-Mustard-Printed-Polo-Collar-T-shirt-5511518244709858-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/2476463/2018/2/10/11518244710024-FIDO-DIDO-Men-Mustard-Printed-Polo-Collar-T-shirt-5511518244709858-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/2476463/2018/2/10/11518244709999-FIDO-DIDO-Men-Mustard-Printed-Polo-Collar-T-shirt-5511518244709858-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/2476463/2018/2/10/11518244710053-FIDO-DIDO-Men-Mustard-Printed-Polo-Collar-T-shirt-5511518244709858-2.jpg'}]",Men,Mustard,Flat_Search_Percent,(52% OFF),Printed Polo Collar T-shirt,Tshirts,1299,623,,False,,0,1,,1518048000000,Summer,2017,False,,,0,,[],www.myntra.com/Tshirts/FIDO-DIDO/FIDO-DIDO-Men-Mustard-Printed-Polo-Collar-T-shirt/2476463/buy
5,Tshirts/HERENOW/HERENOW-Men-White-Solid-Round-Neck-T-shirt/8267997/buy,False,,False,8267997,HERE&NOW Men White Solid Round Neck T-shirt,HERE&NOW Men White Solid Round Neck T-shirt,4.174873,589,True,0,,315,HERE&NOW,http://assets.myntassets.com/assets/images/8267997/2019/1/9/2aa11437-9107-4e02-86ca-d0d7ca2190e81547028324622-HERENOW-Men-White-Solid-Round-Neck-T-shirt-351547028323849-1.jpg,0,0,32784748,4027,0,,[],"[{'skuId': 32784748, 'label': 'S', 'inventory': 220, 'available': True}, {'skuId': 32784750, 'label': 'M', 'inventory': 787, 'available': True}, {'skuId': 32784751, 'label': 'L', 'inventory': 444, 'available': True}, {'skuId': 32784753, 'label': 'XL', 'inventory': 501, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/8267997/2019/1/9/2aa11437-9107-4e02-86ca-d0d7ca2190e81547028324622-HERENOW-Men-White-Solid-Round-Neck-T-shirt-351547028323849-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/8267997/2019/1/9/2aa11437-9107-4e02-86ca-d0d7ca2190e81547028324622-HERENOW-Men-White-Solid-Round-Neck-T-shirt-351547028323849-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/8267997/2019/1/9/65e6a6eb-d276-4c38-a584-c35c0a849a151547028324554-HERENOW-Men-White-Solid-Round-Neck-T-shirt-351547028323849-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/8267997/2019/1/9/f0f31a9b-1d68-443b-bd05-e4d034906e0a1547028324590-HERENOW-Men-White-Solid-Round-Neck-T-shirt-351547028323849-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/8267997/2019/1/9/e07d1bd9-46e0-420b-9775-81233abde0b61547028324570-HERENOW-Men-White-Solid-Round-Neck-T-shirt-351547028323849-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/8267997/2019/1/9/d9e855b9-c811-4347-af7f-91c108df20dd1547028324607-HERENOW-Men-White-Solid-Round-Neck-T-shirt-351547028323849-2.jpg'}]",Men,White,Flat_Search_Percent,(35% OFF),Solid Round Neck T-shirt,Tshirts,899,584,,False,,0,1,,1546473600000,Summer,2019,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Tshirts/HERENOW/HERENOW-Men-White-Solid-Round-Neck-T-shirt/8267997/buy
6,Tshirts/Roadster/Roadster-Men-Grey-Melange-Solid-Polo-Collar-T-shirt/2483671/buy,False,,False,2483671,Roadster Men Grey Melange Solid Polo Collar T-shirt,Roadster Men Grey Melange Solid Polo Collar T-shirt,3.9166667,84,True,0,,240,Roadster,http://assets.myntassets.com/assets/images/2483671/2018/5/18/fe21cc3a-c7de-4374-b140-6d9d36fecfb41526629339145-Roadster-Men-Grey-Melange-Solid-Polo-Collar-T-shirt-5041526629336751-1.jpg,0,0,15665123,4118,0,,[],"[{'skuId': 15665123, 'label': 'S', 'inventory': 111, 'available': True}, {'skuId': 15665124, 'label': 'M', 'inventory': 132, 'available': True}, {'skuId': 15665125, 'label': 'L', 'inventory': 21, 'available': True}, {'skuId': 15665126, 'label': 'XL', 'inventory': 0, 'available': False}]","S,M,L","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/2483671/2018/5/18/fe21cc3a-c7de-4374-b140-6d9d36fecfb41526629339145-Roadster-Men-Grey-Melange-Solid-Polo-Collar-T-shirt-5041526629336751-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/2483671/2018/5/18/fe21cc3a-c7de-4374-b140-6d9d36fecfb41526629339145-Roadster-Men-Grey-Melange-Solid-Polo-Collar-T-shirt-5041526629336751-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/2483671/2018/5/18/c853e55e-c80d-422b-8e4d-585a4de0fcbe1526629339058-Roadster-Men-Grey-Melange-Solid-Polo-Collar-T-shirt-5041526629336751-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/2483671/2018/5/18/07d7a22a-1296-4ac1-97ec-dcb1d01921f01526629339100-Roadster-Men-Grey-Melange-Solid-Polo-Collar-T-shirt-5041526629336751-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/2483671/2018/5/18/7203b8bb-077e-4979-b7ec-71a1499588bc1526629339080-Roadster-Men-Grey-Melange-Solid-Polo-Collar-T-shirt-5041526629336751-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/2483671/2018/5/18/d3215260-6b61-46ab-ba56-8f4f4668458e1526629339117-Roadster-Men-Grey-Melange-Solid-Polo-Collar-T-shirt-5041526629336751-2.jpg'}]",Men,Grey Melange,Flat_Search_Percent,( 30 % OFF),Solid Polo Collar T-shirt,Tshirts,799,559,,False,,0,1024,"Or Buy 2 @MRP, get 1 Free*",1526515200000,Summer,2019,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Tshirts/Roadster/Roadster-Men-Grey-Melange-Solid-Polo-Collar-T-shirt/2483671/buy
7,Tshirts/Roadster/Roadster-Men-White-Solid-Round-Neck-T-shirt/10424638/buy,False,,False,10424638,Roadster Men White Solid Round Neck T-shirt,Roadster Men White Solid Round Neck T-shirt,4.299835,1214,True,0,,100,Roadster,http://assets.myntassets.com/assets/images/10424638/2019/9/4/4499ee8b-de4a-4713-b800-a2b3ced3f1741567584992257-Roadster-Men-Tshirts-5921567584990880-1.jpg,0,0,35630796,4118,0,,[],"[{'skuId': 35630796, 'label': 'S', 'inventory': 0, 'available': False}, {'skuId': 35630804, 'label': 'M', 'inventory': 102, 'available': True}, {'skuId': 35630812, 'label': 'L', 'inventory': 1944, 'available': True}, {'skuId': 35630820, 'label': 'XL', 'inventory': 1338, 'available': True}]","M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/10424638/2019/9/4/4499ee8b-de4a-4713-b800-a2b3ced3f1741567584992257-Roadster-Men-Tshirts-5921567584990880-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/10424638/2019/9/4/4499ee8b-de4a-4713-b800-a2b3ced3f1741567584992257-Roadster-Men-Tshirts-5921567584990880-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/10424638/2019/9/4/7cfeb783-691b-4ae2-85d5-077fd87317b71567584992184-Roadster-Men-Tshirts-5921567584990880-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/10424638/2019/9/4/1764a30d-eb26-4c53-94db-a438c6a3ea7d1567584992221-Roadster-Men-Tshirts-5921567584990880-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/10424638/2019/9/4/59e45e32-0a63-45ce-8fff-1d5d00dafebf1567584992201-Roadster-Men-Tshirts-5921567584990880-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/10424638/2019/9/4/a3d305ee-b37c-4039-9e1f-c15dc74ca29c1567584992240-Roadster-Men-Tshirts-5921567584990880-2.jpg'}]",Men,White,Flat_Search_Percent,( 20 % OFF),Solid Round Neck T-shirt,Tshirts,499,399,,False,,0,1024,"Or Buy 2 @MRP, get 1 Free*",1567641600000,Fall,2019,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Tshirts/Roadster/Roadster-Men-White-Solid-Round-Neck-T-shirt/10424638/buy
8,Tshirts/HERENOW/HERENOW-Men-Mustard-Yellow--Navy-Colourblocked-T-shirt/2427598/buy,False,,False,2427598,HERE&NOW Men Mustard Yellow & Navy Colourblocked T-shirt,HERE&NOW Men Mustard Yellow & Navy Colourblocked T-shirt,4.1554055,444,True,0,,298,HERE&NOW,http://assets.myntassets.com/assets/images/2427598/2018/2/28/11519811574758-HERENOW-Men-Mustard-Yellow--Navy-Colourblocked-T-shirt-7061519811574573-1.jpg,0,0,15443009,4027,0,,[],"[{'skuId': 15443006, 'label': 'S', 'inventory': 245, 'available': True}, {'skuId': 15443007, 'label': 'M', 'inventory': 535, 'available': True}, {'skuId': 15443008, 'label': 'L', 'inventory': 501, 'available': True}, {'skuId': 15443009, 'label': 'XL', 'inventory': 174, 'available': True}, {'skuId': 15443010, 'label': 'XXL', 'inventory': 85, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/2427598/2018/2/28/11519811574758-HERENOW-Men-Mustard-Yellow--Navy-Colourblocked-T-shirt-7061519811574573-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/2427598/2018/2/28/11519811574758-HERENOW-Men-Mustard-Yellow--Navy-Colourblocked-T-shirt-7061519811574573-1.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/2427598/2018/2/28/11519811574723-HERENOW-Men-Mustard-Yellow--Navy-Colourblocked-T-shirt-7061519811574573-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/2427598/2018/2/28/11519811574695-HERENOW-Men-Mustard-Yellow--Navy-Colourblocked-T-shirt-7061519811574573-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/2427598/2018/2/28/11519811574740-HERENOW-Men-Mustard-Yellow--Navy-Colourblocked-T-shirt-7061519811574573-2.jpg'}]",Men,Mustard,Flat_Search_Percent,(35% OFF),Colourblocked T-shirt,Tshirts,849,551,,False,,0,1,,1519257600000,Summer,2019,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Tshirts/HERENOW/HERENOW-Men-Mustard-Yellow--Navy-Colourblocked-T-shirt/2427598/buy
9,Tshirts/Roadster/Roadster-Men-Grey-Melange-Solid-Round-Neck-T-shirt/11306992/buy,False,,False,11306992,Roadster Men Grey Melange Solid Round Neck T-shirt,Roadster Men Grey Melange Solid Round Neck T-shirt,4.258929,112,True,0,,100,Roadster,http://assets.myntassets.com/assets/images/11306992/2020/6/9/ea2607ea-c2d3-4d27-94c3-5a67a76de4fd1591692498694-Roadster-Men-Tshirts-811591692497497-1.jpg,0,0,39167620,4118,0,,[],"[{'skuId': 39167618, 'label': 'S', 'inventory': 163, 'available': True}, {'skuId': 39167620, 'label': 'M', 'inventory': 531, 'available': True}, {'skuId': 39167622, 'label': 'L', 'inventory': 463, 'available': True}, {'skuId': 39167624, 'label': 'XL', 'inventory': 171, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11306992/2020/6/9/ea2607ea-c2d3-4d27-94c3-5a67a76de4fd1591692498694-Roadster-Men-Tshirts-811591692497497-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11306992/2020/6/9/ea2607ea-c2d3-4d27-94c3-5a67a76de4fd1591692498694-Roadster-Men-Tshirts-811591692497497-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11306992/2020/6/9/c443a5b2-41e9-424c-bd46-8d2b51ddd9351591692498449-Roadster-Men-Tshirts-811591692497497-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11306992/2020/6/9/383e1aaf-7a2a-423e-a1db-709fa909b1e41591692498579-Roadster-Men-Tshirts-811591692497497-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11306992/2020/6/9/4b01ed92-0cd2-48a3-9323-5b9ba33551bf1591692498515-Roadster-Men-Tshirts-811591692497497-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11306992/2020/6/9/f925a5aa-4176-4a85-afaa-b3566cbde50c1591692498638-Roadster-Men-Tshirts-811591692497497-2.jpg'}]",Men,Grey Melange,Flat_Search_Percent,( 20 % OFF),Solid Round Neck T-shirt,Tshirts,499,399,,False,,0,1024,"Or Buy 2 @MRP, get 1 Free*",1591833600000,Spring,2020,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Tshirts/Roadster/Roadster-Men-Grey-Melange-Solid-Round-Neck-T-shirt/11306992/buy
