,landingPageUrl,loyaltyPointsEnabled,adId,isPLA,productId,product,productName,rating,ratingCount,isFastFashion,futureDiscountedPrice,futureDiscountStartDate,discount,brand,searchImage,effectiveDiscountPercentageAfterTax,effectiveDiscountAmountAfterTax,buyButtonWinnerSkuId,buyButtonWinnerSellerPartnerId,relatedStylesCount,relatedStylesType,productVideos,inventoryInfo,sizes,images,gender,primaryColour,discountLabel,discountDisplayLabel,additionalInfo,category,mrp,price,advanceOrderTag,colorVariantAvailable,productimagetag,listViews,discountType,tdBxGyText,catalogDate,season,year,isPersonalised,eorsPicksTag,personalizedCoupon,personalizedCouponValue,productMeta,systemAttributes,PAGE_URL_COMPLETE
0,Tops/SASSAFRAS/SASSAFRAS-Women-Black-Solid-Semi-Sheer-Longline-A-Line-Top/9070277/buy,False,,False,9070277,SASSAFRAS Women Black Solid Semi-Sheer Longline A-Line Top,SASSAFRAS Women Black Solid Semi-Sheer Longline A-Line Top,4.392544,1368,True,0,,663,SASSAFRAS,http://assets.myntassets.com/assets/images/9070277/2019/4/1/778bd489-d0e5-46ab-be0e-e03af9b794e11554109637847-SASSAFRAS-Women-Tops-3961554109636914-1.jpg,0,0,33754919,4028,0,,[],"[{'skuId': 33754916, 'label': 'XS', 'inventory': 418, 'available': True}, {'skuId': 33754919, 'label': 'S', 'inventory': 483, 'available': True}, {'skuId': 33754920, 'label': 'M', 'inventory': 556, 'available': True}, {'skuId': 33754923, 'label': 'L', 'inventory': 56, 'available': True}, {'skuId': 33754924, 'label': 'XL', 'inventory': 118, 'available': True}]","XS,S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/9070277/2019/4/1/778bd489-d0e5-46ab-be0e-e03af9b794e11554109637847-SASSAFRAS-Women-Tops-3961554109636914-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/9070277/2019/4/1/778bd489-d0e5-46ab-be0e-e03af9b794e11554109637847-SASSAFRAS-Women-Tops-3961554109636914-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/9070277/2019/4/1/715bdaee-51b9-496f-8acf-9182ef9e572f1554109637773-SASSAFRAS-Women-Tops-3961554109636914-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/9070277/2019/4/1/4b654b3b-5202-4301-9dcd-2dd914a444f91554109637805-SASSAFRAS-Women-Tops-3961554109636914-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/9070277/2019/4/1/bf7f21ac-94b1-47c9-8825-aace628cfc811554109637827-SASSAFRAS-Women-Tops-3961554109636914-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/9070277/2019/4/1/38a6eeb3-475e-47f3-9f5d-f6b5f654b9441554109637786-SASSAFRAS-Women-Tops-3961554109636914-4.jpg'}]",Women,Black,Flat_Search_Percent,(51% OFF),Solid A-Line Top,Tops,1299,636,,False,,0,1,,1553731200000,Spring,2019,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Tops/SASSAFRAS/SASSAFRAS-Women-Black-Solid-Semi-Sheer-Longline-A-Line-Top/9070277/buy
1,Tops/Harpa/Harpa-Women-Mustard-Yellow-Polka-Dot-Print-Wrap-Top/8986017/buy,False,,False,8986017,Harpa Women Mustard Yellow Polka Dot Print Wrap Top,Harpa Women Mustard Yellow Polka Dot Print Wrap Top,3.867361,1440,True,0,,600,Harpa,http://assets.myntassets.com/assets/images/8986017/2019/3/14/09e033fa-9925-4f5f-b5aa-6aac32307fed1552553406848-Harpa-Women-Tops-4791552553405672-1.jpg,0,0,33654134,609,0,,[],"[{'skuId': 33654132, 'label': 'S', 'inventory': 235, 'available': True}, {'skuId': 33654133, 'label': 'M', 'inventory': 13, 'available': True}, {'skuId': 33654134, 'label': 'L', 'inventory': 132, 'available': True}, {'skuId': 33654136, 'label': 'XL', 'inventory': 314, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/8986017/2019/3/14/09e033fa-9925-4f5f-b5aa-6aac32307fed1552553406848-Harpa-Women-Tops-4791552553405672-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/8986017/2019/3/14/09e033fa-9925-4f5f-b5aa-6aac32307fed1552553406848-Harpa-Women-Tops-4791552553405672-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/8986017/2019/3/14/71e158b0-fdbb-49fc-ad5a-48c71e05e28e1552553406735-Harpa-Women-Tops-4791552553405672-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/8986017/2019/3/14/b9944ff3-1e72-4a3e-a710-3fb716642a861552553406784-Harpa-Women-Tops-4791552553405672-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/8986017/2019/3/14/5b05a91d-49b2-4558-8b24-128253b5a9e41552553406760-Harpa-Women-Tops-4791552553405672-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/8986017/2019/3/14/bb019a96-e817-4f8c-b6f8-3c852811d1861552553406810-Harpa-Women-Tops-4791552553405672-2.jpg'}]",Women,Mustard,Flat_Search_Percent,(50% OFF),Polka Dot Print Wrap Top,Tops,1199,599,,False,,0,1,,1552521600000,Summer,2019,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Tops/Harpa/Harpa-Women-Mustard-Yellow-Polka-Dot-Print-Wrap-Top/8986017/buy
2,Tshirts/Roadster/Roadster-Women-Maroon-Solid-Round-Neck-T-shirt/2312468/buy,False,,False,2312468,Roadster Women Maroon Solid Round Neck T-shirt,Roadster Women Maroon Solid Round Neck T-shirt,4.0210614,1187,True,0,,275,Roadster,http://assets.myntassets.com/assets/images/2312468/2018/2/21/11519195992929-Roadster-Women-Maroon-Solid-Round-Neck-T-shirt-7951519195992737-1.jpg,0,0,14968834,4118,0,,[],"[{'skuId': 14968834, 'label': 'S', 'inventory': 815, 'available': True}, {'skuId': 14968835, 'label': 'M', 'inventory': 145, 'available': True}, {'skuId': 14968836, 'label': 'L', 'inventory': 1, 'available': True}, {'skuId': 14968837, 'label': 'XL', 'inventory': 0, 'available': False}]","S,M,L","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/2312468/2018/2/21/11519195992929-Roadster-Women-Maroon-Solid-Round-Neck-T-shirt-7951519195992737-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/2312468/2018/2/21/11519195992929-Roadster-Women-Maroon-Solid-Round-Neck-T-shirt-7951519195992737-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/2312468/2018/2/21/11519195992813-Roadster-Women-Maroon-Solid-Round-Neck-T-shirt-7951519195992737-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/2312468/2018/2/21/11519195992877-Roadster-Women-Maroon-Solid-Round-Neck-T-shirt-7951519195992737-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/2312468/2018/2/21/11519195992846-Roadster-Women-Maroon-Solid-Round-Neck-T-shirt-7951519195992737-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/2312468/2018/2/21/11519195992900-Roadster-Women-Maroon-Solid-Round-Neck-T-shirt-7951519195992737-2.jpg'}]",Women,Maroon,Flat_Search_Percent,(55% OFF),Solid Round Neck T-shirt,Tshirts,499,224,,False,,0,1,,1518652800000,Summer,2019,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Tshirts/Roadster/Roadster-Women-Maroon-Solid-Round-Neck-T-shirt/2312468/buy
3,Tops/Ives/Ives-Women-Olive-Green-Solid-Shirt-Style-Top/8375271/buy,False,,False,8375271,Ives Women Olive Green Solid Shirt Style Top,Ives Women Olive Green Solid Shirt Style Top,3.9918644,1475,True,0,,550,Ives,http://assets.myntassets.com/assets/images/8375271/2019/1/7/582995a9-d9c8-4129-8538-bf6492edc0191546853353174-Ives-Women-Olive-Green-Solid-Shirt-Style-Top-342154685335233-1.jpg,0,0,32904933,2182,0,,[],"[{'skuId': 32904931, 'label': 'S', 'inventory': 205, 'available': True}, {'skuId': 32904932, 'label': 'M', 'inventory': 233, 'available': True}, {'skuId': 32904933, 'label': 'L', 'inventory': 121, 'available': True}, {'skuId': 32904934, 'label': 'XL', 'inventory': 107, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/8375271/2019/1/7/582995a9-d9c8-4129-8538-bf6492edc0191546853353174-Ives-Women-Olive-Green-Solid-Shirt-Style-Top-342154685335233-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/8375271/2019/1/7/582995a9-d9c8-4129-8538-bf6492edc0191546853353174-Ives-Women-Olive-Green-Solid-Shirt-Style-Top-342154685335233-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/8375271/2019/1/7/1f464d2a-9c64-43a6-a877-aeac3a317ef31546853353117-Ives-Women-Olive-Green-Solid-Shirt-Style-Top-342154685335233-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/8375271/2019/1/7/861a97a2-b569-482b-b8e4-41f0f7d562b41546853353140-Ives-Women-Olive-Green-Solid-Shirt-Style-Top-342154685335233-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/8375271/2019/1/7/5e0cdb25-c0de-45f7-bd69-dbfd9293d8b81546853353155-Ives-Women-Olive-Green-Solid-Shirt-Style-Top-342154685335233-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/8375271/2019/1/7/51d8b738-7205-4fcc-8472-f653aa21fb561546853353127-Ives-Women-Olive-Green-Solid-Shirt-Style-Top-342154685335233-4.jpg'}]",Women,Olive,Flat_Search_Percent,(50% OFF),Solid Shirt Style Top,Tops,1099,549,,False,,0,1,,1546473600000,Summer,2018,False,,,0,,[],www.myntra.com/Tops/Ives/Ives-Women-Olive-Green-Solid-Shirt-Style-Top/8375271/buy
4,Tops/Harpa/Harpa-Women-Black-Solid-Top-with-Floral-Embroidery/7578956/buy,False,,False,7578956,Harpa Women Black Solid Top with Floral Embroidery,Harpa Women Black Solid Top with Floral Embroidery,4.094086,744,True,0,,850,Harpa,http://assets.myntassets.com/assets/images/7578956/2018/10/24/629593a1-1d44-4539-9342-c46f82bbe20d1540383624409-Harpa-Women-Tops-3891540383624283-1.jpg,0,0,32005570,609,0,,[],"[{'skuId': 32005570, 'label': 'S', 'inventory': 261, 'available': True}, {'skuId': 32005571, 'label': 'M', 'inventory': 151, 'available': True}, {'skuId': 32005572, 'label': 'L', 'inventory': 155, 'available': True}, {'skuId': 32005573, 'label': 'XL', 'inventory': 25, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/7578956/2018/10/24/629593a1-1d44-4539-9342-c46f82bbe20d1540383624409-Harpa-Women-Tops-3891540383624283-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/7578956/2018/10/24/629593a1-1d44-4539-9342-c46f82bbe20d1540383624409-Harpa-Women-Tops-3891540383624283-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/7578956/2018/10/24/bd9b0714-f94d-4a36-83c3-1de59c4c88d21540383624430-Harpa-Women-Tops-3891540383624283-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/7578956/2018/10/24/03af2c93-7f0b-4146-9aac-71e75ba2af931540383624370-Harpa-Women-Tops-3891540383624283-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/7578956/2018/10/24/01853611-5268-431e-8273-6bae0a1a68dd1540383624391-Harpa-Women-Tops-3891540383624283-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/7578956/2018/10/24/66e787f5-cb82-4402-95f8-a08a7b98cd231540383624357-Harpa-Women-Tops-3891540383624283-4.jpg'}]",Women,Black,Flat_Search_Percent,(50% OFF),Top with Floral Embroidery,Tops,1699,849,,False,,0,1,,1540425600000,Summer,2019,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Tops/Harpa/Harpa-Women-Black-Solid-Top-with-Floral-Embroidery/7578956/buy
5,Tops/RARE/RARE-Burgundy-Crepe-Blouson-Top/1437335/buy,False,,False,1437335,RARE Burgundy Crepe Blouson Top,RARE Burgundy Crepe Blouson Top,4.1126127,666,True,0,,450,RARE,http://assets.myntassets.com/assets/images/1437335/2016/7/18/11468832516475-RARE-Women-Tops-1041468832516238-1.jpg,0,0,11798514,3030,0,,[],"[{'skuId': 11798512, 'label': 'S', 'inventory': 431, 'available': True}, {'skuId': 11798513, 'label': 'M', 'inventory': 346, 'available': True}, {'skuId': 11798514, 'label': 'L', 'inventory': 125, 'available': True}, {'skuId': 11798515, 'label': 'XL', 'inventory': 261, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/1437335/2016/7/18/11468832516475-RARE-Women-Tops-1041468832516238-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/1437335/2016/7/18/11468832516475-RARE-Women-Tops-1041468832516238-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/1437335/2016/7/18/11468832516398-RARE-Women-Tops-1041468832516238-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/1437335/2016/7/18/11468832516438-RARE-Women-Tops-1041468832516238-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/1437335/2016/7/18/11468832516416-RARE-Women-Tops-1041468832516238-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/1437335/2016/7/18/11468832516458-RARE-Women-Tops-1041468832516238-2.jpg'}]",Women,Burgundy,Flat_Search_Percent,(45% OFF),Crepe Blouson Top,Tops,999,549,,False,,0,1,,1468454400000,Fall,2016,False,,,0,,[],www.myntra.com/Tops/RARE/RARE-Burgundy-Crepe-Blouson-Top/1437335/buy
6,Tops/Pannkh/Pannkh-Women-Navy-Blue-Printed-Top/2506738/buy,False,,False,2506738,Pannkh Women Navy Blue Printed Top,Pannkh Women Navy Blue Printed Top,3.9505208,768,True,0,,450,Pannkh,http://assets.myntassets.com/assets/images/2506738/2018/7/18/df0c1d8c-528d-4afd-9714-a40c19b105ec1531903512284-Pannkh-Women-Navy-Blue-Printed-Top-6761531903512079-1.jpg,0,0,15755238,2031,0,,[],"[{'skuId': 15755236, 'label': 'XS', 'inventory': 12, 'available': True}, {'skuId': 15755240, 'label': 'S', 'inventory': 27, 'available': True}, {'skuId': 15755238, 'label': 'M', 'inventory': 15, 'available': True}, {'skuId': 15755234, 'label': 'L', 'inventory': 10, 'available': True}, {'skuId': 15755230, 'label': 'XL', 'inventory': 28, 'available': True}]","XS,S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/2506738/2018/7/18/df0c1d8c-528d-4afd-9714-a40c19b105ec1531903512284-Pannkh-Women-Navy-Blue-Printed-Top-6761531903512079-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/2506738/2018/7/18/df0c1d8c-528d-4afd-9714-a40c19b105ec1531903512284-Pannkh-Women-Navy-Blue-Printed-Top-6761531903512079-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/2506738/2018/7/18/49e1417a-8696-471a-b1e3-0ccbb47b917a1531903512159-Pannkh-Women-Navy-Blue-Printed-Top-6761531903512079-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/2506738/2018/7/18/c0e43db5-8df9-492d-85dd-9775adcb9ac81531903512216-Pannkh-Women-Navy-Blue-Printed-Top-6761531903512079-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/2506738/2018/7/18/9643a585-6d2c-4379-88d8-57777e0cf0321531903512192-Pannkh-Women-Navy-Blue-Printed-Top-6761531903512079-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/2506738/2018/7/18/bd70e27a-21e3-4abc-bda7-f780296e493e1531903512255-Pannkh-Women-Navy-Blue-Printed-Top-6761531903512079-2.jpg'}]",Women,Navy Blue,Flat_Search_Percent,(45% OFF),Printed Top,Tops,999,549,,False,,0,1,,1518652800000,Summer,2018,False,,,0,,[],www.myntra.com/Tops/Pannkh/Pannkh-Women-Navy-Blue-Printed-Top/2506738/buy
7,Tops/KASSUALLY/KASSUALLY-Women-Mustard-Yellow-Solid-Peplum-Top/11173660/buy,False,,False,11173660,KASSUALLY Women Mustard Yellow Solid Peplum Top,KASSUALLY Women Mustard Yellow Solid Peplum Top,4.340659,273,True,0,,715,KASSUALLY,http://assets.myntassets.com/assets/images/productimage/2019/12/14/19b0c7a8-5885-4777-8fef-06e407cff86d1576292890000-1.jpg,0,0,38599652,6780,0,,[],"[{'skuId': 38599652, 'label': 'XS', 'inventory': 17, 'available': True}, {'skuId': 38599654, 'label': 'S', 'inventory': 3, 'available': True}, {'skuId': 38599656, 'label': 'M', 'inventory': 4, 'available': True}, {'skuId': 38599658, 'label': 'L', 'inventory': 15, 'available': True}, {'skuId': 38599660, 'label': 'XL', 'inventory': 36, 'available': True}, {'skuId': 38599664, 'label': 'XXL', 'inventory': 38, 'available': True}]","XS,S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/12/14/19b0c7a8-5885-4777-8fef-06e407cff86d1576292890000-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/12/14/19b0c7a8-5885-4777-8fef-06e407cff86d1576292890000-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/12/14/18f145f4-ed5b-4cde-8a7f-6963795ba8311576292890159-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/12/14/9306f9cc-6f96-491b-b780-ddeb72804e6f1576292890083-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/12/14/962fd297-d855-46bc-b8a2-977a00faab6d1576292890042-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2019/12/14/80941e54-ee53-4738-a663-fb43d861063d1576292890122-4.jpg'}]",Women,Mustard,Flat_Search_Percent,(55% OFF),Solid Peplum Top,Tops,1299,584,,False,,0,1,,1576108800000,Summer,2020,False,,,0,,[],www.myntra.com/Tops/KASSUALLY/KASSUALLY-Women-Mustard-Yellow-Solid-Peplum-Top/11173660/buy
8,Tops/Harpa/Harpa-Women-Maroon--White-Striped-Top/2102605/buy,False,,False,2102605,Harpa Women Maroon & White Striped Top,Harpa Women Maroon & White Striped Top,4.0775595,967,True,0,,600,Harpa,http://assets.myntassets.com/assets/images/2102605/2017/9/8/11504847902240-Harpa-Women-Tops-4311504847902031-1.jpg,0,0,14169932,609,0,,[],"[{'skuId': 14169920, 'label': 'S', 'inventory': 175, 'available': True}, {'skuId': 14169928, 'label': 'M', 'inventory': 76, 'available': True}, {'skuId': 14169932, 'label': 'L', 'inventory': 15, 'available': True}, {'skuId': 14169937, 'label': 'XL', 'inventory': 135, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/2102605/2017/9/8/11504847902240-Harpa-Women-Tops-4311504847902031-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/2102605/2017/9/8/11504847902240-Harpa-Women-Tops-4311504847902031-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/2102605/2017/9/8/11504847902136-Harpa-Women-Tops-4311504847902031-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/2102605/2017/9/8/11504847902191-Harpa-Women-Tops-4311504847902031-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/2102605/2017/9/8/11504847902164-Harpa-Women-Tops-4311504847902031-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/2102605/2017/9/8/11504847902218-Harpa-Women-Tops-4311504847902031-2.jpg'}]",Women,Maroon,Flat_Search_Percent,(50% OFF),Striped Top,Tops,1199,599,,False,,0,1,,1504742400000,Winter,2017,False,,,0,,[],www.myntra.com/Tops/Harpa/Harpa-Women-Maroon--White-Striped-Top/2102605/buy
9,Tops/Harpa/Harpa-Women-Pink--White-Striped-Top/8986051/buy,False,,False,8986051,Harpa Women Pink & White Striped Top,Harpa Women Pink & White Striped Top,3.8622274,871,True,0,,600,Harpa,http://assets.myntassets.com/assets/images/8986051/2019/3/14/362a015b-40a0-4133-9b3c-43690bd2c71b1552565555489-Harpa-Women-Tops-4551552565554298-1.jpg,0,0,33654201,609,0,,[],"[{'skuId': 33654200, 'label': 'S', 'inventory': 0, 'available': False}, {'skuId': 33654201, 'label': 'M', 'inventory': 78, 'available': True}, {'skuId': 33654202, 'label': 'L', 'inventory': 61, 'available': True}, {'skuId': 33654203, 'label': 'XL', 'inventory': 70, 'available': True}]","M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/8986051/2019/3/14/362a015b-40a0-4133-9b3c-43690bd2c71b1552565555489-Harpa-Women-Tops-4551552565554298-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/8986051/2019/3/14/362a015b-40a0-4133-9b3c-43690bd2c71b1552565555489-Harpa-Women-Tops-4551552565554298-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/8986051/2019/3/14/bd6e18f3-2c4a-4687-9178-1808c2a961191552565555439-Harpa-Women-Tops-4551552565554298-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/8986051/2019/3/14/c443d991-6658-42e9-a700-5a61bf18aebf1552565555463-Harpa-Women-Tops-4551552565554298-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/8986051/2019/3/14/b56f6435-0f40-4f04-a30c-2ec4ba0cacb31552565555477-Harpa-Women-Tops-4551552565554298-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/8986051/2019/3/14/5b3cf1f9-8454-4bf0-9f7b-ba53eab37f351552565555451-Harpa-Women-Tops-4551552565554298-4.jpg'}]",Women,Pink,Flat_Search_Percent,(50% OFF),Striped Top,Tops,1199,599,,False,,0,1,,1552521600000,Summer,2019,False,,,0,,[],www.myntra.com/Tops/Harpa/Harpa-Women-Pink--White-Striped-Top/8986051/buy
