,id,brandId,brandName,styleNumber,colorCount,colorDefaultId,colorSpriteUrl,colorsById,colorIds,enticementIds,enticements,isBeauty,isNordstromMade,isOutfit,isFeatured,isUmap,mediaById,name,priceCurrencyCode,priceCountryCode,pricesById,productPageUrl,reviewCount,reviewStarRating,storeAvailability,PAGE_URL_COMPLETE
0,4619245,9005,VINTAGE 1946,5362064,1,british tan,https://n.nordstrommedia.com/swatchsprite.jpg?photos=19_100942799,"{'british tan': {'id': 'british tan', 'label': 'BRITISH TAN', 'spriteIndex': 0, 'mediaIds': ['19_100942799', '2_100942802', '8_100942788'], 'standardColors': ['Brown'], 'swatchMediaId': '19_100942799'}}",['british tan'],['new'],,False,False,False,False,False,"{'19_100942799': {'id': '19_100942799', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/19/_100942799.jpg'}, '2_100942802': {'id': '2_100942802', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/2/_100942802.jpg'}, '8_100942788': {'id': '8_100942788', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/8/_100942788.jpg'}}",Vintage 1946 Slim Fit Military Chinos,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '115.00', 'maxItemPrice': '115.00', 'priceValidUntilDate': None}}",/s/vintage-1946-slim-fit-military-chinos/4619245,7,4.7,,www.nordstrom.com/s/vintage-1946-slim-fit-military-chinos/4619245
1,4700347,638,POLO RALPH LAUREN,5422048,1,polo black,https://n.nordstrommedia.com/swatchsprite.jpg?photos=6_103020006,"{'polo black': {'id': 'polo black', 'label': 'POLO BLACK', 'spriteIndex': 0, 'mediaIds': ['6_103020006', '12_103019992', '1_101366501'], 'standardColors': ['Black'], 'swatchMediaId': '6_103020006'}}",['polo black'],[],,False,False,False,False,False,"{'12_103019992': {'id': '12_103019992', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/12/_103019992.jpg'}, '1_101366501': {'id': '1_101366501', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/1/_101366501.jpg'}, '6_103020006': {'id': '6_103020006', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/6/_103020006.jpg'}}",Polo Ralph Lauren Pony Print Pajama Pants,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '44.00', 'maxItemPrice': '44.00', 'priceValidUntilDate': None}}",/s/polo-ralph-lauren-pony-print-pajama-pants/4700347,50,4.9,,www.nordstrom.com/s/polo-ralph-lauren-pony-print-pajama-pants/4700347
2,5046330,8111,BONOBOS,5685269,7,jet black,https://n.nordstrommedia.com/swatchsprite.jpg?photos=2_107096482-1_104596481-2_105923962-1_104590101-16_105593236-8_105237668-6_105569786,"{'baja dunes': {'id': 'baja dunes', 'label': 'BAJA DUNES', 'spriteIndex': 1, 'mediaIds': ['1_104596481', '10_104596490', '6_104596486'], 'standardColors': ['Beige'], 'swatchMediaId': '1_104596481'}, 'castlerock': {'id': 'castlerock', 'label': 'CASTLEROCK', 'spriteIndex': 2, 'mediaIds': ['2_105923962', '2_105237662', '1_105236901'], 'standardColors': ['Grey'], 'swatchMediaId': '2_105923962'}, 'grey dogs': {'id': 'grey dogs', 'label': 'GREY DOGS', 'spriteIndex': 3, 'mediaIds': ['1_104590101', '6_104604586', '12_104590392'], 'standardColors': ['Grey'], 'swatchMediaId': '1_104590101'}, 'jet black': {'id': 'jet black', 'label': 'JET BLACK', 'spriteIndex': 0, 'mediaIds': ['2_107096482', '19_107097499', '14_107097514'], 'standardColors': ['Black'], 'swatchMediaId': '2_107096482'}, 'jet blues': {'id': 'jet blues', 'label': 'JET BLUES', 'spriteIndex': 4, 'mediaIds': ['16_105593236', '1_105593241', '0_105593240'], 'standardColors': ['Blue'], 'swatchMediaId': '16_105593236'}, 'steely': {'id': 'steely', 'label': 'STEELY', 'spriteIndex': 5, 'mediaIds': ['8_105237668', '14_105237674', '10_105237370'], 'standardColors': ['Blue'], 'swatchMediaId': '8_105237668'}, 'wheat': {'id': 'wheat', 'label': 'WHEAT', 'spriteIndex': 6, 'mediaIds': ['6_105569786', '19_105572679', '10_105573230'], 'standardColors': ['Beige'], 'swatchMediaId': '6_105569786'}}","['jet black', 'baja dunes', 'castlerock', 'grey dogs', 'jet blues', 'steely', 'wheat']",[],,False,False,False,False,False,"{'0_105593240': {'id': '0_105593240', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/0/_105593240.jpg'}, '10_104596490': {'id': '10_104596490', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/10/_104596490.jpg'}, '10_105237370': {'id': '10_105237370', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/10/_105237370.jpg'}, '10_105573230': {'id': '10_105573230', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/10/_105573230.jpg'}, '12_104590392': {'id': '12_104590392', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/12/_104590392.jpg'}, '14_105237674': {'id': '14_105237674', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/14/_105237674.jpg'}, '14_107097514': {'id': '14_107097514', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/14/_107097514.jpg'}, '16_105593236': {'id': '16_105593236', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/16/_105593236.jpg'}, '19_105572679': {'id': '19_105572679', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/19/_105572679.jpg'}, '19_107097499': {'id': '19_107097499', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/19/_107097499.jpg'}, '1_104590101': {'id': '1_104590101', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/1/_104590101.jpg'}, '1_104596481': {'id': '1_104596481', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/1/_104596481.jpg'}, '1_105236901': {'id': '1_105236901', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/1/_105236901.jpg'}, '1_105593241': {'id': '1_105593241', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/1/_105593241.jpg'}, '2_105237662': {'id': '2_105237662', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/2/_105237662.jpg'}, '2_105923962': {'id': '2_105923962', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/2/_105923962.jpg'}, '2_107096482': {'id': '2_107096482', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/2/_107096482.jpg'}, '6_104596486': {'id': '6_104596486', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/6/_104596486.jpg'}, '6_104604586': {'id': '6_104604586', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/6/_104604586.jpg'}, '6_105569786': {'id': '6_105569786', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/6/_105569786.jpg'}, '8_105237668': {'id': '8_105237668', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/8/_105237668.jpg'}}",Bonobos Athletic Stretch Washed Chinos,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '98.00', 'maxItemPrice': '98.00', 'priceValidUntilDate': None}}",/s/bonobos-athletic-stretch-washed-chinos/5046330,2,3,,www.nordstrom.com/s/bonobos-athletic-stretch-washed-chinos/5046330
3,5126142,3893,ERMENEGILDO ZEGNA,5747931,1,charcoal,https://n.nordstrommedia.com/swatchsprite.jpg?photos=10_107613990,"{'charcoal': {'id': 'charcoal', 'label': 'CHARCOAL', 'spriteIndex': 0, 'mediaIds': ['10_107613990', '12_107613992', '16_107614056'], 'standardColors': ['Grey'], 'swatchMediaId': '10_107613990'}}",['charcoal'],[],,False,False,False,False,False,"{'10_107613990': {'id': '10_107613990', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/10/_107613990.jpg'}, '12_107613992': {'id': '12_107613992', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/12/_107613992.jpg'}, '16_107614056': {'id': '16_107614056', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/16/_107614056.jpg'}}",Ermenegildo Zegna Micronsphere Classic Fit Wool Dress Pants,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '525.00', 'maxItemPrice': '525.00', 'priceValidUntilDate': None}}",/s/ermenegildo-zegna-micronsphere-classic-fit-wool-dress-pants/5126142,0,0,,www.nordstrom.com/s/ermenegildo-zegna-micronsphere-classic-fit-wool-dress-pants/5126142
4,5150310,12917,BRAX,5764223,1,red,https://n.nordstrommedia.com/swatchsprite.jpg?photos=9_107248449,"{'red': {'id': 'red', 'label': 'RED', 'spriteIndex': 0, 'mediaIds': ['9_107248449', '12_107248612', '12_107248572'], 'standardColors': ['Red'], 'swatchMediaId': '9_107248449'}}",['red'],['new'],,False,False,False,False,False,"{'12_107248572': {'id': '12_107248572', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/12/_107248572.jpg'}, '12_107248612': {'id': '12_107248612', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/12/_107248612.jpg'}, '9_107248449': {'id': '9_107248449', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/9/_107248449.jpg'}}",Brax Sensation 2.0 Straight Leg Stretch Dress Pants,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '198.00', 'maxItemPrice': '198.00', 'priceValidUntilDate': None}}",/s/brax-sensation-2-0-straight-leg-stretch-dress-pants/5150310,1,5,,www.nordstrom.com/s/brax-sensation-2-0-straight-leg-stretch-dress-pants/5150310
5,5199643,5160,VINEYARD VINES,5793335,2,barracuda,https://n.nordstrommedia.com/swatchsprite.jpg?photos=8_105369808-6_106558866,"{'barracuda': {'id': 'barracuda', 'label': 'BARRACUDA', 'spriteIndex': 0, 'mediaIds': ['8_105369808', '15_105369675', '7_105369667'], 'standardColors': ['Grey'], 'swatchMediaId': '8_105369808'}, 'stone': {'id': 'stone', 'label': 'STONE', 'spriteIndex': 1, 'mediaIds': ['6_106558866', '9_106558869', '8_106558868'], 'standardColors': ['Offwhite'], 'swatchMediaId': '6_106558866'}}","['barracuda', 'stone']",[],,False,False,False,False,False,"{'15_105369675': {'id': '15_105369675', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/15/_105369675.jpg'}, '6_106558866': {'id': '6_106558866', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/6/_106558866.jpg'}, '7_105369667': {'id': '7_105369667', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/7/_105369667.jpg'}, '8_105369808': {'id': '8_105369808', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/8/_105369808.jpg'}, '8_106558868': {'id': '8_106558868', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/8/_106558868.jpg'}, '9_106558869': {'id': '9_106558869', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/9/_106558869.jpg'}}",vineyard vines On the Go Slim Fit Performance Pants,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '125.00', 'maxItemPrice': '125.00', 'priceValidUntilDate': None}, 'sale': {'id': 'sale', 'minItemPercentOff': 0, 'maxItemPercentOff': 23, 'minItemPrice': '95.75', 'maxItemPrice': '125.00', 'priceValidUntilDate': None}}",/s/vineyard-vines-on-the-go-slim-fit-performance-pants/5199643,5,4.8,,www.nordstrom.com/s/vineyard-vines-on-the-go-slim-fit-performance-pants/5199643
6,5412145,638,POLO RALPH LAUREN,5931242,1,cruise navy,https://n.nordstrommedia.com/swatchsprite.jpg?photos=11_107547511,"{'cruise navy': {'id': 'cruise navy', 'label': 'CRUISE NAVY', 'spriteIndex': 0, 'mediaIds': ['11_107547511', '2_107547502', '6_107547506'], 'standardColors': ['Blue'], 'swatchMediaId': '11_107547511'}}",['cruise navy'],['new'],,False,False,False,False,False,"{'11_107547511': {'id': '11_107547511', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/11/_107547511.jpg'}, '2_107547502': {'id': '2_107547502', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/2/_107547502.jpg'}, '6_107547506': {'id': '6_107547506', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/6/_107547506.jpg'}}",Polo Ralph Lauren Cotton Pajama Pants,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '44.00', 'maxItemPrice': '44.00', 'priceValidUntilDate': None}}",/s/polo-ralph-lauren-cotton-pajama-pants/5412145,0,0,,www.nordstrom.com/s/polo-ralph-lauren-cotton-pajama-pants/5412145
7,5412162,638,POLO RALPH LAUREN,5931326,1,cruise navy,https://n.nordstrommedia.com/swatchsprite.jpg?photos=16_107540196,"{'cruise navy': {'id': 'cruise navy', 'label': 'CRUISE NAVY', 'spriteIndex': 0, 'mediaIds': ['16_107540196', '5_107540185', '18_107540158'], 'standardColors': ['Blue'], 'swatchMediaId': '16_107540196'}}",['cruise navy'],['new'],,False,False,False,False,False,"{'16_107540196': {'id': '16_107540196', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/16/_107540196.jpg'}, '18_107540158': {'id': '18_107540158', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/18/_107540158.jpg'}, '5_107540185': {'id': '5_107540185', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/5/_107540185.jpg'}}",Polo Ralph Lauren Cotton Jogger Pajama Pants,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '44.00', 'maxItemPrice': '44.00', 'priceValidUntilDate': None}}",/s/polo-ralph-lauren-cotton-jogger-pajama-pants/5412162,0,0,,www.nordstrom.com/s/polo-ralph-lauren-cotton-jogger-pajama-pants/5412162
8,5420391,6581,Daniel Buchler,5937130,1,blue,https://n.nordstrommedia.com/swatchsprite.jpg?photos=12_107195392,"{'blue': {'id': 'blue', 'label': 'BLUE', 'spriteIndex': 0, 'mediaIds': ['12_107195392', '18_107179238', '16_107179236'], 'standardColors': ['Blue'], 'swatchMediaId': '12_107195392'}}",['blue'],['new'],,False,False,False,False,False,"{'12_107195392': {'id': '12_107195392', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/12/_107195392.jpg'}, '16_107179236': {'id': '16_107179236', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/16/_107179236.jpg'}, '18_107179238': {'id': '18_107179238', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/18/_107179238.jpg'}}",Daniel Buchler Modal Blend Lounge Pants,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '98.00', 'maxItemPrice': '98.00', 'priceValidUntilDate': None}}",/s/daniel-buchler-modal-blend-lounge-pants/5420391,0,0,,www.nordstrom.com/s/daniel-buchler-modal-blend-lounge-pants/5420391
9,5420398,6581,Daniel Buchler,5937135,1,blue,https://n.nordstrommedia.com/swatchsprite.jpg?photos=0_107195680,"{'blue': {'id': 'blue', 'label': 'BLUE', 'spriteIndex': 0, 'mediaIds': ['0_107195680', '4_107179284', '12_107179272'], 'standardColors': ['Blue'], 'swatchMediaId': '0_107195680'}}",['blue'],['new'],,False,False,False,False,False,"{'0_107195680': {'id': '0_107195680', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/0/_107195680.jpg'}, '12_107179272': {'id': '12_107179272', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/12/_107179272.jpg'}, '4_107179284': {'id': '4_107179284', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/4/_107179284.jpg'}}",Daniel Buchler Washed Modal Blend Lounge Pants,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '115.00', 'maxItemPrice': '115.00', 'priceValidUntilDate': None}}",/s/daniel-buchler-washed-modal-blend-lounge-pants/5420398,0,0,,www.nordstrom.com/s/daniel-buchler-washed-modal-blend-lounge-pants/5420398
