,id,brandId,brandName,styleNumber,colorCount,colorDefaultId,colorSpriteUrl,colorsById,colorIds,enticementIds,enticements,isBeauty,isNordstromMade,isOutfit,isFeatured,isUmap,mediaById,name,priceCurrencyCode,priceCountryCode,pricesById,productPageUrl,reviewCount,reviewStarRating,storeAvailability,PAGE_URL_COMPLETE
0,3862838,4306,NIC AND ZOE,866751,3,mushroom,https://n.nordstrommedia.com/swatchsprite.jpg?photos=13_9886793-12_107240392-15_9891235,"{'beachwood': {'id': 'beachwood', 'label': 'BEACHWOOD', 'spriteIndex': 1, 'mediaIds': ['12_107240392', '11_107240371', '4_107240364'], 'standardColors': ['Beige'], 'swatchMediaId': '12_107240392'}, 'black onyx': {'id': 'black onyx', 'label': 'BLACK ONYX', 'spriteIndex': 2, 'mediaIds': ['15_9891235', '14_9891234', '10_9891170'], 'standardColors': ['Black'], 'swatchMediaId': '15_9891235'}, 'mushroom': {'id': 'mushroom', 'label': 'MUSHROOM', 'spriteIndex': 0, 'mediaIds': ['13_9886793', '12_9886792', '7_9886887'], 'standardColors': ['Beige'], 'swatchMediaId': '13_9886793'}}","['mushroom', 'beachwood', 'black onyx']",[],,False,False,False,False,False,"{'10_9891170': {'id': '10_9891170', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/10/_9891170.jpg'}, '11_107240371': {'id': '11_107240371', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/11/_107240371.jpg'}, '12_107240392': {'id': '12_107240392', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/12/_107240392.jpg'}, '12_9886792': {'id': '12_9886792', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/12/_9886792.jpg'}, '13_9886793': {'id': '13_9886793', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/13/_9886793.jpg'}, '14_9891234': {'id': '14_9891234', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/14/_9891234.jpg'}, '15_9891235': {'id': '15_9891235', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/15/_9891235.jpg'}, '4_107240364': {'id': '4_107240364', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/4/_107240364.jpg'}, '7_9886887': {'id': '7_9886887', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/7/_9886887.jpg'}}",NIC+ZOE Wonderstretch Slim Leg Pants (Regular & Petite),USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '128.00', 'maxItemPrice': '134.00', 'priceValidUntilDate': None}, 'sale': {'id': 'sale', 'minItemPercentOff': 4, 'maxItemPercentOff': 58, 'minItemPrice': '53.60', 'maxItemPrice': '128.00', 'priceValidUntilDate': None}}",/s/niczoe-wonderstretch-slim-leg-pants-regular-petite/3862838,89,4,,www.nordstrom.com/s/niczoe-wonderstretch-slim-leg-pants-regular-petite/3862838
1,3883858,906,NORDSTROM LINGERIE,889838,2,navy peacoat,https://n.nordstrommedia.com/swatchsprite.jpg?photos=2_105081142-6_10397246,"{'black': {'id': 'black', 'label': 'BLACK', 'spriteIndex': 1, 'mediaIds': ['6_10397246', '13_12628953', '5_12628945'], 'standardColors': ['Black'], 'swatchMediaId': '6_10397246'}, 'navy peacoat': {'id': 'navy peacoat', 'label': 'NAVY PEACOAT', 'spriteIndex': 0, 'mediaIds': ['2_105081142', '3_100671323', '11_100671431'], 'standardColors': ['Blue'], 'swatchMediaId': '2_105081142'}}","['navy peacoat', 'black']",[],,False,True,False,False,False,"{'11_100671431': {'id': '11_100671431', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/11/_100671431.jpg'}, '13_12628953': {'id': '13_12628953', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/13/_12628953.jpg'}, '2_105081142': {'id': '2_105081142', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/2/_105081142.jpg'}, '3_100671323': {'id': '3_100671323', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/3/_100671323.jpg'}, '5_12628945': {'id': '5_12628945', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/5/_12628945.jpg'}, '6_10397246': {'id': '6_10397246', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/6/_10397246.jpg'}}",Nordstrom Lingerie Lazy Mornings Lounge Pants,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '39.00', 'maxItemPrice': '39.00', 'priceValidUntilDate': None}}",/s/nordstrom-lingerie-lazy-mornings-lounge-pants/3883858,634,4.2,,www.nordstrom.com/s/nordstrom-lingerie-lazy-mornings-lounge-pants/3883858
2,4021192,7905,WIT AND WISDOM,1100360,1,dark navy,https://n.nordstrommedia.com/swatchsprite.jpg?photos=7_100404227,"{'dark navy': {'id': 'dark navy', 'label': 'DARK NAVY', 'spriteIndex': 0, 'mediaIds': ['7_100404227', '10_102219450', '18_10566038'], 'standardColors': ['Blue'], 'swatchMediaId': '7_100404227'}}",['dark navy'],[],,False,False,False,False,False,"{'10_102219450': {'id': '10_102219450', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/10/_102219450.jpg'}, '18_10566038': {'id': '18_10566038', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/18/_10566038.jpg'}, '7_100404227': {'id': '7_100404227', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/7/_100404227.jpg'}}",Wit & Wisdom Jeggings (Regular & Petite) (Nordstrom Exclusive),USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '64.00', 'maxItemPrice': '64.00', 'priceValidUntilDate': None}}",/s/wit-wisdom-jeggings-regular-petite-nordstrom-exclusive/4021192,625,4.5,,www.nordstrom.com/s/wit-wisdom-jeggings-regular-petite-nordstrom-exclusive/4021192
3,4312583,5227,ZELLA,5137623,1,black,https://n.nordstrommedia.com/swatchsprite.jpg?photos=4_13016144,"{'black': {'id': 'black', 'label': 'BLACK', 'spriteIndex': 0, 'mediaIds': ['4_13016144', '18_13016138', '17_13015237'], 'standardColors': ['Black'], 'swatchMediaId': '4_13016144'}}",['black'],[],,False,True,False,False,False,"{'17_13015237': {'id': '17_13015237', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/17/_13015237.jpg'}, '18_13016138': {'id': '18_13016138', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/18/_13016138.jpg'}, '4_13016144': {'id': '4_13016144', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/4/_13016144.jpg'}}",Zella Barely Flare Live in High Waist Pants,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '65.00', 'maxItemPrice': '65.00', 'priceValidUntilDate': None}}",/s/zella-barely-flare-live-in-high-waist-pants/4312583,198,4.3,,www.nordstrom.com/s/zella-barely-flare-live-in-high-waist-pants/4312583
4,4475384,680,SPANX,5257890,3,very black,https://n.nordstrommedia.com/swatchsprite.jpg?photos=17_101663037-7_101666447-15_101663055,"{'black camo': {'id': 'black camo', 'label': 'BLACK CAMO', 'spriteIndex': 1, 'mediaIds': ['7_101666447', '6_101666446', '14_101663114'], 'standardColors': ['Black'], 'swatchMediaId': '7_101666447'}, 'green camo': {'id': 'green camo', 'label': 'GREEN CAMO', 'spriteIndex': 2, 'mediaIds': ['15_101663055', '12_101663052', '14_101663114'], 'standardColors': ['Green'], 'swatchMediaId': '15_101663055'}, 'very black': {'id': 'very black', 'label': 'VERY BLACK', 'spriteIndex': 0, 'mediaIds': ['17_101663037', '12_101663032', '14_101663114'], 'standardColors': ['Black'], 'swatchMediaId': '17_101663037'}}","['very black', 'black camo', 'green camo']",[],,False,False,False,False,False,"{'12_101663032': {'id': '12_101663032', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/12/_101663032.jpg'}, '12_101663052': {'id': '12_101663052', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/12/_101663052.jpg'}, '14_101663114': {'id': '14_101663114', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/14/_101663114.jpg'}, '15_101663055': {'id': '15_101663055', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/15/_101663055.jpg'}, '17_101663037': {'id': '17_101663037', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/17/_101663037.jpg'}, '6_101666446': {'id': '6_101666446', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/6/_101666446.jpg'}, '7_101666447': {'id': '7_101666447', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/7/_101666447.jpg'}}",SPANX® Look at Me Now Seamless Leggings,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '68.00', 'maxItemPrice': '68.00', 'priceValidUntilDate': None}}",/s/spanx-look-at-me-now-seamless-leggings/4475384,440,4,,www.nordstrom.com/s/spanx-look-at-me-now-seamless-leggings/4475384
5,4668978,7549,AVIATOR NATION,5402256,4,heather neon orange,https://n.nordstrommedia.com/swatchsprite.jpg?photos=12_107696852-6_104204566-9_104483549-5_106871725,"{'charcoal': {'id': 'charcoal', 'label': 'CHARCOAL', 'spriteIndex': 1, 'mediaIds': ['6_104204566', '11_104204571', '10_104204570'], 'standardColors': ['Grey'], 'swatchMediaId': '6_104204566'}, 'heather grey': {'id': 'heather grey', 'label': 'HEATHER GREY', 'spriteIndex': 2, 'mediaIds': ['9_104483549', '9_104483509', '8_104484288'], 'standardColors': ['Grey'], 'swatchMediaId': '9_104483549'}, 'heather neon orange': {'id': 'heather neon orange', 'label': 'HEATHER NEON ORANGE', 'spriteIndex': 0, 'mediaIds': ['12_107696852', '11_107701351', '9_106871729'], 'standardColors': ['Grey'], 'swatchMediaId': '12_107696852'}, 'hthr': {'id': 'hthr', 'label': 'HTHR', 'spriteIndex': 3, 'mediaIds': ['5_106871725', '10_106871730', '9_106871729'], 'standardColors': ['Grey'], 'swatchMediaId': '5_106871725'}}","['heather neon orange', 'charcoal', 'heather grey', 'hthr']",[],,False,False,False,False,False,"{'10_104204570': {'id': '10_104204570', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/10/_104204570.jpg'}, '10_106871730': {'id': '10_106871730', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/10/_106871730.jpg'}, '11_104204571': {'id': '11_104204571', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/11/_104204571.jpg'}, '11_107701351': {'id': '11_107701351', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/11/_107701351.jpg'}, '12_107696852': {'id': '12_107696852', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/12/_107696852.jpg'}, '5_106871725': {'id': '5_106871725', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/5/_106871725.jpg'}, '6_104204566': {'id': '6_104204566', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/6/_104204566.jpg'}, '8_104484288': {'id': '8_104484288', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/8/_104484288.jpg'}, '9_104483509': {'id': '9_104483509', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/9/_104483509.jpg'}, '9_104483549': {'id': '9_104483549', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/9/_104483549.jpg'}, '9_106871729': {'id': '9_106871729', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/9/_106871729.jpg'}}",Aviator Nation Stripe Sweatpants,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '156.00', 'maxItemPrice': '156.00', 'priceValidUntilDate': None}}",/s/aviator-nation-stripe-sweatpants/4668978,19,3.9,,www.nordstrom.com/s/aviator-nation-stripe-sweatpants/4668978
6,4687341,814,BP,5413491,1,black,https://n.nordstrommedia.com/swatchsprite.jpg?photos=5_104310085,"{'black': {'id': 'black', 'label': 'BLACK', 'spriteIndex': 0, 'mediaIds': ['5_104310085', '4_101954064', '18_101954078'], 'standardColors': ['Black'], 'swatchMediaId': '5_104310085'}}",['black'],[],,False,True,False,False,False,"{'18_101954078': {'id': '18_101954078', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/18/_101954078.jpg'}, '4_101954064': {'id': '4_101954064', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/4/_101954064.jpg'}, '5_104310085': {'id': '5_104310085', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/5/_104310085.jpg'}}",BP. High Rise Leggings,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '19.00', 'maxItemPrice': '19.00', 'priceValidUntilDate': None}}",/s/bp-high-rise-leggings/4687341,507,4.3,,www.nordstrom.com/s/bp-high-rise-leggings/4687341
7,4698578,838,CASLON,5420339,5,green beetle,https://n.nordstrommedia.com/swatchsprite.jpg?photos=17_106664477-3_102154983-3_102161623-6_102686526-11_107283511,"{'black': {'id': 'black', 'label': 'BLACK', 'spriteIndex': 1, 'mediaIds': ['3_102154983', '13_102155113', '8_102161308'], 'standardColors': ['Black'], 'swatchMediaId': '3_102154983'}, 'green beetle': {'id': 'green beetle', 'label': 'GREEN BEETLE', 'spriteIndex': 0, 'mediaIds': ['17_106664477', '0_106666340', '1_106666341'], 'standardColors': ['Green'], 'swatchMediaId': '17_106664477'}, 'grey ebony': {'id': 'grey ebony', 'label': 'GREY EBONY', 'spriteIndex': 2, 'mediaIds': ['3_102161623', '2_102161622', '18_102161598'], 'standardColors': ['Grey'], 'swatchMediaId': '3_102161623'}, 'navy peacoat': {'id': 'navy peacoat', 'label': 'NAVY PEACOAT', 'spriteIndex': 3, 'mediaIds': ['6_102686526', '4_102686864', '6_102686806'], 'standardColors': ['Blue'], 'swatchMediaId': '6_102686526'}, 'olive faded camo print': {'id': 'olive faded camo print', 'label': 'OLIVE FADED CAMO PRINT', 'spriteIndex': 4, 'mediaIds': ['11_107283511', '13_107294733', '11_107294691'], 'standardColors': ['Green'], 'swatchMediaId': '11_107283511'}}","['green beetle', 'black', 'grey ebony', 'navy peacoat', 'olive faded camo print']",[],,False,True,False,False,False,"{'0_106666340': {'id': '0_106666340', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/0/_106666340.jpg'}, '11_107283511': {'id': '11_107283511', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/11/_107283511.jpg'}, '11_107294691': {'id': '11_107294691', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/11/_107294691.jpg'}, '13_102155113': {'id': '13_102155113', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/13/_102155113.jpg'}, '13_107294733': {'id': '13_107294733', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/13/_107294733.jpg'}, '17_106664477': {'id': '17_106664477', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/17/_106664477.jpg'}, '18_102161598': {'id': '18_102161598', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/18/_102161598.jpg'}, '1_106666341': {'id': '1_106666341', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/1/_106666341.jpg'}, '2_102161622': {'id': '2_102161622', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/2/_102161622.jpg'}, '3_102154983': {'id': '3_102154983', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/3/_102154983.jpg'}, '3_102161623': {'id': '3_102161623', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/3/_102161623.jpg'}, '4_102686864': {'id': '4_102686864', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/4/_102686864.jpg'}, '6_102686526': {'id': '6_102686526', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/6/_102686526.jpg'}, '6_102686806': {'id': '6_102686806', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/6/_102686806.jpg'}, '8_102161308': {'id': '8_102161308', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/8/_102161308.jpg'}}",Caslon® Linen Jogger Pants (Regular & Petite),USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '59.00', 'maxItemPrice': '59.00', 'priceValidUntilDate': None}}",/s/caslon-linen-jogger-pants-regular-petite/4698578,422,4.1,,www.nordstrom.com/s/caslon-linen-jogger-pants-regular-petite/4698578
8,4717802,838,CASLON,5435741,4,green beetle,https://n.nordstrommedia.com/swatchsprite.jpg?photos=6_106729606-15_102298655-5_102298625-0_102526880,"{'black': {'id': 'black', 'label': 'BLACK', 'spriteIndex': 1, 'mediaIds': ['15_102298655', '14_102298654', '10_102298650'], 'standardColors': ['Black'], 'swatchMediaId': '15_102298655'}, 'green beetle': {'id': 'green beetle', 'label': 'GREEN BEETLE', 'spriteIndex': 0, 'mediaIds': ['6_106729606', '5_106726205', '3_106726203'], 'standardColors': ['Green'], 'swatchMediaId': '6_106729606'}, 'grey ebony': {'id': 'grey ebony', 'label': 'GREY EBONY', 'spriteIndex': 2, 'mediaIds': ['5_102298625', '7_102298627', '13_102298713'], 'standardColors': ['Grey'], 'swatchMediaId': '5_102298625'}, 'navy peacoat': {'id': 'navy peacoat', 'label': 'NAVY PEACOAT', 'spriteIndex': 3, 'mediaIds': ['0_102526880', '19_102526879', '15_102526855'], 'standardColors': ['Blue'], 'swatchMediaId': '0_102526880'}}","['green beetle', 'black', 'grey ebony', 'navy peacoat']",[],,False,True,False,False,False,"{'0_102526880': {'id': '0_102526880', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/0/_102526880.jpg'}, '10_102298650': {'id': '10_102298650', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/10/_102298650.jpg'}, '13_102298713': {'id': '13_102298713', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/13/_102298713.jpg'}, '14_102298654': {'id': '14_102298654', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/14/_102298654.jpg'}, '15_102298655': {'id': '15_102298655', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/15/_102298655.jpg'}, '15_102526855': {'id': '15_102526855', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/15/_102526855.jpg'}, '19_102526879': {'id': '19_102526879', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/19/_102526879.jpg'}, '3_106726203': {'id': '3_106726203', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/3/_106726203.jpg'}, '5_102298625': {'id': '5_102298625', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/5/_102298625.jpg'}, '5_106726205': {'id': '5_106726205', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/5/_106726205.jpg'}, '6_106729606': {'id': '6_106729606', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/6/_106729606.jpg'}, '7_102298627': {'id': '7_102298627', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/7/_102298627.jpg'}}",Caslon® Drawstring Linen Joggers (Plus Size),USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '59.00', 'maxItemPrice': '59.00', 'priceValidUntilDate': None}}",/s/caslon-drawstring-linen-joggers-plus-size/4717802,47,4.1,,www.nordstrom.com/s/caslon-drawstring-linen-joggers-plus-size/4717802
9,4781466,6627,ALO,5486757,2,black,https://n.nordstrommedia.com/swatchsprite.jpg?photos=8_102074428-10_103690010,"{'anthracite': {'id': 'anthracite', 'label': 'ANTHRACITE', 'spriteIndex': 1, 'mediaIds': ['10_103690010', '0_103690020', '19_103690019'], 'standardColors': ['Grey'], 'swatchMediaId': '10_103690010'}, 'black': {'id': 'black', 'label': 'BLACK', 'spriteIndex': 0, 'mediaIds': ['8_102074428', '7_102074427', '5_102074365'], 'standardColors': ['Black'], 'swatchMediaId': '8_102074428'}}","['black', 'anthracite']",[],,False,False,False,False,False,"{'0_103690020': {'id': '0_103690020', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/0/_103690020.jpg'}, '10_103690010': {'id': '10_103690010', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/10/_103690010.jpg'}, '19_103690019': {'id': '19_103690019', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/19/_103690019.jpg'}, '5_102074365': {'id': '5_102074365', 'group': 'alt', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/5/_102074365.jpg'}, '7_102074427': {'id': '7_102074427', 'group': 'main', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/7/_102074427.jpg'}, '8_102074428': {'id': '8_102074428', 'group': 'swatch', 'type': 'image', 'src': 'https://n.nordstrommedia.com/ImageGallery/store/product/Zoom/8/_102074428.jpg'}}",Alo Urban Moto Sweatpants,USD,US,"{'original': {'id': 'original', 'minItemPercentOff': 0, 'maxItemPercentOff': 0, 'minItemPrice': '98.00', 'maxItemPrice': '98.00', 'priceValidUntilDate': None}}",/s/alo-urban-moto-sweatpants/4781466,130,4.3,,www.nordstrom.com/s/alo-urban-moto-sweatpants/4781466
