,PAGE_URL_COMPLETE,name,color,imageUrl,Trending,Site,Category
0,trends.ajio.com/avaasa-set-tiered-printed-anarkali-kurta-suit-set/p/441024013_darkgreen,Tiered Printed Anarkali Kurta Suit Set,darkgreen,https://assets.ajio.com/medias/sys_master/root/h0b/hf3/15559190085662/avaasa_set_green_anarkali_tiered_printed_anarkali_kurta_suit_set.jpg,True,AJIO-TRENDS,popular
1,trends.ajio.com/avaasa-set-printed-anarkali-kurta-with-leggings--dupatta/p/441024071_yellow,Printed Anarkali Kurta with Leggings & Dupatta,yellow,https://assets.ajio.com/medias/sys_master/root/h93/hb6/15647433130014/avaasa_set_yellow_&_blue_anarkali_printed_anarkali_kurta_with_leggings_&_dupatta.jpg,True,AJIO-TRENDS,popular
2,trends.ajio.com/avaasa-set-embroidered-straight-kurta-with-churidar--dupatta/p/441024015_olive,Embroidered Straight Kurta with Churidar & Dupatta,olive,https://assets.ajio.com/medias/sys_master/root/h31/h18/15353323323422/avaasa_set_green_a-line_embroidered_straight_kurta_with_churidar_&_dupatta.jpg,True,AJIO-TRENDS,popular
3,trends.ajio.com/avaasa-set-textured-a-line-kurta-with-churidar-set/p/441024072_yellow,Textured A-line Kurta with Churidar Set,yellow,https://assets.ajio.com/medias/sys_master/root/h55/ha7/15233543241758/avaasa_set_yellow_flared_textured_a-line_kurta_with_churidar_set.jpg,True,AJIO-TRENDS,popular
4,trends.ajio.com/avaasa-set-embellished-flared-kurta-with-churidar--dupatta/p/441024034_olive,Embellished Flared Kurta with Churidar & Dupatta,olive,https://assets.ajio.com/medias/sys_master/root/h35/h26/14694694912030/avaasa_set_green_flared_embellished_flared_kurta_with_churidar_&_dupatta.jpg,True,AJIO-TRENDS,popular
5,trends.ajio.com/avaasa-set-embroidered-straight-kurta--ankle-length-pants-set/p/441039222_seablue,Embroidered Straight Kurta & Ankle-Length Pants Set,seablue,https://assets.ajio.com/medias/sys_master/root/h1b/h41/15164397387806/avaasa_set_blue_straight_embroidered_straight_kurta_&_ankle-length_pants_set.jpg,True,AJIO-TRENDS,popular
6,trends.ajio.com/avaasa-set-floral-print-flared-kurta-with-churidar--dupatta/p/441024070_pistagreen,Floral Print Flared Kurta with Churidar & Dupatta,pistagreen,https://assets.ajio.com/medias/sys_master/root/h23/hb9/14860095881246/avaasa_set_pista_green_flared_floral_print_flared_kurta_with_churidar_&_dupatta.jpg,True,AJIO-TRENDS,popular
7,trends.ajio.com/avaasa-set-printed-a-line-kurta-with-churidar--dupatta/p/441024074_yellow,Printed A-line Kurta with Churidar & Dupatta,yellow,https://assets.ajio.com/medias/sys_master/root/hd5/h5c/15506602164254/avaasa_set_yellow_a-line_printed_a-line_kurta_with_churidar_&_dupatta.jpg,True,AJIO-TRENDS,popular
8,trends.ajio.com/avaasa-set-printed-layered-a-line-kurta-with-pants--dupatta/p/441051573_mustard,Printed Layered A-line Kurta with Pants & Dupatta,mustard,https://assets.ajio.com/medias/sys_master/root/h33/hc6/15172180574238/avaasa_set_mustard_&_white_a-line_printed_layered_a-line_kurta_with_pants_&_dupatta.jpg,True,AJIO-TRENDS,popular
9,trends.ajio.com/avaasa-set-floral-print-straight-kurta-with-palazzos-set/p/441024037_ltorange,Floral Print Straight Kurta with Palazzos Set,ltorange,https://assets.ajio.com/medias/sys_master/root/h08/h9b/14771652460574/avaasa_set_pink_straight_floral_print_straight_kurta_with_palazzos_set.jpg,True,AJIO-TRENDS,popular
