,code,couponStatus,fnlColorVariantData,images,fnlProductData,price,wasPriceData,name,volumePricesFlag,url,discountPercent,productSizeData,PAGE_URL_COMPLETE
0,460662617001,Coupon Applicable,"{'brandName': 'Isvari', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/20200806/hUWW/5f2b11e27cdb8ca2cf8f58aa/-286Wx359H-460662617-yellow-MODEL.jpg', 'allPromotions': False, 'colorGroup': '460662617_yellow', 'sizeFlag': False}","[{'altText': 'Isvari Yellow Solid Floral-Embroidered Dyed Saree with Tasseled Pallu', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200806/hUWW/5f2b11e27cdb8ca2cf8f58bc/isvari_yellow_solid_floral-embroidered_dyed_saree_with_tasseled_pallu.jpg'}, {'altText': 'Isvari Yellow Solid Floral-Embroidered Dyed Saree with Tasseled Pallu', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200806/hUWW/5f2b11e27cdb8ca2cf8f58ad/isvari_yellow_solid_floral-embroidered_dyed_saree_with_tasseled_pallu.jpg'}, {'altText': 'Isvari Yellow Solid Floral-Embroidered Dyed Saree with Tasseled Pallu', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200806/hUWW/5f2b11e27cdb8ca2cf8f58aa/isvari_yellow_solid_floral-embroidered_dyed_saree_with_tasseled_pallu.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL', 'planningCategory': 'Clothing'}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 6,953.00', 'displayformattedValue': 'Rs. 6,953', 'value': 6953}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 6,953.00', 'displayformattedValue': 'Rs. 6,953', 'value': 6953}",Floral-Embroidered Dyed Saree with Tasseled Pallu,False,/isvari-floral-embroidered-dyed-saree-with-tasseled-pallu/p/460662617_yellow,,,www.ajio.com/isvari-floral-embroidered-dyed-saree-with-tasseled-pallu/p/460662617_yellow
1,460662616001,Coupon Applicable,"{'brandName': 'Isvari', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/20200806/fvQD/5f2b09e3f997dd2277945b6c/-286Wx359H-460662616-pink-MODEL.jpg', 'allPromotions': False, 'colorGroup': '460662616_pink', 'sizeFlag': False}","[{'altText': 'Isvari Pink Solid Floral-Embroidered Dyed Saree with Tasseled Pallu', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200806/fvQD/5f2b09e3f997dd2277945b8f/isvari_pink_solid_floral-embroidered_dyed_saree_with_tasseled_pallu.jpg'}, {'altText': 'Isvari Pink Solid Floral-Embroidered Dyed Saree with Tasseled Pallu', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200806/fvQD/5f2b09e3f997dd2277945b77/isvari_pink_solid_floral-embroidered_dyed_saree_with_tasseled_pallu.jpg'}, {'altText': 'Isvari Pink Solid Floral-Embroidered Dyed Saree with Tasseled Pallu', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200806/fvQD/5f2b09e3f997dd2277945b6c/isvari_pink_solid_floral-embroidered_dyed_saree_with_tasseled_pallu.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL', 'planningCategory': 'Clothing'}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 6,953.00', 'displayformattedValue': 'Rs. 6,953', 'value': 6953}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 6,953.00', 'displayformattedValue': 'Rs. 6,953', 'value': 6953}",Floral-Embroidered Dyed Saree with Tasseled Pallu,False,/isvari-floral-embroidered-dyed-saree-with-tasseled-pallu/p/460662616_pink,,,www.ajio.com/isvari-floral-embroidered-dyed-saree-with-tasseled-pallu/p/460662616_pink
2,460662615001,Coupon Applicable,"{'brandName': 'Isvari', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/20200806/GCFP/5f2b1166aeb2693e045fc2f3/-286Wx359H-460662615-peach-MODEL.jpg', 'allPromotions': False, 'colorGroup': '460662615_peach', 'sizeFlag': False}","[{'altText': 'Isvari Peach Solid Floral-Embroidered Saree with Tasseled Pallu', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200806/GCFP/5f2b1166aeb2693e045fc30f/isvari_peach_solid_floral-embroidered_saree_with_tasseled_pallu.jpg'}, {'altText': 'Isvari Peach Solid Floral-Embroidered Saree with Tasseled Pallu', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200806/GCFP/5f2b1166aeb2693e045fc2f9/isvari_peach_solid_floral-embroidered_saree_with_tasseled_pallu.jpg'}, {'altText': 'Isvari Peach Solid Floral-Embroidered Saree with Tasseled Pallu', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200806/GCFP/5f2b1166aeb2693e045fc2f3/isvari_peach_solid_floral-embroidered_saree_with_tasseled_pallu.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL', 'planningCategory': 'Clothing'}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 5,180.00', 'displayformattedValue': 'Rs. 5,180', 'value': 5180}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 5,180.00', 'displayformattedValue': 'Rs. 5,180', 'value': 5180}",Floral-Embroidered Saree with Tasseled Pallu,False,/isvari-floral-embroidered-saree-with-tasseled-pallu/p/460662615_peach,,,www.ajio.com/isvari-floral-embroidered-saree-with-tasseled-pallu/p/460662615_peach
3,460662614001,Coupon Applicable,"{'brandName': 'Isvari', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/20200806/lEKB/5f2b03c5f997dd2277943462/-286Wx359H-460662614-yellow-MODEL.jpg', 'allPromotions': False, 'colorGroup': '460662614_yellow', 'sizeFlag': False}","[{'altText': 'Isvari Yellow Solid Floral-Embroidered Saree with Tasseled Pallu', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200806/lEKB/5f2b03c5f997dd2277943479/isvari_yellow_solid_floral-embroidered_saree_with_tasseled_pallu.jpg'}, {'altText': 'Isvari Yellow Solid Floral-Embroidered Saree with Tasseled Pallu', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200806/lEKB/5f2b03c5f997dd2277943465/isvari_yellow_solid_floral-embroidered_saree_with_tasseled_pallu.jpg'}, {'altText': 'Isvari Yellow Solid Floral-Embroidered Saree with Tasseled Pallu', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200806/lEKB/5f2b03c5f997dd2277943462/isvari_yellow_solid_floral-embroidered_saree_with_tasseled_pallu.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL', 'planningCategory': 'Clothing'}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 5,180.00', 'displayformattedValue': 'Rs. 5,180', 'value': 5180}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 5,180.00', 'displayformattedValue': 'Rs. 5,180', 'value': 5180}",Floral-Embroidered Saree with Tasseled Pallu,False,/isvari-floral-embroidered-saree-with-tasseled-pallu/p/460662614_yellow,,,www.ajio.com/isvari-floral-embroidered-saree-with-tasseled-pallu/p/460662614_yellow
4,460662613001,Coupon Applicable,"{'brandName': 'Isvari', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/20200806/euRr/5f2b0718aeb2693e045f8ffc/-286Wx359H-460662613-grey-MODEL.jpg', 'allPromotions': False, 'colorGroup': '460662613_grey', 'sizeFlag': False}","[{'altText': 'Isvari Grey Solid Floral-Embroidered Saree with Tasseled Pallu', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200806/euRr/5f2b0718aeb2693e045f9033/isvari_grey_solid_floral-embroidered_saree_with_tasseled_pallu.jpg'}, {'altText': 'Isvari Grey Solid Floral-Embroidered Saree with Tasseled Pallu', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200806/euRr/5f2b0718aeb2693e045f900c/isvari_grey_solid_floral-embroidered_saree_with_tasseled_pallu.jpg'}, {'altText': 'Isvari Grey Solid Floral-Embroidered Saree with Tasseled Pallu', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200806/euRr/5f2b0718aeb2693e045f8ffc/isvari_grey_solid_floral-embroidered_saree_with_tasseled_pallu.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL', 'planningCategory': 'Clothing'}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 5,180.00', 'displayformattedValue': 'Rs. 5,180', 'value': 5180}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 5,180.00', 'displayformattedValue': 'Rs. 5,180', 'value': 5180}",Floral-Embroidered Saree with Tasseled Pallu,False,/isvari-floral-embroidered-saree-with-tasseled-pallu/p/460662613_grey,,,www.ajio.com/isvari-floral-embroidered-saree-with-tasseled-pallu/p/460662613_grey
5,460662612001,Coupon Applicable,"{'brandName': 'Isvari', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/20200806/LtUW/5f2b06197cdb8ca2cf8f0e93/-286Wx359H-460662612-maroon-MODEL.jpg', 'allPromotions': False, 'colorGroup': '460662612_maroon', 'sizeFlag': False}","[{'altText': 'Isvari Maroon Solid Floral-Embroidered Saree with Contrast Border', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200806/LtUW/5f2b06197cdb8ca2cf8f0e98/isvari_maroon_solid_floral-embroidered_saree_with_contrast_border.jpg'}, {'altText': 'Isvari Maroon Solid Floral-Embroidered Saree with Contrast Border', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200806/LtUW/5f2b06197cdb8ca2cf8f0e94/isvari_maroon_solid_floral-embroidered_saree_with_contrast_border.jpg'}, {'altText': 'Isvari Maroon Solid Floral-Embroidered Saree with Contrast Border', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200806/LtUW/5f2b06197cdb8ca2cf8f0e93/isvari_maroon_solid_floral-embroidered_saree_with_contrast_border.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL', 'planningCategory': 'Clothing'}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 5,273.00', 'displayformattedValue': 'Rs. 5,273', 'value': 5273}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 5,273.00', 'displayformattedValue': 'Rs. 5,273', 'value': 5273}",Floral-Embroidered Saree with Contrast Border,False,/isvari-floral-embroidered-saree-with-contrast-border/p/460662612_maroon,,,www.ajio.com/isvari-floral-embroidered-saree-with-contrast-border/p/460662612_maroon
6,460662611001,Coupon Applicable,"{'brandName': 'Isvari', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/20200806/hJp6/5f2b078a7cdb8ca2cf8f16da/-286Wx359H-460662611-green-MODEL.jpg', 'allPromotions': False, 'colorGroup': '460662611_green', 'sizeFlag': False}","[{'altText': 'Isvari Sea Green Solid Floral-Embroidered Saree with Contrast Border', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200806/hJp6/5f2b078a7cdb8ca2cf8f16f8/isvari_sea_green_solid_floral-embroidered_saree_with_contrast_border.jpg'}, {'altText': 'Isvari Sea Green Solid Floral-Embroidered Saree with Contrast Border', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200806/hJp6/5f2b078a7cdb8ca2cf8f16e5/isvari_sea_green_solid_floral-embroidered_saree_with_contrast_border.jpg'}, {'altText': 'Isvari Sea Green Solid Floral-Embroidered Saree with Contrast Border', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200806/hJp6/5f2b078a7cdb8ca2cf8f16da/isvari_sea_green_solid_floral-embroidered_saree_with_contrast_border.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL', 'planningCategory': 'Clothing'}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 5,273.00', 'displayformattedValue': 'Rs. 5,273', 'value': 5273}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 5,273.00', 'displayformattedValue': 'Rs. 5,273', 'value': 5273}",Floral-Embroidered Saree with Contrast Border,False,/isvari-floral-embroidered-saree-with-contrast-border/p/460662611_green,,,www.ajio.com/isvari-floral-embroidered-saree-with-contrast-border/p/460662611_green
7,460662610001,Coupon Applicable,"{'brandName': 'Isvari', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/20200806/AHut/5f2b0a967cdb8ca2cf8f2abc/-286Wx359H-460662610-beige-MODEL.jpg', 'allPromotions': False, 'colorGroup': '460662610_beige', 'sizeFlag': False}","[{'altText': 'Isvari Beige Solid Floral-Embroidered Saree with Contrast Border', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200806/AHut/5f2b0a967cdb8ca2cf8f2ad7/isvari_beige_solid_floral-embroidered_saree_with_contrast_border.jpg'}, {'altText': 'Isvari Beige Solid Floral-Embroidered Saree with Contrast Border', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200806/AHut/5f2b0a967cdb8ca2cf8f2ac1/isvari_beige_solid_floral-embroidered_saree_with_contrast_border.jpg'}, {'altText': 'Isvari Beige Solid Floral-Embroidered Saree with Contrast Border', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200806/AHut/5f2b0a967cdb8ca2cf8f2abc/isvari_beige_solid_floral-embroidered_saree_with_contrast_border.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL', 'planningCategory': 'Clothing'}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 5,273.00', 'displayformattedValue': 'Rs. 5,273', 'value': 5273}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 5,273.00', 'displayformattedValue': 'Rs. 5,273', 'value': 5273}",Floral-Embroidered Saree with Contrast Border,False,/isvari-floral-embroidered-saree-with-contrast-border/p/460662610_beige,,,www.ajio.com/isvari-floral-embroidered-saree-with-contrast-border/p/460662610_beige
8,460662609001,Coupon Applicable,"{'brandName': 'Isvari', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/20200806/5eMC/5f2b0228aeb2693e045f7818/-286Wx359H-460662609-green-MODEL.jpg', 'allPromotions': False, 'colorGroup': '460662609_green', 'sizeFlag': False}","[{'altText': 'Isvari Blue Solid Floral-Embroidered Saree with Contrast Border', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200806/5eMC/5f2b0228aeb2693e045f7826/isvari_blue_solid_floral-embroidered_saree_with_contrast_border.jpg'}, {'altText': 'Isvari Blue Solid Floral-Embroidered Saree with Contrast Border', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200806/5eMC/5f2b0228aeb2693e045f781d/isvari_blue_solid_floral-embroidered_saree_with_contrast_border.jpg'}, {'altText': 'Isvari Blue Solid Floral-Embroidered Saree with Contrast Border', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200806/5eMC/5f2b0228aeb2693e045f7818/isvari_blue_solid_floral-embroidered_saree_with_contrast_border.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL', 'planningCategory': 'Clothing'}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 5,273.00', 'displayformattedValue': 'Rs. 5,273', 'value': 5273}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 5,273.00', 'displayformattedValue': 'Rs. 5,273', 'value': 5273}",Floral-Embroidered Saree with Contrast Border,False,/isvari-floral-embroidered-saree-with-contrast-border/p/460662609_green,,,www.ajio.com/isvari-floral-embroidered-saree-with-contrast-border/p/460662609_green
9,460662608001,Coupon Applicable,"{'brandName': 'Isvari', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/20200806/a7zr/5f2afc11aeb2693e045f5684/-286Wx359H-460662608-blue-MODEL.jpg', 'allPromotions': False, 'colorGroup': '460662608_blue', 'sizeFlag': False}","[{'altText': 'Isvari Blue Solid Floral-Embroidered Saree with Contrast Border', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200806/a7zr/5f2afc11aeb2693e045f56a1/isvari_blue_solid_floral-embroidered_saree_with_contrast_border.jpg'}, {'altText': 'Isvari Blue Solid Floral-Embroidered Saree with Contrast Border', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200806/a7zr/5f2afc11aeb2693e045f5688/isvari_blue_solid_floral-embroidered_saree_with_contrast_border.jpg'}, {'altText': 'Isvari Blue Solid Floral-Embroidered Saree with Contrast Border', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200806/a7zr/5f2afc11aeb2693e045f5684/isvari_blue_solid_floral-embroidered_saree_with_contrast_border.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL', 'planningCategory': 'Clothing'}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 5,273.00', 'displayformattedValue': 'Rs. 5,273', 'value': 5273}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 5,273.00', 'displayformattedValue': 'Rs. 5,273', 'value': 5273}",Floral-Embroidered Saree with Contrast Border,False,/isvari-floral-embroidered-saree-with-contrast-border/p/460662608_blue,,,www.ajio.com/isvari-floral-embroidered-saree-with-contrast-border/p/460662608_blue
