,code,couponStatus,fnlColorVariantData,images,fnlProductData,discountPercent,price,wasPriceData,name,volumePricesFlag,url,productSizeData,PAGE_URL_COMPLETE
0,441031717018,Coupon Applicable,"{'brandName': 'Teamspirit', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/hfa/h99/15322053247006/-286Wx359H-441031717-petrol-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441031717_petrol', 'sizeFlag': False}","[{'altText': 'Teamspirit Blue Shorts Core Drawstring Shorts with Side Pockets', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h03/h4e/15322053771294/teamspirit_blue_shorts_core_drawstring_shorts_with_side_pockets.jpg'}, {'altText': 'Teamspirit Blue Shorts Core Drawstring Shorts with Side Pockets', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h72/h89/15322057998366/teamspirit_blue_shorts_core_drawstring_shorts_with_side_pockets.jpg'}, {'altText': 'Teamspirit Blue Shorts Core Drawstring Shorts with Side Pockets', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hfa/h99/15322053247006/teamspirit_blue_shorts_core_drawstring_shorts_with_side_pockets.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",20% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 399.00', 'displayformattedValue': 'Rs. 399', 'value': 399}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 499.00', 'displayformattedValue': 'Rs. 499', 'value': 499}",Core Drawstring Shorts with Side Pockets,False,/teamspirit-core-drawstring-shorts-with-side-pockets/p/441031717_petrol,"{'sizeVariants': ['S', 'M', 'L', 'XL', 'XXL']}",www.ajio.com/teamspirit-core-drawstring-shorts-with-side-pockets/p/441031717_petrol
1,440792699001,Coupon Applicable,"{'brandName': 'Teamspirit', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h08/h7f/10481196990494/-286Wx359H-440792699-mediumblue-MODEL.jpg', 'allPromotions': False, 'colorGroup': '440792699_mediumblue', 'sizeFlag': False}","[{'altText': 'Teamspirit Blue Bermudas Mid-Rise Printed Bermudas with Insert Pockets', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hf6/hfb/10481197056030/teamspirit_blue_bermudas_mid-rise_printed_bermudas_with_insert_pockets.jpg'}, {'altText': 'Teamspirit Blue Bermudas Mid-Rise Printed Bermudas with Insert Pockets', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h5d/h75/10481197842462/teamspirit_blue_bermudas_mid-rise_printed_bermudas_with_insert_pockets.jpg'}, {'altText': 'Teamspirit Blue Bermudas Mid-Rise Printed Bermudas with Insert Pockets', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h08/h7f/10481196990494/teamspirit_blue_bermudas_mid-rise_printed_bermudas_with_insert_pockets.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",40% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 299.00', 'displayformattedValue': 'Rs. 299', 'value': 299}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 499.00', 'displayformattedValue': 'Rs. 499', 'value': 499}",Mid-Rise Printed Bermudas with Insert Pockets,False,/teamspirit-mid-rise-printed-bermudas-with-insert-pockets/p/440792699_mediumblue,"{'sizeVariants': ['S', 'M', 'L', 'XL']}",www.ajio.com/teamspirit-mid-rise-printed-bermudas-with-insert-pockets/p/440792699_mediumblue
2,441031717039,Coupon Applicable,"{'brandName': 'Teamspirit', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h11/h83/15292791717918/-286Wx359H-441031717-darkgrey-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441031717_darkgrey', 'sizeFlag': False}","[{'altText': 'Teamspirit Charcoal Grey Shorts Core Drawstring Shorts with Side Pockets', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hb8/ha9/15292792438814/teamspirit_charcoal_grey_shorts_core_drawstring_shorts_with_side_pockets.jpg'}, {'altText': 'Teamspirit Charcoal Grey Shorts Core Drawstring Shorts with Side Pockets', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/had/h9d/15292799451166/teamspirit_charcoal_grey_shorts_core_drawstring_shorts_with_side_pockets.jpg'}, {'altText': 'Teamspirit Charcoal Grey Shorts Core Drawstring Shorts with Side Pockets', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h11/h83/15292791717918/teamspirit_charcoal_grey_shorts_core_drawstring_shorts_with_side_pockets.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",20% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 399.00', 'displayformattedValue': 'Rs. 399', 'value': 399}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 499.00', 'displayformattedValue': 'Rs. 499', 'value': 499}",Core Drawstring Shorts with Side Pockets,False,/teamspirit-core-drawstring-shorts-with-side-pockets/p/441031717_darkgrey,"{'sizeVariants': ['S', 'M', 'L', 'XL', 'XXL']}",www.ajio.com/teamspirit-core-drawstring-shorts-with-side-pockets/p/441031717_darkgrey
3,441031717029,Coupon Applicable,"{'brandName': 'Teamspirit', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h1a/h8d/15507013304350/-286Wx359H-441031717-navy-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441031717_navy', 'sizeFlag': False}","[{'altText': 'Teamspirit Navy Blue Shorts Shorts with Side Pockets', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h95/h69/15507013795870/teamspirit_navy_blue_shorts_shorts_with_side_pockets.jpg'}, {'altText': 'Teamspirit Navy Blue Shorts Shorts with Side Pockets', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h13/ha8/15507019661342/teamspirit_navy_blue_shorts_shorts_with_side_pockets.jpg'}, {'altText': 'Teamspirit Navy Blue Shorts Shorts with Side Pockets', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h1a/h8d/15507013304350/teamspirit_navy_blue_shorts_shorts_with_side_pockets.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",20% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 399.00', 'displayformattedValue': 'Rs. 399', 'value': 399}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 499.00', 'displayformattedValue': 'Rs. 499', 'value': 499}",Shorts with Side Pockets,False,/teamspirit-shorts-with-side-pockets/p/441031717_navy,"{'sizeVariants': ['S', 'M', 'L', 'XL', 'XXL']}",www.ajio.com/teamspirit-shorts-with-side-pockets/p/441031717_navy
4,441000455012,Coupon Applicable,"{'brandName': 'DNMX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h64/h34/13544219672606/-286Wx359H-441000455-charcoal-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441000455_charcoal', 'sizeFlag': False}","[{'altText': 'DNMX Charcoal Black City Shorts Shorts with Elasticated Waist', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h2f/h13/13544219738142/dnmx_charcoal_black_city_shorts_shorts_with_elasticated_waist.jpg'}, {'altText': 'DNMX Charcoal Black City Shorts Shorts with Elasticated Waist', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h0e/hfd/13544220524574/dnmx_charcoal_black_city_shorts_shorts_with_elasticated_waist.jpg'}, {'altText': 'DNMX Charcoal Black City Shorts Shorts with Elasticated Waist', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h64/h34/13544219672606/dnmx_charcoal_black_city_shorts_shorts_with_elasticated_waist.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",30% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 489.00', 'displayformattedValue': 'Rs. 489', 'value': 489}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 699.00', 'displayformattedValue': 'Rs. 699', 'value': 699}",Shorts with Elasticated Waist,False,/dnmx-shorts-with-elasticated-waist/p/441000455_charcoal,"{'sizeVariants': ['S', 'M', 'L', 'XL', 'XXL']}",www.ajio.com/dnmx-shorts-with-elasticated-waist/p/441000455_charcoal
5,440971874031,Coupon Applicable,"{'brandName': 'PERFORMAX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h60/hf5/13989552029726/-286Wx359H-440971874-teal-MODEL.jpg', 'allPromotions': False, 'colorGroup': '440971874_teal', 'sizeFlag': False}","[{'altText': 'PERFORMAX Teal Blue City Shorts Mid-Rise Shorts with Insert Pockets', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hf8/h9e/13989552652318/performax_teal_blue_city_shorts_mid-rise_shorts_with_insert_pockets.jpg'}, {'altText': 'PERFORMAX Teal Blue City Shorts Mid-Rise Shorts with Insert Pockets', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/he4/h8e/13989558648862/performax_teal_blue_city_shorts_mid-rise_shorts_with_insert_pockets.jpg'}, {'altText': 'PERFORMAX Teal Blue City Shorts Mid-Rise Shorts with Insert Pockets', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h60/hf5/13989552029726/performax_teal_blue_city_shorts_mid-rise_shorts_with_insert_pockets.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",15% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 424.00', 'displayformattedValue': 'Rs. 424', 'value': 424}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 499.00', 'displayformattedValue': 'Rs. 499', 'value': 499}",Mid-Rise Shorts with Insert Pockets,False,/performax-mid-rise-shorts-with-insert-pockets/p/440971874_teal,"{'sizeVariants': ['S', 'M', 'L']}",www.ajio.com/performax-mid-rise-shorts-with-insert-pockets/p/440971874_teal
6,440792699017,Coupon Applicable,"{'brandName': 'Teamspirit', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/hd2/hcf/10481117495326/-286Wx359H-440792699-greymelange-MODEL.jpg', 'allPromotions': False, 'colorGroup': '440792699_greymelange', 'sizeFlag': False}","[{'altText': 'Teamspirit Grey melange Bermudas Mid-Rise Printed Bermudas with Insert Pockets', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h71/h51/10481117560862/teamspirit_grey_melange_bermudas_mid-rise_printed_bermudas_with_insert_pockets.jpg'}, {'altText': 'Teamspirit Grey melange Bermudas Mid-Rise Printed Bermudas with Insert Pockets', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h27/hba/10481118412830/teamspirit_grey_melange_bermudas_mid-rise_printed_bermudas_with_insert_pockets.jpg'}, {'altText': 'Teamspirit Grey melange Bermudas Mid-Rise Printed Bermudas with Insert Pockets', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hd2/hcf/10481117495326/teamspirit_grey_melange_bermudas_mid-rise_printed_bermudas_with_insert_pockets.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",40% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 299.00', 'displayformattedValue': 'Rs. 299', 'value': 299}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 499.00', 'displayformattedValue': 'Rs. 499', 'value': 499}",Mid-Rise Printed Bermudas with Insert Pockets,False,/teamspirit-mid-rise-printed-bermudas-with-insert-pockets/p/440792699_greymelange,"{'sizeVariants': ['S', 'M', 'L', 'XL', 'XXL']}",www.ajio.com/teamspirit-mid-rise-printed-bermudas-with-insert-pockets/p/440792699_greymelange
7,441000455016,Coupon Applicable,"{'brandName': 'DNMX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h75/h8d/13541973164062/-286Wx359H-441000455-khaki-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441000455_khaki', 'sizeFlag': False}","[{'altText': 'DNMX Khaki City Shorts Shorts with Elasticated Waist', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/haa/he3/13541973229598/dnmx_khaki_city_shorts_shorts_with_elasticated_waist.jpg'}, {'altText': 'DNMX Khaki City Shorts Shorts with Elasticated Waist', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h24/h7e/13541974016030/dnmx_khaki_city_shorts_shorts_with_elasticated_waist.jpg'}, {'altText': 'DNMX Khaki City Shorts Shorts with Elasticated Waist', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h75/h8d/13541973164062/dnmx_khaki_city_shorts_shorts_with_elasticated_waist.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",30% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 489.00', 'displayformattedValue': 'Rs. 489', 'value': 489}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 699.00', 'displayformattedValue': 'Rs. 699', 'value': 699}",Shorts with Elasticated Waist,False,/dnmx-shorts-with-elasticated-waist/p/441000455_khaki,"{'sizeVariants': ['S', 'M', 'L', 'XXL']}",www.ajio.com/dnmx-shorts-with-elasticated-waist/p/441000455_khaki
8,441031717006,Coupon Applicable,"{'brandName': 'Teamspirit', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h3e/h64/15425684865054/-286Wx359H-441031717-greymelange-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441031717_greymelange', 'sizeFlag': False}","[{'altText': 'Teamspirit Grey Shorts Drawstring Shorts with Side Pockets', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hdf/h22/15425685585950/teamspirit_grey_shorts_drawstring_shorts_with_side_pockets.jpg'}, {'altText': 'Teamspirit Grey Shorts Drawstring Shorts with Side Pockets', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h98/hdb/15425690632222/teamspirit_grey_shorts_drawstring_shorts_with_side_pockets.jpg'}, {'altText': 'Teamspirit Grey Shorts Drawstring Shorts with Side Pockets', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h3e/h64/15425684865054/teamspirit_grey_shorts_drawstring_shorts_with_side_pockets.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",20% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 399.00', 'displayformattedValue': 'Rs. 399', 'value': 399}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 499.00', 'displayformattedValue': 'Rs. 499', 'value': 499}",Drawstring Shorts with Side Pockets,False,/teamspirit-drawstring-shorts-with-side-pockets/p/441031717_greymelange,"{'sizeVariants': ['XS', 'S', 'M', 'L', 'XL', 'XXL']}",www.ajio.com/teamspirit-drawstring-shorts-with-side-pockets/p/441031717_greymelange
9,440971874003,Coupon Applicable,"{'brandName': 'PERFORMAX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h65/h37/14103575560222/-286Wx359H-440971874-jetblack-MODEL.jpg', 'allPromotions': False, 'colorGroup': '440971874_jetblack', 'sizeFlag': False}","[{'altText': 'PERFORMAX Black City Shorts Mid-Rise Shorts with Insert Pockets', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h8a/hba/14103576117278/performax_black_city_shorts_mid-rise_shorts_with_insert_pockets.jpg'}, {'altText': 'PERFORMAX Black City Shorts Mid-Rise Shorts with Insert Pockets', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h3d/h0c/14103583326238/performax_black_city_shorts_mid-rise_shorts_with_insert_pockets.jpg'}, {'altText': 'PERFORMAX Black City Shorts Mid-Rise Shorts with Insert Pockets', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h65/h37/14103575560222/performax_black_city_shorts_mid-rise_shorts_with_insert_pockets.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",15% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 424.00', 'displayformattedValue': 'Rs. 424', 'value': 424}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 499.00', 'displayformattedValue': 'Rs. 499', 'value': 499}",Mid-Rise Shorts with Insert Pockets,False,/performax-mid-rise-shorts-with-insert-pockets/p/440971874_jetblack,"{'sizeVariants': ['S', 'M', 'L', 'XL', 'XXL']}",www.ajio.com/performax-mid-rise-shorts-with-insert-pockets/p/440971874_jetblack
