,code,couponStatus,fnlColorVariantData,images,fnlProductData,discountPercent,price,wasPriceData,name,volumePricesFlag,url,productSizeData,PAGE_URL_COMPLETE
0,461218889003,Coupon Applicable,"{'brandName': 'Bullmer', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f0a86bb7cdb8c721b7b5750/-286Wx359H-461218889-multi-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461218889_multi', 'sizeFlag': False}","[{'altText': 'Bullmer Multicolour Crew Pack of 3 Graphic Print T-shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f0a86bb7cdb8c721b7b5755/bullmer_multicolour_crew_pack_of_3_graphic_print_t-shirt.jpg'}, {'altText': 'Bullmer Multicolour Crew Pack of 3 Graphic Print T-shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f0a86bb7cdb8c721b7b5751/bullmer_multicolour_crew_pack_of_3_graphic_print_t-shirt.jpg'}, {'altText': 'Bullmer Multicolour Crew Pack of 3 Graphic Print T-shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f0a86bb7cdb8c721b7b5750/bullmer_multicolour_crew_pack_of_3_graphic_print_t-shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL'}",57% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 817.00', 'displayformattedValue': 'Rs. 817', 'value': 817}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,899.00', 'displayformattedValue': 'Rs. 1,899', 'value': 1899}",Pack of 3 Graphic Print T-shirt,False,/bullmer-pack-of-3-graphic-print-t-shirt/p/461218889_multi,,www.ajio.com/bullmer-pack-of-3-graphic-print-t-shirt/p/461218889_multi
1,461085141002,Coupon Applicable,"{'brandName': 'AUSK', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h48/he2/15216779886622/-286Wx359H-461085141-blue-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461085141_blue', 'sizeFlag': False}","[{'altText': 'AUSK Blue Crew Crew-Neck T-shirt with Contrast Stripes', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h46/hce/15216780148766/ausk_blue_crew_crew-neck_t-shirt_with_contrast_stripes.jpg'}, {'altText': 'AUSK Blue Crew Crew-Neck T-shirt with Contrast Stripes', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ha7/he7/15216784474142/ausk_blue_crew_crew-neck_t-shirt_with_contrast_stripes.jpg'}, {'altText': 'AUSK Blue Crew Crew-Neck T-shirt with Contrast Stripes', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h48/he2/15216779886622/ausk_blue_crew_crew-neck_t-shirt_with_contrast_stripes.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL'}",52% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 480.00', 'displayformattedValue': 'Rs. 480', 'value': 480}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 999.00', 'displayformattedValue': 'Rs. 999', 'value': 999}",Crew-Neck T-shirt with Contrast Stripes,False,/ausk-crew-neck-t-shirt-with-contrast-stripes/p/461085141_blue,"{'sizeVariants': ['S', 'M', 'L', 'XL', 'XXL']}",www.ajio.com/ausk-crew-neck-t-shirt-with-contrast-stripes/p/461085141_blue
2,441007820004,Coupon Applicable,"{'brandName': 'DNMX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/ha5/h7d/13978624393246/-286Wx359H-441007820-brown-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441007820_brown', 'sizeFlag': False}","[{'altText': 'DNMX Brown Crew Graphic Print Crew-Neck T-shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ha0/hba/13978624786462/dnmx_brown_crew_graphic_print_crew-neck_t-shirt.jpg'}, {'altText': 'DNMX Brown Crew Graphic Print Crew-Neck T-shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hec/he3/13978629177374/dnmx_brown_crew_graphic_print_crew-neck_t-shirt.jpg'}, {'altText': 'DNMX Brown Crew Graphic Print Crew-Neck T-shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ha5/h7d/13978624393246/dnmx_brown_crew_graphic_print_crew-neck_t-shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",60% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 160.00', 'displayformattedValue': 'Rs. 160', 'value': 160}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 399.00', 'displayformattedValue': 'Rs. 399', 'value': 399}",Graphic Print Crew-Neck T-shirt,False,/dnmx-graphic-print-crew-neck-t-shirt/p/441007820_brown,"{'sizeVariants': ['XS', 'S', 'M', 'L', 'XL', 'XXL']}",www.ajio.com/dnmx-graphic-print-crew-neck-t-shirt/p/441007820_brown
3,461032796003,Coupon Applicable,"{'brandName': 'DILLINGER', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f0ef704f997dd433b4de597/-286Wx359H-461032796-blue-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461032796_blue', 'sizeFlag': False}","[{'altText': 'DILLINGER Blue Crew Colourblock Crew-Neck T-shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f0ef704f997dd433b4de59c/dillinger_blue_crew_colourblock_crew-neck_t-shirt.jpg'}, {'altText': 'DILLINGER Blue Crew Colourblock Crew-Neck T-shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f0ef704f997dd433b4de598/dillinger_blue_crew_colourblock_crew-neck_t-shirt.jpg'}, {'altText': 'DILLINGER Blue Crew Colourblock Crew-Neck T-shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f0ef704f997dd433b4de597/dillinger_blue_crew_colourblock_crew-neck_t-shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL'}",61% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 351.00', 'displayformattedValue': 'Rs. 351', 'value': 351}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 899.00', 'displayformattedValue': 'Rs. 899', 'value': 899}",Colourblock Crew-Neck T-shirt,False,/dillinger-colourblock-crew-neck-t-shirt/p/461032796_blue,"{'sizeVariants': ['S', 'L', 'XL', 'XXL']}",www.ajio.com/dillinger-colourblock-crew-neck-t-shirt/p/461032796_blue
4,440762638007,Coupon Applicable,"{'brandName': 'DNMX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h80/h07/10247897382942/-286Wx359H-440762638-green-OUTFIT.jpg', 'allPromotions': False, 'colorGroup': '440762638_green', 'sizeFlag': False}","[{'altText': 'DNMX Green Polo Polo T-shirt with Signature Branding', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hc4/h66/10247899349022/dnmx_green_polo_polo_t-shirt_with_signature_branding.jpg'}, {'altText': 'DNMX Green Polo Polo T-shirt with Signature Branding', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h61/h13/10247900135454/dnmx_green_polo_polo_t-shirt_with_signature_branding.jpg'}, {'altText': 'DNMX Green Polo Polo T-shirt with Signature Branding', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hbe/h59/10247899217950/dnmx_green_polo_polo_t-shirt_with_signature_branding.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",20% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 399.00', 'displayformattedValue': 'Rs. 399', 'value': 399}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 499.00', 'displayformattedValue': 'Rs. 499', 'value': 499}",Polo T-shirt with Signature Branding,False,/dnmx-polo-t-shirt-with-signature-branding/p/440762638_green,"{'sizeVariants': ['XS', 'L', 'XL', 'XXL']}",www.ajio.com/dnmx-polo-t-shirt-with-signature-branding/p/440762638_green
5,461005997004,Coupon Applicable,"{'brandName': 'RIGO', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/hb7/hc8/16010300325918/-286Wx359H-461005997-multi-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461005997_multi', 'sizeFlag': False}","[{'altText': 'RIGO Multicolor Crew Colour-block  Slim Fit  T-shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h22/hc3/16010300588062/rigo_multicolor_crew_colour-block__slim_fit__t-shirt.jpg'}, {'altText': 'RIGO Multicolor Crew Colour-block  Slim Fit  T-shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hb9/h56/16010305306654/rigo_multicolor_crew_colour-block__slim_fit__t-shirt.jpg'}, {'altText': 'RIGO Multicolor Crew Colour-block  Slim Fit  T-shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hb7/hc8/16010300325918/rigo_multicolor_crew_colour-block__slim_fit__t-shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL'}",63% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 370.00', 'displayformattedValue': 'Rs. 370', 'value': 370}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 999.00', 'displayformattedValue': 'Rs. 999', 'value': 999}",Colour-block  Slim Fit  T-shirt,False,/rigo-colour-block-slim-fit-t-shirt/p/461005997_multi,"{'sizeVariants': ['S', 'M', 'L', 'XL', 'XXL']}",www.ajio.com/rigo-colour-block-slim-fit-t-shirt/p/461005997_multi
6,441000453001,Coupon Applicable,"{'brandName': 'Teamspirit', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h69/hdf/13493043593246/-286Wx359H-441000453-olive-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441000453_olive', 'sizeFlag': False}","[{'altText': 'Teamspirit Olive Green Crew Heathered Crew-Neck T-shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hd9/h52/13493043658782/teamspirit_olive_green_crew_heathered_crew-neck_t-shirt.jpg'}, {'altText': 'Teamspirit Olive Green Crew Heathered Crew-Neck T-shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hfc/h14/13493044445214/teamspirit_olive_green_crew_heathered_crew-neck_t-shirt.jpg'}, {'altText': 'Teamspirit Olive Green Crew Heathered Crew-Neck T-shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h69/hdf/13493043593246/teamspirit_olive_green_crew_heathered_crew-neck_t-shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",25% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 299.00', 'displayformattedValue': 'Rs. 299', 'value': 299}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 399.00', 'displayformattedValue': 'Rs. 399', 'value': 399}",Heathered Crew-Neck T-shirt,False,/teamspirit-heathered-crew-neck-t-shirt/p/441000453_olive,"{'sizeVariants': ['XS', 'M', 'L', 'XL']}",www.ajio.com/teamspirit-heathered-crew-neck-t-shirt/p/441000453_olive
7,440737331024,Coupon Applicable,"{'brandName': 'Teamspirit', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/he9/h72/12573652090910/-286Wx359H-440737331-blue-OUTFIT.jpg', 'allPromotions': False, 'colorGroup': '440737331_blue', 'sizeFlag': False}","[{'altText': 'Teamspirit Blue & White Henley Colourblock Henley T-shirt with Raglan Sleeves', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/he4/hb0/12573653991454/teamspirit_blue_&_white_henley_colourblock_henley_t-shirt_with_raglan_sleeves.jpg'}, {'altText': 'Teamspirit Blue & White Henley Colourblock Henley T-shirt with Raglan Sleeves', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hac/h48/12573654777886/teamspirit_blue_&_white_henley_colourblock_henley_t-shirt_with_raglan_sleeves.jpg'}, {'altText': 'Teamspirit Blue & White Henley Colourblock Henley T-shirt with Raglan Sleeves', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h07/h28/12573653925918/teamspirit_blue_&_white_henley_colourblock_henley_t-shirt_with_raglan_sleeves.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",40% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 239.00', 'displayformattedValue': 'Rs. 239', 'value': 239}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 399.00', 'displayformattedValue': 'Rs. 399', 'value': 399}",Colourblock Henley T-shirt with Raglan Sleeves,False,/teamspirit-colourblock-henley-t-shirt-with-raglan-sleeves/p/440737331_blue,"{'sizeVariants': ['XS', 'S', 'M', 'L', 'XL', 'XXL']}",www.ajio.com/teamspirit-colourblock-henley-t-shirt-with-raglan-sleeves/p/440737331_blue
8,440737331002,Coupon Applicable,"{'brandName': 'Teamspirit', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h4f/hc5/11848557395998/-286Wx359H-440737331-ltgrey-MODEL.jpg', 'allPromotions': False, 'colorGroup': '440737331_ltgrey', 'sizeFlag': False}","[{'altText': 'Teamspirit Grey Henley Henley T-shirt with Raglan Sleeves', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h21/h39/11848557461534/teamspirit_grey_henley_henley_t-shirt_with_raglan_sleeves.jpg'}, {'altText': 'Teamspirit Grey Henley Henley T-shirt with Raglan Sleeves', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h17/h2f/11848558247966/teamspirit_grey_henley_henley_t-shirt_with_raglan_sleeves.jpg'}, {'altText': 'Teamspirit Grey Henley Henley T-shirt with Raglan Sleeves', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h4f/hc5/11848557395998/teamspirit_grey_henley_henley_t-shirt_with_raglan_sleeves.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",40% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 239.00', 'displayformattedValue': 'Rs. 239', 'value': 239}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 399.00', 'displayformattedValue': 'Rs. 399', 'value': 399}",Henley T-shirt with Raglan Sleeves,False,/teamspirit-henley-t-shirt-with-raglan-sleeves/p/440737331_ltgrey,"{'sizeVariants': ['XS', 'S', 'M', 'L', 'XL', 'XXL']}",www.ajio.com/teamspirit-henley-t-shirt-with-raglan-sleeves/p/440737331_ltgrey
9,461005705004,Coupon Applicable,"{'brandName': 'RIGO', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h3b/h52/16040513863710/-286Wx359H-461005705-blue-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461005705_blue', 'sizeFlag': False}","[{'altText': 'RIGO Blue Crew  Textured  Slim Fit  Crew- Neck T-shirt ', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h47/h9c/16040513994782/rigo_blue_crew__textured__slim_fit__crew-_neck_t-shirt_.jpg'}, {'altText': 'RIGO Blue Crew  Textured  Slim Fit  Crew- Neck T-shirt ', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hbc/hdf/16040516747294/rigo_blue_crew__textured__slim_fit__crew-_neck_t-shirt_.jpg'}, {'altText': 'RIGO Blue Crew  Textured  Slim Fit  Crew- Neck T-shirt ', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h3b/h52/16040513863710/rigo_blue_crew__textured__slim_fit__crew-_neck_t-shirt_.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL'}",56% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 440.00', 'displayformattedValue': 'Rs. 440', 'value': 440}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 999.00', 'displayformattedValue': 'Rs. 999', 'value': 999}", Textured  Slim Fit  Crew- Neck T-shirt ,False,/rigo--textured-slim-fit-crew-neck-t-shirt-/p/461005705_blue,{'sizeVariants': ['S']},www.ajio.com/rigo--textured-slim-fit-crew-neck-t-shirt-/p/461005705_blue
