,id,name,price,colour,colourWayId,brandName,hasVariantColours,hasMultiplePrices,groupId,productCode,productType,url,imageUrl,videoUrl,isSellingFast,PAGE_URL_COMPLETE
0,20374762,ASOS DESIGN jersey skinny shorts in orange,"{'current': {'value': 23.0, 'text': '$23.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60048389,ASOS DESIGN,False,False,,1716266,Product,asos-design/asos-design-jersey-skinny-shorts-in-orange/prd/20374762?colourwayid=60048389,images.asos-media.com/products/asos-design-jersey-skinny-shorts-in-orange/20374762-1-fiesta,,False,www.asos.com/usasos-design/asos-design-jersey-skinny-shorts-in-orange/prd/20374762?colourwayid=60048389
1,20470653,River Island skinny denim shorts in gray,"{'current': {'value': 56.0, 'text': '$56.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60056583,River Island,False,False,,1724284,Product,river-island/river-island-skinny-denim-shorts-in-gray/prd/20470653?colourwayid=60056583,images.asos-media.com/products/river-island-skinny-denim-shorts-in-gray/20470653-1-grey,video.asos-media.com/products/river-island-skinny-denim-shorts-in-gray/20470653-catwalk-AVS,True,www.asos.com/usriver-island/river-island-skinny-denim-shorts-in-gray/prd/20470653?colourwayid=60056583
2,14944564,River Island jersey short in navy,"{'current': {'value': 39.0, 'text': '$39.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16659124,River Island,False,False,,1682116,Product,river-island/river-island-jersey-short-in-navy/prd/14944564?colourwayid=16659124,images.asos-media.com/products/river-island-jersey-short-in-navy/14944564-1-navy,video.asos-media.com/products/river-island-jersey-short-in-navy/14944564-catwalk-AVS,True,www.asos.com/usriver-island/river-island-jersey-short-in-navy/prd/14944564?colourwayid=16659124
3,20251735,Farah Hawk chino shorts in black,"{'current': {'value': 86.0, 'text': '$86.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60021117,Farah,False,False,,1705783,Product,farah/farah-hawk-chino-shorts-in-black/prd/20251735?colourwayid=60021117,images.asos-media.com/products/farah-hawk-chino-shorts-in-black/20251735-1-deepblack,,False,www.asos.com/usfarah/farah-hawk-chino-shorts-in-black/prd/20251735?colourwayid=60021117
4,20480320,Tommy Hilfger kace sport 9 shorts in white,"{'current': {'value': 79.5, 'text': '$79.50'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60057336,Tommy Hilfiger,False,False,,1725189,Product,tommy-hilfiger/tommy-hilfger-kace-sport-9-shorts-in-white/prd/20480320?colourwayid=60057336,images.asos-media.com/products/tommy-hilfger-kace-sport-9-shorts-in-white/20480320-1-white,,False,www.asos.com/ustommy-hilfiger/tommy-hilfger-kace-sport-9-shorts-in-white/prd/20480320?colourwayid=60057336
5,20480619,Tommy Hilfger hoffman sweatshorts in navy,"{'current': {'value': 59.5, 'text': '$59.50'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60057352,Tommy Hilfiger,False,False,,1725227,Product,tommy-hilfiger/tommy-hilfger-hoffman-sweatshorts-in-navy/prd/20480619?colourwayid=60057352,images.asos-media.com/products/tommy-hilfger-hoffman-sweatshorts-in-navy/20480619-1-navy,,False,www.asos.com/ustommy-hilfiger/tommy-hilfger-hoffman-sweatshorts-in-navy/prd/20480619?colourwayid=60057352
6,20480860,Tommy Hilfger abe shorts in birght white,"{'current': {'value': 69.5, 'text': '$69.50'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60057375,Tommy Hilfiger,False,False,,1725255,Product,tommy-hilfiger/tommy-hilfger-abe-shorts-in-birght-white/prd/20480860?colourwayid=60057375,images.asos-media.com/products/tommy-hilfger-abe-shorts-in-birght-white/20480860-1-white,,False,www.asos.com/ustommy-hilfiger/tommy-hilfger-abe-shorts-in-birght-white/prd/20480860?colourwayid=60057375
7,21018939,Bershka slim denim shorts with heavy distressing in light blue,"{'current': {'value': 40.55, 'text': '$40.55'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60134476,Bershka,False,False,,1767920,Product,bershka/bershka-slim-denim-shorts-with-heavy-distressing-in-light-blue/prd/21018939?colourwayid=60134476,images.asos-media.com/products/bershka-slim-denim-shorts-with-heavy-distressing-in-light-blue/21018939-1-delablue,,True,www.asos.com/usbershka/bershka-slim-denim-shorts-with-heavy-distressing-in-light-blue/prd/21018939?colourwayid=60134476
8,14192151,Nike Lightweight Utility shorts in khaki,"{'current': {'value': 65.0, 'text': '$65.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16598334,Nike,False,False,,1624239,Product,nike/nike-lightweight-utility-shorts-in-khaki/prd/14192151?colourwayid=16598334,images.asos-media.com/products/nike-lightweight-utility-shorts-in-khaki/14192151-1-khaki,,False,www.asos.com/usnike/nike-lightweight-utility-shorts-in-khaki/prd/14192151?colourwayid=16598334
9,14193837,Nike Festival woven short in gray and neon green,"{'current': {'value': 50.0, 'text': '$50.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16598511,Nike,False,False,,1624431,Product,nike/nike-festival-woven-short-in-gray-and-neon-green/prd/14193837?colourwayid=16598511,images.asos-media.com/products/nike-festival-woven-short-in-gray-and-neon-green/14193837-1-dksmokegreyvolt,,True,www.asos.com/usnike/nike-festival-woven-short-in-gray-and-neon-green/prd/14193837?colourwayid=16598511
10,14388333,COLLUSION Plus combat short in black,"{'current': {'value': 32.0, 'text': '$32.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16612480,Collusion,False,False,,1638148,Product,collusion/collusion-plus-combat-short-in-black/prd/14388333?colourwayid=16612480,images.asos-media.com/products/collusion-plus-combat-short-in-black/14388333-1-black,,False,www.asos.com/uscollusion/collusion-plus-combat-short-in-black/prd/14388333?colourwayid=16612480
11,14417683,ASOS DESIGN 12.5oz slim denim shorts in dark wash blue with abrasions,"{'current': {'value': 40.0, 'text': '$40.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16614733,ASOS DESIGN,False,False,,1639316,Product,asos-design/asos-design-125oz-slim-denim-shorts-in-dark-wash-blue-with-abrasions/prd/14417683?colourwayid=16614733,images.asos-media.com/products/asos-design-125oz-slim-denim-shorts-in-dark-wash-blue-with-abrasions/14417683-1-darkwashblue,video.asos-media.com/products/asos-design-125oz-slim-denim-shorts-in-dark-wash-blue-with-abrasions/14417683-catwalk-AVS,True,www.asos.com/usasos-design/asos-design-125oz-slim-denim-shorts-in-dark-wash-blue-with-abrasions/prd/14417683?colourwayid=16614733
12,14417736,ASOS DESIGN Plus 12.5oz skinny denim shorts in washed gray,"{'current': {'value': 40.0, 'text': '$40.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16614734,ASOS DESIGN,False,False,,1639392,Product,asos-design/asos-design-plus-125oz-skinny-denim-shorts-in-washed-gray/prd/14417736?colourwayid=16614734,images.asos-media.com/products/asos-design-plus-125oz-skinny-denim-shorts-in-washed-gray/14417736-1-grey,video.asos-media.com/products/asos-design-plus-125oz-skinny-denim-shorts-in-washed-gray/14417736-catwalk-AVS,False,www.asos.com/usasos-design/asos-design-plus-125oz-skinny-denim-shorts-in-washed-gray/prd/14417736?colourwayid=16614734
13,14669860,ASOS DESIGN Plus slim linen shorts in blue,"{'current': {'value': 29.0, 'text': '$29.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16635057,ASOS DESIGN,False,False,,1659584,Product,asos-design/asos-design-plus-slim-linen-shorts-in-blue/prd/14669860?colourwayid=16635057,images.asos-media.com/products/asos-design-plus-slim-linen-shorts-in-blue/14669860-1-blue,,True,www.asos.com/usasos-design/asos-design-plus-slim-linen-shorts-in-blue/prd/14669860?colourwayid=16635057
14,14761594,ASOS 4505 relaxed fit shorts with ombre side stripe,"{'current': {'value': 29.0, 'text': '$29.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16642037,ASOS 4505,False,False,,1667259,Product,asos-4505/asos-4505-relaxed-fit-shorts-with-ombre-side-stripe/prd/14761594?colourwayid=16642037,images.asos-media.com/products/asos-4505-relaxed-fit-shorts-with-ombre-side-stripe/14761594-1-black,,True,www.asos.com/usasos-4505/asos-4505-relaxed-fit-shorts-with-ombre-side-stripe/prd/14761594?colourwayid=16642037
15,20145478,BOSS Schino slim fit shorts in beige,"{'current': {'value': 118.0, 'text': '$118.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60012359,BOSS,False,False,,1697326,Product,boss/boss-schino-slim-fit-shorts-in-beige/prd/20145478?colourwayid=60012359,images.asos-media.com/products/boss-schino-slim-fit-shorts-in-beige/20145478-1-lightbeige,,False,www.asos.com/usboss/boss-schino-slim-fit-shorts-in-beige/prd/20145478?colourwayid=60012359
16,20470648,River Island skinny denim shorts in light blue,"{'current': {'value': 56.0, 'text': '$56.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60056581,River Island,False,False,,1724212,Product,river-island/river-island-skinny-denim-shorts-in-light-blue/prd/20470648?colourwayid=60056581,images.asos-media.com/products/river-island-skinny-denim-shorts-in-light-blue/20470648-1-lightblue,,False,www.asos.com/usriver-island/river-island-skinny-denim-shorts-in-light-blue/prd/20470648?colourwayid=60056581
17,20722822,Mennace essential signature two-piece shorts in tobacco,"{'current': {'value': 48.0, 'text': '$48.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60082577,Mennace,False,False,,1744267,Product,mennace/mennace-essential-signature-two-piece-shorts-in-tobacco/prd/20722822?colourwayid=60082577,images.asos-media.com/products/mennace-essential-signature-two-piece-shorts-in-tobacco/20722822-1-brown,,False,www.asos.com/usmennace/mennace-essential-signature-two-piece-shorts-in-tobacco/prd/20722822?colourwayid=60082577
18,20770314,ASOS 4505 icon skinny training shorts with quick dry in black,"{'current': {'value': 23.0, 'text': '$23.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60086532,ASOS 4505,False,False,,1747967,Product,asos-4505/asos-4505-icon-skinny-training-shorts-with-quick-dry-in-black/prd/20770314?colourwayid=60086532,images.asos-media.com/products/asos-4505-icon-skinny-training-shorts-with-quick-dry-in-black/20770314-1-black,,True,www.asos.com/usasos-4505/asos-4505-icon-skinny-training-shorts-with-quick-dry-in-black/prd/20770314?colourwayid=60086532
