,id,name,price,colour,colourWayId,brandName,hasVariantColours,hasMultiplePrices,groupId,productCode,productType,url,imageUrl,videoUrl,isSellingFast,PAGE_URL_COMPLETE
0,20064952,ASOS DESIGN regular revere abstract leaf print in black,"{'current': {'value': 40.0, 'text': '$40.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60005665,ASOS DESIGN,False,False,,1690785,Product,asos-design/asos-design-regular-revere-abstract-leaf-print-in-black/prd/20064952?colourwayid=60005665,images.asos-media.com/products/asos-design-regular-revere-abstract-leaf-print-in-black/20064952-1-black,video.asos-media.com/products/asos-design-regular-revere-abstract-leaf-print-in-black/20064952-catwalk-AVS,True,www.asos.com/usasos-design/asos-design-regular-revere-abstract-leaf-print-in-black/prd/20064952?colourwayid=60005665
1,8250740,ASOS DESIGN stretch skinny fit shirt in white with grandad collar,"{'current': {'value': 32.0, 'text': '$32.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,15153088,ASOS DESIGN,False,False,,1093667,Product,asos-design/asos-design-stretch-skinny-fit-shirt-in-white-with-grandad-collar/prd/8250740?colourwayid=15153088,images.asos-media.com/products/asos-design-stretch-skinny-fit-shirt-in-white-with-grandad-collar/8250740-1-white,video.asos-media.com/products/asos-design-stretch-skinny-fit-shirt-in-white-with-grandad-collar/8250740-catwalk-AVS,True,www.asos.com/usasos-design/asos-design-stretch-skinny-fit-shirt-in-white-with-grandad-collar/prd/8250740?colourwayid=15153088
2,14860972,ASOS DESIGN regular fit shirt in pink floral print,"{'current': {'value': 40.0, 'text': '$40.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16649708,ASOS DESIGN,False,False,,1674664,Product,asos-design/asos-design-regular-fit-shirt-in-pink-floral-print/prd/14860972?colourwayid=16649708,images.asos-media.com/products/asos-design-regular-fit-shirt-in-pink-floral-print/14860972-1-pink,video.asos-media.com/products/asos-design-regular-fit-shirt-in-pink-floral-print/14860972-catwalk-AVS,True,www.asos.com/usasos-design/asos-design-regular-fit-shirt-in-pink-floral-print/prd/14860972?colourwayid=16649708
3,8601497,ASOS DESIGN stretch skinny fit shirt in white with grandad collar,"{'current': {'value': 29.0, 'text': '$29.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,15201231,ASOS DESIGN,False,False,,1145046,Product,asos-design/asos-design-stretch-skinny-fit-shirt-in-white-with-grandad-collar/prd/8601497?colourwayid=15201231,images.asos-media.com/products/asos-design-stretch-skinny-fit-shirt-in-white-with-grandad-collar/8601497-1-white,video.asos-media.com/products/asos-design-stretch-skinny-fit-shirt-in-white-with-grandad-collar/8601497-catwalk-AVS,True,www.asos.com/usasos-design/asos-design-stretch-skinny-fit-shirt-in-white-with-grandad-collar/prd/8601497?colourwayid=15201231
4,14611839,ASOS DESIGN stretch slim organic short sleeve denim shirt in bleach wash,"{'current': {'value': 29.0, 'text': '$29.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16630066,ASOS DESIGN,False,False,,1655521,Product,asos-design/asos-design-stretch-slim-organic-short-sleeve-denim-shirt-in-bleach-wash/prd/14611839?colourwayid=16630066,images.asos-media.com/products/asos-design-stretch-slim-organic-short-sleeve-denim-shirt-in-bleach-wash/14611839-1-bleachwash,video.asos-media.com/products/asos-design-stretch-slim-organic-short-sleeve-denim-shirt-in-bleach-wash/14611839-catwalk-AVS,True,www.asos.com/usasos-design/asos-design-stretch-slim-organic-short-sleeve-denim-shirt-in-bleach-wash/prd/14611839?colourwayid=16630066
5,20108244,ASOS DESIGN relaxed fit retro stripe shirt in deep revere with pocket,"{'current': {'value': 40.0, 'text': '$40.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60009234,ASOS DESIGN,False,False,,1694279,Product,asos-design/asos-design-relaxed-fit-retro-stripe-shirt-in-deep-revere-with-pocket/prd/20108244?colourwayid=60009234,images.asos-media.com/products/asos-design-relaxed-fit-retro-stripe-shirt-in-deep-revere-with-pocket/20108244-1-orange,,True,www.asos.com/usasos-design/asos-design-relaxed-fit-retro-stripe-shirt-in-deep-revere-with-pocket/prd/20108244?colourwayid=60009234
6,14421055,ASOS DESIGN skinny fit oxford shirt in mint with double cuff,"{'current': {'value': 40.0, 'text': '$40.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16615077,ASOS DESIGN,False,False,,1640702,Product,asos-design/asos-design-skinny-fit-oxford-shirt-in-mint-with-double-cuff/prd/14421055?colourwayid=16615077,images.asos-media.com/products/asos-design-skinny-fit-oxford-shirt-in-mint-with-double-cuff/14421055-1-mint,video.asos-media.com/products/asos-design-skinny-fit-oxford-shirt-in-mint-with-double-cuff/14421055-catwalk-AVS,False,www.asos.com/usasos-design/asos-design-skinny-fit-oxford-shirt-in-mint-with-double-cuff/prd/14421055?colourwayid=16615077
7,14737975,COLLUSION long sleeve stripe shirt,"{'current': {'value': 35.0, 'text': '$35.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16640187,Collusion,False,False,,1665477,Product,collusion/collusion-long-sleeve-stripe-shirt/prd/14737975?colourwayid=16640187,images.asos-media.com/products/collusion-long-sleeve-stripe-shirt/14737975-1-multi,,False,www.asos.com/uscollusion/collusion-long-sleeve-stripe-shirt/prd/14737975?colourwayid=16640187
8,14860962,ASOS DESIGN oversized shirt in spliced patchwork check,"{'current': {'value': 48.0, 'text': '$48.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16649718,ASOS DESIGN,False,False,,1674478,Product,asos-design/asos-design-oversized-shirt-in-spliced-patchwork-check/prd/14860962?colourwayid=16649718,images.asos-media.com/products/asos-design-oversized-shirt-in-spliced-patchwork-check/14860962-1-red,,False,www.asos.com/usasos-design/asos-design-oversized-shirt-in-spliced-patchwork-check/prd/14860962?colourwayid=16649718
9,20514506,ASOS DESIGN regular fit tie front satin shirt in ivory,"{'current': {'value': 45.0, 'text': '$45.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60060145,ASOS DESIGN,False,False,,1727812,Product,asos-design/asos-design-regular-fit-tie-front-satin-shirt-in-ivory/prd/20514506?colourwayid=60060145,images.asos-media.com/products/asos-design-regular-fit-tie-front-satin-shirt-in-ivory/20514506-1-cream,video.asos-media.com/products/asos-design-regular-fit-tie-front-satin-shirt-in-ivory/20514506-catwalk-AVS,False,www.asos.com/usasos-design/asos-design-regular-fit-tie-front-satin-shirt-in-ivory/prd/20514506?colourwayid=60060145
10,20514734,ASOS DESIGN regular fit satin shirt with funnel neck in pink,"{'current': {'value': 45.0, 'text': '$45.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60060158,ASOS DESIGN,False,False,,1727825,Product,asos-design/asos-design-regular-fit-satin-shirt-with-funnel-neck-in-pink/prd/20514734?colourwayid=60060158,images.asos-media.com/products/asos-design-regular-fit-satin-shirt-with-funnel-neck-in-pink/20514734-1-pink,video.asos-media.com/products/asos-design-regular-fit-satin-shirt-with-funnel-neck-in-pink/20514734-catwalk-AVS,False,www.asos.com/usasos-design/asos-design-regular-fit-satin-shirt-with-funnel-neck-in-pink/prd/20514734?colourwayid=60060158
11,20737826,ASOS DESIGN regular long sleeve satin shirt with volume sleeve in black,"{'current': {'value': 45.0, 'text': '$45.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60083796,ASOS DESIGN,False,False,,1745465,Product,asos-design/asos-design-regular-long-sleeve-satin-shirt-with-volume-sleeve-in-black/prd/20737826?colourwayid=60083796,images.asos-media.com/products/asos-design-regular-long-sleeve-satin-shirt-with-volume-sleeve-in-black/20737826-1-black,,False,www.asos.com/usasos-design/asos-design-regular-long-sleeve-satin-shirt-with-volume-sleeve-in-black/prd/20737826?colourwayid=60083796
12,14406807,ASOS DESIGN relaxed fit viscose shirt with deep revere collar in burgundy,"{'current': {'value': 25.6, 'text': '$25.60'}, 'previous': {'value': 32.0, 'text': '$32.00'}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': True, 'isOutletPrice': False, 'currency': 'USD'}",,16613947,ASOS DESIGN,False,False,,1639564,Product,asos-design/asos-design-relaxed-fit-viscose-shirt-with-deep-revere-collar-in-burgundy/prd/14406807?colourwayid=16613947,images.asos-media.com/products/asos-design-relaxed-fit-viscose-shirt-with-deep-revere-collar-in-burgundy/14406807-1-burgundy,,True,www.asos.com/usasos-design/asos-design-relaxed-fit-viscose-shirt-with-deep-revere-collar-in-burgundy/prd/14406807?colourwayid=16613947
13,14712113,ASOS DESIGN regular fit standard collar stripe shirt in navy stripe,"{'current': {'value': 29.0, 'text': '$29.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16638272,ASOS DESIGN,False,False,,1663632,Product,asos-design/asos-design-regular-fit-standard-collar-stripe-shirt-in-navy-stripe/prd/14712113?colourwayid=16638272,images.asos-media.com/products/asos-design-regular-fit-standard-collar-stripe-shirt-in-navy-stripe/14712113-1-white,,True,www.asos.com/usasos-design/asos-design-regular-fit-standard-collar-stripe-shirt-in-navy-stripe/prd/14712113?colourwayid=16638272
14,14611829,ASOS DESIGN skinny fit western organic denim shirt in washed black,"{'current': {'value': 32.0, 'text': '$32.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16630061,ASOS DESIGN,False,False,,1655518,Product,asos-design/asos-design-skinny-fit-western-organic-denim-shirt-in-washed-black/prd/14611829?colourwayid=16630061,images.asos-media.com/products/asos-design-skinny-fit-western-organic-denim-shirt-in-washed-black/14611829-1-washedblack,video.asos-media.com/products/asos-design-skinny-fit-western-organic-denim-shirt-in-washed-black/14611829-catwalk-AVS,True,www.asos.com/usasos-design/asos-design-skinny-fit-western-organic-denim-shirt-in-washed-black/prd/14611829?colourwayid=16630061
15,14892839,ASOS DESIGN regular fit satin shirt in stone,"{'current': {'value': 40.0, 'text': '$40.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16652573,ASOS DESIGN,False,False,,1677625,Product,asos-design/asos-design-regular-fit-satin-shirt-in-stone/prd/14892839?colourwayid=16652573,images.asos-media.com/products/asos-design-regular-fit-satin-shirt-in-stone/14892839-1-stone,,True,www.asos.com/usasos-design/asos-design-regular-fit-satin-shirt-in-stone/prd/14892839?colourwayid=16652573
16,14783475,ASOS DESIGN muscle viscose shirt with low revere in black,"{'current': {'value': 29.0, 'text': '$29.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16643774,ASOS DESIGN,False,False,,1668995,Product,asos-design/asos-design-muscle-viscose-shirt-with-low-revere-in-black/prd/14783475?colourwayid=16643774,images.asos-media.com/products/asos-design-muscle-viscose-shirt-with-low-revere-in-black/14783475-1-black,,True,www.asos.com/usasos-design/asos-design-muscle-viscose-shirt-with-low-revere-in-black/prd/14783475?colourwayid=16643774
17,14332593,ASOS DESIGN stretch slim fit poplin floral shirt in navy,"{'current': {'value': 40.0, 'text': '$40.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16608606,ASOS DESIGN,False,False,,1634374,Product,asos-design/asos-design-stretch-slim-fit-poplin-floral-shirt-in-navy/prd/14332593?colourwayid=16608606,images.asos-media.com/products/asos-design-stretch-slim-fit-poplin-floral-shirt-in-navy/14332593-1-navy,,True,www.asos.com/usasos-design/asos-design-stretch-slim-fit-poplin-floral-shirt-in-navy/prd/14332593?colourwayid=16608606
18,20737829,ASOS DESIGN regular long sleeve satin shirt with low pussybow in black,"{'current': {'value': 45.0, 'text': '$45.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60083793,ASOS DESIGN,False,False,,1745463,Product,asos-design/asos-design-regular-long-sleeve-satin-shirt-with-low-pussybow-in-black/prd/20737829?colourwayid=60083793,images.asos-media.com/products/asos-design-regular-long-sleeve-satin-shirt-with-low-pussybow-in-black/20737829-1-black,,False,www.asos.com/usasos-design/asos-design-regular-long-sleeve-satin-shirt-with-low-pussybow-in-black/prd/20737829?colourwayid=60083793
19,21258643,SikSilk high collar resort shirt in stripe,"{'current': {'value': 52.0, 'text': '$52.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60151354,SikSilk,False,False,,1784553,Product,siksilk/siksilk-high-collar-resort-shirt-in-stripe/prd/21258643?colourwayid=60151354,images.asos-media.com/products/siksilk-high-collar-resort-shirt-in-stripe/21258643-1-stripe,,False,www.asos.com/ussiksilk/siksilk-high-collar-resort-shirt-in-stripe/prd/21258643?colourwayid=60151354
20,14576266,Hermano two-piece revere collar shirt in snake print,"{'current': {'value': 72.0, 'text': '$72.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16627167,Hermano,False,False,,1652654,Product,hermano/hermano-two-piece-revere-collar-shirt-in-snake-print/prd/14576266?colourwayid=16627167,images.asos-media.com/products/hermano-two-piece-revere-collar-shirt-in-snake-print/14576266-1-black,video.asos-media.com/products/hermano-two-piece-revere-collar-shirt-in-snake-print/14576266-catwalk-AVS,False,www.asos.com/ushermano/hermano-two-piece-revere-collar-shirt-in-snake-print/prd/14576266?colourwayid=16627167
