,sku,id,lineId,imageSmallUrl,originalImage,productName,brandName,price,discountPrice,discountPercent,revertPriceText,links,mainColor,masterCategoryName,subCategoryName,exclusiveToKoovs,isSkuOutOfStock,isProductOutOfStock,hasLooksAvailable,isTrending,merchantDetails,url_given,PAGE_URL_COMPLETE
0,1907720,131424,147354,https://product.koovs.com/147354_e0a95568af1e4ffea1e19c3b9c7d960c_image1_super_zoom.jpg,https://product.koovs.com/width/height/147354_e0a95568af1e4ffea1e19c3b9c7d960c_image1_super_zoom.jpg,Trefoil Logo Mini T-Shirt Dress,Adidas,3999,3999,0,Price After Sale,"[{'href': '/dress---------------black-131424-147354.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Dresses'],['Shift Dresses'],False,False,False,False,False,,/dress---------------black-131424-147354.html,www.koovs.com/dress---------------black-131424-147354.html
1,1914233,132695,148872,https://product.koovs.com/148872_005e74205fb94240921c5b61ed952c84_image1_super_zoom.jpg,https://product.koovs.com/width/height/148872_005e74205fb94240921c5b61ed952c84_image1_super_zoom.jpg,Asymmetric Neck Mini Skater Dress,Trendyol,1999,1999,0,Price After Sale,"[{'href': '/skater-dress-with-cut-out-neck-detail-132695-148872.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Dresses'],['Skater Dresses'],False,False,False,False,False,,/skater-dress-with-cut-out-neck-detail-132695-148872.html,www.koovs.com/skater-dress-with-cut-out-neck-detail-132695-148872.html
2,1914220,132691,148868,https://product.koovs.com/148868_82edec280a9e4a8a91f536a3bc35ed55_image1_super_zoom.jpg,https://product.koovs.com/width/height/148868_82edec280a9e4a8a91f536a3bc35ed55_image1_super_zoom.jpg,Tropical Print Mini Off-Shoulder Dress,Trendyol,1999,1999,0,Price After Sale,"[{'href': '/tropical-print-off-shoulder-dress-132691-148868.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Dresses'],['Off-shoulder & Bandeau Dresses'],False,False,False,False,False,,/tropical-print-off-shoulder-dress-132691-148868.html,www.koovs.com/tropical-print-off-shoulder-dress-132691-148868.html
3,1914203,132687,148863,https://product.koovs.com/148863_4e931d14b76f4826b8fa2db92a326301_image1_super_zoom.jpg,https://product.koovs.com/width/height/148863_4e931d14b76f4826b8fa2db92a326301_image1_super_zoom.jpg,Printed Strappy Shift Dress,Trendyol,1999,1999,0,Price After Sale,"[{'href': '/animal-print-midi-dress-132687-148863.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['Dresses'],['Shift Dresses'],False,False,False,False,False,,/animal-print-midi-dress-132687-148863.html,www.koovs.com/animal-print-midi-dress-132687-148863.html
5,1914195,132686,148861,https://product.koovs.com/148861_841c38079fbf441f8ad9fa6e402c1e44_image1_super_zoom.jpg,https://product.koovs.com/width/height/148861_841c38079fbf441f8ad9fa6e402c1e44_image1_super_zoom.jpg,Floral Print Mini Skater Dress,Trendyol,1999,1999,0,Price After Sale,"[{'href': '/floral-print-skater-dress-132686-148861.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Dresses'],['Skater Dresses'],False,False,False,False,False,,/floral-print-skater-dress-132686-148861.html,www.koovs.com/floral-print-skater-dress-132686-148861.html
6,1914105,132664,148837,https://product.koovs.com/148837_6012170c4ba945cba1c67eb27c251891_image1_super_zoom.jpg,https://product.koovs.com/width/height/148837_6012170c4ba945cba1c67eb27c251891_image1_super_zoom.jpg,Front-Slit Belted Midi Dress,Trendyol,1999,1999,0,Price After Sale,"[{'href': '/solid-midi-dress-with-belt-132664-148837.html', 'rel': 'self', 'method': 'GET'}]",['Grey'],['Dresses'],['Midi Dresses'],False,False,False,False,False,,/solid-midi-dress-with-belt-132664-148837.html,www.koovs.com/solid-midi-dress-with-belt-132664-148837.html
7,1914093,132660,148833,https://product.koovs.com/148833_7ef39a1d0fb6484ebd5991ece9d5d855_image1_super_zoom.jpg,https://product.koovs.com/width/height/148833_7ef39a1d0fb6484ebd5991ece9d5d855_image1_super_zoom.jpg,Floral Leaf Print Off-Shoulder Skater Dress,Trendyol,1999,1999,0,Price After Sale,"[{'href': '/printed-off-shoulder-dress-132660-148833.html', 'rel': 'self', 'method': 'GET'}]",['Red'],['Dresses'],['Skater Dresses'],False,False,False,False,False,,/printed-off-shoulder-dress-132660-148833.html,www.koovs.com/printed-off-shoulder-dress-132660-148833.html
8,1919155,133728,150036,https://product.koovs.com/150036_613d95d0a7ee445493dcbc9a30011ce1_image1_super_zoom.jpg,https://product.koovs.com/width/height/150036_613d95d0a7ee445493dcbc9a30011ce1_image1_super_zoom.jpg,Floral Print Blouson Asymmetric Dress,KOOVS,1699,1699,0,Price After Sale,"[{'href': '/koovs-printed-high-low-midi-dress-133728-150036.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Dresses'],['Asymmetric Dresses'],False,False,False,False,False,,/koovs-printed-high-low-midi-dress-133728-150036.html,www.koovs.com/koovs-printed-high-low-midi-dress-133728-150036.html
9,1913663,132554,148698,https://product.koovs.com/148698_4dbb66814c754c23becf0518c8cd6a2f_image1_super_zoom.jpg,https://product.koovs.com/width/height/148698_4dbb66814c754c23becf0518c8cd6a2f_image1_super_zoom.jpg,High Neck Frill Shift Dress,KOOVS,1299,1299,0,Price After Sale,"[{'href': '/koovs-high-neck-frill-sleeve-dress-132554-148698.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Dresses'],['Shift Dresses'],False,False,False,False,False,,/koovs-high-neck-frill-sleeve-dress-132554-148698.html,www.koovs.com/koovs-high-neck-frill-sleeve-dress-132554-148698.html
10,1916442,133106,149380,https://product.koovs.com/149380_85cad0973f4a4571b630690ab3271e17_image1_super_zoom.jpg,https://product.koovs.com/width/height/149380_85cad0973f4a4571b630690ab3271e17_image1_super_zoom.jpg,Cut-Out Back Sequinned Bodycon Dress,KOOVS,3499,3499,0,Price After Sale,"[{'href': '/koovs-sequin-and-tassel-dress-133106-149380.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Dresses'],['Body Con Dresses'],False,False,False,False,False,,/koovs-sequin-and-tassel-dress-133106-149380.html,www.koovs.com/koovs-sequin-and-tassel-dress-133106-149380.html
