,landingPageUrl,loyaltyPointsEnabled,adId,isPLA,productId,product,productName,rating,ratingCount,isFastFashion,futureDiscountedPrice,futureDiscountStartDate,discount,brand,searchImage,effectiveDiscountPercentageAfterTax,effectiveDiscountAmountAfterTax,buyButtonWinnerSkuId,buyButtonWinnerSellerPartnerId,relatedStylesCount,relatedStylesType,productVideos,inventoryInfo,sizes,images,gender,primaryColour,discountLabel,discountDisplayLabel,additionalInfo,category,mrp,price,advanceOrderTag,colorVariantAvailable,productimagetag,listViews,discountType,tdBxGyText,catalogDate,season,year,isPersonalised,eorsPicksTag,personalizedCoupon,personalizedCouponValue,productMeta,systemAttributes,PAGE_URL_COMPLETE
0,Shirts/John-Players/John-Players-Men-Rust-Orange--Navy-Blue-Trim-Fit-Checked-Casual-Shirt/12016200/buy,False,,False,12016200,John Players Men Rust Orange & Navy Blue Trim Fit Checked Casual Shirt,John Players Men Rust Orange & Navy Blue Trim Fit Checked Casual Shirt,0,0,False,0,,752,John Players,http://assets.myntassets.com/assets/images/12016200/2020/7/24/f9999408-96df-45f7-aa84-d3453b470cc11595579789829-John-Players-Men-Beige--Navy-Blue-Slim-Fit-Checked-Casual-Sh-1.jpg,0,0,41843448,4028,0,,[],"[{'skuId': 41843438, 'label': '38', 'inventory': 0, 'available': False}, {'skuId': 41843442, 'label': '39', 'inventory': 15, 'available': True}, {'skuId': 41843444, 'label': '40', 'inventory': 15, 'available': True}, {'skuId': 41843448, 'label': '42', 'inventory': 13, 'available': True}, {'skuId': 41843452, 'label': '44', 'inventory': 6, 'available': True}]","39,40,42,44","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12016200/2020/7/24/f9999408-96df-45f7-aa84-d3453b470cc11595579789829-John-Players-Men-Beige--Navy-Blue-Slim-Fit-Checked-Casual-Sh-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12016200/2020/7/24/f9999408-96df-45f7-aa84-d3453b470cc11595579789829-John-Players-Men-Beige--Navy-Blue-Slim-Fit-Checked-Casual-Sh-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/12016200/2020/7/24/98913035-2aef-4a8a-b788-b1b39cc038961595579789453-John-Players-Men-Beige--Navy-Blue-Slim-Fit-Checked-Casual-Sh-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12016200/2020/7/24/fe168cb6-0e01-46ca-a7b7-42ab53e7adbb1595579789529-John-Players-Men-Beige--Navy-Blue-Slim-Fit-Checked-Casual-Sh-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12016200/2020/7/24/069fb8eb-91b9-4b9a-a647-b1528c1b47f91595579789677-John-Players-Men-Beige--Navy-Blue-Slim-Fit-Checked-Casual-Sh-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12016200/2020/7/24/fefe113e-9d82-48de-8380-9edc5f3d44e31595579789753-John-Players-Men-Beige--Navy-Blue-Slim-Fit-Checked-Casual-Sh-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12016200/2020/7/24/ccbcb606-504a-4d3f-b166-41594321c8841595579789612-John-Players-Men-Beige--Navy-Blue-Slim-Fit-Checked-Casual-Sh-4.jpg'}]",Men,Rust,Flat_Search_Percent,"47% OFF, Hurry*",Checked Trim Fit Casual Shirt,Shirts,1599,847,,False,,0,512,,1596672000000,Fall,2019,False,,,0,,[],www.myntra.com/Shirts/John-Players/John-Players-Men-Rust-Orange--Navy-Blue-Trim-Fit-Checked-Casual-Shirt/12016200/buy
1,Shirts/ether/ether-Men-Beige-Regular-Fit-Self-Design-Panelled-Casual-Shirt/11781578/buy,False,,False,11781578,ether Men Beige Regular Fit Self Design Panelled Casual Shirt,ether Men Beige Regular Fit Self Design Panelled Casual Shirt,0,0,False,0,,0,ether,http://assets.myntassets.com/assets/images/11781578/2020/8/5/e87104f1-27fc-40a7-b232-13d05252ac9a1596619387207-ether-Men-Shirts-4381596619385909-1.jpg,0,0,41021304,4027,0,,[],"[{'skuId': 41021302, 'label': '38', 'inventory': 15, 'available': True}, {'skuId': 41021304, 'label': '40', 'inventory': 10, 'available': True}, {'skuId': 41021306, 'label': '42', 'inventory': 13, 'available': True}, {'skuId': 41021308, 'label': '44', 'inventory': 8, 'available': True}]","38,40,42,44","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11781578/2020/8/5/e87104f1-27fc-40a7-b232-13d05252ac9a1596619387207-ether-Men-Shirts-4381596619385909-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11781578/2020/8/5/e87104f1-27fc-40a7-b232-13d05252ac9a1596619387207-ether-Men-Shirts-4381596619385909-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/11781578/2020/8/5/0bdf9845-36ef-4642-a9c1-ebccadc60bad1596619386958-ether-Men-Shirts-4381596619385909-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11781578/2020/8/5/99e1c276-94a8-4d55-b0b6-7d855fd062c81596619387014-ether-Men-Shirts-4381596619385909-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11781578/2020/8/5/417ade00-fa73-4b15-a8fc-258862bb69e61596619387106-ether-Men-Shirts-4381596619385909-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11781578/2020/8/5/469fa7a5-9922-43eb-b3e8-b58e9826cd8b1596619387152-ether-Men-Shirts-4381596619385909-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11781578/2020/8/5/9aee6b52-7a17-460f-b4e4-a95dcde3d7e91596619387062-ether-Men-Shirts-4381596619385909-4.jpg'}]",Men,Beige,,,Regular Solid Panelled Shirt,Shirts,1299,1299,,False,,0,,,1596672000000,Summer,2020,False,,,0,,[],www.myntra.com/Shirts/ether/ether-Men-Beige-Regular-Fit-Self-Design-Panelled-Casual-Shirt/11781578/buy
2,Shirts/Roadster/Roadster-Men-Green-Regular-Fit-Solid-Casual-Linen-Shirt/11326384/buy,False,,False,11326384,Roadster Men Green Regular Fit Solid Casual Linen Shirt,Roadster Men Green Regular Fit Solid Casual Linen Shirt,0,0,False,0,,0,Roadster,http://assets.myntassets.com/assets/images/11326384/2020/8/4/8cf8ea95-4990-4dc9-b5a1-93454a874a6b1596541165581-Roadster-Men-Shirts-7501596541163526-1.jpg,0,0,39248814,4118,0,,[],"[{'skuId': 39248814, 'label': '38', 'inventory': 25, 'available': True}, {'skuId': 39248816, 'label': '40', 'inventory': 33, 'available': True}, {'skuId': 39248818, 'label': '42', 'inventory': 22, 'available': True}, {'skuId': 39248820, 'label': '44', 'inventory': 9, 'available': True}]","38,40,42,44","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11326384/2020/8/4/8cf8ea95-4990-4dc9-b5a1-93454a874a6b1596541165581-Roadster-Men-Shirts-7501596541163526-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11326384/2020/8/4/8cf8ea95-4990-4dc9-b5a1-93454a874a6b1596541165581-Roadster-Men-Shirts-7501596541163526-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/11326384/2020/8/4/9273b450-0eb6-4d71-8053-4870ac635f1e1596541165348-Roadster-Men-Shirts-7501596541163526-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11326384/2020/8/4/00259c23-5b35-4453-b562-93bd66b2440e1596541165392-Roadster-Men-Shirts-7501596541163526-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11326384/2020/8/4/27cdc919-753f-4f32-809d-63760d4e77cc1596541165482-Roadster-Men-Shirts-7501596541163526-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11326384/2020/8/4/bd8c7644-5df6-44f9-85c9-49bbf95523c91596541165434-Roadster-Men-Shirts-7501596541163526-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11326384/2020/8/4/75b70db4-a569-42c0-a7f1-5090a1a135151596541165527-Roadster-Men-Shirts-7501596541163526-2.jpg'}]",Men,Green,,,Regular Fit Casual Linen Shirt,Shirts,1999,1999,,False,,0,,,1596672000000,Spring,2020,False,,,0,,[],www.myntra.com/Shirts/Roadster/Roadster-Men-Green-Regular-Fit-Solid-Casual-Linen-Shirt/11326384/buy
3,Shirts/Roadster/Roadster-Men-Green--Black-Regular-Fit-Printed-Casual-Shirt/11326622/buy,False,,False,11326622,Roadster Men Green & Black Regular Fit Printed Casual Shirt,Roadster Men Green & Black Regular Fit Printed Casual Shirt,0,0,False,0,,0,Roadster,http://assets.myntassets.com/assets/images/11326622/2020/8/6/5f810b1c-8f92-4605-9c82-52090eef1e351596693645474-Roadster-Men-Shirts-9451596693639348-1.jpg,0,0,39249768,4118,0,,[],"[{'skuId': 39249766, 'label': '38', 'inventory': 154, 'available': True}, {'skuId': 39249768, 'label': '40', 'inventory': 226, 'available': True}, {'skuId': 39249772, 'label': '42', 'inventory': 151, 'available': True}, {'skuId': 39249774, 'label': '44', 'inventory': 76, 'available': True}]","38,40,42,44","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11326622/2020/8/6/5f810b1c-8f92-4605-9c82-52090eef1e351596693645474-Roadster-Men-Shirts-9451596693639348-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11326622/2020/8/6/5f810b1c-8f92-4605-9c82-52090eef1e351596693645474-Roadster-Men-Shirts-9451596693639348-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/11326622/2020/8/6/636b5e87-6be5-4250-9ba6-d3379450e9191596693641939-Roadster-Men-Shirts-9451596693639348-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11326622/2020/8/6/a5508044-5c8d-4a7f-aa7e-e29f442664931596693642369-Roadster-Men-Shirts-9451596693639348-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11326622/2020/8/6/a4f5f314-6861-4e6a-98e6-2bfcb73361461596693643877-Roadster-Men-Shirts-9451596693639348-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11326622/2020/8/6/e687cd62-f446-4220-9e1e-c173c8a5de011596693644681-Roadster-Men-Shirts-9451596693639348-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11326622/2020/8/6/4fe3aee6-5c42-43ed-9164-727d6e4c49b81596693642895-Roadster-Men-Shirts-9451596693639348-4.jpg'}]",Men,Green,,,Regular Fit Casual Shirt,Shirts,1399,1399,,False,,0,,,1596672000000,Spring,2020,False,,,0,,[],www.myntra.com/Shirts/Roadster/Roadster-Men-Green--Black-Regular-Fit-Printed-Casual-Shirt/11326622/buy
4,Shirts/French-Connection/French-Connection-Men-Blue--White-Slim-Fit-Printed-Casual-Shirt/12032420/buy,False,,False,12032420,French Connection Men Blue & White Slim Fit Printed Casual Shirt,French Connection Men Blue & White Slim Fit Printed Casual Shirt,0,0,False,0,,0,French Connection,http://assets.myntassets.com/assets/images/12032420/2020/8/3/55d62fdb-7098-45fd-b57b-24110d290be91596456245443-French-Connection-Men-Shirts-981596456243545-1.jpg,0,0,41896278,4028,0,,[],"[{'skuId': 41896276, 'label': '36', 'inventory': 0, 'available': False}, {'skuId': 41896278, 'label': '38', 'inventory': 9, 'available': True}, {'skuId': 41896280, 'label': '40', 'inventory': 13, 'available': True}, {'skuId': 41896282, 'label': '42', 'inventory': 10, 'available': True}, {'skuId': 41896284, 'label': '44', 'inventory': 3, 'available': True}, {'skuId': 41896286, 'label': '46', 'inventory': 2, 'available': True}]","38,40,42,44,46","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12032420/2020/8/3/55d62fdb-7098-45fd-b57b-24110d290be91596456245443-French-Connection-Men-Shirts-981596456243545-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12032420/2020/8/3/55d62fdb-7098-45fd-b57b-24110d290be91596456245443-French-Connection-Men-Shirts-981596456243545-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/12032420/2020/8/3/cb296ce8-233f-4390-bb1f-417eee9f6db11596456245084-French-Connection-Men-Shirts-981596456243545-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12032420/2020/8/3/0fb2e0ab-a0b8-4679-97b2-9e87613187591596456245158-French-Connection-Men-Shirts-981596456243545-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12032420/2020/8/3/68647a1d-5d63-4a67-b1eb-f6241d2f09f61596456245303-French-Connection-Men-Shirts-981596456243545-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12032420/2020/8/3/11b56c9a-d1a6-43a6-b18d-72f0d81be6f71596456245383-French-Connection-Men-Shirts-981596456243545-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12032420/2020/8/3/4491f254-579d-4cf1-9cbe-81a1b1b9c9cf1596456245234-French-Connection-Men-Shirts-981596456243545-4.jpg'}]",Men,Blue,Get upto 20% off,Get upto 20% off,Slim Fit Casual Shirt,Shirts,2299,2299,,False,,0,256,,1596672000000,Summer,2020,False,,,0,,[],www.myntra.com/Shirts/French-Connection/French-Connection-Men-Blue--White-Slim-Fit-Printed-Casual-Shirt/12032420/buy
5,Shirts/Roadster/Roadster-Men-Green-Regular-Fit-Solid-Casual-Linen-Shirt/11325810/buy,False,,False,11325810,Roadster Men Green Regular Fit Solid Casual Linen Shirt,Roadster Men Green Regular Fit Solid Casual Linen Shirt,0,0,False,0,,0,Roadster,http://assets.myntassets.com/assets/images/11325810/2020/8/4/27cf420e-b7d2-4764-ae02-e193379b94a31596541048103-Roadster-Men-Shirts-5521596541045259-1.jpg,0,0,39246518,4118,0,,[],"[{'skuId': 39246518, 'label': '38', 'inventory': 25, 'available': True}, {'skuId': 39246520, 'label': '40', 'inventory': 33, 'available': True}, {'skuId': 39246522, 'label': '42', 'inventory': 20, 'available': True}, {'skuId': 39246524, 'label': '44', 'inventory': 10, 'available': True}]","38,40,42,44","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11325810/2020/8/4/27cf420e-b7d2-4764-ae02-e193379b94a31596541048103-Roadster-Men-Shirts-5521596541045259-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11325810/2020/8/4/27cf420e-b7d2-4764-ae02-e193379b94a31596541048103-Roadster-Men-Shirts-5521596541045259-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/11325810/2020/8/4/2b33e35c-3d1f-48fe-83f7-7c0019c7839b1596541047861-Roadster-Men-Shirts-5521596541045259-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11325810/2020/8/4/c6a0ec59-4266-4a31-b7ec-074211faeb891596541047912-Roadster-Men-Shirts-5521596541045259-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11325810/2020/8/4/7ec99b58-a63e-4b44-87e9-2213e16483fc1596541048010-Roadster-Men-Shirts-5521596541045259-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11325810/2020/8/4/e0f43b28-2a78-4255-91a2-3cf86569643d1596541047958-Roadster-Men-Shirts-5521596541045259-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11325810/2020/8/4/f83d1200-e916-4989-ad33-a3faa574d06d1596541048056-Roadster-Men-Shirts-5521596541045259-2.jpg'}]",Men,Green,,,Regular Fit Casual Linen Shirt,Shirts,1699,1699,,False,,0,,,1596672000000,Spring,2020,False,,,0,,[],www.myntra.com/Shirts/Roadster/Roadster-Men-Green-Regular-Fit-Solid-Casual-Linen-Shirt/11325810/buy
6,Shirts/ether/ether-Men-Beige-Regular-Fit-Solid-Casual-Cotton-Shirt/11781576/buy,False,,False,11781576,ether Men Beige Regular Fit Solid Casual Cotton Shirt,ether Men Beige Regular Fit Solid Casual Cotton Shirt,0,0,False,0,,0,ether,http://assets.myntassets.com/assets/images/11781576/2020/8/5/3755beed-a5f3-4fd3-968e-fd4cf2e3103d1596619383184-ether-Men-Shirts-1121596619382119-1.jpg,0,0,41021294,4027,0,,[],"[{'skuId': 41021294, 'label': '38', 'inventory': 9, 'available': True}, {'skuId': 41021296, 'label': '40', 'inventory': 12, 'available': True}, {'skuId': 41021298, 'label': '42', 'inventory': 7, 'available': True}, {'skuId': 41021300, 'label': '44', 'inventory': 6, 'available': True}]","38,40,42,44","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11781576/2020/8/5/3755beed-a5f3-4fd3-968e-fd4cf2e3103d1596619383184-ether-Men-Shirts-1121596619382119-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11781576/2020/8/5/3755beed-a5f3-4fd3-968e-fd4cf2e3103d1596619383184-ether-Men-Shirts-1121596619382119-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/11781576/2020/8/5/bb3bd600-f8cf-4392-ae24-f3245e8b2f761596619382934-ether-Men-Shirts-1121596619382119-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11781576/2020/8/5/77b9cd9e-ed81-42e9-a34b-2d08f09755031596619382994-ether-Men-Shirts-1121596619382119-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11781576/2020/8/5/85bc8711-73ea-4fed-b9fc-75d2f920627d1596619383089-ether-Men-Shirts-1121596619382119-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11781576/2020/8/5/5f3b1ea0-3bfc-4fcc-a604-2cb8f9083bb51596619383135-ether-Men-Shirts-1121596619382119-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11781576/2020/8/5/df00c62d-80f9-4919-acd5-8766596735f91596619383043-ether-Men-Shirts-1121596619382119-4.jpg'}]",Men,Beige,,,Regular Fit Solid Cotton Shirt,Shirts,1299,1299,,False,,0,,,1596672000000,Summer,2020,False,,,0,,[],www.myntra.com/Shirts/ether/ether-Men-Beige-Regular-Fit-Solid-Casual-Cotton-Shirt/11781576/buy
7,Shirts/ether/ether-Men-White-Regular-Fit-Solid-Casual-Shirt/11746262/buy,False,,False,11746262,ether Men White Regular Fit Solid Casual Shirt,ether Men White Regular Fit Solid Casual Shirt,0,0,False,0,,0,ether,http://assets.myntassets.com/assets/images/11746262/2020/8/7/ba898152-9849-4082-a56b-b20185de1e2b1596800172700-ether-Men-White-Regular-Fit-Solid-Casual-Shirt-9481596800170-1.jpg,0,0,40869662,4027,0,,[],"[{'skuId': 40869662, 'label': '38', 'inventory': 112, 'available': True}, {'skuId': 40869664, 'label': '40', 'inventory': 167, 'available': True}, {'skuId': 40869666, 'label': '42', 'inventory': 165, 'available': True}, {'skuId': 40869668, 'label': '44', 'inventory': 111, 'available': True}]","38,40,42,44","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11746262/2020/8/7/ba898152-9849-4082-a56b-b20185de1e2b1596800172700-ether-Men-White-Regular-Fit-Solid-Casual-Shirt-9481596800170-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11746262/2020/8/7/ba898152-9849-4082-a56b-b20185de1e2b1596800172700-ether-Men-White-Regular-Fit-Solid-Casual-Shirt-9481596800170-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/11746262/2020/8/7/eaa5abaa-8580-4462-8155-71784fa09a061596800172353-ether-Men-White-Regular-Fit-Solid-Casual-Shirt-9481596800170-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11746262/2020/8/7/d1f0b03b-7fcb-4a85-8247-0b6262dbefb51596800172421-ether-Men-White-Regular-Fit-Solid-Casual-Shirt-9481596800170-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11746262/2020/8/7/4d086468-0f4b-4ac8-a162-03f6928cebdf1596800172560-ether-Men-White-Regular-Fit-Solid-Casual-Shirt-9481596800170-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11746262/2020/8/7/29c3d8d7-373a-4794-8c38-1b6098f6865c1596800172635-ether-Men-White-Regular-Fit-Solid-Casual-Shirt-9481596800170-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11746262/2020/8/7/85d7f3d4-3b49-4fd2-8b92-0aaccd9725cf1596800172489-ether-Men-White-Regular-Fit-Solid-Casual-Shirt-9481596800170-4.jpg'}]",Men,White,,,Regular Solid Casual Shirt,Shirts,1199,1199,,False,,0,,,1596672000000,Summer,2020,False,,,0,,[],www.myntra.com/Shirts/ether/ether-Men-White-Regular-Fit-Solid-Casual-Shirt/11746262/buy
8,Shirts/John-Players/John-Players-Men-Black-Trim-Fit-Solid-Casual-Shirt/12016294/buy,False,,False,12016294,John Players Men Black Trim Fit Solid Casual Shirt,John Players Men Black Trim Fit Solid Casual Shirt,0,0,False,0,,846,John Players,http://assets.myntassets.com/assets/images/12016294/2020/7/24/5cb30255-057e-484d-9773-f6715bd217be1595577511465-John-Players-Men-Black-Slim-Fit-Solid-Casual-Shirt-104159557-1.jpg,0,0,41843820,4028,0,,[],"[{'skuId': 41843814, 'label': '38', 'inventory': 0, 'available': False}, {'skuId': 41843816, 'label': '39', 'inventory': 9, 'available': True}, {'skuId': 41843818, 'label': '40', 'inventory': 13, 'available': True}, {'skuId': 41843820, 'label': '42', 'inventory': 7, 'available': True}]","39,40,42","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12016294/2020/7/24/5cb30255-057e-484d-9773-f6715bd217be1595577511465-John-Players-Men-Black-Slim-Fit-Solid-Casual-Shirt-104159557-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12016294/2020/7/24/5cb30255-057e-484d-9773-f6715bd217be1595577511465-John-Players-Men-Black-Slim-Fit-Solid-Casual-Shirt-104159557-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/12016294/2020/7/24/3142d4a1-dd52-43db-bad4-79a12cd3b8391595577511197-John-Players-Men-Black-Slim-Fit-Solid-Casual-Shirt-104159557-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12016294/2020/7/24/825559b5-4e83-44e6-8838-c49a521bb9dc1595577511247-John-Players-Men-Black-Slim-Fit-Solid-Casual-Shirt-104159557-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12016294/2020/7/24/f9449901-c12e-4a37-a736-b98faf7279db1595577511355-John-Players-Men-Black-Slim-Fit-Solid-Casual-Shirt-104159557-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12016294/2020/7/24/81999930-84d3-412f-8aa4-2ee480bed4121595577511298-John-Players-Men-Black-Slim-Fit-Solid-Casual-Shirt-104159557-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12016294/2020/7/24/c849bb85-84d1-49ab-9368-d24830b93b5e1595577511412-John-Players-Men-Black-Slim-Fit-Solid-Casual-Shirt-104159557-2.jpg'}]",Men,Black,Flat_Search_Percent,"47% OFF, Hurry*",Trim Fit Casual Shirt,Shirts,1799,953,,False,,0,512,,1596672000000,Fall,2019,False,,,0,,[],www.myntra.com/Shirts/John-Players/John-Players-Men-Black-Trim-Fit-Solid-Casual-Shirt/12016294/buy
9,Shirts/French-Connection/French-Connection-Men-Black--Blue-Slim-Fit-Checked-Casual-Shirt/12032406/buy,False,,False,12032406,French Connection Men Black & Blue Slim Fit Checked Casual Shirt,French Connection Men Black & Blue Slim Fit Checked Casual Shirt,0,0,False,0,,0,French Connection,http://assets.myntassets.com/assets/images/12032406/2020/8/3/97f75912-f316-4410-96a7-1904bf1e496b1596456204229-French-Connection-Men-Shirts-7271596456202507-1.jpg,0,0,41896196,4028,0,,[],"[{'skuId': 41896196, 'label': '38', 'inventory': 17, 'available': True}, {'skuId': 41896198, 'label': '40', 'inventory': 26, 'available': True}, {'skuId': 41896200, 'label': '42', 'inventory': 22, 'available': True}, {'skuId': 41896202, 'label': '44', 'inventory': 8, 'available': True}, {'skuId': 41896204, 'label': '46', 'inventory': 6, 'available': True}]","38,40,42,44,46","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/12032406/2020/8/3/97f75912-f316-4410-96a7-1904bf1e496b1596456204229-French-Connection-Men-Shirts-7271596456202507-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/12032406/2020/8/3/97f75912-f316-4410-96a7-1904bf1e496b1596456204229-French-Connection-Men-Shirts-7271596456202507-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/12032406/2020/8/3/67a06d44-f8c3-4baa-98ba-debbabf73cba1596456203951-French-Connection-Men-Shirts-7271596456202507-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/12032406/2020/8/3/b097515c-4975-439a-b8d4-b9fb290352f81596456204002-French-Connection-Men-Shirts-7271596456202507-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/12032406/2020/8/3/6e683654-076f-4caf-b9cd-e70bfcc10d4e1596456204103-French-Connection-Men-Shirts-7271596456202507-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/12032406/2020/8/3/28578787-29fd-44cd-9e29-129791b50b391596456204048-French-Connection-Men-Shirts-7271596456202507-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/12032406/2020/8/3/b931ab34-b8ad-411e-92be-18f2e96c1feb1596456204150-French-Connection-Men-Shirts-7271596456202507-2.jpg'}]",Men,Black,Get upto 20% off,Get upto 20% off,Slim Fit Checked Shirt,Shirts,2299,2299,,False,,0,256,,1596672000000,Summer,2020,False,,,0,,[],www.myntra.com/Shirts/French-Connection/French-Connection-Men-Black--Blue-Slim-Fit-Checked-Casual-Shirt/12032406/buy
