,landingPageUrl,loyaltyPointsEnabled,adId,isPLA,productId,product,productName,rating,ratingCount,isFastFashion,futureDiscountedPrice,futureDiscountStartDate,discount,brand,searchImage,effectiveDiscountPercentageAfterTax,effectiveDiscountAmountAfterTax,buyButtonWinnerSkuId,buyButtonWinnerSellerPartnerId,relatedStylesCount,relatedStylesType,productVideos,inventoryInfo,sizes,images,gender,primaryColour,discountLabel,discountDisplayLabel,additionalInfo,category,mrp,price,advanceOrderTag,colorVariantAvailable,productimagetag,listViews,discountType,tdBxGyText,catalogDate,season,year,isPersonalised,eorsPicksTag,personalizedCoupon,personalizedCouponValue,productMeta,systemAttributes,PAGE_URL_COMPLETE
0,Dresses/UF/UF-Maroon--Olive-Green-Floral-Print-Maxi-Shirt-Dress/11099538/buy,False,,False,11099538,U&F Maroon & Olive Green Floral Print Maxi Shirt Dress,U&F Maroon & Olive Green Floral Print Maxi Shirt Dress,3.7025788,1745,True,0,,1020,U&F,http://assets.myntassets.com/assets/images/11099538/2019/12/16/de5a1e02-d817-40f3-8db9-695befc46c2f1576473716354-UF-Women-Maroon-Printed-Maxi-Dress-7821576473714711-1.jpg,0,0,38297034.0,1770.0,0,,[],"[{'skuId': 38297032, 'label': 'S', 'inventory': 852, 'available': True}, {'skuId': 38297034, 'label': 'M', 'inventory': 835, 'available': True}, {'skuId': 38297036, 'label': 'L', 'inventory': 819, 'available': True}, {'skuId': 38297038, 'label': 'XL', 'inventory': 855, 'available': True}, {'skuId': 38297040, 'label': 'XXL', 'inventory': 890, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11099538/2019/12/16/de5a1e02-d817-40f3-8db9-695befc46c2f1576473716354-UF-Women-Maroon-Printed-Maxi-Dress-7821576473714711-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11099538/2019/12/16/de5a1e02-d817-40f3-8db9-695befc46c2f1576473716354-UF-Women-Maroon-Printed-Maxi-Dress-7821576473714711-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11099538/2019/12/16/c3f17e8e-41aa-48f3-b322-2d9a7191d28a1576473716099-UF-Women-Maroon-Printed-Maxi-Dress-7821576473714711-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11099538/2019/12/16/df54d826-b7d0-4d32-846b-63880bf6fa841576473716244-UF-Women-Maroon-Printed-Maxi-Dress-7821576473714711-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11099538/2020/1/9/0adcba46-82a6-4356-ab19-57a7043360d41578568891032-UF-Women-Maroon--Olive-Green-Printed-Maxi-Dress-731578568890-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11099538/2019/12/16/505a0195-5c40-4a28-a523-9ef3dc6aab301576473716177-UF-Women-Maroon-Printed-Maxi-Dress-7821576473714711-4.jpg'}]",Women,Maroon,Flat_Search_Percent,(60% OFF),Floral Print Maxi Shirt Dress,Dresses,1699,679,,False,,0,1,,1576108800000,Summer,2020,False,,,0,,[],www.myntra.com/Dresses/UF/UF-Maroon--Olive-Green-Floral-Print-Maxi-Shirt-Dress/11099538/buy
1,Dresses/Tokyo-Talkies/Tokyo-Talkies-Navy-Polka-Dot-Belted-Shirt-Dress/2242503/buy,False,,False,2242503,Tokyo Talkies Navy Polka Dot Belted Shirt Dress,Tokyo Talkies Navy Polka Dot Belted Shirt Dress,4.300475,1684,True,0,,1110,Tokyo Talkies,http://assets.myntassets.com/assets/images/2242503/2018/7/30/00fa54ff-cc59-4d9e-b618-34766946f2c81532942294504-Tokyo-Talkies-Women-Navy-Printed-Shirt-Dress-5291532942294350-1.jpg,0,0,14688263.0,4215.0,0,,[],"[{'skuId': 14688261, 'label': 'S', 'inventory': 19, 'available': True}, {'skuId': 14688262, 'label': 'M', 'inventory': 3, 'available': True}, {'skuId': 14688263, 'label': 'L', 'inventory': 573, 'available': True}, {'skuId': 14688265, 'label': 'XL', 'inventory': 521, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/2242503/2018/7/30/00fa54ff-cc59-4d9e-b618-34766946f2c81532942294504-Tokyo-Talkies-Women-Navy-Printed-Shirt-Dress-5291532942294350-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/2242503/2018/7/30/00fa54ff-cc59-4d9e-b618-34766946f2c81532942294504-Tokyo-Talkies-Women-Navy-Printed-Shirt-Dress-5291532942294350-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/2242503/2018/7/30/ed480232-3e5e-4f79-9a1a-1e247a6104061532942294527-Tokyo-Talkies-Women-Navy-Printed-Shirt-Dress-5291532942294350-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/2242503/2018/7/30/f457ad4d-f477-4d9c-98cb-95d63512386e1532942294447-Tokyo-Talkies-Women-Navy-Printed-Shirt-Dress-5291532942294350-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/2242503/2018/7/30/f3856977-0668-439c-84e8-0d3d8227affe1532942294473-Tokyo-Talkies-Women-Navy-Printed-Shirt-Dress-5291532942294350-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/2242503/2018/7/30/cebadc7f-02ee-42f0-aacc-5bed0b0dec231532942294426-Tokyo-Talkies-Women-Navy-Printed-Shirt-Dress-5291532942294350-4.jpg'}]",Women,Navy Blue,Flat_Search_Percent,(60% OFF),Polka Dot Belted Shirt Dress,Dresses,1849,739,,False,,0,1,,1510185600000,Winter,2017,False,,,0,,[],www.myntra.com/Dresses/Tokyo-Talkies/Tokyo-Talkies-Navy-Polka-Dot-Belted-Shirt-Dress/2242503/buy
2,Dresses/Tokyo-Talkies/Tokyo-Talkies-Black-Floral-Print-Flared-Maxi-Dress-with-a-Belt/2299060/buy,False,,False,2299060,Tokyo Talkies Black Floral Print Flared Maxi Dress with a Belt,Tokyo Talkies Black Floral Print Flared Maxi Dress with a Belt,4.24155,1213,True,0,,1350,Tokyo Talkies,http://assets.myntassets.com/assets/images/2299060/2018/7/30/7584b116-2a2c-4fb1-881c-af58cc484b181532944603854-Tokyo-Talkies-Women-Black-Printed-Maxi-Dress-4791532944603727-1.jpg,0,0,14912829.0,4215.0,0,,[],"[{'skuId': 14912831, 'label': 'S', 'inventory': 498, 'available': True}, {'skuId': 14912830, 'label': 'M', 'inventory': 802, 'available': True}, {'skuId': 14912829, 'label': 'L', 'inventory': 260, 'available': True}, {'skuId': 14912828, 'label': 'XL', 'inventory': 57, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/2299060/2018/7/30/7584b116-2a2c-4fb1-881c-af58cc484b181532944603854-Tokyo-Talkies-Women-Black-Printed-Maxi-Dress-4791532944603727-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/2299060/2018/7/30/7584b116-2a2c-4fb1-881c-af58cc484b181532944603854-Tokyo-Talkies-Women-Black-Printed-Maxi-Dress-4791532944603727-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/2299060/2018/7/30/a51c9cef-69c3-4528-b16c-0107e2a0b7751532944603877-Tokyo-Talkies-Women-Black-Printed-Maxi-Dress-4791532944603727-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/2299060/2018/7/30/5c87edf2-dbd3-4569-b0c7-45bc98573a1b1532944603811-Tokyo-Talkies-Women-Black-Printed-Maxi-Dress-4791532944603727-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/2299060/2018/7/30/0fc1e1b2-e2c7-4abd-a7e8-2aae131c30bb1532944603794-Tokyo-Talkies-Women-Black-Printed-Maxi-Dress-4791532944603727-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/2299060/2018/7/30/7b9cd323-82d4-41cd-b239-5063e7de14651532944603830-Tokyo-Talkies-Women-Black-Printed-Maxi-Dress-4791532944603727-2.jpg'}]",Women,Black,Flat_Search_Percent,(60% OFF),Floral Flared Belted Dress,Dresses,2249,899,,False,,0,1,,1512000000000,Winter,2017,False,,,0,,[],www.myntra.com/Dresses/Tokyo-Talkies/Tokyo-Talkies-Black-Floral-Print-Flared-Maxi-Dress-with-a-Belt/2299060/buy
3,Dresses/SASSAFRAS/SASSAFRAS-Women-Dusty-Pink-Solid-Accordian-Pleat-A-Line-Dress/10308521/buy,False,,False,10308521,SASSAFRAS Women Dusty Pink Solid Accordian Pleat A-Line Dress,SASSAFRAS Women Dusty Pink Solid Accordian Pleat A-Line Dress,4.377224,843,True,0,,1200,SASSAFRAS,http://assets.myntassets.com/assets/images/10308521/2019/7/29/752a04e2-1093-4243-9fcd-64c9346486bf1564401142308-SASSAFRAS-Women-Pink-Shirt-Dress-6811564401140400-1.jpg,0,0,35179961.0,4028.0,0,,[],"[{'skuId': 35179961, 'label': 'XS', 'inventory': 235, 'available': True}, {'skuId': 35179967, 'label': 'S', 'inventory': 333, 'available': True}, {'skuId': 35179973, 'label': 'M', 'inventory': 156, 'available': True}, {'skuId': 35179979, 'label': 'L', 'inventory': 30, 'available': True}, {'skuId': 35179985, 'label': 'XL', 'inventory': 12, 'available': True}, {'skuId': 35179991, 'label': 'XXL', 'inventory': 0, 'available': False}]","XS,S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/10308521/2019/7/29/752a04e2-1093-4243-9fcd-64c9346486bf1564401142308-SASSAFRAS-Women-Pink-Shirt-Dress-6811564401140400-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/10308521/2019/7/29/752a04e2-1093-4243-9fcd-64c9346486bf1564401142308-SASSAFRAS-Women-Pink-Shirt-Dress-6811564401140400-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/10308521/2019/7/29/9bdf4c47-5236-4a81-a213-8ad866d26c8f1564401142202-SASSAFRAS-Women-Pink-Shirt-Dress-6811564401140400-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/10308521/2019/7/29/f6b28f3c-88a1-4607-8c9b-8b11b2bfb3f81564401142256-SASSAFRAS-Women-Pink-Shirt-Dress-6811564401140400-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/10308521/2019/7/29/90d961fa-3ac6-4264-83cf-29d72841e3b41564401142235-SASSAFRAS-Women-Pink-Shirt-Dress-6811564401140400-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/10308521/2019/7/29/e01a2427-3ad4-4396-ab7a-7e87e41ee73e1564401142287-SASSAFRAS-Women-Pink-Shirt-Dress-6811564401140400-2.jpg'}]",Women,Pink,Flat_Search_Percent,(60% OFF),Accordian Pleat A-Line Dress,Dresses,1999,799,,False,,0,1,,1564012800000,Fall,2019,False,,,0,,[],www.myntra.com/Dresses/SASSAFRAS/SASSAFRAS-Women-Dusty-Pink-Solid-Accordian-Pleat-A-Line-Dress/10308521/buy
4,Dresses/Athena/Athena-Women-Burgundy-Solid-Maxi-Dress/5559085/buy,False,,False,5559085,Athena Women Burgundy Solid Maxi Dress,Athena Women Burgundy Solid Maxi Dress,3.8884957,565,True,0,,1123,Athena,http://assets.myntassets.com/assets/images/5559085/2018/5/9/11525849854374-Athena-Women-Burgundy-Solid-Maxi-Dress-4291525849853320-1.jpg,0,0,26640647.0,960.0,0,,[],"[{'skuId': 26640646, 'label': 'XS', 'inventory': 469, 'available': True}, {'skuId': 26640647, 'label': 'S', 'inventory': 445, 'available': True}, {'skuId': 26640648, 'label': 'M', 'inventory': 412, 'available': True}, {'skuId': 26640649, 'label': 'L', 'inventory': 444, 'available': True}, {'skuId': 26640650, 'label': 'XL', 'inventory': 452, 'available': True}, {'skuId': 26640651, 'label': 'XXL', 'inventory': 471, 'available': True}]","XS,S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/5559085/2018/5/9/11525849854374-Athena-Women-Burgundy-Solid-Maxi-Dress-4291525849853320-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/5559085/2018/5/9/11525849854374-Athena-Women-Burgundy-Solid-Maxi-Dress-4291525849853320-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/5559085/2018/5/9/11525849853381-Athena-Women-Burgundy-Solid-Maxi-Dress-4291525849853320-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/5559085/2018/5/9/11525849853848-Athena-Women-Burgundy-Solid-Maxi-Dress-4291525849853320-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/5559085/2018/5/9/11525849853829-Athena-Women-Burgundy-Solid-Maxi-Dress-4291525849853320-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/5559085/2018/5/9/11525849854321-Athena-Women-Burgundy-Solid-Maxi-Dress-4291525849853320-2.jpg'}]",Women,Burgundy,Flat_Search_Percent,(45% OFF),Women Solid Maxi Dress,Dresses,2495,1372,,False,,0,1,,1525305600000,Summer,2018,False,,,0,,[],www.myntra.com/Dresses/Athena/Athena-Women-Burgundy-Solid-Maxi-Dress/5559085/buy
5,Dresses/RARE/RARE-Black-Lace-Belted-Tiered-Midi-Dress/6638104/buy,False,,False,6638104,RARE Black Lace Belted Tiered Midi Dress,RARE Black Lace Belted Tiered Midi Dress,4.017995,778,True,0,,936,RARE,http://assets.myntassets.com/assets/images/6638104/2018/6/15/0fda2315-92f1-48d5-8954-4a78d60a0b881529045573115-NA-4921529045572949-1.jpg,0,0,30263118.0,3030.0,0,,[],"[{'skuId': 30263118, 'label': 'S', 'inventory': 236, 'available': True}, {'skuId': 30263119, 'label': 'M', 'inventory': 211, 'available': True}, {'skuId': 30263120, 'label': 'L', 'inventory': 272, 'available': True}, {'skuId': 30263121, 'label': 'XL', 'inventory': 252, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/6638104/2018/6/15/0fda2315-92f1-48d5-8954-4a78d60a0b881529045573115-NA-4921529045572949-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/6638104/2018/6/15/0fda2315-92f1-48d5-8954-4a78d60a0b881529045573115-NA-4921529045572949-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/6638104/2018/6/15/dfa737ec-8c68-4d7a-bf86-119256b8281a1529045573029-NA-4921529045572949-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/6638104/2018/6/15/f6550936-cd5e-48c3-9298-afb5b37078f61529045573074-NA-4921529045572949-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/6638104/2018/6/15/1a8392dc-f471-4747-9e5c-80567f8475011529045573095-NA-4921529045572949-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/6638104/2018/6/15/453f6f6f-e965-46f3-950a-f723118746931529045573053-NA-4921529045572949-4.jpg'}]",Women,Black,Flat_Search_Percent,(52% OFF),Lace Belted Tiered Midi Dress,Dresses,1799,863,,False,,0,1,,1528934400000,Summer,2018,False,,,0,,[],www.myntra.com/Dresses/RARE/RARE-Black-Lace-Belted-Tiered-Midi-Dress/6638104/buy
6,Dresses/SASSAFRAS/SASSAFRAS-Women-Navy-Blue--Pink-Printed-Fit-and-Flare-Dress/7413632/buy,False,,False,7413632,SASSAFRAS Women Navy Blue & Pink Printed Fit and Flare Dress,SASSAFRAS Women Navy Blue & Pink Printed Fit and Flare Dress,3.9928057,417,True,0,,880,SASSAFRAS,http://assets.myntassets.com/assets/images/7413632/2018/9/21/0977813b-6e5f-474c-a545-df8e67e5f0ea1537530393736-SASSAFRAS-Women-Dresses-9851537530393557-1.jpg,0,0,31713224.0,4028.0,0,,[],"[{'skuId': 31713223, 'label': 'S', 'inventory': 240, 'available': True}, {'skuId': 31713224, 'label': 'M', 'inventory': 230, 'available': True}, {'skuId': 31713225, 'label': 'L', 'inventory': 194, 'available': True}, {'skuId': 31713227, 'label': 'XL', 'inventory': 136, 'available': True}, {'skuId': 31713228, 'label': 'XXL', 'inventory': 141, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/7413632/2018/9/21/0977813b-6e5f-474c-a545-df8e67e5f0ea1537530393736-SASSAFRAS-Women-Dresses-9851537530393557-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/7413632/2018/9/21/0977813b-6e5f-474c-a545-df8e67e5f0ea1537530393736-SASSAFRAS-Women-Dresses-9851537530393557-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/7413632/2018/9/21/bf14e02e-3152-4c44-97c6-34daca037d751537530393637-SASSAFRAS-Women-Dresses-9851537530393557-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/7413632/2018/9/21/7ea06df1-108a-4201-a92e-06bb8b569f6f1537530393689-SASSAFRAS-Women-Dresses-9851537530393557-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/7413632/2018/9/21/7495f515-7ea6-46a2-be1f-169f44e817641537530393665-SASSAFRAS-Women-Dresses-9851537530393557-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/7413632/2018/9/21/56db7cfa-27b0-48d7-abb7-b192e9633d7e1537530393710-SASSAFRAS-Women-Dresses-9851537530393557-2.jpg'}]",Women,Navy Blue,Flat_Search_Percent,(55% OFF),Women Fit & Flare Dress,Dresses,1599,719,,False,,0,1,,1537401600000,Fall,2018,False,,,0,,[],www.myntra.com/Dresses/SASSAFRAS/SASSAFRAS-Women-Navy-Blue--Pink-Printed-Fit-and-Flare-Dress/7413632/buy
7,Dresses/Tokyo-Talkies/Tokyo-Talkies-Women-Rose-Solid-Pinafore-Dress/8195025/buy,False,,False,8195025,Tokyo Talkies Women Rose Solid Pinafore Dress,Tokyo Talkies Women Rose Solid Pinafore Dress,3.8596492,627,True,0,,930,Tokyo Talkies,http://assets.myntassets.com/assets/images/productimage/2018/12/12/1c2a5ff5-7120-4ea6-8200-76d8b29419c01544633349194-1.jpg,0,0,32722962.0,4215.0,0,,[],"[{'skuId': 32722955, 'label': 'S', 'inventory': 466, 'available': True}, {'skuId': 32722960, 'label': 'M', 'inventory': 552, 'available': True}, {'skuId': 32722962, 'label': 'L', 'inventory': 314, 'available': True}, {'skuId': 32722964, 'label': 'XL', 'inventory': 177, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2018/12/12/1c2a5ff5-7120-4ea6-8200-76d8b29419c01544633349194-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2018/12/12/1c2a5ff5-7120-4ea6-8200-76d8b29419c01544633349194-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2018/12/12/da24dbf5-08ca-4c7f-a68c-806402cb8c671544633349303-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2018/12/12/39999e81-5b84-4b1d-b209-b21c60e06bc21544633349244-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2018/12/12/1fb53bec-5c52-4e51-8a93-2789a94ded821544633349275-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2018/12/12/faa4f4f8-babe-4c42-9a85-80ef27639f181544633349216-2.jpg'}]",Women,Rose,Flat_Search_Percent,(60% OFF),Women Solid Pinafore Dress,Dresses,1549,619,,False,,0,1,,1544659200000,Summer,2018,False,,,0,,[],www.myntra.com/Dresses/Tokyo-Talkies/Tokyo-Talkies-Women-Rose-Solid-Pinafore-Dress/8195025/buy
8,Dresses/Sera/Sera-Women-Black-Printed-Elasticated-Waist-Dress-with-Tassel-Tie-Up/1923967/buy,False,,False,1923967,Sera Women Black Printed Elasticated Waist Dress with Tassel Tie-Up,Sera Women Black Printed Elasticated Waist Dress with Tassel Tie-Up,3.8006933,577,True,0,,550,Sera,http://assets.myntassets.com/assets/images/1923967/2017/6/16/11497607310013-Sera-Women-Dresses-2231497607309791-1.jpg,0,0,13517407.0,2652.0,0,,[],"[{'skuId': 13517407, 'label': 'S', 'inventory': 424, 'available': True}, {'skuId': 13517408, 'label': 'M', 'inventory': 797, 'available': True}, {'skuId': 13517409, 'label': 'L', 'inventory': 537, 'available': True}, {'skuId': 13517410, 'label': 'XL', 'inventory': 923, 'available': True}]","S,M,L,XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/1923967/2017/6/16/11497607310013-Sera-Women-Dresses-2231497607309791-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/1923967/2017/6/16/11497607310013-Sera-Women-Dresses-2231497607309791-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/1923967/2017/6/16/11497607309933-Sera-Women-Dresses-2231497607309791-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/1923967/2017/6/16/11497607309976-Sera-Women-Dresses-2231497607309791-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/1923967/2017/6/16/11497607309953-Sera-Women-Dresses-2231497607309791-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/1923967/2017/6/16/11497607309992-Sera-Women-Dresses-2231497607309791-2.jpg'}]",Women,Black,Flat_Search_Percent,(50% OFF),Elasticated Waist Dress,Dresses,1099,549,,False,,0,1,,1497484800000,Summer,2017,False,,,0,,[],www.myntra.com/Dresses/Sera/Sera-Women-Black-Printed-Elasticated-Waist-Dress-with-Tassel-Tie-Up/1923967/buy
9,Dresses/SASSAFRAS/SASSAFRAS-Women-Pink-Solid-Accordion-Pleats-Empire-Dress/10308665/buy,False,,False,10308665,SASSAFRAS Women Pink Solid Accordion Pleats Empire Dress,SASSAFRAS Women Pink Solid Accordion Pleats Empire Dress,4.3309355,556,True,0,,1200,SASSAFRAS,http://assets.myntassets.com/assets/images/10308665/2019/7/29/4963e4f6-359d-44e5-b74a-5f8f564b1c501564379788651-SASSAFRAS-Women-Pink-A-Line-Dress-381564379785533-1.jpg,0,0,35180791.0,4028.0,0,,[],"[{'skuId': 35180791, 'label': 'XS', 'inventory': 66, 'available': True}, {'skuId': 35180803, 'label': 'S', 'inventory': 37, 'available': True}, {'skuId': 35180807, 'label': 'M', 'inventory': 75, 'available': True}, {'skuId': 35180809, 'label': 'L', 'inventory': 127, 'available': True}, {'skuId': 35180811, 'label': 'XL', 'inventory': 23, 'available': True}, {'skuId': 35180813, 'label': 'XXL', 'inventory': 24, 'available': True}]","XS,S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/10308665/2019/7/29/4963e4f6-359d-44e5-b74a-5f8f564b1c501564379788651-SASSAFRAS-Women-Pink-A-Line-Dress-381564379785533-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/10308665/2019/7/29/4963e4f6-359d-44e5-b74a-5f8f564b1c501564379788651-SASSAFRAS-Women-Pink-A-Line-Dress-381564379785533-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/10308665/2019/7/29/19d2e000-2322-42c2-a8cd-722430ea89d21564379788511-SASSAFRAS-Women-Pink-A-Line-Dress-381564379785533-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/10308665/2019/7/29/832f71bf-1c41-4981-a4aa-1e2f3e73cd2d1564379788536-SASSAFRAS-Women-Pink-A-Line-Dress-381564379785533-5.jpg'}, {'view': 'size_representation', 'src': ''}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/10308665/2019/7/29/31f212f7-31fc-4743-a341-0d795d6d43c11564379788589-SASSAFRAS-Women-Pink-A-Line-Dress-381564379785533-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/10308665/2019/7/29/a706547c-da5b-4843-91f1-5969bfaf339c1564379788559-SASSAFRAS-Women-Pink-A-Line-Dress-381564379785533-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/10308665/2019/7/29/096a90be-eb6f-4733-9bdd-74131792d6621564379788619-SASSAFRAS-Women-Pink-A-Line-Dress-381564379785533-2.jpg'}]",Women,Pink,Flat_Search_Percent,(60% OFF),Accordion Pleats Empire Dress,Dresses,1999,799,,False,,0,1,,1564012800000,Fall,2019,False,,,0,,[],www.myntra.com/Dresses/SASSAFRAS/SASSAFRAS-Women-Pink-Solid-Accordion-Pleats-Empire-Dress/10308665/buy
