,PAGE_URL_COMPLETE,name,color,imageUrl,Trending,Site,Category
0,www.ajio.com/teamspirit-core-drawstring-shorts-with-side-pockets/p/441031717_petrol,Core Drawstring Shorts with Side Pockets,petrol,https://assets.ajio.com/medias/sys_master/root/h03/h4e/15322053771294/teamspirit_blue_shorts_core_drawstring_shorts_with_side_pockets.jpg,True,AJIO,popular
1,www.ajio.com/teamspirit-mid-rise-printed-bermudas-with-insert-pockets/p/440792699_mediumblue,Mid-Rise Printed Bermudas with Insert Pockets,mediumblue,https://assets.ajio.com/medias/sys_master/root/hf6/hfb/10481197056030/teamspirit_blue_bermudas_mid-rise_printed_bermudas_with_insert_pockets.jpg,True,AJIO,popular
2,www.ajio.com/teamspirit-core-drawstring-shorts-with-side-pockets/p/441031717_darkgrey,Core Drawstring Shorts with Side Pockets,darkgrey,https://assets.ajio.com/medias/sys_master/root/hb8/ha9/15292792438814/teamspirit_charcoal_grey_shorts_core_drawstring_shorts_with_side_pockets.jpg,True,AJIO,popular
3,www.ajio.com/teamspirit-shorts-with-side-pockets/p/441031717_navy,Shorts with Side Pockets,navy,https://assets.ajio.com/medias/sys_master/root/h95/h69/15507013795870/teamspirit_navy_blue_shorts_shorts_with_side_pockets.jpg,True,AJIO,popular
4,www.ajio.com/dnmx-shorts-with-elasticated-waist/p/441000455_charcoal,Shorts with Elasticated Waist,charcoal,https://assets.ajio.com/medias/sys_master/root/h2f/h13/13544219738142/dnmx_charcoal_black_city_shorts_shorts_with_elasticated_waist.jpg,True,AJIO,popular
5,www.ajio.com/performax-mid-rise-shorts-with-insert-pockets/p/440971874_teal,Mid-Rise Shorts with Insert Pockets,teal,https://assets.ajio.com/medias/sys_master/root/hf8/h9e/13989552652318/performax_teal_blue_city_shorts_mid-rise_shorts_with_insert_pockets.jpg,True,AJIO,popular
6,www.ajio.com/teamspirit-mid-rise-printed-bermudas-with-insert-pockets/p/440792699_greymelange,Mid-Rise Printed Bermudas with Insert Pockets,greymelange,https://assets.ajio.com/medias/sys_master/root/h71/h51/10481117560862/teamspirit_grey_melange_bermudas_mid-rise_printed_bermudas_with_insert_pockets.jpg,True,AJIO,popular
7,www.ajio.com/dnmx-shorts-with-elasticated-waist/p/441000455_khaki,Shorts with Elasticated Waist,khaki,https://assets.ajio.com/medias/sys_master/root/haa/he3/13541973229598/dnmx_khaki_city_shorts_shorts_with_elasticated_waist.jpg,True,AJIO,popular
8,www.ajio.com/teamspirit-drawstring-shorts-with-side-pockets/p/441031717_greymelange,Drawstring Shorts with Side Pockets,greymelange,https://assets.ajio.com/medias/sys_master/root/hdf/h22/15425685585950/teamspirit_grey_shorts_drawstring_shorts_with_side_pockets.jpg,True,AJIO,popular
9,www.ajio.com/performax-mid-rise-shorts-with-insert-pockets/p/440971874_jetblack,Mid-Rise Shorts with Insert Pockets,jetblack,https://assets.ajio.com/medias/sys_master/root/h8a/hba/14103576117278/performax_black_city_shorts_mid-rise_shorts_with_insert_pockets.jpg,True,AJIO,popular
10,www.ajio.com/teamspirit-slim-fit-shorts-with-elasticated-drawstrings-waist/p/441033343_maroon,Slim Fit Shorts with Elasticated Drawstrings Waist,maroon,https://assets.ajio.com/medias/sys_master/root/h21/h4b/15322419986462/teamspirit_maroon_stylised_slim_fit_shorts_with_elasticated_drawstrings_waist.jpg,True,AJIO,popular
11,www.ajio.com/performax-mid-rise-quickdry-shorts-with-insert-pockets/p/440672491_charcoal,Mid-Rise QuickDry Shorts with Insert Pockets,charcoal,https://assets.ajio.com/medias/sys_master/root/he9/hc3/9678409531422/performax_grey_city_shorts_mid-rise_quickdry_shorts_with_insert_pockets.jpg,True,AJIO,popular
12,www.ajio.com/performax-mid-rise-shorts-with-insert-pockets/p/440971874_darkgrey,Mid-Rise Shorts with Insert Pockets,darkgrey,https://assets.ajio.com/medias/sys_master/root/h4b/h91/14110016798750/performax_dark_grey_city_shorts_mid-rise_shorts_with_insert_pockets.jpg,True,AJIO,popular
13,www.ajio.com/teamspirit-mid-rise-printed-bermudas-with-insert-pockets/p/440792699_charcoal,Mid-Rise Printed Bermudas with Insert Pockets,charcoal,https://assets.ajio.com/medias/sys_master/root/h65/h54/10481204133918/teamspirit_charcoal_grey_bermudas_mid-rise_printed_bermudas_with_insert_pockets.jpg,True,AJIO,popular
14,www.ajio.com/ardeur-city-shorts-with-insert-pockets/p/461106192_blue,City Shorts with Insert Pockets,blue,https://assets.ajio.com/medias/sys_master/root/h11/h3f/16069000560670/ardeur_navy_bermudas_city_shorts_with_insert_pockets.jpg,True,AJIO,popular
15,www.ajio.com/dnmx-ditsy-print-walk-shorts/p/441025065_grey,DITSY Print Walk Shorts,grey,https://assets.ajio.com/medias/sys_master/root/h77/hfe/15138265333790/dnmx_grey_city_shorts_ditsy_print_walk_shorts.jpg,True,AJIO,popular
16,www.ajio.com/performax-core-mid-rise-shorts-with-elasticated-waist/p/440672491_teal,Core Mid-Rise Shorts with Elasticated Waist,teal,https://assets.ajio.com/medias/sys_master/root/hf1/hfe/14022830850078/performax_teal_city_shorts_core_mid-rise_shorts_with_elasticated_waist.jpg,True,AJIO,popular
17,www.ajio.com/dnmx-slim-fit-flat-front-shorts/p/441025066_mint,Slim Fit Flat-Front Shorts,mint,https://assets.ajio.com/medias/sys_master/root/he3/he0/15202776547358/dnmx_mint_green_city_shorts_slim_fit_flat-front_shorts.jpg,True,AJIO,popular
18,www.ajio.com/dnmx-camo-print-slim-fit-cargo-shorts/p/441025071_grey,Camo Print Slim Fit Cargo Shorts,grey,https://assets.ajio.com/medias/sys_master/root/h6f/h71/15550203101214/dnmx_grey_cargo_shorts_camo_print_slim_fit_cargo_shorts.jpg,True,AJIO,popular
19,www.ajio.com/dnmx-slim-fit-flat-front-shorts/p/441025066_blue,Slim Fit Flat-Front Shorts,blue,https://assets.ajio.com/medias/sys_master/root/h6d/ha5/15210157211678/dnmx_blue_city_shorts_slim_fit_flat-front_shorts.jpg,True,AJIO,popular
20,www.ajio.com/dnmx-slim-fit-cargo-shorts/p/441025067_green,Slim Fit Cargo Shorts,green,https://assets.ajio.com/medias/sys_master/root/h7e/h85/15680184746014/dnmx_green_cargo_shorts_slim_fit_cargo_shorts.jpg,False,AJIO,popular
21,www.ajio.com/dnmx-micro-print-walk-shorts-with-insert-pockets/p/441025070_green,Micro Print Walk Shorts with Insert Pockets,green,https://assets.ajio.com/medias/sys_master/root/h63/hf6/15371781308446/dnmx_green_city_shorts_micro_print_walk_shorts_with_insert_pockets.jpg,False,AJIO,popular
22,www.ajio.com/performax-mid-rise-shorts-with-insert-pockets/p/440971874_navy,Mid-Rise Shorts with Insert Pockets,navy,https://assets.ajio.com/medias/sys_master/root/h64/h2c/13987571564574/performax_navy_blue_city_shorts_mid-rise_shorts_with_insert_pockets.jpg,False,AJIO,popular
23,www.ajio.com/teamspirit-panelled-shorts-with-zip-pockets/p/441034843_navy,Panelled Shorts with Zip Pockets,navy,https://assets.ajio.com/medias/sys_master/root/h21/hbe/15479044898846/teamspirit_navy_blue_shorts_panelled_shorts_with_zip_pockets.jpg,False,AJIO,popular
24,www.ajio.com/teamspirit-textured-slim-fit-shorts-with-elasticated-drawstring-waist/p/441033343_charcoal,Textured Slim Fit Shorts with Elasticated Drawstring Waist,charcoal,https://assets.ajio.com/medias/sys_master/root/h1f/hdc/15097306152990/teamspirit_grey_stylised_textured_slim_fit_shorts_with_elasticated_drawstring_waist.jpg,False,AJIO,popular
25,www.ajio.com/dnmx-ditsy-print-flat-front-slim-fit-shorts/p/441025072_navy,Ditsy Print Flat-Front Slim Fit Shorts,navy,https://assets.ajio.com/medias/sys_master/root/hb8/h27/15025006182430/dnmx_navy_blue_city_shorts_ditsy_print_flat-front_slim_fit_shorts.jpg,False,AJIO,popular
26,www.ajio.com/dnmx-slim-fit-cargo-shorts/p/441025067_khaki,Slim Fit Cargo Shorts,khaki,https://assets.ajio.com/medias/sys_master/root/hf2/hcd/15491171090462/dnmx_khaki_cargo_shorts_slim_fit_cargo_shorts.jpg,False,AJIO,popular
27,www.ajio.com/teamspirit-slim-fit-shorts-with-elasticated-drawstring-waistband/p/441033343_black,Slim Fit Shorts with Elasticated Drawstring Waistband,black,https://assets.ajio.com/medias/sys_master/root/h7b/h2d/15130230292510/teamspirit_black_stylised_slim_fit_shorts_with_elasticated_drawstring_waistband.jpg,False,AJIO,popular
28,www.ajio.com/netplay-checked-shorts-with-insert-pocket/p/441025510_red,Checked Shorts with Insert Pocket,red,https://assets.ajio.com/medias/sys_master/root/h21/h55/15368105066526/netplay_red_bermudas_checked_shorts_with_insert_pocket.jpg,False,AJIO,popular
29,www.ajio.com/performax-mid-rise-quickdry-shorts-with-insert-pockets/p/440672491_navy,Mid-Rise QuickDry Shorts with Insert Pockets,navy,https://assets.ajio.com/medias/sys_master/root/h45/hf6/9680893739038/performax_navy_blue_city_shorts_mid-rise_quickdry_shorts_with_insert_pockets.jpg,False,AJIO,popular
30,www.ajio.com/dnmx-slim-fit-flat-front-shorts/p/441025066_pink,Slim Fit Flat-Front Shorts,pink,https://assets.ajio.com/medias/sys_master/root/h72/h43/15210135257118/dnmx_pink_city_shorts_slim_fit_flat-front_shorts.jpg,False,AJIO,popular
31,www.ajio.com/dnmx-camo-print-slim-fit-cargo-shorts/p/441025071_blue,Camo Print Slim Fit Cargo Shorts,blue,https://assets.ajio.com/medias/sys_master/root/h4b/h7e/15479040311326/dnmx_blue_cargo_shorts_camo_print_slim_fit_cargo_shorts.jpg,False,AJIO,popular
32,www.ajio.com/netplay-checked-mid-rise-shorts/p/440943782_blue,Checked Mid-Rise Shorts,blue,https://assets.ajio.com/medias/sys_master/root/h1a/hc1/13009800527902/netplay_blue_bermudas_checked_mid-rise_shorts.jpg,False,AJIO,popular
33,www.ajio.com/dnmx-slim-fit-cargo-shorts-with-button-closure/p/441036596_beige,Slim Fit Cargo Shorts with Button Closure,beige,https://assets.ajio.com/medias/sys_master/root/hcd/h8a/15478944497694/dnmx_grey_cargo_shorts_slim_fit_cargo_shorts_with_button_closure.jpg,False,AJIO,popular
34,www.ajio.com/dnmx-mid-rise-heavily-washed-denim-shorts-with-elasticated-drawstring-waist/p/441033893_mediumblue,Mid-Rise Heavily Washed Denim Shorts with Elasticated Drawstring Waist,mediumblue,https://assets.ajio.com/medias/sys_master/root/hb3/hfb/15439000567838/dnmx_blue_city_shorts_mid-rise_heavily_washed_denim_shorts_with_elasticated_drawstring_waist.jpg,False,AJIO,popular
35,www.ajio.com/superdry-mid-rise-shorts-with-elasticated-drawstring-waist/p/410256237_02a,Mid-Rise Shorts with Elasticated Drawstring Waist,02a,https://assets.ajio.com/medias/sys_master/root/h5a/h96/15704499159070/superdry_black_stylised_mid-rise_shorts_with_elasticated_drawstring_waist.jpg,False,AJIO,popular
36,www.ajio.com/netplay-checked-bermudas-with-insert-pockets/p/441025509_grey,Checked Bermudas with Insert Pockets,grey,https://assets.ajio.com/medias/sys_master/root/h29/hc2/15697720475678/netplay_grey_bermudas_checked_bermudas_with_insert_pockets.jpg,False,AJIO,popular
37,www.ajio.com/dnmx-mid-wash-slim-fit-denim-shorts/p/441033891_darkblue,Mid-Wash Slim Fit Denim Shorts,darkblue,https://assets.ajio.com/medias/sys_master/root/hd9/h51/15478929850398/dnmx_blue_city_shorts_mid-wash_slim_fit_denim_shorts.jpg,False,AJIO,popular
38,www.ajio.com/dnmx-mid-rise-flat-front-walk-shorts/p/441009746_khaki,Mid-Rise Flat-Front Walk Shorts,khaki,https://assets.ajio.com/medias/sys_master/root/h65/hbf/14535154991134/dnmx_khaki_shorts_mid-rise_flat-front_walk_shorts.jpg,False,AJIO,popular
39,www.ajio.com/teamspirit-colourblock-shorts-with-mesh-panel/p/441034851_white,Colourblock Shorts with Mesh Panel,white,https://assets.ajio.com/medias/sys_master/root/h31/h98/15408907288606/teamspirit_white_&_red_city_shorts_colourblock_shorts_with_mesh_panel.jpg,False,AJIO,popular
40,www.ajio.com/teamspirit-typographic-print-shorts/p/441034852_grey,Typographic Print Shorts,grey,https://assets.ajio.com/medias/sys_master/root/hae/h38/15506787041310/teamspirit_grey_city_shorts_typographic_print_shorts.jpg,False,AJIO,popular
41,www.ajio.com/dnmx-micro-print-walk-shorts-with-insert-pockets/p/441025070_grey,Micro Print Walk Shorts with Insert Pockets,grey,https://assets.ajio.com/medias/sys_master/root/hf9/h00/15367615741982/dnmx_grey_city_shorts_micro_print_walk_shorts_with_insert_pockets.jpg,False,AJIO,popular
42,www.ajio.com/levis-502-tapered-fit-denim-shorts/p/460399185_blue,502 Tapered Fit Denim Shorts,blue,https://assets.ajio.com/medias/sys_master/root/h39/hd2/14111416254494/levis_blue_stylised_502_tapered_fit_denim_shorts.jpg,False,AJIO,popular
