,PAGE_URL_COMPLETE,name,color,imageUrl,Trending,Site,Category
0,www.asos.com/usasos-design/asos-design-organic-muscle-fit-t-shirt-with-crew-neck-in-black/prd/12760766?colourwayid=16459493,ASOS DESIGN organic muscle fit t-shirt with crew neck in black,black,images.asos-media.com/products/asos-design-organic-muscle-fit-t-shirt-with-crew-neck-in-black/12760766-1-black,True,ASOS,popular
1,www.asos.com/usasos-design/asos-design-t-shirt-with-crew-neck-and-roll-sleeve-in-white/prd/12880389?colourwayid=16445242,ASOS DESIGN t-shirt with crew neck and roll sleeve in white,white,images.asos-media.com/products/asos-design-t-shirt-with-crew-neck-and-roll-sleeve-in-white/12880389-1-white,True,ASOS,popular
2,www.asos.com/usasos-design/asos-design-organic-t-shirt-with-crew-neck-in-black/prd/13112617?colourwayid=16464618,ASOS DESIGN organic t-shirt with crew neck in black,black,images.asos-media.com/products/asos-design-organic-t-shirt-with-crew-neck-in-black/13112617-1-black,True,ASOS,popular
3,www.asos.com/ustopman/topman-oversized-t-shirt-in-white/prd/20645224?colourwayid=60075720,Topman oversized t-shirt in white,white,images.asos-media.com/products/topman-oversized-t-shirt-in-white/20645224-1-white,True,ASOS,popular
4,www.asos.com/ussiksilk/siksilk-pinstripe-baseball-t-shirt-in-white-and-blue/prd/21258647?colourwayid=60151343,SikSilk pinstripe baseball t-shirt in white and blue,blue,images.asos-media.com/products/siksilk-pinstripe-baseball-t-shirt-in-white-and-blue/21258647-1-multi,False,ASOS,popular
5,www.asos.com/ussiksilk/siksilk-core-gym-long-sleeve-t-shirt-in-gray/prd/21259013?colourwayid=60151397,SikSilk core gym long sleeve t-shirt in gray,Error,images.asos-media.com/products/siksilk-core-gym-long-sleeve-t-shirt-in-gray/21259013-1-grey,False,ASOS,popular
6,www.asos.com/usnew-look/new-look-nyc-chest-print-t-shirt-in-gray/prd/20101122?colourwayid=60008694,New Look NYC chest print t-shirt in gray,Error,images.asos-media.com/products/new-look-nyc-chest-print-t-shirt-in-gray/20101122-1-grey,False,ASOS,popular
7,www.asos.com/ussiksilk/siksilk-eyelet-mesh-basketball-tank-in-navy/prd/21258561?colourwayid=60151360,SikSilk eyelet mesh basketball tank in navy,Error,images.asos-media.com/products/siksilk-eyelet-mesh-basketball-tank-in-navy/21258561-1-navy,False,ASOS,popular
8,www.asos.com/usasos-design/asos-design-t-shirt-with-bonjour-print/prd/20036389?colourwayid=60003173,ASOS DESIGN t-shirt with bonjour print,Error,images.asos-media.com/products/asos-design-t-shirt-with-bonjour-print/20036389-1-white,True,ASOS,popular
9,www.asos.com/usasos-design/asos-design-t-shirt-with-city-skyline-drawing/prd/12998826?colourwayid=16463739,ASOS DESIGN t-shirt with city skyline drawing,Error,images.asos-media.com/products/asos-design-t-shirt-with-city-skyline-drawing/12998826-1-black,True,ASOS,popular
