,code,couponStatus,fnlColorVariantData,images,fnlProductData,discountPercent,price,wasPriceData,name,volumePricesFlag,url,productSizeData,PAGE_URL_COMPLETE
0,440993462007,Coupon Applicable,"{'brandName': 'W', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5efe332b481085a2e269d74a/-286Wx359H-440993462-white-MODEL.jpg', 'allPromotions': False, 'colorGroup': '440993462_white', 'sizeFlag': False}","[{'altText': 'W White Classic Floral Print Flared Top', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5efe332b481085a2e269d752/w_white_classic_floral_print_flared_top.jpg'}, {'altText': 'W White Classic Floral Print Flared Top', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5efe332b481085a2e269d74c/w_white_classic_floral_print_flared_top.jpg'}, {'altText': 'W White Classic Floral Print Flared Top', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5efe332b481085a2e269d74a/w_white_classic_floral_print_flared_top.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",40% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,019.00', 'displayformattedValue': 'Rs. 1,019', 'value': 1019}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,699.00', 'displayformattedValue': 'Rs. 1,699', 'value': 1699}",Floral Print Flared Top,False,/w-floral-print-flared-top/p/440993462_white,,trends.ajio.com/w-floral-print-flared-top/p/440993462_white
1,440993464003,Coupon Applicable,"{'brandName': 'W', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5efe29197cdb8c721b770b8e/-286Wx359H-440993464-green-MODEL.jpg', 'allPromotions': False, 'colorGroup': '440993464_green', 'sizeFlag': False}","[{'altText': 'W Green Classic Crinkled Flared Top with Embroidery', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5efe29197cdb8c721b770baa/w_green_classic_crinkled_flared_top_with_embroidery.jpg'}, {'altText': 'W Green Classic Crinkled Flared Top with Embroidery', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5efe29197cdb8c721b770b93/w_green_classic_crinkled_flared_top_with_embroidery.jpg'}, {'altText': 'W Green Classic Crinkled Flared Top with Embroidery', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5efe29197cdb8c721b770b8e/w_green_classic_crinkled_flared_top_with_embroidery.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",40% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,199.00', 'displayformattedValue': 'Rs. 1,199', 'value': 1199}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,999.00', 'displayformattedValue': 'Rs. 1,999', 'value': 1999}",Crinkled Flared Top with Embroidery,False,/w-crinkled-flared-top-with-embroidery/p/440993464_green,,trends.ajio.com/w-crinkled-flared-top-with-embroidery/p/440993464_green
2,440993465001,Coupon Applicable,"{'brandName': 'W', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5efe29197cdb8c721b770b91/-286Wx359H-440993465-green-MODEL.jpg', 'allPromotions': False, 'colorGroup': '440993465_green', 'sizeFlag': False}","[{'altText': 'W Green Classic Intarsia Knitted Flared Top with Bell Sleeves', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5efe29197cdb8c721b770ba7/w_green_classic_intarsia_knitted_flared_top_with_bell_sleeves.jpg'}, {'altText': 'W Green Classic Intarsia Knitted Flared Top with Bell Sleeves', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5efe29197cdb8c721b770b95/w_green_classic_intarsia_knitted_flared_top_with_bell_sleeves.jpg'}, {'altText': 'W Green Classic Intarsia Knitted Flared Top with Bell Sleeves', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5efe29197cdb8c721b770b91/w_green_classic_intarsia_knitted_flared_top_with_bell_sleeves.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",40% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,139.00', 'displayformattedValue': 'Rs. 1,139', 'value': 1139}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,899.00', 'displayformattedValue': 'Rs. 1,899', 'value': 1899}",Intarsia Knitted Flared Top with Bell Sleeves,False,/w-intarsia-knitted-flared-top-with-bell-sleeves/p/440993465_green,,trends.ajio.com/w-intarsia-knitted-flared-top-with-bell-sleeves/p/440993465_green
3,440993471007,Coupon Applicable,"{'brandName': 'W', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5efe2915481085a2e269adba/-286Wx359H-440993471-blue-MODEL.jpg', 'allPromotions': False, 'colorGroup': '440993471_blue', 'sizeFlag': False}","[{'altText': 'W Blue Classic Printed Button-Down Top', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5efe2916481085a2e269add4/w_blue_classic_printed_button-down_top.jpg'}, {'altText': 'W Blue Classic Printed Button-Down Top', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5efe2915481085a2e269adc0/w_blue_classic_printed_button-down_top.jpg'}, {'altText': 'W Blue Classic Printed Button-Down Top', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5efe2915481085a2e269adba/w_blue_classic_printed_button-down_top.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",40% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,019.00', 'displayformattedValue': 'Rs. 1,019', 'value': 1019}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,699.00', 'displayformattedValue': 'Rs. 1,699', 'value': 1699}",Printed Button-Down Top,False,/w-printed-button-down-top/p/440993471_blue,,trends.ajio.com/w-printed-button-down-top/p/440993471_blue
4,440993472001,Coupon Applicable,"{'brandName': 'W', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5efe2913aeb269317582cfc2/-286Wx359H-440993472-pink-MODEL.jpg', 'allPromotions': False, 'colorGroup': '440993472_pink', 'sizeFlag': False}","[{'altText': 'W Pink Classic Crinkled Top with Contrast Panels', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5efe2913aeb269317582cfc7/w_pink_classic_crinkled_top_with_contrast_panels.jpg'}, {'altText': 'W Pink Classic Crinkled Top with Contrast Panels', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5efe2913aeb269317582cfc3/w_pink_classic_crinkled_top_with_contrast_panels.jpg'}, {'altText': 'W Pink Classic Crinkled Top with Contrast Panels', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5efe2913aeb269317582cfc2/w_pink_classic_crinkled_top_with_contrast_panels.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",40% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,199.00', 'displayformattedValue': 'Rs. 1,199', 'value': 1199}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,999.00', 'displayformattedValue': 'Rs. 1,999', 'value': 1999}",Crinkled Top with Contrast Panels,False,/w-crinkled-top-with-contrast-panels/p/440993472_pink,,trends.ajio.com/w-crinkled-top-with-contrast-panels/p/440993472_pink
5,440993475007,Coupon Applicable,"{'brandName': 'W', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5efe385a481085a2e269ec5c/-286Wx359H-440993475-blue-MODEL.jpg', 'allPromotions': False, 'colorGroup': '440993475_blue', 'sizeFlag': False}","[{'altText': 'W Blue Classic Embroidered Top with Tie-Up Neckline', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5efe385a481085a2e269ec6c/w_blue_classic_embroidered_top_with_tie-up_neckline.jpg'}, {'altText': 'W Blue Classic Embroidered Top with Tie-Up Neckline', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5efe385a481085a2e269ec5f/w_blue_classic_embroidered_top_with_tie-up_neckline.jpg'}, {'altText': 'W Blue Classic Embroidered Top with Tie-Up Neckline', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5efe385a481085a2e269ec5c/w_blue_classic_embroidered_top_with_tie-up_neckline.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",40% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,499.00', 'displayformattedValue': 'Rs. 1,499', 'value': 1499}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 2,499.00', 'displayformattedValue': 'Rs. 2,499', 'value': 2499}",Embroidered Top with Tie-Up Neckline,False,/w-embroidered-top-with-tie-up-neckline/p/440993475_blue,,trends.ajio.com/w-embroidered-top-with-tie-up-neckline/p/440993475_blue
6,440993477006,Coupon Applicable,"{'brandName': 'W', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5efe29d47cdb8c721b770f09/-286Wx359H-440993477-white-MODEL.jpg', 'allPromotions': False, 'colorGroup': '440993477_white', 'sizeFlag': False}","[{'altText': 'W White Tunics Printed Button-Down Tunic with Band Collar', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5efe29d47cdb8c721b770f0e/w_white_tunics_printed_button-down_tunic_with_band_collar.jpg'}, {'altText': 'W White Tunics Printed Button-Down Tunic with Band Collar', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5efe29d47cdb8c721b770f0a/w_white_tunics_printed_button-down_tunic_with_band_collar.jpg'}, {'altText': 'W White Tunics Printed Button-Down Tunic with Band Collar', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5efe29d47cdb8c721b770f09/w_white_tunics_printed_button-down_tunic_with_band_collar.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",40% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 899.00', 'displayformattedValue': 'Rs. 899', 'value': 899}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,499.00', 'displayformattedValue': 'Rs. 1,499', 'value': 1499}",Printed Button-Down Tunic with Band Collar,False,/w-printed-button-down-tunic-with-band-collar/p/440993477_white,,trends.ajio.com/w-printed-button-down-tunic-with-band-collar/p/440993477_white
7,440676684011,Coupon Applicable,"{'brandName': 'HUSHH', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5ef382d6481085a2e264be56/-286Wx359H-440676684-blue-MODEL.jpg', 'allPromotions': False, 'colorGroup': '440676684_blue', 'sizeFlag': False}","[{'altText': 'HUSHH Blue Tunics Printed Tunic with Band Collar', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5ef382d6481085a2e264be75/hushh_blue_tunics_printed_tunic_with_band_collar.jpg'}, {'altText': 'HUSHH Blue Tunics Printed Tunic with Band Collar', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5ef382d6481085a2e264be5c/hushh_blue_tunics_printed_tunic_with_band_collar.jpg'}, {'altText': 'HUSHH Blue Tunics Printed Tunic with Band Collar', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5ef382d6481085a2e264be56/hushh_blue_tunics_printed_tunic_with_band_collar.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",55% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 225.00', 'displayformattedValue': 'Rs. 225', 'value': 225}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 499.00', 'displayformattedValue': 'Rs. 499', 'value': 499}",Printed Tunic with Band Collar,False,/hushh-printed-tunic-with-band-collar/p/440676684_blue,"{'sizeVariants': ['S', 'M', 'L', 'XL']}",trends.ajio.com/hushh-printed-tunic-with-band-collar/p/440676684_blue
8,440858221010,Coupon Applicable,"{'brandName': 'MADAME', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5ef363e6f997dd433b4307c7/-286Wx359H-440858221-peach-MODEL.jpg', 'allPromotions': False, 'colorGroup': '440858221_peach', 'sizeFlag': False}","[{'altText': 'MADAME Pink Tunics Floral High-Low Tunic with Shoulder Cut-Outs', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5ef363e6f997dd433b4307de/madame_pink_tunics_floral_high-low_tunic_with_shoulder_cut-outs.jpg'}, {'altText': 'MADAME Pink Tunics Floral High-Low Tunic with Shoulder Cut-Outs', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5ef363e6f997dd433b4307ca/madame_pink_tunics_floral_high-low_tunic_with_shoulder_cut-outs.jpg'}, {'altText': 'MADAME Pink Tunics Floral High-Low Tunic with Shoulder Cut-Outs', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5ef363e6f997dd433b4307c7/madame_pink_tunics_floral_high-low_tunic_with_shoulder_cut-outs.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",60% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 600.00', 'displayformattedValue': 'Rs. 600', 'value': 600}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,499.00', 'displayformattedValue': 'Rs. 1,499', 'value': 1499}",Floral High-Low Tunic with Shoulder Cut-Outs,False,/madame-floral-high-low-tunic-with-shoulder-cut-outs/p/440858221_peach,"{'sizeVariants': ['S', 'M', 'L', 'XL', 'XXL']}",trends.ajio.com/madame-floral-high-low-tunic-with-shoulder-cut-outs/p/440858221_peach
9,440975062004,Coupon Applicable,"{'brandName': 'Rangriti', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5ef3605ef997dd433b42f7c7/-286Wx359H-440975062-pink-MODEL.jpg', 'allPromotions': False, 'colorGroup': '440975062_pink', 'sizeFlag': False}","[{'altText': 'Rangriti Pink Tunics Woven Top with Bell Sleeves', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5ef3605ef997dd433b42f7cc/rangriti_pink_tunics_woven_top_with_bell_sleeves.jpg'}, {'altText': 'Rangriti Pink Tunics Woven Top with Bell Sleeves', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5ef3605ef997dd433b42f7c8/rangriti_pink_tunics_woven_top_with_bell_sleeves.jpg'}, {'altText': 'Rangriti Pink Tunics Woven Top with Bell Sleeves', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5ef3605ef997dd433b42f7c7/rangriti_pink_tunics_woven_top_with_bell_sleeves.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 799.00', 'displayformattedValue': 'Rs. 799', 'value': 799}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 799.00', 'displayformattedValue': 'Rs. 799', 'value': 799}",Woven Top with Bell Sleeves,False,/rangriti-woven-top-with-bell-sleeves/p/440975062_pink,"{'sizeVariants': ['S', 'L', 'XL']}",trends.ajio.com/rangriti-woven-top-with-bell-sleeves/p/440975062_pink
