,code,couponStatus,fnlColorVariantData,images,fnlProductData,discountPercent,price,wasPriceData,name,volumePricesFlag,url,productSizeData,PAGE_URL_COMPLETE
0,441025080007,Coupon Applicable,"{'brandName': 'DNMX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/hb6/h17/15063928930334/-286Wx359H-441025080-teal-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441025080_teal', 'sizeFlag': False}","[{'altText': 'DNMX Teal Blue Flat front Flat-Front Joggers with Insert Pockets', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h37/h11/15063929323550/dnmx_teal_blue_flat_front_flat-front_joggers_with_insert_pockets.jpg'}, {'altText': 'DNMX Teal Blue Flat front Flat-Front Joggers with Insert Pockets', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h70/h4a/15063934042142/dnmx_teal_blue_flat_front_flat-front_joggers_with_insert_pockets.jpg'}, {'altText': 'DNMX Teal Blue Flat front Flat-Front Joggers with Insert Pockets', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hb6/h17/15063928930334/dnmx_teal_blue_flat_front_flat-front_joggers_with_insert_pockets.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",40% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 599.00', 'displayformattedValue': 'Rs. 599', 'value': 599}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 999.00', 'displayformattedValue': 'Rs. 999', 'value': 999}",Flat-Front Joggers with Insert Pockets,False,/dnmx-flat-front-joggers-with-insert-pockets/p/441025080_teal,"{'sizeVariants': ['28', '30', '32', '34', '38']}",trends.ajio.com/dnmx-flat-front-joggers-with-insert-pockets/p/441025080_teal
1,440717974052,Coupon Applicable,"{'brandName': 'NETPLAY', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h80/h79/10267308261406/-286Wx359H-440717974-black-OUTFIT.jpg', 'allPromotions': False, 'colorGroup': '440717974_black', 'sizeFlag': False}","[{'altText': 'NETPLAY Black Chinos Slim Fit Mid-Rise Chinos', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h79/h02/10267307016222/netplay_black_chinos_slim_fit_mid-rise_chinos.jpg'}, {'altText': 'NETPLAY Black Chinos Slim Fit Mid-Rise Chinos', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h25/h91/10267307802654/netplay_black_chinos_slim_fit_mid-rise_chinos.jpg'}, {'altText': 'NETPLAY Black Chinos Slim Fit Mid-Rise Chinos', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h74/h7a/10267306950686/netplay_black_chinos_slim_fit_mid-rise_chinos.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",30% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 699.00', 'displayformattedValue': 'Rs. 699', 'value': 699}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 999.00', 'displayformattedValue': 'Rs. 999', 'value': 999}",Slim Fit Mid-Rise Chinos,False,/netplay-slim-fit-mid-rise-chinos/p/440717974_black,"{'sizeVariants': ['30', '32', '34', '36', '38']}",trends.ajio.com/netplay-slim-fit-mid-rise-chinos/p/440717974_black
2,441025086006,Coupon Applicable,"{'brandName': 'NETPLAY', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h46/h94/14710745071646/-286Wx359H-441025086-green-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441025086_green', 'sizeFlag': False}","[{'altText': 'NETPLAY Light Green Flat front Mid-Rise Flat-Front Trousers', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hc5/h62/14710745858078/netplay_light_green_flat_front_mid-rise_flat-front_trousers.jpg'}, {'altText': 'NETPLAY Light Green Flat front Mid-Rise Flat-Front Trousers', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h9a/hf3/14710753198110/netplay_light_green_flat_front_mid-rise_flat-front_trousers.jpg'}, {'altText': 'NETPLAY Light Green Flat front Mid-Rise Flat-Front Trousers', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h46/h94/14710745071646/netplay_light_green_flat_front_mid-rise_flat-front_trousers.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",40% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 899.00', 'displayformattedValue': 'Rs. 899', 'value': 899}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,499.00', 'displayformattedValue': 'Rs. 1,499', 'value': 1499}",Mid-Rise Flat-Front Trousers,False,/netplay-mid-rise-flat-front-trousers/p/441025086_green,"{'sizeVariants': ['28', '30', '32', '34', '36']}",trends.ajio.com/netplay-mid-rise-flat-front-trousers/p/441025086_green
3,441018492015,Coupon Applicable,"{'brandName': 'NETPLAY', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h18/hcb/14184305557534/-286Wx359H-441018492-green-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441018492_green', 'sizeFlag': False}","[{'altText': 'NETPLAY Green Chinos Flat-Front Cropped Chinos with Belt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h3c/hef/14184306311198/netplay_green_chinos_flat-front_cropped_chinos_with_belt.jpg'}, {'altText': 'NETPLAY Green Chinos Flat-Front Cropped Chinos with Belt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h4d/h7a/14184313225246/netplay_green_chinos_flat-front_cropped_chinos_with_belt.jpg'}, {'altText': 'NETPLAY Green Chinos Flat-Front Cropped Chinos with Belt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h18/hcb/14184305557534/netplay_green_chinos_flat-front_cropped_chinos_with_belt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",50% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 750.00', 'displayformattedValue': 'Rs. 750', 'value': 750}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,499.00', 'displayformattedValue': 'Rs. 1,499', 'value': 1499}",Flat-Front Cropped Chinos with Belt,False,/netplay-flat-front-cropped-chinos-with-belt/p/441018492_green,"{'sizeVariants': ['32', '34', '36']}",trends.ajio.com/netplay-flat-front-cropped-chinos-with-belt/p/441018492_green
4,441025077005,Coupon Applicable,"{'brandName': 'DNMX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/ha9/hc4/15138390573086/-286Wx359H-441025077-olive-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441025077_olive', 'sizeFlag': False}","[{'altText': 'DNMX Olive Green Flat front Ankle-Length Joggers with Insert Pockets', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h64/h12/15138391228446/dnmx_olive_green_flat_front_ankle-length_joggers_with_insert_pockets.jpg'}, {'altText': 'DNMX Olive Green Flat front Ankle-Length Joggers with Insert Pockets', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/he4/hf5/15138399223838/dnmx_olive_green_flat_front_ankle-length_joggers_with_insert_pockets.jpg'}, {'altText': 'DNMX Olive Green Flat front Ankle-Length Joggers with Insert Pockets', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ha9/hc4/15138390573086/dnmx_olive_green_flat_front_ankle-length_joggers_with_insert_pockets.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",30% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 699.00', 'displayformattedValue': 'Rs. 699', 'value': 699}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 999.00', 'displayformattedValue': 'Rs. 999', 'value': 999}",Ankle-Length Joggers with Insert Pockets,False,/dnmx-ankle-length-joggers-with-insert-pockets/p/441025077_olive,"{'sizeVariants': ['30', '36']}",trends.ajio.com/dnmx-ankle-length-joggers-with-insert-pockets/p/441025077_olive
5,441025080006,Coupon Applicable,"{'brandName': 'DNMX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/he3/hee/15071444074526/-286Wx359H-441025080-burgandy-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441025080_burgandy', 'sizeFlag': False}","[{'altText': 'DNMX Beige Flat front Flat-Front Joggers with Insert Pockets', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h40/h24/15071444533278/dnmx_beige_flat_front_flat-front_joggers_with_insert_pockets.jpg'}, {'altText': 'DNMX Beige Flat front Flat-Front Joggers with Insert Pockets', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h48/hd1/15071449972766/dnmx_beige_flat_front_flat-front_joggers_with_insert_pockets.jpg'}, {'altText': 'DNMX Beige Flat front Flat-Front Joggers with Insert Pockets', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/he3/hee/15071444074526/dnmx_beige_flat_front_flat-front_joggers_with_insert_pockets.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",40% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 599.00', 'displayformattedValue': 'Rs. 599', 'value': 599}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 999.00', 'displayformattedValue': 'Rs. 999', 'value': 999}",Flat-Front Joggers with Insert Pockets,False,/dnmx-flat-front-joggers-with-insert-pockets/p/441025080_burgandy,"{'sizeVariants': ['28', '30', '32', '34', '36', '38']}",trends.ajio.com/dnmx-flat-front-joggers-with-insert-pockets/p/441025080_burgandy
6,440717974001,Coupon Applicable,"{'brandName': 'NETPLAY', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h78/h99/10267390050334/-286Wx359H-440717974-navy-OUTFIT.jpg', 'allPromotions': False, 'colorGroup': '440717974_navy', 'sizeFlag': False}","[{'altText': 'NETPLAY Navy Blue Chinos Slim Fit Mid-Rise Chinos', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/he1/h93/10267388805150/netplay_navy_blue_chinos_slim_fit_mid-rise_chinos.jpg'}, {'altText': 'NETPLAY Navy Blue Chinos Slim Fit Mid-Rise Chinos', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h5f/he3/10267389591582/netplay_navy_blue_chinos_slim_fit_mid-rise_chinos.jpg'}, {'altText': 'NETPLAY Navy Blue Chinos Slim Fit Mid-Rise Chinos', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h45/h98/10267388739614/netplay_navy_blue_chinos_slim_fit_mid-rise_chinos.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",30% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 699.00', 'displayformattedValue': 'Rs. 699', 'value': 699}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 999.00', 'displayformattedValue': 'Rs. 999', 'value': 999}",Slim Fit Mid-Rise Chinos,False,/netplay-slim-fit-mid-rise-chinos/p/440717974_navy,"{'sizeVariants': ['30', '32', '34', '36', '38']}",trends.ajio.com/netplay-slim-fit-mid-rise-chinos/p/440717974_navy
7,441018491006,Coupon Applicable,"{'brandName': 'NETPLAY', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h72/he3/14988491227166/-286Wx359H-441018491-navy-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441018491_navy', 'sizeFlag': False}","[{'altText': 'NETPLAY Navy Blue Flat front Striped Trousers with Insert Pockets', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h5c/h2d/14988491718686/netplay_navy_blue_flat_front_striped_trousers_with_insert_pockets.jpg'}, {'altText': 'NETPLAY Navy Blue Flat front Striped Trousers with Insert Pockets', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hf5/h36/14988497256478/netplay_navy_blue_flat_front_striped_trousers_with_insert_pockets.jpg'}, {'altText': 'NETPLAY Navy Blue Flat front Striped Trousers with Insert Pockets', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h72/he3/14988491227166/netplay_navy_blue_flat_front_striped_trousers_with_insert_pockets.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",50% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 750.00', 'displayformattedValue': 'Rs. 750', 'value': 750}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,499.00', 'displayformattedValue': 'Rs. 1,499', 'value': 1499}",Striped Trousers with Insert Pockets,False,/netplay-striped-trousers-with-insert-pockets/p/441018491_navy,"{'sizeVariants': ['28', '30', '32', '34', '36']}",trends.ajio.com/netplay-striped-trousers-with-insert-pockets/p/441018491_navy
8,441018492010,Coupon Applicable,"{'brandName': 'NETPLAY', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h33/hac/14104024580126/-286Wx359H-441018492-darkgrey-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441018492_darkgrey', 'sizeFlag': False}","[{'altText': 'NETPLAY Grey Chinos Flat-Front Cropped Chinos with Belt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hb3/h69/14104024907806/netplay_grey_chinos_flat-front_cropped_chinos_with_belt.jpg'}, {'altText': 'NETPLAY Grey Chinos Flat-Front Cropped Chinos with Belt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h41/hfa/14104028184606/netplay_grey_chinos_flat-front_cropped_chinos_with_belt.jpg'}, {'altText': 'NETPLAY Grey Chinos Flat-Front Cropped Chinos with Belt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h33/hac/14104024580126/netplay_grey_chinos_flat-front_cropped_chinos_with_belt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",50% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 750.00', 'displayformattedValue': 'Rs. 750', 'value': 750}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,499.00', 'displayformattedValue': 'Rs. 1,499', 'value': 1499}",Flat-Front Cropped Chinos with Belt,False,/netplay-flat-front-cropped-chinos-with-belt/p/441018492_darkgrey,"{'sizeVariants': ['30', '34', '36']}",trends.ajio.com/netplay-flat-front-cropped-chinos-with-belt/p/441018492_darkgrey
9,441012242005,Coupon Applicable,"{'brandName': 'NETWORK', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h56/h40/14963255935006/-286Wx359H-441012242-blue-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441012242_blue', 'sizeFlag': False}","[{'altText': 'NETWORK Blue Flat front Ankle-Length Striped Slim Fit Trousers', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h38/h1f/14963256459294/network_blue_flat_front_ankle-length_striped_slim_fit_trousers.jpg'}, {'altText': 'NETWORK Blue Flat front Ankle-Length Striped Slim Fit Trousers', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h20/hda/14963260653598/network_blue_flat_front_ankle-length_striped_slim_fit_trousers.jpg'}, {'altText': 'NETWORK Blue Flat front Ankle-Length Striped Slim Fit Trousers', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h56/h40/14963255935006/network_blue_flat_front_ankle-length_striped_slim_fit_trousers.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",50% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 650.00', 'displayformattedValue': 'Rs. 650', 'value': 650}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,299.00', 'displayformattedValue': 'Rs. 1,299', 'value': 1299}",Ankle-Length Striped Slim Fit Trousers,False,/network-ankle-length-striped-slim-fit-trousers/p/441012242_blue,"{'sizeVariants': ['30', '32', '34', '38']}",trends.ajio.com/network-ankle-length-striped-slim-fit-trousers/p/441012242_blue
