,code,couponStatus,fnlColorVariantData,images,fnlProductData,discountPercent,price,wasPriceData,name,volumePricesFlag,url,productSizeData,PAGE_URL_COMPLETE
0,461110145003,Coupon Applicable,"{'brandName': 'Khushal K', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f0caf37aeb2693175868548/-286Wx359H-461110145-blue-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461110145_blue', 'sizeFlag': False}","[{'altText': 'Khushal K Blue Straight Floral Print Straight Kurta Set', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f0caf37aeb2693175868551/khushal_k_blue_straight_floral_print_straight_kurta_set.jpg'}, {'altText': 'Khushal K Blue Straight Floral Print Straight Kurta Set', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f0caf37aeb269317586854a/khushal_k_blue_straight_floral_print_straight_kurta_set.jpg'}, {'altText': 'Khushal K Blue Straight Floral Print Straight Kurta Set', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f0caf37aeb2693175868548/khushal_k_blue_straight_floral_print_straight_kurta_set.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL'}",50% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,575.00', 'displayformattedValue': 'Rs. 1,575', 'value': 1575}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 3,149.00', 'displayformattedValue': 'Rs. 3,149', 'value': 3149}",Floral Print Straight Kurta Set,False,/khushal-k-floral-print-straight-kurta-set/p/461110145_blue,"{'sizeVariants': ['S', 'M', 'L', 'XL', 'XXL']}",www.ajio.com/khushal-k-floral-print-straight-kurta-set/p/461110145_blue
1,440983097002,Coupon Applicable,"{'brandName': 'IMARA', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/20200725/p5Fj/5f1c4bbd7cdb8c2207858f2e/-286Wx359H-440983097-beige-MODEL.jpg', 'allPromotions': False, 'colorGroup': '440983097_beige', 'sizeFlag': False}","[{'altText': 'IMARA Beige A-line Embellished A-line Kurta with Pants & Dupatta', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200725/p5Fj/5f1c4bbe7cdb8c2207858f3b/imara_beige_a-line_embellished_a-line_kurta_with_pants_&_dupatta.jpg'}, {'altText': 'IMARA Beige A-line Embellished A-line Kurta with Pants & Dupatta', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200725/p5Fj/5f1c4bbe7cdb8c2207858f2f/imara_beige_a-line_embellished_a-line_kurta_with_pants_&_dupatta.jpg'}, {'altText': 'IMARA Beige A-line Embellished A-line Kurta with Pants & Dupatta', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200725/p5Fj/5f1c4bbd7cdb8c2207858f2e/imara_beige_a-line_embellished_a-line_kurta_with_pants_&_dupatta.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL', 'planningCategory': 'Clothing'}",,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 3,999.00', 'displayformattedValue': 'Rs. 3,999', 'value': 3999}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 3,999.00', 'displayformattedValue': 'Rs. 3,999', 'value': 3999}",Embellished A-line Kurta with Pants & Dupatta,False,/imara-embellished-a-line-kurta-with-pants--dupatta/p/440983097_beige,,www.ajio.com/imara-embellished-a-line-kurta-with-pants--dupatta/p/440983097_beige
2,461211570005,Coupon Applicable,"{'brandName': 'Indi inside', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/20200727/sDxM/5f1e86acf997ddfa532367cf/-286Wx359H-461211570-pink-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461211570_pink', 'sizeFlag': False}","[{'altText': 'Indi inside Pink Straight Embroidered Straight Kurta & Striped Palazzos Set', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200727/sDxM/5f1e86acf997ddfa532367d4/indi_inside_pink_straight_embroidered_straight_kurta_&_striped_palazzos_set.jpg'}, {'altText': 'Indi inside Pink Straight Embroidered Straight Kurta & Striped Palazzos Set', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200727/sDxM/5f1e86acf997ddfa532367d0/indi_inside_pink_straight_embroidered_straight_kurta_&_striped_palazzos_set.jpg'}, {'altText': 'Indi inside Pink Straight Embroidered Straight Kurta & Striped Palazzos Set', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/20200727/sDxM/5f1e86acf997ddfa532367cf/indi_inside_pink_straight_embroidered_straight_kurta_&_striped_palazzos_set.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL'}",20% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 2,239.00', 'displayformattedValue': 'Rs. 2,239', 'value': 2239}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 2,799.00', 'displayformattedValue': 'Rs. 2,799', 'value': 2799}",Embroidered Straight Kurta & Striped Palazzos Set,False,/indi-inside-embroidered-straight-kurta--striped-palazzos-set/p/461211570_pink,,www.ajio.com/indi-inside-embroidered-straight-kurta--striped-palazzos-set/p/461211570_pink
3,441045052004,Coupon Applicable,"{'brandName': 'IMARA', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f0f5b1ef997dd433b4e96ac/-286Wx359H-441045052-peach-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441045052_peach', 'sizeFlag': False}","[{'altText': 'IMARA Peach Flared Layered Flared Kurta with Pants', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f0f5b1ef997dd433b4e96be/imara_peach_flared_layered_flared_kurta_with_pants.jpg'}, {'altText': 'IMARA Peach Flared Layered Flared Kurta with Pants', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f0f5b1ef997dd433b4e96b0/imara_peach_flared_layered_flared_kurta_with_pants.jpg'}, {'altText': 'IMARA Peach Flared Layered Flared Kurta with Pants', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f0f5b1ef997dd433b4e96ac/imara_peach_flared_layered_flared_kurta_with_pants.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL', 'planningCategory': 'Clothing'}",,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 2,999.00', 'displayformattedValue': 'Rs. 2,999', 'value': 2999}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 2,999.00', 'displayformattedValue': 'Rs. 2,999', 'value': 2999}",Layered Flared Kurta with Pants,False,/imara-layered-flared-kurta-with-pants/p/441045052_peach,,www.ajio.com/imara-layered-flared-kurta-with-pants/p/441045052_peach
4,441045010002,Coupon Applicable,"{'brandName': 'IMARA', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f0f56347cdb8c721b7dd525/-286Wx359H-441045010-green-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441045010_green', 'sizeFlag': False}","[{'altText': 'IMARA Grey Straight Embroidered Straight Kurta with Pants & Dupatta', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f0f56347cdb8c721b7dd53b/imara_grey_straight_embroidered_straight_kurta_with_pants_&_dupatta.jpg'}, {'altText': 'IMARA Grey Straight Embroidered Straight Kurta with Pants & Dupatta', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f0f56347cdb8c721b7dd529/imara_grey_straight_embroidered_straight_kurta_with_pants_&_dupatta.jpg'}, {'altText': 'IMARA Grey Straight Embroidered Straight Kurta with Pants & Dupatta', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f0f56347cdb8c721b7dd525/imara_grey_straight_embroidered_straight_kurta_with_pants_&_dupatta.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL', 'planningCategory': 'Clothing'}",,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 4,899.00', 'displayformattedValue': 'Rs. 4,899', 'value': 4899}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 4,899.00', 'displayformattedValue': 'Rs. 4,899', 'value': 4899}",Embroidered Straight Kurta with Pants & Dupatta,False,/imara-embroidered-straight-kurta-with-pants--dupatta/p/441045010_green,,www.ajio.com/imara-embroidered-straight-kurta-with-pants--dupatta/p/441045010_green
5,441044994004,Coupon Applicable,"{'brandName': 'IMARA', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f0f5638f997dd433b4e784c/-286Wx359H-441044994-white-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441044994_white', 'sizeFlag': False}","[{'altText': 'IMARA White Flared Flared Kurta with Pants & Dupatta', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f0f5638f997dd433b4e785d/imara_white_flared_flared_kurta_with_pants_&_dupatta.jpg'}, {'altText': 'IMARA White Flared Flared Kurta with Pants & Dupatta', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f0f5638f997dd433b4e7850/imara_white_flared_flared_kurta_with_pants_&_dupatta.jpg'}, {'altText': 'IMARA White Flared Flared Kurta with Pants & Dupatta', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f0f5638f997dd433b4e784c/imara_white_flared_flared_kurta_with_pants_&_dupatta.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL', 'planningCategory': 'Clothing'}",,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 3,999.00', 'displayformattedValue': 'Rs. 3,999', 'value': 3999}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 3,999.00', 'displayformattedValue': 'Rs. 3,999', 'value': 3999}",Flared Kurta with Pants & Dupatta,False,/imara-flared-kurta-with-pants--dupatta/p/441044994_white,,www.ajio.com/imara-flared-kurta-with-pants--dupatta/p/441044994_white
6,441044931004,Coupon Applicable,"{'brandName': 'IMARA', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f0f4e847cdb8c721b7dab7e/-286Wx359H-441044931-mint-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441044931_mint', 'sizeFlag': False}","[{'altText': 'IMARA Blue Straight Straight Kurta with Pants & Dupattas', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f0f4e847cdb8c721b7dab84/imara_blue_straight_straight_kurta_with_pants_&_dupattas.jpg'}, {'altText': 'IMARA Blue Straight Straight Kurta with Pants & Dupattas', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f0f4e847cdb8c721b7dab7f/imara_blue_straight_straight_kurta_with_pants_&_dupattas.jpg'}, {'altText': 'IMARA Blue Straight Straight Kurta with Pants & Dupattas', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f0f4e847cdb8c721b7dab7e/imara_blue_straight_straight_kurta_with_pants_&_dupattas.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL', 'planningCategory': 'Clothing'}",,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 3,499.00', 'displayformattedValue': 'Rs. 3,499', 'value': 3499}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 3,499.00', 'displayformattedValue': 'Rs. 3,499', 'value': 3499}",Straight Kurta with Pants & Dupattas,False,/imara-straight-kurta-with-pants--dupattas/p/441044931_mint,,www.ajio.com/imara-straight-kurta-with-pants--dupattas/p/441044931_mint
7,441044930004,Coupon Applicable,"{'brandName': 'IMARA', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f0f59eff997dd433b4e8ed9/-286Wx359H-441044930-blue-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441044930_blue', 'sizeFlag': False}","[{'altText': 'IMARA Blue A-line A-line Kurta with Churidar & Dupatta', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f0f59eff997dd433b4e8edf/imara_blue_a-line_a-line_kurta_with_churidar_&_dupatta.jpg'}, {'altText': 'IMARA Blue A-line A-line Kurta with Churidar & Dupatta', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f0f59eff997dd433b4e8edb/imara_blue_a-line_a-line_kurta_with_churidar_&_dupatta.jpg'}, {'altText': 'IMARA Blue A-line A-line Kurta with Churidar & Dupatta', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f0f59eff997dd433b4e8ed9/imara_blue_a-line_a-line_kurta_with_churidar_&_dupatta.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL', 'planningCategory': 'Clothing'}",,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 3,999.00', 'displayformattedValue': 'Rs. 3,999', 'value': 3999}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 3,999.00', 'displayformattedValue': 'Rs. 3,999', 'value': 3999}",A-line Kurta with Churidar & Dupatta,False,/imara-a-line-kurta-with-churidar--dupatta/p/441044930_blue,,www.ajio.com/imara-a-line-kurta-with-churidar--dupatta/p/441044930_blue
8,441044926001,Coupon Applicable,"{'brandName': 'IMARA', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f0f4c987cdb8c721b7d9d5b/-286Wx359H-441044926-mint-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441044926_mint', 'sizeFlag': False}","[{'altText': 'IMARA Mint Green Flared Anarkali Kurta with Churidar & Dupatta', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f0f4c987cdb8c721b7d9d81/imara_mint_green_flared_anarkali_kurta_with_churidar_&_dupatta.jpg'}, {'altText': 'IMARA Mint Green Flared Anarkali Kurta with Churidar & Dupatta', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f0f4c987cdb8c721b7d9d65/imara_mint_green_flared_anarkali_kurta_with_churidar_&_dupatta.jpg'}, {'altText': 'IMARA Mint Green Flared Anarkali Kurta with Churidar & Dupatta', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f0f4c987cdb8c721b7d9d5b/imara_mint_green_flared_anarkali_kurta_with_churidar_&_dupatta.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL', 'planningCategory': 'Clothing'}",,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 3,999.00', 'displayformattedValue': 'Rs. 3,999', 'value': 3999}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 3,999.00', 'displayformattedValue': 'Rs. 3,999', 'value': 3999}",Anarkali Kurta with Churidar & Dupatta,False,/imara-anarkali-kurta-with-churidar--dupatta/p/441044926_mint,,www.ajio.com/imara-anarkali-kurta-with-churidar--dupatta/p/441044926_mint
9,441044922004,Coupon Applicable,"{'brandName': 'IMARA', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f0f550daeb2693175883f70/-286Wx359H-441044922-yellow-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441044922_yellow', 'sizeFlag': False}","[{'altText': 'IMARA Yellow Straight Printed Flared Kurta with Pants', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f0f550daeb2693175883f8d/imara_yellow_straight_printed_flared_kurta_with_pants.jpg'}, {'altText': 'IMARA Yellow Straight Printed Flared Kurta with Pants', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f0f550daeb2693175883f76/imara_yellow_straight_printed_flared_kurta_with_pants.jpg'}, {'altText': 'IMARA Yellow Straight Printed Flared Kurta with Pants', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f0f550daeb2693175883f70/imara_yellow_straight_printed_flared_kurta_with_pants.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL', 'planningCategory': 'Clothing'}",,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 3,699.00', 'displayformattedValue': 'Rs. 3,699', 'value': 3699}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 3,699.00', 'displayformattedValue': 'Rs. 3,699', 'value': 3699}",Printed Flared Kurta with Pants,False,/imara-printed-flared-kurta-with-pants/p/441044922_yellow,,www.ajio.com/imara-printed-flared-kurta-with-pants/p/441044922_yellow
