,code,couponStatus,fnlColorVariantData,images,fnlProductData,discountPercent,price,wasPriceData,name,volumePricesFlag,url,productSizeData,PAGE_URL_COMPLETE
0,441001355024,Coupon Applicable,"{'brandName': 'Teamspirit', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/hae/h3f/13740978241566/-286Wx359H-441001355-green-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441001355_green', 'sizeFlag': False}","[{'altText': 'Teamspirit Green Regular Striped Crew-Neck Top with Placement Applique', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hbb/h1e/13740979847198/teamspirit_green_regular_striped_crew-neck_top_with_placement_applique.jpg'}, {'altText': 'Teamspirit Green Regular Striped Crew-Neck Top with Placement Applique', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hc2/h92/13740999376926/teamspirit_green_regular_striped_crew-neck_top_with_placement_applique.jpg'}, {'altText': 'Teamspirit Green Regular Striped Crew-Neck Top with Placement Applique', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hae/h3f/13740978241566/teamspirit_green_regular_striped_crew-neck_top_with_placement_applique.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",45% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 219.00', 'displayformattedValue': 'Rs. 219', 'value': 219}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 399.00', 'displayformattedValue': 'Rs. 399', 'value': 399}",Striped Crew-Neck Top with Placement Applique,False,/teamspirit-striped-crew-neck-top-with-placement-applique/p/441001355_green,"{'sizeVariants': ['XS', 'S', 'M', 'L', 'XL', 'XXL']}",trends.ajio.com/teamspirit-striped-crew-neck-top-with-placement-applique/p/441001355_green
1,441025236006,Coupon Applicable,"{'brandName': 'RIO', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h97/h8d/15292037660702/-286Wx359H-441025236-black-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441025236_black', 'sizeFlag': False}","[{'altText': 'RIO Black Regular Floral Print Smocked Top', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hc1/hd9/15292038316062/rio_black_regular_floral_print_smocked_top.jpg'}, {'altText': 'RIO Black Regular Floral Print Smocked Top', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h49/hdc/15292043362334/rio_black_regular_floral_print_smocked_top.jpg'}, {'altText': 'RIO Black Regular Floral Print Smocked Top', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h97/h8d/15292037660702/rio_black_regular_floral_print_smocked_top.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",50% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 350.00', 'displayformattedValue': 'Rs. 350', 'value': 350}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 699.00', 'displayformattedValue': 'Rs. 699', 'value': 699}",Floral Print Smocked Top,False,/rio-floral-print-smocked-top/p/441025236_black,"{'sizeVariants': ['XS', 'S', 'L']}",trends.ajio.com/rio-floral-print-smocked-top/p/441025236_black
2,441025236025,Coupon Applicable,"{'brandName': 'RIO', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h86/h98/15353363169310/-286Wx359H-441025236-coral-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441025236_coral', 'sizeFlag': False}","[{'altText': 'RIO Coral Orange Regular Floral Print Smocked Top', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h2c/h7d/15353363693598/rio_coral_orange_regular_floral_print_smocked_top.jpg'}, {'altText': 'RIO Coral Orange Regular Floral Print Smocked Top', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/he3/hff/15353369362462/rio_coral_orange_regular_floral_print_smocked_top.jpg'}, {'altText': 'RIO Coral Orange Regular Floral Print Smocked Top', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h86/h98/15353363169310/rio_coral_orange_regular_floral_print_smocked_top.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",50% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 350.00', 'displayformattedValue': 'Rs. 350', 'value': 350}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 699.00', 'displayformattedValue': 'Rs. 699', 'value': 699}",Floral Print Smocked Top,False,/rio-floral-print-smocked-top/p/441025236_coral,"{'sizeVariants': ['XS', 'S', 'M', 'L', 'XL']}",trends.ajio.com/rio-floral-print-smocked-top/p/441025236_coral
3,441025252024,Coupon Applicable,"{'brandName': 'RIO', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h22/h91/15591187316766/-286Wx359H-441025252-red-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441025252_red', 'sizeFlag': False}","[{'altText': 'RIO Red Regular Polka-Dot Ribbed Top with Ruffled Sleeves', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h00/h4f/15591187513374/rio_red_regular_polka-dot_ribbed_top_with_ruffled_sleeves.jpg'}, {'altText': 'RIO Red Regular Polka-Dot Ribbed Top with Ruffled Sleeves', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h6b/hf5/15591191117854/rio_red_regular_polka-dot_ribbed_top_with_ruffled_sleeves.jpg'}, {'altText': 'RIO Red Regular Polka-Dot Ribbed Top with Ruffled Sleeves', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h22/h91/15591187316766/rio_red_regular_polka-dot_ribbed_top_with_ruffled_sleeves.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",45% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 274.00', 'displayformattedValue': 'Rs. 274', 'value': 274}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 499.00', 'displayformattedValue': 'Rs. 499', 'value': 499}",Polka-Dot Ribbed Top with Ruffled Sleeves,False,/rio-polka-dot-ribbed-top-with-ruffled-sleeves/p/441025252_red,"{'sizeVariants': ['XS', 'S', 'M', 'L']}",trends.ajio.com/rio-polka-dot-ribbed-top-with-ruffled-sleeves/p/441025252_red
4,441030389001,Coupon Applicable,"{'brandName': 'RIO', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h03/hfb/14868951662622/-286Wx359H-441030389-white-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441030389_white', 'sizeFlag': False}","[{'altText': 'RIO White Regular Graphic Print Round-Neck T-shirt', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hab/hd6/14868952383518/rio_white_regular_graphic_print_round-neck_t-shirt.jpg'}, {'altText': 'RIO White Regular Graphic Print Round-Neck T-shirt', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hbf/h3a/14868959920158/rio_white_regular_graphic_print_round-neck_t-shirt.jpg'}, {'altText': 'RIO White Regular Graphic Print Round-Neck T-shirt', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h03/hfb/14868951662622/rio_white_regular_graphic_print_round-neck_t-shirt.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",50% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 200.00', 'displayformattedValue': 'Rs. 200', 'value': 200}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 399.00', 'displayformattedValue': 'Rs. 399', 'value': 399}",Graphic Print Round-Neck T-shirt,False,/rio-graphic-print-round-neck-t-shirt/p/441030389_white,"{'sizeVariants': ['XS', 'S', 'M', 'L', 'XL']}",trends.ajio.com/rio-graphic-print-round-neck-t-shirt/p/441030389_white
5,441036755008,Coupon Applicable,"{'brandName': 'FIG', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h5c/h5d/15415997890590/-286Wx359H-441036755-pink-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441036755_pink', 'sizeFlag': False}","[{'altText': 'FIG Pink Regular Floral Print Top with Puffed Sleeves', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ha8/h37/15415998480414/fig_pink_regular_floral_print_top_with_puffed_sleeves.jpg'}, {'altText': 'FIG Pink Regular Floral Print Top with Puffed Sleeves', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ha8/h50/15416006344734/fig_pink_regular_floral_print_top_with_puffed_sleeves.jpg'}, {'altText': 'FIG Pink Regular Floral Print Top with Puffed Sleeves', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h5c/h5d/15415997890590/fig_pink_regular_floral_print_top_with_puffed_sleeves.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",30% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 489.00', 'displayformattedValue': 'Rs. 489', 'value': 489}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 699.00', 'displayformattedValue': 'Rs. 699', 'value': 699}",Floral Print Top with Puffed Sleeves,False,/fig-floral-print-top-with-puffed-sleeves/p/441036755_pink,"{'sizeVariants': ['XS', 'S', 'M', 'L', 'XL']}",trends.ajio.com/fig-floral-print-top-with-puffed-sleeves/p/441036755_pink
6,441017000002,Coupon Applicable,"{'brandName': 'DNMX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h33/h16/14527158681630/-286Wx359H-441017000-white-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441017000_white', 'sizeFlag': False}","[{'altText': 'DNMX White Regular Floral Print Top with Neckline Tie-Up', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h48/h6a/14527159009310/dnmx_white_regular_floral_print_top_with_neckline_tie-up.jpg'}, {'altText': 'DNMX White Regular Floral Print Top with Neckline Tie-Up', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h6b/hed/14527163924510/dnmx_white_regular_floral_print_top_with_neckline_tie-up.jpg'}, {'altText': 'DNMX White Regular Floral Print Top with Neckline Tie-Up', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h33/h16/14527158681630/dnmx_white_regular_floral_print_top_with_neckline_tie-up.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",50% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 400.00', 'displayformattedValue': 'Rs. 400', 'value': 400}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 799.00', 'displayformattedValue': 'Rs. 799', 'value': 799}",Floral Print Top with Neckline Tie-Up,False,/dnmx-floral-print-top-with-neckline-tie-up/p/441017000_white,"{'sizeVariants': ['XS', 'S']}",trends.ajio.com/dnmx-floral-print-top-with-neckline-tie-up/p/441017000_white
7,441038456007,Coupon Applicable,"{'brandName': 'DNMX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h7f/ha7/14739718111262/-286Wx359H-441038456-white-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441038456_white', 'sizeFlag': False}","[{'altText': 'DNMX White Tanks & Camis Sleeveless Top with Lace Trim', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hf4/h3e/14739718766622/dnmx_white_tanks_&_camis_sleeveless_top_with_lace_trim.jpg'}, {'altText': 'DNMX White Tanks & Camis Sleeveless Top with Lace Trim', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h8d/ha3/14739726303262/dnmx_white_tanks_&_camis_sleeveless_top_with_lace_trim.jpg'}, {'altText': 'DNMX White Tanks & Camis Sleeveless Top with Lace Trim', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h7f/ha7/14739718111262/dnmx_white_tanks_&_camis_sleeveless_top_with_lace_trim.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",30% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 209.00', 'displayformattedValue': 'Rs. 209', 'value': 209}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 299.00', 'displayformattedValue': 'Rs. 299', 'value': 299}",Sleeveless Top with Lace Trim,False,/dnmx-sleeveless-top-with-lace-trim/p/441038456_white,"{'sizeVariants': ['XS', 'S', 'M', 'L']}",trends.ajio.com/dnmx-sleeveless-top-with-lace-trim/p/441038456_white
8,441007339023,Coupon Applicable,"{'brandName': 'FIG', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/hbc/hb2/13861669896222/-286Wx359H-441007339-coral-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441007339_coral', 'sizeFlag': False}","[{'altText': 'FIG Coral Pink Regular Textured Top with Lace Overlays', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hbd/hce/13861670551582/fig_coral_pink_regular_textured_top_with_lace_overlays.jpg'}, {'altText': 'FIG Coral Pink Regular Textured Top with Lace Overlays', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hf6/h8f/13861676482590/fig_coral_pink_regular_textured_top_with_lace_overlays.jpg'}, {'altText': 'FIG Coral Pink Regular Textured Top with Lace Overlays', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hbc/hb2/13861669896222/fig_coral_pink_regular_textured_top_with_lace_overlays.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",40% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 239.00', 'displayformattedValue': 'Rs. 239', 'value': 239}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 399.00', 'displayformattedValue': 'Rs. 399', 'value': 399}",Textured Top with Lace Overlays,False,/fig-textured-top-with-lace-overlays/p/441007339_coral,"{'sizeVariants': ['S', 'M', 'L', 'XL', 'XXL']}",trends.ajio.com/fig-textured-top-with-lace-overlays/p/441007339_coral
9,441017005003,Coupon Applicable,"{'brandName': 'DNMX', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h8a/hec/14875641446430/-286Wx359H-441017005-red-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441017005_red', 'sizeFlag': False}","[{'altText': 'DNMX Red Regular Round-Neck Top with Lace Inset', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hd3/h70/14875641970718/dnmx_red_regular_round-neck_top_with_lace_inset.jpg'}, {'altText': 'DNMX Red Regular Round-Neck Top with Lace Inset', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h35/hc0/14875648524318/dnmx_red_regular_round-neck_top_with_lace_inset.jpg'}, {'altText': 'DNMX Red Regular Round-Neck Top with Lace Inset', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h8a/hec/14875641446430/dnmx_red_regular_round-neck_top_with_lace_inset.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_ON_MODEL', 'planningCategory': 'Clothing'}",50% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 250.00', 'displayformattedValue': 'Rs. 250', 'value': 250}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 499.00', 'displayformattedValue': 'Rs. 499', 'value': 499}",Round-Neck Top with Lace Inset,False,/dnmx-round-neck-top-with-lace-inset/p/441017005_red,"{'sizeVariants': ['XS', 'S', 'M', 'L']}",trends.ajio.com/dnmx-round-neck-top-with-lace-inset/p/441017005_red
