,code,couponStatus,fnlColorVariantData,images,fnlProductData,discountPercent,price,wasPriceData,name,volumePricesFlag,url,productSizeData,PAGE_URL_COMPLETE
0,461154409003,Coupon Applicable,"{'brandName': 'Neemiya', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h94/h5a/16307037241374/-286Wx359H-461154409-pink-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461154409_pink', 'sizeFlag': False}","[{'altText': 'Neemiya Pink A-line Solid A-line Kurta Set', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h00/hdc/16307037831198/neemiya_pink_a-line_solid_a-line_kurta_set.jpg'}, {'altText': 'Neemiya Pink A-line Solid A-line Kurta Set', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ha7/h75/16307042943006/neemiya_pink_a-line_solid_a-line_kurta_set.jpg'}, {'altText': 'Neemiya Pink A-line Solid A-line Kurta Set', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h94/h5a/16307037241374/neemiya_pink_a-line_solid_a-line_kurta_set.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL'}",50% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 788.00', 'displayformattedValue': 'Rs. 788', 'value': 788}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,575.00', 'displayformattedValue': 'Rs. 1,575', 'value': 1575}",Solid A-line Kurta Set,False,/neemiya-solid-a-line-kurta-set/p/461154409_pink,"{'sizeVariants': ['S', 'M', 'L', 'XL', 'XXL', '3XL', '4XL', '5XL']}",www.ajio.com/neemiya-solid-a-line-kurta-set/p/461154409_pink
1,461042290002,Coupon Applicable,"{'brandName': 'AZIRA', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h0c/h9b/17074671583262/-286Wx359H-461042290-maroon-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461042290_maroon', 'sizeFlag': False}","[{'altText': 'AZIRA Maroon Straight Geometric Straight Kurta & Palazzo Set', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h5e/h1c/17074672042014/azira_maroon_straight_geometric_straight_kurta_&_palazzo_set.jpg'}, {'altText': 'AZIRA Maroon Straight Geometric Straight Kurta & Palazzo Set', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h4b/h55/17074677022750/azira_maroon_straight_geometric_straight_kurta_&_palazzo_set.jpg'}, {'altText': 'AZIRA Maroon Straight Geometric Straight Kurta & Palazzo Set', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h0c/h9b/17074671583262/azira_maroon_straight_geometric_straight_kurta_&_palazzo_set.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL'}",48% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 883.00', 'displayformattedValue': 'Rs. 883', 'value': 883}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,699.00', 'displayformattedValue': 'Rs. 1,699', 'value': 1699}",Geometric Straight Kurta & Palazzo Set,False,/azira-geometric-straight-kurta--palazzo-set/p/461042290_maroon,"{'sizeVariants': ['L', 'XXL']}",www.ajio.com/azira-geometric-straight-kurta--palazzo-set/p/461042290_maroon
2,461188011006,Coupon Applicable,"{'brandName': 'KIPEK', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h88/hf9/16800032981022/-286Wx359H-461188011-black-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461188011_black', 'sizeFlag': False}","[{'altText': 'KIPEK Black Straight Floral Print Straight Kurta Set', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h92/h3c/16800033243166/kipek_black_straight_floral_print_straight_kurta_set.jpg'}, {'altText': 'KIPEK Black Straight Floral Print Straight Kurta Set', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h11/h44/16800037109790/kipek_black_straight_floral_print_straight_kurta_set.jpg'}, {'altText': 'KIPEK Black Straight Floral Print Straight Kurta Set', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h88/hf9/16800032981022/kipek_black_straight_floral_print_straight_kurta_set.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL'}",65% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 875.00', 'displayformattedValue': 'Rs. 875', 'value': 875}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 2,499.00', 'displayformattedValue': 'Rs. 2,499', 'value': 2499}",Floral Print Straight Kurta Set,False,/kipek-floral-print-straight-kurta-set/p/461188011_black,"{'sizeVariants': ['S', 'M', 'L', 'XL', 'XXL', '3XL']}",www.ajio.com/kipek-floral-print-straight-kurta-set/p/461188011_black
3,441066670009,Coupon Applicable,"{'brandName': 'Juniper', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h96/h60/16113888034846/-286Wx359H-441066670-pink-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441066670_pink', 'sizeFlag': False}","[{'altText': 'Juniper Pink A-line A-line Kurta with Floral Print Palazzos & Scarf', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h0b/h39/16113888493598/juniper_pink_a-line_a-line_kurta_with_floral_print_palazzos_&_scarf.jpg'}, {'altText': 'Juniper Pink A-line A-line Kurta with Floral Print Palazzos & Scarf', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h0b/h84/16113893343262/juniper_pink_a-line_a-line_kurta_with_floral_print_palazzos_&_scarf.jpg'}, {'altText': 'Juniper Pink A-line A-line Kurta with Floral Print Palazzos & Scarf', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h96/h60/16113888034846/juniper_pink_a-line_a-line_kurta_with_floral_print_palazzos_&_scarf.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL', 'planningCategory': 'Clothing'}",60% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,200.00', 'displayformattedValue': 'Rs. 1,200', 'value': 1200}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 2,999.00', 'displayformattedValue': 'Rs. 2,999', 'value': 2999}",A-line Kurta with Floral Print Palazzos & Scarf,False,/juniper-a-line-kurta-with-floral-print-palazzos--scarf/p/441066670_pink,"{'sizeVariants': ['S', 'M', 'L', 'XL']}",www.ajio.com/juniper-a-line-kurta-with-floral-print-palazzos--scarf/p/441066670_pink
4,461188015002,Coupon Applicable,"{'brandName': 'KIPEK', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h90/h05/16800005980190/-286Wx359H-461188015-green-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461188015_green', 'sizeFlag': False}","[{'altText': 'KIPEK Green Straight Straight Front Slit Kurta Set ', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h23/hb4/16800006504478/kipek_green_straight_straight_front_slit_kurta_set_.jpg'}, {'altText': 'KIPEK Green Straight Straight Front Slit Kurta Set ', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ha0/hbf/16800013385758/kipek_green_straight_straight_front_slit_kurta_set_.jpg'}, {'altText': 'KIPEK Green Straight Straight Front Slit Kurta Set ', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h90/h05/16800005980190/kipek_green_straight_straight_front_slit_kurta_set_.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL'}",68% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 896.00', 'displayformattedValue': 'Rs. 896', 'value': 896}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 2,799.00', 'displayformattedValue': 'Rs. 2,799', 'value': 2799}",Straight Front Slit Kurta Set ,False,/kipek-straight-front-slit-kurta-set-/p/461188015_green,"{'sizeVariants': ['S', 'M', 'L', 'XL', 'XXL']}",www.ajio.com/kipek-straight-front-slit-kurta-set-/p/461188015_green
5,441066695005,Coupon Applicable,"{'brandName': 'Juniper', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h72/h92/16112056238110/-286Wx359H-441066695-blue-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441066695_blue', 'sizeFlag': False}","[{'altText': 'Juniper Blue Straight Floral Print Kurta with Straight Pants', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h40/h21/16112056664094/juniper_blue_straight_floral_print_kurta_with_straight_pants.jpg'}, {'altText': 'Juniper Blue Straight Floral Print Kurta with Straight Pants', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ha1/hbc/16112059711518/juniper_blue_straight_floral_print_kurta_with_straight_pants.jpg'}, {'altText': 'Juniper Blue Straight Floral Print Kurta with Straight Pants', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h72/h92/16112056238110/juniper_blue_straight_floral_print_kurta_with_straight_pants.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL', 'planningCategory': 'Clothing'}",60% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,200.00', 'displayformattedValue': 'Rs. 1,200', 'value': 1200}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 2,999.00', 'displayformattedValue': 'Rs. 2,999', 'value': 2999}",Floral Print Kurta with Straight Pants,False,/juniper-floral-print-kurta-with-straight-pants/p/441066695_blue,"{'sizeVariants': ['S', 'M', 'L', 'XL', 'XXL']}",www.ajio.com/juniper-floral-print-kurta-with-straight-pants/p/441066695_blue
6,461188020001,Coupon Applicable,"{'brandName': 'KIPEK', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h0f/hf5/16800079118366/-286Wx359H-461188020-yellow-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461188020_yellow', 'sizeFlag': False}","[{'altText': 'KIPEK Yellow Straight Floral Print Straight Kurta Set', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ha3/h29/16800079577118/kipek_yellow_straight_floral_print_straight_kurta_set.jpg'}, {'altText': 'KIPEK Yellow Straight Floral Print Straight Kurta Set', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hf4/h44/16800083902494/kipek_yellow_straight_floral_print_straight_kurta_set.jpg'}, {'altText': 'KIPEK Yellow Straight Floral Print Straight Kurta Set', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h0f/hf5/16800079118366/kipek_yellow_straight_floral_print_straight_kurta_set.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL'}",65% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 875.00', 'displayformattedValue': 'Rs. 875', 'value': 875}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 2,499.00', 'displayformattedValue': 'Rs. 2,499', 'value': 2499}",Floral Print Straight Kurta Set,False,/kipek-floral-print-straight-kurta-set/p/461188020_yellow,"{'sizeVariants': ['S', 'M', 'L', 'XL', 'XXL', '3XL']}",www.ajio.com/kipek-floral-print-straight-kurta-set/p/461188020_yellow
7,461084164004,Coupon Applicable,"{'brandName': 'Khushal K', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/hc3/he7/15175413661726/-286Wx359H-461084164-white-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461084164_white', 'sizeFlag': False}","[{'altText': 'Khushal K White & Blue Straight Foil Print Straight Kurta with Jacket & Pants', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hde/h05/15175414087710/khushal_k_white_&_blue_straight_foil_print_straight_kurta_with_jacket_&_pants.jpg'}, {'altText': 'Khushal K White & Blue Straight Foil Print Straight Kurta with Jacket & Pants', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h8e/hd7/15175421198366/khushal_k_white_&_blue_straight_foil_print_straight_kurta_with_jacket_&_pants.jpg'}, {'altText': 'Khushal K White & Blue Straight Foil Print Straight Kurta with Jacket & Pants', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hc3/he7/15175413661726/khushal_k_white_&_blue_straight_foil_print_straight_kurta_with_jacket_&_pants.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL'}",60% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,440.00', 'displayformattedValue': 'Rs. 1,440', 'value': 1440}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 3,599.00', 'displayformattedValue': 'Rs. 3,599', 'value': 3599}",Foil Print Straight Kurta with Jacket & Pants,False,/khushal-k-foil-print-straight-kurta-with-jacket--pants/p/461084164_white,"{'sizeVariants': ['S', 'M', 'L', 'XL', 'XXL']}",www.ajio.com/khushal-k-foil-print-straight-kurta-with-jacket--pants/p/461084164_white
8,441024074008,Coupon Applicable,"{'brandName': 'AVAASA SET', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h2d/h36/15506601443358/-286Wx359H-441024074-yellow-MODEL.jpg', 'allPromotions': False, 'colorGroup': '441024074_yellow', 'sizeFlag': False}","[{'altText': 'AVAASA SET Yellow A-line Printed A-line Kurta with Churidar & Dupatta', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hd5/h5c/15506602164254/avaasa_set_yellow_a-line_printed_a-line_kurta_with_churidar_&_dupatta.jpg'}, {'altText': 'AVAASA SET Yellow A-line Printed A-line Kurta with Churidar & Dupatta', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hea/he1/15506607472670/avaasa_set_yellow_a-line_printed_a-line_kurta_with_churidar_&_dupatta.jpg'}, {'altText': 'AVAASA SET Yellow A-line Printed A-line Kurta with Churidar & Dupatta', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h2d/h36/15506601443358/avaasa_set_yellow_a-line_printed_a-line_kurta_with_churidar_&_dupatta.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL', 'planningCategory': 'Clothing'}",30% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,399.00', 'displayformattedValue': 'Rs. 1,399', 'value': 1399}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,999.00', 'displayformattedValue': 'Rs. 1,999', 'value': 1999}",Printed A-line Kurta with Churidar & Dupatta,False,/avaasa-set-printed-a-line-kurta-with-churidar--dupatta/p/441024074_yellow,"{'sizeVariants': ['S', 'M', 'L']}",www.ajio.com/avaasa-set-printed-a-line-kurta-with-churidar--dupatta/p/441024074_yellow
9,461084183002,Coupon Applicable,"{'brandName': 'Khushal K', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h86/h98/15178267623454/-286Wx359H-461084183-pink-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461084183_pink', 'sizeFlag': False}","[{'altText': 'Khushal K Pink Flared Flared Kurta with Pants with Dupatta', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h4e/h83/15178268311582/khushal_k_pink_flared_flared_kurta_with_pants_with_dupatta.jpg'}, {'altText': 'Khushal K Pink Flared Flared Kurta with Pants with Dupatta', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hcb/h23/15178276667422/khushal_k_pink_flared_flared_kurta_with_pants_with_dupatta.jpg'}, {'altText': 'Khushal K Pink Flared Flared Kurta with Pants with Dupatta', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h86/h98/15178267623454/khushal_k_pink_flared_flared_kurta_with_pants_with_dupatta.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL'}",65% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,400.00', 'displayformattedValue': 'Rs. 1,400', 'value': 1400}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 3,999.00', 'displayformattedValue': 'Rs. 3,999', 'value': 3999}",Flared Kurta with Pants with Dupatta,False,/khushal-k-flared-kurta-with-pants-with-dupatta/p/461084183_pink,"{'sizeVariants': ['S', 'M', 'L', 'XL', 'XXL']}",www.ajio.com/khushal-k-flared-kurta-with-pants-with-dupatta/p/461084183_pink
