,code,couponStatus,fnlColorVariantData,images,fnlProductData,discountPercent,price,wasPriceData,name,volumePricesFlag,url,productSizeData,PAGE_URL_COMPLETE
0,461023166001,Coupon Applicable,"{'brandName': 'Ishin', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h0e/hda/16046982135838/-286Wx359H-461023166-grey-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461023166_grey', 'sizeFlag': False}","[{'altText': 'Ishin Grey Traditional  Floral  Traditional Saree ', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hec/h97/16046982332446/ishin_grey_traditional__floral__traditional_saree_.jpg'}, {'altText': 'Ishin Grey Traditional  Floral  Traditional Saree ', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h36/h8b/16046987247646/ishin_grey_traditional__floral__traditional_saree_.jpg'}, {'altText': 'Ishin Grey Traditional  Floral  Traditional Saree ', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h0e/hda/16046982135838/ishin_grey_traditional__floral__traditional_saree_.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL'}",40% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 599.00', 'displayformattedValue': 'Rs. 599', 'value': 599}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 999.00', 'displayformattedValue': 'Rs. 999', 'value': 999}", Floral  Traditional Saree ,False,/ishin--floral-traditional-saree-/p/461023166_grey,{'sizeVariants': ['FS']},www.ajio.com/ishin--floral-traditional-saree-/p/461023166_grey
1,461107201001,Coupon Applicable,"{'brandName': 'Saadhvi', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h2d/hbe/15524723294238/-286Wx359H-461107201-grey-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461107201_grey', 'sizeFlag': False}","[{'altText': 'Saadhvi Grey Traditional Floral Print Sheer Through Saree', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h16/h08/15524723785758/saadhvi_grey_traditional_floral_print_sheer_through_saree.jpg'}, {'altText': 'Saadhvi Grey Traditional Floral Print Sheer Through Saree', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hd1/hdd/15524732534814/saadhvi_grey_traditional_floral_print_sheer_through_saree.jpg'}, {'altText': 'Saadhvi Grey Traditional Floral Print Sheer Through Saree', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h2d/hbe/15524723294238/saadhvi_grey_traditional_floral_print_sheer_through_saree.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL'}",70% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 479.00', 'displayformattedValue': 'Rs. 479', 'value': 479}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,597.00', 'displayformattedValue': 'Rs. 1,597', 'value': 1597}",Floral Print Sheer Through Saree,False,/saadhvi-floral-print-sheer-through-saree/p/461107201_grey,{'sizeVariants': ['FS']},www.ajio.com/saadhvi-floral-print-sheer-through-saree/p/461107201_grey
2,461023188001,Coupon Applicable,"{'brandName': 'Ishin', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h47/h95/16047019327518/-286Wx359H-461023188-blue-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461023188_blue', 'sizeFlag': False}","[{'altText': 'Ishin Blue Traditional Printed Traditional Saree', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h1d/hb8/16047019884574/ishin_blue_traditional_printed_traditional_saree.jpg'}, {'altText': 'Ishin Blue Traditional Printed Traditional Saree', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hca/hd6/16047024996382/ishin_blue_traditional_printed_traditional_saree.jpg'}, {'altText': 'Ishin Blue Traditional Printed Traditional Saree', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h47/h95/16047019327518/ishin_blue_traditional_printed_traditional_saree.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL'}",47% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 593.00', 'displayformattedValue': 'Rs. 593', 'value': 593}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,119.00', 'displayformattedValue': 'Rs. 1,119', 'value': 1119}",Printed Traditional Saree,False,/ishin-printed-traditional-saree/p/461023188_blue,{'sizeVariants': ['FS']},www.ajio.com/ishin-printed-traditional-saree/p/461023188_blue
3,461023003001,Coupon Applicable,"{'brandName': 'Ishin', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h02/he5/15278100971550/-286Wx359H-461023003-beige-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461023003_beige', 'sizeFlag': False}","[{'altText': 'Ishin Beige Traditional Printed Silk Traditional Saree', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h08/h5e/15278101233694/ishin_beige_traditional_printed_silk_traditional_saree.jpg'}, {'altText': 'Ishin Beige Traditional Printed Silk Traditional Saree', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h65/hdb/15278104772638/ishin_beige_traditional_printed_silk_traditional_saree.jpg'}, {'altText': 'Ishin Beige Traditional Printed Silk Traditional Saree', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h02/he5/15278100971550/ishin_beige_traditional_printed_silk_traditional_saree.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL'}",50% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 600.00', 'displayformattedValue': 'Rs. 600', 'value': 600}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,199.00', 'displayformattedValue': 'Rs. 1,199', 'value': 1199}",Printed Silk Traditional Saree,False,/ishin-printed-silk-traditional-saree/p/461023003_beige,{'sizeVariants': ['FS']},www.ajio.com/ishin-printed-silk-traditional-saree/p/461023003_beige
4,461007229001,Coupon Applicable,"{'brandName': 'Ishin', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h0b/h39/16078976974878/-286Wx359H-461007229-red-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461007229_red', 'sizeFlag': False}","[{'altText': 'Ishin Red Traditional  Floral  Traditional Saree ', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hd6/h73/16078977237022/ishin_red_traditional__floral__traditional_saree_.jpg'}, {'altText': 'Ishin Red Traditional  Floral  Traditional Saree ', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hc5/h20/16078980644894/ishin_red_traditional__floral__traditional_saree_.jpg'}, {'altText': 'Ishin Red Traditional  Floral  Traditional Saree ', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h0b/h39/16078976974878/ishin_red_traditional__floral__traditional_saree_.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL'}",60% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 600.00', 'displayformattedValue': 'Rs. 600', 'value': 600}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,499.00', 'displayformattedValue': 'Rs. 1,499', 'value': 1499}", Floral  Traditional Saree ,False,/ishin--floral-traditional-saree-/p/461007229_red,{'sizeVariants': ['FS']},www.ajio.com/ishin--floral-traditional-saree-/p/461007229_red
5,461023081001,Coupon Applicable,"{'brandName': 'Ishin', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h45/h84/17071007760414/-286Wx359H-461023081-green-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461023081_green', 'sizeFlag': False}","[{'altText': 'Ishin Green & Pink Traditional  Colour-block  Traditional Saree ', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h7c/haf/17071008120862/ishin_green_&_pink_traditional__colour-block__traditional_saree_.jpg'}, {'altText': 'Ishin Green & Pink Traditional  Colour-block  Traditional Saree ', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hcf/h90/17071013232670/ishin_green_&_pink_traditional__colour-block__traditional_saree_.jpg'}, {'altText': 'Ishin Green & Pink Traditional  Colour-block  Traditional Saree ', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h45/h84/17071007760414/ishin_green_&_pink_traditional__colour-block__traditional_saree_.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL'}",40% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 599.00', 'displayformattedValue': 'Rs. 599', 'value': 599}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 999.00', 'displayformattedValue': 'Rs. 999', 'value': 999}", Colour-block  Traditional Saree ,False,/ishin--colour-block-traditional-saree-/p/461023081_green,{'sizeVariants': ['FS']},www.ajio.com/ishin--colour-block-traditional-saree-/p/461023081_green
6,461138858001,Coupon Applicable,"{'brandName': 'Saadhvi', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/ha3/h9f/16091678015518/-286Wx359H-461138858-blue-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461138858_blue', 'sizeFlag': False}","[{'altText': 'Saadhvi Blue Traditional Striped Cotton Saree ', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/he9/hf5/16091678670878/saadhvi_blue_traditional_striped_cotton_saree_.jpg'}, {'altText': 'Saadhvi Blue Traditional Striped Cotton Saree ', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h7c/h9f/16091684700190/saadhvi_blue_traditional_striped_cotton_saree_.jpg'}, {'altText': 'Saadhvi Blue Traditional Striped Cotton Saree ', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ha3/h9f/16091678015518/saadhvi_blue_traditional_striped_cotton_saree_.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL'}",67% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 363.00', 'displayformattedValue': 'Rs. 363', 'value': 363}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,099.00', 'displayformattedValue': 'Rs. 1,099', 'value': 1099}",Striped Cotton Saree ,False,/saadhvi-striped-cotton-saree-/p/461138858_blue,{'sizeVariants': ['FS']},www.ajio.com/saadhvi-striped-cotton-saree-/p/461138858_blue
7,461007158001,Coupon Applicable,"{'brandName': 'Ishin', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h32/h5a/17068070141982/-286Wx359H-461007158-beige-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461007158_beige', 'sizeFlag': False}","[{'altText': 'Ishin Beige Traditional  Floral  Traditional Saree ', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h48/h14/17068070535198/ishin_beige_traditional__floral__traditional_saree_.jpg'}, {'altText': 'Ishin Beige Traditional  Floral  Traditional Saree ', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h0a/ha9/17068075253790/ishin_beige_traditional__floral__traditional_saree_.jpg'}, {'altText': 'Ishin Beige Traditional  Floral  Traditional Saree ', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h32/h5a/17068070141982/ishin_beige_traditional__floral__traditional_saree_.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL'}",67% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 594.00', 'displayformattedValue': 'Rs. 594', 'value': 594}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,799.00', 'displayformattedValue': 'Rs. 1,799', 'value': 1799}", Floral  Traditional Saree ,False,/ishin--floral-traditional-saree-/p/461007158_beige,{'sizeVariants': ['FS']},www.ajio.com/ishin--floral-traditional-saree-/p/461007158_beige
8,461023005001,Coupon Applicable,"{'brandName': 'Ishin', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h8c/h9f/17047785865246/-286Wx359H-461023005-blue-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461023005_blue', 'sizeFlag': False}","[{'altText': 'Ishin Navy Traditional  Floral  Traditional Saree ', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h6a/h4c/17047786323998/ishin_navy_traditional__floral__traditional_saree_.jpg'}, {'altText': 'Ishin Navy Traditional  Floral  Traditional Saree ', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ha2/h3f/17047790845982/ishin_navy_traditional__floral__traditional_saree_.jpg'}, {'altText': 'Ishin Navy Traditional  Floral  Traditional Saree ', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h8c/h9f/17047785865246/ishin_navy_traditional__floral__traditional_saree_.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL'}",51% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,960.00', 'displayformattedValue': 'Rs. 1,960', 'value': 1960}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 3,999.00', 'displayformattedValue': 'Rs. 3,999', 'value': 3999}", Floral  Traditional Saree ,False,/ishin--floral-traditional-saree-/p/461023005_blue,{'sizeVariants': ['FS']},www.ajio.com/ishin--floral-traditional-saree-/p/461023005_blue
9,461007353001,Coupon Applicable,"{'brandName': 'Ishin', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/he7/h1e/15277729579038/-286Wx359H-461007353-red-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461007353_red', 'sizeFlag': False}","[{'altText': 'Ishin Red Traditional  Floral  Traditional Saree ', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h57/h1d/15277729841182/ishin_red_traditional__floral__traditional_saree_.jpg'}, {'altText': 'Ishin Red Traditional  Floral  Traditional Saree ', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h87/h5d/15277732200478/ishin_red_traditional__floral__traditional_saree_.jpg'}, {'altText': 'Ishin Red Traditional  Floral  Traditional Saree ', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/he7/h1e/15277729579038/ishin_red_traditional__floral__traditional_saree_.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL'}",63% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 592.00', 'displayformattedValue': 'Rs. 592', 'value': 592}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,599.00', 'displayformattedValue': 'Rs. 1,599', 'value': 1599}", Floral  Traditional Saree ,False,/ishin--floral-traditional-saree-/p/461007353_red,{'sizeVariants': ['FS']},www.ajio.com/ishin--floral-traditional-saree-/p/461007353_red
10,461007428001,Coupon Applicable,"{'brandName': 'Ishin', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/h5c/h2d/15277742424094/-286Wx359H-461007428-orange-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461007428_orange', 'sizeFlag': False}","[{'altText': 'Ishin Orange Traditional  Floral  Traditional Saree ', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h34/haf/15277742686238/ishin_orange_traditional__floral__traditional_saree_.jpg'}, {'altText': 'Ishin Orange Traditional  Floral  Traditional Saree ', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h0f/hce/15277748518942/ishin_orange_traditional__floral__traditional_saree_.jpg'}, {'altText': 'Ishin Orange Traditional  Floral  Traditional Saree ', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h5c/h2d/15277742424094/ishin_orange_traditional__floral__traditional_saree_.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL'}",67% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 594.00', 'displayformattedValue': 'Rs. 594', 'value': 594}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,799.00', 'displayformattedValue': 'Rs. 1,799', 'value': 1799}", Floral  Traditional Saree ,False,/ishin--floral-traditional-saree-/p/461007428_orange,{'sizeVariants': ['FS']},www.ajio.com/ishin--floral-traditional-saree-/p/461007428_orange
11,461007394001,Coupon Applicable,"{'brandName': 'Ishin', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/he3/h4a/16079664381982/-286Wx359H-461007394-multi-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461007394_multi', 'sizeFlag': False}","[{'altText': 'Ishin Multicolor Traditional  Floral  Traditional Saree ', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h27/hf5/16079664906270/ishin_multicolor_traditional__floral__traditional_saree_.jpg'}, {'altText': 'Ishin Multicolor Traditional  Floral  Traditional Saree ', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h88/h1a/16079668445214/ishin_multicolor_traditional__floral__traditional_saree_.jpg'}, {'altText': 'Ishin Multicolor Traditional  Floral  Traditional Saree ', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/he3/h4a/16079664381982/ishin_multicolor_traditional__floral__traditional_saree_.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL'}",63% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 592.00', 'displayformattedValue': 'Rs. 592', 'value': 592}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,599.00', 'displayformattedValue': 'Rs. 1,599', 'value': 1599}", Floral  Traditional Saree ,False,/ishin--floral-traditional-saree-/p/461007394_multi,{'sizeVariants': ['FS']},www.ajio.com/ishin--floral-traditional-saree-/p/461007394_multi
12,461007412001,Coupon Applicable,"{'brandName': 'Ishin', 'maxQuantity': 0, 'outfitPictureURL': 'https://assets.ajio.com/medias/sys_master/root/hc8/hcc/16079182233630/-286Wx359H-461007412-beige-MODEL.jpg', 'allPromotions': False, 'colorGroup': '461007412_beige', 'sizeFlag': False}","[{'altText': 'Ishin Beige Traditional  Floral  Traditional Saree ', 'format': 'product', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/ha1/he3/16079182561310/ishin_beige_traditional__floral__traditional_saree_.jpg'}, {'altText': 'Ishin Beige Traditional  Floral  Traditional Saree ', 'format': 'mobileProductListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/h50/hb4/16079185772574/ishin_beige_traditional__floral__traditional_saree_.jpg'}, {'altText': 'Ishin Beige Traditional  Floral  Traditional Saree ', 'format': 'productGrid3ListingImage', 'imageType': 'PRIMARY', 'url': 'https://assets.ajio.com/medias/sys_master/root/hc8/hcc/16079182233630/ishin_beige_traditional__floral__traditional_saree_.jpg'}]","{'returnWindow': 0, 'toggleOn': 'TOGGLE_OFF_MODEL'}",46% off,"{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 593.00', 'displayformattedValue': 'Rs. 593', 'value': 593}","{'currencyIso': 'INR', 'priceType': 'BUY', 'formattedValue': 'Rs. 1,099.00', 'displayformattedValue': 'Rs. 1,099', 'value': 1099}", Floral  Traditional Saree ,False,/ishin--floral-traditional-saree-/p/461007412_beige,{'sizeVariants': ['FS']},www.ajio.com/ishin--floral-traditional-saree-/p/461007412_beige
