,id,name,price,colour,colourWayId,brandName,hasVariantColours,hasMultiplePrices,groupId,productCode,productType,url,imageUrl,videoUrl,isSellingFast,PAGE_URL_COMPLETE
0,11351425,ASOS DESIGN 2 pack slim chino shorts in stone & navy save,"{'current': {'value': 49.0, 'text': '$49.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16321812,ASOS DESIGN,False,False,,1403550,Product,asos-design/asos-design-2-pack-slim-chino-shorts-in-stone-navy-save/prd/11351425?colourwayid=16321812,images.asos-media.com/products/asos-design-2-pack-slim-chino-shorts-in-stone-navy-save/11351425-1-stonenavy,video.asos-media.com/products/asos-design-2-pack-slim-chino-shorts-in-stone-navy-save/11351425-catwalk-AVS,True,www.asos.com/usasos-design/asos-design-2-pack-slim-chino-shorts-in-stone-navy-save/prd/11351425?colourwayid=16321812
1,11171018,ASOS DESIGN skinny chino shorts in white,"{'current': {'value': 29.0, 'text': '$29.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16311550,ASOS DESIGN,False,False,,1391849,Product,asos-design/asos-design-skinny-chino-shorts-in-white/prd/11171018?colourwayid=16311550,images.asos-media.com/products/asos-design-skinny-chino-shorts-in-white/11171018-1-white,,True,www.asos.com/usasos-design/asos-design-skinny-chino-shorts-in-white/prd/11171018?colourwayid=16311550
2,12586629,ASOS DESIGN slim chino shorts in stone,"{'current': {'value': 29.0, 'text': '$29.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16431992,ASOS DESIGN,False,False,,1498030,Product,asos-design/asos-design-slim-chino-shorts-in-stone/prd/12586629?colourwayid=16431992,images.asos-media.com/products/asos-design-slim-chino-shorts-in-stone/12586629-1-stone,video.asos-media.com/products/asos-design-slim-chino-shorts-in-stone/12586629-catwalk-AVS,True,www.asos.com/usasos-design/asos-design-slim-chino-shorts-in-stone/prd/12586629?colourwayid=16431992
3,13703312,ASOS DESIGN slim denim shorts in washed gray,"{'current': {'value': 14.4, 'text': '$14.40'}, 'previous': {'value': 32.0, 'text': '$32.00'}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': True, 'isOutletPrice': False, 'currency': 'USD'}",,16558842,ASOS DESIGN,False,False,,1586964,Product,asos-design/asos-design-slim-denim-shorts-in-washed-gray/prd/13703312?colourwayid=16558842,images.asos-media.com/products/asos-design-slim-denim-shorts-in-washed-gray/13703312-1-grey,video.asos-media.com/products/asos-design-slim-denim-shorts-in-washed-gray/13703312-catwalk-AVS,True,www.asos.com/usasos-design/asos-design-slim-denim-shorts-in-washed-gray/prd/13703312?colourwayid=16558842
4,20426841,ASOS DESIGN skinny chino shorter shorts with elastic waist in pastel blue,"{'current': {'value': 29.0, 'text': '$29.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60052773,ASOS DESIGN,False,False,,1720574,Product,asos-design/asos-design-skinny-chino-shorter-shorts-with-elastic-waist-in-pastel-blue/prd/20426841?colourwayid=60052773,images.asos-media.com/products/asos-design-skinny-chino-shorter-shorts-with-elastic-waist-in-pastel-blue/20426841-1-bluefog,,False,www.asos.com/usasos-design/asos-design-skinny-chino-shorter-shorts-with-elastic-waist-in-pastel-blue/prd/20426841?colourwayid=60052773
5,20154968,Duke plus cargo shorts in blue,"{'current': {'value': 36.0, 'text': '$36.00'}, 'previous': {'value': 45.0, 'text': '$45.00'}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': True, 'isOutletPrice': False, 'currency': 'USD'}",,60013138,Duke,False,False,,1696732,Product,duke/duke-plus-cargo-shorts-in-blue/prd/20154968?colourwayid=60013138,images.asos-media.com/products/duke-plus-cargo-shorts-in-blue/20154968-1-navy,video.asos-media.com/products/duke-plus-cargo-shorts-in-blue/20154968-catwalk-AVS,False,www.asos.com/usduke/duke-plus-cargo-shorts-in-blue/prd/20154968?colourwayid=60013138
6,20155464,Duke plus denim shorts in gray,"{'current': {'value': 36.8, 'text': '$36.80'}, 'previous': {'value': 46.0, 'text': '$46.00'}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': True, 'isOutletPrice': False, 'currency': 'USD'}",,60013197,Duke,False,False,,1697046,Product,duke/duke-plus-denim-shorts-in-gray/prd/20155464?colourwayid=60013197,images.asos-media.com/products/duke-plus-denim-shorts-in-gray/20155464-1-grey,video.asos-media.com/products/duke-plus-denim-shorts-in-gray/20155464-catwalk-AVS,False,www.asos.com/usduke/duke-plus-denim-shorts-in-gray/prd/20155464?colourwayid=60013197
7,20324599,Duke Lightweight French Terry Cotton Cargo Shorts With Zipper Pockets,"{'current': {'value': 28.0, 'text': '$28.00'}, 'previous': {'value': 35.0, 'text': '$35.00'}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': True, 'isOutletPrice': False, 'currency': 'USD'}",,60043742,Duke,False,False,,1712201,Product,duke/duke-lightweight-french-terry-cotton-cargo-shorts-with-zipper-pockets/prd/20324599?colourwayid=60043742,images.asos-media.com/products/duke-lightweight-french-terry-cotton-cargo-shorts-with-zipper-pockets/20324599-1-black,video.asos-media.com/products/duke-lightweight-french-terry-cotton-cargo-shorts-with-zipper-pockets/20324599-catwalk-AVS,False,www.asos.com/usduke/duke-lightweight-french-terry-cotton-cargo-shorts-with-zipper-pockets/prd/20324599?colourwayid=60043742
8,12921773,ASOS 4505 icon training shorts with quick dry in navy,"{'current': {'value': 13.8, 'text': '$13.80'}, 'previous': {'value': 23.0, 'text': '$23.00'}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': True, 'isOutletPrice': False, 'currency': 'USD'}",,16524426,ASOS 4505,False,False,,1524157,Product,asos-4505/asos-4505-icon-training-shorts-with-quick-dry-in-navy/prd/12921773?colourwayid=16524426,images.asos-media.com/products/asos-4505-icon-training-shorts-with-quick-dry-in-navy/12921773-1-navy,video.asos-media.com/products/asos-4505-icon-training-shorts-with-quick-dry-in-navy/12921773-catwalk-AVS,True,www.asos.com/usasos-4505/asos-4505-icon-training-shorts-with-quick-dry-in-navy/prd/12921773?colourwayid=16524426
9,20866311,ASOS DESIGN jersey skinny shorts with side stripe in gray marl,"{'current': {'value': 26.0, 'text': '$26.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60095510,ASOS DESIGN,False,False,,1755810,Product,asos-design/asos-design-jersey-skinny-shorts-with-side-stripe-in-gray-marl/prd/20866311?colourwayid=60095510,images.asos-media.com/products/asos-design-jersey-skinny-shorts-with-side-stripe-in-gray-marl/20866311-1-greymarl,,True,www.asos.com/usasos-design/asos-design-jersey-skinny-shorts-with-side-stripe-in-gray-marl/prd/20866311?colourwayid=60095510
