,id,name,price,colour,colourWayId,brandName,hasVariantColours,hasMultiplePrices,groupId,productCode,productType,url,imageUrl,videoUrl,isSellingFast,PAGE_URL_COMPLETE
0,14107765,ASOS EDITION Sophia plunge lace wedding dress with pleated skirt,"{'current': {'value': 214.0, 'text': '$214.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16591933,ASOS EDITION,False,False,,1618020,Product,asos-edition/asos-edition-sophia-plunge-lace-wedding-dress-with-pleated-skirt/prd/14107765?colourwayid=16591933,images.asos-media.com/products/asos-edition-sophia-plunge-lace-wedding-dress-with-pleated-skirt/14107765-1-ivory,video.asos-media.com/products/asos-edition-sophia-plunge-lace-wedding-dress-with-pleated-skirt/14107765-catwalk-AVS,True,www.asos.com/usasos-edition/asos-edition-sophia-plunge-lace-wedding-dress-with-pleated-skirt/prd/14107765?colourwayid=16591933
1,13379072,ASOS DESIGN tie back beach maxi dress with twist front detail in black,"{'current': {'value': 42.0, 'text': '$42.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16539627,ASOS DESIGN,False,False,,1561430,Product,asos-design/asos-design-tie-back-beach-maxi-dress-with-twist-front-detail-in-black/prd/13379072?colourwayid=16539627,images.asos-media.com/products/asos-design-tie-back-beach-maxi-dress-with-twist-front-detail-in-black/13379072-1-black,video.asos-media.com/products/asos-design-tie-back-beach-maxi-dress-with-twist-front-detail-in-black/13379072-catwalk-AVS,True,www.asos.com/usasos-design/asos-design-tie-back-beach-maxi-dress-with-twist-front-detail-in-black/prd/13379072?colourwayid=16539627
2,14645940,ASOS DESIGN broderie v front v back tiered mini smock dress in white,"{'current': {'value': 40.0, 'text': '$40.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16633068,ASOS DESIGN,False,False,,1658163,Product,asos-design/asos-design-broderie-v-front-v-back-tiered-mini-smock-dress-in-white/prd/14645940?colourwayid=16633068,images.asos-media.com/products/asos-design-broderie-v-front-v-back-tiered-mini-smock-dress-in-white/14645940-1-white,video.asos-media.com/products/asos-design-broderie-v-front-v-back-tiered-mini-smock-dress-in-white/14645940-catwalk-AVS,True,www.asos.com/usasos-design/asos-design-broderie-v-front-v-back-tiered-mini-smock-dress-in-white/prd/14645940?colourwayid=16633068
3,14789795,ASOS DESIGN cotton poplin smock mini dress in white,"{'current': {'value': 40.0, 'text': '$40.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16644155,ASOS DESIGN,False,False,,1669296,Product,asos-design/asos-design-cotton-poplin-smock-mini-dress-in-white/prd/14789795?colourwayid=16644155,images.asos-media.com/products/asos-design-cotton-poplin-smock-mini-dress-in-white/14789795-1-white,,True,www.asos.com/usasos-design/asos-design-cotton-poplin-smock-mini-dress-in-white/prd/14789795?colourwayid=16644155
4,20219890,New Look mini poplin smock dress in yellow,"{'current': {'value': 30.0, 'text': '$30.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60018596,New Look,False,False,,1703316,Product,new-look/new-look-mini-poplin-smock-dress-in-yellow/prd/20219890?colourwayid=60018596,images.asos-media.com/products/new-look-mini-poplin-smock-dress-in-yellow/20219890-1-midyellow,video.asos-media.com/products/new-look-mini-poplin-smock-dress-in-yellow/20219890-catwalk-AVS,True,www.asos.com/usnew-look/new-look-mini-poplin-smock-dress-in-yellow/prd/20219890?colourwayid=60018596
5,20223264,ASOS DESIGN super oversized frill sleeve smock dress in chambray,"{'current': {'value': 29.0, 'text': '$29.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60018810,ASOS DESIGN,False,False,,1703448,Product,asos-design/asos-design-super-oversized-frill-sleeve-smock-dress-in-chambray/prd/20223264?colourwayid=60018810,images.asos-media.com/products/asos-design-super-oversized-frill-sleeve-smock-dress-in-chambray/20223264-1-chambray,,True,www.asos.com/usasos-design/asos-design-super-oversized-frill-sleeve-smock-dress-in-chambray/prd/20223264?colourwayid=60018810
6,20654735,Missguided cross back t-shirt dress in khaki,"{'current': {'value': 13.3, 'text': '$13.30'}, 'previous': {'value': 19.0, 'text': '$19.00'}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': True, 'isOutletPrice': False, 'currency': 'USD'}",,60076420,Missguided,False,False,,1738091,Product,missguided/missguided-cross-back-t-shirt-dress-in-khaki/prd/20654735?colourwayid=60076420,images.asos-media.com/products/missguided-cross-back-t-shirt-dress-in-khaki/20654735-1-khaki,,True,www.asos.com/usmissguided/missguided-cross-back-t-shirt-dress-in-khaki/prd/20654735?colourwayid=60076420
7,14392603,ASOS DESIGN Maternity lace insert tie front maxi dress with kimono sleeve in ditsy floral print,"{'current': {'value': 67.0, 'text': '$67.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16612744,ASOS Maternity,False,False,,1637768,Product,asos-maternity/asos-design-maternity-lace-insert-tie-front-maxi-dress-with-kimono-sleeve-in-ditsy-floral-print/prd/14392603?colourwayid=16612744,images.asos-media.com/products/asos-design-maternity-lace-insert-tie-front-maxi-dress-with-kimono-sleeve-in-ditsy-floral-print/14392603-1-lightbasedfloral,video.asos-media.com/products/asos-design-maternity-lace-insert-tie-front-maxi-dress-with-kimono-sleeve-in-ditsy-floral-print/14392603-catwalk-AVS,True,www.asos.com/usasos-maternity/asos-design-maternity-lace-insert-tie-front-maxi-dress-with-kimono-sleeve-in-ditsy-floral-print/prd/14392603?colourwayid=16612744
8,20896127,Stradivarius sleeveless shirt dress in mono gingham,"{'current': {'value': 27.0, 'text': '$27.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60098048,Stradivarius,False,False,,1758326,Product,stradivarius/stradivarius-sleeveless-shirt-dress-in-mono-gingham/prd/20896127?colourwayid=60098048,images.asos-media.com/products/stradivarius-sleeveless-shirt-dress-in-mono-gingham/20896127-1-check,,True,www.asos.com/usstradivarius/stradivarius-sleeveless-shirt-dress-in-mono-gingham/prd/20896127?colourwayid=60098048
9,20248027,New Look Petite broderie tiered midaxi dress in black,"{'current': {'value': 37.6, 'text': '$37.60'}, 'previous': {'value': 47.0, 'text': '$47.00'}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': True, 'isOutletPrice': False, 'currency': 'USD'}",,60020825,New Look Petite,False,False,,1705454,Product,new-look-petite/new-look-petite-broderie-tiered-midaxi-dress-in-black/prd/20248027?colourwayid=60020825,images.asos-media.com/products/new-look-petite-broderie-tiered-midaxi-dress-in-black/20248027-1-black,,True,www.asos.com/usnew-look-petite/new-look-petite-broderie-tiered-midaxi-dress-in-black/prd/20248027?colourwayid=60020825
