,id,name,price,colour,colourWayId,brandName,hasVariantColours,hasMultiplePrices,groupId,productCode,productType,url,imageUrl,videoUrl,isSellingFast,PAGE_URL_COMPLETE
0,14780441,New Look Plus skinny denim shorts in gray,"{'current': {'value': 25.0, 'text': '$25.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16643523,New Look,False,False,,1668769,Product,new-look/new-look-plus-skinny-denim-shorts-in-gray/prd/14780441?colourwayid=16643523,images.asos-media.com/products/new-look-plus-skinny-denim-shorts-in-gray/14780441-1-grey,video.asos-media.com/products/new-look-plus-skinny-denim-shorts-in-gray/14780441-catwalk-AVS,False,www.asos.com/usnew-look/new-look-plus-skinny-denim-shorts-in-gray/prd/14780441?colourwayid=16643523
1,20115652,Blood Brother pale tie dye short in white,"{'current': {'value': 64.0, 'text': '$64.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60009701,Blood Brother,False,False,,1694715,Product,blood-brother/blood-brother-pale-tie-dye-short-in-white/prd/20115652?colourwayid=60009701,images.asos-media.com/products/blood-brother-pale-tie-dye-short-in-white/20115652-1-whitemulti,,False,www.asos.com/usblood-brother/blood-brother-pale-tie-dye-short-in-white/prd/20115652?colourwayid=60009701
2,12075360,Polo Ralph Lauren player logo double tech sweat shorts in black,"{'current': {'value': 135.0, 'text': '$135.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16357341,Polo Ralph Lauren,False,False,,1458960,Product,polo-ralph-lauren/polo-ralph-lauren-player-logo-double-tech-sweat-shorts-in-black/prd/12075360?colourwayid=16357341,images.asos-media.com/products/polo-ralph-lauren-player-logo-double-tech-sweat-shorts-in-black/12075360-1-poloblack,video.asos-media.com/products/polo-ralph-lauren-player-logo-double-tech-sweat-shorts-in-black/12075360-catwalk-AVS,False,www.asos.com/uspolo-ralph-lauren/polo-ralph-lauren-player-logo-double-tech-sweat-shorts-in-black/prd/12075360?colourwayid=16357341
3,14521340,ASOS DESIGN Tall shorter shorts in washed purple stripe,"{'current': {'value': 35.0, 'text': '$35.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16622626,ASOS DESIGN,False,False,,1648181,Product,asos-design/asos-design-tall-shorter-shorts-in-washed-purple-stripe/prd/14521340?colourwayid=16622626,images.asos-media.com/products/asos-design-tall-shorter-shorts-in-washed-purple-stripe/14521340-1-purple,,False,www.asos.com/usasos-design/asos-design-tall-shorter-shorts-in-washed-purple-stripe/prd/14521340?colourwayid=16622626
4,14632507,Levi's 501 93 straight raw hem denim shorts in sausage bleach wash,"{'current': {'value': 79.0, 'text': '$79.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16632045,Levi's,False,False,,1657400,Product,levis/levis-501-93-straight-raw-hem-denim-shorts-in-sausage-bleach-wash/prd/14632507?colourwayid=16632045,images.asos-media.com/products/levis-501-93-straight-raw-hem-denim-shorts-in-sausage-bleach-wash/14632507-1-sausageshort,video.asos-media.com/products/levis-501-93-straight-raw-hem-denim-shorts-in-sausage-bleach-wash/14632507-catwalk-AVS,False,www.asos.com/uslevis/levis-501-93-straight-raw-hem-denim-shorts-in-sausage-bleach-wash/prd/14632507?colourwayid=16632045
5,20172271,Polo Ralph Lauren x ASOS exclusive collab prepster short in black with gold logo,"{'current': {'value': 119.0, 'text': '$119.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60014562,Polo Ralph Lauren,False,False,,1699168,Product,polo-ralph-lauren/polo-ralph-lauren-x-asos-exclusive-collab-prepster-short-in-black-with-gold-logo/prd/20172271?colourwayid=60014562,images.asos-media.com/products/polo-ralph-lauren-x-asos-exclusive-collab-prepster-short-in-black-with-gold-logo/20172271-1-black,,False,www.asos.com/uspolo-ralph-lauren/polo-ralph-lauren-x-asos-exclusive-collab-prepster-short-in-black-with-gold-logo/prd/20172271?colourwayid=60014562
6,20263246,Polo Ralph Lauren Prepster player logo chino shorts in burgundy,"{'current': {'value': 125.0, 'text': '$125.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60026001,Polo Ralph Lauren,False,False,,1706806,Product,polo-ralph-lauren/polo-ralph-lauren-prepster-player-logo-chino-shorts-in-burgundy/prd/20263246?colourwayid=60026001,images.asos-media.com/products/polo-ralph-lauren-prepster-player-logo-chino-shorts-in-burgundy/20263246-1-red,,False,www.asos.com/uspolo-ralph-lauren/polo-ralph-lauren-prepster-player-logo-chino-shorts-in-burgundy/prd/20263246?colourwayid=60026001
7,20263577,Polo Ralph Lauren player logo lightweight terry loopback sweat shorts in washed navy,"{'current': {'value': 135.0, 'text': '$135.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60038044,Polo Ralph Lauren,False,False,,1706831,Product,polo-ralph-lauren/polo-ralph-lauren-player-logo-lightweight-terry-loopback-sweat-shorts-in-washed-navy/prd/20263577?colourwayid=60038044,images.asos-media.com/products/polo-ralph-lauren-player-logo-lightweight-terry-loopback-sweat-shorts-in-washed-navy/20263577-1-navy,,False,www.asos.com/uspolo-ralph-lauren/polo-ralph-lauren-player-logo-lightweight-terry-loopback-sweat-shorts-in-washed-navy/prd/20263577?colourwayid=60038044
8,20897733,Levi's lightweight walk shorts in blue tie dye,"{'current': {'value': 56.0, 'text': '$56.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60098140,Levi's,False,False,,1758427,Product,levis/levis-lightweight-walk-shorts-in-blue-tie-dye/prd/20897733?colourwayid=60098140,images.asos-media.com/products/levis-lightweight-walk-shorts-in-blue-tie-dye/20897733-1-bluetiedye,,False,www.asos.com/uslevis/levis-lightweight-walk-shorts-in-blue-tie-dye/prd/20897733?colourwayid=60098140
9,20897917,Levi's 502 tapered shorts in panettone mid wash,"{'current': {'value': 79.0, 'text': '$79.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60098161,Levi's,False,False,,1758451,Product,levis/levis-502-tapered-shorts-in-panettone-mid-wash/prd/20897917?colourwayid=60098161,images.asos-media.com/products/levis-502-tapered-shorts-in-panettone-mid-wash/20897917-1-panettonemidwash,,False,www.asos.com/uslevis/levis-502-tapered-shorts-in-panettone-mid-wash/prd/20897917?colourwayid=60098161
