,id,name,price,colour,colourWayId,brandName,hasVariantColours,hasMultiplePrices,groupId,productCode,productType,url,imageUrl,videoUrl,isSellingFast,PAGE_URL_COMPLETE
0,20290401,In The Style Plus x Lorna Luxe puff sleeve smock dress in pink floral print,"{'current': {'value': 64.0, 'text': '$64.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60040804,In The Style Plus,False,False,,1709341,Product,in-the-style-plus/in-the-style-plus-x-lorna-luxe-puff-sleeve-smock-dress-in-pink-floral-print/prd/20290401?colourwayid=60040804,images.asos-media.com/products/in-the-style-plus-x-lorna-luxe-puff-sleeve-smock-dress-in-pink-floral-print/20290401-1-pinkmulti,,False,www.asos.com/usin-the-style-plus/in-the-style-plus-x-lorna-luxe-puff-sleeve-smock-dress-in-pink-floral-print/prd/20290401?colourwayid=60040804
1,20791530,In The Style x Lorna Luxe extreme puff sleeve babydoll dress in white,"{'current': {'value': 64.0, 'text': '$64.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60088248,In The Style,False,False,,1749652,Product,in-the-style/in-the-style-x-lorna-luxe-extreme-puff-sleeve-babydoll-dress-in-white/prd/20791530?colourwayid=60088248,images.asos-media.com/products/in-the-style-x-lorna-luxe-extreme-puff-sleeve-babydoll-dress-in-white/20791530-1-white,,False,www.asos.com/usin-the-style/in-the-style-x-lorna-luxe-extreme-puff-sleeve-babydoll-dress-in-white/prd/20791530?colourwayid=60088248
2,21075954,ASOS DESIGN Tall cami plunge blouson midi dress in bright orange,"{'current': {'value': 51.0, 'text': '$51.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60138453,ASOS Tall,False,False,,1771856,Product,asos-tall/asos-design-tall-cami-plunge-blouson-midi-dress-in-bright-orange/prd/21075954?colourwayid=60138453,images.asos-media.com/products/asos-design-tall-cami-plunge-blouson-midi-dress-in-bright-orange/21075954-1-brightorange,,False,www.asos.com/usasos-tall/asos-design-tall-cami-plunge-blouson-midi-dress-in-bright-orange/prd/21075954?colourwayid=60138453
3,20137255,Missguided square neck dobby mesh skater dress in black,"{'current': {'value': 48.0, 'text': '$48.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60011612,Missguided,False,False,,1696560,Product,missguided/missguided-square-neck-dobby-mesh-skater-dress-in-black/prd/20137255?colourwayid=60011612,images.asos-media.com/products/missguided-square-neck-dobby-mesh-skater-dress-in-black/20137255-1-black,,False,www.asos.com/usmissguided/missguided-square-neck-dobby-mesh-skater-dress-in-black/prd/20137255?colourwayid=60011612
4,13813838,ASOS DESIGN embroidered midi tea dress in sage green,"{'current': {'value': 87.0, 'text': '$87.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16568465,ASOS DESIGN,False,False,,1596093,Product,asos-design/asos-design-embroidered-midi-tea-dress-in-sage-green/prd/13813838?colourwayid=16568465,images.asos-media.com/products/asos-design-embroidered-midi-tea-dress-in-sage-green/13813838-1-sagegreen,video.asos-media.com/products/asos-design-embroidered-midi-tea-dress-in-sage-green/13813838-catwalk-AVS,False,www.asos.com/usasos-design/asos-design-embroidered-midi-tea-dress-in-sage-green/prd/13813838?colourwayid=16568465
5,20229329,Noisy May Tall knitted dress in black,"{'current': {'value': 32.0, 'text': '$32.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60019424,Noisy May Tall,False,False,,1704089,Product,noisy-may-tall/noisy-may-tall-knitted-dress-in-black/prd/20229329?colourwayid=60019424,images.asos-media.com/products/noisy-may-tall-knitted-dress-in-black/20229329-1-black,,False,www.asos.com/usnoisy-may-tall/noisy-may-tall-knitted-dress-in-black/prd/20229329?colourwayid=60019424
6,20304520,In The Style Plus x Lorna Luxe frill detail skater dress in white,"{'current': {'value': 56.0, 'text': '$56.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60042041,In The Style Plus,False,False,,1710468,Product,in-the-style-plus/in-the-style-plus-x-lorna-luxe-frill-detail-skater-dress-in-white/prd/20304520?colourwayid=60042041,images.asos-media.com/products/in-the-style-plus-x-lorna-luxe-frill-detail-skater-dress-in-white/20304520-1-white,,False,www.asos.com/usin-the-style-plus/in-the-style-plus-x-lorna-luxe-frill-detail-skater-dress-in-white/prd/20304520?colourwayid=60042041
7,20838210,Wednesday's Girl mini cami dress with tie front in delicate floral,"{'current': {'value': 32.0, 'text': '$32.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60093084,Wednesday's Girl,False,False,,1753500,Product,wednesdays-girl/wednesdays-girl-mini-cami-dress-with-tie-front-in-delicate-floral/prd/20838210?colourwayid=60093084,images.asos-media.com/products/wednesdays-girl-mini-cami-dress-with-tie-front-in-delicate-floral/20838210-1-lightbluefloral,,False,www.asos.com/uswednesdays-girl/wednesdays-girl-mini-cami-dress-with-tie-front-in-delicate-floral/prd/20838210?colourwayid=60093084
8,20214769,Noisy May knitted dress in gray,"{'current': {'value': 32.0, 'text': '$32.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60018187,Noisy May,False,False,,1702992,Product,noisy-may/noisy-may-knitted-dress-in-gray/prd/20214769?colourwayid=60018187,images.asos-media.com/products/noisy-may-knitted-dress-in-gray/20214769-1-grey,,False,www.asos.com/usnoisy-may/noisy-may-knitted-dress-in-gray/prd/20214769?colourwayid=60018187
9,20591440,JDY mini dress with high neck in red,"{'current': {'value': 32.0, 'text': '$32.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60066738,JDY,False,False,,1733754,Product,jdy/jdy-mini-dress-with-high-neck-in-red/prd/20591440?colourwayid=60066738,images.asos-media.com/products/jdy-mini-dress-with-high-neck-in-red/20591440-1-red,,False,www.asos.com/usjdy/jdy-mini-dress-with-high-neck-in-red/prd/20591440?colourwayid=60066738
