,id,name,price,colour,colourWayId,brandName,hasVariantColours,hasMultiplePrices,groupId,productCode,productType,url,imageUrl,videoUrl,isSellingFast,PAGE_URL_COMPLETE
0,20064952,ASOS DESIGN regular revere abstract leaf print in black,"{'current': {'value': 40.0, 'text': '$40.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60005665,ASOS DESIGN,False,False,,1690785,Product,asos-design/asos-design-regular-revere-abstract-leaf-print-in-black/prd/20064952?colourwayid=60005665,images.asos-media.com/products/asos-design-regular-revere-abstract-leaf-print-in-black/20064952-1-black,video.asos-media.com/products/asos-design-regular-revere-abstract-leaf-print-in-black/20064952-catwalk-AVS,True,www.asos.com/usasos-design/asos-design-regular-revere-abstract-leaf-print-in-black/prd/20064952?colourwayid=60005665
1,14860972,ASOS DESIGN regular fit shirt in pink floral print,"{'current': {'value': 40.0, 'text': '$40.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16649708,ASOS DESIGN,False,False,,1674664,Product,asos-design/asos-design-regular-fit-shirt-in-pink-floral-print/prd/14860972?colourwayid=16649708,images.asos-media.com/products/asos-design-regular-fit-shirt-in-pink-floral-print/14860972-1-pink,video.asos-media.com/products/asos-design-regular-fit-shirt-in-pink-floral-print/14860972-catwalk-AVS,True,www.asos.com/usasos-design/asos-design-regular-fit-shirt-in-pink-floral-print/prd/14860972?colourwayid=16649708
2,8601497,ASOS DESIGN stretch skinny fit shirt in white with grandad collar,"{'current': {'value': 29.0, 'text': '$29.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,15201231,ASOS DESIGN,False,False,,1145046,Product,asos-design/asos-design-stretch-skinny-fit-shirt-in-white-with-grandad-collar/prd/8601497?colourwayid=15201231,images.asos-media.com/products/asos-design-stretch-skinny-fit-shirt-in-white-with-grandad-collar/8601497-1-white,video.asos-media.com/products/asos-design-stretch-skinny-fit-shirt-in-white-with-grandad-collar/8601497-catwalk-AVS,True,www.asos.com/usasos-design/asos-design-stretch-skinny-fit-shirt-in-white-with-grandad-collar/prd/8601497?colourwayid=15201231
3,14611839,ASOS DESIGN stretch slim organic short sleeve denim shirt in bleach wash,"{'current': {'value': 29.0, 'text': '$29.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16630066,ASOS DESIGN,False,False,,1655521,Product,asos-design/asos-design-stretch-slim-organic-short-sleeve-denim-shirt-in-bleach-wash/prd/14611839?colourwayid=16630066,images.asos-media.com/products/asos-design-stretch-slim-organic-short-sleeve-denim-shirt-in-bleach-wash/14611839-1-bleachwash,video.asos-media.com/products/asos-design-stretch-slim-organic-short-sleeve-denim-shirt-in-bleach-wash/14611839-catwalk-AVS,True,www.asos.com/usasos-design/asos-design-stretch-slim-organic-short-sleeve-denim-shirt-in-bleach-wash/prd/14611839?colourwayid=16630066
4,20108244,ASOS DESIGN relaxed fit retro stripe shirt in deep revere with pocket,"{'current': {'value': 40.0, 'text': '$40.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60009234,ASOS DESIGN,False,False,,1694279,Product,asos-design/asos-design-relaxed-fit-retro-stripe-shirt-in-deep-revere-with-pocket/prd/20108244?colourwayid=60009234,images.asos-media.com/products/asos-design-relaxed-fit-retro-stripe-shirt-in-deep-revere-with-pocket/20108244-1-orange,,True,www.asos.com/usasos-design/asos-design-relaxed-fit-retro-stripe-shirt-in-deep-revere-with-pocket/prd/20108244?colourwayid=60009234
5,20389241,ASOS DESIGN Two-piece revere collar regular fit shirt in monochrome japanese print,"{'current': {'value': 40.0, 'text': '$40.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60049661,ASOS DESIGN,False,False,,1717531,Product,asos-design/asos-design-two-piece-revere-collar-regular-fit-shirt-in-monochrome-japanese-print/prd/20389241?colourwayid=60049661,images.asos-media.com/products/asos-design-two-piece-revere-collar-regular-fit-shirt-in-monochrome-japanese-print/20389241-1-black,video.asos-media.com/products/asos-design-two-piece-revere-collar-regular-fit-shirt-in-monochrome-japanese-print/20389241-catwalk-AVS,True,www.asos.com/usasos-design/asos-design-two-piece-revere-collar-regular-fit-shirt-in-monochrome-japanese-print/prd/20389241?colourwayid=60049661
6,21258655,SikSilk high collar resort shirt in bird print,"{'current': {'value': 52.0, 'text': '$52.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60151334,SikSilk,False,False,,1784549,Product,siksilk/siksilk-high-collar-resort-shirt-in-bird-print/prd/21258655?colourwayid=60151334,images.asos-media.com/products/siksilk-high-collar-resort-shirt-in-bird-print/21258655-1-multi,,False,www.asos.com/ussiksilk/siksilk-high-collar-resort-shirt-in-bird-print/prd/21258655?colourwayid=60151334
7,20025216,Barbour Beacon Seathwaite poplin shirt in navy,"{'current': {'value': 100.0, 'text': '$100.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60002031,Barbour Beacon,False,False,,1687098,Product,barbour-beacon/barbour-beacon-seathwaite-poplin-shirt-in-navy/prd/20025216?colourwayid=60002031,images.asos-media.com/products/barbour-beacon-seathwaite-poplin-shirt-in-navy/20025216-1-navy,,False,www.asos.com/usbarbour-beacon/barbour-beacon-seathwaite-poplin-shirt-in-navy/prd/20025216?colourwayid=60002031
8,14670409,New Look long sleeve poplin shirt in pink,"{'current': {'value': 22.0, 'text': '$22.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16635115,New Look,False,False,,1660245,Product,new-look/new-look-long-sleeve-poplin-shirt-in-pink/prd/14670409?colourwayid=16635115,images.asos-media.com/products/new-look-long-sleeve-poplin-shirt-in-pink/14670409-1-pink,video.asos-media.com/products/new-look-long-sleeve-poplin-shirt-in-pink/14670409-catwalk-AVS,False,www.asos.com/usnew-look/new-look-long-sleeve-poplin-shirt-in-pink/prd/14670409?colourwayid=16635115
9,14758990,New Look vertical stripe short sleeve oxford shirt in blue,"{'current': {'value': 29.0, 'text': '$29.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16641736,New Look,False,False,,1666219,Product,new-look/new-look-vertical-stripe-short-sleeve-oxford-shirt-in-blue/prd/14758990?colourwayid=16641736,images.asos-media.com/products/new-look-vertical-stripe-short-sleeve-oxford-shirt-in-blue/14758990-1-blue,video.asos-media.com/products/new-look-vertical-stripe-short-sleeve-oxford-shirt-in-blue/14758990-catwalk-AVS,False,www.asos.com/usnew-look/new-look-vertical-stripe-short-sleeve-oxford-shirt-in-blue/prd/14758990?colourwayid=16641736
10,14758992,New Look short sleeve ditsy floral shirt in pink,"{'current': {'value': 25.0, 'text': '$25.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16641733,New Look,False,False,,1666265,Product,new-look/new-look-short-sleeve-ditsy-floral-shirt-in-pink/prd/14758992?colourwayid=16641733,images.asos-media.com/products/new-look-short-sleeve-ditsy-floral-shirt-in-pink/14758992-1-pink,video.asos-media.com/products/new-look-short-sleeve-ditsy-floral-shirt-in-pink/14758992-catwalk-AVS,False,www.asos.com/usnew-look/new-look-short-sleeve-ditsy-floral-shirt-in-pink/prd/14758992?colourwayid=16641733
11,20499727,ASOS DESIGN Tall regular revere shirt in neutral eastern paisley floral,"{'current': {'value': 40.0, 'text': '$40.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60058977,ASOS DESIGN,False,False,,1726797,Product,asos-design/asos-design-tall-regular-revere-shirt-in-neutral-eastern-paisley-floral/prd/20499727?colourwayid=60058977,images.asos-media.com/products/asos-design-tall-regular-revere-shirt-in-neutral-eastern-paisley-floral/20499727-1-taupe,,True,www.asos.com/usasos-design/asos-design-tall-regular-revere-shirt-in-neutral-eastern-paisley-floral/prd/20499727?colourwayid=60058977
12,14712113,ASOS DESIGN regular fit standard collar stripe shirt in navy stripe,"{'current': {'value': 29.0, 'text': '$29.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16638272,ASOS DESIGN,False,False,,1663632,Product,asos-design/asos-design-regular-fit-standard-collar-stripe-shirt-in-navy-stripe/prd/14712113?colourwayid=16638272,images.asos-media.com/products/asos-design-regular-fit-standard-collar-stripe-shirt-in-navy-stripe/14712113-1-white,,True,www.asos.com/usasos-design/asos-design-regular-fit-standard-collar-stripe-shirt-in-navy-stripe/prd/14712113?colourwayid=16638272
13,14406807,ASOS DESIGN relaxed fit viscose shirt with deep revere collar in burgundy,"{'current': {'value': 25.6, 'text': '$25.60'}, 'previous': {'value': 32.0, 'text': '$32.00'}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': True, 'isOutletPrice': False, 'currency': 'USD'}",,16613947,ASOS DESIGN,False,False,,1639564,Product,asos-design/asos-design-relaxed-fit-viscose-shirt-with-deep-revere-collar-in-burgundy/prd/14406807?colourwayid=16613947,images.asos-media.com/products/asos-design-relaxed-fit-viscose-shirt-with-deep-revere-collar-in-burgundy/14406807-1-burgundy,,True,www.asos.com/usasos-design/asos-design-relaxed-fit-viscose-shirt-with-deep-revere-collar-in-burgundy/prd/14406807?colourwayid=16613947
14,13754602,ASOS DESIGN Premium slim fit sateen shirt with shawl collar in white,"{'current': {'value': 40.0, 'text': '$40.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16563348,ASOS DESIGN,False,False,,1591227,Product,asos-design/asos-design-premium-slim-fit-sateen-shirt-with-shawl-collar-in-white/prd/13754602?colourwayid=16563348,images.asos-media.com/products/asos-design-premium-slim-fit-sateen-shirt-with-shawl-collar-in-white/13754602-1-white,video.asos-media.com/products/asos-design-premium-slim-fit-sateen-shirt-with-shawl-collar-in-white/13754602-catwalk-AVS,True,www.asos.com/usasos-design/asos-design-premium-slim-fit-sateen-shirt-with-shawl-collar-in-white/prd/13754602?colourwayid=16563348
15,14593025,New Look short sleeve organic cotton oxford shirt in white,"{'current': {'value': 20.0, 'text': '$20.00'}, 'previous': {'value': 25.0, 'text': '$25.00'}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': True, 'isOutletPrice': False, 'currency': 'USD'}",,16628510,New Look,False,False,,1654006,Product,new-look/new-look-short-sleeve-organic-cotton-oxford-shirt-in-white/prd/14593025?colourwayid=16628510,images.asos-media.com/products/new-look-short-sleeve-organic-cotton-oxford-shirt-in-white/14593025-1-white,video.asos-media.com/products/new-look-short-sleeve-organic-cotton-oxford-shirt-in-white/14593025-catwalk-AVS,True,www.asos.com/usnew-look/new-look-short-sleeve-organic-cotton-oxford-shirt-in-white/prd/14593025?colourwayid=16628510
