,id,name,price,colour,colourWayId,brandName,hasVariantColours,hasMultiplePrices,groupId,productCode,productType,url,imageUrl,videoUrl,isSellingFast,PAGE_URL_COMPLETE
0,11351425,ASOS DESIGN 2 pack slim chino shorts in stone & navy save,"{'current': {'value': 49.0, 'text': '$49.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16321812,ASOS DESIGN,False,False,,1403550,Product,asos-design/asos-design-2-pack-slim-chino-shorts-in-stone-navy-save/prd/11351425?colourwayid=16321812,images.asos-media.com/products/asos-design-2-pack-slim-chino-shorts-in-stone-navy-save/11351425-1-stonenavy,video.asos-media.com/products/asos-design-2-pack-slim-chino-shorts-in-stone-navy-save/11351425-catwalk-AVS,True,www.asos.com/usasos-design/asos-design-2-pack-slim-chino-shorts-in-stone-navy-save/prd/11351425?colourwayid=16321812
1,11171018,ASOS DESIGN skinny chino shorts in white,"{'current': {'value': 29.0, 'text': '$29.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16311550,ASOS DESIGN,False,False,,1391849,Product,asos-design/asos-design-skinny-chino-shorts-in-white/prd/11171018?colourwayid=16311550,images.asos-media.com/products/asos-design-skinny-chino-shorts-in-white/11171018-1-white,,True,www.asos.com/usasos-design/asos-design-skinny-chino-shorts-in-white/prd/11171018?colourwayid=16311550
2,13703312,ASOS DESIGN slim denim shorts in washed gray,"{'current': {'value': 14.4, 'text': '$14.40'}, 'previous': {'value': 32.0, 'text': '$32.00'}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': True, 'isOutletPrice': False, 'currency': 'USD'}",,16558842,ASOS DESIGN,False,False,,1586964,Product,asos-design/asos-design-slim-denim-shorts-in-washed-gray/prd/13703312?colourwayid=16558842,images.asos-media.com/products/asos-design-slim-denim-shorts-in-washed-gray/13703312-1-grey,video.asos-media.com/products/asos-design-slim-denim-shorts-in-washed-gray/13703312-catwalk-AVS,True,www.asos.com/usasos-design/asos-design-slim-denim-shorts-in-washed-gray/prd/13703312?colourwayid=16558842
3,12586629,ASOS DESIGN slim chino shorts in stone,"{'current': {'value': 29.0, 'text': '$29.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16431992,ASOS DESIGN,False,False,,1498030,Product,asos-design/asos-design-slim-chino-shorts-in-stone/prd/12586629?colourwayid=16431992,images.asos-media.com/products/asos-design-slim-chino-shorts-in-stone/12586629-1-stone,video.asos-media.com/products/asos-design-slim-chino-shorts-in-stone/12586629-catwalk-AVS,True,www.asos.com/usasos-design/asos-design-slim-chino-shorts-in-stone/prd/12586629?colourwayid=16431992
4,20608534,The Couture Club towelling twin set cargo shorts,"{'current': {'value': 72.0, 'text': '$72.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60070849,The Couture Club,False,False,,1735090,Product,the-couture-club/the-couture-club-towelling-twin-set-cargo-shorts/prd/20608534?colourwayid=60070849,images.asos-media.com/products/the-couture-club-towelling-twin-set-cargo-shorts/20608534-1-cream,,False,www.asos.com/usthe-couture-club/the-couture-club-towelling-twin-set-cargo-shorts/prd/20608534?colourwayid=60070849
5,14813118,Religion all over floral print jersey shorts with leg taping in black,"{'current': {'value': 44.0, 'text': '$44.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16645970,Religion,False,False,27660.0,1671108,MixMatchProduct,religion/religion-all-over-floral-print-jersey-shorts-with-leg-taping-in-black/grp/27660?colourwayid=16645970,images.asos-media.com/products/religion-all-over-floral-print-jersey-shorts-with-leg-taping-in-black/14813118-1-black,video.asos-media.com/products/religion-all-over-floral-print-jersey-shorts-with-leg-taping-in-black/14813118-catwalk-AVS,False,www.asos.com/usreligion/religion-all-over-floral-print-jersey-shorts-with-leg-taping-in-black/grp/27660?colourwayid=16645970
6,20640806,Liquor N Poker two-piece shorts in blue bandana print,"{'current': {'value': 48.0, 'text': '$48.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60074549,Liquor N Poker,False,False,,1737542,Product,liquor-n-poker/liquor-n-poker-two-piece-shorts-in-blue-bandana-print/prd/20640806?colourwayid=60074549,images.asos-media.com/products/liquor-n-poker-two-piece-shorts-in-blue-bandana-print/20640806-1-blue,,False,www.asos.com/usliquor-n-poker/liquor-n-poker-two-piece-shorts-in-blue-bandana-print/prd/20640806?colourwayid=60074549
7,12075360,Polo Ralph Lauren player logo double tech sweat shorts in black,"{'current': {'value': 135.0, 'text': '$135.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16357341,Polo Ralph Lauren,False,False,,1458960,Product,polo-ralph-lauren/polo-ralph-lauren-player-logo-double-tech-sweat-shorts-in-black/prd/12075360?colourwayid=16357341,images.asos-media.com/products/polo-ralph-lauren-player-logo-double-tech-sweat-shorts-in-black/12075360-1-poloblack,video.asos-media.com/products/polo-ralph-lauren-player-logo-double-tech-sweat-shorts-in-black/12075360-catwalk-AVS,False,www.asos.com/uspolo-ralph-lauren/polo-ralph-lauren-player-logo-double-tech-sweat-shorts-in-black/prd/12075360?colourwayid=16357341
8,13703544,ASOS DESIGN skinny denim shorts in white,"{'current': {'value': 17.25, 'text': '$17.25'}, 'previous': {'value': 29.0, 'text': '$29.00'}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': True, 'isOutletPrice': False, 'currency': 'USD'}",,16558858,ASOS DESIGN,False,False,,1586968,Product,asos-design/asos-design-skinny-denim-shorts-in-white/prd/13703544?colourwayid=16558858,images.asos-media.com/products/asos-design-skinny-denim-shorts-in-white/13703544-1-white,video.asos-media.com/products/asos-design-skinny-denim-shorts-in-white/13703544-catwalk-AVS,True,www.asos.com/usasos-design/asos-design-skinny-denim-shorts-in-white/prd/13703544?colourwayid=16558858
9,13703534,ASOS DESIGN skinny denim shorts in retro black,"{'current': {'value': 20.45, 'text': '$20.45'}, 'previous': {'value': 32.0, 'text': '$32.00'}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': True, 'isOutletPrice': False, 'currency': 'USD'}",,16558865,ASOS DESIGN,False,False,,1586975,Product,asos-design/asos-design-skinny-denim-shorts-in-retro-black/prd/13703534?colourwayid=16558865,images.asos-media.com/products/asos-design-skinny-denim-shorts-in-retro-black/13703534-1-black,video.asos-media.com/products/asos-design-skinny-denim-shorts-in-retro-black/13703534-catwalk-AVS,True,www.asos.com/usasos-design/asos-design-skinny-denim-shorts-in-retro-black/prd/13703534?colourwayid=16558865
