,id,name,price,colour,colourWayId,brandName,hasVariantColours,hasMultiplePrices,groupId,productCode,productType,url,imageUrl,videoUrl,isSellingFast,PAGE_URL_COMPLETE
0,14130464,ASOS DESIGN tie waist jumpsuit in stone,"{'current': {'value': 56.0, 'text': '$56.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16593737,ASOS DESIGN,False,False,,1619722,Product,asos-design/asos-design-tie-waist-jumpsuit-in-stone/prd/14130464?colourwayid=16593737,images.asos-media.com/products/asos-design-tie-waist-jumpsuit-in-stone/14130464-1-stone,video.asos-media.com/products/asos-design-tie-waist-jumpsuit-in-stone/14130464-catwalk-AVS,True,www.asos.com/usasos-design/asos-design-tie-waist-jumpsuit-in-stone/prd/14130464?colourwayid=16593737
1,7739681,ASOS DESIGN wrap front jumpsuit with peg leg and self belt in black,"{'current': {'value': 45.0, 'text': '$45.00'}, 'previous': {'value': 60.0, 'text': '$60.00'}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': True, 'isOutletPrice': False, 'currency': 'USD'}",,15334501,ASOS DESIGN,False,False,,1019345,Product,asos-design/asos-design-wrap-front-jumpsuit-with-peg-leg-and-self-belt-in-black/prd/7739681?colourwayid=15334501,images.asos-media.com/products/asos-design-wrap-front-jumpsuit-with-peg-leg-and-self-belt-in-black/7739681-1-black,video.asos-media.com/products/asos-design-wrap-front-jumpsuit-with-peg-leg-and-self-belt-in-black/7739681-catwalk-AVS,True,www.asos.com/usasos-design/asos-design-wrap-front-jumpsuit-with-peg-leg-and-self-belt-in-black/prd/7739681?colourwayid=15334501
2,14299442,ASOS DESIGN seersucker lace up back romper in yellow,"{'current': {'value': 45.0, 'text': '$45.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16606163,ASOS DESIGN,False,False,,1631995,Product,asos-design/asos-design-seersucker-lace-up-back-romper-in-yellow/prd/14299442?colourwayid=16606163,images.asos-media.com/products/asos-design-seersucker-lace-up-back-romper-in-yellow/14299442-1-sunshineyellow,video.asos-media.com/products/asos-design-seersucker-lace-up-back-romper-in-yellow/14299442-catwalk-AVS,False,www.asos.com/usasos-design/asos-design-seersucker-lace-up-back-romper-in-yellow/prd/14299442?colourwayid=16606163
3,7739813,ASOS DESIGN wrap front jumpsuit with peg leg and self belt in tomato red,"{'current': {'value': 45.0, 'text': '$45.00'}, 'previous': {'value': 60.0, 'text': '$60.00'}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': True, 'isOutletPrice': False, 'currency': 'USD'}",,15335018,ASOS DESIGN,False,False,,1019359,Product,asos-design/asos-design-wrap-front-jumpsuit-with-peg-leg-and-self-belt-in-tomato-red/prd/7739813?colourwayid=15335018,images.asos-media.com/products/asos-design-wrap-front-jumpsuit-with-peg-leg-and-self-belt-in-tomato-red/7739813-1-tomatored,video.asos-media.com/products/asos-design-wrap-front-jumpsuit-with-peg-leg-and-self-belt-in-tomato-red/7739813-catwalk-AVS,True,www.asos.com/usasos-design/asos-design-wrap-front-jumpsuit-with-peg-leg-and-self-belt-in-tomato-red/prd/7739813?colourwayid=15335018
4,14264842,ASOS DESIGN romper with shirred bodice and sleeves in black,"{'current': {'value': 48.0, 'text': '$48.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16603765,ASOS DESIGN,False,False,,1629584,Product,asos-design/asos-design-romper-with-shirred-bodice-and-sleeves-in-black/prd/14264842?colourwayid=16603765,images.asos-media.com/products/asos-design-romper-with-shirred-bodice-and-sleeves-in-black/14264842-1-black,video.asos-media.com/products/asos-design-romper-with-shirred-bodice-and-sleeves-in-black/14264842-catwalk-AVS,True,www.asos.com/usasos-design/asos-design-romper-with-shirred-bodice-and-sleeves-in-black/prd/14264842?colourwayid=16603765
5,21020108,ASOS DESIGN jersey overall in black,"{'current': {'value': 40.0, 'text': '$40.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60134567,ASOS DESIGN,False,False,,1767999,Product,asos-design/asos-design-jersey-overall-in-black/prd/21020108?colourwayid=60134567,images.asos-media.com/products/asos-design-jersey-overall-in-black/21020108-1-black,,True,www.asos.com/usasos-design/asos-design-jersey-overall-in-black/prd/21020108?colourwayid=60134567
6,14130097,ASOS DESIGN tie waist jumpsuit in black,"{'current': {'value': 56.0, 'text': '$56.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16593728,ASOS DESIGN,False,False,,1619720,Product,asos-design/asos-design-tie-waist-jumpsuit-in-black/prd/14130097?colourwayid=16593728,images.asos-media.com/products/asos-design-tie-waist-jumpsuit-in-black/14130097-1-black,video.asos-media.com/products/asos-design-tie-waist-jumpsuit-in-black/14130097-catwalk-AVS,True,www.asos.com/usasos-design/asos-design-tie-waist-jumpsuit-in-black/prd/14130097?colourwayid=16593728
7,21003359,Missguided jumpsuit with frill detail in stone,"{'current': {'value': 45.0, 'text': '$45.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60133296,Missguided,False,False,,1766741,Product,missguided/missguided-jumpsuit-with-frill-detail-in-stone/prd/21003359?colourwayid=60133296,images.asos-media.com/products/missguided-jumpsuit-with-frill-detail-in-stone/21003359-1-stone,,True,www.asos.com/usmissguided/missguided-jumpsuit-with-frill-detail-in-stone/prd/21003359?colourwayid=60133296
8,14253247,ASOS DESIGN tea jumpsuit with button back detail in polka dot,"{'current': {'value': 64.0, 'text': '$64.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16603028,ASOS DESIGN,False,False,,1628843,Product,asos-design/asos-design-tea-jumpsuit-with-button-back-detail-in-polka-dot/prd/14253247?colourwayid=16603028,images.asos-media.com/products/asos-design-tea-jumpsuit-with-button-back-detail-in-polka-dot/14253247-1-monospot,video.asos-media.com/products/asos-design-tea-jumpsuit-with-button-back-detail-in-polka-dot/14253247-catwalk-AVS,True,www.asos.com/usasos-design/asos-design-tea-jumpsuit-with-button-back-detail-in-polka-dot/prd/14253247?colourwayid=16603028
9,14130463,ASOS DESIGN shell broderie romper with frill sleeve in white,"{'current': {'value': 40.0, 'text': '$40.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16593738,ASOS DESIGN,False,False,,1619724,Product,asos-design/asos-design-shell-broderie-romper-with-frill-sleeve-in-white/prd/14130463?colourwayid=16593738,images.asos-media.com/products/asos-design-shell-broderie-romper-with-frill-sleeve-in-white/14130463-1-white,video.asos-media.com/products/asos-design-shell-broderie-romper-with-frill-sleeve-in-white/14130463-catwalk-AVS,True,www.asos.com/usasos-design/asos-design-shell-broderie-romper-with-frill-sleeve-in-white/prd/14130463?colourwayid=16593738
