,id,name,price,colour,colourWayId,brandName,hasVariantColours,hasMultiplePrices,groupId,productCode,productType,url,imageUrl,videoUrl,isSellingFast,PAGE_URL_COMPLETE
0,13857057,ASOS DESIGN tracksuit sweat / basic jogger with tie with contrast binding in organic cotton,"{'current': {'value': 51.0, 'text': '$51.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16571823,ASOS DESIGN,False,False,,1599409,Product,asos-design/asos-design-tracksuit-sweat-basic-jogger-with-tie-with-contrast-binding-in-organic-cotton/prd/13857057?colourwayid=16571823,images.asos-media.com/products/asos-design-tracksuit-sweat-basic-jogger-with-tie-with-contrast-binding-in-organic-cotton/13857057-1-black,video.asos-media.com/products/asos-design-tracksuit-sweat-basic-jogger-with-tie-with-contrast-binding-in-organic-cotton/13857057-catwalk-AVS,True,www.asos.com/usasos-design/asos-design-tracksuit-sweat-basic-jogger-with-tie-with-contrast-binding-in-organic-cotton/prd/13857057?colourwayid=16571823
1,13559152,ASOS DESIGN Petite chino pants in black,"{'current': {'value': 32.0, 'text': '$32.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16546911,ASOS Petite,False,False,,1575541,Product,asos-petite/asos-design-petite-chino-pants-in-black/prd/13559152?colourwayid=16546911,images.asos-media.com/products/asos-design-petite-chino-pants-in-black/13559152-1-black,video.asos-media.com/products/asos-design-petite-chino-pants-in-black/13559152-catwalk-AVS,True,www.asos.com/usasos-petite/asos-design-petite-chino-pants-in-black/prd/13559152?colourwayid=16546911
2,12804458,ASOS DESIGN tailored smart mix & match cigarette suit pants,"{'current': {'value': 32.0, 'text': '$32.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16467481,ASOS DESIGN,False,False,25272.0,1515292,MixMatchProduct,asos-design/asos-design-tailored-smart-mix-match-cigarette-suit-pants/grp/25272?colourwayid=16467481,images.asos-media.com/products/asos-design-tailored-smart-mix-match-cigarette-suit-pants/12804458-1-blush,video.asos-media.com/products/asos-design-tailored-smart-mix-match-cigarette-suit-pants/12804458-catwalk-AVS,True,www.asos.com/usasos-design/asos-design-tailored-smart-mix-match-cigarette-suit-pants/grp/25272?colourwayid=16467481
3,20854578,Missguided petite oversized sweatpants in gray,"{'current': {'value': 38.0, 'text': '$38.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60094700,Missguided Petite,False,False,,1754996,Product,missguided-petite/missguided-petite-oversized-sweatpants-in-gray/prd/20854578?colourwayid=60094700,images.asos-media.com/products/missguided-petite-oversized-sweatpants-in-gray/20854578-1-grey,,True,www.asos.com/usmissguided-petite/missguided-petite-oversized-sweatpants-in-gray/prd/20854578?colourwayid=60094700
4,13079133,ASOS DESIGN Hourglass leggings with deep waistband,"{'current': {'value': 18.0, 'text': '$18.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16475920,ASOS DESIGN,False,False,,1537077,Product,asos-design/asos-design-hourglass-leggings-with-deep-waistband/prd/13079133?colourwayid=16475920,images.asos-media.com/products/asos-design-hourglass-leggings-with-deep-waistband/13079133-1-black,video.asos-media.com/products/asos-design-hourglass-leggings-with-deep-waistband/13079133-catwalk-AVS,True,www.asos.com/usasos-design/asos-design-hourglass-leggings-with-deep-waistband/prd/13079133?colourwayid=16475920
5,10079103,ASOS DESIGN Maternity over the bump premium supersoft leggings in cotton modal,"{'current': {'value': 19.0, 'text': '$19.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,15092384,ASOS Maternity,False,False,,1301513,Product,asos-maternity/asos-design-maternity-over-the-bump-premium-supersoft-leggings-in-cotton-modal/prd/10079103?colourwayid=15092384,images.asos-media.com/products/asos-design-maternity-over-the-bump-premium-supersoft-leggings-in-cotton-modal/10079103-1-black,video.asos-media.com/products/asos-design-maternity-over-the-bump-premium-supersoft-leggings-in-cotton-modal/10079103-catwalk-AVS,True,www.asos.com/usasos-maternity/asos-design-maternity-over-the-bump-premium-supersoft-leggings-in-cotton-modal/prd/10079103?colourwayid=15092384
6,14664195,ASOS DESIGN Petite oversized jogger,"{'current': {'value': 35.0, 'text': '$35.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,16634609,ASOS Petite,False,False,,1659960,Product,asos-petite/asos-design-petite-oversized-jogger/prd/14664195?colourwayid=16634609,images.asos-media.com/products/asos-design-petite-oversized-jogger/14664195-1-grey,video.asos-media.com/products/asos-design-petite-oversized-jogger/14664195-catwalk-AVS,True,www.asos.com/usasos-petite/asos-design-petite-oversized-jogger/prd/14664195?colourwayid=16634609
7,20084583,COLLUSION skinny jogger,"{'current': {'value': 19.0, 'text': '$19.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60007359,Collusion,False,False,,1692241,Product,collusion/collusion-skinny-jogger/prd/20084583?colourwayid=60007359,images.asos-media.com/products/collusion-skinny-jogger/20084583-1-grey,,True,www.asos.com/uscollusion/collusion-skinny-jogger/prd/20084583?colourwayid=60007359
8,20618923,Nike Plus high waisted logo black leggings,"{'current': {'value': 40.0, 'text': '$40.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60072726,Nike,False,False,,1735835,Product,nike/nike-plus-high-waisted-logo-black-leggings/prd/20618923?colourwayid=60072726,images.asos-media.com/products/nike-plus-high-waisted-logo-black-leggings/20618923-1-black,video.asos-media.com/products/nike-plus-high-waisted-logo-black-leggings/20618923-catwalk-AVS,True,www.asos.com/usnike/nike-plus-high-waisted-logo-black-leggings/prd/20618923?colourwayid=60072726
9,20139608,Bershka No Item slogan oversized jogger in beige,"{'current': {'value': 36.0, 'text': '$36.00'}, 'previous': {'value': None, 'text': ''}, 'rrp': {'value': None, 'text': ''}, 'isMarkedDown': False, 'isOutletPrice': False, 'currency': 'USD'}",,60011867,Bershka,False,False,,1696823,Product,bershka/bershka-no-item-slogan-oversized-jogger-in-beige/prd/20139608?colourwayid=60011867,images.asos-media.com/products/bershka-no-item-slogan-oversized-jogger-in-beige/20139608-1-beige,video.asos-media.com/products/bershka-no-item-slogan-oversized-jogger-in-beige/20139608-catwalk-AVS,True,www.asos.com/usbershka/bershka-no-item-slogan-oversized-jogger-in-beige/prd/20139608?colourwayid=60011867
