,sku,id,lineId,imageSmallUrl,originalImage,productName,brandName,price,discountPrice,discountPercent,revertPriceText,links,mainColor,masterCategoryName,subCategoryName,exclusiveToKoovs,isSkuOutOfStock,isProductOutOfStock,hasLooksAvailable,isTrending,merchantDetails,url_given,PAGE_URL_COMPLETE
0,1935743,137152,154054,https://product.koovs.com/154054_d56acdcf57b74278aad95f83bf4d5450_image1_super_zoom.jpg,https://product.koovs.com/width/height/154054_d56acdcf57b74278aad95f83bf4d5450_image1_super_zoom.jpg,KOOVS Mid-Wash Slim Jeans,K Denim,999,999,0,Price After Sale,"[{'href': '/koovs-washed-slim-fit-jeans-137152-154054.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['Jeans'],['Slim Jeans'],False,False,False,False,False,,/koovs-washed-slim-fit-jeans-137152-154054.html,www.koovs.com/koovs-washed-slim-fit-jeans-137152-154054.html
1,1937419,137448,154415,https://product.koovs.com/154415_84be65763d1b4ccf879de1f4df95d451_image1_super_zoom.jpg,https://product.koovs.com/width/height/154415_84be65763d1b4ccf879de1f4df95d451_image1_super_zoom.jpg,KOOVS Washed Knee-Rip Slim Jeans,K Denim,1499,1499,0,Price After Sale,"[{'href': '/koovs-knee-rip-jeans-137448-154415.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Jeans'],['Slim Jeans'],False,False,False,False,False,,/koovs-knee-rip-jeans-137448-154415.html,www.koovs.com/koovs-knee-rip-jeans-137448-154415.html
2,1937418,137447,154414,https://product.koovs.com/154414_c5a266be5ded4343af2562bf657cbfbb_image1_super_zoom.jpg,https://product.koovs.com/width/height/154414_c5a266be5ded4343af2562bf657cbfbb_image1_super_zoom.jpg,KOOVS Mid-Wash Ripped Knee Slim Jeans,K Denim,1499,1499,0,Price After Sale,"[{'href': '/koovs-knee-rip-jeans-137447-154414.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['Jeans'],['Slim Jeans'],False,False,False,False,False,,/koovs-knee-rip-jeans-137447-154414.html,www.koovs.com/koovs-knee-rip-jeans-137447-154414.html
3,1935765,137154,154058,https://product.koovs.com/154058_e586f02c12b34e76ac7e6ff64dfae564_image1_super_zoom.jpg,https://product.koovs.com/width/height/154058_e586f02c12b34e76ac7e6ff64dfae564_image1_super_zoom.jpg,KOOVS Overdyed Cropped Slim Jeans,K Denim,1299,1299,0,Price After Sale,"[{'href': '/koovs-overdyed-skinny-denim-137154-154058.html', 'rel': 'self', 'method': 'GET'}]",['Orange'],['Jeans'],['Slim Jeans'],False,False,False,False,False,,/koovs-overdyed-skinny-denim-137154-154058.html,www.koovs.com/koovs-overdyed-skinny-denim-137154-154058.html
5,1936958,137342,154309,https://product.koovs.com/154309_3c91d51993204130bd6452a69f73ac1a_image1_super_zoom.jpg,https://product.koovs.com/width/height/154309_3c91d51993204130bd6452a69f73ac1a_image1_super_zoom.jpg,KOOVS Cuffed Hem Cargo Utility Slim Jeans,K Denim,1899,1899,0,Price After Sale,"[{'href': '/koovs-cargo-jogger-137342-154309.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Jeans'],['Slim Jeans'],False,False,False,False,False,,/koovs-cargo-jogger-137342-154309.html,www.koovs.com/koovs-cargo-jogger-137342-154309.html
6,1935610,137139,154027,https://product.koovs.com/154027_14ce85176206437aa99e43955e168c68_image1_super_zoom.jpg,https://product.koovs.com/width/height/154027_14ce85176206437aa99e43955e168c68_image1_super_zoom.jpg,KOOVS Bleach Wash Distressed Skinny Jeans,K Denim,1499,1499,0,Price After Sale,"[{'href': '/koovs-distressed-super-skinny-cropped-jeans-137139-154027.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['Jeans'],['Skinny Jeans'],False,False,False,False,False,,/koovs-distressed-super-skinny-cropped-jeans-137139-154027.html,www.koovs.com/koovs-distressed-super-skinny-cropped-jeans-137139-154027.html
7,1936983,137347,154314,https://product.koovs.com/154314_a7ad9dc1efba4534a7eb9e7f93ca3e9c_image1_super_zoom.jpg,https://product.koovs.com/width/height/154314_a7ad9dc1efba4534a7eb9e7f93ca3e9c_image1_super_zoom.jpg,KOOVS Washed Distressed Side Tape Slim Jeans,K Denim,1699,1699,0,Price After Sale,"[{'href': '/koovs-cloud-wash-side-tape-jeans-137347-154314.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['Jeans'],['Slim Jeans'],False,False,False,False,False,,/koovs-cloud-wash-side-tape-jeans-137347-154314.html,www.koovs.com/koovs-cloud-wash-side-tape-jeans-137347-154314.html
8,1936506,137273,154201,https://product.koovs.com/154201_fbdd3dec2ee34e4f922fa82494eea749_image1_super_zoom.jpg,https://product.koovs.com/width/height/154201_fbdd3dec2ee34e4f922fa82494eea749_image1_super_zoom.jpg,KOOVS Distressed Panelled Cropped Skinny Jeans,K Denim,1699,1699,0,Price After Sale,"[{'href': '/koovs-biker-skinny-cropped-jeans-137273-154201.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Jeans'],['Skinny Jeans'],False,False,False,False,False,,/koovs-biker-skinny-cropped-jeans-137273-154201.html,www.koovs.com/koovs-biker-skinny-cropped-jeans-137273-154201.html
9,1936483,137270,154196,https://product.koovs.com/154196_c2e059fa776541929b8a4ea6c1355c39_image1_super_zoom.jpg,https://product.koovs.com/width/height/154196_c2e059fa776541929b8a4ea6c1355c39_image1_super_zoom.jpg,KOOVS Roll-Over Hem Slim Jeans,K Denim,1499,299,80,Price After Sale,"[{'href': '/koovs-deep-turn-up-slim-fit-jean-137270-154196.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Jeans'],['Slim Jeans'],False,False,False,False,False,,/koovs-deep-turn-up-slim-fit-jean-137270-154196.html,www.koovs.com/koovs-deep-turn-up-slim-fit-jean-137270-154196.html
10,1936998,137350,154317,https://product.koovs.com/154317_e490b114b2854d4f92e786d1d0a0db17_image1_super_zoom.jpg,https://product.koovs.com/width/height/154317_e490b114b2854d4f92e786d1d0a0db17_image1_super_zoom.jpg,KOOVS Side Tape Distressed Slim Jeans,K Denim,1499,1499,0,Price After Sale,"[{'href': '/koovs-tape-denim-137350-154317.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['Jeans'],['Slim Jeans'],False,False,False,False,False,,/koovs-tape-denim-137350-154317.html,www.koovs.com/koovs-tape-denim-137350-154317.html
